"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"
"58"	"28"	"9"	""	"51"	""	""	"225"	""	""	""	""	""	"9"	""	""	""	""	"196"	""	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"14"	""	""	""	"3"	""	""	"8"	""	""	""	""	"543"	""	""	""	""	""	"0"	""	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"29"	"99"	""	"114"	""	""	"137"	""	""	""	""	""	"11"	""	""	""	""	"23"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"14"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"4"	""	""	"15"	""	""	""	""	"429"	""	""	""	""	""	"0"	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"29A"	"48"	""	"178"	""	""	"23"	""	""	""	""	""	"1"	""	""	""	""	"16"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	""	"8"	""	""	""	""	"286"	""	""	""	""	""	"0"	""	""	""	""	""	""	"286"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"30"	"66"	""	"125"	""	""	"97"	""	""	""	""	""	"29"	""	""	""	""	"19"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"10"	""	""	""	"11"	""	""	"20"	""	""	""	""	"388"	""	""	""	""	""	"0"	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"31"	"44"	""	"72"	""	""	"92"	""	""	""	""	""	"94"	""	""	""	""	"85"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"7"	""	""	""	"7"	""	""	""	""	"6"	""	""	""	"0"	""	""	"8"	""	""	""	""	"421"	""	""	""	""	""	"0"	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"32"	"26"	""	"85"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"14"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	"0"	""	""	""	""	"131"	""	""	""	""	""	"0"	""	""	""	""	""	""	"131"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"33"	"50"	""	"126"	""	""	"69"	""	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	"1"	""	""	""	""	"14"	""	""	""	"2"	""	""	"11"	""	""	""	""	"295"	""	""	""	""	""	"0"	""	""	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"34"	"9"	""	"27"	""	""	"257"	""	""	""	""	""	"5"	""	""	""	""	"39"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"8"	""	""	""	"3"	""	""	"8"	""	""	""	""	"364"	""	""	""	""	""	"0"	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"35"	"8"	""	"170"	""	""	"183"	""	""	""	""	""	"6"	""	""	""	""	"130"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"10"	""	""	""	"9"	""	""	"10"	""	""	""	""	"543"	""	""	""	""	""	"0"	""	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Total:-"	"554"	""	"2313"	""	""	"1130"	""	""	""	""	""	"233"	""	""	""	""	"759"	""	""	""	""	""	"19"	""	""	""	""	"30"	""	""	""	"16"	""	""	""	"19"	""	""	""	"73"	""	""	""	"31"	""	""	""	""	"81"	""	""	""	"48"	""	""	"122"	""	""	""	""	"5428"	""	""	""	""	""	""	""	""	""	""	""	""	"5428"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Round  No.04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"73"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""
"75"	"36"	""	"24"	""	"37"	""	""	"53"	""	""	""	""	"10"	""	""	""	""	""	"62"	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	"17"	""	""	""	"227"	""	""	""	""	""	""	"0"	""	""	""	""	""	"227"	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"37"	""	"12"	""	"13"	""	""	"37"	""	""	""	""	"13"	""	""	""	""	""	"200"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	"7"	""	""	""	"309"	""	""	""	""	""	""	"0"	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"38"	""	"30"	""	"99"	""	""	"206"	""	""	""	""	"28"	""	""	""	""	""	"97"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"13"	""	""	""	""	"7"	""	""	"14"	""	""	""	"504"	""	""	""	""	""	""	"0"	""	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"39"	""	"343"	""	"26"	""	""	"55"	""	""	""	""	"46"	""	""	""	""	""	"68"	""	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	"15"	""	""	""	"574"	""	""	""	""	""	""	"0"	""	""	""	""	""	"574"	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"40"	""	"138"	""	"52"	""	""	"75"	""	""	""	""	"11"	""	""	""	""	""	"115"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"0"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	"11"	""	""	""	"430"	""	""	""	""	""	""	"0"	""	""	""	""	""	"430"	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"41"	""	"131"	""	"145"	""	""	"109"	""	""	""	""	"75"	""	""	""	""	""	"117"	""	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"3"	""	""	""	"13"	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	"67"	""	""	""	"684"	""	""	""	""	""	""	"0"	""	""	""	""	""	"684"	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"42"	""	"79"	""	"210"	""	""	"69"	""	""	""	""	"12"	""	""	""	""	""	"48"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"7"	""	""	""	"435"	""	""	""	""	""	""	"0"	""	""	""	""	""	"435"	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"43"	""	"40"	""	"250"	""	""	"47"	""	""	""	""	"2"	""	""	""	""	""	"123"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"11"	""	""	""	""	"10"	""	""	""	""	"8"	""	""	"13"	""	""	""	"523"	""	""	""	""	""	""	"0"	""	""	""	""	""	"523"	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"44"	""	"62"	""	"369"	""	""	"15"	""	""	""	""	"12"	""	""	""	""	""	"23"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"5"	""	""	""	"498"	""	""	""	""	""	""	"0"	""	""	""	""	""	"498"	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"45"	""	"0"	""	"117"	""	""	"492"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"612"	""	""	""	""	""	""	"0"	""	""	""	""	""	"612"	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"46"	""	"67"	""	"190"	""	""	"105"	""	""	""	""	"25"	""	""	""	""	""	"146"	""	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	"5"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	"10"	""	""	""	"581"	""	""	""	""	""	""	"0"	""	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"46 A"	""	"63"	""	"81"	""	""	"31"	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"5"	""	""	"2"	""	""	""	"196"	""	""	""	""	""	""	"0"	""	""	""	""	""	"196"	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"47"	""	"15"	""	"171"	""	""	"90"	""	""	""	""	"7"	""	""	""	""	""	"26"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	""	"5"	""	""	"4"	""	""	""	"335"	""	""	""	""	""	""	"0"	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"47A"	""	"74"	""	"102"	""	""	"196"	""	""	""	""	"11"	""	""	""	""	""	"17"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	"19"	""	""	""	"433"	""	""	""	""	""	""	"0"	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Total:-"	""	"1078"	""	"1862"	""	""	"1580"	""	""	""	""	"255"	""	""	""	""	""	"1049"	""	""	""	""	""	"38"	""	""	""	""	"39"	""	""	""	"19"	""	""	""	"24"	""	""	""	"47"	""	""	""	""	"25"	""	""	""	""	"75"	""	""	""	""	"58"	""	""	"192"	""	""	""	"6341"	""	""	""	""	""	""	""	""	""	""	""	""	"6341"	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Round  No.05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"97"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""
"99"	"48"	""	"39"	""	"123"	""	""	"154"	""	""	""	""	"11"	""	""	""	""	""	"134"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	"7"	""	""	""	"496"	""	""	""	""	""	""	"0"	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"49"	""	"11"	""	"29"	""	""	"46"	""	""	""	""	"4"	""	""	""	""	""	"294"	""	""	""	""	""	"0"	""	""	""	""	"11"	""	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"97"	""	""	""	"497"	""	""	""	""	""	""	"0"	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"50"	""	"127"	""	"168"	""	""	"32"	""	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"3"	""	""	""	"345"	""	""	""	""	""	""	"0"	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"51"	""	"17"	""	"16"	""	""	"77"	""	""	""	""	"6"	""	""	""	""	""	"266"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"2"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"5"	""	""	"10"	""	""	""	"426"	""	""	""	""	""	""	"0"	""	""	""	""	""	"426"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"52"	""	"40"	""	"77"	""	""	"136"	""	""	""	""	"10"	""	""	""	""	""	"126"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	"6"	""	""	""	"412"	""	""	""	""	""	""	"0"	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"53"	""	"72"	""	"252"	""	""	"93"	""	""	""	""	"2"	""	""	""	""	""	"15"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"11"	""	""	""	""	"14"	""	""	"14"	""	""	""	"487"	""	""	""	""	""	""	"0"	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"54"	""	"60"	""	"13"	""	""	"18"	""	""	""	""	"40"	""	""	""	""	""	"495"	""	""	""	""	""	"14"	""	""	""	""	"7"	""	""	""	"3"	""	""	""	"1"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	"7"	""	""	""	"674"	""	""	""	""	""	""	"0"	""	""	""	""	""	"674"	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"55"	""	"6"	""	"63"	""	""	"494"	""	""	""	""	"5"	""	""	""	""	""	"110"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	"4"	""	""	""	"696"	""	""	""	""	""	""	"0"	""	""	""	""	""	"696"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"56"	""	"33"	""	"118"	""	""	"299"	""	""	""	""	"15"	""	""	""	""	""	"119"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	"13"	""	""	""	"623"	""	""	""	""	""	""	"0"	""	""	""	""	""	"623"	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"57"	""	"14"	""	"250"	""	""	"59"	""	""	""	""	"2"	""	""	""	""	""	"182"	""	""	""	""	""	"9"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	""	"8"	""	""	""	""	"8"	""	""	""	""	"10"	""	""	""	""	"3"	""	""	"17"	""	""	""	"573"	""	""	""	""	""	""	"0"	""	""	""	""	""	"573"	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"58"	""	"31"	""	"49"	""	""	"36"	""	""	""	""	"4"	""	""	""	""	""	"404"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"2"	""	""	""	"534"	""	""	""	""	""	""	"0"	""	""	""	""	""	"534"	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"59"	""	"63"	""	"212"	""	""	"106"	""	""	""	""	"22"	""	""	""	""	""	"107"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	"16"	""	""	""	"556"	""	""	""	""	""	""	"0"	""	""	""	""	""	"556"	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"60"	""	"26"	""	"104"	""	""	"70"	""	""	""	""	"6"	""	""	""	""	""	"197"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"416"	""	""	""	""	""	""	"0"	""	""	""	""	""	"416"	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"61"	""	"67"	""	"58"	""	""	"163"	""	""	""	""	"13"	""	""	""	""	""	"121"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	"4"	""	""	""	"436"	""	""	""	""	""	""	"0"	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Total:-"	""	"606"	""	"1532"	""	""	"1783"	""	""	""	""	"142"	""	""	""	""	""	"2579"	""	""	""	""	""	"44"	""	""	""	""	"53"	""	""	""	"19"	""	""	""	"25"	""	""	""	"46"	""	""	""	""	"30"	""	""	""	""	"65"	""	""	""	""	"47"	""	""	"200"	""	""	""	"7171"	""	""	""	""	""	""	""	""	""	""	""	""	"7171"	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Round  No.06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
