"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"3"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"Ist Round"	""	""
"5"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"305"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"306"	"138"	"47"	"25"	"8"	"194"	"9"	"10"	"5"	"8"	"306"
"307"	"139"	"43"	"67"	"6"	"173"	"16"	"38"	"8"	"10"	"361"
"308"	"140"	"88"	"144"	"6"	"128"	"10"	"19"	"11"	"9"	"415"
"309"	"141"	"91"	"151"	"13"	"197"	"19"	"31"	"10"	"13"	"525"
"310"	"142"	"35"	"54"	"4"	"16"	"11"	"56"	"7"	"7"	"190"
"311"	"143"	"63"	"57"	"4"	"102"	"6"	"25"	"1"	"19"	"277"
"312"	"144"	"30"	"52"	"11"	"320"	"31"	"180"	"7"	"9"	"640"
"313"	"145"	"21"	"109"	"2"	"12"	"6"	"98"	"3"	"3"	"254"
"314"	"146"	"19"	"263"	"6"	"10"	"9"	"24"	"3"	"0"	"334"
"315"	"147"	"0"	"139"	"0"	"2"	"96"	"9"	"3"	"1"	"250"
"316"	"148"	"27"	"66"	"9"	"11"	"7"	"545"	"5"	"15"	"685"
"317"	"149"	"6"	"141"	"0"	"20"	"25"	"73"	"3"	"4"	"272"
"318"	"150"	"21"	"254"	"2"	"2"	"2"	"24"	"1"	"2"	"308"
"319"	"151"	"7"	"223"	"7"	"17"	"1"	"111"	"9"	"11"	"386"
"320"	";ksx"	"498"	"1745"	"78"	"1204"	"248"	"1243"	"76"	"111"	"5203"
"321"	""	""	""	""	""	""	""	""	""	""
"322"	"LFkku &"	""	""	""	""	""	""	""	""	""
"323"	""	""	""	""	""	""	""	""	""	""
"324"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"325"	""	""	""	""	""	""	""	""	""	""
"326"	"izi=&20"	""	""	""	""	""	""	""	""	""
"327"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"328"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"329"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"330"	""	""	""	""	""	""	""	"13th Round"	""	""
"331"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"332"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"333"	"152"	"30"	"47"	"3"	"166"	"13"	"23"	"6"	"12"	"300"
"334"	"153"	"23"	"76"	"9"	"76"	"8"	"63"	"5"	"9"	"269"
"335"	"154"	"20"	"87"	"23"	"346"	"26"	"39"	"12"	"36"	"589"
"336"	"155"	"9"	"214"	"9"	"99"	"6"	"17"	"12"	"7"	"373"
"337"	"156"	"16"	"187"	"30"	"76"	"5"	"14"	"7"	"4"	"339"
"338"	"157"	"13"	"88"	"5"	"110"	"10"	"7"	"6"	"9"	"248"
"339"	"158"	"56"	"171"	"5"	"144"	"9"	"17"	"6"	"10"	"418"
"340"	"159"	"18"	"322"	"5"	"19"	"8"	"46"	"5"	"5"	"428"
"341"	"160"	"2"	"133"	"5"	"2"	"0"	"46"	"1"	"3"	"192"
"342"	"160A"	"1"	"96"	"1"	"7"	"2"	"7"	"1"	"4"	"119"
"343"	"161"	"4"	"293"	"1"	"11"	"3"	"14"	"3"	"1"	"330"
"344"	"161A"	"2"	"105"	"0"	"5"	"0"	"21"	"0"	"0"	"133"
"345"	"162"	"4"	"180"	"1"	"13"	"2"	"3"	"1"	"1"	"205"
"346"	"163"	"2"	"333"	"3"	"19"	"0"	"26"	"0"	"2"	"385"
"347"	";ksx"	"200"	"2332"	"100"	"1093"	"92"	"343"	"65"	"103"	"4328"
"348"	""	""	""	""	""	""	""	""	""	""
"349"	"LFkku &"	""	""	""	""	""	""	""	""	""
"350"	""	""	""	""	""	""	""	""	""	""
"351"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"352"	""	""	""	""	""	""	""	""	""	""
"353"	"izi=&20"	""	""	""	""	""	""	""	""	""
"354"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"355"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"356"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"357"	""	""	""	""	""	""	""	"14 Round"	""	""
"358"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"359"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"360"	"164"	"38"	"244"	"1"	"9"	"9"	"7"	"0"	"1"	"309"
"361"	"164A"	"1"	"327"	"2"	"5"	"10"	"0"	"0"	"0"	"345"
"362"	"165"	"13"	"162"	"1"	"72"	"6"	"10"	"0"	"1"	"265"
"363"	"166"	"105"	"90"	"7"	"249"	"22"	"16"	"12"	"32"	"533"
"364"	"167"	"19"	"116"	"5"	"74"	"14"	"17"	"7"	"8"	"260"
"365"	"167A"	"32"	"56"	"3"	"161"	"7"	"9"	"9"	"18"	"295"
"366"	"168"	"25"	"239"	"3"	"98"	"5"	"12"	"1"	"9"	"392"
"367"	"169"	"36"	"172"	"6"	"99"	"10"	"51"	"9"	"17"	"400"
"368"	"169A"	"28"	"178"	"20"	"22"	"9"	"112"	"7"	"12"	"388"
"369"	"170"	"25"	"278"	"4"	"39"	"5"	"121"	"2"	"17"	"491"
"370"	"171"	"65"	"63"	"4"	"245"	"16"	"102"	"5"	"13"	"513"
"371"	"172"	"20"	"322"	"10"	"14"	"3"	"16"	"5"	"5"	"395"
"372"	"173"	"89"	"107"	"4"	"24"	"2"	"9"	"4"	"9"	"248"
"373"	"174"	"7"	"272"	"1"	"2"	"0"	"19"	"0"	"0"	"301"
"374"	";ksx"	"503"	"2626"	"71"	"1113"	"118"	"501"	"61"	"142"	"5135"
"375"	""	""	""	""	""	""	""	""	""	""
"376"	"LFkku &"	""	""	""	""	""	""	""	""	""
"377"	""	""	""	""	""	""	""	""	""	""
"378"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"379"	""	""	""	""	""	""	""	""	""	""
"380"	"izi=&20"	""	""	""	""	""	""	""	""	""
"381"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"382"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"383"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"384"	""	""	""	""	""	""	""	"15th Round"	""	""
"385"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"386"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"387"	"175"	"11"	"68"	"4"	"24"	"3"	"23"	"3"	"6"	"142"
"388"	"176"	"23"	"223"	"6"	"38"	"17"	"38"	"3"	"7"	"355"
"389"	"176A"	"108"	"43"	"8"	"52"	"5"	"33"	"3"	"10"	"262"
"390"	"177"	"15"	"325"	"9"	"81"	"9"	"50"	"8"	"14"	"511"
"391"	"178"	"18"	"220"	"7"	"63"	"6"	"37"	"12"	"11"	"374"
"392"	"178A"	"5"	"195"	"6"	"82"	"6"	"13"	"5"	"8"	"320"
"393"	"179"	"19"	"43"	"6"	"205"	"14"	"49"	"5"	"8"	"349"
"394"	"180"	"25"	"344"	"9"	"43"	"3"	"16"	"3"	"4"	"447"
"395"	"181"	"74"	"24"	"54"	"10"	"5"	"11"	"6"	"5"	"189"
"396"	"181A"	"58"	"29"	"12"	"16"	"1"	"47"	"6"	"7"	"176"
"397"	"182"	"39"	"14"	"9"	"89"	"15"	"41"	"7"	"12"	"226"
"398"	"182A"	"5"	"99"	"3"	"11"	"14"	"7"	"2"	"1"	"142"
"399"	"183"	"49"	"139"	"7"	"176"	"11"	"35"	"9"	"20"	"446"
"400"	"184"	"22"	"86"	"15"	"214"	"9"	"13"	"7"	"6"	"372"
"401"	";ksx"	"471"	"1852"	"155"	"1104"	"118"	"413"	"79"	"119"	"4311"
"402"	""	""	""	""	""	""	""	""	""	""
"403"	"LFkku &"	""	""	""	""	""	""	""	""	""
"404"	""	""	""	""	""	""	""	""	""	""
"405"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"406"	""	""	""	""	""	""	""	""	""	""
"407"	"izi=&20"	""	""	""	""	""	""	""	""	""
"408"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"409"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"410"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"411"	""	""	""	""	""	""	""	"16th Round"	""	""
"412"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"413"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"414"	"185"	"28"	"78"	"6"	"71"	"16"	"1"	"1"	"2"	"203"
"415"	"185A"	"12"	"16"	"7"	"97"	"4"	"49"	"2"	"8"	"195"
"416"	"186"	"117"	"298"	"11"	"31"	"12"	"99"	"11"	"12"	"591"
"417"	"187"	"24"	"35"	"10"	"65"	"45"	"51"	"1"	"5"	"236"
"418"	"188"	"44"	"75"	"5"	"272"	"28"	"9"	"4"	"10"	"447"
"419"	"189"	""	""	""	""	""	""	""	""	"0"
"420"	"190"	"4"	"60"	"7"	"66"	"4"	"24"	"1"	"1"	"167"
"421"	"191"	"29"	"8"	"7"	"322"	"19"	"86"	"5"	"34"	"510"
"422"	"192"	"98"	"59"	"122"	"53"	"5"	"5"	"4"	"6"	"352"
"423"	"193"	"31"	"162"	"9"	"255"	"13"	"11"	"5"	"5"	"491"
"424"	"194"	"35"	"32"	"10"	"310"	"21"	"12"	"9"	"13"	"442"
"425"	"195"	"32"	"4"	"2"	"424"	"5"	"2"	"1"	"1"	"471"
"426"	"196"	"21"	"256"	"4"	"128"	"2"	"3"	"2"	"12"	"428"
"427"	"197"	"78"	"346"	"8"	"60"	"1"	"4"	"0"	"0"	"497"
"428"	";ksx"	"553"	"1429"	"208"	"2154"	"175"	"356"	"46"	"109"	"5030"
"429"	""	""	""	""	""	""	""	""	""	""
"430"	"LFkku &"	""	""	""	""	""	""	""	""	""
"431"	""	""	""	""	""	""	""	""	""	""
"432"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"433"	""	""	""	""	""	""	""	""	""	""
"434"	"izi=&20"	""	""	""	""	""	""	""	""	""
"435"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"436"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"437"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"438"	""	""	""	""	""	""	""	"17th Round"	""	""
"439"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"440"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"441"	"198"	"85"	"125"	"7"	"36"	"53"	"35"	"6"	"4"	"351"
"442"	"199"	"23"	"449"	"2"	"50"	"7"	"9"	"4"	"7"	"551"
"443"	"200"	"24"	"130"	"7"	"108"	"6"	"5"	"2"	"3"	"285"
"444"	"200A"	"24"	"306"	"6"	"28"	"4"	"11"	"0"	"5"	"384"
"445"	"201"	"26"	"178"	"3"	"31"	"4"	"42"	"1"	"1"	"286"
"446"	"202"	"6"	"323"	"1"	"21"	"5"	"4"	"2"	"0"	"362"
"447"	"203"	"43"	"113"	"5"	"59"	"0"	"27"	"2"	"5"	"254"
"448"	"203A"	"40"	"165"	"7"	"76"	"5"	"52"	"6"	"2"	"353"
"449"	"204"	"58"	"137"	"2"	"126"	"2"	"3"	"0"	"0"	"328"
"450"	"205"	"123"	"157"	"17"	"120"	"14"	"16"	"10"	"10"	"467"
"451"	"206"	"11"	"27"	"4"	"335"	"19"	"23"	"7"	"11"	"437"
"452"	"207"	"35"	"56"	"5"	"189"	"15"	"12"	"5"	"19"	"336"
"453"	"208"	"24"	"13"	"4"	"318"	"14"	"0"	"2"	"5"	"380"
"454"	"209"	"93"	"47"	"21"	"44"	"3"	"11"	"1"	"8"	"228"
"455"	";ksx"	"615"	"2226"	"91"	"1541"	"151"	"250"	"48"	"80"	"5002"
"456"	""	""	""	""	""	""	""	""	""	""
"457"	"LFkku &"	""	""	""	""	""	""	""	""	""
"458"	""	""	""	""	""	""	""	""	""	""
"459"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"460"	""	""	""	""	""	""	""	""	""	""
"461"	"izi=&20"	""	""	""	""	""	""	""	""	""
"462"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"463"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"464"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"465"	""	""	""	""	""	""	""	"18th Round"	""	""
"466"	"ernku dsUnz
la[;k"	"csch nsoh"	"osnkuUn
flag"	"'ke'ksj
vkyeq"	"lqjsUnz izlkn
flag"	"vfuy dqekj
flag"	"vt; dqekj
flag"	"izoh.k dqekj
>k"	";qxy nkl"	"erks dk ;ksx"
"467"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"468"	"210"	"33"	"31"	"3"	"368"	"19"	"2"	"4"	"11"	"471"
"469"	"211"	"8"	"0"	"1"	"672"	"0"	"2"	"0"	"0"	"683"
"470"	";ksx"	"41"	"31"	"4"	"1040"	"19"	"4"	"4"	"11"	"1154"
"471"	""	""	""	""	""	""	""	""	""	""
"472"	"LFkku &"	""	""	""	""	""	""	""	""	""
"473"	""	""	""	""	""	""	""	""	""	""
"474"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"475"	""	""	""	""	""	""	""	""	""	""
"476"	""	""	""	""	""	""	""	""	""	""
