"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"211"	"121"	"271"	"15"	"45"	"4"	"187"	"11"	"5"	"19"	"557"	"0"	"557"	"0"
"212"	"122"	"317"	"34"	"4"	"12"	"363"	"9"	"4"	"6"	"749"	"0"	"749"	"0"
"213"	"123"	"261"	"22"	"3"	"9"	"169"	"6"	"7"	"17"	"494"	"0"	"494"	"0"
"214"	"123 A"	"110"	"18"	"173"	"8"	"48"	"9"	"2"	"8"	"376"	"0"	"376"	"0"
"215"	"124"	"422"	"2"	"31"	"8"	"32"	"1"	"2"	"4"	"502"	"0"	"502"	"0"
"216"	"124 A"	"186"	"10"	"103"	"47"	"45"	"6"	"4"	"8"	"409"	"0"	"409"	"0"
"217"	"125"	"278"	"10"	"7"	"3"	"126"	"5"	"7"	"9"	"445"	"0"	"445"	"0"
"218"	"125 A"	"217"	"68"	"14"	"10"	"93"	"7"	"7"	"9"	"425"	"0"	"425"	"0"
"219"	"TOTAL"	"30522"	"2618"	"11077"	"1534"	"22841"	"1199"	"615"	"1258"	"71664"	"0"	"71664"	"0"
"220"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"223"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"224"	"BF"	"30522"	"2618"	"11077"	"1534"	"22841"	"1199"	"615"	"1258"	"71664"	"0"	"71664"	"0"
"225"	"126"	"96"	"6"	"88"	"2"	"146"	"3"	"2"	"6"	"349"	"0"	"349"	"0"
"226"	"126 A"	"144"	"11"	"142"	"11"	"119"	"6"	"0"	"10"	"443"	"0"	"443"	"0"
"227"	"127"	"585"	"17"	"1"	"23"	"55"	"5"	"1"	"13"	"700"	"0"	"700"	"0"
"228"	"128"	"72"	"10"	"79"	"4"	"157"	"4"	"5"	"5"	"336"	"0"	"336"	"0"
"229"	"129"	"139"	"7"	"9"	"12"	"176"	"9"	"9"	"18"	"379"	"0"	"379"	"0"
"230"	"129 A"	"281"	"10"	"9"	"4"	"136"	"1"	"1"	"7"	"449"	"0"	"449"	"0"
"231"	"130"	"184"	"60"	"74"	"9"	"173"	"5"	"8"	"39"	"552"	"0"	"552"	"0"
"232"	"131"	"100"	"29"	"113"	"13"	"168"	"8"	"5"	"2"	"438"	"0"	"438"	"0"
"233"	"131 A"	"147"	"47"	"35"	"3"	"130"	"5"	"2"	"6"	"375"	"0"	"375"	"0"
"234"	"132"	"189"	"171"	"57"	"15"	"78"	"7"	"4"	"11"	"532"	"0"	"532"	"0"
"235"	"133"	"160"	"29"	"118"	"21"	"112"	"4"	"3"	"4"	"451"	"0"	"451"	"0"
"236"	"133 A"	"168"	"3"	"13"	"19"	"172"	"5"	"1"	"12"	"393"	"0"	"393"	"0"
"237"	"134"	"230"	"18"	"102"	"9"	"76"	"4"	"4"	"9"	"452"	"0"	"452"	"0"
"238"	"135"	"194"	"20"	"102"	"18"	"126"	"7"	"4"	"16"	"487"	"0"	"487"	"0"
"239"	"TOTAL"	"33211"	"3056"	"12019"	"1697"	"24665"	"1272"	"664"	"1416"	"78000"	"0"	"78000"	"0"
"240"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"243"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"244"	"BF"	"33211"	"3056"	"12019"	"1697"	"24665"	"1272"	"664"	"1416"	"78000"	"0"	"78000"	"0"
"245"	"136"	"248"	"4"	"96"	"8"	"144"	"9"	"3"	"17"	"529"	"0"	"529"	"0"
"246"	"137"	"267"	"6"	"110"	"9"	"62"	"2"	"9"	"1"	"466"	"0"	"466"	"0"
"247"	"138"	"314"	"8"	"8"	"2"	"53"	"1"	"1"	"4"	"391"	"0"	"391"	"0"
"248"	"139"	"246"	"8"	"323"	"22"	"73"	"4"	"4"	"8"	"688"	"0"	"688"	"0"
"249"	"140"	"238"	"60"	"166"	"2"	"49"	"6"	"4"	"1"	"526"	"0"	"526"	"0"
"250"	"141"	"335"	"14"	"16"	"31"	"25"	"6"	"93"	"10"	"530"	"0"	"530"	"0"
"251"	"141 A"	"135"	"83"	"175"	"15"	"41"	"8"	"15"	"20"	"492"	"0"	"492"	"0"
"252"	"142"	"106"	"31"	"102"	"7"	"236"	"9"	"10"	"9"	"510"	"0"	"510"	"0"
"253"	"142 A"	"199"	"29"	"44"	"19"	"114"	"6"	"1"	"7"	"419"	"0"	"419"	"0"
"254"	"143"	"265"	"35"	"64"	"20"	"173"	"2"	"2"	"10"	"571"	"0"	"571"	"0"
"255"	"144"	"228"	"16"	"69"	"4"	"42"	"2"	"2"	"1"	"364"	"0"	"364"	"0"
"256"	"144 A"	"206"	"18"	"2"	"4"	"58"	"1"	"5"	"1"	"295"	"0"	"295"	"0"
"257"	"145"	"208"	"10"	"11"	"8"	"230"	"8"	"3"	"8"	"486"	"0"	"486"	"0"
"258"	"146"	"313"	"31"	"98"	"17"	"185"	"8"	"7"	"23"	"682"	"0"	"682"	"0"
"259"	"TOTAL"	"36519"	"3409"	"13303"	"1865"	"26150"	"1344"	"823"	"1536"	"84949"	"0"	"84949"	"0"
"260"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"263"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"264"	"BF"	"36519"	"3409"	"13303"	"1865"	"26150"	"1344"	"823"	"1536"	"84949"	"0"	"84949"	"0"
"265"	"147"	"343"	"28"	"14"	"9"	"206"	"4"	"1"	"5"	"610"	"0"	"610"	"0"
"266"	"148"	"142"	"263"	"23"	"3"	"209"	"3"	"7"	"8"	"658"	"0"	"658"	"0"
"267"	"149"	"182"	"69"	"11"	"10"	"234"	"9"	"5"	"9"	"529"	"0"	"529"	"0"
"268"	"150"	"118"	"31"	"20"	"9"	"136"	"5"	"2"	"3"	"324"	"0"	"324"	"0"
"269"	"151"	"343"	"9"	"26"	"69"	"196"	"5"	"4"	"18"	"670"	"0"	"670"	"0"
"270"	"152"	"256"	"11"	"28"	"20"	"108"	"4"	"8"	"15"	"450"	"0"	"450"	"0"
"271"	"152 A"	"163"	"3"	"13"	"23"	"84"	"2"	"2"	"5"	"295"	"0"	"295"	"0"
"272"	"153"	"232"	"118"	"19"	"24"	"172"	"6"	"1"	"11"	"583"	"0"	"583"	"0"
"273"	"154"	"150"	"16"	"20"	"4"	"58"	"1"	"5"	"1"	"255"	"0"	"255"	"0"
"274"	"155"	"137"	"41"	"10"	"5"	"159"	"8"	"5"	"5"	"370"	"0"	"370"	"0"
"275"	"156"	"211"	"11"	"24"	"3"	"68"	"2"	"1"	"3"	"323"	"0"	"323"	"0"
"276"	"157"	"234"	"41"	"56"	"40"	"240"	"6"	"4"	"7"	"628"	"0"	"628"	"0"
"277"	"158"	"154"	"37"	"96"	"4"	"148"	"8"	"3"	"12"	"462"	"0"	"462"	"0"
"278"	"158 A"	"126"	"121"	"1"	"22"	"14"	"3"	"7"	"10"	"304"	"0"	"304"	"0"
"279"	"TOTAL"	"39310"	"4208"	"13664"	"2110"	"28182"	"1410"	"878"	"1648"	"91410"	"0"	"91410"	"0"
"280"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"283"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"284"	"BF"	"39310"	"4208"	"13664"	"2110"	"28182"	"1410"	"878"	"1648"	"91410"	"0"	"91410"	"0"
"285"	"159"	"133"	"26"	"66"	"11"	"193"	"5"	"6"	"12"	"452"	"0"	"452"	"0"
"286"	"160"	"203"	"11"	"59"	"91"	"112"	"3"	"1"	"12"	"492"	"0"	"492"	"0"
"287"	"161"	"350"	"84"	"50"	"44"	"33"	"2"	"4"	"9"	"576"	"0"	"576"	"0"
"288"	"162"	"212"	"18"	"7"	"54"	"114"	"9"	"4"	"7"	"425"	"0"	"425"	"0"
"289"	"163"	"258"	"130"	"57"	"20"	"67"	"0"	"2"	"2"	"536"	"0"	"536"	"0"
"290"	"163 A"	"64"	"30"	"18"	"69"	"162"	"18"	"6"	"10"	"377"	"0"	"377"	"0"
"291"	"164"	"260"	"4"	"126"	"4"	"101"	"6"	"3"	"2"	"506"	"0"	"506"	"0"
"292"	"164 A"	"99"	"3"	"21"	"1"	"238"	"5"	"9"	"4"	"380"	"0"	"380"	"0"
"293"	"165"	"276"	"3"	"145"	"9"	"191"	"5"	"2"	"14"	"645"	"0"	"645"	"0"
"294"	"166"	"300"	"2"	"106"	"7"	"117"	"9"	"3"	"10"	"554"	"0"	"554"	"0"
"295"	"167"	"166"	"6"	"176"	"24"	"80"	"8"	"8"	"7"	"475"	"0"	"475"	"0"
"296"	"168"	"206"	"4"	"53"	"72"	"116"	"3"	"5"	"4"	"463"	"0"	"463"	"0"
"297"	"168 A"	"173"	"19"	"96"	"11"	"95"	"8"	"7"	"23"	"432"	"0"	"432"	"0"
"298"	"169"	"95"	"13"	"44"	"20"	"266"	"13"	"4"	"22"	"477"	"0"	"477"	"0"
"299"	"TOTAL"	"42105"	"4561"	"14688"	"2547"	"30067"	"1504"	"942"	"1786"	"98200"	"0"	"98200"	"0"
"300"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"303"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"304"	"BF"	"42105"	"4561"	"14688"	"2547"	"30067"	"1504"	"942"	"1786"	"98200"	"0"	"98200"	"0"
"305"	"169 A"	"114"	"4"	"101"	"53"	"65"	"5"	"6"	"7"	"355"	"0"	"355"	"0"
"306"	"170"	"228"	"4"	"14"	"4"	"159"	"4"	"0"	"2"	"415"	"0"	"415"	"0"
"307"	"170 A"	"175"	"10"	"102"	"7"	"117"	"4"	"0"	"15"	"430"	"0"	"430"	"0"
"308"	"171"	"414"	"10"	"48"	"14"	"130"	"5"	"0"	"7"	"628"	"0"	"628"	"0"
"309"	"172"	"621"	"34"	"34"	"8"	"110"	"5"	"2"	"2"	"816"	"0"	"816"	"0"
"310"	"173"	"221"	"12"	"142"	"12"	"121"	"10"	"4"	"12"	"534"	"0"	"534"	"0"
"311"	"174"	"156"	"6"	"64"	"71"	"207"	"6"	"1"	"12"	"523"	"0"	"523"	"0"
"312"	"175"	"216"	"2"	"54"	"11"	"160"	"2"	"2"	"2"	"449"	"0"	"449"	"0"
"313"	"175 A"	"203"	"1"	"12"	"2"	"163"	"1"	"1"	"1"	"384"	"0"	"384"	"0"
"314"	"176"	"231"	"7"	"164"	"14"	"183"	"1"	"2"	"1"	"603"	"0"	"603"	"0"
"315"	"177"	"341"	"8"	"6"	"8"	"146"	"13"	"4"	"13"	"539"	"0"	"539"	"0"
"316"	"178"	"121"	"30"	"37"	"9"	"269"	"14"	"10"	"21"	"511"	"0"	"511"	"0"
"317"	"178 A"	"141"	"4"	"4"	"6"	"132"	"6"	"6"	"21"	"320"	"0"	"320"	"0"
"318"	"179"	"116"	"11"	"19"	"0"	"53"	"0"	"0"	"2"	"201"	"0"	"201"	"0"
"319"	"TOTAL"	"45403"	"4704"	"15489"	"2766"	"32082"	"1580"	"980"	"1904"	"104908"	"0"	"104908"	"0"
"320"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"323"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"324"	"BF"	"45403"	"4704"	"15489"	"2766"	"32082"	"1580"	"980"	"1904"	"104908"	"0"	"104908"	"0"
"325"	"180"	"325"	"1"	"72"	"5"	"34"	"1"	"1"	"10"	"449"	"0"	"449"	"0"
"326"	"181"	"70"	"5"	"22"	"54"	"393"	"12"	"4"	"24"	"584"	"0"	"584"	"0"
"327"	"182"	"328"	"16"	"105"	"15"	"108"	"7"	"9"	"22"	"610"	"0"	"610"	"0"
"328"	"183"	"460"	"0"	"36"	"2"	"47"	"0"	"0"	"0"	"545"	"0"	"545"	"0"
"329"	"183 A"	"359"	"0"	"40"	"1"	"27"	"1"	"0"	"1"	"429"	"0"	"429"	"0"
"330"	"184"	"280"	"6"	"4"	"32"	"225"	"3"	"1"	"6"	"557"	"0"	"557"	"0"
"331"	"184 A"	"211"	"3"	"8"	"10"	"136"	"2"	"1"	"1"	"372"	"0"	"372"	"0"
"332"	"185"	"57"	"4"	"75"	"9"	"433"	"10"	"5"	"7"	"600"	"0"	"600"	"0"
"333"	"186"	"90"	"35"	"31"	"6"	"265"	"8"	"2"	"2"	"439"	"0"	"439"	"0"
"334"	"186 A"	"85"	"31"	"140"	"8"	"50"	"2"	"2"	"7"	"325"	"0"	"325"	"0"
"335"	"187"	"160"	"2"	"1"	"14"	"447"	"5"	"1"	"6"	"636"	"0"	"636"	"0"
"336"	"188"	"283"	"110"	"24"	"5"	"148"	"7"	"2"	"6"	"585"	"0"	"585"	"0"
"337"	"189"	"256"	"11"	"67"	"24"	"149"	"5"	"4"	"5"	"521"	"0"	"521"	"0"
"338"	"190"	"559"	"6"	"197"	"12"	"63"	"5"	"3"	"7"	"852"	"0"	"852"	"0"
"339"	"TOTAL"	"48926"	"4934"	"16311"	"2963"	"34607"	"1648"	"1015"	"2008"	"112412"	"0"	"112412"	"0"
"340"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 220349"	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"343"	""	"1
CHHEDI PASWAN"	"2
TETRI DEVI"	"3
RAJENDRA KUMAR"	"4
RAMESHWAR PASWAN"	"5
SURESH PASI"	"6
BANSHIDHAR RAM"	"7
MUNI RAM"	"8
SINHASHAN PASWAN"	""	""	""	""
"344"	"BF"	"48926"	"4934"	"16311"	"2963"	"34607"	"1648"	"1015"	"2008"	"112412"	"0"	"112412"	"0"
"345"	"191"	"412"	"4"	"38"	"9"	"186"	"9"	"4"	"12"	"674"	"0"	"674"	"0"
"346"	"192"	"141"	"24"	"149"	"25"	"149"	"10"	"8"	"23"	"529"	"0"	"529"	"0"
"347"	"193"	"8"	"0"	"0"	"2"	"383"	"4"	"0"	"2"	"399"	"0"	"399"	"0"
"348"	"TOTAL"	"49487"	"4962"	"16498"	"2999"	"35325"	"1671"	"1027"	"2045"	"114014"	"0"	"114014"	"0"
"349"	"POSTAL VOTES"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"350"	"TOTAL VOTES POLLED"	"49487"	"4962"	"16498"	"2999"	"35325"	"1671"	"1027"	"2045"	"114014"	"0"	"114014"	"0"
"351"	"Place: ..........................................."	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Date:......................................"	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
