"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segmen      208477"	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                      196-Sandesh"	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"164"	""	""	"LJP"	"CPI(ML)(L)"	"RJD"	"BJP"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"165"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"166"	"132"	"PRIMARY SCHOOL RAMASADH"	"6"	"183"	"251"	"146"	"3"	"3"	"4"	"0"	"596"	"0"	"596"	"0"
"167"	"133"	"SANSKRIT HIGH SCHOOL RAMASADH(E)"	"1"	"53"	"125"	"45"	"1"	"0"	"1"	"0"	"226"	"0"	"226"	"0"
"168"	"133A"	"SANSKRIT HIGH SCHOOL RAMASADH(W)"	"3"	"182"	"105"	"85"	"2"	"0"	"1"	"1"	"379"	"0"	"379"	"0"
"169"	"134"	"HIGH SCHOOL BHATAULI"	"8"	"166"	"192"	"180"	"6"	"0"	"1"	"3"	"556"	"0"	"556"	"0"
"170"	"135"	"PRIMARY SCHOOL VARTIYAR(E)"	"20"	"198"	"33"	"175"	"7"	"1"	"5"	"3"	"442"	"0"	"442"	"0"
"171"	"135A"	"PRIMARY SCHOOL VARTIYAR(W)"	"3"	"72"	"49"	"151"	"5"	"1"	"1"	"1"	"283"	"0"	"283"	"0"
"172"	"136"	"PRIMARY SCHOOL KORI SUNDARPUR"	"1"	"35"	"498"	"60"	"1"	"2"	"0"	"1"	"598"	"0"	"598"	"0"
"173"	"137"	"URDU PRIMARY SCHOOL KORI"	"15"	"105"	"330"	"209"	"9"	"11"	"9"	"6"	"694"	"0"	"694"	"0"
"174"	"138"	"MIDDLE SCHOOL KORI"	"33"	"349"	"142"	"142"	"9"	"6"	"16"	"11"	"708"	"0"	"708"	"0"
"175"	"139"	"PRIMARY SCHOOL CHELA"	"15"	"156"	"119"	"217"	"4"	"2"	"1"	"4"	"518"	"0"	"518"	"0"
"176"	"140"	"PRIMARY SCHOOL PANDEYPUR"	"2"	"69"	"63"	"117"	"4"	"0"	"4"	"3"	"262"	"0"	"262"	"0"
"177"	"141"	"PRIMARY SCHOOL KAKANDIHRA (NORTH)"	"17"	"129"	"71"	"165"	"17"	"9"	"10"	"10"	"428"	"0"	"428"	"0"
"178"	"142"	"PRIMARY SCHOOL KAKANDIHRA (SOUTH)"	"9"	"35"	"270"	"147"	"12"	"8"	"5"	"4"	"490"	"0"	"490"	"0"
"179"	"143"	"PRIMARY SCHOOL MANIYACH(E)"	"13"	"100"	"39"	"124"	"3"	"2"	"2"	"6"	"289"	"0"	"289"	"0"
"180"	"143A"	"PRIMARY SCHOOL MANIYACH(W)"	"18"	"286"	"83"	"96"	"4"	"3"	"6"	"4"	"500"	"0"	"500"	"0"
"181"	"144"	"MIDDLE SCHOOL BICHHIAON (WEST)"	"16"	"143"	"310"	"90"	"5"	"14"	"11"	"12"	"601"	"0"	"601"	"0"
"182"	"145"	"MIDDLE SCHOOL BICHHIAON (EAST)"	"1"	"20"	"102"	"204"	"7"	"1"	"1"	"4"	"340"	"0"	"340"	"0"
"183"	"146"	"PRIMARY SCHOOL DHARMPUR"	"5"	"45"	"199"	"233"	"8"	"7"	"3"	"9"	"509"	"0"	"509"	"0"
"184"	"147"	"SAMUDAIK BHAWAN PAWAR"	"21"	"107"	"287"	"19"	"10"	"6"	"8"	"14"	"472"	"0"	"472"	"0"
"185"	"148"	"PRIMARY SCHOOL PAWAR"	"3"	"111"	"89"	"159"	"0"	"1"	"2"	"2"	"367"	"0"	"367"	"0"
"186"	"149"	"PRIMARY SCHOOL RUDALPUR"	"10"	"25"	"184"	"50"	"4"	"3"	"1"	"13"	"290"	"0"	"290"	"0"
"187"	"150"	"PRIMARY SCHOOL DHOBAHA"	"20"	"48"	"216"	"120"	"7"	"7"	"4"	"11"	"433"	"0"	"433"	"0"
"188"	"151"	"PRIMARY SCHOOL KHANET"	"28"	"107"	"110"	"274"	"15"	"7"	"5"	"6"	"552"	"0"	"552"	"0"
"189"	"152"	"SAMUDAIK BHAWAN ARAILA"	"10"	"416"	"74"	"110"	"10"	"3"	"8"	"3"	"634"	"0"	"634"	"0"
"190"	"153"	"MIDDLE GIRL SCHOOL PAWANA"	"5"	"125"	"104"	"151"	"3"	"4"	"0"	"2"	"394"	"0"	"394"	"0"
"191"	"154"	"MIDDLE SCHOOL PAWANA"	"8"	"102"	"86"	"269"	"8"	"5"	"2"	"5"	"485"	"0"	"485"	"0"
"192"	"155"	"HIGH SCHOOL PAWANA"	"9"	"132"	"190"	"129"	"7"	"3"	"5"	"12"	"487"	"0"	"487"	"0"
"193"	"156"	"PRIMARY SCHOOL RANNI"	"7"	"47"	"111"	"66"	"1"	"2"	"1"	"7"	"242"	"0"	"242"	"0"
"194"	"157"	"PRIMARY SCHOOL MISHRAWLIYA"	"2"	"82"	"12"	"81"	"0"	"3"	"1"	"2"	"183"	"0"	"183"	"0"
"195"	"158"	"PRIMARY SCHOOL NARAUNI"	"2"	"165"	"39"	"139"	"3"	"2"	"2"	"1"	"353"	"0"	"353"	"0"
"196"	"159"	"PRIMARY SCHOOL BHAGWANPUR"	"3"	"6"	"531"	"5"	"0"	"0"	"0"	"1"	"546"	"0"	"546"	"0"
"197"	"160"	"MIDDLE SCHOOL KHOPIRA (SOUTH)"	"6"	"195"	"86"	"157"	"4"	"2"	"3"	"0"	"453"	"0"	"453"	"0"
"198"	"161"	"MIDDLE SCHOOL KHOPIRA (NORTH)"	"14"	"150"	"164"	"199"	"12"	"9"	"12"	"11"	"571"	"0"	"571"	"0"
"199"	"162"	"PRIMARY SCHOOL BANKAT"	"12"	"158"	"163"	"118"	"2"	"2"	"3"	"4"	"462"	"0"	"462"	"0"
"200"	"163"	"PRIMARY SCHOOL VISAMBHARA TOLA"	"3"	"39"	"403"	"2"	"0"	"1"	"0"	"0"	"448"	"0"	"448"	"0"
"201"	"164"	"PRIMARY SCHOOL KURKURI(E)"	"11"	"202"	"140"	"93"	"5"	"7"	"12"	"15"	"485"	"0"	"485"	"0"
"202"	"164A"	"PRIMARY SCHOOL KURKURI(W)"	"14"	"162"	"101"	"19"	"6"	"3"	"5"	"5"	"315"	"0"	"315"	"0"
"203"	"165"	"PRIMARY SCHOOL PIPARA"	"17"	"95"	"319"	"66"	"7"	"7"	"3"	"5"	"519"	"0"	"519"	"0"
"204"	"166"	"HIGH SCHOOL DULARPUR"	"11"	"135"	"59"	"115"	"5"	"3"	"8"	"17"	"353"	"0"	"353"	"0"
"205"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"206"	""	""	"LJP"	"CPI(ML)(L)"	"RJD"	"BJP"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"207"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"208"	"167"	"PRIMARY SCHOOL DUBAULI"	"14"	"60"	"286"	"29"	"2"	"4"	"1"	"6"	"402"	"0"	"402"	"0"
"209"	"168"	"PRIMARY SCHOOL LABHUANI"	"2"	"169"	"109"	"253"	"2"	"1"	"0"	"0"	"536"	"0"	"536"	"0"
"210"	"169"	"PRIMARY SCHOOL RAMPUR"	"1"	"75"	"147"	"114"	"6"	"4"	"4"	"4"	"355"	"0"	"355"	"0"
"211"	"170"	"PRIMARY GIRL SCHOOL RAMPUR"	"2"	"80"	"387"	"9"	"1"	"0"	"0"	"0"	"479"	"0"	"479"	"0"
"212"	"171"	"RAJASW GRAM KACHAHARI BAGVAN(N)"	"5"	"92"	"298"	"5"	"1"	"2"	"0"	"4"	"407"	"0"	"407"	"0"
"213"	"171A"	"RAJASW GRAM KACHAHARI BAGVAN(S)"	"6"	"131"	"22"	"166"	"9"	"0"	"3"	"5"	"342"	"0"	"342"	"0"
"214"	"172"	"PRIMARY SCHOOL SIKTI"	"6"	"33"	"109"	"111"	"6"	"3"	"1"	"2"	"271"	"0"	"271"	"0"
"215"	"173"	"PRIMARY SCHOOL BAGVAN"	"10"	"124"	"96"	"263"	"6"	"5"	"6"	"5"	"515"	"0"	"515"	"0"
"216"	"174"	"PRIMARY SCHOOL DHAMANIYA(E)"	"14"	"186"	"116"	"139"	"7"	"6"	"3"	"5"	"476"	"0"	"476"	"0"
"217"	"174A"	"PRIMARY SCHOOL DHAMANIYA(W)"	"5"	"77"	"37"	"54"	"1"	"0"	"2"	"0"	"176"	"0"	"176"	"0"
"218"	"175"	"PRIMARY GIRL SCHOOL BARAURA(E)"	"4"	"84"	"195"	"70"	"2"	"1"	"1"	"2"	"359"	"0"	"359"	"0"
"219"	"175A"	"PRIMARY GIRL SCHOOL BARAURA(W)"	"4"	"124"	"103"	"16"	"7"	"2"	"2"	"5"	"263"	"0"	"263"	"0"
"220"	"176"	"HARIJAN PRIMARY SCHOOL BAHADURPUR"	"4"	"175"	"103"	"78"	"3"	"1"	"2"	"1"	"367"	"0"	"367"	"0"
"221"	"177"	"PRIMARY SCHOOL SUARI"	"14"	"58"	"246"	"28"	"4"	"4"	"1"	"3"	"358"	"0"	"358"	"0"
"222"	"178"	"PRIMARY SCHOOL SHIVPUR"	"9"	"179"	"152"	"101"	"8"	"3"	"4"	"5"	"461"	"0"	"461"	"0"
"223"	"179"	"URDU PRIMARY SCHOOL CHAHIYACHAK"	"7"	"172"	"215"	"65"	"11"	"7"	"12"	"9"	"498"	"0"	"498"	"0"
"224"	"180"	"PRIMARY SCHOOL PAHARPUR LEFT PARTY"	"7"	"127"	"179"	"173"	"6"	"7"	"2"	"4"	"505"	"0"	"505"	"0"
"225"	"181"	"PRIMARY SCHOOL PAHARPUR RIGHT PART"	"12"	"159"	"20"	"5"	"6"	"2"	"6"	"10"	"220"	"0"	"220"	"0"
"226"	"182"	"PRIMARY SCHOOL GAURA"	"6"	"60"	"296"	"55"	"1"	"2"	"1"	"5"	"426"	"0"	"426"	"0"
"227"	"183"	"PRIMARY SCHOOL SIKARIYA"	"11"	"182"	"238"	"28"	"7"	"6"	"1"	"7"	"480"	"0"	"480"	"0"
"228"	"184"	"PRIMARY SCHOOL RATNADH(NORTH)"	"13"	"267"	"223"	"69"	"4"	"4"	"2"	"5"	"587"	"0"	"587"	"0"
"229"	"185"	"PRIMARY SCHOOL RATNADH (SOUTH)"	"19"	"194"	"271"	"32"	"17"	"13"	"5"	"8"	"559"	"0"	"559"	"0"
"230"	"186"	"PRIMARY SCHOOL BERATH"	"10"	"88"	"170"	"192"	"8"	"8"	"3"	"3"	"482"	"0"	"482"	"0"
"231"	"187"	"MIDDLE SCHOOL BERATH"	"7"	"4"	"156"	"459"	"6"	"2"	"3"	"6"	"643"	"0"	"643"	"0"
"232"	"188"	"PRIMARY SCHOOL DHAKANI"	"4"	"39"	"528"	"4"	"2"	"0"	"0"	"1"	"578"	"0"	"578"	"0"
"233"	"189"	"PRIMARY SCHOOL SONA TOLA"	"13"	"174"	"133"	"28"	"5"	"2"	"1"	"4"	"360"	"0"	"360"	"0"
"234"	"190"	"RAJKIYA HIGH SCHOOL AGIAON (NORTH)"	"1"	"75"	"473"	"11"	"2"	"2"	"3"	"3"	"570"	"0"	"570"	"0"
"235"	"191"	"RAJKIYA HIGH SCHOOL AGIAON (SOUTH)"	"8"	"129"	"420"	"58"	"7"	"2"	"2"	"5"	"631"	"0"	"631"	"0"
"236"	"192"	"PRIMARY SCHOOL AGIAON"	"1"	"89"	"196"	"230"	"9"	"4"	"7"	"12"	"548"	"0"	"548"	"0"
"237"	"193"	"PRIMARY SCHOOL LAHARPA"	"5"	"21"	"400"	"63"	"6"	"0"	"2"	"2"	"499"	"0"	"499"	"0"
"238"	"194"	"PRIMARY SCHOOL KHARAICHA"	"32"	"107"	"304"	"96"	"10"	"11"	"7"	"6"	"573"	"0"	"573"	"0"
"239"	"195"	"PRIMARY SCHOOL POSHWA (EAST)"	"6"	"85"	"234"	"88"	"6"	"4"	"2"	"11"	"436"	"0"	"436"	"0"
"240"	"196"	"PRIMARY SCHOOL POSHWA (WEST)"	"22"	"209"	"109"	"143"	"11"	"8"	"18"	"19"	"539"	"0"	"539"	"0"
"241"	"197"	"PRIMARY SCHOOL AHILE(E)"	"23"	"129"	"128"	"63"	"4"	"5"	"2"	"3"	"357"	"0"	"357"	"0"
"242"	"197A"	"PRIMARY SCHOOL AHILE(W)"	"21"	"39"	"144"	"120"	"8"	"8"	"2"	"7"	"349"	"0"	"349"	"0"
"243"	"198"	"PRIMARY SCHOOL MEGHARIYA"	"28"	"292"	"90"	"10"	"10"	"11"	"7"	"20"	"468"	"0"	"468"	"0"
"244"	"199"	"PRIMARY SCHOOL KHEDHI"	"16"	"168"	"138"	"38"	"8"	"2"	"2"	"11"	"383"	"0"	"383"	"0"
"245"	"200"	"PRIMARY SCHOOL KURMICHAK"	"14"	"180"	"112"	"109"	"5"	"6"	"3"	"4"	"433"	"0"	"433"	"0"
"246"	"201"	"PRIMARY SCHOOLDHOBRI"	"18"	"129"	"380"	"53"	"10"	"2"	"4"	"11"	"607"	"0"	"607"	"0"
"247"	"Serial No. of Polling Station"	""	"RANGNATH SINGH"	"RAMESHWAR PRASAD"	"VIJENDRA
KUMAR YADAV"	"SANJAY SINGH"	"JAWAHAR ROY"	"BHARAT SINGH"	"SANJAY KUMAR"	"SATYENDRA SINGH"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"248"	""	""	"LJP"	"CPI(ML)(L)"	"RJD"	"BJP"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"249"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"250"	"202"	"SENA PATI HIGH SCHOOL BARGAON(WEST)"	"9"	"196"	"21"	"337"	"7"	"5"	"4"	"3"	"582"	"0"	"582"	"0"
"251"	"202A"	"SENA PATI HIGH SCHOOL BARGAON(NORTH)"	"1"	"59"	"25"	"114"	"1"	"0"	"0"	"1"	"201"	"0"	"201"	"0"
"252"	"203"	"SENA PATI HIGH SCHOOL BARGAON (CENTRE)"	"7"	"259"	"48"	"87"	"9"	"3"	"9"	"9"	"431"	"0"	"431"	"0"
"253"	"203A"	"SENA PATI HIGH SCHOOL BARGAON (SOUTH)"	"2"	"234"	"5"	"16"	"2"	"3"	"2"	"2"	"266"	"0"	"266"	"0"
"254"	"204"	"MIDDLE SCHOOL BARGAON"	"6"	"91"	"99"	"57"	"4"	"3"	"0"	"1"	"261"	"0"	"261"	"0"
"255"	"205"	"PRIMARY SCHOOL DIHRA"	"7"	"16"	"348"	"5"	"4"	"2"	"1"	"2"	"385"	"0"	"385"	"0"
"256"	"206"	"PRIMARY SCHOOL KAMARIYA"	"16"	"213"	"185"	"91"	"12"	"11"	"17"	"15"	"560"	"0"	"560"	"0"
"257"	"207"	"MIDDLE SCHOOL CHILHAR"	"20"	"299"	"171"	"82"	"3"	"3"	"2"	"5"	"585"	"0"	"585"	"0"
"258"	"208"	"PRIMARY SCHOOL CHILHAR HARIJANTOLI"	"18"	"275"	"53"	"70"	"3"	"2"	"0"	"1"	"422"	"0"	"422"	"0"
"259"	"209"	"PRIMARY SCHOOL CHIPURA(E)"	"6"	"306"	"18"	"17"	"1"	"1"	"3"	"2"	"354"	"0"	"354"	"0"
"260"	"209A"	"PRIMARY SCHOOL CHIPURA(W)"	"5"	"45"	"325"	"27"	"2"	"0"	"1"	"1"	"406"	"0"	"406"	"0"
"261"	"210"	"URDU KANYA MAKHTAB AZIMABAD KIRKIRI"	"7"	"179"	"148"	"54"	"1"	"1"	"0"	"1"	"391"	"0"	"391"	"0"
"262"	"211"	"HIGH SCHOOL CHILHAR (NORTH PART)"	"11"	"98"	"368"	"6"	"3"	"2"	"3"	"3"	"494"	"0"	"494"	"0"
"263"	"Total No. of Votes recorded at Polling Stations"	""	"3212"	"26323"	"40386"	"28893"	"1379"	"992"	"871"	"1476"	"103532"	"0"	"103532"	"0"
"264"	"No of votes recorded on postal ballot papers"	""	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"3"	"0"
"265"	""	"Total votes polled"	"3213"	"26323"	"40387"	"28894"	"1379"	"992"	"871"	"1476"	"103535"	"0"	"103535"	"0"
"266"	"Place :                                                                                                                                                                                                                        Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Date : 22/11/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
