"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"Total.No..of.tendered.votes"
"192"	"106"	"23"	"2"	"410"	"50"	"7"	"1"	"2"	"4"	"1"	"3"	"5"	"508"	"0"	"508"	"0"
"193"	"107"	"14"	"2"	"497"	"71"	"11"	"0"	"1"	"2"	"7"	"2"	"0"	"607"	"0"	"607"	"0"
"194"	"108"	"6"	"1"	"315"	"39"	"5"	"0"	"2"	"1"	"3"	"0"	"4"	"376"	"0"	"376"	"0"
"195"	"Total :"	"75"	"32"	"3463"	"1547"	"194"	"18"	"18"	"30"	"32"	"23"	"39"	"5471"	"0"	"5471"	"0"
"196"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"200"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"201"	"109"	"4"	"0"	"230"	"17"	"24"	"0"	"1"	"2"	"0"	"0"	"2"	"280"	"0"	"280"	"0"
"202"	"109A"	"2"	"2"	"175"	"63"	"32"	"0"	"0"	"1"	"1"	"0"	"3"	"279"	"0"	"279"	"0"
"203"	"110"	"4"	"0"	"260"	"39"	"5"	"0"	"2"	"1"	"0"	"0"	"0"	"311"	"0"	"311"	"0"
"204"	"111"	"8"	"0"	"400"	"34"	"5"	"1"	"0"	"2"	"3"	"0"	"0"	"453"	"0"	"453"	"0"
"205"	"111A"	"4"	"4"	"308"	"65"	"5"	"0"	"3"	"1"	"1"	"1"	"1"	"393"	"0"	"393"	"0"
"206"	"112"	"5"	"0"	"265"	"79"	"13"	"1"	"0"	"1"	"2"	"0"	"2"	"368"	"0"	"368"	"0"
"207"	"112A"	"13"	"2"	"262"	"68"	"11"	"0"	"0"	"0"	"3"	"0"	"4"	"363"	"0"	"363"	"0"
"208"	"113"	"1"	"3"	"411"	"40"	"12"	"1"	"1"	"2"	"3"	"2"	"3"	"479"	"0"	"479"	"0"
"209"	"113A"	"1"	"0"	"160"	"7"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"170"	"0"	"170"	"0"
"210"	"114"	"4"	"1"	"445"	"43"	"15"	"0"	"0"	"0"	"2"	"1"	"1"	"512"	"0"	"512"	"0"
"211"	"115"	"6"	"2"	"267"	"110"	"44"	"4"	"0"	"0"	"2"	"3"	"13"	"451"	"0"	"451"	"0"
"212"	"116"	"7"	"4"	"477"	"189"	"8"	"0"	"2"	"1"	"7"	"2"	"4"	"701"	"0"	"701"	"0"
"213"	"117"	"13"	"1"	"523"	"69"	"6"	"1"	"0"	"1"	"3"	"0"	"2"	"619"	"0"	"619"	"0"
"214"	"118"	"12"	"5"	"306"	"46"	"5"	"1"	"1"	"1"	"1"	"0"	"7"	"385"	"0"	"385"	"0"
"215"	"Total :"	"84"	"24"	"4489"	"869"	"186"	"9"	"10"	"13"	"28"	"10"	"42"	"5764"	"0"	"5764"	"0"
"216"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"220"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"221"	"118A"	"4"	"1"	"252"	"35"	"5"	"1"	"0"	"0"	"0"	"0"	"3"	"301"	"0"	"301"	"0"
"222"	"119"	"20"	"0"	"406"	"90"	"13"	"3"	"5"	"5"	"0"	"4"	"5"	"551"	"0"	"551"	"0"
"223"	"120"	"16"	"2"	"318"	"15"	"2"	"2"	"0"	"1"	"3"	"0"	"5"	"364"	"0"	"364"	"0"
"224"	"121"	"31"	"1"	"283"	"42"	"19"	"1"	"1"	"0"	"1"	"5"	"6"	"390"	"0"	"390"	"0"
"225"	"121A"	"9"	"0"	"283"	"47"	"17"	"0"	"1"	"3"	"1"	"3"	"5"	"369"	"0"	"369"	"0"
"226"	"122"	"12"	"3"	"472"	"103"	"7"	"0"	"1"	"1"	"1"	"1"	"4"	"605"	"0"	"605"	"0"
"227"	"123"	"5"	"9"	"544"	"97"	"18"	"0"	"3"	"8"	"5"	"1"	"14"	"704"	"0"	"704"	"0"
"228"	"124"	"4"	"4"	"437"	"53"	"10"	"4"	"2"	"1"	"5"	"1"	"5"	"526"	"0"	"526"	"0"
"229"	"125"	"1"	"1"	"286"	"96"	"11"	"2"	"1"	"3"	"3"	"3"	"5"	"412"	"0"	"412"	"0"
"230"	"126"	"2"	"6"	"343"	"77"	"13"	"1"	"3"	"1"	"1"	"4"	"3"	"454"	"0"	"454"	"0"
"231"	"127"	"8"	"2"	"459"	"32"	"17"	"2"	"0"	"12"	"3"	"5"	"11"	"551"	"0"	"551"	"0"
"232"	"128"	"4"	"3"	"249"	"55"	"55"	"1"	"0"	"2"	"0"	"0"	"2"	"371"	"0"	"371"	"0"
"233"	"128A"	"8"	"2"	"343"	"88"	"43"	"1"	"1"	"2"	"4"	"1"	"5"	"498"	"0"	"498"	"0"
"234"	"129"	"2"	"1"	"255"	"70"	"107"	"0"	"2"	"4"	"0"	"1"	"4"	"446"	"0"	"446"	"0"
"235"	"Total :"	"126"	"35"	"4930"	"900"	"337"	"18"	"20"	"43"	"27"	"29"	"77"	"6542"	"0"	"6542"	"0"
"236"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"240"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"241"	"130"	"0"	"1"	"458"	"53"	"84"	"2"	"2"	"4"	"3"	"2"	"3"	"612"	"0"	"612"	"0"
"242"	"131"	"2"	"5"	"260"	"85"	"62"	"5"	"2"	"2"	"5"	"0"	"3"	"431"	"0"	"431"	"0"
"243"	"131A"	"4"	"6"	"218"	"52"	"50"	"4"	"1"	"5"	"3"	"1"	"4"	"348"	"0"	"348"	"0"
"244"	"132"	"3"	"2"	"184"	"61"	"67"	"3"	"4"	"10"	"5"	"3"	"5"	"347"	"0"	"347"	"0"
"245"	"132A"	"5"	"2"	"224"	"85"	"58"	"5"	"4"	"6"	"6"	"2"	"8"	"405"	"0"	"405"	"0"
"246"	"133"	"2"	"2"	"291"	"60"	"65"	"0"	"2"	"3"	"5"	"1"	"2"	"433"	"0"	"433"	"0"
"247"	"134"	"2"	"1"	"368"	"31"	"7"	"1"	"1"	"1"	"2"	"1"	"1"	"416"	"0"	"416"	"0"
"248"	"135"	"4"	"2"	"397"	"103"	"8"	"3"	"2"	"2"	"3"	"0"	"5"	"529"	"0"	"529"	"0"
"249"	"136"	"7"	"3"	"322"	"84"	"33"	"0"	"4"	"5"	"2"	"4"	"2"	"466"	"0"	"466"	"0"
"250"	"136A"	"2"	"0"	"149"	"43"	"23"	"2"	"0"	"1"	"2"	"0"	"0"	"222"	"0"	"222"	"0"
"251"	"137"	"3"	"2"	"55"	"127"	"89"	"5"	"1"	"3"	"3"	"0"	"5"	"293"	"0"	"293"	"0"
"252"	"137A"	"1"	"0"	"116"	"93"	"43"	"1"	"0"	"0"	"1"	"0"	"1"	"256"	"0"	"256"	"0"
"253"	"138"	"7"	"2"	"328"	"86"	"203"	"7"	"2"	"11"	"2"	"7"	"8"	"663"	"0"	"663"	"0"
"254"	"139"	"5"	"4"	"321"	"96"	"7"	"2"	"1"	"2"	"0"	"0"	"3"	"441"	"0"	"441"	"0"
"255"	"Total :"	"47"	"32"	"3691"	"1059"	"799"	"40"	"26"	"55"	"42"	"21"	"50"	"5862"	"0"	"5862"	"0"
"256"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"260"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"261"	"140"	"0"	"1"	"267"	"96"	"7"	"0"	"2"	"2"	"0"	"1"	"0"	"376"	"0"	"376"	"0"
"262"	"141"	"7"	"3"	"288"	"104"	"88"	"2"	"4"	"2"	"5"	"2"	"6"	"511"	"0"	"511"	"0"
"263"	"142"	"1"	"2"	"226"	"37"	"9"	"1"	"0"	"1"	"0"	"0"	"1"	"278"	"0"	"278"	"0"
"264"	"143"	"4"	"2"	"305"	"53"	"13"	"1"	"2"	"0"	"2"	"0"	"4"	"386"	"0"	"386"	"0"
"265"	"144"	"8"	"3"	"97"	"85"	"204"	"2"	"1"	"10"	"5"	"0"	"9"	"424"	"0"	"424"	"0"
"266"	"145"	"41"	"9"	"219"	"117"	"52"	"2"	"1"	"9"	"3"	"5"	"5"	"463"	"0"	"463"	"0"
"267"	"146"	"5"	"5"	"257"	"81"	"3"	"2"	"1"	"3"	"7"	"3"	"10"	"377"	"0"	"377"	"0"
"268"	"146A"	"20"	"1"	"226"	"66"	"2"	"1"	"2"	"2"	"2"	"0"	"2"	"324"	"0"	"324"	"0"
"269"	"147"	"6"	"3"	"274"	"116"	"6"	"2"	"0"	"1"	"2"	"1"	"3"	"414"	"0"	"414"	"0"
"270"	"148"	"8"	"2"	"309"	"181"	"22"	"2"	"2"	"1"	"1"	"0"	"0"	"528"	"0"	"528"	"0"
"271"	"149"	"34"	"4"	"489"	"99"	"14"	"2"	"5"	"1"	"8"	"2"	"8"	"666"	"0"	"666"	"0"
"272"	"150"	"4"	"3"	"263"	"137"	"10"	"2"	"0"	"2"	"3"	"0"	"2"	"426"	"0"	"426"	"0"
"273"	"150A"	"2"	"3"	"234"	"75"	"9"	"0"	"0"	"1"	"1"	"0"	"2"	"327"	"0"	"327"	"0"
"274"	"151"	"1"	"0"	"238"	"82"	"6"	"3"	"2"	"0"	"3"	"1"	"3"	"339"	"0"	"339"	"0"
"275"	"Total :"	"141"	"41"	"3692"	"1329"	"445"	"22"	"22"	"35"	"42"	"15"	"55"	"5839"	"0"	"5839"	"0"
"276"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Date : 22.11.2005                                                                                                                                                   Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"279"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"280"	"151A"	"1"	"1"	"198"	"52"	"17"	"0"	"1"	"0"	"1"	"0"	"0"	"271"	"0"	"271"	"0"
"281"	"152"	"6"	"2"	"436"	"78"	"117"	"7"	"1"	"7"	"3"	"7"	"8"	"672"	"0"	"672"	"0"
"282"	"153"	"7"	"1"	"340"	"62"	"47"	"0"	"1"	"5"	"5"	"2"	"4"	"474"	"0"	"474"	"0"
"283"	"154"	"12"	"1"	"440"	"93"	"23"	"3"	"1"	"6"	"9"	"0"	"7"	"595"	"0"	"595"	"0"
"284"	"155"	"6"	"1"	"257"	"63"	"9"	"5"	"3"	"1"	"3"	"2"	"3"	"353"	"0"	"353"	"0"
"285"	"155A"	"0"	"1"	"278"	"34"	"14"	"0"	"0"	"1"	"5"	"0"	"1"	"334"	"0"	"334"	"0"
"286"	"156"	"9"	"5"	"406"	"36"	"11"	"2"	"1"	"3"	"2"	"1"	"4"	"480"	"0"	"480"	"0"
"287"	"157"	"10"	"2"	"204"	"167"	"96"	"8"	"5"	"7"	"4"	"5"	"16"	"524"	"0"	"524"	"0"
"288"	"157A"	"3"	"0"	"72"	"32"	"37"	"1"	"0"	"4"	"2"	"2"	"4"	"157"	"0"	"157"	"0"
"289"	"158"	"6"	"12"	"311"	"80"	"174"	"12"	"8"	"12"	"10"	"3"	"23"	"651"	"0"	"651"	"0"
"290"	"159"	"2"	"0"	"329"	"27"	"20"	"1"	"2"	"0"	"1"	"1"	"5"	"388"	"0"	"388"	"0"
"291"	"160"	"1"	"2"	"386"	"49"	"24"	"2"	"2"	"3"	"3"	"2"	"2"	"476"	"0"	"476"	"0"
"292"	"161"	"7"	"2"	"267"	"59"	"66"	"5"	"3"	"6"	"12"	"4"	"9"	"440"	"0"	"440"	"0"
"293"	"161A"	"8"	"4"	"214"	"66"	"41"	"3"	"3"	"6"	"4"	"2"	"6"	"357"	"0"	"357"	"0"
"294"	"Total :"	"78"	"34"	"4138"	"898"	"696"	"49"	"31"	"61"	"64"	"31"	"92"	"6172"	"0"	"6172"	"0"
"295"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"299"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"300"	"162"	"9"	"10"	"391"	"90"	"10"	"2"	"3"	"5"	"11"	"3"	"0"	"534"	"0"	"534"	"0"
"301"	"163"	"2"	"4"	"306"	"56"	"11"	"3"	"3"	"5"	"6"	"0"	"2"	"398"	"0"	"398"	"0"
"302"	"163A"	"1"	"0"	"201"	"35"	"7"	"0"	"0"	"0"	"2"	"1"	"1"	"248"	"0"	"248"	"0"
"303"	"164"	"1"	"5"	"434"	"71"	"23"	"0"	"2"	"2"	"3"	"1"	"4"	"546"	"0"	"546"	"0"
"304"	"165"	"5"	"1"	"347"	"30"	"9"	"0"	"2"	"0"	"5"	"3"	"6"	"408"	"0"	"408"	"0"
"305"	"165A"	"4"	"2"	"250"	"71"	"5"	"2"	"1"	"1"	"2"	"1"	"3"	"342"	"0"	"342"	"0"
"306"	"166"	"4"	"0"	"311"	"44"	"14"	"1"	"0"	"3"	"1"	"1"	"2"	"381"	"0"	"381"	"0"
"307"	"166A"	"20"	"4"	"258"	"54"	"11"	"0"	"0"	"1"	"2"	"2"	"7"	"359"	"0"	"359"	"0"
"308"	"167"	"6"	"1"	"290"	"202"	"4"	"0"	"1"	"2"	"3"	"2"	"8"	"519"	"0"	"519"	"0"
"309"	"168"	"5"	"4"	"341"	"77"	"8"	"1"	"3"	"4"	"5"	"8"	"14"	"470"	"0"	"470"	"0"
"310"	"169"	"3"	"0"	"333"	"33"	"1"	"2"	"0"	"0"	"1"	"0"	"3"	"376"	"0"	"376"	"0"
"311"	"169A"	"2"	"0"	"278"	"59"	"2"	"1"	"2"	"1"	"2"	"0"	"3"	"350"	"0"	"350"	"0"
"312"	"170"	"4"	"3"	"248"	"63"	"8"	"2"	"1"	"2"	"7"	"0"	"10"	"348"	"0"	"348"	"0"
"313"	"170A"	"6"	"4"	"293"	"27"	"5"	"2"	"2"	"5"	"3"	"2"	"7"	"356"	"0"	"356"	"0"
"314"	"Total :"	"72"	"38"	"4281"	"912"	"118"	"16"	"20"	"31"	"53"	"24"	"70"	"5635"	"0"	"5635"	"0"
"315"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"319"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"320"	"171"	"7"	"3"	"262"	"86"	"5"	"2"	"3"	"2"	"3"	"3"	"10"	"386"	"0"	"386"	"0"
"321"	"172"	"5"	"0"	"151"	"160"	"4"	"1"	"0"	"1"	"1"	"3"	"3"	"329"	"0"	"329"	"0"
"322"	"173"	"23"	"4"	"173"	"258"	"31"	"1"	"2"	"2"	"2"	"2"	"1"	"499"	"0"	"499"	"0"
"323"	"174"	"3"	"3"	"130"	"57"	"17"	"5"	"0"	"4"	"4"	"3"	"3"	"229"	"0"	"229"	"0"
"324"	"174A"	"6"	"5"	"66"	"139"	"26"	"1"	"3"	"2"	"1"	"1"	"1"	"251"	"0"	"251"	"0"
"325"	"175"	"1"	"3"	"130"	"230"	"5"	"1"	"1"	"6"	"1"	"4"	"10"	"392"	"0"	"392"	"0"
"326"	"176"	"0"	"1"	"160"	"53"	"2"	"0"	"0"	"1"	"2"	"1"	"3"	"223"	"0"	"223"	"0"
"327"	"176A"	"4"	"3"	"309"	"36"	"2"	"0"	"1"	"1"	"3"	"2"	"1"	"362"	"0"	"362"	"0"
"328"	"177"	"7"	"1"	"121"	"312"	"2"	"3"	"1"	"6"	"3"	"4"	"16"	"476"	"0"	"476"	"0"
"329"	"178"	"4"	"2"	"152"	"240"	"12"	"1"	"4"	"2"	"6"	"3"	"11"	"437"	"0"	"437"	"0"
"330"	"179"	"8"	"5"	"150"	"119"	"13"	"3"	"1"	"5"	"3"	"1"	"7"	"315"	"0"	"315"	"0"
"331"	"179A"	"18"	"9"	"58"	"195"	"48"	"8"	"5"	"10"	"6"	"6"	"12"	"375"	"0"	"375"	"0"
"332"	"180"	"8"	"1"	"241"	"247"	"9"	"4"	"3"	"2"	"4"	"3"	"9"	"531"	"0"	"531"	"0"
"333"	"181"	"7"	"7"	"93"	"178"	"8"	"4"	"2"	"2"	"1"	"3"	"5"	"310"	"0"	"310"	"0"
"334"	"Total :"	"101"	"47"	"2196"	"2310"	"184"	"34"	"26"	"46"	"40"	"39"	"92"	"5115"	"0"	"5115"	"0"
"335"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"339"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"340"	"182"	"1"	"3"	"95"	"182"	"10"	"2"	"1"	"6"	"3"	"4"	"6"	"313"	"0"	"313"	"0"
"341"	"182A"	"6"	"4"	"54"	"155"	"9"	"3"	"1"	"0"	"4"	"2"	"8"	"246"	"0"	"246"	"0"
"342"	"183"	"4"	"4"	"125"	"268"	"15"	"3"	"1"	"5"	"1"	"5"	"18"	"449"	"0"	"449"	"0"
"343"	"183A"	"7"	"6"	"67"	"185"	"15"	"2"	"2"	"2"	"3"	"2"	"7"	"298"	"0"	"298"	"0"
"344"	"184"	"6"	"5"	"14"	"397"	"5"	"2"	"0"	"3"	"1"	"5"	"10"	"448"	"0"	"448"	"0"
"345"	"185"	"4"	"0"	"42"	"283"	"8"	"2"	"0"	"1"	"1"	"2"	"9"	"352"	"0"	"352"	"0"
"346"	"186"	"8"	"7"	"36"	"331"	"33"	"5"	"2"	"11"	"4"	"2"	"17"	"456"	"0"	"456"	"0"
"347"	"187"	"3"	"3"	"127"	"165"	"19"	"2"	"2"	"0"	"2"	"2"	"3"	"328"	"0"	"328"	"0"
"348"	"188"	"8"	"12"	"72"	"155"	"43"	"3"	"5"	"6"	"6"	"0"	"15"	"325"	"0"	"325"	"0"
"349"	"189"	"17"	"7"	"44"	"224"	"80"	"4"	"3"	"5"	"0"	"1"	"2"	"387"	"0"	"387"	"0"
"350"	"190"	"10
11
2"	"5"	"23"	"199"	"15"	"2"	"0"	"6"	"0"	"1"	"6"	"267"	"0"	"267"	"0"
"351"	"191"	""	"6"	"145"	"271"	"109"	"6"	"10"	"10"	"12"	"5"	"19"	"604"	"0"	"604"	"0"
"352"	"192"	""	"1"	"29"	"319"	"15"	"4"	"1"	"7"	"1"	"1"	"7"	"387"	"0"	"387"	"0"
"353"	"193"	"7"	"0"	"50"	"411"	"8"	"1"	"2"	"2"	"0"	"4"	"3"	"488"	"0"	"488"	"0"
"354"	"Total :"	"94"	"63"	"923"	"3545"	"384"	"41"	"30"	"64"	"38"	"36"	"130"	"5348"	"0"	"5348"	"0"
"355"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"359"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"360"	"194"	"17"	"3"	"24"	"338"	"6"	"1"	"0"	"4"	"4"	"0"	"19"	"416"	"0"	"416"	"0"
"361"	"195"	"12"	"5"	"186"	"186"	"17"	"1"	"7"	"11"	"9"	"7"	"18"	"459"	"0"	"459"	"0"
"362"	"196"	"10"	"4"	"176"	"148"	"13"	"3"	"3"	"3"	"8"	"1"	"14"	"383"	"0"	"383"	"0"
"363"	"197"	"3"	"3"	"26"	"273"	"12"	"6"	"1"	"2"	"1"	"0"	"11"	"338"	"0"	"338"	"0"
"364"	"197A"	"5"	"8"	"44"	"195"	"25"	"2"	"1"	"5"	"3"	"2"	"13"	"303"	"0"	"303"	"0"
"365"	"198"	"9"	"8"	"70"	"229"	"26"	"1"	"1"	"5"	"5"	"3"	"11"	"368"	"0"	"368"	"0"
"366"	"199"	"33"	"2"	"105"	"221"	"24"	"3"	"1"	"4"	"2"	"5"	"20"	"420"	"0"	"420"	"0"
"367"	"200"	"10"	"0"	"5"	"202"	"6"	"2"	"0"	"2"	"2"	"3"	"15"	"247"	"0"	"247"	"0"
"368"	"201"	"4"	"7"	"58"	"612"	"20"	"5"	"6"	"6"	"1"	"1"	"12"	"732"	"0"	"732"	"0"
"369"	"202"	"4"	"2"	"22"	"391"	"5"	"0"	"1"	"1"	"0"	"0"	"5"	"431"	"0"	"431"	"0"
"370"	"203"	"14"	"4"	"48"	"283"	"21"	"3"	"4"	"4"	"7"	"6"	"14"	"408"	"0"	"408"	"0"
"371"	"204"	"9"	"7"	"41"	"275"	"13"	"0"	"3"	"8"	"1"	"2"	"11"	"370"	"0"	"370"	"0"
"372"	"205"	"10"	"4"	"94"	"495"	"9"	"7"	"2"	"3"	"7"	"3"	"8"	"642"	"0"	"642"	"0"
"373"	"206"	"26"	"13"	"72"	"579"	"22"	"5"	"4"	"4"	"3"	"1"	"5"	"734"	"0"	"734"	"0"
"374"	"Total :"	"166"	"70"	"971"	"4427"	"219"	"39"	"34"	"62"	"53"	"34"	"176"	"6251"	"0"	"6251"	"0"
"375"	"Place : Geography Block, A.N.College, Patna."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Date : 22.11.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"Serial No.
of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered
votes"
"379"	""	"Umesh Singh"	"Ganga
Dayal Singh"	"Nand
Kishore Yadav"	"Bharati Devi"	"Ramesh
chandra Kapoor"	"Panna Devi"	"Kashi Gope"	"Dilip Kumar"	"Poonam Gandhi"	"Valiram
Vishwa- karma"	"Virendra Sharma"	""	""	""	""
"380"	"207"	"14"	"7"	"131"	"267"	"18"	"1"	"4"	"3"	"2"	"2"	"2"	"451"	"0"	"451"	"0"
"381"	"208"	"10"	"8"	"115"	"327"	"10"	"3"	"1"	"8"	"3"	"2"	"12"	"499"	"0"	"499"	"0"
"382"	"209"	"13"	"3"	"48"	"392"	"10"	"2"	"1"	"9"	"3"	"2"	"20"	"503"	"0"	"503"	"0"
"383"	"210"	"14"	"7"	"72"	"465"	"7"	"0"	"1"	"5"	"1"	"1"	"12"	"585"	"0"	"585"	"0"
"384"	"211"	"19"	"3"	"33"	"369"	"10"	"6"	"4"	"1"	"3"	"1"	"16"	"465"	"0"	"465"	"0"
"385"	"212"	"9"	"5"	"365"	"90"	"75"	"3"	"2"	"5"	"6"	"0"	"2"	"562"	"0"	"562"	"0"
