"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 163-PARBATTA ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment : 204745"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 163-PARBATTA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"170"	"102"	"3"	"6"	"739"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"758"	""	"758"	""
"171"	"103"	"0"	"1"	"461"	"2"	"2"	"0"	"0"	"0"	"5"	"4"	"2"	"477"	""	"477"	""
"172"	"103A"	"1"	"1"	"395"	"4"	"2"	"0"	"0"	"0"	"5"	"0"	"2"	"410"	""	"410"	""
"173"	"104"	"2"	"1"	"415"	"3"	"0"	"0"	"0"	"0"	"27"	"2"	"1"	"451"	""	"451"	""
"174"	"105"	"12"	"7"	"419"	"4"	"1"	"2"	"3"	"6"	"60"	"9"	"11"	"534"	""	"534"	""
"175"	"106"	"9"	"6"	"539"	"4"	"3"	"0"	"2"	"7"	"45"	"3"	"2"	"620"	""	"620"	""
"176"	"107"	"73"	"3"	"259"	"11"	"6"	"5"	"2"	"9"	"29"	"20"	"31"	"448"	""	"448"	""
"177"	"108"	"33"	"7"	"215"	"11"	"4"	"1"	"1"	"10"	"172"	"10"	"8"	"472"	""	"472"	""
"178"	"109"	"8"	"3"	"517"	"10"	"1"	"1"	"1"	"0"	"8"	"0"	"5"	"554"	""	"554"	""
"179"	"110"	"1"	"0"	"289"	"3"	"3"	"1"	"0"	"0"	"51"	"4"	"6"	"358"	""	"358"	""
"180"	"111"	"4"	"0"	"386"	"0"	"0"	"0"	"0"	"0"	"19"	"3"	"1"	"413"	""	"413"	""
"181"	"112"	"18"	"2"	"294"	"3"	"2"	"1"	"1"	"6"	"109"	"9"	"12"	"457"	""	"457"	""
"182"	"113"	"2"	"1"	"500"	"6"	"2"	"0"	"4"	"0"	"24"	"2"	"4"	"545"	""	"545"	""
"183"	"114"	"2"	"1"	"444"	"0"	"2"	"0"	"0"	"0"	"50"	"1"	"0"	"500"	""	"500"	""
"184"	"Round-9
Total"	"168"	"39"	"5872"	"69"	"29"	"11"	"14"	"38"	"604"	"67"	"86"	"6997"	"0"	"6997"	"0"
"185"	"Cuml. Total"	"2723"	"633"	"23907"	"953"	"382"	"563"	"328"	"1430"	"26188"	"1624"	"1499"	"60230"	"0"	"60230"	"0"
"186"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"187"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"188"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"189"	"B/F"	"2723"	"633"	"23907"	"953"	"382"	"563"	"328"	"1430"	"26188"	"1624"	"1499"	"60230"	"0"	"60230"	"0"
"190"	"115"	"6"	"3"	"174"	"3"	"1"	"1"	"0"	"3"	"13"	"2"	"3"	"209"	""	"209"	""
"191"	"116"	"1"	"3"	"584"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"588"	""	"588"	""
"192"	"117"	"1"	"1"	"611"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"1"	"620"	""	"620"	""
"193"	"117A"	"1"	"1"	"281"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"285"	""	"285"	""
"194"	"118"	"2"	"3"	"469"	"1"	"0"	"0"	"0"	"0"	"5"	"0"	"1"	"481"	""	"481"	""
"195"	"119"	"6"	"7"	"92"	"6"	"4"	"5"	"4"	"22"	"390"	"22"	"17"	"575"	""	"575"	""
"196"	"120"	"15"	"9"	"32"	"8"	"4"	"1"	"3"	"20"	"273"	"17"	"29"	"411"	""	"411"	""
"197"	"121"	"19"	"2"	"334"	"9"	"3"	"2"	"1"	"5"	"16"	"2"	"8"	"401"	""	"401"	""
"198"	"122"	"15"	"6"	"683"	"10"	"6"	"3"	"0"	"1"	"19"	"5"	"12"	"760"	""	"760"	""
"199"	"123"	"6"	"4"	"559"	"4"	"2"	"0"	"2"	"4"	"23"	"3"	"1"	"608"	""	"608"	""
"200"	"124"	"18"	"3"	"617"	"13"	"4"	"2"	"0"	"1"	"22"	"3"	"1"	"684"	""	"684"	""
"201"	"125"	"12"	"4"	"505"	"12"	"3"	"20"	"2"	"5"	"19"	"4"	"9"	"595"	""	"595"	""
"202"	"126"	"29"	"3"	"298"	"5"	"1"	"27"	"2"	"2"	"6"	"1"	"2"	"376"	""	"376"	""
"203"	"126A"	"4"	"5"	"312"	"6"	"7"	"8"	"1"	"2"	"20"	"2"	"0"	"367"	""	"367"	""
"204"	"Round-10
Total"	"135"	"54"	"5551"	"78"	"36"	"69"	"15"	"66"	"810"	"62"	"84"	"6960"	"0"	"6960"	"0"
"205"	"Cuml. Total"	"2858"	"687"	"29458"	"1031"	"418"	"632"	"343"	"1496"	"26998"	"1686"	"1583"	"67190"	"0"	"67190"	"0"
"206"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"207"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"208"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"209"	"B/F"	"2858"	"687"	"29458"	"1031"	"418"	"632"	"343"	"1496"	"26998"	"1686"	"1583"	"67190"	"0"	"67190"	"0"
"210"	"127"	"4"	"3"	"44"	"4"	"3"	"4"	"3"	"19"	"327"	"11"	"12"	"434"	""	"434"	""
"211"	"127A"	"3"	"3"	"177"	"7"	"5"	"10"	"5"	"12"	"115"	"10"	"15"	"362"	""	"362"	""
"212"	"128"	"14"	"3"	"60"	"7"	"2"	"7"	"1"	"14"	"255"	"12"	"15"	"390"	""	"390"	""
"213"	"129"	"6"	"5"	"145"	"5"	"4"	"5"	"6"	"23"	"237"	"26"	"27"	"489"	""	"489"	""
"214"	"130"	"19"	"6"	"81"	"17"	"5"	"8"	"4"	"29"	"377"	"28"	"32"	"606"	""	"606"	""
"215"	"131"	"15"	"5"	"255"	"12"	"1"	"9"	"5"	"11"	"207"	"15"	"15"	"550"	""	"550"	""
"216"	"132"	"6"	"0"	"21"	"2"	"1"	"0"	"0"	"3"	"569"	"8"	"7"	"617"	""	"617"	""
"217"	"133"	"12"	"4"	"179"	"12"	"4"	"8"	"5"	"12"	"219"	"10"	"22"	"487"	""	"487"	""
"218"	"134"	"10"	"5"	"206"	"5"	"4"	"8"	"6"	"7"	"89"	"5"	"6"	"351"	""	"351"	""
"219"	"135"	"32"	"3"	"171"	"10"	"1"	"5"	"1"	"6"	"285"	"15"	"10"	"539"	""	"539"	""
"220"	"136"	"36"	"5"	"136"	"12"	"2"	"10"	"2"	"25"	"281"	"19"	"11"	"539"	""	"539"	""
"221"	"137"	"17"	"14"	"58"	"15"	"3"	"11"	"4"	"22"	"337"	"21"	"6"	"508"	""	"508"	""
"222"	"138"	"4"	"3"	"194"	"11"	"0"	"1"	"4"	"21"	"239"	"23"	"14"	"514"	""	"514"	""
"223"	"139"	"49"	"12"	"195"	"12"	"5"	"13"	"11"	"42"	"371"	"32"	"39"	"781"	""	"781"	""
"224"	"Round-11
Total"	"227"	"71"	"1922"	"131"	"40"	"99"	"57"	"246"	"3908"	"235"	"231"	"7167"	"0"	"7167"	"0"
"225"	"Cuml. Total"	"3085"	"758"	"31380"	"1162"	"458"	"731"	"400"	"1742"	"30906"	"1921"	"1814"	"74357"	"0"	"74357"	"0"
"226"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"227"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"228"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"229"	"B/F"	"3085"	"758"	"31380"	"1162"	"458"	"731"	"400"	"1742"	"30906"	"1921"	"1814"	"74357"	"0"	"74357"	"0"
"230"	"140"	"20"	"30"	"99"	"9"	"3"	"3"	"3"	"7"	"221"	"16"	"10"	"421"	""	"421"	""
"231"	"141"	"15"	"4"	"83"	"5"	"2"	"1"	"0"	"7"	"97"	"11"	"10"	"235"	""	"235"	""
"232"	"142"	"10"	"2"	"20"	"2"	"3"	"1"	"1"	"24"	"391"	"15"	"24"	"493"	""	"493"	""
"233"	"142A"	"18"	"1"	"14"	"0"	"2"	"0"	"2"	"7"	"150"	"4"	"14"	"212"	""	"212"	""
"234"	"143"	"8"	"2"	"243"	"1"	"1"	"1"	"1"	"6"	"86"	"4"	"10"	"363"	""	"363"	""
"235"	"144"	"23"	"5"	"121"	"2"	"2"	"2"	"1"	"9"	"160"	"5"	"11"	"341"	""	"341"	""
"236"	"145"	"16"	"3"	"355"	"9"	"1"	"2"	"2"	"3"	"30"	"3"	"10"	"434"	""	"434"	""
"237"	"146"	"8"	"1"	"348"	"5"	"2"	"0"	"1"	"5"	"24"	"4"	"2"	"400"	""	"400"	""
"238"	"147"	"4"	"2"	"490"	"5"	"0"	"0"	"1"	"3"	"4"	"3"	"0"	"512"	""	"512"	""
"239"	"148"	"3"	"2"	"501"	"5"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"519"	""	"519"	""
"240"	"149"	"29"	"5"	"42"	"12"	"1"	"4"	"2"	"17"	"293"	"21"	"37"	"463"	""	"463"	""
"241"	"150"	"14"	"2"	"24"	"3"	"1"	"4"	"7"	"15"	"243"	"21"	"48"	"382"	""	"382"	""
"242"	"151"	"15"	"6"	"95"	"5"	"2"	"5"	"2"	"4"	"84"	"9"	"4"	"231"	""	"231"	""
"243"	"152"	"8"	"1"	"438"	"6"	"2"	"0"	"0"	"0"	"15"	"1"	"1"	"472"	""	"472"	""
"244"	"Round-12
Total"	"191"	"66"	"2873"	"69"	"23"	"23"	"23"	"108"	"1800"	"119"	"183"	"5478"	"0"	"5478"	"0"
"245"	"Cuml. Total"	"3276"	"824"	"34253"	"1231"	"481"	"754"	"423"	"1850"	"32706"	"2040"	"1997"	"79835"	"0"	"79835"	"0"
"246"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"247"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"248"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"249"	"B/F"	"3276"	"824"	"34253"	"1231"	"481"	"754"	"423"	"1850"	"32706"	"2040"	"1997"	"79835"	"0"	"79835"	"0"
"250"	"153"	"16"	"0"	"785"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"802"	""	"802"	""
"251"	"154"	"9"	"2"	"400"	"1"	"2"	"1"	"0"	"3"	"5"	"3"	"1"	"427"	""	"427"	""
"252"	"155"	"1"	"1"	"427"	"1"	"0"	"0"	"0"	"0"	"5"	"0"	"1"	"436"	""	"436"	""
"253"	"156"	"4"	"4"	"59"	"7"	"2"	"9"	"2"	"22"	"262"	"18"	"17"	"406"	""	"406"	""
"254"	"157"	"7"	"3"	"420"	"11"	"2"	"1"	"1"	"1"	"2"	"3"	"0"	"451"	""	"451"	""
"255"	"158"	"5"	"2"	"29"	"12"	"3"	"5"	"1"	"14"	"340"	"25"	"13"	"449"	""	"449"	""
"256"	"159"	"15"	"4"	"25"	"5"	"2"	"6"	"5"	"32"	"422"	"29"	"35"	"580"	""	"580"	""
"257"	"160"	"29"	"11"	"325"	"12"	"2"	"11"	"5"	"12"	"233"	"17"	"18"	"675"	""	"675"	""
"258"	"161"	"26"	"12"	"336"	"15"	"10"	"19"	"5"	"18"	"246"	"21"	"8"	"716"	""	"716"	""
"259"	"162"	"21"	"4"	"104"	"8"	"4"	"5"	"6"	"30"	"380"	"22"	"22"	"606"	""	"606"	""
"260"	"163"	"18"	"19"	"325"	"2"	"2"	"2"	"1"	"3"	"26"	"4"	"6"	"408"	""	"408"	""
"261"	"164"	"46"	"3"	"40"	"4"	"1"	"2"	"2"	"16"	"502"	"14"	"3"	"633"	""	"633"	""
"262"	"165"	"12"	"4"	"27"	"10"	"5"	"9"	"3"	"22"	"390"	"20"	"22"	"524"	""	"524"	""
"263"	"166"	"4"	"0"	"286"	"4"	"0"	"0"	"1"	"0"	"6"	"1"	"3"	"305"	""	"305"	""
"264"	"Round-13
Total"	"213"	"69"	"3588"	"92"	"35"	"70"	"32"	"173"	"2820"	"177"	"149"	"7418"	"0"	"7418"	"0"
"265"	"Cuml. Total"	"3489"	"893"	"37841"	"1323"	"516"	"824"	"455"	"2023"	"35526"	"2217"	"2146"	"87253"	"0"	"87253"	"0"
"266"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"267"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"268"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"269"	"B/F"	"3489"	"893"	"37841"	"1323"	"516"	"824"	"455"	"2023"	"35526"	"2217"	"2146"	"87253"	"0"	"87253"	"0"
"270"	"167"	"36"	"20"	"254"	"7"	"2"	"2"	"0"	"8"	"69"	"19"	"24"	"441"	""	"441"	""
"271"	"168"	"3"	"3"	"157"	"4"	"1"	"2"	"5"	"9"	"69"	"5"	"12"	"270"	""	"270"	""
"272"	"169"	"10"	"4"	"330"	"7"	"0"	"1"	"0"	"2"	"14"	"1"	"1"	"370"	""	"370"	""
"273"	"170"	"8"	"2"	"107"	"9"	"0"	"8"	"4"	"12"	"298"	"23"	"17"	"488"	""	"488"	""
"274"	"171"	"38"	"8"	"75"	"9"	"8"	"4"	"5"	"30"	"283"	"28"	"20"	"508"	""	"508"	""
"275"	"172"	"39"	"9"	"103"	"18"	"2"	"14"	"4"	"20"	"257"	"14"	"11"	"491"	""	"491"	""
"276"	"173"	"0"	"2"	"23"	"6"	"1"	"0"	"1"	"8"	"425"	"5"	"3"	"474"	""	"474"	""
"277"	"173A"	"7"	"1"	"11"	"3"	"0"	"2"	"0"	"6"	"347"	"9"	"4"	"390"	""	"390"	""
"278"	"174"	"6"	"0"	"9"	"3"	"1"	"2"	"0"	"8"	"621"	"4"	"5"	"659"	""	"659"	""
"279"	"175"	"7"	"0"	"90"	"7"	"6"	"4"	"3"	"21"	"382"	"22"	"29"	"571"	""	"571"	""
"280"	"176"	"16"	"4"	"279"	"13"	"1"	"5"	"1"	"14"	"147"	"15"	"11"	"506"	""	"506"	""
"281"	"177"	"11"	"3"	"140"	"3"	"2"	"4"	"2"	"14"	"105"	"11"	"5"	"300"	""	"300"	""
"282"	"177A"	"19"	"5"	"104"	"10"	"4"	"3"	"3"	"13"	"152"	"21"	"32"	"366"	""	"366"	""
"283"	"178"	"17"	"5"	"415"	"11"	"5"	"8"	"4"	"8"	"81"	"17"	"18"	"589"	""	"589"	""
"284"	"Round-14
Total"	"217"	"66"	"2097"	"110"	"33"	"59"	"32"	"173"	"3250"	"194"	"192"	"6423"	"0"	"6423"	"0"
"285"	"Cuml. Total"	"3706"	"959"	"39938"	"1433"	"549"	"883"	"487"	"2196"	"38776"	"2411"	"2338"	"93676"	"0"	"93676"	"0"
"286"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"287"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"288"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"289"	"B/F"	"3706"	"959"	"39938"	"1433"	"549"	"883"	"487"	"2196"	"38776"	"2411"	"2338"	"93676"	"0"	"93676"	"0"
"290"	"179"	"37"	"11"	"332"	"3"	"5"	"3"	"5"	"20"	"190"	"29"	"14"	"649"	""	"649"	""
"291"	"180"	"17"	"10"	"325"	"15"	"4"	"8"	"6"	"8"	"180"	"11"	"13"	"597"	""	"597"	""
"292"	"181"	"26"	"9"	"292"	"11"	"9"	"8"	"3"	"10"	"203"	"18"	"21"	"610"	""	"610"	""
"293"	"182"	"7"	"4"	"214"	"9"	"1"	"7"	"1"	"9"	"340"	"15"	"9"	"616"	""	"616"	""
"294"	"183"	"13"	"1"	"731"	"2"	"2"	"0"	"0"	"0"	"4"	"2"	"1"	"756"	""	"756"	""
"295"	"184"	"35"	"13"	"81"	"10"	"3"	"4"	"2"	"22"	"347"	"26"	"18"	"561"	""	"561"	""
"296"	"185"	"6"	"1"	"140"	"8"	"2"	"1"	"1"	"4"	"197"	"9"	"3"	"372"	""	"372"	""
"297"	"186"	"26"	"8"	"583"	"15"	"4"	"9"	"1"	"11"	"59"	"10"	"14"	"740"	""	"740"	""
"298"	"187"	"27"	"8"	"426"	"5"	"1"	"1"	"1"	"5"	"33"	"8"	"22"	"537"	""	"537"	""
"299"	"188"	"16"	"3"	"466"	"9"	"6"	"2"	"1"	"10"	"117"	"12"	"22"	"664"	""	"664"	""
"300"	"189"	"9"	"6"	"184"	"6"	"5"	"1"	"3"	"7"	"156"	"13"	"14"	"404"	""	"404"	""
"301"	"190"	"12"	"3"	"108"	"6"	"1"	"8"	"0"	"10"	"260"	"14"	"3"	"425"	""	"425"	""
"302"	"191"	"7"	"2"	"152"	"0"	"1"	"1"	"0"	"7"	"146"	"8"	"10"	"334"	""	"334"	""
"303"	"192"	"13"	"4"	"356"	"4"	"1"	"1"	"2"	"8"	"139"	"14"	"7"	"549"	""	"549"	""
"304"	"Round-15
Total"	"251"	"83"	"4390"	"103"	"45"	"54"	"26"	"131"	"2371"	"189"	"171"	"7814"	"0"	"7814"	"0"
"305"	"Cuml. Total"	"3957"	"1042"	"44328"	"1536"	"594"	"937"	"513"	"2327"	"41147"	"2600"	"2509"	"101490"	"0"	"101490"	"0"
"306"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"307"	""	"PARMANAND CHOUDHARY (LJP)"	"PREM KUMAR (BSP)"	"RAMANAND PRASAD SINGH (JD(U))"	"JANARDAN PANDIT (ABJS)"	"TEJ BAHADUR SINGH (PTSS)"	"SUNIL KUMAR (SP)"	"DHRUV KUMAR SHARMA (IND)"	"PRABHAT KUMAR (IND)"	"RAJESH KUMAR (IND)"	"BIRENDRA KUMAR CHOUDHARY (IND)"	"SHIV KUMAR MISHRA (IND)"	""	""	""	""
"308"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"309"	"B/F"	"3957"	"1042"	"44328"	"1536"	"594"	"937"	"513"	"2327"	"41147"	"2600"	"2509"	"101490"	"0"	"101490"	"0"
"310"	"193"	"25"	"10"	"202"	"11"	"1"	"4"	"7"	"6"	"114"	"3"	"9"	"392"	""	"392"	""
"311"	"194"	"18"	"2"	"135"	"7"	"5"	"6"	"3"	"13"	"187"	"12"	"14"	"402"	""	"402"	""
"312"	"195"	"3"	"1"	"103"	"2"	"0"	"0"	"4"	"7"	"89"	"6"	"5"	"220"	""	"220"	""
"313"	"196"	"0"	"0"	"352"	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"360"	""	"360"	""
"314"	"197"	"1"	"0"	"561"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"567"	""	"567"	""
"315"	"Round-16
Total"	"47"	"13"	"1353"	"26"	"7"	"10"	"14"	"27"	"392"	"21"	"31"	"1941"	"0"	"1941"	"0"
"316"	"Grand
Total"	"4004"	"1055"	"45681"	"1562"	"601"	"947"	"527"	"2354"	"41539"	"2621"	"2540"	"103431"	"0"	"103431"	"0"
