"No..and.Name.of.Assembly.Constituency...........48..Jandaha"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"180"	"96"	"422"	""	"275"	""	"43"	""	"66"	""	"9"	""	"5"	""	"6"	""	"18"	"422"	"0"	"422"	"0"
"181"	"97"	"495"	""	"296"	""	"55"	""	"77"	""	"18"	""	"9"	""	"8"	""	"32"	"495"	"0"	"495"	"0"
"182"	"98"	"449"	""	"93"	""	"16"	""	"269"	""	"19"	""	"15"	""	"11"	""	"26"	"449"	"0"	"449"	"0"
"183"	"99"	"392"	""	"250"	""	"77"	""	"27"	""	"3"	""	"6"	""	"8"	""	"21"	"392"	"0"	"392"	"0"
"184"	"100"	"320"	""	"165"	""	"14"	""	"106"	""	"7"	""	"4"	""	"6"	""	"18"	"320"	"0"	"320"	"0"
"185"	"101"	"532"	""	"140"	""	"88"	""	"255"	""	"11"	""	"7"	""	"14"	""	"17"	"532"	"0"	"532"	"0"
"186"	"102"	"319"	""	"167"	""	"14"	""	"90"	""	"3"	""	"24"	""	"4"	""	"17"	"319"	"0"	"319"	"0"
"187"	"103"	"524"	""	"147"	""	"106"	""	"200"	""	"9"	""	"12"	""	"14"	""	"36"	"524"	"0"	"524"	"0"
"188"	"104"	"541"	""	"88"	""	"344"	""	"27"	""	"6"	""	"23"	""	"28"	""	"25"	"541"	"0"	"541"	"0"
"189"	"Grand Total"	"5864"	""	"2219"	""	"878"	""	"2086"	""	"139"	""	"135"	""	"122"	""	"285"	"5864"	"0"	"5864"	"0"
"190"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"191"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"192"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Round No.  :-    9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"196"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"197"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"198"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"199"	"105"	"436"	""	"123"	""	"213"	""	"42"	""	"6"	""	"16"	""	"18"	""	"18"	"436"	"0"	"436"	"0"
"200"	"106"	"490"	""	"29"	""	"419"	""	"13"	""	"2"	""	"10"	""	"9"	""	"8"	"490"	"0"	"490"	"0"
"201"	"107"	"261"	""	"122"	""	"15"	""	"102"	""	"7"	""	"4"	""	"3"	""	"8"	"261"	"0"	"261"	"0"
"202"	"107K"	"294"	""	"108"	""	"64"	""	"79"	""	"4"	""	"7"	""	"8"	""	"24"	"294"	"0"	"294"	"0"
"203"	"108"	"354"	""	"309"	""	"14"	""	"18"	""	"1"	""	"8"	""	"0"	""	"4"	"354"	"0"	"354"	"0"
"204"	"109"	"345"	""	"95"	""	"3"	""	"204"	""	"12"	""	"3"	""	"6"	""	"22"	"345"	"0"	"345"	"0"
"205"	"110"	"326"	""	"283"	""	"25"	""	"7"	""	"1"	""	"1"	""	"1"	""	"8"	"326"	"0"	"326"	"0"
"206"	"111"	"293"	""	"231"	""	"24"	""	"17"	""	"1"	""	"2"	""	"4"	""	"14"	"293"	"0"	"293"	"0"
"207"	"111K"	"296"	""	"178"	""	"13"	""	"74"	""	"12"	""	"4"	""	"1"	""	"14"	"296"	"0"	"296"	"0"
"208"	"112"	"435"	""	"341"	""	"13"	""	"31"	""	"6"	""	"4"	""	"7"	""	"33"	"435"	"0"	"435"	"0"
"209"	"113"	"340"	""	"282"	""	"20"	""	"15"	""	"2"	""	"5"	""	"4"	""	"12"	"340"	"0"	"340"	"0"
"210"	"114"	"271"	""	"146"	""	"80"	""	"16"	""	"0"	""	"5"	""	"9"	""	"15"	"271"	"0"	"271"	"0"
"211"	"114K"	"300"	""	"82"	""	"151"	""	"17"	""	"2"	""	"11"	""	"18"	""	"19"	"300"	"0"	"300"	"0"
"212"	"115"	"535"	""	"194"	""	"20"	""	"262"	""	"12"	""	"10"	""	"9"	""	"28"	"535"	"0"	"535"	"0"
"213"	"Grand Total"	"4976"	""	"2523"	""	"1074"	""	"897"	""	"68"	""	"90"	""	"97"	""	"227"	"4976"	"0"	"4976"	"0"
"214"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"215"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"216"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Round No.  :-    10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"220"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"221"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"222"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"223"	"116"	"528"	""	"116"	""	"81"	""	"260"	""	"20"	""	"17"	""	"12"	""	"22"	"528"	"0"	"528"	"0"
"224"	"117"	"489"	""	"127"	""	"68"	""	"243"	""	"18"	""	"13"	""	"11"	""	"9"	"489"	"0"	"489"	"0"
"225"	"118"	"477"	""	"101"	""	"145"	""	"193"	""	"12"	""	"9"	""	"6"	""	"11"	"477"	"0"	"477"	"0"
"226"	"119"	"396"	""	"48"	""	"29"	""	"251"	""	"11"	""	"18"	""	"4"	""	"35"	"396"	"0"	"396"	"0"
"227"	"120"	"465"	""	"140"	""	"76"	""	"186"	""	"17"	""	"9"	""	"10"	""	"27"	"465"	"0"	"465"	"0"
"228"	"121"	"365"	""	"97"	""	"29"	""	"213"	""	"7"	""	"6"	""	"3"	""	"10"	"365"	"0"	"365"	"0"
"229"	"122"	"348"	""	"142"	""	"44"	""	"109"	""	"12"	""	"8"	""	"7"	""	"26"	"348"	"0"	"348"	"0"
"230"	"123"	"365"	""	"62"	""	"27"	""	"238"	""	"6"	""	"7"	""	"6"	""	"19"	"365"	"0"	"365"	"0"
"231"	"123K"	"332"	""	"55"	""	"23"	""	"197"	""	"18"	""	"10"	""	"8"	""	"21"	"332"	"0"	"332"	"0"
"232"	"124"	"377"	""	"20"	""	"9"	""	"296"	""	"17"	""	"18"	""	"8"	""	"9"	"377"	"0"	"377"	"0"
"233"	"124K"	"373"	""	"24"	""	"24"	""	"285"	""	"9"	""	"10"	""	"6"	""	"15"	"373"	"0"	"373"	"0"
"234"	"125"	"376"	""	"172"	""	"76"	""	"78"	""	"11"	""	"11"	""	"9"	""	"19"	"376"	"0"	"376"	"0"
"235"	"126"	"302"	""	"173"	""	"28"	""	"61"	""	"6"	""	"6"	""	"6"	""	"22"	"302"	"0"	"302"	"0"
"236"	"127"	"435"	""	"125"	""	"24"	""	"219"	""	"19"	""	"13"	""	"7"	""	"28"	"435"	"0"	"435"	"0"
"237"	"Grand Total"	"5628"	""	"1402"	""	"683"	""	"2829"	""	"183"	""	"155"	""	"103"	""	"273"	"5628"	"0"	"5628"	"0"
"238"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"239"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"240"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Round No.  :-    11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"244"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"245"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"246"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"247"	"128"	"314"	""	"124"	""	"20"	""	"141"	""	"13"	""	"6"	""	"1"	""	"9"	"314"	"0"	"314"	"0"
"248"	"129"	"331"	""	"209"	""	"31"	""	"48"	""	"10"	""	"5"	""	"1"	""	"27"	"331"	"0"	"331"	"0"
"249"	"129K"	"296"	""	"140"	""	"28"	""	"86"	""	"6"	""	"7"	""	"6"	""	"23"	"296"	"0"	"296"	"0"
"250"	"130"	"470"	""	"158"	""	"79"	""	"210"	""	"12"	""	"3"	""	"3"	""	"5"	"470"	"0"	"470"	"0"
"251"	"131"	"423"	""	"208"	""	"124"	""	"51"	""	"3"	""	"6"	""	"8"	""	"23"	"423"	"0"	"423"	"0"
"252"	"132"	"295"	""	"171"	""	"32"	""	"66"	""	"1"	""	"3"	""	"7"	""	"15"	"295"	"0"	"295"	"0"
"253"	"133"	"428"	""	"319"	""	"34"	""	"23"	""	"5"	""	"7"	""	"7"	""	"33"	"428"	"0"	"428"	"0"
"254"	"134"	"436"	""	"140"	""	"188"	""	"23"	""	"11"	""	"24"	""	"21"	""	"29"	"436"	"0"	"436"	"0"
"255"	"135"	"463"	""	"125"	""	"185"	""	"90"	""	"11"	""	"14"	""	"16"	""	"22"	"463"	"0"	"463"	"0"
"256"	"136"	"387"	""	"133"	""	"43"	""	"169"	""	"12"	""	"10"	""	"4"	""	"16"	"387"	"0"	"387"	"0"
"257"	"137"	"410"	""	"202"	""	"42"	""	"113"	""	"8"	""	"7"	""	"4"	""	"34"	"410"	"0"	"410"	"0"
"258"	"138"	"404"	""	"108"	""	"85"	""	"143"	""	"11"	""	"14"	""	"8"	""	"35"	"404"	"0"	"404"	"0"
"259"	"139"	"510"	""	"175"	""	"33"	""	"233"	""	"36"	""	"11"	""	"3"	""	"19"	"510"	"0"	"510"	"0"
"260"	"140"	"411"	""	"81"	""	"298"	""	"13"	""	"2"	""	"9"	""	"6"	""	"2"	"411"	"0"	"411"	"0"
"261"	"Grand Total"	"5578"	""	"2293"	""	"1222"	""	"1409"	""	"141"	""	"126"	""	"95"	""	"292"	"5578"	"0"	"5578"	"0"
"262"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"263"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"264"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Round No.  :-    12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"268"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"269"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"270"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"271"	"141"	"377"	""	"34"	""	"308"	""	"7"	""	"2"	""	"11"	""	"9"	""	"6"	"377"	"0"	"377"	"0"
"272"	"142"	"422"	""	"348"	""	"24"	""	"14"	""	"8"	""	"4"	""	"5"	""	"19"	"422"	"0"	"422"	"0"
"273"	"143"	"289"	""	"122"	""	"135"	""	"7"	""	"5"	""	"6"	""	"5"	""	"9"	"289"	"0"	"289"	"0"
"274"	"144"	"322"	""	"28"	""	"246"	""	"14"	""	"4"	""	"11"	""	"12"	""	"7"	"322"	"0"	"322"	"0"
"275"	"145"	"377"	""	"268"	""	"44"	""	"18"	""	"1"	""	"9"	""	"6"	""	"31"	"377"	"0"	"377"	"0"
"276"	"146"	"376"	""	"228"	""	"89"	""	"31"	""	"6"	""	"4"	""	"5"	""	"13"	"376"	"0"	"376"	"0"
"277"	"147"	"566"	""	"180"	""	"45"	""	"279"	""	"21"	""	"12"	""	"8"	""	"21"	"566"	"0"	"566"	"0"
"278"	"148"	"458"	""	"130"	""	"112"	""	"152"	""	"12"	""	"20"	""	"9"	""	"23"	"458"	"0"	"458"	"0"
"279"	"149"	"393"	""	"76"	""	"101"	""	"189"	""	"9"	""	"7"	""	"9"	""	"2"	"393"	"0"	"393"	"0"
"280"	"150"	"468"	""	"233"	""	"14"	""	"179"	""	"23"	""	"5"	""	"2"	""	"12"	"468"	"0"	"468"	"0"
"281"	"151"	"415"	""	"223"	""	"35"	""	"126"	""	"9"	""	"2"	""	"3"	""	"17"	"415"	"0"	"415"	"0"
"282"	"151K"	"391"	""	"307"	""	"34"	""	"18"	""	"3"	""	"3"	""	"4"	""	"22"	"391"	"0"	"391"	"0"
"283"	"152"	"280"	""	"118"	""	"78"	""	"40"	""	"6"	""	"10"	""	"6"	""	"22"	"280"	"0"	"280"	"0"
"284"	"152K"	"288"	""	"107"	""	"71"	""	"69"	""	"17"	""	"6"	""	"1"	""	"17"	"288"	"0"	"288"	"0"
"285"	"Grand Total"	"5422"	""	"2402"	""	"1336"	""	"1143"	""	"126"	""	"110"	""	"84"	""	"221"	"5422"	"0"	"5422"	"0"
"286"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"287"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"288"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Round No.  :-    13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"292"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"293"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"294"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"295"	"153"	"629"	""	"528"	""	"26"	""	"31"	""	"8"	""	"3"	""	"7"	""	"26"	"629"	"0"	"629"	"0"
"296"	"154"	"340"	""	"303"	""	"8"	""	"15"	""	"2"	""	"1"	""	"2"	""	"9"	"340"	"0"	"340"	"0"
"297"	"155"	"405"	""	"142"	""	"35"	""	"176"	""	"6"	""	"10"	""	"7"	""	"29"	"405"	"0"	"405"	"0"
"298"	"156"	"277"	""	"200"	""	"43"	""	"20"	""	"1"	""	"1"	""	"3"	""	"9"	"277"	"0"	"277"	"0"
"299"	"157"	"273"	""	"123"	""	"25"	""	"95"	""	"4"	""	"5"	""	"5"	""	"16"	"273"	"0"	"273"	"0"
"300"	"158"	"383"	""	"112"	""	"192"	""	"40"	""	"10"	""	"3"	""	"5"	""	"21"	"383"	"0"	"383"	"0"
"301"	"159"	"529"	""	"214"	""	"34"	""	"196"	""	"22"	""	"27"	""	"11"	""	"25"	"529"	"0"	"529"	"0"
"302"	"160"	"486"	""	"323"	""	"48"	""	"69"	""	"3"	""	"6"	""	"1"	""	"36"	"486"	"0"	"486"	"0"
"303"	"161"	"517"	""	"285"	""	"138"	""	"25"	""	"2"	""	"14"	""	"21"	""	"32"	"517"	"0"	"517"	"0"
"304"	"162"	"407"	""	"140"	""	"59"	""	"166"	""	"10"	""	"11"	""	"3"	""	"18"	"407"	"0"	"407"	"0"
"305"	"163"	"515"	""	"173"	""	"67"	""	"231"	""	"11"	""	"9"	""	"7"	""	"17"	"515"	"0"	"515"	"0"
"306"	"164"	"608"	""	"132"	""	"71"	""	"341"	""	"25"	""	"13"	""	"8"	""	"18"	"608"	"0"	"608"	"0"
"307"	"165"	"539"	""	"208"	""	"78"	""	"209"	""	"13"	""	"14"	""	"8"	""	"9"	"539"	"0"	"539"	"0"
"308"	"166"	"469"	""	"92"	""	"94"	""	"228"	""	"5"	""	"17"	""	"11"	""	"22"	"469"	"0"	"469"	"0"
"309"	"Grand Total"	"6377"	""	"2975"	""	"918"	""	"1842"	""	"122"	""	"134"	""	"99"	""	"287"	"6377"	"0"	"6377"	"0"
"310"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"311"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"312"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Round No.  :-    14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"316"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"317"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"318"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"319"	"167"	"476"	""	"212"	""	"109"	""	"90"	""	"8"	""	"10"	""	"14"	""	"33"	"476"	"0"	"476"	"0"
"320"	"168"	"342"	""	"113"	""	"124"	""	"81"	""	"3"	""	"9"	""	"2"	""	"10"	"342"	"0"	"342"	"0"
"321"	"169"	"635"	""	"204"	""	"44"	""	"311"	""	"18"	""	"18"	""	"4"	""	"36"	"635"	"0"	"635"	"0"
"322"	"170"	"403"	""	"81"	""	"9"	""	"276"	""	"18"	""	"7"	""	"5"	""	"7"	"403"	"0"	"403"	"0"
"323"	"170K"	"457"	""	"113"	""	"37"	""	"258"	""	"23"	""	"8"	""	"6"	""	"12"	"457"	"0"	"457"	"0"
"324"	"171"	"479"	""	"263"	""	"76"	""	"108"	""	"12"	""	"3"	""	"6"	""	"11"	"479"	"0"	"479"	"0"
"325"	"172"	"691"	""	"102"	""	"174"	""	"331"	""	"31"	""	"16"	""	"15"	""	"22"	"691"	"0"	"691"	"0"
"326"	"173"	"282"	""	"171"	""	"69"	""	"24"	""	"4"	""	"1"	""	"6"	""	"7"	"282"	"0"	"282"	"0"
"327"	"173K"	"348"	""	"96"	""	"12"	""	"195"	""	"20"	""	"11"	""	"4"	""	"10"	"348"	"0"	"348"	"0"
"328"	"174"	"325"	""	"141"	""	"155"	""	"2"	""	"2"	""	"4"	""	"13"	""	"8"	"325"	"0"	"325"	"0"
"329"	"175"	"452"	""	"297"	""	"61"	""	"58"	""	"7"	""	"5"	""	"10"	""	"14"	"452"	"0"	"452"	"0"
"330"	"176"	"306"	""	"113"	""	"81"	""	"55"	""	"6"	""	"11"	""	"13"	""	"27"	"306"	"0"	"306"	"0"
"331"	"176K"	"396"	""	"229"	""	"105"	""	"26"	""	"0"	""	"7"	""	"3"	""	"26"	"396"	"0"	"396"	"0"
"332"	"177"	"412"	""	"77"	""	"15"	""	"302"	""	"8"	""	"3"	""	"5"	""	"2"	"412"	"0"	"412"	"0"
"333"	"Grand Total"	"6004"	""	"2212"	""	"1071"	""	"2117"	""	"160"	""	"113"	""	"106"	""	"225"	"6004"	"0"	"6004"	"0"
"334"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"335"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"336"	"No. and Name of Assembly Constituency  :-       48- Jandaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"Total No. of Electors in the Assembly Constituency :-  211793"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Round No.  :-    15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"340"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""
"341"	""	""	""	"LJP"	""	"JD (U)"	""	"RJD"	""	"BSP"	""	"SP"	""	"IND"	""	"IND"	""	""	""	""
"342"	""	""	""	"DR. ACHYUTANA ND"	""	"ABINASH KUMAR"	""	"UMESH SINGH KUSHWAHA"	""	"MAHESH SINGH"	""	"PUNAM DEVI"	""	"DAROGA PASWAN"	""	"PRAMOD KUMAR PANDIT"	""	""	""	""
"343"	"178"	"495"	""	"308"	""	"51"	""	"60"	""	"3"	""	"11"	""	"14"	""	"48"	"495"	"0"	"495"	"0"
"344"	"179"	"402"	""	"176"	""	"62"	""	"138"	""	"5"	""	"7"	""	"3"	""	"11"	"402"	"0"	"402"	"0"
"345"	"179K"	"380"	""	"263"	""	"40"	""	"55"	""	"5"	""	"1"	""	"2"	""	"14"	"380"	"0"	"380"	"0"
"346"	"180"	"578"	""	"212"	""	"85"	""	"188"	""	"17"	""	"22"	""	"12"	""	"42"	"578"	"0"	"578"	"0"
"347"	"181"	"246"	""	"108"	""	"41"	""	"75"	""	"10"	""	"5"	""	"0"	""	"7"	"246"	"0"	"246"	"0"
"348"	"182"	"416"	""	"259"	""	"23"	""	"100"	""	"8"	""	"8"	""	"7"	""	"11"	"416"	"0"	"416"	"0"
"349"	"182K"	"454"	""	"276"	""	"30"	""	"107"	""	"8"	""	"4"	""	"2"	""	"27"	"454"	"0"	"454"	"0"
"350"	"183"	"359"	""	"167"	""	"16"	""	"66"	""	"89"	""	"8"	""	"2"	""	"11"	"359"	"0"	"359"	"0"
"351"	"183K"	"390"	""	"193"	""	"44"	""	"114"	""	"17"	""	"6"	""	"2"	""	"14"	"390"	"0"	"390"	"0"
"352"	"184"	"320"	""	"168"	""	"18"	""	"114"	""	"3"	""	"3"	""	"0"	""	"14"	"320"	"0"	"320"	"0"
"353"	"185"	"271"	""	"143"	""	"69"	""	"45"	""	"0"	""	"5"	""	"2"	""	"7"	"271"	"0"	"271"	"0"
"354"	"186"	"473"	""	"167"	""	"21"	""	"174"	""	"31"	""	"21"	""	"21"	""	"38"	"473"	"0"	"473"	"0"
"355"	"187"	"313"	""	"120"	""	"37"	""	"132"	""	"9"	""	"5"	""	"4"	""	"6"	"313"	"0"	"313"	"0"
"356"	"188"	"589"	""	"187"	""	"54"	""	"308"	""	"16"	""	"7"	""	"7"	""	"10"	"589"	"0"	"589"	"0"
"357"	"Grand Total"	"5686"	""	"2747"	""	"591"	""	"1676"	""	"221"	""	"113"	""	"78"	""	"260"	"5686"	"0"	"5686"	"0"
"358"	""	""	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	"Initial of RO"	""	""	""	""
"359"	""	""	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	"Initial of OB"	""	""	""	""
"360"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
