"No..and.Name.of.Assembly.Constituency.44..Sonepur.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"71"	"48"	"4"	""	"0"	""	""	"334"	""	""	""	""	"31"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"376"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"49"	"17"	""	"7"	""	""	"289"	""	""	""	""	"167"	""	""	""	""	""	""	"8"	""	""	""	""	""	"11"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"515"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"50"	"9"	""	"29"	""	""	"283"	""	""	""	""	"131"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"51"	"66"	""	"1"	""	""	"154"	""	""	""	""	"305"	""	""	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total"	"281"	""	"113"	""	""	"3225"	""	""	""	""	"2698"	""	""	""	""	""	""	"88"	""	""	""	""	""	"65"	""	""	""	""	""	"60"	""	""	""	""	""	""	""	""	""	""	"95"	""	""	""	""	""	""	"6625"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	""	"Ramanuj Prasad"	""	""	""	""	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwanan dan Das"	""	""	""	""	""	"Harendra Ram"	""	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""
"79"	"1"	"2"	""	"3"	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"52"	"5"	""	"5"	""	""	""	"152"	""	""	""	""	""	""	""	"147"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"52A"	"7"	""	"1"	""	""	""	"105"	""	""	""	""	""	""	""	"135"	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"53"	"10"	""	"4"	""	""	""	"86"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"54"	"6"	""	"4"	""	""	""	"357"	""	""	""	""	""	""	""	"104"	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"55"	"15"	""	"7"	""	""	""	"365"	""	""	""	""	""	""	""	"231"	""	""	""	""	""	"18"	""	""	""	""	""	"11"	""	""	""	""	""	"9"	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"674"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"56"	"103"	""	"7"	""	""	""	"81"	""	""	""	""	""	""	""	"230"	""	""	""	""	""	"10"	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"56A"	"16"	""	"2"	""	""	""	"214"	""	""	""	""	""	""	""	"101"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"57"	"121"	""	"10"	""	""	""	"124"	""	""	""	""	""	""	""	"275"	""	""	""	""	""	"10"	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"583"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"58"	"9"	""	"13"	""	""	""	"203"	""	""	""	""	""	""	""	"370"	""	""	""	""	""	"16"	""	""	""	""	""	"10"	""	""	""	""	""	"7"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"645"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"59"	"11"	""	"9"	""	""	""	"257"	""	""	""	""	""	""	""	"69"	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"59A"	"53"	""	"3"	""	""	""	"388"	""	""	""	""	""	""	""	"125"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"60"	"25"	""	"3"	""	""	""	"118"	""	""	""	""	""	""	""	"492"	""	""	""	""	""	"16"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"665"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"61"	"15"	""	"3"	""	""	""	"9"	""	""	""	""	""	""	""	"366"	""	""	""	""	""	"9"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"409"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"62"	"75"	""	"3"	""	""	""	"1"	""	""	""	""	""	""	""	"294"	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"398"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Total"	"471"	""	"74"	""	""	""	"2460"	""	""	""	""	""	""	""	"3307"	""	""	""	""	""	"120"	""	""	""	""	""	"72"	""	""	""	""	""	"64"	""	""	""	""	""	"90"	""	""	""	""	""	""	""	"6658"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	"Atul kumar Singh"	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwan andan Das"	""	""	""	"Harendr a Ram"	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"1"	"2"	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"63"	"4"	"8"	""	""	"279"	""	""	""	"40"	""	""	""	""	""	"6"	""	""	""	""	""	"19"	""	""	""	""	""	"5"	""	""	""	"13"	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"63A"	"5"	"2"	""	""	"227"	""	""	""	"94"	""	""	""	""	""	"9"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"64"	"102"	"7"	""	""	"491"	""	""	""	"73"	""	""	""	""	""	"6"	""	""	""	""	""	"11"	""	""	""	""	""	"6"	""	""	""	"12"	""	""	""	"708"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"65"	"81"	"7"	""	""	"468"	""	""	""	"60"	""	""	""	""	""	"4"	""	""	""	""	""	"15"	""	""	""	""	""	"13"	""	""	""	"22"	""	""	""	"670"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"66"	"4"	"5"	""	""	"274"	""	""	""	"43"	""	""	""	""	""	"6"	""	""	""	""	""	"11"	""	""	""	""	""	"5"	""	""	""	"7"	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"66A"	"4"	"2"	""	""	"267"	""	""	""	"56"	""	""	""	""	""	"4"	""	""	""	""	""	"13"	""	""	""	""	""	"0"	""	""	""	"11"	""	""	""	"357"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"67"	"3"	"3"	""	""	"315"	""	""	""	"238"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"573"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"68"	"2"	"9"	""	""	"489"	""	""	""	"39"	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	"20"	""	""	""	"575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"69"	"13"	"8"	""	""	"25"	""	""	""	"474"	""	""	""	""	""	"11"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"70"	"2"	"2"	""	""	"73"	""	""	""	"246"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"328"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"71"	"45"	"2"	""	""	"352"	""	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"72"	"17"	"20"	""	""	"509"	""	""	""	"74"	""	""	""	""	""	"12"	""	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	"15"	""	""	""	"662"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"73"	"3"	"4"	""	""	"820"	""	""	""	"26"	""	""	""	""	""	"3"	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"874"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"74"	"15"	"7"	""	""	"423"	""	""	""	"17"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"8"	""	""	""	"476"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Total"	"300"	"86"	""	""	"5012"	""	""	""	"1493"	""	""	""	""	""	"82"	""	""	""	""	""	"119"	""	""	""	""	""	"48"	""	""	""	"132"	""	""	""	"7272"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	""	"Ramanuj Prasad"	""	""	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwanandan Das"	""	""	""	""	""	""	""	""	""	"Harendra Ram"	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""
"117"	"1"	"2"	""	"3"	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"74A"	"1"	""	"1"	""	""	""	"412"	""	""	""	""	""	"24"	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"452"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"75"	"11"	""	"3"	""	""	""	"557"	""	""	""	""	""	"12"	""	""	""	""	""	""	"5"	""	""	""	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"608"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"76"	"16"	""	"9"	""	""	""	"155"	""	""	""	""	""	"282"	""	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"77"	"70"	""	"8"	""	""	""	"202"	""	""	""	""	""	"234"	""	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"78"	"5"	""	"1"	""	""	""	"45"	""	""	""	""	""	"355"	""	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"413"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"79"	"4"	""	"4"	""	""	""	"287"	""	""	""	""	""	"24"	""	""	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"337"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"79A"	"5"	""	"19"	""	""	""	"254"	""	""	""	""	""	"58"	""	""	""	""	""	""	"7"	""	""	""	""	""	"14"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"80"	"15"	""	"11"	""	""	""	"490"	""	""	""	""	""	"138"	""	""	""	""	""	""	"2"	""	""	""	""	""	"12"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"680"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"81"	"36"	""	"99"	""	""	""	"417"	""	""	""	""	""	"112"	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"681"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"82"	"1"	""	"101"	""	""	""	"216"	""	""	""	""	""	"251"	""	""	""	""	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"606"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"83"	"15"	""	"3"	""	""	""	"77"	""	""	""	""	""	"416"	""	""	""	""	""	""	"14"	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"84"	"27"	""	"9"	""	""	""	"214"	""	""	""	""	""	"82"	""	""	""	""	""	""	"10"	""	""	""	""	""	"10"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"371"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"85"	"46"	""	"4"	""	""	""	"289"	""	""	""	""	""	"225"	""	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"583"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"86"	"8"	""	"5"	""	""	""	"385"	""	""	""	""	""	"33"	""	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total"	"260"	""	"277"	""	""	""	"4000"	""	""	""	""	""	"2246"	""	""	""	""	""	""	"91"	""	""	""	""	""	"89"	""	""	""	""	""	"53"	""	""	""	""	""	""	""	""	""	"90"	""	""	""	""	""	""	"7106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwan andan Das"	""	""	""	""	"Harendr a Ram"	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"87"	"14"	""	"3"	""	""	"183"	""	""	""	"222"	""	""	""	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"88"	"27"	""	"12"	""	""	"516"	""	""	""	"86"	""	""	""	""	""	""	"27"	""	""	""	""	""	"19"	""	""	""	""	""	"16"	""	""	""	""	"24"	""	""	""	"727"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"89"	"4"	""	"4"	""	""	"107"	""	""	""	"233"	""	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"90"	"18"	""	"8"	""	""	"328"	""	""	""	"112"	""	""	""	""	""	""	"14"	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	"500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"91"	"5"	""	"0"	""	""	"55"	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"92"	"12"	""	"1"	""	""	"57"	""	""	""	"48"	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"93"	"31"	""	"1"	""	""	"86"	""	""	""	"85"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"11"	""	""	""	""	"13"	""	""	""	"233"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
