"X."	"X..1"	"X..2"	"X015.GHORASAHAN"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"252"	"168"	""	""	"912"	"20"	"53"	""	""	""	"144"	"92"	"10"	"3"	"11"	"313"
"253"	"169"	""	""	"741"	"20"	"110"	""	""	""	"76"	"59"	"4"	"3"	"9"	"261"
"254"	"170"	""	""	"674"	"20"	"144"	""	""	""	"19"	"104"	"11"	"5"	"10"	"293"
"255"	"171"	""	""	"900"	"20"	"67"	""	""	""	"18"	"393"	"19"	"11"	"6"	"514"
"256"	"172"	""	""	"1329"	"20"	"400"	""	""	""	"129"	"73"	"18"	"17"	"55"	"692"
"257"	"173"	""	""	"1116"	"20"	"160"	""	""	""	"82"	"291"	"20"	"26"	"17"	"596"
"258"	"174"	""	""	"1259"	"20"	"30"	""	""	""	"249"	"163"	"10"	"9"	"22"	"483"
"259"	"175"	""	""	"978"	"20"	"65"	""	""	""	"113"	"245"	"13"	"5"	"8"	"449"
"260"	"176"	""	""	"901"	"21"	"273"	""	""	""	"63"	"92"	"5"	"6"	"17"	"456"
"261"	"177"	""	""	"1150"	"21"	"231"	""	""	""	"83"	"90"	"13"	"6"	"21"	"444"
"262"	"178"	""	""	"747"	"21"	"348"	""	""	""	"49"	"21"	"1"	"1"	"3"	"423"
"263"	"179"	""	""	"902"	"21"	"133"	""	""	""	"102"	"44"	"6"	"6"	"18"	"309"
"264"	"180"	""	""	"794"	"21"	"120"	""	""	""	"58"	"19"	"6"	"8"	"9"	"220"
"265"	"181"	""	""	"1224"	"21"	"276"	""	""	""	"85"	"82"	"2"	"3"	"12"	"460"
"266"	"182"	""	""	"1300"	"21"	"188"	""	""	""	"238"	"75"	"8"	"3"	"21"	"533"
"267"	"183"	""	""	"916"	"21"	"100"	""	""	""	"66"	"168"	"21"	"8"	"10"	"373"
"268"	"Total"	""	""	""	""	"29050"	""	""	""	"30137"	"30951"	"2832"	"1650"	"2662"	"97282"
