"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"232"	"92"	"118"	"14"	"590"	"20"	"7"	"8"	"9"	"29"	"795"	""	"795"	""
"233"	"93"	"190"	"4"	"521"	"8"	"8"	"2"	"6"	"17"	"756"	""	"756"	""
"234"	"94"	"184"	"13"	"381"	"18"	"7"	"7"	"8"	"26"	"644"	""	"644"	""
"235"	"95"	"29"	"15"	"405"	"19"	"8"	"12"	"17"	"17"	"522"	""	"522"	""
"236"	"96"	"244"	"21"	"418"	"19"	"13"	"5"	"0"	"5"	"725"	""	"725"	""
"237"	"97"	"141"	"6"	"141"	"6"	"5"	"2"	"2"	"11"	"314"	""	"314"	""
"238"	"97A"	"125"	"12"	"536"	"20"	"8"	"9"	"2"	"9"	"721"	""	"721"	""
"239"	"98"	"88"	"32"	"450"	"20"	"11"	"14"	"14"	"19"	"648"	""	"648"	""
"240"	"99"	"121"	"10"	"148"	"10"	"4"	"4"	"1"	"7"	"305"	""	"305"	""
"241"	"99A"	"76"	"12"	"230"	"11"	"3"	"4"	"7"	"12"	"355"	""	"355"	""
"242"	"100"	"63"	"5"	"527"	"23"	"8"	"5"	"4"	"8"	"643"	""	"643"	""
"243"	"101"	"206"	"12"	"200"	"11"	"12"	"6"	"9"	"23"	"479"	""	"479"	""
"244"	"102"	"175"	"9"	"145"	"4"	"1"	"2"	"3"	"7"	"346"	""	"346"	""
"245"	"Current Round Total"	"1987"	"180"	"4838"	"196"	"99"	"87"	"86"	"210"	"7683"	"0"	"7683"	"0"
"246"	"Previous Round Total"	"25226"	"1695"	"33136"	"1266"	"677"	"547"	"491"	"1359"	"64397"	"0"	"64397"	"0"
"247"	"TOTAL"	"27213"	"1875"	"37974"	"1462"	"776"	"634"	"577"	"1569"	"72080"	"0"	"72080"	"0"
"248"	"(Statutory Rules and Order)                                                      ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"254"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"256"	"102A"	"190"	"18"	"366"	"7"	"7"	"7"	"5"	"6"	"606"	""	"606"	""
"257"	"103"	"171"	"17"	"233"	"10"	"2"	"4"	"6"	"7"	"450"	""	"450"	""
"258"	"103A"	"100"	"10"	"237"	"14"	"3"	"5"	"3"	"20"	"392"	""	"392"	""
"259"	"104"	"418"	"19"	"44"	"2"	"5"	"0"	"4"	"10"	"502"	""	"502"	""
"260"	"104A"	"128"	"14"	"223"	"15"	"6"	"4"	"3"	"11"	"404"	""	"404"	""
"261"	"105"	"347"	"16"	"162"	"6"	"6"	"3"	"5"	"13"	"558"	""	"558"	""
"262"	"106"	"219"	"7"	"313"	"7"	"10"	"2"	"4"	"20"	"582"	""	"582"	""
"263"	"107"	"194"	"7"	"103"	"7"	"2"	"4"	"1"	"7"	"325"	""	"325"	""
"264"	"108"	"241"	"13"	"201"	"10"	"4"	"4"	"3"	"11"	"487"	""	"487"	""
"265"	"108A"	"259"	"12"	"77"	"2"	"3"	"1"	"3"	"4"	"361"	""	"361"	""
"266"	"109"	"16"	"7"	"469"	"27"	"2"	"4"	"3"	"12"	"540"	""	"540"	""
"267"	"109A"	"124"	"8"	"210"	"5"	"3"	"4"	"3"	"9"	"366"	""	"366"	""
"268"	"110"	"142"	"14"	"300"	"9"	"7"	"10"	"14"	"15"	"511"	""	"511"	""
"269"	"110A"	"120"	"12"	"252"	"9"	"4"	"4"	"1"	"10"	"412"	""	"412"	""
"270"	"Current Round Total"	"2669"	"174"	"3190"	"130"	"64"	"56"	"58"	"155"	"6496"	"0"	"6496"	"0"
"271"	"Previous Round Total"	"27213"	"1875"	"37974"	"1462"	"776"	"634"	"577"	"1569"	"72080"	"0"	"72080"	"0"
"272"	"TOTAL"	"29882"	"2049"	"41164"	"1592"	"840"	"690"	"635"	"1724"	"78576"	"0"	"78576"	"0"
"273"	"(Statutory Rules and Order)                                                      ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"279"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"281"	"111"	"425"	"15"	"217"	"14"	"3"	"4"	"3"	"7"	"688"	""	"688"	""
"282"	"112"	"185"	"4"	"301"	"6"	"3"	"9"	"5"	"12"	"525"	""	"525"	""
"283"	"113"	"248"	"20"	"493"	"18"	"6"	"9"	"2"	"15"	"811"	""	"811"	""
"284"	"114"	"433"	"85"	"203"	"7"	"8"	"3"	"6"	"18"	"763"	""	"763"	""
"285"	"115"	"657"	"26"	"10"	"2"	"3"	"3"	"4"	"20"	"725"	""	"725"	""
"286"	"116"	"306"	"10"	"6"	"1"	"1"	"1"	"1"	"13"	"339"	""	"339"	""
"287"	"117"	"389"	"23"	"60"	"1"	"11"	"2"	"3"	"5"	"494"	""	"494"	""
"288"	"117A"	"283"	"17"	"8"	"4"	"5"	"1"	"0"	"6"	"324"	""	"324"	""
"289"	"118"	"338"	"39"	"386"	"19"	"5"	"2"	"7"	"13"	"809"	""	"809"	""
"290"	"119"	"645"	"13"	"43"	"7"	"7"	"1"	"8"	"17"	"741"	""	"741"	""
"291"	"120"	"316"	"13"	"50"	"1"	"2"	"2"	"3"	"7"	"394"	""	"394"	""
"292"	"120A"	"127"	"13"	"109"	"5"	"0"	"1"	"3"	"8"	"266"	""	"266"	""
"293"	"121"	"64"	"7"	"174"	"4"	"6"	"3"	"3"	"9"	"270"	""	"270"	""
"294"	"121A"	"78"	"20"	"210"	"11"	"2"	"2"	"5"	"13"	"341"	""	"341"	""
"295"	"Current Round Total"	"4494"	"305"	"2270"	"100"	"62"	"43"	"53"	"163"	"7490"	"0"	"7490"	"0"
"296"	"Previous Round Total"	"29882"	"2049"	"41164"	"1592"	"840"	"690"	"635"	"1724"	"78576"	"0"	"78576"	"0"
"297"	"TOTAL"	"34376"	"2354"	"43434"	"1692"	"902"	"733"	"688"	"1887"	"86066"	"0"	"86066"	"0"
"298"	"(Statutory Rules and Order)                                                      ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"304"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"306"	"122"	"158"	"17"	"120"	"2"	"4"	"1"	"4"	"6"	"312"	""	"312"	""
"307"	"122A"	"89"	"51"	"199"	"5"	"2"	"2"	"4"	"5"	"357"	""	"357"	""
"308"	"123"	"26"	"46"	"291"	"10"	"1"	"3"	"3"	"6"	"386"	""	"386"	""
"309"	"123A"	"61"	"54"	"371"	"10"	"5"	"12"	"11"	"21"	"545"	""	"545"	""
"310"	"124"	"180"	"10"	"14"	"0"	"7"	"1"	"2"	"8"	"222"	""	"222"	""
"311"	"124A"	"164"	"28"	"43"	"4"	"4"	"2"	"3"	"14"	"262"	""	"262"	""
"312"	"125"	"111"	"53"	"418"	"17"	"5"	"4"	"5"	"6"	"619"	""	"619"	""
"313"	"126"	"212"	"15"	"263"	"12"	"6"	"3"	"2"	"4"	"517"	""	"517"	""
"314"	"127"	"537"	"34"	"90"	"8"	"3"	"2"	"5"	"9"	"688"	""	"688"	""
"315"	"128"	"565"	"20"	"6"	"3"	"4"	"2"	"0"	"12"	"612"	""	"612"	""
"316"	"129"	"149"	"13"	"335"	"17"	"7"	"8"	"12"	"19"	"560"	""	"560"	""
"317"	"130"	"198"	"14"	"476"	"9"	"12"	"4"	"3"	"10"	"726"	""	"726"	""
"318"	"131"	"321"	"23"	"96"	"10"	"3"	"0"	"9"	"8"	"470"	""	"470"	""
"319"	"131A"	"92"	"9"	"255"	"8"	"5"	"5"	"1"	"2"	"377"	""	"377"	""
"320"	"Current Round Total"	"2863"	"387"	"2977"	"115"	"68"	"49"	"64"	"130"	"6653"	"0"	"6653"	"0"
"321"	"Previous Round Total"	"34376"	"2354"	"43434"	"1692"	"902"	"733"	"688"	"1887"	"86066"	"0"	"86066"	"0"
"322"	"TOTAL"	"37239"	"2741"	"46411"	"1807"	"970"	"782"	"752"	"2017"	"92719"	"0"	"92719"	"0"
"323"	"(Statutory Rules and Order)                                                      ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"329"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"330"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"331"	"132"	"191"	"5"	"202"	"5"	"10"	"7"	"2"	"10"	"432"	""	"432"	""
"332"	"133"	"244"	"22"	"37"	"5"	"4"	"1"	"6"	"14"	"333"	""	"333"	""
"333"	"134"	"483"	"11"	"6"	"1"	"2"	"3"	"3"	"8"	"517"	""	"517"	""
"334"	"134A"	"281"	"8"	"1"	"2"	"6"	"2"	"3"	"11"	"314"	""	"314"	""
"335"	"135"	"523"	"19"	"32"	"7"	"7"	"6"	"4"	"14"	"612"	""	"612"	""
"336"	"136"	"580"	"68"	"92"	"8"	"8"	"7"	"6"	"54"	"823"	""	"823"	""
"337"	"137"	"383"	"19"	"190"	"8"	"19"	"5"	"6"	"11"	"641"	""	"641"	""
"338"	"138"	"69"	"19"	"586"	"7"	"2"	"5"	"1"	"4"	"693"	""	"693"	""
"339"	"139"	"264"	"78"	"131"	"9"	"9"	"24"	"2"	"14"	"531"	""	"531"	""
"340"	"140"	"63"	"60"	"325"	"4"	"3"	"8"	"2"	"3"	"468"	""	"468"	""
"341"	"140A"	"33"	"14"	"83"	"1"	"0"	"11"	"0"	"7"	"149"	""	"149"	""
"342"	"141"	"725"	"22"	"4"	"3"	"12"	"0"	"1"	"10"	"777"	""	"777"	""
"343"	"142"	"181"	"4"	"35"	"7"	"40"	"7"	"4"	"17"	"295"	""	"295"	""
"344"	"142A"	"272"	"19"	"32"	"2"	"28"	"2"	"1"	"14"	"370"	""	"370"	""
"345"	"Current Round Total"	"4292"	"368"	"1756"	"69"	"150"	"88"	"41"	"191"	"6955"	"0"	"6955"	"0"
"346"	"Previous Round Total"	"37239"	"2741"	"46411"	"1807"	"970"	"782"	"752"	"2017"	"92719"	"0"	"92719"	"0"
"347"	"TOTAL"	"41531"	"3109"	"48167"	"1876"	"1120"	"870"	"793"	"2208"	"99674"	"0"	"99674"	"0"
"348"	"(Statutory Rules and Order)                                                      ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"354"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"355"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"356"	"143"	"527"	"14"	"5"	"2"	"12"	"3"	"1"	"19"	"583"	""	"583"	""
"357"	"144"	"542"	"19"	"22"	"1"	"3"	"16"	"4"	"8"	"615"	""	"615"	""
"358"	"145"	"605"	"13"	"9"	"3"	"18"	"0"	"3"	"9"	"660"	""	"660"	""
"359"	"146"	"579"	"32"	"44"	"3"	"3"	"6"	"6"	"10"	"683"	""	"683"	""
"360"	"146A"	"290"	"6"	"33"	"0"	"0"	"1"	"5"	"11"	"346"	""	"346"	""
"361"	"147"	"320"	"16"	"252"	"9"	"10"	"4"	"7"	"14"	"632"	""	"632"	""
"362"	"147A"	"139"	"5"	"196"	"4"	"3"	"4"	"2"	"16"	"369"	""	"369"	""
"363"	"148"	"390"	"17"	"116"	"7"	"6"	"1"	"0"	"5"	"542"	""	"542"	""
"364"	"148A"	"340"	"8"	"233"	"4"	"1"	"2"	"4"	"10"	"602"	""	"602"	""
"365"	"149"	"302"	"11"	"65"	"5"	"5"	"1"	"0"	"6"	"395"	""	"395"	""
"366"	"149A"	"486"	"21"	"243"	"15"	"6"	"1"	"3"	"8"	"783"	""	"783"	""
"367"	"150"	"161"	"14"	"185"	"5"	"1"	"2"	"7"	"10"	"385"	""	"385"	""
"368"	"150A"	"312"	"30"	"366"	"12"	"5"	"3"	"3"	"10"	"741"	""	"741"	""
"369"	"151"	"231"	"1"	"190"	"3"	"4"	"3"	"0"	"2"	"434"	""	"434"	""
"370"	"Current Round Total"	"5224"	"207"	"1959"	"73"	"77"	"47"	"45"	"138"	"7770"	"0"	"7770"	"0"
"371"	"Previous Round Total"	"41531"	"3109"	"48167"	"1876"	"1120"	"870"	"793"	"2208"	"99674"	"0"	"99674"	"0"
"372"	"TOTAL"	"46755"	"3316"	"50126"	"1949"	"1197"	"917"	"838"	"2346"	"107444"	"0"	"107444"	"0"
"373"	"(Statutory Rules and Order)                                                      ROUND : SIXTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"379"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"380"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"381"	"151A"	"158"	"2"	"108"	"2"	"1"	"0"	"1"	"4"	"276"	""	"276"	""
"382"	"152"	"332"	"15"	"207"	"11"	"3"	"2"	"3"	"11"	"584"	""	"584"	""
"383"	"152A"	"57"	"1"	"173"	"4"	"4"	"3"	"3"	"3"	"248"	""	"248"	""
"384"	"153"	"204"	"3"	"239"	"4"	"2"	"3"	"1"	"14"	"470"	""	"470"	""
"385"	"154"	"705"	"9"	"122"	"6"	"13"	"4"	"10"	"22"	"891"	""	"891"	""
"386"	"155"	"408"	"41"	"498"	"16"	"4"	"9"	"5"	"12"	"993"	""	"993"	""
"387"	"156"	"452"	"25"	"63"	"9"	"10"	"4"	"7"	"39"	"609"	""	"609"	""
"388"	"156A"	"303"	"12"	"17"	"3"	"1"	"2"	"3"	"15"	"356"	""	"356"	""
"389"	"157"	"427"	"22"	"242"	"11"	"5"	"8"	"7"	"12"	"734"	""	"734"	""
"390"	"158"	"470"	"17"	"207"	"5"	"5"	"7"	"6"	"12"	"729"	""	"729"	""
"391"	"159"	"230"	"15"	"203"	"7"	"8"	"0"	"3"	"7"	"473"	""	"473"	""
"392"	"160"	"103"	"10"	"507"	"14"	"4"	"4"	"3"	"5"	"650"	""	"650"	""
"393"	"161"	"49"	"6"	"297"	"7"	"1"	"4"	"2"	"4"	"370"	""	"370"	""
"394"	"161A"	"60"	"24"	"280"	"5"	"0"	"5"	"6"	"13"	"393"	""	"393"	""
"395"	"Current Round Total"	"3958"	"202"	"3163"	"104"	"61"	"55"	"60"	"173"	"7776"	"0"	"7776"	"0"
"396"	"Previous Round Total"	"46755"	"3316"	"50126"	"1949"	"1197"	"917"	"838"	"2346"	"107444"	"0"	"107444"	"0"
"397"	"TOTAL"	"50713"	"3518"	"53289"	"2053"	"1258"	"972"	"898"	"2519"	"115220"	"0"	"115220"	"0"
"398"	"(Statutory Rules and Order)                                                      ROUND : SEVENTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"404"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"405"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"406"	"162"	"119"	"6"	"400"	"12"	"2"	"0"	"2"	"8"	"549"	""	"549"	""
"407"	"163"	"51"	"6"	"189"	"6"	"5"	"4"	"1"	"4"	"266"	""	"266"	""
"408"	"163A"	"33"	"2"	"241"	"3"	"3"	"1"	"1"	"4"	"288"	""	"288"	""
"409"	"164"	"59"	"4"	"498"	"11"	"2"	"4"	"1"	"3"	"582"	""	"582"	""
"410"	"165"	"129"	"6"	"440"	"4"	"4"	"2"	"0"	"6"	"591"	""	"591"	""
"411"	"166"	"51"	"4"	"315"	"7"	"1"	"0"	"1"	"1"	"380"	""	"380"	""
"412"	"167"	"108"	"8"	"450"	"9"	"3"	"10"	"5"	"11"	"604"	""	"604"	""
"413"	"168"	"110"	"10"	"386"	"3"	"2"	"0"	"3"	"3"	"517"	""	"517"	""
"414"	"169"	"98"	"4"	"460"	"7"	"5"	"6"	"6"	"8"	"594"	""	"594"	""
"415"	"170"	"203"	"1"	"365"	"0"	"6"	"4"	"1"	"12"	"592"	""	"592"	""
"416"	"171"	"260"	"5"	"6"	"1"	"14"	"0"	"1"	"4"	"291"	""	"291"	""
"417"	"172"	"402"	"8"	"171"	"2"	"17"	"3"	"2"	"10"	"615"	""	"615"	""
"418"	"173"	"275"	"5"	"127"	"2"	"14"	"1"	"1"	"2"	"427"	""	"427"	""
"419"	"173A"	"86"	"4"	"146"	"2"	"6"	"0"	"0"	"3"	"247"	""	"247"	""
"420"	"Current Round Total"	"1984"	"73"	"4194"	"69"	"84"	"35"	"25"	"79"	"6543"	"0"	"6543"	"0"
"421"	"Previous Round Total"	"50713"	"3518"	"53289"	"2053"	"1258"	"972"	"898"	"2519"	"115220"	"0"	"115220"	"0"
"422"	"TOTAL"	"52697"	"3591"	"57483"	"2122"	"1342"	"1007"	"923"	"2598"	"121763"	"0"	"121763"	"0"
"423"	"(Statutory Rules and Order)                                                      ROUND : EIGHTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"427"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"429"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"430"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"431"	"174"	"335"	"13"	"142"	"2"	"4"	"0"	"3"	"4"	"503"	""	"503"	""
"432"	"175"	"89"	"5"	"335"	"4"	"3"	"0"	"4"	"5"	"445"	""	"445"	""
"433"	"176"	"182"	"6"	"238"	"2"	"3"	"4"	"3"	"4"	"442"	""	"442"	""
"434"	"176A"	"37"	"1"	"195"	"0"	"1"	"0"	"2"	"2"	"238"	""	"238"	""
"435"	"177"	"157"	"5"	"260"	"1"	"6"	"2"	"2"	"1"	"434"	""	"434"	""
"436"	"178"	"225"	"8"	"269"	"8"	"5"	"2"	"2"	"19"	"538"	""	"538"	""
"437"	"178A"	"74"	"3"	"223"	"5"	"0"	"2"	"2"	"5"	"314"	""	"314"	""
"438"	"179"	"85"	"5"	"142"	"6"	"2"	"0"	"2"	"7"	"249"	""	"249"	""
"439"	"179A"	"169"	"5"	"208"	"5"	"0"	"0"	"1"	"8"	"396"	""	"396"	""
"440"	"180"	"511"	"13"	"184"	"2"	"28"	"5"	"4"	"21"	"768"	""	"768"	""
"441"	"181"	"339"	"9"	"163"	"8"	"4"	"3"	"0"	"6"	"532"	""	"532"	""
"442"	"181A"	"113"	"2"	"102"	"4"	"2"	"2"	"2"	"1"	"228"	""	"228"	""
"443"	"182"	"57"	"3"	"237"	"4"	"2"	"1"	"1"	"1"	"306"	""	"306"	""
"444"	"182A"	"62"	"1"	"279"	"1"	"1"	"1"	"0"	"1"	"346"	""	"346"	""
"445"	"Current Round Total"	"2435"	"79"	"2977"	"52"	"61"	"22"	"28"	"85"	"5739"	"0"	"5739"	"0"
"446"	"Previous Round Total"	"52697"	"3591"	"57483"	"2122"	"1342"	"1007"	"923"	"2598"	"121763"	"0"	"121763"	"0"
"447"	"TOTAL"	"55132"	"3670"	"60460"	"2174"	"1403"	"1029"	"951"	"2683"	"127502"	"0"	"127502"	"0"
"448"	"(Statutory Rules and Order)                                                      ROUND : NINETEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"450"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"452"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"454"	""	"ZAKIR HUSSAIN KHAN"	"DIVYA PRAKASH MANDAL"	"LAKSHMI NARAYAN MEHTA"	"VIKAS KUMAR TANTI"	"MUJIBUR RAHMAN"	"RAJA RAMAN BHASKAR"	"VIDYA NAND RAM"	"RAJ KUMAR BHAGAT"	""	""	""	""
"455"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"456"	"183"	"38"	"3"	"274"	"0"	"2"	"0"	"0"	"1"	"318"	""	"318"	""
"457"	"183A"	"65"	"3"	"260"	"1"	"3"	"0"	"1"	"1"	"334"	""	"334"	""
"458"	"184"	"58"	"12"	"360"	"3"	"4"	"0"	"1"	"2"	"440"	""	"440"	""
"459"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"460"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"461"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"462"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"463"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"464"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"465"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"466"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"467"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"468"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
