"Election.to.the..Bihar.Legislative..Assembly..From.97.MOHIUDDINNAGAR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"302"	"168"	"305"	"35"	"93"	"15"	"26"	"474"	""	"474"	""
"303"	"169"	"145"	"29"	"321"	"17"	"29"	"541"	""	"541"	""
"304"	"170"	"90"	"11"	"321"	"14"	"21"	"457"	""	"457"	""
"305"	"171"	"125"	"21"	"213"	"12"	"16"	"387"	""	"387"	""
"306"	"Page Total"	"37544"	"8835"	"22758"	"1969"	"3344"	"74450"	"0"	"74450"	"0"
"307"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"308"	"PART I"	""	""	""	""	""	""	""	""	""
"309"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"310"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"311"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"312"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"313"	"B.F."	"37544"	"8835"	"22758"	"1969"	"3344"	"74450"	"0"	"74450"	"0"
"314"	"172"	"165"	"18"	"311"	"14"	"39"	"547"	""	"547"	""
"315"	"173"	"316"	"32"	"381"	"26"	"34"	"789"	""	"789"	""
"316"	"174"	"198"	"36"	"275"	"21"	"32"	"562"	""	"562"	""
"317"	"175"	"60"	"10"	"223"	"22"	"21"	"336"	""	"336"	""
"318"	"175A"	"131"	"6"	"152"	"15"	"11"	"315"	""	"315"	""
"319"	"176"	"327"	"48"	"256"	"27"	"31"	"689"	""	"689"	""
"320"	"177"	"99"	"11"	"231"	"17"	"9"	"367"	""	"367"	""
"321"	"177A"	"40"	"21"	"298"	"15"	"11"	"385"	""	"385"	""
"322"	"178"	"32"	"19"	"266"	"14"	"18"	"349"	""	"349"	""
"323"	"178A"	"54"	"12"	"241"	"11"	"16"	"334"	""	"334"	""
"324"	"179"	"134"	"14"	"198"	"7"	"8"	"361"	""	"361"	""
"325"	"179A"	"117"	"9"	"197"	"4"	"11"	"338"	""	"338"	""
"326"	"180"	"125"	"5"	"200"	"9"	"13"	"352"	""	"352"	""
"327"	"181"	"73"	"13"	"370"	"19"	"30"	"505"	""	"505"	""
"328"	"Page Total"	"39415"	"9089"	"26357"	"2190"	"3628"	"80679"	"0"	"80679"	"0"
"329"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"330"	"PART I"	""	""	""	""	""	""	""	""	""
"331"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"332"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"333"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"334"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"335"	"B.F."	"39415"	"9089"	"26357"	"2190"	"3628"	"80679"	"0"	"80679"	"0"
"336"	"182"	"62"	"5"	"193"	"11"	"18"	"289"	""	"289"	""
"337"	"182A"	"32"	"16"	"209"	"6"	"10"	"273"	""	"273"	""
"338"	"183"	"120"	"27"	"157"	"5"	"13"	"322"	""	"322"	""
"339"	"184"	"76"	"41"	"359"	"12"	"17"	"505"	""	"505"	""
"340"	"185"	"50"	"31"	"388"	"17"	"25"	"511"	""	"511"	""
"341"	"186"	"76"	"61"	"147"	"14"	"20"	"318"	""	"318"	""
"342"	"187"	"22"	"6"	"164"	"15"	"25"	"232"	""	"232"	""
"343"	"187A"	"19"	"10"	"209"	"12"	"15"	"265"	""	"265"	""
"344"	"188"	"18"	"13"	"268"	"8"	"8"	"315"	""	"315"	""
"345"	"188A"	"75"	"16"	"109"	"7"	"9"	"216"	""	"216"	""
"346"	"189"	"11"	"18"	"386"	"13"	"17"	"445"	""	"445"	""
"347"	"190"	"26"	"13"	"391"	"14"	"22"	"466"	""	"466"	""
"348"	"191"	"22"	"8"	"272"	"13"	"7"	"322"	""	"322"	""
"349"	"192"	"2"	"4"	"315"	"4"	"7"	"332"	""	"332"	""
"350"	"Page Total"	"40026"	"9358"	"29924"	"2341"	"3841"	"85490"	"0"	"85490"	"0"
"351"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"352"	"PART I"	""	""	""	""	""	""	""	""	""
"353"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"354"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"355"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"356"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"357"	"B.F."	"40026"	"9358"	"29924"	"2341"	"3841"	"85490"	"0"	"85490"	"0"
"358"	"192A"	"8"	"7"	"314"	"8"	"13"	"350"	""	"350"	""
"359"	"193"	"116"	"15"	"175"	"8"	"4"	"318"	""	"318"	""
"360"	"193A"	"143"	"12"	"123"	"18"	"22"	"318"	""	"318"	""
"361"	"194"	"350"	"32"	"8"	"5"	"14"	"409"	""	"409"	""
"362"	"194A"	"151"	"198"	"24"	"4"	"6"	"383"	""	"383"	""
"363"	"195"	"130"	"98"	"47"	"7"	"19"	"301"	""	"301"	""
"364"	"195A"	"204"	"53"	"41"	"12"	"28"	"338"	""	"338"	""
"365"	"196"	"139"	"232"	"36"	"1"	"6"	"414"	""	"414"	""
"366"	"197"	"210"	"23"	"54"	"14"	"20"	"321"	""	"321"	""
"367"	"198"	"48"	"8"	"256"	"10"	"15"	"337"	""	"337"	""
"368"	"199"	"273"	"18"	"18"	"4"	"11"	"324"	""	"324"	""
"369"	"199A"	"237"	"18"	"152"	"10"	"22"	"439"	""	"439"	""
"370"	"200"	"185"	"25"	"204"	"7"	"17"	"438"	""	"438"	""
"371"	"201"	"86"	"8"	"220"	"12"	"14"	"340"	""	"340"	""
"372"	"Page Total"	"42306"	"10105"	"31596"	"2461"	"4052"	"90520"	"0"	"90520"	"0"
"373"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"374"	"PART I"	""	""	""	""	""	""	""	""	""
"375"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"376"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"377"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"378"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"379"	"B.F."	"42306"	"10105"	"31596"	"2461"	"4052"	"90520"	"0"	"90520"	"0"
"380"	"202"	"18"	"6"	"217"	"17"	"7"	"265"	""	"265"	""
"381"	"203"	"34"	"20"	"375"	"19"	"53"	"501"	""	"501"	""
"382"	"204"	"9"	"8"	"483"	"19"	"14"	"533"	""	"533"	""
"383"	"205"	"4"	"4"	"448"	"2"	"14"	"472"	""	"472"	""
"384"	"206"	"425"	"30"	"66"	"11"	"33"	"565"	""	"565"	""
"385"	"207"	"91"	"10"	"305"	"14"	"20"	"440"	""	"440"	""
"386"	"208"	"9"	"7"	"353"	"16"	"15"	"400"	""	"400"	""
"387"	"209"	"12"	"8"	"400"	"19"	"20"	"459"	""	"459"	""
"388"	"210"	"17"	"6"	"392"	"9"	"7"	"431"	""	"431"	""
"389"	"211"	"17"	"12"	"276"	"6"	"5"	"316"	""	"316"	""
"390"	"212"	"28"	"1"	"168"	"8"	"5"	"210"	""	"210"	""
"391"	"213"	"62"	"9"	"300"	"16"	"22"	"409"	""	"409"	""
"392"	"214"	"193"	"11"	"72"	"6"	"19"	"301"	""	"301"	""
"393"	"215"	"53"	"8"	"360"	"19"	"19"	"459"	""	"459"	""
"394"	"Page Total"	"43278"	"10245"	"35811"	"2642"	"4305"	"96281"	"0"	"96281"	"0"
"395"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"396"	"PART I"	""	""	""	""	""	""	""	""	""
"397"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"398"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"399"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"400"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"401"	"B.F."	"43278"	"10245"	"35811"	"2642"	"4305"	"96281"	"0"	"96281"	"0"
"402"	"216"	"125"	"14"	"256"	"11"	"30"	"436"	""	"436"	""
"403"	"217"	"81"	"22"	"290"	"16"	"20"	"429"	""	"429"	""
"404"	"218"	"119"	"11"	"177"	"10"	"15"	"332"	""	"332"	""
"405"	"219"	"12"	"32"	"381"	"10"	"13"	"448"	""	"448"	""
"406"	"220"	"92"	"14"	"180"	"30"	"45"	"361"	""	"361"	""
"407"	"221"	"122"	"21"	"207"	"12"	"10"	"372"	""	"372"	""
"408"	"222"	"154"	"32"	"285"	"14"	"33"	"518"	""	"518"	""
"409"	"223"	"4"	"4"	"186"	"7"	"7"	"208"	""	"208"	""
"410"	"224"	"240"	"60"	"98"	"19"	"32"	"449"	""	"449"	""
"411"	"225"	"25"	"10"	"617"	"6"	"0"	"658"	""	"658"	""
"412"	"226"	"421"	"8"	"14"	"2"	"3"	"448"	""	"448"	""
"413"	"227"	"425"	"3"	"16"	"1"	"8"	"453"	""	"453"	""
"414"	"228"	"86"	"70"	"127"	"20"	"24"	"327"	""	"327"	""
"415"	"229"	"30"	"17"	"500"	"48"	"30"	"625"	""	"625"	""
"416"	"Page Total"	"45214"	"10563"	"39145"	"2848"	"4575"	"102345"	"0"	"102345"	"0"
"417"	"Election to the  Bihar Legislative  Assembly  From 97 MOHIUDDINNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""
"418"	"PART I"	""	""	""	""	""	""	""	""	""
"419"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""
"420"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""
"421"	"Serial No.of Polling Station*"	"Ajay Kuamr Bulganin"	"Brajesh Kumar"	"Rana Gangeshwar Prasad Singh"	"Ram Yatan Ray"	"Bhusan Prasad Ray"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"422"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"423"	"Total No of votes recorded at Polling Stations"	"45214"	"10563"	"39145"	"2848"	"4575"	"102345"	"0"	"102345"	"0"
"424"	"No. of Votes recorded on Postal ballot Papers"	"5"	"1"	"3"	"0"	"0"	"9"	"10"	"-1"	"0"
"425"	"Total Votes Polled"	"45219"	"10564"	"39148"	"2848"	"4575"	"102354"	"10"	"102344"	"0"
"426"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR"	""	""	""	""	""	""	""	""	""
"427"	"Returning Officer"	""	""	""	""	""	""	""	""	""
"428"	"97- Mohiuddinnagar"	""	""	""	""	""	""	""	""	""
"429"	"Date:- 22nd Nov 2005                                                                                                                               Samastipur"	""	""	""	""	""	""	""	""	""
