"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"251"	"186"	"36"	"209"	"319"	"20"	"9"	"94"	"687"	""	"687"	""
"252"	"187"	"25"	"186"	"252"	"10"	"8"	"41"	"522"	""	"522"	""
"253"	"188"	"6"	"59"	"127"	"12"	"5"	"70"	"279"	""	"279"	""
"254"	"TOTAL-XV"	"312"	"2997"	"2533"	"151"	"97"	"610"	"6700"	""	"6700"	""
"255"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"256"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"257"	"188A"	"10"	"240"	"129"	"4"	"7"	"56"	"446"	""	"446"	""
"258"	"189"	"36"	"91"	"287"	"12"	"11"	"48"	"485"	""	"485"	""
"259"	"190"	"6"	"179"	"133"	"3"	"1"	"5"	"327"	""	"327"	""
"260"	"190d"	"19"	"94"	"232"	"7"	"7"	"86"	"445"	""	"445"	""
"261"	"191"	"51"	"118"	"343"	"12"	"12"	"16"	"552"	""	"552"	""
"262"	"192"	"10"	"48"	"298"	"13"	"6"	"51"	"426"	""	"426"	""
"263"	"193"	"25"	"83"	"396"	"31"	"13"	"74"	"622"	""	"622"	""
"264"	"194"	"26"	"150"	"154"	"13"	"4"	"76"	"423"	""	"423"	""
"265"	"194d"	"9"	"42"	"221"	"15"	"8"	"42"	"337"	""	"337"	""
"266"	"195"	"31"	"105"	"487"	"11"	"5"	"18"	"657"	""	"657"	""
"267"	"196"	"11"	"128"	"234"	"13"	"4"	"17"	"407"	""	"407"	""
"268"	"197"	"7"	"151"	"216"	"8"	"1"	"14"	"397"	""	"397"	""
"269"	"198"	"54"	"229"	"279"	"15"	"10"	"27"	"614"	""	"614"	""
"270"	"199"	"40"	"170"	"370"	"13"	"6"	"20"	"619"	""	"619"	""
"271"	"TOTAL-XVI"	"335"	"1828"	"3779"	"170"	"95"	"550"	"6757"	""	"6757"	""
"272"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"273"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"274"	"200"	"33"	"223"	"225"	"12"	"12"	"39"	"544"	""	"544"	""
"275"	"201"	"65"	"215"	"284"	"15"	"23"	"21"	"623"	""	"623"	""
"276"	"202"	"8"	"179"	"199"	"15"	"2"	"23"	"426"	""	"426"	""
"277"	"203"	"34"	"199"	"217"	"6"	"8"	"13"	"477"	""	"477"	""
"278"	"203d"	"17"	"118"	"142"	"6"	"3"	"15"	"301"	""	"301"	""
"279"	"204"	"18"	"92"	"197"	"8"	"5"	"75"	"395"	""	"395"	""
"280"	"204d"	"27"	"11"	"228"	"6"	"5"	"42"	"319"	""	"319"	""
"281"	"205"	"25"	"287"	"143"	"6"	"8"	"39"	"508"	""	"508"	""
"282"	"206"	"61"	"122"	"203"	"11"	"6"	"33"	"436"	""	"436"	""
"283"	"207"	"19"	"95"	"263"	"10"	"10"	"25"	"422"	""	"422"	""
"284"	"208"	"34"	"343"	"81"	"5"	"6"	"20"	"489"	""	"489"	""
"285"	"209"	"41"	"337"	"195"	"8"	"13"	"32"	"626"	""	"626"	""
"286"	"210"	"54"	"135"	"127"	"3"	"9"	"8"	"336"	""	"336"	""
"287"	"210d"	"14"	"245"	"75"	"3"	"5"	"11"	"353"	""	"353"	""
"288"	"TOTAL-XVII"	"450"	"2601"	"2579"	"114"	"115"	"396"	"6255"	""	"6255"	""
"289"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""
"290"	"ernku  dsUnz dh  Øe  la[;k"	"vk'kk eqdqan"	"eks0  bZljkby jkbu"	"fctsUnz izlkn  ;kno"	"lqjs'k  dqekj vktkn"	"eks0  deky míhu"	";nqoa'k  dqekj
;kno"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa  dh la[;k"
"291"	"211"	"86"	"213"	"244"	"8"	"12"	"24"	"587"	""	"587"	""
"292"	"TOTAL-XVIII"	"86"	"213"	"244"	"8"	"12"	"24"	"587"	""	"587"	""
"293"	"matdana kond`aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""
"294"	"AC Total"	"10061"	"36222"	"48457"	"2304"	"1531"	"3920"	"102495"	""	"102495"	""
"295"	"Dak matp~aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""
"296"	"Dalao gayao kula mat :"	""	""	""	""	""	""	""	""	""	""
"297"	""	""	""	""	""	""	""	"0"	""	"0"	""
"298"	""	"10061"	"36222"	"48457"	"2304"	"1531"	"3920"	"102495"	""	"102495"	""
"299"	"sqaana : saupaOla"	""	""	""	""	""	""	""	""	""	""
"300"	"tarIK : 22.11.2005                                                                                           irTina--Mga Aaifsar ko hstaxar"	""	""	""	""	""	""	""	""	""	""
"301"	"112¹ saupaOla"	""	""	""	""	""	""	""	""	""	""
