"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[fu;e 56¼7½]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"110  jk?kksiqj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx&1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"201"	"164"	"39"	"38"	"2"	"212"	"17"	"57"	"15"	"12"	"7"	"29"	"428"	""	"428"	""
"202"	"165"	"216"	"61"	"5"	"95"	"8"	"16"	"12"	"4"	"0"	"10"	"427"	""	"427"	""
"203"	"165d"	"80"	"7"	"6"	"292"	"4"	"28"	"5"	"0"	"2"	"3"	"427"	""	"427"	""
"204"	"166"	"48"	"47"	"16"	"465"	"13"	"56"	"16"	"6"	"5"	"9"	"681"	""	"681"	""
"205"	"167"	"388"	"7"	"3"	"42"	"3"	"5"	"1"	"0"	"0"	"2"	"451"	""	"451"	""
"206"	"168"	"155"	"75"	"5"	"232"	"4"	"27"	"15"	"3"	"4"	"36"	"556"	""	"556"	""
"207"	"169"	"25"	"383"	"7"	"115"	"0"	"7"	"4"	"2"	"3"	"14"	"560"	""	"560"	""
"208"	"170"	"27"	"29"	"4"	"387"	"7"	"27"	"14"	"5"	"4"	"7"	"511"	""	"511"	""
"209"	"171"	"35"	"221"	"12"	"159"	"2"	"21"	"9"	"2"	"9"	"18"	"488"	""	"488"	""
"210"	"172"	"105"	"170"	"11"	"166"	"5"	"19"	"7"	"3"	"6"	"23"	"515"	""	"515"	""
"211"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"213"	"TOTAL-XIII"	"1717"	"1369"	"93"	"2929"	"96"	"420"	"148"	"60"	"76"	"298"	"7206"	""	"7206"	""
"214"	"173"	"160"	"143"	"5"	"185"	"5"	"30"	"14"	"10"	"21"	"57"	"630"	""	"630"	""
"215"	"174"	"42"	"15"	"5"	"329"	"11"	"56"	"26"	"2"	"7"	"15"	"508"	""	"508"	""
"216"	"175"	"108"	"8"	"8"	"375"	"7"	"63"	"17"	"3"	"3"	"11"	"603"	""	"603"	""
"217"	"176"	"273"	"8"	"1"	"32"	"3"	"10"	"7"	"2"	"1"	"2"	"339"	""	"339"	""
"218"	"177"	"98"	"21"	"12"	"92"	"2"	"48"	"3"	"5"	"5"	"11"	"297"	""	"297"	""
"219"	"178"	"75"	"259"	"19"	"115"	"5"	"33"	"24"	"13"	"33"	"68"	"644"	""	"644"	""
"220"	"179"	"222"	"52"	"13"	"117"	"2"	"18"	"7"	"1"	"4"	"20"	"456"	""	"456"	""
"221"	"180"	"356"	"29"	"10"	"102"	"4"	"15"	"10"	"8"	"9"	"31"	"574"	""	"574"	""
"222"	"181"	"244"	"22"	"9"	"55"	"6"	"27"	"5"	"3"	"5"	"21"	"397"	""	"397"	""
"223"	"182"	"219"	"21"	"3"	"110"	"3"	"14"	"8"	"3"	"4"	"14"	"399"	""	"399"	""
"224"	"183"	"83"	"7"	"1"	"120"	"3"	"18"	"4"	"1"	"1"	"1"	"239"	""	"239"	""
"225"	"184"	"219"	"2"	"0"	"122"	"2"	"23"	"8"	"2"	"3"	"5"	"386"	""	"386"	""
"226"	"185"	"182"	"12"	"9"	"68"	"6"	"10"	"9"	"3"	"1"	"4"	"304"	""	"304"	""
"227"	"186"	"52"	"48"	"2"	"551"	"0"	"11"	"7"	"1"	"1"	"3"	"676"	""	"676"	""
"228"	"TOTAL-XIV"	"2333"	"647"	"97"	"2373"	"59"	"376"	"149"	"57"	"98"	"263"	"6452"	""	"6452"	""
"229"	"187"	"154"	"39"	"0"	"56"	"4"	"23"	"6"	"4"	"8"	"13"	"307"	""	"307"	""
"230"	"188"	"131"	"6"	"6"	"318"	"8"	"15"	"16"	"4"	"4"	"26"	"534"	""	"534"	""
"231"	"189"	"181"	"15"	"7"	"103"	"4"	"28"	"15"	"2"	"5"	"16"	"376"	""	"376"	""
"232"	"190"	"21"	"319"	"12"	"7"	"2"	"3"	"3"	"7"	"12"	"30"	"416"	""	"416"	""
"233"	"191"	"63"	"1"	"1"	"211"	"4"	"14"	"6"	"1"	"0"	"1"	"302"	""	"302"	""
"234"	"192"	"124"	"11"	"5"	"156"	"4"	"37"	"15"	"3"	"2"	"15"	"372"	""	"372"	""
"235"	"193"	"191"	"26"	"9"	"61"	"9"	"24"	"2"	"4"	"12"	"16"	"354"	""	"354"	""
"236"	"194"	"299"	"27"	"5"	"149"	"2"	"16"	"0"	"0"	"5"	"4"	"507"	""	"507"	""
"237"	"195"	"26"	"20"	"1"	"290"	"11"	"49"	"10"	"4"	"1"	"5"	"417"	""	"417"	""
"238"	"196"	"129"	"31"	"8"	"285"	"3"	"42"	"10"	"2"	"5"	"10"	"525"	""	"525"	""
"239"	"197"	"174"	"93"	"10"	"130"	"7"	"21"	"11"	"3"	"6"	"13"	"468"	""	"468"	""
"240"	"198"	"325"	"18"	"9"	"97"	"1"	"18"	"5"	"2"	"7"	"2"	"484"	""	"484"	""
"241"	"199"	"99"	"259"	"26"	"108"	"6"	"24"	"18"	"13"	"11"	"41"	"605"	""	"605"	""
"242"	"200"	"28"	"16"	"4"	"257"	"3"	"40"	"13"	"2"	"4"	"6"	"373"	""	"373"	""
"243"	"TOTAL-XV"	"1945"	"881"	"103"	"2228"	"68"	"354"	"130"	"51"	"82"	"198"	"6040"	""	"6040"	""
"244"	"201"	"101"	"95"	"8"	"195"	"0"	"20"	"10"	"3"	"4"	"12"	"448"	""	"448"	""
"245"	"202"	"91"	"154"	"10"	"317"	"10"	"54"	"19"	"11"	"10"	"46"	"722"	""	"722"	""
"246"	"203"	"244"	"58"	"14"	"163"	"7"	"32"	"9"	"5"	"17"	"26"	"575"	""	"575"	""
"247"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"249"	"204"	"257"	"78"	"2"	"101"	"4"	"16"	"5"	"4"	"4"	"18"	"489"	""	"489"	""
"250"	"205"	"65"	"30"	"5"	"286"	"2"	"22"	"9"	"1"	"6"	"3"	"429"	""	"429"	""
"251"	"206"	"35"	"241"	"14"	"196"	"5"	"12"	"10"	"1"	"2"	"15"	"531"	""	"531"	""
"252"	"207"	"335"	"16"	"10"	"58"	"10"	"14"	"6"	"1"	"4"	"19"	"473"	""	"473"	""
"253"	"207d"	"108"	"2"	"4"	"5"	"1"	"2"	"2"	"2"	"0"	"11"	"137"	""	"137"	""
"254"	"208"	"167"	"15"	"9"	"136"	"1"	"31"	"5"	"3"	"4"	"74"	"445"	""	"445"	""
"255"	"209"	"239"	"40"	"12"	"128"	"26"	"31"	"9"	"5"	"4"	"40"	"534"	""	"534"	""
"256"	"210"	"93"	"24"	"3"	"156"	"1"	"11"	"9"	"1"	"2"	"8"	"308"	""	"308"	""
"257"	"211"	"119"	"20"	"12"	"195"	"4"	"39"	"14"	"1"	"1"	"40"	"445"	""	"445"	""
"258"	"212"	"238"	"24"	"19"	"115"	"6"	"37"	"6"	"1"	"3"	"11"	"460"	""	"460"	""
"259"	"213"	"59"	"144"	"16"	"105"	"5"	"19"	"5"	"2"	"10"	"15"	"380"	""	"380"	""
"260"	"TOTAL-XVI"	"2151"	"941"	"138"	"2156"	"82"	"340"	"118"	"41"	"71"	"338"	"6376"	""	"6376"	""
"261"	"213A"	"59"	"48"	"5"	"215"	"12"	"16"	"7"	"1"	"2"	"6"	"371"	""	"371"	""
"262"	"214"	"130"	"86"	"9"	"29"	"3"	"7"	"2"	"1"	"2"	"10"	"279"	""	"279"	""
"263"	"215"	"151"	"257"	"11"	"94"	"8"	"12"	"8"	"3"	"10"	"21"	"575"	""	"575"	""
"264"	"216"	"61"	"15"	"5"	"177"	"12"	"41"	"11"	"3"	"6"	"14"	"345"	""	"345"	""
"265"	"217"	"51"	"5"	"5"	"232"	"9"	"31"	"17"	"3"	"5"	"17"	"375"	""	"375"	""
"266"	"218"	"17"	"229"	"13"	"102"	"5"	"14"	"5"	"4"	"10"	"25"	"424"	""	"424"	""
"267"	"219"	"113"	"29"	"2"	"202"	"7"	"36"	"10"	"3"	"7"	"5"	"414"	""	"414"	""
"268"	"220"	"23"	"158"	"7"	"168"	"6"	"19"	"12"	"5"	"13"	"20"	"431"	""	"431"	""
"269"	"221"	"42"	"39"	"5"	"332"	"10"	"33"	"12"	"3"	"1"	"8"	"485"	""	"485"	""
"270"	"221d"	"27"	"10"	"3"	"304"	"2"	"24"	"6"	"1"	"1"	"3"	"381"	""	"381"	""
"271"	"222"	"28"	"83"	"15"	"161"	"12"	"24"	"10"	"8"	"5"	"14"	"360"	""	"360"	""
"272"	"223"	"17"	"45"	"5"	"160"	"3"	"28"	"5"	"2"	"5"	"18"	"288"	""	"288"	""
"273"	"224"	"220"	"36"	"5"	"97"	"2"	"17"	"9"	"7"	"6"	"21"	"420"	""	"420"	""
"274"	"225"	"44"	"49"	"15"	"286"	"3"	"26"	"10"	"3"	"2"	"7"	"445"	""	"445"	""
"275"	"TOTAL-XVII"	"983"	"1089"	"105"	"2559"	"94"	"328"	"124"	"47"	"75"	"189"	"5593"	""	"5593"	""
"276"	"226"	"322"	"58"	"6"	"117"	"1"	"21"	"6"	"5"	"9"	"27"	"572"	""	"572"	""
"277"	"227"	"162"	"44"	"9"	"97"	"1"	"25"	"8"	"2"	"4"	"14"	"366"	""	"366"	""
"278"	"TOTAL-XVIII"	"484"	"102"	"15"	"214"	"2"	"46"	"14"	"7"	"13"	"41"	"938"	""	"938"	""
"279"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"erksa dh dqy la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"110 AC Total"	"25691"	"24158"	"2628"	"45079"	"1478"	"7298"	"2557"	"1112"	"1588"	"4744"	"116333"	""	"116333"	""
"282"	"fuEufyf[kr  vH;fFkZ;ksa ds  i{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"ernku  dsUnz la0"	"t; o)Zu
;kno"	"eks0 ft;k míhu"	"fnus'k dqekj esgrk"	"uhjt dqekj flag
*ccyw*"	"vtqZu e.My"	"ukjk;.k eaMy"	"jkt dqekj pka¡n"	"vfuy dqekj"	"jktsUnz pkS/kjh"	"jkenso 'kekZ"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"284"	"By Postal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"286"	"Mkys x;s dqy erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	""	"25691"	"24158"	"2628"	"45079"	"1478"	"7298"	"2557"	"1112"	"1588"	"4744"	"116333"	""	"116333"	""
"288"	"sqaana : saupaOla"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"tarIK : 22.11.2005                                                                                                           irTina--Mga Aaifsar ko hstaxar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"110-jk?kksiqj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
