"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"142"	"4"	"54A"	"3"	"1"	"323"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"136"	"0"	"0"	"1"	"476"	"0"	"476"	"0"
"143"	"5"	"55"	"10"	"3"	"398"	"24"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"60"	"1"	"0"	"6"	"510"	"0"	"510"	"0"
"144"	"6"	"56"	"7"	"2"	"374"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"19"	"1"	"0"	"2"	"415"	"0"	"415"	"0"
"145"	"7"	"57"	"55"	"2"	"94"	"108"	"3"	"3"	"2"	"0"	"1"	"1"	"2"	"0"	"3"	"3"	"6"	"42"	"3"	"2"	"1"	"331"	"0"	"331"	"0"
"146"	"8"	"57A"	"41"	"7"	"115"	"65"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"2"	"4"	"2"	"0"	"32"	"3"	"2"	"2"	"281"	"0"	"281"	"0"
"147"	"9"	"58"	"167"	"3"	"5"	"1"	"1"	"2"	"1"	"1"	"0"	"4"	"2"	"4"	"165"	"139"	"5"	"25"	"2"	"1"	"4"	"532"	"0"	"532"	"0"
"148"	"10"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"149"	"11"	"60"	"205"	"1"	"0"	"3"	"2"	"1"	"0"	"1"	"0"	"1"	"3"	"2"	"13"	"248"	"1"	"22"	"4"	"1"	"2"	"510"	"0"	"510"	"0"
"150"	"12"	"60A"	"29"	"3"	"113"	"5"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"5"	"2"	"8"	"3"	"141"	"3"	"0"	"2"	"318"	"0"	"318"	"0"
"151"	"13"	"61"	"3"	"1"	"122"	"165"	"0"	"3"	"0"	"0"	"0"	"2"	"3"	"3"	"2"	"8"	"1"	"135"	"1"	"2"	"2"	"453"	"0"	"453"	"0"
"152"	"14"	"62"	"138"	"4"	"6"	"2"	"1"	"2"	"1"	"0"	"1"	"4"	"5"	"7"	"9"	"260"	"7"	"19"	"6"	"4"	"8"	"484"	"0"	"484"	"0"
"153"	"Total Votes Polled"	""	"695"	"30"	"2025"	"587"	"16"	"30"	"7"	"6"	"7"	"13"	"19"	"24"	"210"	"1204"	"35"	"790"	"28"	"12"	"35"	"5773"	"0"	"5773"	"0"
"154"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"1"	"63"	"6"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"339"	"0"	"0"	"1"	"361"	"0"	"361"	"0"
"172"	"2"	"64"	"7"	"0"	"56"	"7"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"1"	"402"	"1"	"1"	"3"	"485"	"0"	"485"	"0"
"173"	"3"	"65"	"21"	"3"	"116"	"15"	"2"	"3"	"2"	"0"	"1"	"1"	"1"	"2"	"8"	"5"	"2"	"193"	"0"	"0"	"0"	"375"	"0"	"375"	"0"
"174"	"4"	"66"	"242"	"11"	"13"	"12"	"3"	"1"	"2"	"0"	"2"	"2"	"2"	"7"	"28"	"121"	"3"	"27"	"0"	"6"	"3"	"485"	"0"	"485"	"0"
"175"	"5"	"67"	"10"	"5"	"146"	"58"	"1"	"1"	"0"	"0"	"0"	"4"	"1"	"4"	"4"	"1"	"1"	"89"	"1"	"2"	"5"	"333"	"0"	"333"	"0"
"176"	"6"	"68"	"4"	"1"	"32"	"22"	"1"	"2"	"0"	"1"	"1"	"3"	"0"	"3"	"3"	"3"	"12"	"365"	"1"	"0"	"1"	"455"	"0"	"455"	"0"
"177"	"7"	"69"	"10"	"0"	"113"	"20"	"2"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"388"	"2"	"0"	"1"	"546"	"0"	"546"	"0"
"178"	"8"	"70"	"1"	"1"	"72"	"32"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"396"	"0"	"0"	"0"	"507"	"0"	"507"	"0"
"179"	"9"	"71"	"12"	"2"	"42"	"36"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"529"	"0"	"0"	"0"	"624"	"0"	"624"	"0"
"180"	"10"	"72"	"18"	"1"	"129"	"6"	"1"	"4"	"0"	"1"	"1"	"2"	"0"	"1"	"4"	"6"	"8"	"376"	"1"	"0"	"3"	"562"	"0"	"562"	"0"
"181"	"11"	"73"	"21"	"4"	"93"	"14"	"3"	"8"	"3"	"1"	"0"	"1"	"0"	"2"	"2"	"4"	"3"	"192"	"4"	"2"	"4"	"361"	"0"	"361"	"0"
"182"	"12"	"74R"	"12"	"8"	"145"	"17"	"2"	"5"	"3"	"0"	"0"	"1"	"0"	"1"	"2"	"5"	"4"	"125"	"0"	"0"	"1"	"331"	"0"	"331"	"0"
"183"	"13"	"75R"	"10"	"3"	"106"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"70"	"1"	"0"	"1"	"196"	"0"	"196"	"0"
"184"	"14"	"75A"	"2"	"1"	"272"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"14"	"0"	"0"	"0"	"300"	"0"	"300"	"0"
"185"	"Total Votes Polled"	""	"376"	"40"	"1346"	"244"	"21"	"29"	"13"	"6"	"8"	"14"	"5"	"23"	"56"	"152"	"38"	"3505"	"11"	"11"	"23"	"5921"	"0"	"5921"	"0"
"186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"201"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"1"	"76"	"16"	"14"	"48"	"11"	"2"	"0"	"2"	"0"	"2"	"1"	"0"	"5"	"5"	"9"	"8"	"206"	"2"	"0"	"0"	"331"	"0"	"331"	"0"
"204"	"2"	"77"	"7"	"1"	"148"	"297"	"9"	"5"	"1"	"2"	"0"	"0"	"0"	"1"	"3"	"2"	"1"	"74"	"0"	"0"	"1"	"552"	"0"	"552"	"0"
"205"	"3"	"78"	"16"	"9"	"229"	"24"	"5"	"9"	"2"	"1"	"1"	"4"	"1"	"4"	"6"	"9"	"6"	"109"	"2"	"1"	"10"	"448"	"0"	"448"	"0"
"206"	"4"	"79"	"29"	"0"	"144"	"222"	"3"	"0"	"0"	"0"	"1"	"0"	"3"	"3"	"3"	"6"	"2"	"108"	"3"	"1"	"6"	"534"	"0"	"534"	"0"
"207"	"5"	"80"	"12"	"1"	"54"	"3"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"3"	"4"	"6"	"6"	"181"	"1"	"1"	"1"	"276"	"0"	"276"	"0"
"208"	"6"	"80A"	"17"	"1"	"56"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"164"	"1"	"0"	"1"	"253"	"0"	"253"	"0"
"209"	"7"	"81"	"12"	"6"	"101"	"55"	"6"	"3"	"3"	"1"	"0"	"2"	"2"	"3"	"3"	"5"	"5"	"84"	"0"	"2"	"3"	"296"	"0"	"296"	"0"
"210"	"8"	"82"	"28"	"9"	"223"	"64"	"4"	"7"	"3"	"1"	"0"	"3"	"2"	"6"	"3"	"14"	"4"	"87"	"2"	"0"	"10"	"470"	"0"	"470"	"0"
"211"	"9"	"83"	"41"	"7"	"164"	"22"	"5"	"4"	"2"	"0"	"2"	"4"	"3"	"5"	"6"	"8"	"6"	"211"	"0"	"1"	"0"	"491"	"0"	"491"	"0"
"212"	"10"	"84"	"15"	"2"	"140"	"22"	"3"	"2"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"5"	"4"	"116"	"1"	"4"	"2"	"321"	"0"	"321"	"0"
"213"	"11"	"84A"	"42"	"3"	"60"	"8"	"0"	"2"	"1"	"2"	"0"	"1"	"2"	"0"	"4"	"5"	"2"	"177"	"4"	"3"	"2"	"318"	"0"	"318"	"0"
"214"	"12"	"85"	"68"	"5"	"15"	"12"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"206"	"9"	"5"	"10"	"338"	"0"	"338"	"0"
"215"	"13"	"86"	"7"	"2"	"161"	"22"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"6"	"4"	"360"	"1"	"0"	"4"	"573"	"0"	"573"	"0"
"216"	"14"	"87"	"9"	"2"	"83"	"6"	"0"	"4"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"5"	"4"	"135"	"2"	"1"	"3"	"260"	"0"	"260"	"0"
"217"	"Total Votes Polled"	""	"319"	"62"	"1626"	"778"	"37"	"38"	"19"	"10"	"8"	"17"	"14"	"35"	"43"	"82"	"55"	"2218"	"28"	"19"	"53"	"5461"	"0"	"5461"	"0"
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"1"	"88"	"22"	"19"	"136"	"5"	"2"	"3"	"0"	"0"	"1"	"2"	"1"	"1"	"3"	"8"	"6"	"112"	"1"	"4"	"7"	"333"	"0"	"333"	"0"
"236"	"2"	"89"	"34"	"15"	"109"	"30"	"3"	"5"	"3"	"5"	"3"	"4"	"1"	"3"	"9"	"12"	"12"	"266"	"1"	"3"	"2"	"520"	"0"	"520"	"0"
"237"	"3"	"90"	"35"	"6"	"235"	"26"	"0"	"0"	"3"	"1"	"0"	"1"	"2"	"1"	"1"	"8"	"2"	"121"	"4"	"3"	"5"	"454"	"0"	"454"	"0"
"238"	"4"	"90A"	"23"	"5"	"149"	"41"	"1"	"2"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"4"	"0"	"40"	"4"	"1"	"7"	"283"	"0"	"283"	"0"
"239"	"5"	"91"	"8"	"1"	"64"	"154"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"3"	"143"	"1"	"0"	"2"	"383"	"0"	"383"	"0"
"240"	"6"	"92"	"21"	"8"	"273"	"50"	"1"	"3"	"4"	"2"	"1"	"1"	"2"	"1"	"4"	"14"	"6"	"83"	"0"	"0"	"0"	"474"	"0"	"474"	"0"
"241"	"7"	"93"	"16"	"4"	"276"	"30"	"2"	"6"	"3"	"1"	"3"	"1"	"3"	"1"	"4"	"13"	"8"	"159"	"2"	"2"	"20"	"554"	"0"	"554"	"0"
"242"	"8"	"94"	"26"	"9"	"133"	"39"	"2"	"3"	"2"	"3"	"3"	"2"	"7"	"6"	"11"	"23"	"14"	"200"	"6"	"2"	"10"	"501"	"0"	"501"	"0"
"243"	"9"	"95"	"15"	"2"	"72"	"49"	"0"	"2"	"1"	"1"	"1"	"3"	"2"	"1"	"1"	"3"	"1"	"430"	"1"	"0"	"1"	"586"	"0"	"586"	"0"
"244"	"10"	"96"	"9"	"1"	"155"	"30"	"1"	"4"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"6"	"6"	"85"	"1"	"0"	"4"	"307"	"0"	"307"	"0"
"245"	"11"	"96A"	"11"	"3"	"73"	"12"	"0"	"3"	"1"	"1"	"2"	"2"	"2"	"0"	"2"	"3"	"1"	"165"	"1"	"0"	"5"	"287"	"0"	"287"	"0"
"246"	"12"	"97"	"18"	"2"	"184"	"26"	"5"	"3"	"1"	"1"	"0"	"3"	"0"	"4"	"3"	"7"	"4"	"204"	"3"	"1"	"4"	"473"	"0"	"473"	"0"
"247"	"13"	"98"	"12"	"2"	"100"	"27"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"209"	"4"	"2"	"3"	"370"	"0"	"370"	"0"
"248"	"14"	"99"	"9"	"2"	"72"	"10"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"5"	"5"	"281"	"2"	"0"	"0"	"394"	"0"	"394"	"0"
"249"	"Total Votes Polled"	""	"259"	"79"	"2031"	"529"	"19"	"41"	"18"	"20"	"16"	"21"	"22"	"23"	"44"	"110"	"70"	"2498"	"31"	"18"	"70"	"5919"	"0"	"5919"	"0"
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Table No."	"No. & Name of Polling Station"	"FAKHRUDDIN ALI AHMAD"	"JUGAL RAVIDAS"	"RAJ BALLABH PRASAD"	"DR. SHATRUGHAN PRASAD SINGH"	"AJAY YADAV"	"ANIL KUMAR AKAUNA BAZAR"	"ANIL KUMAR PANTI"	"ARUN KUMAR"	"ASHOK KUMAR ALIAS PAPPU YADAV"	"UMA SHANKAR SINGH"	"KARU RAM"	"JAI SHANKAR PRASAD"	"JALDHAR MAHTO"	"DOWARIKA CHOUDHARY"	"NARESH PRASAD YADAV"	"PURNIMA YADAV"	"VIJAY KUMAR"	"RAMDEO CHOUDHARY"	"SATENDAR YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"265"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"1"	"100"	"7"	"2"	"31"	"5"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"3"	"4"	"277"	"4"	"3"	"2"	"349"	"0"	"349"	"0"
"268"	"2"	"101"	"43"	"2"	"59"	"289"	"5"	"4"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"39"	"5"	"1"	"3"	"458"	"0"	"458"	"0"
"269"	"3"	"102"	"43"	"4"	"240"	"18"	"1"	"9"	"0"	"2"	"2"	"5"	"3"	"2"	"4"	"10"	"4"	"37"	"1"	"1"	"2"	"388"	"0"	"388"	"0"
"270"	"4"	"103"	"23"	"5"	"244"	"167"	"8"	"10"	"4"	"4"	"0"	"4"	"3"	"5"	"5"	"6"	"1"	"85"	"1"	"0"	"1"	"576"	"0"	"576"	"0"
"271"	"5"	"104"	"0"	"0"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"411"	"0"	"0"	"0"	"422"	"0"	"422"	"0"
"272"	"6"	"105"	"34"	"0"	"17"	"241"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"302"	"0"	"302"	"0"
"273"	"7"	"106"	"14"	"6"	"60"	"97"	"6"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"3"	"4"	"5"	"112"	"12"	"11"	"12"	"349"	"0"	"349"	"0"
"274"	"8"	"107"	"11"	"5"	"218"	"13"	"1"	"2"	"1"	"1"	"2"	"0"	"1"	"0"	"3"	"12"	"4"	"144"	"0"	"0"	"1"	"419"	"0"	"419"	"0"
"275"	"9"	"108"	"33"	"4"	"234"	"26"	"1"	"3"	"2"	"2"	"1"	"1"	"2"	"0"	"4"	"5"	"2"	"66"	"6"	"5"	"16"	"413"	"0"	"413"	"0"
"276"	"10"	"108A"	"13"	"0"	"86"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"21"	"1"	"0"	"3"	"130"	"0"	"130"	"0"
"277"	"11"	"109"	"16"	"4"	"115"	"28"	"3"	"1"	"1"	"0"	"5"	"3"	"3"	"0"	"2"	"6"	"13"	"380"	"2"	"1"	"2"	"585"	"0"	"585"	"0"
"278"	"12"	"110"	"21"	"3"	"82"	"13"	"5"	"3"	"1"	"2"	"1"	"1"	"3"	"3"	"6"	"7"	"7"	"101"	"6"	"1"	"4"	"270"	"0"	"270"	"0"
"279"	"13"	"111"	"7"	"2"	"65"	"238"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"5"	"1"	"3"	"6"	"2"	"0"	"0"	"335"	"0"	"335"	"0"
"280"	"14"	"112"	"0"	"0"	"510"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"529"	"0"	"529"	"0"
"281"	"Total Votes Polled"	""	"265"	"37"	"1969"	"1154"	"34"	"41"	"11"	"14"	"13"	"16"	"17"	"14"	"42"	"57"	"46"	"1686"	"40"	"23"	"46"	"5525"	"0"	"5525"	"0"
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
