"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 234-Gurua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	""	""	"ANWAR ALI KHAN"	""	"BIRBHADRA YASHRAJ"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"7"	"43"	""	""	"86"	""	""	"74"	""	"84"	""	""	"29"	""	""	""	"2"	""	""	""	"6"	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"6"	""	""	""	"290"	""	""	""	"0"	""	""	""	"290"	""	""	""	""	""	""	""	""	""
"83"	"8"	"44"	""	""	"35"	""	""	"191"	""	"131"	""	""	"3"	""	""	""	"4"	""	""	""	"6"	""	""	"4"	""	""	"2"	""	""	""	"2"	""	""	""	"10"	""	""	""	"388"	""	""	""	"0"	""	""	""	"388"	""	""	""	""	""	""	""	""	""
"84"	"9"	"44A"	""	""	"41"	""	""	"29"	""	"82"	""	""	"44"	""	""	""	"7"	""	""	""	"5"	""	""	"6"	""	""	"4"	""	""	""	"10"	""	""	""	"36"	""	""	""	"264"	""	""	""	"0"	""	""	""	"264"	""	""	""	""	""	""	""	""	""
"85"	"10"	"45"	""	""	"51"	""	""	"89"	""	"90"	""	""	"41"	""	""	""	"6"	""	""	""	"5"	""	""	"2"	""	""	"4"	""	""	""	"4"	""	""	""	"12"	""	""	""	"304"	""	""	""	"0"	""	""	""	"304"	""	""	""	""	""	""	""	""	""
"86"	"11"	"46"	""	""	"19"	""	""	"7"	""	"64"	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	"1"	""	""	"4"	""	""	""	"3"	""	""	""	"3"	""	""	""	"106"	""	""	""	"0"	""	""	""	"106"	""	""	""	""	""	""	""	""	""
"87"	"12"	"47"	""	""	"10"	""	""	"46"	""	"235"	""	""	"13"	""	""	""	"1"	""	""	""	"4"	""	""	"1"	""	""	"5"	""	""	""	"3"	""	""	""	"7"	""	""	""	"325"	""	""	""	"0"	""	""	""	"325"	""	""	""	""	""	""	""	""	""
"88"	"13"	"48"	""	""	"68"	""	""	"61"	""	"96"	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"235"	""	""	""	"0"	""	""	""	"235"	""	""	""	""	""	""	""	""	""
"89"	"14"	"49"	""	""	"65"	""	""	"212"	""	"31"	""	""	"2"	""	""	""	"0"	""	""	""	"4"	""	""	"3"	""	""	"1"	""	""	""	"3"	""	""	""	"7"	""	""	""	"328"	""	""	""	"0"	""	""	""	"328"	""	""	""	""	""	""	""	""	""
"90"	"Total"	""	""	""	"781"	""	""	"1494"	""	"1332"	""	""	"230"	""	""	""	"46"	""	""	""	"63"	""	""	"23"	""	""	"46"	""	""	""	"47"	""	""	""	"142"	""	""	""	"4204"	""	""	""	"0"	""	""	""	"4204"	""	""	""	""	""	""	""	""	""
"91"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"95"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"15"	""	""	""	"16"	""	""	""	""	""
"97"	"1"	"49A"	""	""	"26"	""	""	"79"	""	"95"	""	""	"11"	""	""	""	"2"	""	""	""	"1"	""	""	"5"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"220"	""	""	""	"0"	""	""	""	"220"	""	""	""	""	""	""	""	""	""
"98"	"2"	"50"	""	""	"62"	""	""	"112"	""	"100"	""	""	"10"	""	""	""	"4"	""	""	""	"9"	""	""	"4"	""	""	"7"	""	""	""	"1"	""	""	""	"9"	""	""	""	"318"	""	""	""	"0"	""	""	""	"318"	""	""	""	""	""	""	""	""	""
"99"	"3"	"51"	""	""	"77"	""	""	"287"	""	"52"	""	""	"18"	""	""	""	"7"	""	""	""	"12"	""	""	"6"	""	""	"3"	""	""	""	"13"	""	""	""	"18"	""	""	""	"493"	""	""	""	"0"	""	""	""	"493"	""	""	""	""	""	""	""	""	""
"100"	"4"	"52"	""	""	"45"	""	""	"105"	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"4"	""	""	""	"160"	""	""	""	"0"	""	""	""	"160"	""	""	""	""	""	""	""	""	""
"101"	"5"	"53"	""	""	"9"	""	""	"53"	""	"163"	""	""	"12"	""	""	""	"2"	""	""	""	"5"	""	""	"4"	""	""	"6"	""	""	""	"7"	""	""	""	"6"	""	""	""	"267"	""	""	""	"0"	""	""	""	"267"	""	""	""	""	""	""	""	""	""
"102"	"6"	"54"	""	""	"50"	""	""	"137"	""	"67"	""	""	"30"	""	""	""	"10"	""	""	""	"7"	""	""	"5"	""	""	"7"	""	""	""	"8"	""	""	""	"24"	""	""	""	"345"	""	""	""	"0"	""	""	""	"345"	""	""	""	""	""	""	""	""	""
"103"	"7"	"55"	""	""	"92"	""	""	"20"	""	"90"	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	"0"	""	""	"1"	""	""	""	"3"	""	""	""	"7"	""	""	""	"220"	""	""	""	"0"	""	""	""	"220"	""	""	""	""	""	""	""	""	""
"104"	"8"	"56"	""	""	"77"	""	""	"251"	""	"59"	""	""	"11"	""	""	""	"4"	""	""	""	"3"	""	""	"4"	""	""	"3"	""	""	""	"5"	""	""	""	"10"	""	""	""	"427"	""	""	""	"0"	""	""	""	"427"	""	""	""	""	""	""	""	""	""
"105"	"9"	"57"	""	""	"69"	""	""	"22"	""	"96"	""	""	"13"	""	""	""	"2"	""	""	""	"4"	""	""	"4"	""	""	"3"	""	""	""	"4"	""	""	""	"11"	""	""	""	"228"	""	""	""	"0"	""	""	""	"228"	""	""	""	""	""	""	""	""	""
"106"	"10"	"58"	""	""	"74"	""	""	"189"	""	"111"	""	""	"5"	""	""	""	"14"	""	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"5"	""	""	""	"400"	""	""	""	"0"	""	""	""	"400"	""	""	""	""	""	""	""	""	""
"107"	"11"	"59"	""	""	"89"	""	""	"15"	""	"195"	""	""	"9"	""	""	""	"6"	""	""	""	"3"	""	""	"4"	""	""	"4"	""	""	""	"2"	""	""	""	"7"	""	""	""	"334"	""	""	""	"0"	""	""	""	"334"	""	""	""	""	""	""	""	""	""
"108"	"12"	"60"	""	""	"30"	""	""	"44"	""	"60"	""	""	"33"	""	""	""	"5"	""	""	""	"1"	""	""	"5"	""	""	"4"	""	""	""	"4"	""	""	""	"15"	""	""	""	"201"	""	""	""	"0"	""	""	""	"201"	""	""	""	""	""	""	""	""	""
"109"	"13"	"61"	""	""	"140"	""	""	"74"	""	"179"	""	""	"9"	""	""	""	"1"	""	""	""	"7"	""	""	"3"	""	""	"6"	""	""	""	"3"	""	""	""	"16"	""	""	""	"438"	""	""	""	"0"	""	""	""	"438"	""	""	""	""	""	""	""	""	""
"110"	"14"	"62"	""	""	"90"	""	""	"117"	""	"79"	""	""	"24"	""	""	""	"6"	""	""	""	"7"	""	""	"4"	""	""	"2"	""	""	""	"8"	""	""	""	"6"	""	""	""	"343"	""	""	""	"0"	""	""	""	"343"	""	""	""	""	""	""	""	""	""
"111"	"Total"	""	""	""	"930"	""	""	"1505"	""	"1349"	""	""	"188"	""	""	""	"64"	""	""	""	"64"	""	""	"48"	""	""	"47"	""	""	""	"60"	""	""	""	"139"	""	""	""	"4394"	""	""	""	"0"	""	""	""	"4394"	""	""	""	""	""	""	""	""	""
"112"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Date  22-11-2005                                                                                                                                                                                       Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Election to the Bihar Legislative Assembly from the 234-Gurua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Total No. of Electors in Assembly Constituency                                                                                                                 Round No. ……              6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"119"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"15"	""	""	""	"16"	""	""	""	""	""
"121"	"1"	"63"	""	""	"13"	""	""	"189"	""	"125"	""	""	"3"	""	""	""	"5"	""	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"4"	""	""	""	"7"	""	""	""	"350"	""	""	""	"0"	""	""	""	"350"	""	""	""	""	""	""	""	""	""
"122"	"2"	"64"	""	""	"70"	""	""	"257"	""	"45"	""	""	"11"	""	""	""	"3"	""	""	""	"15"	""	""	"5"	""	""	"8"	""	""	""	"10"	""	""	""	"50"	""	""	""	"474"	""	""	""	"0"	""	""	""	"474"	""	""	""	""	""	""	""	""	""
"123"	"3"	"65"	""	""	"123"	""	""	"24"	""	"389"	""	""	"10"	""	""	""	"2"	""	""	""	"9"	""	""	"0"	""	""	"4"	""	""	""	"2"	""	""	""	"0"	""	""	""	"563"	""	""	""	"0"	""	""	""	"563"	""	""	""	""	""	""	""	""	""
"124"	"4"	"66"	""	""	"84"	""	""	"144"	""	"101"	""	""	"62"	""	""	""	"9"	""	""	""	"3"	""	""	"1"	""	""	"4"	""	""	""	"8"	""	""	""	"0"	""	""	""	"416"	""	""	""	"0"	""	""	""	"416"	""	""	""	""	""	""	""	""	""
"125"	"5"	"67"	""	""	"36"	""	""	"189"	""	"81"	""	""	"26"	""	""	""	"4"	""	""	""	"4"	""	""	"6"	""	""	"5"	""	""	""	"7"	""	""	""	"10"	""	""	""	"368"	""	""	""	"0"	""	""	""	"368"	""	""	""	""	""	""	""	""	""
"126"	"6"	"68"	""	""	"100"	""	""	"98"	""	"68"	""	""	"20"	""	""	""	"4"	""	""	""	"8"	""	""	"3"	""	""	"3"	""	""	""	"1"	""	""	""	"9"	""	""	""	"314"	""	""	""	"0"	""	""	""	"314"	""	""	""	""	""	""	""	""	""
"127"	"7"	"69"	""	""	"103"	""	""	"41"	""	"118"	""	""	"10"	""	""	""	"3"	""	""	""	"2"	""	""	"6"	""	""	"6"	""	""	""	"6"	""	""	""	"20"	""	""	""	"315"	""	""	""	"0"	""	""	""	"315"	""	""	""	""	""	""	""	""	""
"128"	"8"	"70"	""	""	"25"	""	""	"225"	""	"146"	""	""	"12"	""	""	""	"2"	""	""	""	"4"	""	""	"3"	""	""	"3"	""	""	""	"5"	""	""	""	"7"	""	""	""	"432"	""	""	""	"0"	""	""	""	"432"	""	""	""	""	""	""	""	""	""
"129"	"9"	"71"	""	""	"56"	""	""	"119"	""	"14"	""	""	"9"	""	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"9"	""	""	""	"210"	""	""	""	"0"	""	""	""	"210"	""	""	""	""	""	""	""	""	""
"130"	"10"	"72"	""	""	"74"	""	""	"141"	""	"106"	""	""	"11"	""	""	""	"0"	""	""	""	"7"	""	""	"0"	""	""	"4"	""	""	""	"3"	""	""	""	"6"	""	""	""	"352"	""	""	""	"0"	""	""	""	"352"	""	""	""	""	""	""	""	""	""
"131"	"11"	"73"	""	""	"109"	""	""	"141"	""	"240"	""	""	"40"	""	""	""	"3"	""	""	""	"6"	""	""	"4"	""	""	"6"	""	""	""	"3"	""	""	""	"13"	""	""	""	"565"	""	""	""	"0"	""	""	""	"565"	""	""	""	""	""	""	""	""	""
"132"	"12"	"74"	""	""	"144"	""	""	"53"	""	"91"	""	""	"13"	""	""	""	"9"	""	""	""	"4"	""	""	"1"	""	""	"2"	""	""	""	"4"	""	""	""	"5"	""	""	""	"326"	""	""	""	"0"	""	""	""	"326"	""	""	""	""	""	""	""	""	""
"133"	"13"	"75"	""	""	"33"	""	""	"55"	""	"70"	""	""	"13"	""	""	""	"2"	""	""	""	"8"	""	""	"1"	""	""	"0"	""	""	""	"4"	""	""	""	"6"	""	""	""	"192"	""	""	""	"0"	""	""	""	"192"	""	""	""	""	""	""	""	""	""
"134"	"14"	"76"	""	""	"59"	""	""	"4"	""	"130"	""	""	"6"	""	""	""	"2"	""	""	""	"6"	""	""	"4"	""	""	"4"	""	""	""	"5"	""	""	""	"4"	""	""	""	"224"	""	""	""	"0"	""	""	""	"224"	""	""	""	""	""	""	""	""	""
"135"	"Total"	""	""	""	"1029"	""	""	"1680"	""	"1724"	""	""	"246"	""	""	""	"49"	""	""	""	"80"	""	""	"34"	""	""	"51"	""	""	""	"62"	""	""	""	"146"	""	""	""	"5101"	""	""	""	"0"	""	""	""	"5101"	""	""	""	""	""	""	""	""	""
"136"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Election to the Bihar Legislative Assembly from the 234-Gurua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Total No. of Electors in Assembly Constituency                                                                                                                 Round No. ……              7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"144"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"15"	""	""	""	"16"	""	""	""	""	""
"146"	"1"	"77"	""	""	"133"	""	""	"174"	""	"219"	""	""	"21"	""	""	""	"10"	""	""	""	"8"	""	""	"4"	""	""	"9"	""	""	""	"9"	""	""	""	"7"	""	""	""	"594"	""	""	""	"0"	""	""	""	"594"	""	""	""	""	""	""	""	""	""
"147"	"2"	"78"	""	""	"124"	""	""	"231"	""	"116"	""	""	"31"	""	""	""	"7"	""	""	""	"6"	""	""	"4"	""	""	"5"	""	""	""	"7"	""	""	""	"8"	""	""	""	"539"	""	""	""	"0"	""	""	""	"539"	""	""	""	""	""	""	""	""	""
"148"	"3"	"79"	""	""	"110"	""	""	"142"	""	"74"	""	""	"92"	""	""	""	"5"	""	""	""	"9"	""	""	"2"	""	""	"3"	""	""	""	"6"	""	""	""	"4"	""	""	""	"447"	""	""	""	"0"	""	""	""	"447"	""	""	""	""	""	""	""	""	""
"149"	"4"	"80"	""	""	"1"	""	""	"117"	""	"1"	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"123"	""	""	""	"0"	""	""	""	"123"	""	""	""	""	""	""	""	""	""
"150"	"5"	"81"	""	""	"117"	""	""	"130"	""	"27"	""	""	"4"	""	""	""	"3"	""	""	""	"6"	""	""	"2"	""	""	"4"	""	""	""	"8"	""	""	""	"38"	""	""	""	"339"	""	""	""	"0"	""	""	""	"339"	""	""	""	""	""	""	""	""	""
"151"	"6"	"82"	""	""	"7"	""	""	"213"	""	"36"	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"263"	""	""	""	"0"	""	""	""	"263"	""	""	""	""	""	""	""	""	""
"152"	"7"	"83"	""	""	"149"	""	""	"17"	""	"98"	""	""	"24"	""	""	""	"2"	""	""	""	"10"	""	""	"4"	""	""	"4"	""	""	""	"1"	""	""	""	"9"	""	""	""	"318"	""	""	""	"0"	""	""	""	"318"	""	""	""	""	""	""	""	""	""
"153"	"8"	"84"	""	""	"39"	""	""	"37"	""	"146"	""	""	"30"	""	""	""	"8"	""	""	""	"4"	""	""	"4"	""	""	"0"	""	""	""	"5"	""	""	""	"7"	""	""	""	"280"	""	""	""	"0"	""	""	""	"280"	""	""	""	""	""	""	""	""	""
"154"	"9"	"85"	""	""	"36"	""	""	"191"	""	"125"	""	""	"26"	""	""	""	"4"	""	""	""	"7"	""	""	"1"	""	""	"7"	""	""	""	"6"	""	""	""	"4"	""	""	""	"407"	""	""	""	"0"	""	""	""	"407"	""	""	""	""	""	""	""	""	""
"155"	"10"	"86"	""	""	"112"	""	""	"55"	""	"85"	""	""	"6"	""	""	""	"2"	""	""	""	"4"	""	""	"4"	""	""	"7"	""	""	""	"12"	""	""	""	"39"	""	""	""	"326"	""	""	""	"0"	""	""	""	"326"	""	""	""	""	""	""	""	""	""
"156"	"11"	"87"	""	""	"157"	""	""	"143"	""	"108"	""	""	"13"	""	""	""	"3"	""	""	""	"2"	""	""	"4"	""	""	"6"	""	""	""	"6"	""	""	""	"16"	""	""	""	"458"	""	""	""	"0"	""	""	""	"458"	""	""	""	""	""	""	""	""	""
"157"	"12"	"88"	""	""	"47"	""	""	"20"	""	"124"	""	""	"10"	""	""	""	"5"	""	""	""	"7"	""	""	"2"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	"230"	""	""	""	"0"	""	""	""	"230"	""	""	""	""	""	""	""	""	""
"158"	"13"	"89"	""	""	"69"	""	""	"201"	""	"33"	""	""	"29"	""	""	""	"3"	""	""	""	"4"	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	""	"346"	""	""	""	"0"	""	""	""	"346"	""	""	""	""	""	""	""	""	""
"159"	"14"	"90"	""	""	"114"	""	""	"130"	""	"109"	""	""	"36"	""	""	""	"5"	""	""	""	"4"	""	""	"7"	""	""	"4"	""	""	""	"4"	""	""	""	"12"	""	""	""	"425"	""	""	""	"0"	""	""	""	"425"	""	""	""	""	""	""	""	""	""
"160"	"Total"	""	""	""	"1215"	""	""	"1801"	""	"1301"	""	""	"328"	""	""	""	"58"	""	""	""	"72"	""	""	"40"	""	""	"53"	""	""	""	"73"	""	""	""	"154"	""	""	""	"5095"	""	""	""	"0"	""	""	""	"5095"	""	""	""	""	""	""	""	""	""
"161"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Date  22-11-2005                                                                                                                                                                                       Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"164"	""	""	""	""	"ANWAR ALI KHAN"	""	""	"BIRBHADRA YASHRAJ"	""	"SHAKEEL AHMAD KHAN"	""	""	"SIDHESHWAR PRASAD SINHA"	""	""	""	"MOHAMMAD KHAN ALI"	""	""	""	"SUNIL KUMAR SINGH"	""	""	"ARUN KUMAR"	""	""	"MD. NAIMUDDIN"	""	""	""	"BIRENDRA KUMAR YADAV"	""	""	""	"SONU BHARATI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
