"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Final  Result Sheet [See Rule 56c(2)c]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Total No Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly Constituency                                                                          177-RAJGIR"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Booth No"	"ARJUN PASWAN
alias AJAY PASWAN"	"PARMESHW AR PRASAD"	"BASANT RAM"	"SATYADEO NARAIN ARYA"	"ASHOK RAJBANSHI"	"PANKAJ KUMAR"	"BALDEO DAS"	"KAPILDEO CHOUDHARY"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"223"	"199"	"64"	"12"	"4"	"86"	"6"	"3"	"2"	"2"	"0"	"179"	"179"	"0"
"224"	"200"	"22"	"10"	"6"	"124"	"6"	"2"	"4"	"15"	"0"	"189"	"189"	"0"
"225"	"201"	"26"	"30"	"6"	"200"	"8"	"5"	"4"	"17"	"0"	"296"	"296"	"0"
"226"	"202"	"12"	"42"	"0"	"62"	"13"	"1"	"3"	"6"	"0"	"139"	"139"	"0"
"227"	"203"	"49"	"131"	"9"	"107"	"25"	"5"	"14"	"15"	"0"	"355"	"355"	"0"
"228"	"204"	"47"	"42"	"5"	"111"	"3"	"3"	"1"	"5"	"0"	"217"	"217"	"0"
"229"	"205"	"29"	"14"	"2"	"343"	"9"	"5"	"2"	"5"	"0"	"409"	"409"	"0"
"230"	"206"	"36"	"67"	"5"	"130"	"5"	"1"	"3"	"10"	"0"	"257"	"257"	"0"
"231"	"207"	"57"	"10"	"2"	"105"	"7"	"3"	"4"	"4"	"0"	"192"	"192"	"0"
"232"	"208"	"233"	"17"	"3"	"122"	"6"	"3"	"7"	"9"	"0"	"400"	"400"	"0"
"233"	"209"	"7"	"4"	"8"	"164"	"4"	"1"	"0"	"2"	"0"	"190"	"190"	"0"
"234"	"210"	"48"	"13"	"4"	"393"	"7"	"1"	"5"	"8"	"0"	"479"	"479"	"0"
"235"	"211"	"25"	"3"	"5"	"232"	"10"	"2"	"6"	"11"	"0"	"294"	"294"	"0"
"236"	"212"	"18"	"14"	"54"	"270"	"7"	"9"	"7"	"16"	"0"	"395"	"395"	"0"
"237"	"213"	"33"	"18"	"5"	"262"	"12"	"2"	"2"	"5"	"0"	"339"	"339"	"0"
"238"	"214"	"26"	"127"	"11"	"55"	"20"	"0"	"10"	"2"	"0"	"251"	"251"	"0"
"239"	"215"	"41"	"17"	"5"	"224"	"12"	"3"	"8"	"6"	"0"	"316"	"316"	"0"
"240"	"216"	"66"	"13"	"5"	"489"	"5"	"3"	"4"	"1"	"0"	"586"	"586"	"0"
"241"	"217"	"31"	"58"	"29"	"438"	"11"	"3"	"3"	"14"	"0"	"587"	"587"	"0"
"242"	"218"	"88"	"21"	"4"	"185"	"14"	"3"	"4"	"7"	"0"	"326"	"326"	"0"
"243"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"244"	"Total"	"10328"	"9858"	"1271"	"36344"	"2256"	"600"	"919"	"1688"	"0"	"63264"	"63264"	"0"
"245"	"Place                                 NALANDA COLLEGE, BIHARSHARIF"	""	""	""	""	""	""	""	""	""	""	""	""
