"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.109.BAKHRI..S.C..A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"228"	"165"	"40"	"98"	"274"	"53"	"4"	"6"	"6"	"18"	"499"	"0"	"499"	"0"
"229"	"166"	"19"	"91"	"166"	"189"	"11"	"9"	"4"	"17"	"506"	"0"	"506"	"0"
"230"	"167"	"7"	"210"	"131"	"81"	"2"	"5"	"3"	"8"	"447"	"0"	"447"	"0"
"231"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 109 BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Name of the Assembly  :  109- BAKHRI (S.C) A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"235"	""	"Arun Kumar"	"Kamaldeo Chaupal"	"Ram Binod Paswan"	"Ramanand Ram"	"Ramashraya Paswan"	"Ram Shankar Paswan"	"Sakal Deo Paswan"	"Rani Devi Paswan"	""	""	""	""
"236"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	"16"
"237"	"167A"	"14"	"90"	"121"	"71"	"9"	"25"	"11"	"21"	"362"	"0"	"362"	"0"
"238"	"168"	"8"	"25"	"237"	"98"	"7"	"16"	"8"	"18"	"417"	"0"	"417"	"0"
"239"	"169"	"36"	"64"	"227"	"223"	"27"	"30"	"13"	"25"	"645"	"0"	"645"	"0"
"240"	"170"	"3"	"129"	"110"	"17"	"2"	"1"	"3"	"5"	"270"	"0"	"270"	"0"
"241"	"170A"	"6"	"75"	"135"	"8"	"0"	"0"	"2"	"1"	"227"	"0"	"227"	"0"
"242"	"171"	"21"	"34"	"383"	"94"	"17"	"6"	"4"	"13"	"572"	"0"	"572"	"0"
"243"	"172"	"17"	"93"	"115"	"102"	"4"	"1"	"1"	"11"	"344"	"0"	"344"	"0"
"244"	"173"	"37"	"140"	"235"	"22"	"9"	"11"	"17"	"33"	"504"	"0"	"504"	"0"
"245"	"Total No. of Votes recorded on Polling
Stations"	"2181"	"14554"	"33534"	"21936"	"2384"	"2554"	"963"	"1825"	"79948"	"0"	"79948"	"0"
"246"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"247"	"Total Votes
Polled"	"2181"	"14554"	"33534"	"21936"	"2384"	"2554"	"963"	"1825"	"79948"	"0"	"79948"	"0"
"248"	"Place :            Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"Date :              11/22/2005"	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"109- Bakhri (A.C) A.C."	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"109- Bakhri (A.C) A.C."	""	""	""	""	""	""	""	""	""	""	""	""
