"No..and.Name.of.Assembly.Constituency...........49..Patepur..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"207"	"109"	"356"	"24"	"5"	"212"	"80"	"6"	"4"	"5"	"20"	"356"	"0"	"356"	"0"
"208"	"110"	"292"	"39"	"3"	"141"	"83"	"12"	"3"	"2"	"9"	"292"	"0"	"292"	"0"
"209"	"111"	"356"	"16"	"9"	"164"	"112"	"15"	"11"	"9"	"20"	"356"	"0"	"356"	"0"
"210"	"112"	"392"	"27"	"9"	"279"	"54"	"7"	"7"	"2"	"7"	"392"	"0"	"392"	"0"
"211"	"113"	"491"	"22"	"2"	"248"	"168"	"14"	"10"	"10"	"17"	"491"	"0"	"491"	"0"
"212"	"114"	"624"	"70"	"12"	"301"	"124"	"69"	"29"	"6"	"13"	"624"	"0"	"624"	"0"
"213"	"Grand Total"	"6210"	"853"	"115"	"2736"	"1632"	"354"	"119"	"104"	"297"	"6210"	"0"	"6210"	"0"
"214"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"215"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"216"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Round No.  :-    10"	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"220"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"221"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"222"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"223"	"115"	"373"	"115"	"9"	"129"	"83"	"11"	"5"	"4"	"17"	"373"	"0"	"373"	"0"
"224"	"116"	"295"	"32"	"5"	"107"	"105"	"11"	"6"	"4"	"25"	"295"	"0"	"295"	"0"
"225"	"117"	"442"	"24"	"6"	"201"	"161"	"15"	"10"	"8"	"17"	"442"	"0"	"442"	"0"
"226"	"118"	"404"	"28"	"17"	"178"	"138"	"18"	"9"	"5"	"11"	"404"	"0"	"404"	"0"
"227"	"119"	"543"	"112"	"14"	"142"	"220"	"14"	"10"	"6"	"25"	"543"	"0"	"543"	"0"
"228"	"120"	"454"	"87"	"8"	"210"	"76"	"37"	"9"	"11"	"16"	"454"	"0"	"454"	"0"
"229"	"121"	"443"	"32"	"8"	"134"	"192"	"32"	"12"	"4"	"29"	"443"	"0"	"443"	"0"
"230"	"122"	"419"	"81"	"7"	"147"	"99"	"16"	"17"	"11"	"41"	"419"	"0"	"419"	"0"
"231"	"123"	"443"	"66"	"12"	"99"	"166"	"32"	"16"	"18"	"34"	"443"	"0"	"443"	"0"
"232"	"124"	"674"	"78"	"9"	"188"	"291"	"27"	"30"	"16"	"35"	"674"	"0"	"674"	"0"
"233"	"125"	"285"	"23"	"4"	"42"	"165"	"28"	"8"	"4"	"11"	"285"	"0"	"285"	"0"
"234"	"126"	"288"	"29"	"7"	"45"	"174"	"16"	"5"	"3"	"9"	"288"	"0"	"288"	"0"
"235"	"127"	"763"	"44"	"17"	"444"	"173"	"40"	"15"	"10"	"20"	"763"	"0"	"763"	"0"
"236"	"128"	"656"	"27"	"13"	"496"	"93"	"8"	"5"	"6"	"8"	"656"	"0"	"656"	"0"
"237"	"Grand Total"	"6482"	"778"	"136"	"2562"	"2136"	"305"	"157"	"110"	"298"	"6482"	"0"	"6482"	"0"
"238"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"239"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"240"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Round No.  :-    11"	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"244"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"245"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"246"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"247"	"129"	"507"	"71"	"6"	"140"	"225"	"42"	"8"	"4"	"11"	"507"	"0"	"507"	"0"
"248"	"130"	"774"	"24"	"14"	"659"	"51"	"7"	"4"	"5"	"10"	"774"	"0"	"774"	"0"
"249"	"131"	"548"	"29"	"7"	"365"	"107"	"10"	"13"	"5"	"12"	"548"	"0"	"548"	"0"
"250"	"132"	"624"	"124"	"9"	"226"	"196"	"26"	"15"	"3"	"25"	"624"	"0"	"624"	"0"
"251"	"133"	"397"	"95"	"22"	"33"	"201"	"22"	"4"	"2"	"18"	"397"	"0"	"397"	"0"
"252"	"134"	"692"	"73"	"17"	"319"	"225"	"28"	"9"	"5"	"16"	"692"	"0"	"692"	"0"
"253"	"135"	"667"	"23"	"10"	"329"	"213"	"24"	"16"	"13"	"39"	"667"	"0"	"667"	"0"
"254"	"136"	"564"	"45"	"10"	"185"	"219"	"36"	"23"	"17"	"29"	"564"	"0"	"564"	"0"
"255"	"137"	"655"	"48"	"12"	"466"	"81"	"13"	"9"	"4"	"22"	"655"	"0"	"655"	"0"
"256"	"138"	"364"	"24"	"8"	"248"	"37"	"10"	"8"	"13"	"16"	"364"	"0"	"364"	"0"
"257"	"139"	"610"	"218"	"20"	"183"	"103"	"38"	"7"	"13"	"28"	"610"	"0"	"610"	"0"
"258"	"140"	"256"	"89"	"13"	"84"	"60"	"2"	"2"	"2"	"4"	"256"	"0"	"256"	"0"
"259"	"140K"	"338"	"127"	"28"	"40"	"119"	"9"	"3"	"2"	"10"	"338"	"0"	"338"	"0"
"260"	"141"	"271"	"29"	"1"	"47"	"148"	"22"	"9"	"5"	"10"	"271"	"0"	"271"	"0"
"261"	"Grand Total"	"7267"	"1019"	"177"	"3324"	"1985"	"289"	"130"	"93"	"250"	"7267"	"0"	"7267"	"0"
"262"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"263"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"264"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Round No.  :-    12"	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"268"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"269"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"270"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"271"	"142"	"366"	"82"	"15"	"82"	"107"	"44"	"12"	"9"	"15"	"366"	"0"	"366"	"0"
"272"	"143"	"403"	"53"	"9"	"226"	"94"	"2"	"8"	"3"	"8"	"403"	"0"	"403"	"0"
"273"	"144"	"400"	"154"	"4"	"154"	"51"	"9"	"9"	"2"	"17"	"400"	"0"	"400"	"0"
"274"	"145"	"295"	"159"	"6"	"81"	"15"	"9"	"11"	"1"	"13"	"295"	"0"	"295"	"0"
"275"	"146"	"405"	"173"	"5"	"148"	"50"	"20"	"4"	"3"	"2"	"405"	"0"	"405"	"0"
"276"	"147"	"353"	"106"	"8"	"73"	"89"	"31"	"5"	"11"	"30"	"353"	"0"	"353"	"0"
"277"	"148"	"320"	"61"	"39"	"119"	"62"	"6"	"10"	"4"	"19"	"320"	"0"	"320"	"0"
"278"	"148K"	"445"	"23"	"52"	"169"	"138"	"10"	"12"	"8"	"33"	"445"	"0"	"445"	"0"
"279"	"149"	"380"	"27"	"59"	"198"	"61"	"6"	"11"	"12"	"6"	"380"	"0"	"380"	"0"
"280"	"149K"	"246"	"11"	"34"	"76"	"98"	"7"	"5"	"8"	"7"	"246"	"0"	"246"	"0"
"281"	"150"	"561"	"34"	"94"	"155"	"203"	"36"	"10"	"9"	"20"	"561"	"0"	"561"	"0"
"282"	"151"	"304"	"99"	"19"	"112"	"46"	"4"	"9"	"3"	"12"	"304"	"0"	"304"	"0"
"283"	"152"	"543"	"34"	"15"	"95"	"297"	"54"	"10"	"9"	"29"	"543"	"0"	"543"	"0"
"284"	"152K"	"184"	"9"	"6"	"40"	"100"	"7"	"3"	"5"	"14"	"184"	"0"	"184"	"0"
"285"	"Grand Total"	"5205"	"1025"	"365"	"1728"	"1411"	"245"	"119"	"87"	"225"	"5205"	"0"	"5205"	"0"
"286"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"287"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"288"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Round No.  :-    13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"292"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"293"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"294"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"295"	"153"	"421"	"22"	"7"	"277"	"86"	"9"	"6"	"3"	"11"	"421"	"0"	"421"	"0"
"296"	"154"	"545"	"17"	"9"	"189"	"267"	"20"	"11"	"3"	"29"	"545"	"0"	"545"	"0"
"297"	"155"	"544"	"35"	"23"	"328"	"114"	"15"	"6"	"5"	"18"	"544"	"0"	"544"	"0"
"298"	"156"	"310"	"29"	"1"	"57"	"199"	"12"	"3"	"2"	"7"	"310"	"0"	"310"	"0"
"299"	"157"	"437"	"19"	"11"	"208"	"150"	"24"	"9"	"7"	"9"	"437"	"0"	"437"	"0"
"300"	"158"	"510"	"35"	"22"	"114"	"318"	"10"	"2"	"0"	"9"	"510"	"0"	"510"	"0"
"301"	"159"	"302"	"40"	"3"	"39"	"181"	"18"	"5"	"2"	"14"	"302"	"0"	"302"	"0"
"302"	"160"	"458"	"6"	"1"	"112"	"299"	"12"	"4"	"6"	"18"	"458"	"0"	"458"	"0"
"303"	"161"	"319"	"8"	"2"	"83"	"202"	"13"	"4"	"1"	"6"	"319"	"0"	"319"	"0"
"304"	"162"	"136"	"7"	"1"	"56"	"57"	"5"	"2"	"0"	"8"	"136"	"0"	"136"	"0"
"305"	"163"	"347"	"17"	"1"	"215"	"92"	"8"	"3"	"4"	"7"	"347"	"0"	"347"	"0"
"306"	"163K"	"384"	"46"	"17"	"103"	"173"	"12"	"8"	"6"	"19"	"384"	"0"	"384"	"0"
"307"	"164"	"333"	"11"	"1"	"174"	"122"	"7"	"5"	"5"	"8"	"333"	"0"	"333"	"0"
"308"	"164K"	"368"	"36"	"7"	"158"	"120"	"8"	"8"	"11"	"20"	"368"	"0"	"368"	"0"
"309"	"Grand Total"	"5414"	"328"	"106"	"2113"	"2380"	"173"	"76"	"55"	"183"	"5414"	"0"	"5414"	"0"
"310"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"311"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"312"	"No. and Name of Assembly Constituency  :-       49- Patepur (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Total No. of Electors in the Assembly Constituency :- 195647"	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Round No.  :-    14"	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"316"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"317"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"318"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"319"	"165"	"527"	"32"	"9"	"363"	"58"	"4"	"9"	"4"	"48"	"527"	"0"	"527"	"0"
"320"	"166"	"445"	"23"	"5"	"274"	"101"	"11"	"3"	"9"	"19"	"445"	"0"	"445"	"0"
"321"	"167"	"470"	"15"	"9"	"207"	"183"	"21"	"12"	"6"	"17"	"470"	"0"	"470"	"0"
"322"	"168"	"549"	"18"	"7"	"181"	"285"	"27"	"10"	"3"	"18"	"549"	"0"	"549"	"0"
"323"	"169"	"268"	"20"	"4"	"122"	"88"	"15"	"2"	"4"	"13"	"268"	"0"	"268"	"0"
"324"	"170"	"228"	"17"	"6"	"88"	"104"	"5"	"1"	"3"	"4"	"228"	"0"	"228"	"0"
"325"	"170K"	"268"	"32"	"12"	"93"	"96"	"13"	"4"	"4"	"14"	"268"	"0"	"268"	"0"
"326"	"171"	"359"	"41"	"8"	"100"	"146"	"22"	"11"	"8"	"23"	"359"	"0"	"359"	"0"
"327"	"171K"	"369"	"14"	"6"	"141"	"92"	"78"	"10"	"5"	"23"	"369"	"0"	"369"	"0"
"328"	"172"	"357"	"14"	"3"	"163"	"137"	"7"	"12"	"4"	"17"	"357"	"0"	"357"	"0"
"329"	"173"	"279"	"9"	"6"	"143"	"84"	"12"	"5"	"3"	"17"	"279"	"0"	"279"	"0"
"330"	"173K"	"274"	"10"	"5"	"97"	"129"	"7"	"5"	"4"	"17"	"274"	"0"	"274"	"0"
"331"	"174"	"406"	"47"	"2"	"73"	"223"	"17"	"6"	"7"	"31"	"406"	"0"	"406"	"0"
"332"	"175"	"255"	"7"	"3"	"9"	"186"	"21"	"5"	"2"	"22"	"255"	"0"	"255"	"0"
"333"	"Grand Total"	"5054"	"299"	"85"	"2054"	"1912"	"260"	"95"	"66"	"283"	"5054"	"0"	"5054"	"0"
"334"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"335"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"336"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"337"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"338"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"339"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"340"	"176"	"308"	"33"	"4"	"69"	"175"	"15"	"4"	"2"	"6"	"308"	"0"	"308"	"0"
"341"	"177"	"503"	"39"	"4"	"83"	"338"	"20"	"3"	"4"	"12"	"503"	"0"	"503"	"0"
"342"	"178"	"454"	"30"	"7"	"137"	"224"	"22"	"7"	"6"	"21"	"454"	"0"	"454"	"0"
"343"	"179"	"360"	"29"	"7"	"167"	"115"	"18"	"8"	"3"	"13"	"360"	"0"	"360"	"0"
"344"	"180"	"457"	"23"	"7"	"117"	"236"	"29"	"13"	"5"	"27"	"457"	"0"	"457"	"0"
"345"	"181"	"248"	"20"	"10"	"87"	"97"	"10"	"6"	"4"	"14"	"248"	"0"	"248"	"0"
"346"	"181K"	"466"	"39"	"6"	"218"	"151"	"17"	"11"	"8"	"16"	"466"	"0"	"466"	"0"
"347"	"182"	"233"	"38"	"1"	"35"	"141"	"6"	"2"	"2"	"8"	"233"	"0"	"233"	"0"
"348"	"183"	"481"	"30"	"12"	"149"	"232"	"14"	"12"	"7"	"25"	"481"	"0"	"481"	"0"
"349"	"184"	"465"	"13"	"5"	"197"	"165"	"29"	"10"	"7"	"39"	"465"	"0"	"465"	"0"
"350"	"185"	"388"	"12"	"9"	"234"	"88"	"8"	"10"	"8"	"19"	"388"	"0"	"388"	"0"
"351"	"186"	"387"	"50"	"10"	"156"	"109"	"19"	"13"	"6"	"24"	"387"	"0"	"387"	"0"
"352"	"187"	"378"	"37"	"0"	"89"	"217"	"17"	"2"	"1"	"15"	"378"	"0"	"378"	"0"
"353"	"188"	"343"	"32"	"7"	"146"	"121"	"9"	"5"	"6"	"17"	"343"	"0"	"343"	"0"
"354"	"Grand Total"	"5471"	"425"	"89"	"1884"	"2409"	"233"	"106"	"69"	"256"	"5471"	"0"	"5471"	"0"
"355"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"356"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"357"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"358"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"359"	""	""	"BJP"	"CPI(ML)(L)"	"RJD"	"LJP"	"BSP"	"SP"	"IND"	"IND"	""	""	""	""
"360"	""	""	"CHANDRIKA DAS"	"TAPESHWAR PASWAN"	"PREMA CHAUDHARI"	"MAHENDRA BAITHA"	"SHRI RAM"	"RAM KUMARI DEVI"	"RAM KUMAR RAM"	"SANJAY PASWAN"	""	""	""	""
"361"	"189"	"455"	"27"	"2"	"97"	"250"	"14"	"2"	"7"	"56"	"455"	"0"	"455"	"0"
"362"	"190"	"382"	"33"	"12"	"67"	"233"	"15"	"6"	"3"	"13"	"382"	"0"	"382"	"0"
"363"	"Grand Total"	"837"	"60"	"14"	"164"	"483"	"29"	"8"	"10"	"69"	"837"	"0"	"837"	"0"
"364"	"Total No. of Votes recorded of polling stations"	""	"12862"	"2076"	"32792"	"29276"	"4764"	"2411"	"1332"	"3968"	"89481"	"0"	"89481"	"0"
"365"	"No. of Votes Recorded on Postal Ballot Papers (To be filled in the case of election from assembly constituency)"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"366"	"Total Votes Polled"	""	"12862"	"2076"	"32792"	"29276"	"4764"	"2411"	"1332"	"3968"	"89481"	"0"	"89481"	"0"
"367"	"Place :- Hajipur Date :-  22.11.05"	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"368"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"369"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"49- Patepur (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
