"Polling.Station.No"	"Total.No.of.Electors.at.the.polling.Station"	"Votes.polled.candidate.in.desending.order"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.Vote.polled"	"X..Vote.Polled"	"Nature.of.booth.hyper.sensitive.s.ensitive"	"Type.of.force.CPMF.CR.PF.CISF.B.SF.SAP.D.AP.HG"	"Strength.of.force..1.4...2.8."	"Repoll.if.any.reasons"	"X..of.votes.polled.on.repoll"
"148"	"62"	"718"	"175"	"38.21"	"263"	"57.42"	"15"	"3.28"	"3"	"0.66"	"2"	"0.44"	"458"	"63.79"	"Sensitive"	"DAP+BHG"	"Half sec"	""	""
"149"	";ksx"	"11262"	"1843"	"44.04"	"2040"	"48.75"	"182"	"4.35"	"40"	"0.96"	"80"	"1.91"	"4185"	"37.16"	""	""	""	""	""
"150"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"153"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"154"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"155"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"156"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"157"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"158"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"159"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"160"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"161"	"62d"	"910"	"110"	"42.97"	"125"	"48.83"	"11"	"4.3"	"5"	"1.95"	"5"	"1.95"	"256"	"28.13"	"Sensitive"	"DAP+BHG"	"Half sec"	""	""
"162"	"63"	"837"	"402"	"73.09"	"125"	"22.73"	"6"	"1.09"	"8"	"1.45"	"9"	"1.64"	"550"	"65.71"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"163"	"63d"	"802"	"243"	"71.26"	"66"	"19.35"	"16"	"4.69"	"5"	"1.47"	"11"	"3.23"	"341"	"42.52"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"164"	"64"	"941"	"352"	"237.84"	"107"	"72.3"	"6"	"4.05"	"15"	"10.14"	"5"	"3.38"	"148"	"15.73"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"165"	"65"	"1033"	"321"	"60"	"163"	"30.47"	"17"	"3.18"	"18"	"3.36"	"16"	"2.99"	"535"	"51.79"	"Hyper sensitive"	"DAP+BHG"	"Half sec"	""	""
"166"	"66"	"993"	"124"	"27.02"	"279"	"60.78"	"40"	"8.71"	"7"	"1.53"	"9"	"1.96"	"459"	"46.22"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"167"	"67"	"1324"	"545"	"76.33"	"98"	"13.73"	"7"	"0.98"	"21"	"2.94"	"43"	"6.02"	"714"	"53.93"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"168"	"68"	"711"	"204"	"40.72"	"228"	"45.51"	"53"	"10.58"	"4"	"0.8"	"12"	"2.4"	"501"	"70.46"	"Sensitive"	"CPMF."	"Half sec"	""	""
"169"	"68d"	"808"	"70"	"15.7"	"162"	"36.32"	"66"	"14.8"	"133"	"29.82"	"15"	"3.36"	"446"	"55.2"	"Sensitive"	"CPMF."	"Half sec"	""	""
"170"	"69"	"859"	"249"	"47.25"	"229"	"43.45"	"39"	"7.4"	"4"	"0.76"	"6"	"1.14"	"527"	"61.35"	"Sensitive"	"CPMF."	"Half sec"	""	""
"171"	"70"	"900"	"171"	"32.08"	"324"	"60.79"	"17"	"3.19"	"6"	"1.13"	"15"	"2.81"	"533"	"59.22"	"Hyper sensitive"	"CPMF."	"Half sec"	"533"	"59.22"
"172"	"71"	"814"	"145"	"31.18"	"276"	"59.35"	"40"	"8.6"	"2"	"0.43"	"2"	"0.43"	"465"	"57.13"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"173"	"72"	"792"	"59"	"11.11"	"261"	"49.15"	"181"	"34.09"	"6"	"1.13"	"24"	"4.52"	"531"	"67.05"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"174"	"72d"	"685"	"151"	"55.72"	"38"	"14.02"	"16"	"5.9"	"64"	"23.62"	"2"	"0.74"	"271"	"39.56"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"175"	";ksx"	"12409"	"3146"	"50.12"	"2481"	"39.53"	"515"	"8.2"	"298"	"4.75"	"174"	"2.77"	"6277"	"50.58"	""	""	""	""	""
"176"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"179"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"180"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"181"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"182"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"183"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"184"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"185"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"186"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"187"	"73"	"1321"	"304"	"47.43"	"217"	"33.85"	"87"	"13.57"	"6"	"0.94"	"27"	"4.21"	"641"	"48.52"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"188"	"74"	"1130"	"174"	"34.18"	"173"	"33.99"	"139"	"27.31"	"6"	"1.18"	"17"	"3.34"	"509"	"45.04"	"Hyper sensitive"	"CPMF."	"Half sec"	""	""
"189"	"75"	"786"	"136"	"33.83"	"98"	"24.38"	"34"	"8.46"	"119"	"29.6"	"15"	"3.73"	"402"	"51.15"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"190"	"75d"	"652"	"108"	"46.35"	"42"	"18.03"	"50"	"21.46"	"14"	"6.01"	"19"	"8.15"	"233"	"35.74"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"191"	"76"	"1349"	"182"	"31.71"	"257"	"44.77"	"43"	"7.49"	"45"	"7.84"	"47"	"8.19"	"574"	"42.55"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"192"	"77"	"1002"	"295"	"52.12"	"219"	"38.69"	"10"	"1.77"	"18"	"3.18"	"24"	"4.24"	"566"	"56.49"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"193"	"78"	"581"	"31"	"8.66"	"97"	"27.09"	"50"	"13.97"	"175"	"48.88"	"5"	"1.4"	"358"	"61.62"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"194"	"79"	"1299"	"193"	"33.33"	"191"	"32.99"	"160"	"27.63"	"8"	"1.38"	"27"	"4.66"	"579"	"44.57"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"195"	"80"	"755"	"160"	"39.7"	"159"	"39.45"	"63"	"15.63"	"8"	"1.99"	"13"	"3.23"	"403"	"53.38"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"196"	"81"	"1271"	"226"	"40.14"	"167"	"29.66"	"64"	"11.37"	"70"	"12.43"	"36"	"6.39"	"563"	"44.3"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"197"	"82"	"502"	"145"	"55.56"	"25"	"9.58"	"89"	"34.1"	"0"	"0"	"2"	"0.77"	"261"	"51.99"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"198"	"83"	"1331"	"353"	"53.08"	"205"	"30.83"	"36"	"5.41"	"57"	"8.57"	"14"	"2.11"	"665"	"49.96"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"199"	"84"	"1254"	"161"	"28.85"	"170"	"30.47"	"8"	"1.43"	"208"	"37.28"	"11"	"1.97"	"558"	"44.5"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"200"	"85"	"1140"	"232"	"473.47"	"152"	"310.2"	"79"	"161.22"	"7"	"14.29"	"20"	"40.82"	"49"	"4.298"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"201"	";ksx"	"14373"	"2700"	"42.45"	"2172"	"34.15"	"912"	"14.34"	"741"	"11.65"	"277"	"4.35"	"6361"	"44.26"	""	""	""	""	""
"202"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"205"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"206"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"207"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"208"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"209"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"210"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"211"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"213"	"86"	"1113"	"250"	"50.4"	"69"	"13.91"	"125"	"25.2"	"13"	"2.62"	"39"	"7.86"	"496"	"44.56"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"214"	"87"	"1112"	"165"	"29.78"	"192"	"34.66"	"101"	"18.23"	"75"	"13.54"	"21"	"3.79"	"554"	"49.82"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"215"	"88"	"584"	"66"	"21.29"	"176"	"56.77"	"58"	"18.71"	"5"	"1.61"	"5"	"1.61"	"310"	"53.08"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"216"	"89"	"1093"	"310"	"54.87"	"128"	"22.65"	"75"	"13.27"	"13"	"2.3"	"39"	"6.9"	"565"	"51.69"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"217"	"90"	"818"	"283"	"55.49"	"156"	"30.59"	"50"	"9.8"	"8"	"1.57"	"13"	"2.55"	"510"	"62.35"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"218"	"91"	"724"	"103"	"22.2"	"146"	"31.47"	"180"	"38.79"	"8"	"1.72"	"27"	"5.82"	"464"	"64.09"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"219"	"92"	"949"	"174"	"31.02"	"206"	"36.72"	"169"	"30.12"	"3"	"0.53"	"9"	"1.6"	"561"	"59.11"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"220"	"93"	"628"	"71"	"16.03"	"175"	"39.5"	"189"	"42.66"	"3"	"0.68"	"5"	"1.13"	"443"	"70.54"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"221"	"94"	"937"	"261"	"47.11"	"131"	"23.65"	"113"	"20.4"	"14"	"2.53"	"35"	"6.32"	"554"	"59.12"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"222"	"95"	"802"	"67"	"15.19"	"306"	"69.39"	"57"	"12.93"	"4"	"0.91"	"7"	"1.59"	"441"	"54.99"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"223"	"96"	"956"	"291"	"49.49"	"224"	"38.1"	"41"	"6.97"	"9"	"1.53"	"23"	"3.91"	"588"	"61.51"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"224"	"97"	"680"	"232"	"57.43"	"67"	"16.58"	"80"	"19.8"	"12"	"2.97"	"13"	"3.22"	"404"	"59.41"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"225"	"97d"	"742"	"219"	"48.67"	"175"	"38.89"	"33"	"7.33"	"3"	"0.67"	"20"	"4.44"	"450"	"60.65"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"226"	"98"	"721"	"279"	"71.36"	"82"	"20.97"	"14"	"3.58"	"5"	"1.28"	"11"	"2.81"	"391"	"54.23"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"227"	";ksx"	"11859"	"2771"	"41.17"	"2233"	"33.17"	"1285"	"19.09"	"175"	"2.6"	"267"	"3.97"	"6731"	"56.76"	""	""	""	""	""
"228"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"231"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"232"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"233"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"234"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"235"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"236"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"237"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"238"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"239"	"98d"	"726"	"175"	"44.87"	"65"	"16.67"	"51"	"13.08"	"77"	"19.74"	"22"	"5.64"	"390"	"53.72"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"240"	"99"	"1145"	"335"	"53.69"	"201"	"32.21"	"41"	"6.57"	"19"	"3.04"	"28"	"4.49"	"624"	"54.5"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"241"	"100"	"1009"	"83"	"13.93"	"182"	"30.54"	"264"	"44.3"	"15"	"2.52"	"52"	"8.72"	"596"	"59.07"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"242"	"101"	"977"	"217"	"39.67"	"209"	"38.21"	"82"	"14.99"	"14"	"2.56"	"25"	"4.57"	"547"	"55.99"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"243"	"102"	"838"	"165"	"36.91"	"175"	"39.15"	"51"	"11.41"	"24"	"5.37"	"32"	"7.16"	"447"	"53.34"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"244"	"103"	"842"	"162"	"39.32"	"215"	"52.18"	"24"	"5.83"	"4"	"0.97"	"7"	"1.7"	"412"	"48.93"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"245"	"104"	"999"	"351"	"64.64"	"64"	"11.79"	"70"	"12.89"	"28"	"5.16"	"30"	"5.52"	"543"	"54.35"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"246"	"105"	"703"	"168"	"43.19"	"177"	"45.5"	"17"	"4.37"	"7"	"1.8"	"20"	"5.14"	"389"	"55.33"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"247"	"105d"	"759"	"194"	"54.65"	"135"	"38.03"	"13"	"3.66"	"5"	"1.41"	"8"	"2.25"	"355"	"46.77"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"248"	"106"	"1036"	"87"	"16.05"	"345"	"63.65"	"73"	"13.47"	"4"	"0.74"	"33"	"6.09"	"542"	"52.32"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"249"	"107"	"974"	"356"	"60.85"	"185"	"31.62"	"18"	"3.08"	"11"	"1.88"	"15"	"2.56"	"585"	"60.06"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"250"	"108"	"995"	"234"	"41.56"	"288"	"51.15"	"14"	"2.49"	"10"	"1.78"	"17"	"3.02"	"563"	"56.58"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"251"	"109"	"1205"	"428"	"61.85"	"179"	"25.87"	"40"	"5.78"	"15"	"2.17"	"30"	"4.34"	"692"	"57.43"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"252"	"110"	"1150"	"403"	"59.44"	"132"	"19.47"	"74"	"10.91"	"17"	"2.51"	"52"	"7.67"	"678"	"58.96"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"253"	";ksx"	"13358"	"3358"	"45.61"	"2552"	"34.66"	"832"	"11.3"	"250"	"3.4"	"371"	"5.04"	"7363"	"55.12"	""	""	""	""	""
"254"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"257"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"258"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"259"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"260"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"261"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"262"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"263"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"264"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"265"	"111"	"709"	"95"	"25.68"	"143"	"38.65"	"104"	"28.11"	"1"	"0.27"	"27"	"7.3"	"370"	"52.19"	"Hyper sensitive"	"CPMF+DAP"	"Half Sec."	""	""
"266"	"111d"	"740"	"147"	"48.04"	"83"	"27.12"	"59"	"19.28"	"7"	"2.29"	"10"	"3.27"	"306"	"41.35"	"Hyper sensitive"	"CPMF+DAP"	"Half Sec."	""	""
"267"	"112"	"1079"	"243"	"50.94"	"144"	"30.19"	"70"	"14.68"	"7"	"1.47"	"13"	"2.73"	"477"	"44.21"	"Hyper sensitive"	"CPMF+DAP"	"Half Sec."	""	""
"268"	"113"	"1074"	"369"	"70.15"	"82"	"15.59"	"57"	"10.84"	"5"	"0.95"	"13"	"2.47"	"526"	"48.98"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"269"	"114"	"1205"	"225"	"32.99"	"353"	"51.76"	"65"	"9.53"	"13"	"1.91"	"26"	"3.81"	"682"	"56.6"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"270"	"115"	"274"	"220"	"48.46"	"185"	"40.75"	"26"	"5.73"	"6"	"1.32"	"17"	"3.74"	"454"	"165.7"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"271"	"116"	"753"	"144"	"34.29"	"93"	"22.14"	"94"	"22.38"	"70"	"16.67"	"19"	"4.52"	"420"	"55.78"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"272"	"116d"	"759"	"165"	"46.48"	"114"	"32.11"	"50"	"14.08"	"11"	"3.1"	"15"	"4.23"	"355"	"46.77"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"273"	"117"	"1015"	"207"	"43.22"	"123"	"25.68"	"115"	"24.01"	"13"	"2.71"	"21"	"4.38"	"479"	"47.19"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"274"	"118"	"901"	"49"	"13.24"	"246"	"66.49"	"63"	"17.03"	"2"	"0.54"	"10"	"2.7"	"370"	"41.07"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"275"	"119"	"945"	"108"	"25.23"	"232"	"54.21"	"73"	"17.06"	"5"	"1.17"	"10"	"2.34"	"428"	"45.29"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"276"	"120"	"366"	"58"	"23.58"	"150"	"60.98"	"20"	"8.13"	"6"	"2.44"	"12"	"4.88"	"246"	"67.21"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"277"	"121"	"981"	"131"	"23.77"	"211"	"38.29"	"170"	"30.85"	"7"	"1.27"	"32"	"5.81"	"551"	"56.17"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"278"	"122"	"664"	"147"	"38.08"	"166"	"43.01"	"32"	"8.29"	"23"	"5.96"	"18"	"4.66"	"386"	"58.13"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"279"	";ksx"	"11465"	"2308"	"38.15"	"2325"	"38.43"	"998"	"16.5"	"176"	"2.91"	"243"	"4.02"	"6050"	"52.77"	""	""	""	""	""
"280"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"283"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"284"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"285"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"286"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"287"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"288"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"289"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"290"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"291"	"122d"	"793"	"110"	"26.13"	"232"	"55.11"	"55"	"13.06"	"6"	"1.43"	"18"	"4.28"	"421"	"53.09"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"292"	"123"	"1065"	"406"	"58.17"	"191"	"27.36"	"40"	"5.73"	"17"	"2.44"	"44"	"6.3"	"698"	"65.54"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"293"	"124"	"623"	"65"	"18.57"	"235"	"67.14"	"20"	"5.71"	"18"	"5.14"	"12"	"3.43"	"350"	"56.18"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"294"	"125"	"1322"	"271"	"37.48"	"326"	"45.09"	"100"	"13.83"	"14"	"1.94"	"12"	"1.66"	"723"	"54.69"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"295"	"126"	"1012"	"312"	"52"	"245"	"40.83"	"24"	"4"	"4"	"0.67"	"15"	"2.5"	"600"	"59.29"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"296"	"127"	"936"	"58"	"14.32"	"231"	"57.04"	"96"	"23.7"	"10"	"2.47"	"10"	"2.47"	"405"	"43.27"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"297"	"128"	"791"	"93"	"24.03"	"190"	"49.1"	"64"	"16.54"	"11"	"2.84"	"29"	"7.49"	"387"	"48.93"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
