"Annexure.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"232"	"127"	"313"	"26"	"34"	"6"	"14"	"14"	"6"	"185"	"598"	"0"	"598"	"0"
"233"	"128"	"339"	"27"	"46"	"6"	"7"	"5"	"7"	"39"	"476"	"0"	"476"	"0"
"234"	"129"	"450"	"10"	"11"	"5"	"5"	"8"	"8"	"10"	"507"	"0"	"507"	"0"
"235"	"130"	"408"	"23"	"17"	"6"	"9"	"16"	"5"	"45"	"529"	"0"	"529"	"0"
"236"	"131"	"148"	"12"	"8"	"3"	"3"	"4"	"4"	"50"	"232"	"0"	"232"	"0"
"237"	"Total..."	"4262"	"237"	"264"	"74"	"62"	"116"	"63"	"642"	"5720"	"0"	"5720"	"0"
"238"	"rand Tot"	"36759"	"2999"	"7719"	"1341"	"786"	"1509"	"1211"	"10736"	"63060"	"0"	"63060"	"0"
"239"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"245"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"246"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"247"	"131A"	"292"	"12"	"10"	"4"	"7"	"6"	"9"	"20"	"360"	"0"	"360"	"0"
"248"	"132"	"365"	"23"	"12"	"1"	"6"	"3"	"2"	"8"	"420"	"0"	"420"	"0"
"249"	"133"	"60"	"4"	"1"	"1"	"3"	"2"	"1"	"26"	"98"	"0"	"98"	"0"
"250"	"134"	"245"	"10"	"3"	"4"	"3"	"1"	"3"	"54"	"323"	"0"	"323"	"0"
"251"	"135"	"219"	"6"	"5"	"6"	"2"	"3"	"2"	"6"	"249"	"0"	"249"	"0"
"252"	"136"	"246"	"7"	"6"	"3"	"2"	"3"	"0"	"50"	"317"	"0"	"317"	"0"
"253"	"136A"	"288"	"11"	"11"	"1"	"6"	"23"	"4"	"124"	"468"	"0"	"468"	"0"
"254"	"137"	"132"	"5"	"6"	"1"	"1"	"31"	"4"	"140"	"320"	"0"	"320"	"0"
"255"	"138"	"362"	"28"	"6"	"13"	"2"	"4"	"2"	"7"	"424"	"0"	"424"	"0"
"256"	"139"	"310"	"20"	"12"	"7"	"5"	"5"	"4"	"91"	"454"	"0"	"454"	"0"
"257"	"140"	"346"	"24"	"14"	"2"	"3"	"2"	"3"	"50"	"444"	"0"	"444"	"0"
"258"	"141"	"295"	"23"	"9"	"7"	"0"	"3"	"6"	"35"	"378"	"0"	"378"	"0"
"259"	"142"	"132"	"3"	"3"	"9"	"8"	"8"	"7"	"179"	"349"	"0"	"349"	"0"
"260"	"143"	"410"	"15"	"20"	"13"	"7"	"4"	"5"	"22"	"496"	"0"	"496"	"0"
"261"	"Total..."	"3702"	"191"	"118"	"72"	"55"	"98"	"52"	"812"	"5100"	"0"	"5100"	"0"
"262"	"rand Tot"	"40461"	"3190"	"7837"	"1413"	"841"	"1607"	"1263"	"11548"	"68160"	"0"	"68160"	"0"
"263"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"269"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"270"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"271"	"144"	"356"	"18"	"16"	"8"	"1"	"6"	"7"	"43"	"455"	"0"	"455"	"0"
"272"	"145"	"644"	"33"	"16"	"6"	"7"	"2"	"7"	"20"	"735"	"0"	"735"	"0"
"273"	"146"	"389"	"31"	"5"	"6"	"4"	"15"	"13"	"45"	"508"	"0"	"508"	"0"
"274"	"147"	"451"	"16"	"20"	"7"	"5"	"11"	"4"	"24"	"538"	"0"	"538"	"0"
"275"	"148"	"328"	"23"	"15"	"13"	"1"	"8"	"4"	"78"	"470"	"0"	"470"	"0"
"276"	"149"	"398"	"23"	"4"	"7"	"3"	"4"	"4"	"70"	"513"	"0"	"513"	"0"
"277"	"150"	"342"	"40"	"21"	"10"	"8"	"93"	"11"	"73"	"598"	"0"	"598"	"0"
"278"	"151"	"169"	"8"	"9"	"2"	"2"	"3"	"3"	"136"	"332"	"0"	"332"	"0"
"279"	"152"	"441"	"22"	"9"	"95"	"7"	"11"	"8"	"20"	"613"	"0"	"613"	"0"
"280"	"153"	"272"	"12"	"9"	"25"	"4"	"3"	"7"	"43"	"375"	"0"	"375"	"0"
"281"	"154"	"248"	"19"	"6"	"15"	"1"	"1"	"0"	"12"	"302"	"0"	"302"	"0"
"282"	"154A"	"297"	"21"	"3"	"5"	"3"	"7"	"2"	"5"	"343"	"0"	"343"	"0"
"283"	"155"	"274"	"17"	"11"	"12"	"5"	"5"	"6"	"63"	"393"	"0"	"393"	"0"
"284"	"156"	"264"	"9"	"51"	"21"	"7"	"7"	"1"	"9"	"369"	"0"	"369"	"0"
"285"	"Total..."	"4873"	"292"	"195"	"232"	"58"	"176"	"77"	"641"	"6544"	"0"	"6544"	"0"
"286"	"rand Tot"	"45334"	"3482"	"8032"	"1645"	"899"	"1783"	"1340"	"12189"	"74704"	"0"	"74704"	"0"
"287"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"293"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"294"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"295"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"301"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"302"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"303"	"157"	"409"	"34"	"24"	"13"	"9"	"27"	"6"	"139"	"661"	"0"	"661"	"0"
"304"	"158"	"384"	"27"	"13"	"8"	"4"	"9"	"10"	"70"	"525"	"0"	"525"	"0"
"305"	"159"	"275"	"24"	"16"	"6"	"2"	"3"	"1"	"11"	"338"	"0"	"338"	"0"
"306"	"159A"	"192"	"18"	"10"	"6"	"5"	"5"	"7"	"22"	"265"	"0"	"265"	"0"
"307"	"160"	"147"	"6"	"7"	"3"	"0"	"1"	"2"	"90"	"256"	"0"	"256"	"0"
"308"	"161"	"329"	"19"	"7"	"7"	"2"	"5"	"2"	"31"	"402"	"0"	"402"	"0"
"309"	"162"	"323"	"22"	"5"	"4"	"4"	"5"	"1"	"44"	"408"	"0"	"408"	"0"
"310"	"163"	"238"	"11"	"9"	"9"	"1"	"1"	"1"	"33"	"303"	"0"	"303"	"0"
"311"	"164"	"297"	"13"	"15"	"15"	"1"	"7"	"6"	"25"	"379"	"0"	"379"	"0"
"312"	"164A"	"68"	"7"	"2"	"5"	"1"	"1"	"4"	"25"	"113"	"0"	"113"	"0"
"313"	"165"	"453"	"18"	"41"	"3"	"2"	"3"	"6"	"20"	"546"	"0"	"546"	"0"
"314"	"166"	"185"	"7"	"13"	"14"	"0"	"2"	"3"	"16"	"240"	"0"	"240"	"0"
"315"	"167"	"349"	"19"	"15"	"8"	"2"	"2"	"5"	"91"	"491"	"0"	"491"	"0"
"316"	"168"	"155"	"7"	"3"	"0"	"0"	"2"	"3"	"147"	"317"	"0"	"317"	"0"
"317"	"Total..."	"3804"	"232"	"180"	"101"	"33"	"73"	"57"	"764"	"5244"	"0"	"5244"	"0"
"318"	"rand Tot"	"49138"	"3714"	"8212"	"1746"	"932"	"1856"	"1397"	"12953"	"79948"	"0"	"79948"	"0"
"319"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"325"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"326"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"327"	"169"	"397"	"20"	"12"	"7"	"7"	"2"	"6"	"22"	"473"	"0"	"473"	"0"
"328"	"170"	"444"	"11"	"20"	"9"	"4"	"6"	"5"	"37"	"536"	"0"	"536"	"0"
"329"	"171"	"206"	"14"	"5"	"4"	"1"	"4"	"0"	"19"	"253"	"0"	"253"	"0"
"330"	"172"	"233"	"16"	"10"	"10"	"5"	"7"	"6"	"51"	"338"	"0"	"338"	"0"
"331"	"172A"	"194"	"11"	"5"	"5"	"3"	"2"	"2"	"33"	"255"	"0"	"255"	"0"
"332"	"173"	"351"	"11"	"5"	"4"	"2"	"1"	"4"	"53"	"431"	"0"	"431"	"0"
"333"	"174"	"213"	"13"	"0"	"4"	"3"	"3"	"3"	"31"	"270"	"0"	"270"	"0"
"334"	"175"	"220"	"15"	"1"	"6"	"1"	"1"	"1"	"39"	"284"	"0"	"284"	"0"
"335"	"176"	"205"	"8"	"4"	"4"	"1"	"2"	"2"	"4"	"230"	"0"	"230"	"0"
"336"	"177"	"277"	"15"	"8"	"3"	"2"	"2"	"1"	"7"	"315"	"0"	"315"	"0"
"337"	"178"	"313"	"16"	"8"	"8"	"1"	"1"	"1"	"3"	"351"	"0"	"351"	"0"
"338"	"179"	"276"	"8"	"38"	"3"	"1"	"2"	"2"	"40"	"370"	"0"	"370"	"0"
"339"	"180"	"307"	"13"	"58"	"7"	"5"	"7"	"3"	"19"	"419"	"0"	"419"	"0"
"340"	"181"	"219"	"16"	"41"	"12"	"1"	"4"	"4"	"7"	"304"	"0"	"304"	"0"
"341"	"Total..."	"3855"	"187"	"215"	"86"	"37"	"44"	"40"	"365"	"4829"	"0"	"4829"	"0"
"342"	"rand Tot"	"52993"	"3901"	"8427"	"1832"	"969"	"1900"	"1437"	"13318"	"84777"	"0"	"84777"	"0"
"343"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"349"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"350"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"351"	"182"	"429"	"15"	"18"	"18"	"2"	"3"	"5"	"40"	"530"	""	"530"	""
"352"	"183"	"232"	"10"	"20"	"13"	"1"	"2"	"3"	"9"	"290"	""	"290"	""
"353"	"183A"	"92"	"6"	"5"	"0"	"0"	"1"	"1"	"5"	"110"	""	"110"	""
"354"	"184"	"359"	"21"	"12"	"3"	"5"	"11"	"4"	"86"	"501"	""	"501"	""
"355"	"185"	"265"	"10"	"12"	"1"	"5"	"3"	"2"	"44"	"342"	""	"342"	""
"356"	"186"	"198"	"11"	"3"	"6"	"4"	"15"	"1"	"236"	"474"	""	"474"	""
"357"	"187"	"145"	"13"	"9"	"6"	"3"	"9"	"11"	"323"	"519"	""	"519"	""
"358"	"188"	"303"	"11"	"5"	"10"	"3"	"2"	"5"	"24"	"363"	""	"363"	""
"359"	"188A"	"209"	"11"	"1"	"4"	"2"	"2"	"1"	"15"	"245"	""	"245"	""
"360"	"189"	"400"	"21"	"13"	"6"	"5"	"15"	"7"	"175"	"642"	""	"642"	""
"361"	"190"	"373"	"20"	"9"	"12"	"6"	"4"	"3"	"18"	"445"	""	"445"	""
"362"	"191"	"199"	"15"	"3"	"1"	"1"	"3"	"1"	"8"	"231"	""	"231"	""
"363"	"192"	"199"	"9"	"10"	"7"	"1"	"5"	"2"	"194"	"427"	""	"427"	""
"364"	"193"	"236"	"3"	"14"	"8"	"11"	"6"	"3"	"264"	"545"	""	"545"	""
"365"	"Total..."	"3639"	"176"	"134"	"95"	"49"	"81"	"49"	"1441"	"5664"	"0"	"5664"	"0"
"366"	"rand Tot"	"56632"	"4077"	"8561"	"1927"	"1018"	"1981"	"1486"	"14759"	"90441"	"0"	"90441"	"0"
"367"	"Annexure XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"ELECTION TO STATE LEGISLATIVE ASSEMBLY FROM THE 133-BAHADURGANJ Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"Total No. of Electors in Assembly Constituency -"	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"373"	""	"Md. Tousif Alam"	"Shamim Alam"	"Shahab Alam"	"Saidu Rahman"	"Hari Mohan Singh"	"Pradhan Hembram"	"Md Mansoor Alam"	"Sikandar Singh"	""	""	""	""
"374"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"375"	"194"	"91"	"3"	"10"	"5"	"3"	"7"	"11"	"301"	"431"	""	"431"	""
"376"	"195"	"187"	"9"	"12"	"5"	"5"	"14"	"16"	"392"	"640"	""	"640"	""
"377"	"196"	"476"	"24"	"21"	"9"	"6"	"2"	"2"	"27"	"567"	""	"567"	""
"378"	"197"	"344"	"21"	"8"	"4"	"0"	"8"	"6"	"88"	"479"	""	"479"	""
"379"	"198"	"409"	"33"	"17"	"7"	"3"	"7"	"5"	"84"	"565"	""	"565"	""
"380"	"199"	"319"	"23"	"23"	"7"	"1"	"5"	"2"	"36"	"416"	""	"416"	""
"381"	"200"	"283"	"20"	"44"	"7"	"25"	"18"	"5"	"62"	"464"	""	"464"	""
"382"	"201"	"197"	"13"	"16"	"20"	"139"	"7"	"9"	"168"	"569"	""	"569"	""
"383"	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"Total..."	"2306"	"146"	"151"	"64"	"182"	"68"	"56"	"1158"	"4131"	"0"	"4131"	"0"
"390"	"rand Tot"	"58938"	"4223"	"8712"	"1991"	"1200"	"2049"	"1542"	"15917"	"94572"	"0"	"94572"	"0"
