"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUEN"	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""
"7"	"ssembly Constituency/Segment                                                        197981"	""	""	""	""	""	""	""	""	""
"8"	"Assembly/Segment                                                                        206-Sahar"	""	""	""	""	""	""	""	""	""
"9"	"Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"205"	""	""	"INC"	"CPI(ML)(L)"	"BJP"	"IND"	""	""	""	""
"206"	"1"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"207"	"176"	"PRIMARY SCHOOL MATHURAPUR"	"43"	"378"	"7"	"5"	"433"	"0"	"433"	"0"
"208"	"177"	"SAHAR DAKBANGLA"	"90"	"395"	"40"	"22"	"547"	"0"	"547"	"0"
"209"	"178"	"MIDDLE SCHOOL SAHAR(E)"	"56"	"277"	"82"	"14"	"429"	"0"	"429"	"0"
"210"	"178A"	"MIDDLE SCHOOL SAHAR(W)"	"58"	"125"	"76"	"5"	"264"	"0"	"264"	"0"
"211"	"179"	"URDU PRIMARY SCHOOL SAHAR(EASTERN PART)"	"66"	"179"	"69"	"19"	"333"	"0"	"333"	"0"
"212"	"180"	"URDU PRIMARY SCHOOL SAHAR WESTERN PART"	"72"	"195"	"70"	"19"	"356"	"0"	"356"	"0"
"213"	"181"	"KANYA PRIMARY SCHOOL KORANDIHARI"	"46"	"129"	"79"	"10"	"264"	"0"	"264"	"0"
"214"	"182"	"KANYA PRIMARY SCHOOL KORANDIHARI(NEW BHAWAN)"	"50"	"223"	"106"	"7"	"386"	"0"	"386"	"0"
"215"	"183"	"PRIMARY SCHOOL PEUAR"	"13"	"113"	"35"	"19"	"180"	"0"	"180"	"0"
"216"	"184"	"URDU MAKHTAB PEUAR"	"30"	"121"	"26"	"8"	"185"	"0"	"185"	"0"
"217"	"185"	"PRIMARY SCHOOL BANSHIDIHARI"	"117"	"230"	"110"	"22"	"479"	"0"	"479"	"0"
"218"	"186"	"KANYA PRIMARY SCHOOL PATRIHAON"	"67"	"265"	"110"	"25"	"467"	"0"	"467"	"0"
"219"	"187"	"PRIMARY SCHOOL NAWADA(NORTHERN PART)"	"25"	"133"	"27"	"2"	"187"	"0"	"187"	"0"
"220"	"188"	"ADARSH MIDDLE SCHOOL NAWADA(SOUTHERN PART)"	"91"	"264"	"22"	"13"	"390"	"0"	"390"	"0"
"221"	"189"	"MIDDLE SCHOOL BARUHI(EASTERN PART)"	"202"	"161"	"80"	"36"	"479"	"0"	"479"	"0"
"222"	"190"	"MIDDLE SCHOOL BARUHI(WESTERN PART)"	"96"	"147"	"75"	"6"	"324"	"0"	"324"	"0"
"223"	"191"	"PRIMARY SCHOOL KUSHWAHATOLA(NORTHERN PART)"	"46"	"386"	"156"	"19"	"607"	"0"	"607"	"0"
"224"	"192"	"PRIMARY SCHOOL BAJREYAN"	"207"	"166"	"97"	"6"	"476"	"0"	"476"	"0"
"225"	"193"	"PRIMARY SCHOOL BISHUNPURA"	"59"	"97"	"19"	"4"	"179"	"0"	"179"	"0"
"226"	"194"	"MIDDLE SCHOOL NARHI(EASTERN PART)"	"86"	"248"	"44"	"40"	"418"	"0"	"418"	"0"
"227"	"195"	"MIDDLE SCHOOL NARHI(WESTERN PART)"	"215"	"246"	"58"	"34"	"553"	"0"	"553"	"0"
"228"	"196"	"PRIMARY SCHOOL MUJFFARPUR"	"89"	"371"	"38"	"12"	"510"	"0"	"510"	"0"
"229"	"197"	"PRIMARY SCHOOL NANOUR"	"160"	"266"	"98"	"27"	"551"	"0"	"551"	"0"
"230"	"198"	"PRIMARY SCHOOL NANOUR GANJPAR"	"65"	"325"	"32"	"7"	"429"	"0"	"429"	"0"
"231"	"199"	"PRIMARY SCHOOL KARWASIN"	"197"	"252"	"39"	"13"	"501"	"0"	"501"	"0"
"232"	"200"	"PRIMARY SCHOOL TARACHAK"	"175"	"198"	"11"	"6"	"390"	"0"	"390"	"0"
"233"	"201"	"PRIMARY SCHOOL BARHAMPUR(NORTHERN PART)"	"57"	"212"	"194"	"10"	"473"	"0"	"473"	"0"
"234"	"202"	"PRIMARY SCHOOL BARAHMPUR(SOUTHERN PART)"	"53"	"169"	"111"	"30"	"363"	"0"	"363"	"0"
"235"	"203"	"PRIMARY SCHOOL LATIYAR GANJ"	"16"	"165"	"52"	"18"	"251"	"0"	"251"	"0"
"236"	"204"	"PRIMARY SCHOOL GODIHAN"	"61"	"143"	"67"	"4"	"275"	"0"	"275"	"0"
"237"	"205"	"PRIMARY SCHOOL BANULI(NORTHERN PART)"	"23"	"124"	"148"	"12"	"307"	"0"	"307"	"0"
"238"	"206"	"PRIMARY SCHOOL BANULI(SOUTHERN APRT)"	"130"	"181"	"16"	"9"	"336"	"0"	"336"	"0"
"239"	"Serial No. of Polling Station"	""	"JOITI"	"RAM NARESH
RAM"	"SHIWESH KUMAR"	"BINOD KUMAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"240"	""	""	"INC"	"CPI(ML)(L)"	"BJP"	"IND"	""	""	""	""
"241"	"1"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"242"	"207"	"PARIMARY SCHOOL CHASI"	"208"	"65"	"45"	"8"	"326"	"0"	"326"	"0"
"243"	"208"	"PANCHAYAT BHAWAN CHASI"	"116"	"184"	"132"	"19"	"451"	"0"	"451"	"0"
"244"	"209"	"MIDDLE SCHOOL CHAPRAPUR"	"123"	"178"	"203"	"22"	"526"	"0"	"526"	"0"
"245"	"210"	"PRIMARY SCHOOL BHALUNI"	"155"	"60"	"136"	"8"	"359"	"0"	"359"	"0"
"246"	"211"	"PRIMARY SCHOOL SEWTHRA"	"121"	"332"	"25"	"8"	"486"	"0"	"486"	"0"
"247"	"212"	"SARVJANIK LIBRARY SEWATHA"	"47"	"371"	"74"	"11"	"503"	"0"	"503"	"0"
"248"	"213"	"HIGH SCHOOL BAGHI"	"65"	"131"	"80"	"28"	"304"	"0"	"304"	"0"
"249"	"214"	"PRIMARY SCHOOL LASARHI(N)"	"154"	"137"	"8"	"4"	"303"	"0"	"303"	"0"
"250"	"214A"	"PRIMARY SCHOOL LASARHI(S)"	"66"	"35"	"18"	"4"	"123"	"0"	"123"	"0"
"251"	"215"	"PRIMARY SCHOOL BISHAMBHARA"	"42"	"16"	"4"	"2"	"64"	"0"	"64"	"0"
"252"	"216"	"MIDDLE SCHOOL NARAYANPUR(EASTERN PART)"	"90"	"44"	"107"	"7"	"248"	"0"	"248"	"0"
"253"	"217"	"MIDDLE SCHOOL NARAYANPUR(WESTERN PART)"	"91"	"173"	"206"	"7"	"477"	"0"	"477"	"0"
"254"	"218"	"UTPADAN BIKRI KENDRA NARAYANPUR"	"123"	"212"	"174"	"27"	"536"	"0"	"536"	"0"
"255"	"Total No. of Votes recorded at Polling Stations"	""	"21716"	"40866"	"20302"	"2766"	"85650"	"0"	"85650"	"0"
"256"	"No of votes recorded on postal ballot papers"	""	"1"	"2"	"1"	"0"	"4"	"0"	"4"	"0"
"257"	""	"Total votes polled"	"21717"	"40868"	"20303"	"2766"	"85654"	"0"	"85654"	"0"
"258"	"Place :                                                                                                 Assistant Returning Officer"	""	""	""	""	""	""	""	""	""
"259"	"Date : 22/11/2005"	""	""	""	""	""	""	""	""	""
"260"	"CY"	""	""	""	""	""	""	""	""	""
