"X..FORM.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"
"138"	"78A"	""	"310"	""	"1"	""	"31"	""	"13"	""	"1"	""	"0"	""	"2"	""	"1"	""	""	""	"359"	""	""	""	""	"359"	""	""	""	""	""	""	""
"139"	"79"	""	"403"	""	"2"	""	"26"	""	"6"	""	"2"	""	"0"	""	"1"	""	"0"	""	""	""	"440"	""	""	""	""	"440"	""	""	""	""	""	""	""
"140"	"80"	""	"205"	""	"1"	""	"47"	""	"74"	""	"5"	""	"8"	""	"18"	""	"5"	""	""	""	"363"	""	""	""	""	"363"	""	""	""	""	""	""	""
"141"	"80A"	""	"190"	""	"1"	""	"23"	""	"4"	""	"0"	""	"2"	""	"2"	""	"6"	""	""	""	"228"	""	""	""	""	"228"	""	""	""	""	""	""	""
"142"	"81"	""	"228"	""	"8"	""	"61"	""	"41"	""	"9"	""	"3"	""	"1"	""	"7"	""	""	""	"358"	""	""	""	""	"358"	""	""	""	""	""	""	""
"143"	"81A"	""	"184"	""	"1"	""	"17"	""	"7"	""	"1"	""	"1"	""	"0"	""	"0"	""	""	""	"211"	""	""	""	""	"211"	""	""	""	""	""	""	""
"144"	"Total"	""	"3623"	""	"46"	""	"632"	""	"287"	""	"35"	""	"31"	""	"46"	""	"44"	""	""	""	"4744"	""	""	""	""	"4744"	""	""	"0"	""	""	""	""
"145"	"Till Last Round"	""	"-11495"	""	"-577"	""	"-14173"	""	"-3238"	""	"-374"	""	"-387"	""	"-318"	""	"-616"	""	""	""	"-31178"	""	"0"	""	""	"-31178"	""	""	"0"	""	""	""	""
"146"	"Grand Total"	""	"15118"	""	"623"	""	"14805"	""	"3525"	""	"409"	""	"418"	""	"364"	""	"660"	""	""	""	"35922"	""	"0"	""	""	"35922"	""	""	"0"	""	""	""	""
"147"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"149"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"82"	""	"201"	""	"6"	""	"167"	""	"26"	""	"2"	""	"3"	""	"6"	""	"10"	""	""	""	"421"	""	""	""	""	"421"	""	""	""	""	""	""	""
"151"	"82A"	""	"39"	""	"1"	""	"103"	""	"14"	""	"1"	""	"3"	""	"1"	""	"5"	""	""	""	"167"	""	""	""	""	"167"	""	""	""	""	""	""	""
"152"	"83"	""	"126"	""	"3"	""	"377"	""	"40"	""	"4"	""	"7"	""	"3"	""	"2"	""	""	""	"562"	""	""	""	""	"562"	""	""	""	""	""	""	""
"153"	"84"	""	"132"	""	"8"	""	"174"	""	"29"	""	"2"	""	"2"	""	"2"	""	"7"	""	""	""	"356"	""	""	""	""	"356"	""	""	""	""	""	""	""
"154"	"85"	""	"113"	""	"6"	""	"208"	""	"4"	""	"5"	""	"5"	""	"4"	""	"10"	""	""	""	"355"	""	""	""	""	"355"	""	""	""	""	""	""	""
"155"	"86"	""	"513"	""	"4"	""	"27"	""	"6"	""	"1"	""	"0"	""	"3"	""	"3"	""	""	""	"557"	""	""	""	""	"557"	""	""	""	""	""	""	""
"156"	"87"	""	"164"	""	"1"	""	"86"	""	"11"	""	"1"	""	"1"	""	"5"	""	"9"	""	""	""	"278"	""	""	""	""	"278"	""	""	""	""	""	""	""
"157"	"88"	""	"226"	""	"6"	""	"119"	""	"20"	""	"1"	""	"4"	""	"5"	""	"9"	""	""	""	"390"	""	""	""	""	"390"	""	""	""	""	""	""	""
"158"	"89"	""	"238"	""	"9"	""	"147"	""	"40"	""	"8"	""	"10"	""	"6"	""	"7"	""	""	""	"465"	""	""	""	""	"465"	""	""	""	""	""	""	""
"159"	"90"	""	"317"	""	"3"	""	"51"	""	"9"	""	"6"	""	"3"	""	"2"	""	"6"	""	""	""	"397"	""	""	""	""	"397"	""	""	""	""	""	""	""
"160"	"90A"	""	"214"	""	"0"	""	"14"	""	"13"	""	"1"	""	"2"	""	"0"	""	"0"	""	""	""	"244"	""	""	""	""	"244"	""	""	""	""	""	""	""
"161"	"91"	""	"279"	""	"15"	""	"96"	""	"18"	""	"2"	""	"8"	""	"3"	""	"11"	""	""	""	"432"	""	""	""	""	"432"	""	""	""	""	""	""	""
"162"	"91A"	""	"103"	""	"0"	""	"61"	""	"5"	""	"1"	""	"1"	""	"1"	""	"3"	""	""	""	"175"	""	""	""	""	"175"	""	""	""	""	""	""	""
"163"	"92"	""	"240"	""	"7"	""	"155"	""	"22"	""	"1"	""	"0"	""	"4"	""	"1"	""	""	""	"430"	""	""	""	""	"430"	""	""	""	""	""	""	""
"164"	"Total"	""	"2905"	""	"69"	""	"1785"	""	"257"	""	"36"	""	"49"	""	"45"	""	"83"	""	""	""	"5229"	""	""	""	""	"5229"	""	""	"0"	""	""	""	""
"165"	"Till Last Round"	""	"-15118"	""	"-623"	""	"-14805"	""	"-3525"	""	"-409"	""	"-418"	""	"-364"	""	"-660"	""	""	""	"-35922"	""	"0"	""	""	"-35922"	""	""	"0"	""	""	""	""
"166"	"Grand Total"	""	"18023"	""	"692"	""	"16590"	""	"3782"	""	"445"	""	"467"	""	"409"	""	"743"	""	""	""	"41151"	""	"0"	""	""	"41151"	""	""	"0"	""	""	""	""
"167"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"169"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"92A"	""	"228"	""	"2"	""	"108"	""	"16"	""	"1"	""	"4"	""	"4"	""	"5"	""	""	""	"368"	""	""	""	""	"368"	""	""	""	""	""	""	""
"171"	"93"	""	"164"	""	"6"	""	"204"	""	"7"	""	"2"	""	"0"	""	"4"	""	"4"	""	""	""	"391"	""	""	""	""	"391"	""	""	""	""	""	""	""
"172"	"94"	""	"20"	""	"1"	""	"180"	""	"21"	""	"0"	""	"2"	""	"0"	""	"1"	""	""	""	"225"	""	""	""	""	"225"	""	""	""	""	""	""	""
"173"	"94A"	""	"18"	""	"0"	""	"94"	""	"8"	""	"0"	""	"3"	""	"0"	""	"2"	""	""	""	"125"	""	""	""	""	"125"	""	""	""	""	""	""	""
"174"	"95"	""	"197"	""	"12"	""	"19"	""	"3"	""	"1"	""	"1"	""	"4"	""	"6"	""	""	""	"243"	""	""	""	""	"243"	""	""	""	""	""	""	""
"175"	"96"	""	"159"	""	"5"	""	"104"	""	"183"	""	"4"	""	"6"	""	"6"	""	"7"	""	""	""	"474"	""	""	""	""	"474"	""	""	""	""	""	""	""
"176"	"96A"	""	"119"	""	"4"	""	"50"	""	"46"	""	"1"	""	"4"	""	"2"	""	"7"	""	""	""	"233"	""	""	""	""	"233"	""	""	""	""	""	""	""
"177"	"97"	""	"245"	""	"3"	""	"169"	""	"103"	""	"6"	""	"5"	""	"6"	""	"4"	""	""	""	"541"	""	""	""	""	"541"	""	""	""	""	""	""	""
"178"	"98"	""	"202"	""	"4"	""	"93"	""	"19"	""	"2"	""	"3"	""	"1"	""	"7"	""	""	""	"331"	""	""	""	""	"331"	""	""	""	""	""	""	""
"179"	"99"	""	"49"	""	"2"	""	"180"	""	"16"	""	"0"	""	"2"	""	"1"	""	"1"	""	""	""	"251"	""	""	""	""	"251"	""	""	""	""	""	""	""
"180"	"100"	""	"319"	""	"4"	""	"89"	""	"17"	""	"4"	""	"6"	""	"10"	""	"9"	""	""	""	"458"	""	""	""	""	"458"	""	""	""	""	""	""	""
"181"	"101"	""	"392"	""	"8"	""	"99"	""	"23"	""	"4"	""	"3"	""	"7"	""	"9"	""	""	""	"545"	""	""	""	""	"545"	""	""	""	""	""	""	""
"182"	"102"	""	"323"	""	"1"	""	"103"	""	"37"	""	"4"	""	"3"	""	"4"	""	"7"	""	""	""	"482"	""	""	""	""	"482"	""	""	""	""	""	""	""
"183"	"103"	""	"402"	""	"4"	""	"114"	""	"28"	""	"0"	""	"3"	""	"4"	""	"7"	""	""	""	"562"	""	""	""	""	"562"	""	""	""	""	""	""	""
"184"	"Total"	""	"2837"	""	"56"	""	"1606"	""	"527"	""	"29"	""	"45"	""	"53"	""	"76"	""	""	""	"5229"	""	""	""	""	"5229"	""	""	"0"	""	""	""	""
"185"	"Till Last Round"	""	"-18023"	""	"-692"	""	"-16590"	""	"-3782"	""	"-445"	""	"-467"	""	"-409"	""	"-743"	""	""	""	"-41151"	""	"0"	""	""	"-41151"	""	""	"0"	""	""	""	""
"186"	"Grand Total"	""	"20860"	""	"748"	""	"18196"	""	"4309"	""	"474"	""	"512"	""	"462"	""	"819"	""	""	""	"46380"	""	"0"	""	""	"46380"	""	""	"0"	""	""	""	""
"187"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"189"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"104"	""	"324"	""	"7"	""	"92"	""	"38"	""	"4"	""	"1"	""	"2"	""	"5"	""	""	""	"473"	""	""	""	""	"473"	""	""	""	""	""	""	""
"191"	"105"	""	"236"	""	"8"	""	"37"	""	"68"	""	"5"	""	"13"	""	"0"	""	"6"	""	""	""	"373"	""	""	""	""	"373"	""	""	""	""	""	""	""
"192"	"105A"	""	"85"	""	"2"	""	"47"	""	"50"	""	"0"	""	"3"	""	"4"	""	"1"	""	""	""	"192"	""	""	""	""	"192"	""	""	""	""	""	""	""
"193"	"106"	""	"321"	""	"5"	""	"58"	""	"23"	""	"0"	""	"2"	""	"8"	""	"8"	""	""	""	"425"	""	""	""	""	"425"	""	""	""	""	""	""	""
"194"	"107"	""	"299"	""	"4"	""	"41"	""	"14"	""	"1"	""	"2"	""	"5"	""	"2"	""	""	""	"368"	""	""	""	""	"368"	""	""	""	""	""	""	""
"195"	"108"	""	"255"	""	"4"	""	"116"	""	"26"	""	"3"	""	"6"	""	"1"	""	"7"	""	""	""	"418"	""	""	""	""	"418"	""	""	""	""	""	""	""
"196"	"108A"	""	"46"	""	"2"	""	"137"	""	"17"	""	"0"	""	"1"	""	"1"	""	"4"	""	""	""	"208"	""	""	""	""	"208"	""	""	""	""	""	""	""
"197"	"109"	""	"283"	""	"3"	""	"95"	""	"19"	""	"1"	""	"2"	""	"3"	""	"2"	""	""	""	"408"	""	""	""	""	"408"	""	""	""	""	""	""	""
"198"	"109A"	""	"86"	""	"2"	""	"121"	""	"24"	""	"5"	""	"4"	""	"1"	""	"5"	""	""	""	"248"	""	""	""	""	"248"	""	""	""	""	""	""	""
"199"	"110"	""	"200"	""	"12"	""	"199"	""	"55"	""	"2"	""	"5"	""	"9"	""	"3"	""	""	""	"485"	""	""	""	""	"485"	""	""	""	""	""	""	""
"200"	"111"	""	"411"	""	"13"	""	"95"	""	"58"	""	"3"	""	"3"	""	"4"	""	"5"	""	""	""	"592"	""	""	""	""	"592"	""	""	""	""	""	""	""
"201"	"112"	""	"283"	""	"8"	""	"67"	""	"44"	""	"4"	""	"0"	""	"2"	""	"4"	""	""	""	"412"	""	""	""	""	"412"	""	""	""	""	""	""	""
"202"	"112A"	""	"117"	""	"6"	""	"52"	""	"39"	""	"2"	""	"1"	""	"0"	""	"1"	""	""	""	"218"	""	""	""	""	"218"	""	""	""	""	""	""	""
"203"	"113"	""	"157"	""	"4"	""	"239"	""	"28"	""	"3"	""	"2"	""	"1"	""	"4"	""	""	""	"438"	""	""	""	""	"438"	""	""	""	""	""	""	""
"204"	"Total"	""	"3103"	""	"80"	""	"1396"	""	"503"	""	"33"	""	"45"	""	"41"	""	"57"	""	""	""	"5258"	""	""	""	""	"5258"	""	""	"0"	""	""	""	""
"205"	"Till Last Round"	""	"-20860"	""	"-748"	""	"-18196"	""	"-4309"	""	"-474"	""	"-512"	""	"-462"	""	"-819"	""	""	""	"-46380"	""	"0"	""	""	"-46380"	""	""	"0"	""	""	""	""
"206"	"Grand Total"	""	"23963"	""	"828"	""	"19592"	""	"4812"	""	"507"	""	"557"	""	"503"	""	"876"	""	""	""	"51638"	""	"0"	""	""	"51638"	""	""	"0"	""	""	""	""
"207"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"209"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"114"	""	"130"	""	"5"	""	"63"	""	"18"	""	"1"	""	"1"	""	"2"	""	"3"	""	""	""	"223"	""	""	""	""	"223"	""	""	""	""	""	""	""
"211"	"115"	""	"287"	""	"3"	""	"64"	""	"6"	""	"2"	""	"1"	""	"1"	""	"4"	""	""	""	"368"	""	""	""	""	"368"	""	""	""	""	""	""	""
"212"	"115A"	""	"185"	""	"0"	""	"39"	""	"14"	""	"0"	""	"1"	""	"1"	""	"0"	""	""	""	"240"	""	""	""	""	"240"	""	""	""	""	""	""	""
"213"	"116"	""	"228"	""	"2"	""	"162"	""	"97"	""	"4"	""	"2"	""	"0"	""	"8"	""	""	""	"503"	""	""	""	""	"503"	""	""	""	""	""	""	""
"214"	"117"	""	"475"	""	"3"	""	"32"	""	"11"	""	"4"	""	"2"	""	"1"	""	"3"	""	""	""	"531"	""	""	""	""	"531"	""	""	""	""	""	""	""
"215"	"118"	""	"235"	""	"1"	""	"23"	""	"6"	""	"0"	""	"1"	""	"0"	""	"1"	""	""	""	"267"	""	""	""	""	"267"	""	""	""	""	""	""	""
"216"	"119"	""	"329"	""	"4"	""	"220"	""	"48"	""	"0"	""	"1"	""	"4"	""	"4"	""	""	""	"610"	""	""	""	""	"610"	""	""	""	""	""	""	""
"217"	"120"	""	"254"	""	"5"	""	"129"	""	"28"	""	"4"	""	"1"	""	"2"	""	"7"	""	""	""	"430"	""	""	""	""	"430"	""	""	""	""	""	""	""
"218"	"121"	""	"107"	""	"3"	""	"132"	""	"26"	""	"0"	""	"2"	""	"1"	""	"4"	""	""	""	"275"	""	""	""	""	"275"	""	""	""	""	""	""	""
"219"	"121A"	""	"179"	""	"1"	""	"40"	""	"11"	""	"2"	""	"2"	""	"1"	""	"3"	""	""	""	"239"	""	""	""	""	"239"	""	""	""	""	""	""	""
"220"	"122"	""	"412"	""	"1"	""	"33"	""	"8"	""	"0"	""	"1"	""	"2"	""	"4"	""	""	""	"461"	""	""	""	""	"461"	""	""	""	""	""	""	""
"221"	"122A"	""	"186"	""	"1"	""	"10"	""	"1"	""	"0"	""	"0"	""	"2"	""	"2"	""	""	""	"202"	""	""	""	""	"202"	""	""	""	""	""	""	""
"222"	"123"	""	"201"	""	"1"	""	"39"	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	""	""	""	"244"	""	""	""	""	"244"	""	""	""	""	""	""	""
"223"	"124"	""	"484"	""	"3"	""	"26"	""	"23"	""	"4"	""	"5"	""	"1"	""	"6"	""	""	""	"552"	""	""	""	""	"552"	""	""	""	""	""	""	""
"224"	"Total"	""	"3692"	""	"33"	""	"1012"	""	"297"	""	"21"	""	"21"	""	"19"	""	"50"	""	""	""	"5145"	""	""	""	""	"5145"	""	""	"0"	""	""	""	""
"225"	"Till Last Round"	""	"-23963"	""	"-828"	""	"-19592"	""	"-4812"	""	"-507"	""	"-557"	""	"-503"	""	"-876"	""	""	""	"-51638"	""	"0"	""	""	"-51638"	""	""	"0"	""	""	""	""
"226"	"Grand Total"	""	"27655"	""	"861"	""	"20604"	""	"5109"	""	"528"	""	"578"	""	"522"	""	"926"	""	""	""	"56783"	""	"0"	""	""	"56783"	""	""	"0"	""	""	""	""
"227"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"229"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"125"	""	"315"	""	"1"	""	"33"	""	"14"	""	"4"	""	"4"	""	"3"	""	"2"	""	""	""	"376"	""	""	""	""	"376"	""	""	""	""	""	""	""
"231"	"125A"	""	"207"	""	"3"	""	"50"	""	"10"	""	"2"	""	"1"	""	"2"	""	"2"	""	""	""	"277"	""	""	""	""	"277"	""	""	""	""	""	""	""
"232"	"126"	""	"343"	""	"9"	""	"72"	""	"41"	""	"1"	""	"9"	""	"3"	""	"13"	""	""	""	"491"	""	""	""	""	"491"	""	""	""	""	""	""	""
"233"	"127"	""	"323"	""	"3"	""	"55"	""	"9"	""	"2"	""	"1"	""	"2"	""	"6"	""	""	""	"401"	""	""	""	""	"401"	""	""	""	""	""	""	""
"234"	"127A"	""	"203"	""	"2"	""	"21"	""	"9"	""	"1"	""	"0"	""	"2"	""	"1"	""	""	""	"239"	""	""	""	""	"239"	""	""	""	""	""	""	""
"235"	"128"	""	"536"	""	"10"	""	"16"	""	"25"	""	"1"	""	"4"	""	"4"	""	"7"	""	""	""	"603"	""	""	""	""	"603"	""	""	""	""	""	""	""
"236"	"129"	""	"335"	""	"3"	""	"46"	""	"26"	""	"1"	""	"3"	""	"0"	""	"7"	""	""	""	"421"	""	""	""	""	"421"	""	""	""	""	""	""	""
"237"	"130"	""	"313"	""	"0"	""	"41"	""	"11"	""	"2"	""	"1"	""	"6"	""	"3"	""	""	""	"377"	""	""	""	""	"377"	""	""	""	""	""	""	""
"238"	"130A"	""	"167"	""	"0"	""	"4"	""	"3"	""	"0"	""	"1"	""	"0"	""	"1"	""	""	""	"176"	""	""	""	""	"176"	""	""	""	""	""	""	""
"239"	"131"	""	"456"	""	"1"	""	"56"	""	"5"	""	"3"	""	"0"	""	"4"	""	"4"	""	""	""	"529"	""	""	""	""	"529"	""	""	""	""	""	""	""
"240"	"132"	""	"472"	""	"4"	""	"70"	""	"14"	""	"2"	""	"5"	""	"6"	""	"7"	""	""	""	"580"	""	""	""	""	"580"	""	""	""	""	""	""	""
"241"	"133"	""	"227"	""	"5"	""	"176"	""	"44"	""	"3"	""	"0"	""	"4"	""	"9"	""	""	""	"468"	""	""	""	""	"468"	""	""	""	""	""	""	""
"242"	"134"	""	"85"	""	"2"	""	"62"	""	"21"	""	"1"	""	"0"	""	"0"	""	"1"	""	""	""	"172"	""	""	""	""	"172"	""	""	""	""	""	""	""
"243"	"135"	""	"147"	""	"6"	""	"196"	""	"97"	""	"2"	""	"4"	""	"2"	""	"3"	""	""	""	"457"	""	""	""	""	"457"	""	""	""	""	""	""	""
"244"	"Total"	""	"4129"	""	"49"	""	"898"	""	"329"	""	"25"	""	"33"	""	"38"	""	"66"	""	""	""	"5567"	""	""	""	""	"5567"	""	""	"0"	""	""	""	""
"245"	"Till Last Round"	""	"-27655"	""	"-861"	""	"-20604"	""	"-5109"	""	"-528"	""	"-578"	""	"-522"	""	"-926"	""	""	""	"-56783"	""	"0"	""	""	"-56783"	""	""	"0"	""	""	""	""
"246"	"Grand Total"	""	"31784"	""	"910"	""	"21502"	""	"5438"	""	"553"	""	"611"	""	"560"	""	"992"	""	""	""	"62350"	""	"0"	""	""	"62350"	""	""	"0"	""	""	""	""
"247"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"249"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"136"	""	"162"	""	"4"	""	"114"	""	"16"	""	"2"	""	"4"	""	"3"	""	"8"	""	""	""	"313"	""	""	""	""	"313"	""	""	""	""	""	""	""
"251"	"136A"	""	"110"	""	"1"	""	"58"	""	"3"	""	"2"	""	"3"	""	"0"	""	"4"	""	""	""	"181"	""	""	""	""	"181"	""	""	""	""	""	""	""
"252"	"137"	""	"127"	""	"2"	""	"175"	""	"25"	""	"6"	""	"3"	""	"5"	""	"8"	""	""	""	"351"	""	""	""	""	"351"	""	""	""	""	""	""	""
"253"	"137A"	""	"68"	""	"1"	""	"120"	""	"18"	""	"0"	""	"1"	""	"2"	""	"10"	""	""	""	"220"	""	""	""	""	"220"	""	""	""	""	""	""	""
"254"	"138"	""	"91"	""	"6"	""	"178"	""	"27"	""	"3"	""	"1"	""	"4"	""	"3"	""	""	""	"313"	""	""	""	""	"313"	""	""	""	""	""	""	""
"255"	"138A"	""	"59"	""	"1"	""	"42"	""	"7"	""	"2"	""	"1"	""	"1"	""	"1"	""	""	""	"114"	""	""	""	""	"114"	""	""	""	""	""	""	""
"256"	"139"	""	"97"	""	"2"	""	"39"	""	"7"	""	"2"	""	"1"	""	"1"	""	"0"	""	""	""	"149"	""	""	""	""	"149"	""	""	""	""	""	""	""
"257"	"140"	""	"297"	""	"14"	""	"46"	""	"37"	""	"3"	""	"4"	""	"7"	""	"6"	""	""	""	"414"	""	""	""	""	"414"	""	""	""	""	""	""	""
"258"	"141"	""	"251"	""	"9"	""	"130"	""	"33"	""	"3"	""	"3"	""	"2"	""	"7"	""	""	""	"438"	""	""	""	""	"438"	""	""	""	""	""	""	""
"259"	"142"	""	"273"	""	"4"	""	"160"	""	"31"	""	"0"	""	"2"	""	"3"	""	"6"	""	""	""	"479"	""	""	""	""	"479"	""	""	""	""	""	""	""
"260"	"143"	""	"124"	""	"1"	""	"86"	""	"12"	""	"1"	""	"2"	""	"1"	""	"5"	""	""	""	"232"	""	""	""	""	"232"	""	""	""	""	""	""	""
"261"	"144"	""	"291"	""	"15"	""	"77"	""	"53"	""	"6"	""	"6"	""	"2"	""	"12"	""	""	""	"462"	""	""	""	""	"462"	""	""	""	""	""	""	""
"262"	"145"	""	"122"	""	"5"	""	"321"	""	"15"	""	"3"	""	"16"	""	"1"	""	"5"	""	""	""	"488"	""	""	""	""	"488"	""	""	""	""	""	""	""
"263"	"146"	""	"264"	""	"2"	""	"40"	""	"7"	""	"0"	""	"0"	""	"2"	""	"8"	""	""	""	"323"	""	""	""	""	"323"	""	""	""	""	""	""	""
"264"	"Total"	""	"2336"	""	"67"	""	"1586"	""	"291"	""	"33"	""	"47"	""	"34"	""	"83"	""	""	""	"4477"	""	""	""	""	"4477"	""	""	"0"	""	""	""	""
"265"	"Till Last Round"	""	"-31784"	""	"-910"	""	"-21502"	""	"-5438"	""	"-553"	""	"-611"	""	"-560"	""	"-992"	""	""	""	"-62350"	""	"0"	""	""	"-62350"	""	""	"0"	""	""	""	""
"266"	"Grand Total"	""	"34120"	""	"977"	""	"23088"	""	"5729"	""	"586"	""	"658"	""	"594"	""	"1075"	""	""	""	"66827"	""	"0"	""	""	"66827"	""	""	"0"	""	""	""	""
"267"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 191 DANAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"269"	"Serial no. of polling station"	""	"Asha Devi"	""	"Binay Chand"	""	"Ramanand Yadav"	""	"Suresh Rai"	""	"Bijay Kumar Mehta"	""	"Rekha Devi"	""	"Ajitabh Kumar"	""	"Rajnath Gupta"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"147"	""	"165"	""	"5"	""	"137"	""	"28"	""	"2"	""	"2"	""	"8"	""	"9"	""	""	""	"356"	""	""	""	""	"356"	""	""	""	""	""	""	""
"271"	"148"	""	"129"	""	"0"	""	"26"	""	"5"	""	"0"	""	"0"	""	"0"	""	"1"	""	""	""	"161"	""	""	""	""	"161"	""	""	""	""	""	""	""
"272"	"148A"	""	"148"	""	"0"	""	"29"	""	"5"	""	"0"	""	"0"	""	"1"	""	"0"	""	""	""	"183"	""	""	""	""	"183"	""	""	""	""	""	""	""
"273"	"149"	""	"229"	""	"9"	""	"168"	""	"20"	""	"4"	""	"5"	""	"1"	""	"2"	""	""	""	"438"	""	""	""	""	"438"	""	""	""	""	""	""	""
"274"	"150"	""	"163"	""	"2"	""	"115"	""	"17"	""	"1"	""	"6"	""	"3"	""	"8"	""	""	""	"315"	""	""	""	""	"315"	""	""	""	""	""	""	""
"275"	"150A"	""	"119"	""	"0"	""	"40"	""	"4"	""	"0"	""	"1"	""	"0"	""	"1"	""	""	""	"165"	""	""	""	""	"165"	""	""	""	""	""	""	""
