"No..and.Name.of.Assembly.Constituency...........51..Lalganji"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"182"	"93"	"571"	"11"	"29"	"241"	"246"	"4"	"8"	"12"	"13"	"1"	"6"	"571"	"0"	"571"	"0"
"183"	"94"	"509"	"19"	"39"	"181"	"201"	"5"	"7"	"26"	"11"	"6"	"14"	"509"	"0"	"509"	"0"
"184"	"95"	"233"	"4"	"54"	"98"	"51"	"2"	"4"	"8"	"6"	"3"	"3"	"233"	"0"	"233"	"0"
"185"	"96"	"527"	"13"	"84"	"222"	"136"	"8"	"11"	"20"	"7"	"11"	"15"	"527"	"0"	"527"	"0"
"186"	"97"	"388"	"2"	"9"	"266"	"76"	"5"	"2"	"4"	"11"	"4"	"9"	"388"	"0"	"388"	"0"
"187"	"97K"	"322"	"17"	"79"	"18"	"173"	"1"	"2"	"12"	"3"	"4"	"13"	"322"	"0"	"322"	"0"
"188"	"98"	"569"	"20"	"75"	"255"	"166"	"9"	"4"	"13"	"6"	"11"	"10"	"569"	"0"	"569"	"0"
"189"	"Grand Total"	"6725"	"160"	"774"	"2869"	"2289"	"84"	"66"	"167"	"119"	"64"	"133"	"6725"	"0"	"6725"	"0"
"190"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"191"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"192"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Round No.  :-    9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"196"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"197"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"198"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"199"	"99"	"300"	"6"	"121"	"38"	"90"	"7"	"5"	"15"	"9"	"8"	"1"	"300"	"0"	"300"	"0"
"200"	"100"	"484"	"12"	"78"	"146"	"195"	"11"	"2"	"12"	"6"	"4"	"18"	"484"	"0"	"484"	"0"
"201"	"101"	"297"	"9"	"92"	"60"	"100"	"2"	"4"	"2"	"3"	"18"	"7"	"297"	"0"	"297"	"0"
"202"	"102"	"370"	"15"	"69"	"108"	"101"	"7"	"4"	"19"	"14"	"16"	"17"	"370"	"0"	"370"	"0"
"203"	"103"	"329"	"12"	"55"	"36"	"203"	"2"	"2"	"8"	"1"	"6"	"4"	"329"	"0"	"329"	"0"
"204"	"103K"	"323"	"5"	"20"	"85"	"155"	"7"	"4"	"16"	"7"	"12"	"12"	"323"	"0"	"323"	"0"
"205"	"104"	"353"	"10"	"166"	"101"	"50"	"5"	"5"	"5"	"3"	"5"	"3"	"353"	"0"	"353"	"0"
"206"	"104K"	"367"	"6"	"94"	"152"	"84"	"6"	"3"	"5"	"3"	"5"	"9"	"367"	"0"	"367"	"0"
"207"	"105"	"421"	"10"	"118"	"139"	"113"	"3"	"3"	"7"	"4"	"12"	"12"	"421"	"0"	"421"	"0"
"208"	"106"	"528"	"12"	"83"	"180"	"194"	"10"	"9"	"12"	"5"	"8"	"15"	"528"	"0"	"528"	"0"
"209"	"107"	"589"	"11"	"6"	"217"	"304"	"8"	"7"	"14"	"6"	"5"	"11"	"589"	"0"	"589"	"0"
"210"	"108"	"638"	"4"	"3"	"59"	"511"	"8"	"2"	"24"	"6"	"5"	"16"	"638"	"0"	"638"	"0"
"211"	"109"	"499"	"21"	"6"	"187"	"252"	"4"	"5"	"14"	"2"	"5"	"3"	"499"	"0"	"499"	"0"
"212"	"110"	"524"	"13"	"80"	"72"	"310"	"7"	"6"	"10"	"4"	"6"	"16"	"524"	"0"	"524"	"0"
"213"	"Grand Total"	"6022"	"146"	"991"	"1580"	"2662"	"87"	"61"	"163"	"73"	"115"	"144"	"6022"	"0"	"6022"	"0"
"214"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"215"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"216"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Round No.  :-    10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"220"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"221"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"222"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"223"	"111"	"472"	"11"	"13"	"199"	"181"	"3"	"7"	"26"	"7"	"11"	"14"	"472"	"0"	"472"	"0"
"224"	"112"	"567"	"10"	"24"	"285"	"198"	"15"	"4"	"14"	"2"	"5"	"10"	"567"	"0"	"567"	"0"
"225"	"113"	"512"	"13"	"66"	"69"	"296"	"14"	"3"	"17"	"4"	"7"	"23"	"512"	"0"	"512"	"0"
"226"	"114"	"562"	"10"	"5"	"399"	"127"	"4"	"4"	"6"	"3"	"1"	"3"	"562"	"0"	"562"	"0"
"227"	"115"	"452"	"9"	"123"	"82"	"204"	"5"	"3"	"6"	"4"	"4"	"12"	"452"	"0"	"452"	"0"
"228"	"116"	"273"	"10"	"36"	"111"	"82"	"5"	"1"	"3"	"8"	"7"	"10"	"273"	"0"	"273"	"0"
"229"	"117"	"353"	"15"	"148"	"60"	"94"	"3"	"4"	"5"	"5"	"5"	"14"	"353"	"0"	"353"	"0"
"230"	"118"	"662"	"8"	"18"	"81"	"500"	"10"	"6"	"13"	"2"	"6"	"18"	"662"	"0"	"662"	"0"
"231"	"119"	"417"	"11"	"64"	"111"	"172"	"8"	"8"	"6"	"9"	"10"	"18"	"417"	"0"	"417"	"0"
"232"	"120"	"425"	"5"	"22"	"139"	"239"	"7"	"1"	"6"	"2"	"1"	"3"	"425"	"0"	"425"	"0"
"233"	"121"	"607"	"6"	"17"	"337"	"197"	"10"	"1"	"12"	"4"	"7"	"16"	"607"	"0"	"607"	"0"
"234"	"122"	"564"	"21"	"330"	"89"	"66"	"4"	"13"	"2"	"6"	"9"	"24"	"564"	"0"	"564"	"0"
"235"	"123"	"438"	"14"	"63"	"243"	"93"	"7"	"3"	"5"	"0"	"4"	"6"	"438"	"0"	"438"	"0"
"236"	"124"	"305"	"5"	"7"	"72"	"157"	"7"	"4"	"10"	"4"	"14"	"25"	"305"	"0"	"305"	"0"
"237"	"Grand Total"	"6609"	"148"	"936"	"2277"	"2606"	"102"	"62"	"131"	"60"	"91"	"196"	"6609"	"0"	"6609"	"0"
"238"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"239"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"240"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Round No.  :-    11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"244"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"245"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"246"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"247"	"124K"	"372"	"21"	"12"	"142"	"161"	"4"	"6"	"10"	"1"	"4"	"11"	"372"	"0"	"372"	"0"
"248"	"125"	"491"	"6"	"18"	"234"	"176"	"5"	"9"	"11"	"8"	"7"	"17"	"491"	"0"	"491"	"0"
"249"	"126"	"650"	"25"	"182"	"118"	"255"	"11"	"7"	"17"	"6"	"10"	"19"	"650"	"0"	"650"	"0"
"250"	"127"	"590"	"41"	"80"	"257"	"149"	"5"	"13"	"11"	"7"	"4"	"23"	"590"	"0"	"590"	"0"
"251"	"128"	"467"	"10"	"6"	"89"	"339"	"2"	"3"	"11"	"1"	"2"	"4"	"467"	"0"	"467"	"0"
"252"	"129"	"594"	"17"	"205"	"58"	"221"	"6"	"10"	"19"	"18"	"13"	"27"	"594"	"0"	"594"	"0"
"253"	"130"	"386"	"7"	"9"	"147"	"195"	"5"	"1"	"13"	"6"	"1"	"2"	"386"	"0"	"386"	"0"
"254"	"131"	"511"	"14"	"40"	"277"	"121"	"7"	"6"	"7"	"17"	"4"	"18"	"511"	"0"	"511"	"0"
"255"	"131K"	"322"	"2"	"9"	"135"	"128"	"3"	"1"	"15"	"8"	"7"	"14"	"322"	"0"	"322"	"0"
"256"	"132"	"624"	"15"	"145"	"172"	"228"	"6"	"16"	"8"	"8"	"8"	"18"	"624"	"0"	"624"	"0"
"257"	"133"	"423"	"14"	"76"	"216"	"62"	"4"	"6"	"7"	"7"	"7"	"24"	"423"	"0"	"423"	"0"
"258"	"134"	"418"	"11"	"16"	"267"	"90"	"1"	"4"	"8"	"7"	"2"	"12"	"418"	"0"	"418"	"0"
"259"	"135"	"513"	"16"	"56"	"309"	"93"	"6"	"6"	"14"	"5"	"1"	"7"	"513"	"0"	"513"	"0"
"260"	"136"	"359"	"13"	"132"	"70"	"88"	"11"	"6"	"8"	"7"	"8"	"16"	"359"	"0"	"359"	"0"
"261"	"Grand Total"	"6720"	"212"	"986"	"2491"	"2306"	"76"	"94"	"159"	"106"	"78"	"212"	"6720"	"0"	"6720"	"0"
"262"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"263"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"264"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Round No.  :-    12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"268"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"269"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"270"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"271"	"136K"	"451"	"9"	"13"	"303"	"88"	"2"	"4"	"9"	"5"	"4"	"14"	"451"	"0"	"451"	"0"
"272"	"137"	"337"	"8"	"10"	"132"	"155"	"3"	"3"	"11"	"4"	"4"	"7"	"337"	"0"	"337"	"0"
"273"	"137K"	"208"	"2"	"11"	"126"	"55"	"0"	"1"	"1"	"3"	"5"	"4"	"208"	"0"	"208"	"0"
"274"	"138"	"436"	"13"	"106"	"60"	"208"	"8"	"5"	"19"	"0"	"4"	"13"	"436"	"0"	"436"	"0"
"275"	"139"	"288"	"10"	"15"	"55"	"171"	"11"	"6"	"14"	"2"	"2"	"2"	"288"	"0"	"288"	"0"
"276"	"139K"	"309"	"6"	"17"	"174"	"83"	"3"	"3"	"9"	"6"	"1"	"7"	"309"	"0"	"309"	"0"
"277"	"140"	"471"	"16"	"113"	"106"	"186"	"10"	"5"	"7"	"6"	"7"	"15"	"471"	"0"	"471"	"0"
"278"	"141"	"246"	"5"	"44"	"90"	"83"	"0"	"1"	"11"	"4"	"5"	"3"	"246"	"0"	"246"	"0"
"279"	"141K"	"194"	"7"	"78"	"48"	"43"	"1"	"0"	"5"	"1"	"3"	"8"	"194"	"0"	"194"	"0"
"280"	"142"	"358"	"5"	"23"	"216"	"94"	"1"	"2"	"3"	"6"	"3"	"5"	"358"	"0"	"358"	"0"
"281"	"143"	"487"	"15"	"82"	"89"	"240"	"11"	"9"	"16"	"3"	"7"	"15"	"487"	"0"	"487"	"0"
"282"	"144"	"236"	"3"	"134"	"74"	"12"	"0"	"1"	"4"	"1"	"4"	"3"	"236"	"0"	"236"	"0"
"283"	"145"	"401"	"4"	"95"	"269"	"20"	"1"	"1"	"2"	"2"	"1"	"6"	"401"	"0"	"401"	"0"
"284"	"146"	"318"	"1"	"15"	"250"	"31"	"2"	"2"	"2"	"7"	"2"	"6"	"318"	"0"	"318"	"0"
"285"	"Grand Total"	"4740"	"104"	"756"	"1992"	"1469"	"53"	"43"	"113"	"50"	"52"	"108"	"4740"	"0"	"4740"	"0"
"286"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"287"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"288"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Round No.  :-    13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"292"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"293"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"294"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"295"	"147"	"465"	"9"	"80"	"108"	"215"	"9"	"2"	"6"	"5"	"9"	"22"	"465"	"0"	"465"	"0"
"296"	"148"	"358"	"4"	"23"	"314"	"12"	"0"	"0"	"0"	"2"	"1"	"2"	"358"	"0"	"358"	"0"
"297"	"149"	"312"	"8"	"204"	"8"	"78"	"2"	"2"	"4"	"1"	"1"	"4"	"312"	"0"	"312"	"0"
"298"	"150"	"501"	"14"	"312"	"64"	"72"	"5"	"4"	"5"	"5"	"8"	"12"	"501"	"0"	"501"	"0"
"299"	"151"	"349"	"4"	"191"	"99"	"40"	"2"	"4"	"3"	"2"	"3"	"1"	"349"	"0"	"349"	"0"
"300"	"151K"	"429"	"5"	"151"	"129"	"103"	"6"	"2"	"9"	"5"	"7"	"12"	"429"	"0"	"429"	"0"
"301"	"152"	"390"	"15"	"229"	"26"	"85"	"1"	"6"	"7"	"5"	"9"	"7"	"390"	"0"	"390"	"0"
"302"	"153"	"480"	"11"	"216"	"12"	"200"	"2"	"4"	"11"	"5"	"4"	"15"	"480"	"0"	"480"	"0"
"303"	"154"	"647"	"13"	"51"	"116"	"403"	"16"	"2"	"15"	"5"	"9"	"17"	"647"	"0"	"647"	"0"
"304"	"155"	"464"	"12"	"28"	"100"	"251"	"9"	"8"	"28"	"1"	"10"	"17"	"464"	"0"	"464"	"0"
"305"	"156"	"540"	"14"	"51"	"177"	"222"	"7"	"4"	"24"	"11"	"9"	"21"	"540"	"0"	"540"	"0"
"306"	"157"	"413"	"14"	"13"	"223"	"123"	"6"	"5"	"9"	"2"	"6"	"12"	"413"	"0"	"413"	"0"
"307"	"158"	"484"	"5"	"22"	"340"	"81"	"4"	"2"	"10"	"5"	"5"	"10"	"484"	"0"	"484"	"0"
"308"	"159"	"601"	"9"	"25"	"143"	"344"	"13"	"9"	"34"	"6"	"5"	"13"	"601"	"0"	"601"	"0"
"309"	"Grand Total"	"6433"	"137"	"1596"	"1859"	"2229"	"82"	"54"	"165"	"60"	"86"	"165"	"6433"	"0"	"6433"	"0"
"310"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"311"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"312"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Round No.  :-    14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"316"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"317"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"318"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"319"	"160"	"328"	"4"	"8"	"229"	"76"	"5"	"2"	"1"	"1"	"0"	"2"	"328"	"0"	"328"	"0"
"320"	"161"	"387"	"0"	"5"	"146"	"217"	"2"	"0"	"5"	"3"	"2"	"7"	"387"	"0"	"387"	"0"
"321"	"161K"	"417"	"9"	"64"	"112"	"202"	"7"	"2"	"9"	"1"	"4"	"7"	"417"	"0"	"417"	"0"
"322"	"162"	"435"	"4"	"5"	"54"	"318"	"3"	"4"	"18"	"3"	"4"	"22"	"435"	"0"	"435"	"0"
"323"	"163"	"346"	"3"	"2"	"1"	"329"	"2"	"2"	"5"	"1"	"0"	"1"	"346"	"0"	"346"	"0"
"324"	"164"	"356"	"15"	"54"	"146"	"81"	"6"	"4"	"14"	"8"	"7"	"21"	"356"	"0"	"356"	"0"
"325"	"164K"	"366"	"10"	"41"	"149"	"139"	"3"	"1"	"7"	"3"	"2"	"11"	"366"	"0"	"366"	"0"
"326"	"165"	"526"	"7"	"39"	"108"	"334"	"10"	"8"	"12"	"4"	"3"	"1"	"526"	"0"	"526"	"0"
"327"	"166"	"270"	"3"	"49"	"158"	"38"	"2"	"2"	"4"	"3"	"1"	"10"	"270"	"0"	"270"	"0"
"328"	"167"	"498"	"9"	"50"	"211"	"149"	"8"	"7"	"22"	"13"	"9"	"20"	"498"	"0"	"498"	"0"
"329"	"168"	"356"	"3"	"4"	"98"	"233"	"4"	"2"	"6"	"0"	"2"	"4"	"356"	"0"	"356"	"0"
"330"	"168K"	"348"	"8"	"29"	"272"	"30"	"4"	"0"	"1"	"1"	"1"	"2"	"348"	"0"	"348"	"0"
"331"	"169"	"287"	"5"	"32"	"190"	"38"	"2"	"2"	"3"	"4"	"2"	"9"	"287"	"0"	"287"	"0"
"332"	"170"	""	"5"	"32"	"91"	"151"	"4"	"2"	"15"	"6"	"3"	"17"	"326"	"0"	"326"	"0"
"333"	"Grand Total"	"4920"	"85"	"414"	"1965"	"2335"	"62"	"38"	"122"	"51"	"40"	"134"	"5246"	"0"	"5246"	"0"
"334"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"335"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"336"	"No. and Name of Assembly Constituency  :-       51- Lalganji"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"Total No. of Electors in the Assembly Constituency :-  196591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Round No.  :-    15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"340"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"341"	""	""	"BSP"	"LJP"	"RJD"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"342"	""	""	"BALI RAM SAHNI"	"BHARAT PD. SINGH"	"RAJ KUMAR SAH"	"VIJAY KUMAR SHUKLA"	"NISHANT GANDHI"	"TRIBHUVAN RAI"	"BAIDHNATH SAH"	"RAKESH KUMAR"	"RAJENDRA SHARMA"	"RAMJI RAI"	""	""	""	""
"343"	"171"	"597"	"12"	"68"	"322"	"154"	"6"	"4"	"14"	"2"	"6"	"9"	"597"	"0"	"597"	"0"
"344"	"172"	"343"	"14"	"19"	"7"	"257"	"12"	"11"	"9"	"2"	"3"	"9"	"343"	"0"	"343"	"0"
"345"	"173"	"281"	"5"	"53"	"145"	"65"	"0"	"5"	"5"	"1"	"1"	"1"	"281"	"0"	"281"	"0"
"346"	"174"	"327"	"11"	"16"	"179"	"88"	"3"	"3"	"12"	"6"	"2"	"7"	"327"	"0"	"327"	"0"
"347"	"174K"	"330"	"8"	"68"	"118"	"113"	"3"	"2"	"5"	"4"	"4"	"5"	"330"	"0"	"330"	"0"
"348"	"175"	"498"	"12"	"124"	"118"	"213"	"6"	"4"	"8"	"3"	"5"	"5"	"498"	"0"	"498"	"0"
"349"	"176"	"371"	"14"	"33"	"76"	"217"	"7"	"4"	"10"	"0"	"4"	"6"	"371"	"0"	"371"	"0"
"350"	"177"	"619"	"17"	"43"	"432"	"82"	"9"	"4"	"8"	"3"	"6"	"15"	"619"	"0"	"619"	"0"
"351"	"178"	"583"	"14"	"81"	"171"	"260"	"7"	"4"	"18"	"3"	"11"	"14"	"583"	"0"	"583"	"0"
"352"	"179"	"669"	"4"	"60"	"111"	"453"	"15"	"4"	"19"	"1"	"1"	"1"	"669"	"0"	"669"	"0"
"353"	"180"	"408"	"0"	"16"	"50"	"310"	"3"	"1"	"15"	"2"	"5"	"6"	"408"	"0"	"408"	"0"
"354"	"181"	"507"	"20"	"108"	"82"	"207"	"11"	"11"	"28"	"10"	"9"	"21"	"507"	"0"	"507"	"0"
"355"	"Grand Total"	"5533"	"131"	"689"	"1811"	"2419"	"82"	"57"	"151"	"37"	"57"	"99"	"5533"	"0"	"5533"	"0"
"356"	"Total No. of Votes recorded of"	""	"2164"	"12698"	"33041"	"36852"	"1129"	"904"	"2321"	"1088"	"1145"	"2177"	"93519"	"0"	"93519"	"0"
"357"	"No. of Votes Recorded on Postal Ballot Papers (To be filled"	""	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"
"358"	"Total Votes
Polled"	""	"2164"	"12698"	"33042"	"36852"	"1129"	"904"	"2321"	"1088"	"1145"	"2177"	"93520"	"1"	"93521"	"0"
"359"	"Place :- Hajipur"	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"360"	"Date :-  22.11.05"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"361"	""	""	"Initial of OB"	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"51- Lalganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
