"No..and.Name.of.Assembly.Constituency...........50..Mahua..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"286"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"287"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"288"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"289"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"290"	"Round No.  :-    13"	""	""	""	""	""	""	""	""	""
"291"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"292"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"293"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"294"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"295"	"150"	"685"	"109"	"24"	"76"	"476"	"685"	"0"	"685"	"0"
"296"	"151"	"379"	"135"	"4"	"70"	"170"	"379"	"0"	"379"	"0"
"297"	"151K"	"374"	"109"	"18"	"174"	"73"	"374"	"0"	"374"	"0"
"298"	"152"	"518"	"149"	"8"	"140"	"221"	"518"	"0"	"518"	"0"
"299"	"153"	"456"	"167"	"13"	"135"	"141"	"456"	"0"	"456"	"0"
"300"	"154"	"448"	"91"	"13"	"119"	"225"	"448"	"0"	"448"	"0"
"301"	"155"	"529"	"89"	"14"	"259"	"167"	"529"	"0"	"529"	"0"
"302"	"156"	"563"	"106"	"9"	"189"	"259"	"563"	"0"	"563"	"0"
"303"	"157"	"557"	"98"	"29"	"176"	"254"	"557"	"0"	"557"	"0"
"304"	"158"	"480"	"155"	"14"	"84"	"227"	"480"	"0"	"480"	"0"
"305"	"159"	"504"	"54"	"15"	"42"	"393"	"504"	"0"	"504"	"0"
"306"	"160"	"572"	"192"	"34"	"88"	"258"	"572"	"0"	"572"	"0"
"307"	"161"	"452"	"64"	"13"	"227"	"148"	"452"	"0"	"452"	"0"
"308"	"162"	"466"	"122"	"14"	"160"	"170"	"466"	"0"	"466"	"0"
"309"	"Grand Total"	"6983"	"1640"	"222"	"1939"	"3182"	"6983"	"0"	"6983"	"0"
"310"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"311"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"312"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"313"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"314"	"Round No.  :-    14"	""	""	""	""	""	""	""	""	""
"315"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"316"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"317"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"318"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"319"	"163"	"411"	"213"	"19"	"85"	"94"	"411"	"0"	"411"	"0"
"320"	"164"	"577"	"264"	"27"	"152"	"134"	"577"	"0"	"577"	"0"
"321"	"165"	"428"	"56"	"30"	"155"	"187"	"428"	"0"	"428"	"0"
"322"	"166"	"401"	"58"	"16"	"51"	"276"	"401"	"0"	"401"	"0"
"323"	"167"	"454"	"111"	"12"	"96"	"235"	"454"	"0"	"454"	"0"
"324"	"168"	"393"	"189"	"10"	"106"	"88"	"393"	"0"	"393"	"0"
"325"	"169"	"542"	"122"	"21"	"77"	"322"	"542"	"0"	"542"	"0"
"326"	"170"	"551"	"157"	"17"	"73"	"304"	"551"	"0"	"551"	"0"
"327"	"171"	"363"	"97"	"14"	"72"	"180"	"363"	"0"	"363"	"0"
"328"	"171K"	"332"	"67"	"21"	"147"	"97"	"332"	"0"	"332"	"0"
"329"	"172"	"405"	"175"	"5"	"31"	"194"	"405"	"0"	"405"	"0"
"330"	"172K"	"477"	"208"	"14"	"71"	"184"	"477"	"0"	"477"	"0"
"331"	"173"	"348"	"106"	"15"	"114"	"113"	"348"	"0"	"348"	"0"
"332"	"174"	"309"	"78"	"12"	"91"	"128"	"309"	"0"	"309"	"0"
"333"	"Grand Total"	"5991"	"1901"	"233"	"1321"	"2536"	"5991"	"0"	"5991"	"0"
"334"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"335"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"336"	"No. and Name of Assembly Constituency  :-       50- Mahua (SC)"	""	""	""	""	""	""	""	""	""
"337"	"Total No. of Electors in the Assembly Constituency :-  186494"	""	""	""	""	""	""	""	""	""
"338"	"Round No.  :-    15"	""	""	""	""	""	""	""	""	""
"339"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"340"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"341"	""	""	"JD (U)"	"BSP"	"LJP"	"RJD"	""	""	""	""
"342"	""	""	"DASAI CHOUDHARY"	"BAL KRISHNA RAM"	"MEENA DEVI"	"SHIVCHAND RAM"	""	""	""	""
"343"	"175"	"462"	"65"	"22"	"114"	"261"	"462"	"0"	"462"	"0"
"344"	"176"	"332"	"23"	"7"	"44"	"258"	"332"	"0"	"332"	"0"
"345"	"176K"	"408"	"18"	"6"	"42"	"342"	"408"	"0"	"408"	"0"
"346"	"177"	"442"	"76"	"17"	"73"	"276"	"442"	"0"	"442"	"0"
"347"	"177K"	"292"	"59"	"13"	"77"	"143"	"292"	"0"	"292"	"0"
"348"	"178"	"308"	"60"	"13"	"135"	"100"	"308"	"0"	"308"	"0"
"349"	"178K"	"448"	"182"	"12"	"192"	"62"	"448"	"0"	"448"	"0"
"350"	"179"	"385"	"70"	"28"	"198"	"89"	"385"	"0"	"385"	"0"
"351"	"180"	"524"	"135"	"10"	"55"	"324"	"524"	"0"	"524"	"0"
"352"	"181"	"295"	"181"	"8"	"73"	"33"	"295"	"0"	"295"	"0"
"353"	"181K"	"347"	"187"	"5"	"19"	"136"	"347"	"0"	"347"	"0"
"354"	"182"	"612"	"331"	"25"	"157"	"99"	"612"	"0"	"612"	"0"
"355"	"183"	"392"	"115"	"19"	"112"	"146"	"392"	"0"	"392"	"0"
"356"	"184"	"569"	"215"	"22"	"225"	"107"	"569"	"0"	"569"	"0"
"357"	"Grand Total"	"5816"	"1717"	"207"	"1516"	"2376"	"5816"	"0"	"5816"	"0"
"358"	"Total No. of Votes
recorded of polling stations"	""	"29626"	"3444"	"23096"	"36642"	"92808"	"0"	"92808"	"0"
"359"	"No. of Votes Recorded on Postal Ballot Papers (To be filled in the case of election from assembly constituency)"	""	"1"	"0"	"0"	"0"	"1"	"3"	"4"	"0"
"360"	"Total Votes Polled"	""	"29627"	"3444"	"23096"	"36642"	"92809"	"3"	"92812"	"0"
"361"	"Place :- Hajipur Date :-  22.11.05"	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""
"362"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""
"363"	"Returning Officer"	""	""	""	""	""	""	""	""	""
"364"	"50- Mahua (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""
