"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.187.MASAURHI.ASSEMBLY.CONSTITUNECY.ROUND...1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment....................................................................230522"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	""	""	""	""	""	""	""	"i"	""	""	"r"	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"104"	"-46"	""	"28"	""	"8"	""	"16"	""	""	"49"	""	""	"114"	""	""	"12"	""	""	""	"8"	""	""	"3"	""	""	"13"	""	""	"251"	""	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""
"105"	"-47"	""	"91"	""	"2"	""	"19"	""	""	"2"	""	""	"46"	""	""	"5"	""	""	""	"6"	""	""	"2"	""	""	"7"	""	""	"180"	""	""	""	""	""	""	""	"180"	""	""	""	""	""	""	""	""	""	""
"106"	"-48"	""	"126"	""	"2"	""	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"134"	""	""	""	""	""	""	""	"134"	""	""	""	""	""	""	""	""	""	""
"107"	"-49"	""	"246"	""	"1"	""	"2"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"257"	""	""	""	""	""	""	""	"257"	""	""	""	""	""	""	""	""	""	""
"108"	"-50"	""	"317"	""	"6"	""	"15"	""	""	"27"	""	""	"139"	""	""	"16"	""	""	""	"6"	""	""	"0"	""	""	"3"	""	""	"529"	""	""	""	""	""	""	""	"529"	""	""	""	""	""	""	""	""	""	""
"109"	"-51"	""	"19"	""	"0"	""	"219"	""	""	"16"	""	""	"18"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"275"	""	""	""	""	""	""	""	"275"	""	""	""	""	""	""	""	""	""	""
"110"	"-52"	""	"233"	""	"9"	""	"89"	""	""	"52"	""	""	"106"	""	""	"15"	""	""	""	"16"	""	""	"7"	""	""	"17"	""	""	"544"	""	""	""	""	""	""	""	"544"	""	""	""	""	""	""	""	""	""	""
"111"	"-53"	""	"129"	""	"2"	""	"53"	""	""	"2"	""	""	"11"	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	"4"	""	""	"203"	""	""	""	""	""	""	""	"203"	""	""	""	""	""	""	""	""	""	""
"112"	"-54"	""	"178"	""	"3"	""	"59"	""	""	"10"	""	""	"125"	""	""	"16"	""	""	""	"12"	""	""	"1"	""	""	"9"	""	""	"413"	""	""	""	""	""	""	""	"413"	""	""	""	""	""	""	""	""	""	""
"113"	"Total"	""	"2269"	""	"61"	""	"750"	""	""	"227"	""	""	"1352"	""	""	"111"	""	""	""	"93"	""	""	"26"	""	""	"100"	""	""	"4989"	""	""	""	"0"	""	""	""	"4989"	""	"0"	""	""	""	""	""	""	""	""
"114"	"Till last Round"	""	"5907"	""	"300"	""	"4157"	""	""	"570"	""	""	"3060"	""	""	"226"	""	""	""	"263"	""	""	"109"	""	""	"305"	""	""	"14897"	""	""	""	"0"	""	""	""	"14897"	""	"0"	""	""	""	""	""	""	""	""
"115"	"Grand Total"	""	"8176"	""	"361"	""	"4907"	""	""	"797"	""	""	"4412"	""	""	"337"	""	""	""	"356"	""	""	"135"	""	""	"405"	""	""	"19886"	""	""	""	"0"	""	""	""	"19886"	""	"0"	""	""	""	""	""	""	""	""
"116"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"ROUND - 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"131"	"-55"	""	"43"	""	"2"	""	"5"	""	""	"2"	""	""	"49"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"4"	""	""	"106"	""	""	""	""	""	""	""	"106"	""	""	""	""	""	""	""	""	""	""
"132"	"-56"	""	"134"	""	"5"	""	"15"	""	""	"14"	""	""	"126"	""	""	"10"	""	""	""	"9"	""	""	"4"	""	""	"14"	""	""	"331"	""	""	""	""	""	""	""	"331"	""	""	""	""	""	""	""	""	""	""
"133"	"56A"	""	"181"	""	"1"	""	"4"	""	""	"22"	""	""	"109"	""	""	"6"	""	""	""	"4"	""	""	"0"	""	""	"5"	""	""	"332"	""	""	""	""	""	""	""	"332"	""	""	""	""	""	""	""	""	""	""
"134"	"-57"	""	"49"	""	"9"	""	"154"	""	""	"36"	""	""	"122"	""	""	"7"	""	""	""	"6"	""	""	"1"	""	""	"9"	""	""	"393"	""	""	""	""	""	""	""	"393"	""	""	""	""	""	""	""	""	""	""
"135"	"-58"	""	"34"	""	"16"	""	"2"	""	""	"51"	""	""	"223"	""	""	"1"	""	""	""	"4"	""	""	"0"	""	""	"3"	""	""	"334"	""	""	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	""	""
"136"	"-59"	""	"383"	""	"2"	""	"58"	""	""	"69"	""	""	"43"	""	""	"9"	""	""	""	"5"	""	""	"4"	""	""	"9"	""	""	"582"	""	""	""	""	""	""	""	"582"	""	""	""	""	""	""	""	""	""	""
"137"	"-60"	""	"15"	""	"5"	""	"179"	""	""	"5"	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	"5"	""	""	"215"	""	""	""	""	""	""	""	"215"	""	""	""	""	""	""	""	""	""	""
"138"	"-61"	""	"103"	""	"7"	""	"61"	""	""	"11"	""	""	"153"	""	""	"6"	""	""	""	"7"	""	""	"1"	""	""	"4"	""	""	"353"	""	""	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""
"139"	"-62"	""	"173"	""	"0"	""	"13"	""	""	"16"	""	""	"160"	""	""	"3"	""	""	""	"3"	""	""	"4"	""	""	"3"	""	""	"375"	""	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""
"140"	"-63"	""	"294"	""	"12"	""	"88"	""	""	"76"	""	""	"117"	""	""	"17"	""	""	""	"31"	""	""	"4"	""	""	"6"	""	""	"645"	""	""	""	""	""	""	""	"645"	""	""	""	""	""	""	""	""	""	""
"141"	"-64"	""	"323"	""	"26"	""	"53"	""	""	"12"	""	""	"170"	""	""	"10"	""	""	""	"15"	""	""	"6"	""	""	"13"	""	""	"628"	""	""	""	""	""	""	""	"628"	""	""	""	""	""	""	""	""	""	""
"142"	"-65"	""	"468"	""	"16"	""	"54"	""	""	"8"	""	""	"15"	""	""	"2"	""	""	""	"6"	""	""	"2"	""	""	"7"	""	""	"578"	""	""	""	""	""	""	""	"578"	""	""	""	""	""	""	""	""	""	""
"143"	"-66"	""	"292"	""	"27"	""	"38"	""	""	"132"	""	""	"27"	""	""	"7"	""	""	""	"18"	""	""	"8"	""	""	"15"	""	""	"564"	""	""	""	""	""	""	""	"564"	""	""	""	""	""	""	""	""	""	""
"144"	"-67"	""	"358"	""	"3"	""	"58"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	""	"9"	""	""	"1"	""	""	"2"	""	""	"436"	""	""	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""
"145"	"Total"	""	"2850"	""	"131"	""	"782"	""	""	"456"	""	""	"1320"	""	""	"80"	""	""	""	"119"	""	""	"35"	""	""	"99"	""	""	"5872"	""	""	""	"0"	""	""	""	"5872"	""	"0"	""	""	""	""	""	""	""	""
"146"	"Till last Round"	""	"8176"	""	"361"	""	"4907"	""	""	"797"	""	""	"4412"	""	""	"337"	""	""	""	"356"	""	""	"135"	""	""	"405"	""	""	"19886"	""	""	""	"0"	""	""	""	"19886"	""	"0"	""	""	""	""	""	""	""	""
"147"	"Grand Total"	""	"11026"	""	"492"	""	"5689"	""	""	"1253"	""	""	"5732"	""	""	"417"	""	""	""	"475"	""	""	"170"	""	""	"504"	""	""	"25758"	""	""	""	"0"	""	""	""	"25758"	""	"0"	""	""	""	""	""	""	""	""
"148"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"ROUND - 6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"163"	"-68"	""	"144"	""	"2"	""	"59"	""	""	"14"	""	""	"10"	""	""	"3"	""	""	""	"15"	""	""	"4"	""	""	"8"	""	""	"259"	""	""	""	""	""	""	""	"259"	""	""	""	""	""	""	""	""	""	""
"164"	"68A"	""	"249"	""	"2"	""	"46"	""	""	"14"	""	""	"6"	""	""	"5"	""	""	""	"10"	""	""	"3"	""	""	"7"	""	""	"342"	""	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""
"165"	"-69"	""	"204"	""	"7"	""	"222"	""	""	"7"	""	""	"5"	""	""	"4"	""	""	""	"15"	""	""	"1"	""	""	"8"	""	""	"473"	""	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""
"166"	"-70"	""	"227"	""	"2"	""	"126"	""	""	"11"	""	""	"4"	""	""	"3"	""	""	""	"15"	""	""	"5"	""	""	"10"	""	""	"403"	""	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""
"167"	"-71"	""	"350"	""	"3"	""	"122"	""	""	"18"	""	""	"4"	""	""	"2"	""	""	""	"11"	""	""	"1"	""	""	"5"	""	""	"516"	""	""	""	""	""	""	""	"516"	""	""	""	""	""	""	""	""	""	""
"168"	"-72"	""	"145"	""	"1"	""	"129"	""	""	"12"	""	""	"2"	""	""	"1"	""	""	""	"7"	""	""	"0"	""	""	"0"	""	""	"297"	""	""	""	""	""	""	""	"297"	""	""	""	""	""	""	""	""	""	""
"169"	"-73"	""	"89"	""	"3"	""	"330"	""	""	"18"	""	""	"2"	""	""	"2"	""	""	""	"5"	""	""	"5"	""	""	"4"	""	""	"458"	""	""	""	""	""	""	""	"458"	""	""	""	""	""	""	""	""	""	""
"170"	"-74"	""	"50"	""	"8"	""	"264"	""	""	"11"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"336"	""	""	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	""	""
"171"	"-75"	""	"353"	""	"1"	""	"97"	""	""	"8"	""	""	"10"	""	""	"2"	""	""	""	"8"	""	""	"9"	""	""	"7"	""	""	"495"	""	""	""	""	""	""	""	"495"	""	""	""	""	""	""	""	""	""	""
"172"	"-76"	""	"233"	""	"8"	""	"121"	""	""	"18"	""	""	"21"	""	""	"4"	""	""	""	"4"	""	""	"1"	""	""	"9"	""	""	"419"	""	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""
"173"	"-77"	""	"61"	""	"3"	""	"165"	""	""	"22"	""	""	"7"	""	""	"3"	""	""	""	"6"	""	""	"1"	""	""	"5"	""	""	"273"	""	""	""	""	""	""	""	"273"	""	""	""	""	""	""	""	""	""	""
"174"	"-78"	""	"473"	""	"1"	""	"91"	""	""	"8"	""	""	"17"	""	""	"4"	""	""	""	"15"	""	""	"2"	""	""	"6"	""	""	"617"	""	""	""	""	""	""	""	"617"	""	""	""	""	""	""	""	""	""	""
"175"	"-79"	""	"234"	""	"28"	""	"92"	""	""	"12"	""	""	"42"	""	""	"5"	""	""	""	"10"	""	""	"5"	""	""	"5"	""	""	"433"	""	""	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""
"176"	"-80"	""	"223"	""	"4"	""	"154"	""	""	"23"	""	""	"33"	""	""	"6"	""	""	""	"4"	""	""	"8"	""	""	"13"	""	""	"468"	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""
"177"	"Total"	""	"3035"	""	"73"	""	"2018"	""	""	"196"	""	""	"163"	""	""	"44"	""	""	""	"126"	""	""	"45"	""	""	"89"	""	""	"5789"	""	""	""	"0"	""	""	""	"5789"	""	"0"	""	""	""	""	""	""	""	""
"178"	"Till last Round"	""	"11026"	""	"492"	""	"5689"	""	""	"1253"	""	""	"5732"	""	""	"417"	""	""	""	"475"	""	""	"170"	""	""	"504"	""	""	"25758"	""	""	""	"0"	""	""	""	"25758"	""	"0"	""	""	""	""	""	""	""	""
"179"	"Grand Total"	""	"14061"	""	"565"	""	"7707"	""	""	"1449"	""	""	"5895"	""	""	"461"	""	""	""	"601"	""	""	"215"	""	""	"593"	""	""	"31547"	""	""	""	"0"	""	""	""	"31547"	""	"0"	""	""	""	""	""	""	""	""
"180"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 7
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"189"	"80A"	""	"189"	""	"3"	""	"68"	""	""	"8"	""	""	"14"	""	""	"2"	""	""	""	"7"	""	""	"3"	""	""	"4"	""	""	"298"	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""
"190"	"-81"	""	"216"	""	"4"	""	"212"	""	""	"21"	""	""	"41"	""	""	"18"	""	""	""	"12"	""	""	"7"	""	""	"21"	""	""	"552"	""	""	""	""	""	""	""	"552"	""	""	""	""	""	""	""	""	""	""
"191"	"-82"	""	"501"	""	"2"	""	"45"	""	""	"7"	""	""	"5"	""	""	"0"	""	""	""	"8"	""	""	"1"	""	""	"8"	""	""	"577"	""	""	""	""	""	""	""	"577"	""	""	""	""	""	""	""	""	""	""
"192"	"-83"	""	"394"	""	"1"	""	"25"	""	""	"3"	""	""	"4"	""	""	"0"	""	""	""	"8"	""	""	"2"	""	""	"5"	""	""	"442"	""	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""
"193"	"-84"	""	"271"	""	"13"	""	"191"	""	""	"53"	""	""	"122"	""	""	"15"	""	""	""	"21"	""	""	"10"	""	""	"10"	""	""	"706"	""	""	""	""	""	""	""	"706"	""	""	""	""	""	""	""	""	""	""
"194"	"-85"	""	"286"	""	"2"	""	"77"	""	""	"6"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"375"	""	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""
"195"	"-86"	""	"268"	""	"3"	""	"32"	""	""	"3"	""	""	"3"	""	""	"0"	""	""	""	"3"	""	""	"1"	""	""	"4"	""	""	"317"	""	""	""	""	""	""	""	"317"	""	""	""	""	""	""	""	""	""	""
"196"	"-87"	""	"432"	""	"9"	""	"35"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	""	"17"	""	""	"3"	""	""	"8"	""	""	"510"	""	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	""
"197"	"87A"	""	"395"	""	"2"	""	"26"	""	""	"3"	""	""	"0"	""	""	"2"	""	""	""	"17"	""	""	"6"	""	""	"12"	""	""	"463"	""	""	""	""	""	""	""	"463"	""	""	""	""	""	""	""	""	""	""
"198"	"-88"	""	"261"	""	"8"	""	"61"	""	""	"9"	""	""	"21"	""	""	"2"	""	""	""	"8"	""	""	"2"	""	""	"21"	""	""	"393"	""	""	""	""	""	""	""	"393"	""	""	""	""	""	""	""	""	""	""
"199"	"-89"	""	"417"	""	"8"	""	"119"	""	""	"10"	""	""	"2"	""	""	"2"	""	""	""	"10"	""	""	"3"	""	""	"10"	""	""	"581"	""	""	""	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""
"200"	"-90"	""	"348"	""	"4"	""	"30"	""	""	"111"	""	""	"32"	""	""	"10"	""	""	""	"12"	""	""	"5"	""	""	"16"	""	""	"568"	""	""	""	""	""	""	""	"568"	""	""	""	""	""	""	""	""	""	""
"201"	"-91"	""	"308"	""	"21"	""	"40"	""	""	"5"	""	""	"7"	""	""	"2"	""	""	""	"16"	""	""	"4"	""	""	"16"	""	""	"419"	""	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""
"202"	"-92"	""	"19"	""	"1"	""	"237"	""	""	"75"	""	""	"5"	""	""	"3"	""	""	""	"2"	""	""	"0"	""	""	"5"	""	""	"347"	""	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""	""
"203"	"Total"	""	"4305"	""	"81"	""	"1198"	""	""	"317"	""	""	"259"	""	""	"58"	""	""	""	"141"	""	""	"47"	""	""	"142"	""	""	"6548"	""	""	""	"0"	""	""	""	"6548"	""	"0"	""	""	""	""	""	""	""	""
"204"	"Till last Round"	""	"14061"	""	"565"	""	"7707"	""	""	"1449"	""	""	"5895"	""	""	"461"	""	""	""	"601"	""	""	"215"	""	""	"593"	""	""	"31547"	""	""	""	"0"	""	""	""	"31547"	""	"0"	""	""	""	""	""	""	""	""
"205"	"Grand Total"	""	"18366"	""	"646"	""	"8905"	""	""	"1766"	""	""	"6154"	""	""	"519"	""	""	""	"742"	""	""	"262"	""	""	"735"	""	""	"38095"	""	""	""	"0"	""	""	""	"38095"	""	"0"	""	""	""	""	""	""	""	""
"206"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
