"X..vf.klwfpr.ernku.dsUnzksa.ls.fHkUu.ernku.dsUnzksa.ij.ernku.dk.ifj.kke....................1....izk.i.20.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"190"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"191"	"144"	"110"	"147"	"121"	"4"	"6"	"2"	"2"	"6"	"5"	"25"	"428"	"0"	"428"	"0"
"192"	"145"	"285"	"18"	"257"	"4"	"5"	"2"	"2"	"2"	"6"	"43"	"624"	"0"	"624"	"0"
"193"	"146"	"179"	"5"	"247"	"3"	"0"	"0"	"3"	"3"	"2"	"10"	"452"	"0"	"452"	"0"
"194"	"146A"	"137"	"5"	"201"	"1"	"6"	"1"	"0"	"3"	"3"	"11"	"368"	"0"	"368"	"0"
"195"	"147"	"154"	"2"	"338"	"3"	"1"	"0"	"0"	"0"	"1"	"13"	"512"	"0"	"512"	"0"
"196"	"148"	"100"	"1"	"218"	"3"	"1"	"1"	"2"	"0"	"0"	"7"	"333"	"0"	"333"	"0"
"197"	"149"	"154"	"20"	"282"	"7"	"3"	"0"	"3"	"3"	"3"	"23"	"498"	"0"	"498"	"0"
"198"	"150"	"188"	"4"	"319"	"7"	"2"	"1"	"3"	"1"	"3"	"63"	"591"	"0"	"591"	"0"
"199"	"151"	"76"	"2"	"187"	"4"	"0"	"1"	"1"	"5"	"2"	"46"	"324"	"0"	"324"	"0"
"200"	"152"	"14"	"23"	"144"	"0"	"1"	"0"	"1"	"3"	"1"	"6"	"193"	"0"	"193"	"0"
"201"	"153"	"13"	"37"	"258"	"1"	"1"	"1"	"3"	"1"	"0"	"3"	"318"	"0"	"318"	"0"
"202"	"154"	"59"	"78"	"356"	"11"	"2"	"1"	"6"	"3"	"7"	"23"	"546"	"0"	"546"	"0"
"203"	"155"	"16"	"101"	"255"	"4"	"3"	"1"	"7"	"10"	"3"	"9"	"409"	"0"	"409"	"0"
"204"	"156"	"175"	"33"	"139"	"7"	"6"	"0"	"3"	"3"	"6"	"15"	"387"	"0"	"387"	"0"
"205"	"156A"	"107"	"33"	"150"	"6"	"11"	"2"	"4"	"2"	"5"	"14"	"334"	"0"	"334"	"0"
"206"	"157"	"254"	"31"	"230"	"5"	"3"	"1"	"10"	"2"	"1"	"3"	"540"	"0"	"540"	"0"
"207"	"158"	"183"	"114"	"158"	"5"	"3"	"0"	"3"	"12"	"3"	"10"	"491"	"0"	"491"	"0"
"208"	"159"	"206"	"35"	"177"	"8"	"2"	"1"	"9"	"14"	"9"	"36"	"497"	"0"	"497"	"0"
"209"	"160"	"128"	"60"	"119"	"3"	"3"	"4"	"4"	"3"	"5"	"103"	"432"	"0"	"432"	"0"
"210"	"161"	"164"	"117"	"255"	"8"	"0"	"1"	"5"	"7"	"11"	"39"	"607"	"0"	"607"	"0"
"211"	"162"	"209"	"8"	"177"	"1"	"2"	"2"	"3"	"2"	"2"	"22"	"428"	"0"	"428"	"0"
"212"	"163"	"398"	"20"	"271"	"4"	"2"	"1"	"0"	"10"	"4"	"12"	"722"	"0"	"722"	"0"
"213"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"214"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"215"	"164"	"73"	"10"	"240"	"6"	"7"	"2"	"7"	"9"	"2"	"14"	"370"	"0"	"370"	"0"
"216"	"165"	"286"	"13"	"190"	"4"	"2"	"0"	"3"	"3"	"4"	"10"	"515"	"0"	"515"	"0"
"217"	"166"	"150"	"28"	"281"	"6"	"4"	"2"	"2"	"5"	"6"	"16"	"500"	"0"	"500"	"0"
"218"	"167"	"156"	"13"	"232"	"9"	"1"	"1"	"1"	"2"	"4"	"7"	"426"	"0"	"426"	"0"
"219"	"168"	"385"	"25"	"224"	"8"	"2"	"5"	"2"	"6"	"9"	"30"	"696"	"0"	"696"	"0"
"220"	"169"	"167"	"19"	"258"	"27"	"4"	"1"	"2"	"3"	"4"	"41"	"526"	"0"	"526"	"0"
"221"	"170"	"189"	"20"	"461"	"13"	"5"	"2"	"5"	"18"	"8"	"13"	"734"	"0"	"734"	"0"
"222"	"171"	"131"	"83"	"128"	"12"	"5"	"3"	"16"	"13"	"4"	"16"	"411"	"0"	"411"	"0"
"223"	"171A"	"135"	"10"	"65"	"49"	"0"	"2"	"5"	"1"	"2"	"16"	"285"	"0"	"285"	"0"
"224"	"172"	"39"	"147"	"362"	"15"	"5"	"5"	"2"	"9"	"4"	"21"	"609"	"0"	"609"	"0"
"225"	"173"	"62"	"108"	"219"	"7"	"1"	"1"	"3"	"5"	"4"	"17"	"427"	"0"	"427"	"0"
"226"	"174"	"98"	"66"	"168"	"2"	"1"	"2"	"4"	"2"	"2"	"9"	"354"	"0"	"354"	"0"
"227"	"175"	"219"	"48"	"209"	"6"	"8"	"4"	"7"	"4"	"2"	"6"	"513"	"0"	"513"	"0"
"228"	"176"	"27"	"112"	"194"	"12"	"4"	"2"	"1"	"4"	"3"	"31"	"390"	"0"	"390"	"0"
"229"	"176A"	"15"	"67"	"217"	"11"	"5"	"4"	"7"	"7"	"4"	"25"	"362"	"0"	"362"	"0"
"230"	"177"	"183"	"24"	"286"	"8"	"9"	"4"	"3"	"5"	"10"	"27"	"559"	"0"	"559"	"0"
"231"	"178"	"144"	"144"	"211"	"13"	"4"	"6"	"5"	"26"	"16"	"32"	"601"	"0"	"601"	"0"
"232"	"179"	"74"	"20"	"160"	"5"	"2"	"0"	"1"	"6"	"7"	"16"	"291"	"0"	"291"	"0"
"233"	"180"	"23"	"366"	"72"	"11"	"9"	"4"	"6"	"29"	"23"	"19"	"562"	"0"	"562"	"0"
"234"	"181"	"87"	"117"	"80"	"4"	"8"	"2"	"5"	"6"	"3"	"19"	"331"	"0"	"331"	"0"
"235"	"182"	"243"	"227"	"159"	"8"	"4"	"5"	"5"	"16"	"14"	"49"	"730"	"0"	"730"	"0"
"236"	"183"	"160"	"168"	"54"	"4"	"2"	"5"	"8"	"21"	"7"	"25"	"454"	"0"	"454"	"0"
"237"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"238"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"239"	"183A"	"230"	"108"	"53"	"4"	"5"	"1"	"13"	"8"	"8"	"40"	"470"	"0"	"470"	"0"
"240"	"184"	"241"	"108"	"119"	"2"	"1"	"1"	"8"	"3"	"3"	"8"	"494"	"0"	"494"	"0"
"241"	"184A"	"182"	"10"	"194"	"6"	"2"	"3"	"0"	"3"	"0"	"2"	"402"	"0"	"402"	"0"
"242"	"185"	"271"	"65"	"180"	"7"	"3"	"4"	"6"	"5"	"1"	"10"	"552"	"0"	"552"	"0"
"243"	"186"	"21"	"247"	"196"	"7"	"6"	"7"	"22"	"22"	"10"	"36"	"574"	"0"	"574"	"0"
"244"	"187"	"215"	"206"	"137"	"9"	"13"	"5"	"8"	"26"	"16"	"20"	"655"	"0"	"655"	"0"
"245"	"188"	"404"	"45"	"286"	"10"	"7"	"3"	"11"	"9"	"13"	"13"	"801"	"0"	"801"	"0"
"246"	"189"	"286"	"40"	"348"	"34"	"14"	"5"	"6"	"9"	"18"	"38"	"798"	"0"	"798"	"0"
"247"	"190"	"44"	"25"	"183"	"9"	"4"	"1"	"0"	"11"	"5"	"9"	"291"	"0"	"291"	"0"
"248"	"190A"	"195"	"52"	"171"	"9"	"4"	"4"	"1"	"3"	"5"	"10"	"454"	"0"	"454"	"0"
"249"	"191"	"286"	"87"	"166"	"5"	"2"	"1"	"9"	"8"	"3"	"5"	"572"	"0"	"572"	"0"
"250"	"192"	"333"	"39"	"187"	"27"	"4"	"2"	"11"	"4"	"7"	"21"	"635"	"0"	"635"	"0"
"251"	"193"	"301"	"15"	"73"	"53"	"2"	"6"	"43"	"6"	"9"	"33"	"541"	"0"	"541"	"0"
"252"	"193A"	"204"	"14"	"104"	"15"	"2"	"2"	"6"	"1"	"5"	"14"	"367"	"0"	"367"	"0"
"253"	"194"	"372"	"27"	"282"	"9"	"4"	"6"	"7"	"9"	"18"	"37"	"771"	"0"	"771"	"0"
"254"	"195"	"81"	"22"	"253"	"7"	"2"	"4"	"7"	"7"	"8"	"8"	"399"	"0"	"399"	"0"
"255"	"196"	"195"	"46"	"225"	"7"	"3"	"2"	"8"	"8"	"6"	"19"	"519"	"0"	"519"	"0"
"256"	"197"	"111"	"10"	"298"	"10"	"1"	"3"	"1"	"2"	"1"	"11"	"448"	"0"	"448"	"0"
"257"	"198"	"347"	"53"	"150"	"6"	"2"	"2"	"0"	"3"	"6"	"13"	"582"	"0"	"582"	"0"
"258"	"199"	"194"	"14"	"262"	"8"	"3"	"3"	"4"	"7"	"4"	"9"	"508"	"0"	"508"	"0"
"259"	"200"	"260"	"23"	"274"	"11"	"5"	"3"	"5"	"4"	"13"	"23"	"621"	"0"	"621"	"0"
"260"	"201"	"201"	"35"	"330"	"12"	"4"	"6"	"9"	"5"	"4"	"18"	"624"	"0"	"624"	"0"
"261"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"262"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"263"	"202"	"221"	"23"	"371"	"23"	"4"	"7"	"6"	"7"	"14"	"28"	"704"	"0"	"704"	"0"
"264"	"203"	"101"	"14"	"490"	"17"	"3"	"4"	"6"	"2"	"2"	"13"	"652"	"0"	"652"	"0"
"265"	"204"	"213"	"9"	"220"	"9"	"2"	"4"	"3"	"9"	"13"	"17"	"499"	"0"	"499"	"0"
"266"	"205"	"397"	"24"	"147"	"19"	"0"	"3"	"5"	"8"	"13"	"22"	"638"	"0"	"638"	"0"
"267"	"206"	"198"	"17"	"153"	"31"	"4"	"2"	"6"	"5"	"3"	"17"	"436"	"0"	"436"	"0"
"268"	"207"	"405"	"19"	"400"	"5"	"5"	"2"	"1"	"4"	"4"	"9"	"854"	"0"	"854"	"0"
"269"	"208"	"247"	"25"	"307"	"9"	"2"	"2"	"2"	"2"	"4"	"7"	"607"	"0"	"607"	"0"
"270"	"209"	"192"	"10"	"72"	"48"	"0"	"0"	"3"	"3"	"6"	"19"	"353"	"0"	"353"	"0"
"271"	"210"	"85"	"35"	"157"	"86"	"2"	"6"	"44"	"5"	"4"	"22"	"446"	"0"	"446"	"0"
"272"	"210A"	"151"	"12"	"126"	"51"	"6"	"5"	"8"	"9"	"5"	"31"	"404"	"0"	"404"	"0"
"273"	"211"	"180"	"34"	"84"	"89"	"2"	"1"	"6"	"4"	"2"	"25"	"427"	"0"	"427"	"0"
"274"	"212"	"254"	"27"	"189"	"85"	"3"	"6"	"13"	"4"	"6"	"27"	"614"	"0"	"614"	"0"
"275"	"213"	"247"	"24"	"212"	"134"	"9"	"13"	"14"	"7"	"3"	"44"	"707"	"0"	"707"	"0"
"276"	"214"	"169"	"29"	"90"	"33"	"1"	"0"	"1"	"4"	"4"	"18"	"349"	"0"	"349"	"0"
"277"	"215"	"124"	"3"	"174"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"307"	"0"	"307"	"0"
"278"	"216"	"164"	"10"	"262"	"3"	"2"	"0"	"2"	"2"	"1"	"15"	"461"	"0"	"461"	"0"
"279"	"217"	"164"	"14"	"446"	"17"	"1"	"2"	"2"	"1"	"6"	"8"	"661"	"0"	"661"	"0"
"280"	"218"	"152"	"30"	"460"	"16"	"7"	"0"	"9"	"10"	"10"	"30"	"724"	"0"	"724"	"0"
"281"	"219"	"284"	"22"	"174"	"6"	"3"	"1"	"1"	"0"	"3"	"11"	"505"	"0"	"505"	"0"
"282"	"220"	"250"	"21"	"297"	"10"	"3"	"2"	"5"	"3"	"3"	"21"	"615"	"0"	"615"	"0"
"283"	"221"	"31"	"4"	"194"	"3"	"0"	"0"	"0"	"3"	"2"	"2"	"239"	"0"	"239"	"0"
"284"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"285"	""	"rkj fd'kksj izlkn"	"QSt vkye"	"MkW0 jke izdk'k egrks"	"lat; csljk"	"larks\"k dq0 ;kno"	"izse dqekj"	"lejsUnz dq.kky"	"eukst ijk'kj"	"jkt dqekj pkS/kjh"	"lTtu dqekj 'kekZ"	""	""	""	""
"286"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k"	"47775"	"10393"	"47657"	"2139"	"945"	"709"	"1593"	"1288"	"1453"	"4644"	"118596"	"0"	"118596"	"0"
"287"	"Mkd eri=ksa ij vfHkfyf[kr erksa dh la[;k
¼lHkk fuokZpu& {ks= ls fuokZpu  dh n'kk esa Hkjk tk, ½"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"6"	"0"
"288"	"Mkys x, dqy er"	"47777"	"10393"	"47661"	"2139"	"945"	"709"	"1593"	"1288"	"1453"	"4644"	"118602"	"0"	"118602"	"0"
