"Serial..No.of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Vaild.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"196"	"164"	"3"	"59"	"150"	"48"	"3"	"6"	"4"	"7"	"13"	"7"	"300"	"-"	"300"	"-"
"197"	"165"	"11"	"11"	"201"	"182"	"3"	"7"	"13"	"9"	"18"	"11"	"466"	"-"	"466"	"-"
"198"	"166"	"3"	"4"	"83"	"230"	"4"	"1"	"4"	"9"	"7"	"8"	"353"	"-"	"353"	"-"
"199"	"167"	"4"	"2"	"89"	"168"	"5"	"0"	"10"	"9"	"8"	"7"	"302"	"-"	"302"	"-"
"200"	"168"	"21"	"17"	"331"	"81"	"10"	"1"	"9"	"9"	"18"	"14"	"511"	"-"	"511"	"-"
"201"	"169"	"10"	"7"	"125"	"123"	"5"	"6"	"8"	"14"	"10"	"5"	"313"	"-"	"313"	"-"
"202"	"169A"	"4"	"4"	"124"	"77"	"3"	"4"	"6"	"12"	"5"	"13"	"252"	"-"	"252"	"-"
"203"	"170"	"9"	"69"	"180"	"219"	"8"	"11"	"14"	"9"	"9"	"9"	"537"	"-"	"537"	"-"
"204"	"171"	"9"	"55"	"193"	"45"	"10"	"12"	"9"	"9"	"16"	"31"	"389"	"-"	"389"	"-"
"205"	"171A"	"13"	"28"	"173"	"112"	"6"	"4"	"10"	"7"	"10"	"24"	"387"	"-"	"387"	"-"
"206"	"172"	"12"	"46"	"433"	"33"	"2"	"4"	"3"	"11"	"16"	"11"	"571"	"-"	"571"	"-"
"207"	"173"	"38"	"17"	"186"	"80"	"7"	"7"	"5"	"11"	"28"	"26"	"405"	"-"	"405"	"-"
"208"	"174"	"8"	"28"	"244"	"254"	"12"	"3"	"15"	"20"	"15"	"9"	"608"	"-"	"608"	"-"
"209"	"175"	"24"	"50"	"86"	"217"	"7"	"14"	"33"	"29"	"25"	"31"	"516"	"-"	"516"	"-"
"210"	"176"	"8"	"124"	"96"	"100"	"12"	"14"	"13"	"13"	"11"	"12"	"403"	"-"	"403"	"-"
"211"	"177"	"10"	"8"	"173"	"50"	"2"	"3"	"4"	"6"	"6"	"5"	"267"	"-"	"267"	"-"
"212"	"177A"	"16"	"8"	"174"	"35"	"6"	"4"	"3"	"2"	"7"	"6"	"261"	"-"	"261"	"-"
"213"	"178"	"8"	"34"	"126"	"14"	"9"	"3"	"0"	"3"	"4"	"7"	"208"	"-"	"208"	"-"
"214"	"179"	"4"	"45"	"281"	"80"	"7"	"6"	"6"	"8"	"12"	"16"	"465"	"-"	"465"	"-"
"215"	"180"	"6"	"67"	"91"	"9"	"7"	"3"	"2"	"2"	"8"	"2"	"197"	"-"	"197"	"-"
"216"	"181"	"10"	"47"	"186"	"129"	"8"	"10"	"3"	"10"	"8"	"3"	"414"	"-"	"414"	"-"
"217"	"182"	"4"	"4"	"170"	"58"	"1"	"4"	"6"	"1"	"8"	"4"	"260"	"-"	"260"	"-"
"218"	"183"	"11"	"30"	"324"	"69"	"3"	"10"	"4"	"12"	"14"	"6"	"483"	"-"	"483"	"-"
"219"	"184"	"16"	"106"	"66"	"30"	"7"	"4"	"6"	"5"	"7"	"7"	"254"	"-"	"254"	"-"
"220"	"185"	"12"	"8"	"171"	"204"	"6"	"4"	"17"	"13"	"15"	"12"	"462"	"-"	"462"	"-"
"221"	"Total"	"2752"	"9705"	"30899"	"29516"	"1296"	"1286"	"2234"	"2047"	"2064"	"2481"	"84280"	"-"	"84280"	"-"
"222"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"223"	""	"Mohammad Zainul Abedin"	"Lal Babu Rai"	"Sanjay Kumar Gupta"	"Sunita Singh"	"Nagendra Kumar"	"Ajay Kumar"	"Bindeswar Ram"	"Lal Babu Sah"	"Lal Babu Singh"	"Sanjay Kumar"	""	""	""	""
"224"	"Total No. of Valid Votes recorded on Postal Ballot Papers for Candidates and of rejected Postal Ballot Papers"	"_"	"_"	"_"	"_"	"_"	""	"_"	"_"	"_"	"_"	"_"	"_"	""	""
"225"	"Grand
Total"	"2752"	"9705"	"30899"	"29516"	"1296"	"1286"	"2234"	"2047"	"2064"	"2481"	"84280"	"0"	"84280"	"0"
"226"	"Place :- Sitamarhi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Date :- 22 Nov. 2005                                                                                                                                                        Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
