"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"190"	"1"	"117"	"15"	"4"	"26"	"294"	"4"	"2"	"1"	"2"	"4"	"2"	"354"	"0"	"354"	"0"
"191"	"2"	"118"	"113"	"2"	"56"	"71"	"6"	"1"	"2"	"8"	"5"	"6"	"270"	"0"	"270"	"0"
"192"	"3"	"119"	"54"	"12"	"74"	"207"	"14"	"5"	"7"	"7"	"9"	"3"	"392"	"0"	"392"	"0"
"193"	"4"	"119Ka"	"70"	"19"	"20"	"168"	"3"	"3"	"4"	"12"	"4"	"12"	"315"	"0"	"315"	"0"
"194"	"5"	"120"	"189"	"1"	"37"	"40"	"8"	"3"	"5"	"7"	"3"	"6"	"299"	"0"	"299"	"0"
"195"	"6"	"121"	"245"	"42"	"80"	"63"	"7"	"8"	"3"	"8"	"8"	"15"	"479"	"0"	"479"	"0"
"196"	"7"	"122"	"81"	"6"	"51"	"139"	"9"	"3"	"7"	"17"	"3"	"10"	"326"	"0"	"326"	"0"
"197"	"8"	"123"	"164"	"5"	"28"	"143"	"14"	"4"	"12"	"11"	"6"	"10"	"397"	"0"	"397"	"0"
"198"	"9"	"124"	"49"	"4"	"47"	"165"	"9"	"6"	"5"	"14"	"5"	"8"	"312"	"0"	"312"	"0"
"199"	"10"	"125"	"10"	"0"	"2"	"238"	"11"	"1"	"12"	"3"	"4"	"4"	"285"	"0"	"285"	"0"
"200"	"11"	"126"	"127"	"4"	"8"	"28"	"3"	"1"	"1"	"6"	"1"	"10"	"189"	"0"	"189"	"0"
"201"	"12"	"127"	"72"	"22"	"108"	"120"	"11"	"13"	"12"	"13"	"6"	"18"	"395"	"0"	"395"	"0"
"202"	"13"	"128"	"146"	"10"	"19"	"221"	"10"	"2"	"5"	"6"	"2"	"2"	"423"	"0"	"423"	"0"
"203"	"14"	"129"	"55"	"47"	"16"	"48"	"8"	"2"	"5"	"7"	"8"	"15"	"211"	"0"	"211"	"0"
"204"	"Total"	""	"1390"	"178"	"572"	"1945"	"117"	"54"	"81"	"121"	"68"	"121"	"4647"	"0"	"4647"	"0"
"205"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"206"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"207"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"208"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"209"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"210"	"1"	"130"	"257"	"0"	"5"	"3"	"6"	"1"	"1"	"0"	"4"	"5"	"282"	"0"	"282"	"0"
"211"	"2"	"131"	"19"	"2"	"12"	"342"	"5"	"1"	"6"	"14"	"2"	"2"	"405"	"0"	"405"	"0"
"212"	"3"	"132"	"1"	"0"	"74"	"115"	"0"	"1"	"2"	"1"	"1"	"0"	"195"	"0"	"195"	"0"
"213"	"4"	"133"	"235"	"38"	"143"	"51"	"11"	"2"	"7"	"4"	"10"	"6"	"507"	"0"	"507"	"0"
"214"	"5"	"134"	"129"	"2"	"15"	"81"	"8"	"1"	"0"	"9"	"2"	"4"	"251"	"0"	"251"	"0"
"215"	"6"	"135"	"127"	"15"	"45"	"116"	"13"	"4"	"3"	"11"	"4"	"15"	"353"	"0"	"353"	"0"
"216"	"7"	"136"	"183"	"9"	"9"	"59"	"9"	"3"	"2"	"4"	"4"	"0"	"282"	"0"	"282"	"0"
"217"	"8"	"137"	"109"	"4"	"38"	"91"	"6"	"4"	"7"	"7"	"11"	"15"	"292"	"0"	"292"	"0"
"218"	"9"	"138"	"159"	"162"	"84"	"122"	"23"	"3"	"11"	"9"	"9"	"18"	"600"	"0"	"600"	"0"
"219"	"10"	"139"	"198"	"5"	"8"	"133"	"21"	"1"	"4"	"11"	"5"	"4"	"390"	"0"	"390"	"0"
"220"	"11"	"140"	"270"	"5"	"20"	"130"	"30"	"2"	"5"	"10"	"2"	"9"	"483"	"0"	"483"	"0"
"221"	"12"	"141"	"172"	"2"	"13"	"169"	"14"	"5"	"6"	"9"	"2"	"7"	"399"	"0"	"399"	"0"
"222"	"13"	"142"	"166"	"5"	"58"	"62"	"16"	"4"	"4"	"9"	"9"	"15"	"348"	"0"	"348"	"0"
"223"	"14"	"143"	"200"	"4"	"8"	"64"	"9"	"6"	"2"	"4"	"2"	"6"	"305"	"0"	"305"	"0"
"224"	"Total"	""	"2225"	"253"	"532"	"1538"	"171"	"38"	"60"	"102"	"67"	"106"	"5092"	"0"	"5092"	"0"
"225"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"226"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"227"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"228"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"229"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"230"	"1"	"144"	"145"	"2"	"2"	"74"	"13"	"0"	"1"	"3"	"4"	"1"	"245"	"0"	"245"	"0"
"231"	"2"	"145"	"197"	"4"	"13"	"68"	"14"	"2"	"0"	"5"	"3"	"8"	"314"	"0"	"314"	"0"
"232"	"3"	"146"	"162"	"2"	"10"	"43"	"7"	"0"	"4"	"3"	"1"	"3"	"235"	"0"	"235"	"0"
"233"	"4"	"147"	"72"	"3"	"12"	"169"	"12"	"1"	"5"	"2"	"6"	"9"	"291"	"0"	"291"	"0"
"234"	"5"	"148"	"97"	"12"	"17"	"182"	"11"	"4"	"3"	"5"	"1"	"2"	"334"	"0"	"334"	"0"
"235"	"6"	"149"	"248"	"7"	"21"	"69"	"13"	"3"	"1"	"1"	"0"	"5"	"368"	"0"	"368"	"0"
"236"	"7"	"150"	"126"	"1"	"8"	"55"	"3"	"1"	"0"	"0"	"0"	"3"	"197"	"0"	"197"	"0"
"237"	"8"	"151"	"265"	"10"	"10"	"106"	"10"	"5"	"6"	"12"	"3"	"9"	"436"	"0"	"436"	"0"
"238"	"9"	"152"	"217"	"9"	"30"	"103"	"16"	"5"	"6"	"7"	"4"	"6"	"403"	"0"	"403"	"0"
"239"	"10"	"153"	"37"	"1"	"12"	"220"	"7"	"3"	"8"	"11"	"4"	"15"	"318"	"0"	"318"	"0"
"240"	"11"	"154"	"116"	"23"	"19"	"38"	"11"	"4"	"1"	"4"	"3"	"10"	"229"	"0"	"229"	"0"
"241"	"12"	"155"	"74"	"62"	"31"	"114"	"11"	"5"	"5"	"9"	"13"	"7"	"331"	"0"	"331"	"0"
"242"	"13"	"156"	"61"	"13"	"70"	"171"	"7"	"2"	"13"	"10"	"3"	"7"	"357"	"0"	"357"	"0"
"243"	"14"	"157"	"370"	"3"	"8"	"7"	"6"	"2"	"4"	"1"	"3"	"1"	"405"	"0"	"405"	"0"
"244"	"Total"	""	"2187"	"152"	"263"	"1419"	"141"	"37"	"57"	"73"	"48"	"86"	"4463"	"0"	"4463"	"0"
"245"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"246"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"247"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"248"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"249"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"250"	"1"	"158"	"29"	"3"	"91"	"190"	"7"	"2"	"2"	"3"	"5"	"13"	"345"	"0"	"345"	"0"
"251"	"2"	"159"	"113"	"22"	"7"	"65"	"5"	"2"	"2"	"7"	"0"	"3"	"226"	"0"	"226"	"0"
"252"	"3"	"160"	"242"	"8"	"7"	"9"	"1"	"1"	"1"	"0"	"0"	"1"	"270"	"0"	"270"	"0"
"253"	"4"	"161"	"74"	"4"	"95"	"74"	"12"	"4"	"7"	"4"	"9"	"9"	"292"	"0"	"292"	"0"
"254"	"5"	"162"	"150"	"1"	"2"	"30"	"9"	"1"	"0"	"1"	"0"	"1"	"195"	"0"	"195"	"0"
"255"	"6"	"163"	"21"	"4"	"29"	"385"	"4"	"2"	"2"	"6"	"5"	"9"	"467"	"0"	"467"	"0"
"256"	"7"	"164"	"22"	"1"	"9"	"287"	"5"	"0"	"0"	"2"	"1"	"1"	"328"	"0"	"328"	"0"
"257"	"8"	"165"	"232"	"10"	"72"	"72"	"14"	"10"	"11"	"4"	"6"	"14"	"445"	"0"	"445"	"0"
"258"	"9"	"166"	"25"	"5"	"18"	"172"	"10"	"10"	"4"	"7"	"4"	"18"	"273"	"0"	"273"	"0"
"259"	"10"	"167"	"313"	"17"	"77"	"70"	"18"	"7"	"10"	"6"	"9"	"6"	"533"	"0"	"533"	"0"
"260"	"11"	"168"	"240"	"27"	"5"	"59"	"10"	"2"	"1"	"0"	"2"	"7"	"353"	"0"	"353"	"0"
"261"	"12"	"169"	"89"	"17"	"112"	"96"	"15"	"4"	"7"	"17"	"12"	"27"	"396"	"0"	"396"	"0"
"262"	"13"	"170"	"88"	"4"	"27"	"135"	"6"	"3"	"10"	"5"	"4"	"10"	"292"	"0"	"292"	"0"
"263"	"14"	"171"	"10"	"4"	"19"	"110"	"3"	"0"	"4"	"1"	"0"	"3"	"154"	"0"	"154"	"0"
"264"	"Total"	""	"1648"	"127"	"570"	"1754"	"119"	"48"	"61"	"63"	"57"	"122"	"4569"	"0"	"4569"	"0"
"265"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"266"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"267"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"268"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"269"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"270"	"1"	"172"	"235"	"5"	"17"	"202"	"17"	"3"	"4"	"4"	"2"	"11"	"500"	"0"	"500"	"0"
"271"	"2"	"173"	"132"	"3"	"64"	"157"	"21"	"10"	"6"	"8"	"5"	"15"	"421"	"0"	"421"	"0"
"272"	"3"	"174"	"81"	"3"	"14"	"38"	"7"	"1"	"1"	"5"	"3"	"9"	"162"	"0"	"162"	"0"
"273"	"4"	"175"	"44"	"3"	"9"	"111"	"4"	"1"	"3"	"5"	"1"	"2"	"183"	"0"	"183"	"0"
"274"	"5"	"176"	"113"	"6"	"58"	"166"	"17"	"2"	"8"	"9"	"9"	"26"	"414"	"0"	"414"	"0"
"275"	"6"	"177"	"229"	"0"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"0"	"238"	"0"
"276"	"7"	"178"	"17"	"15"	"28"	"135"	"9"	"4"	"8"	"10"	"1"	"2"	"229"	"0"	"229"	"0"
"277"	"8"	"179"	"213"	"2"	"12"	"163"	"13"	"4"	"5"	"16"	"6"	"16"	"450"	"0"	"450"	"0"
"278"	"9"	"180"	"96"	"12"	"12"	"116"	"12"	"7"	"7"	"6"	"10"	"36"	"314"	"0"	"314"	"0"
"279"	"10"	"181"	"208"	"6"	"11"	"244"	"14"	"2"	"4"	"17"	"3"	"7"	"516"	"0"	"516"	"0"
"280"	"11"	"182"	"24"	"1"	"4"	"186"	"9"	"2"	"3"	"7"	"3"	"4"	"243"	"0"	"243"	"0"
"281"	"12"	"183"	"388"	"5"	"11"	"68"	"10"	"4"	"2"	"7"	"3"	"4"	"502"	"0"	"502"	"0"
"282"	"13"	"184"	"175"	"5"	"1"	"39"	"4"	"2"	"1"	"0"	"1"	"3"	"231"	"0"	"231"	"0"
"283"	"14"	"185"	"313"	"1"	"1"	"43"	"5"	"1"	"0"	"1"	"0"	"0"	"365"	"0"	"365"	"0"
"284"	"Total"	""	"2268"	"67"	"247"	"1672"	"142"	"43"	"52"	"95"	"47"	"135"	"4768"	"0"	"4768"	"0"
"285"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"286"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"287"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"288"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"289"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"290"	"1"	"186"	"83"	"0"	"2"	"60"	"8"	"2"	"3"	"5"	"3"	"4"	"170"	"0"	"170"	"0"
"291"	"2"	"187"	"159"	"2"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"8"	"175"	"0"	"175"	"0"
"292"	"3"	"188"	"372"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"375"	"0"	"375"	"0"
"293"	"4"	"189"	"216"	"1"	"7"	"6"	"2"	"0"	"0"	"0"	"1"	"0"	"233"	"0"	"233"	"0"
"294"	"5"	"190"	"378"	"2"	"9"	"11"	"1"	"0"	"0"	"2"	"0"	"2"	"405"	"0"	"405"	"0"
"295"	"6"	"191"	"245"	"1"	"2"	"8"	"8"	"0"	"0"	"0"	"0"	"2"	"266"	"0"	"266"	"0"
"296"	"7"	"192"	"69"	"0"	"4"	"57"	"3"	"0"	"0"	"2"	"0"	"0"	"135"	"0"	"135"	"0"
"297"	"8"	"193"	"22"	"1"	"1"	"14"	"4"	"0"	"0"	"2"	"0"	"16"	"60"	"0"	"60"	"0"
"298"	"9"	"194"	"65"	"5"	"44"	"220"	"11"	"9"	"5"	"16"	"5"	"2"	"382"	"0"	"382"	"0"
"299"	"10"	"195"	"251"	"9"	"32"	"138"	"24"	"6"	"4"	"10"	"10"	"12"	"496"	"0"	"496"	"0"
"300"	"11"	"196"	"12"	"3"	"7"	"400"	"5"	"1"	"1"	"3"	"0"	"0"	"432"	"0"	"432"	"0"
"301"	"12"	"197"	"49"	"6"	"39"	"401"	"14"	"2"	"7"	"6"	"4"	"8"	"536"	"0"	"536"	"0"
"302"	"13"	"198"	"195"	"12"	"14"	"242"	"19"	"5"	"5"	"5"	"7"	"9"	"513"	"0"	"513"	"0"
"303"	"14"	"199"	"147"	"7"	"7"	"452"	"20"	"10"	"6"	"16"	"3"	"11"	"679"	"0"	"679"	"0"
"304"	"Total"	""	"2263"	"49"	"169"	"2015"	"120"	"35"	"31"	"67"	"34"	"74"	"4857"	"0"	"4857"	"0"
"305"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"306"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"307"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"308"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"309"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"310"	"1"	"200"	"125"	"1"	"2"	"89"	"6"	"0"	"1"	"1"	"0"	"1"	"226"	"0"	"226"	"0"
"311"	"2"	"201"	"138"	"8"	"43"	"181"	"14"	"13"	"10"	"18"	"15"	"36"	"476"	"0"	"476"	"0"
"312"	"3"	"202"	"184"	"9"	"117"	"90"	"13"	"4"	"12"	"9"	"4"	"8"	"450"	"0"	"450"	"0"
"313"	"4"	"203"	"201"	"6"	"28"	"136"	"23"	"5"	"3"	"2"	"5"	"14"	"423"	"0"	"423"	"0"
"314"	"5"	"204"	"174"	"13"	"22"	"81"	"12"	"2"	"1"	"4"	"4"	"5"	"318"	"0"	"318"	"0"
"315"	"6"	"205"	"118"	"9"	"41"	"117"	"21"	"6"	"10"	"7"	"6"	"19"	"354"	"0"	"354"	"0"
"316"	"7"	"206"	"49"	"27"	"54"	"45"	"12"	"1"	"2"	"3"	"8"	"8"	"209"	"0"	"209"	"0"
"317"	"8"	"207"	"117"	"5"	"30"	"46"	"8"	"4"	"4"	"4"	"6"	"8"	"232"	"0"	"232"	"0"
"318"	"9"	"207Ka"	"75"	"2"	"5"	"79"	"5"	"5"	"4"	"2"	"2"	"5"	"184"	"0"	"184"	"0"
"319"	"10"	"208"	"64"	"36"	"31"	"60"	"10"	"3"	"3"	"7"	"6"	"10"	"230"	"0"	"230"	"0"
"320"	"11"	"209"	"75"	"4"	"10"	"95"	"13"	"3"	"3"	"5"	"4"	"1"	"213"	"0"	"213"	"0"
"321"	"12"	"210"	"294"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"0"	"301"	"0"
"322"	"13"	"211"	"80"	"5"	"17"	"217"	"20"	"9"	"10"	"9"	"11"	"30"	"408"	"0"	"408"	"0"
"323"	"14"	"212"	"133"	"17"	"35"	"133"	"23"	"13"	"8"	"10"	"11"	"32"	"415"	"0"	"415"	"0"
"324"	"Total"	""	"1827"	"142"	"442"	"1367"	"180"	"68"	"71"	"81"	"82"	"177"	"4437"	"0"	"4437"	"0"
"325"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"326"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"327"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"328"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"329"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"330"	"1"	"213"	"209"	"2"	"85"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"301"	"0"	"301"	"0"
"331"	"2"	"214"	"32"	"6"	"2"	"47"	"3"	"0"	"1"	"0"	"2"	"5"	"98"	"0"	"98"	"0"
"332"	"3"	"215"	"295"	"0"	"3"	"1"	"4"	"0"	"1"	"0"	"0"	"2"	"306"	"0"	"306"	"0"
"333"	"4"	"216"	"231"	"1"	"9"	"3"	"4"	"1"	"0"	"1"	"1"	"4"	"255"	"0"	"255"	"0"
"334"	"5"	"217"	"128"	"7"	"10"	"41"	"5"	"3"	"1"	"2"	"2"	"3"	"202"	"0"	"202"	"0"
"335"	"6"	"218"	"130"	"7"	"23"	"198"	"11"	"8"	"11"	"14"	"5"	"17"	"424"	"0"	"424"	"0"
"336"	"7"	"219"	"50"	"6"	"26"	"258"	"16"	"3"	"3"	"5"	"4"	"2"	"373"	"0"	"373"	"0"
"337"	"8"	"220"	"108"	"12"	"73"	"57"	"5"	"4"	"8"	"4"	"5"	"14"	"290"	"0"	"290"	"0"
"338"	"9"	"221"	"113"	"1"	"20"	"95"	"4"	"1"	"1"	"4"	"4"	"6"	"249"	"0"	"249"	"0"
"339"	"10"	"222"	"143"	"41"	"22"	"131"	"9"	"5"	"7"	"10"	"7"	"17"	"392"	"0"	"392"	"0"
"340"	"11"	"223"	"172"	"14"	"47"	"180"	"21"	"11"	"9"	"9"	"16"	"34"	"513"	"0"	"513"	"0"
"341"	"12"	"224"	"119"	"3"	"42"	"118"	"17"	"7"	"6"	"8"	"4"	"11"	"335"	"0"	"335"	"0"
"342"	"13"	"225"	"405"	"0"	"4"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"414"	"0"	"414"	"0"
"343"	"14"	"226"	"107"	"2"	"3"	"8"	"6"	"1"	"0"	"0"	"1"	"4"	"132"	"0"	"132"	"0"
"344"	"Total"	""	"2242"	"102"	"369"	"1142"	"108"	"44"	"49"	"57"	"51"	"120"	"4284"	"0"	"4284"	"0"
"345"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"346"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"347"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"348"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"349"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"350"	"1"	"227"	"115"	"6"	"21"	"52"	"9"	"1"	"2"	"7"	"3"	"3"	"219"	"0"	"219"	"0"
"351"	"2"	"228"	"43"	"8"	"53"	"105"	"5"	"1"	"8"	"5"	"3"	"9"	"240"	"0"	"240"	"0"
"352"	"3"	"229"	"102"	"35"	"31"	"19"	"3"	"3"	"7"	"1"	"3"	"7"	"211"	"0"	"211"	"0"
"353"	"4"	"230"	"227"	"12"	"213"	"39"	"7"	"3"	"3"	"2"	"5"	"6"	"517"	"0"	"517"	"0"
"354"	"5"	"231"	"168"	"21"	"130"	"147"	"16"	"6"	"7"	"14"	"11"	"15"	"535"	"0"	"535"	"0"
"355"	"6"	"232"	"55"	"4"	"41"	"39"	"5"	"1"	"2"	"4"	"4"	"1"	"156"	"0"	"156"	"0"
"356"	"7"	"233"	"19"	"6"	"100"	"20"	"2"	"0"	"8"	"5"	"4"	"3"	"167"	"0"	"167"	"0"
"357"	"8"	"234"	"242"	"27"	"70"	"165"	"28"	"10"	"15"	"10"	"14"	"30"	"611"	"0"	"611"	"0"
"358"	"9"	"235"	"190"	"9"	"72"	"123"	"13"	"0"	"4"	"6"	"3"	"6"	"426"	"0"	"426"	"0"
"359"	"10"	"236"	"42"	"13"	"38"	"210"	"20"	"6"	"7"	"9"	"7"	"8"	"360"	"0"	"360"	"0"
"360"	"11"	"237"	"103"	"2"	"3"	"40"	"2"	"0"	"0"	"0"	"0"	"3"	"153"	"0"	"153"	"0"
"361"	"12"	"238"	"106"	"11"	"11"	"159"	"1"	"5"	"4"	"7"	"3"	"11"	"318"	"0"	"318"	"0"
"362"	"13"	"239"	"4"	"2"	"5"	"194"	"7"	"0"	"2"	"6"	"1"	"1"	"222"	"0"	"222"	"0"
"363"	"14"	"240"	"2"	"0"	"2"	"269"	"1"	"0"	"0"	"0"	"0"	"0"	"274"	"0"	"274"	"0"
"364"	"Total"	""	"1418"	"156"	"790"	"1581"	"119"	"36"	"69"	"76"	"61"	"103"	"4409"	"0"	"4409"	"0"
"365"	"Table"	"Sl. No."	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total No."	"No. of"	"Total no."	"Total No."
"366"	"No."	"of"	"DR. ANIL KUMAR"	"RAJESH KUMARALIAS MUNNA RAJ"	"SHASHIKANT SHARMA"	"SHEO BACHAN YADAV"	"USHA SINGH"	"DEEPAK DIXIT"	"DIP NARAYAN SHARMA"	"RAJ NANDAN MANJHI"	"SANJAY PASWAN"	"SUJEET KUMAR"	"of valid"	"rejecte"	"of Votes"	"of"
"367"	""	"Polling"	""	""	""	""	""	""	""	""	""	""	"votes"	"d votes"	""	"tendered"
"368"	""	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"369"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"370"	"1"	"241"	"562"	"4"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"573"	"0"	"573"	"0"
"371"	"2"	"242"	"21"	"3"	"11"	"91"	"6"	"1"	"5"	"3"	"1"	"4"	"146"	"0"	"146"	"0"
"372"	"3"	"243"	"203"	"2"	"1"	"65"	"7"	"2"	"0"	"4"	"1"	"1"	"286"	"0"	"286"	"0"
"373"	"4"	"244"	"24"	"5"	"14"	"221"	"14"	"4"	"8"	"13"	"4"	"10"	"317"	"0"	"317"	"0"
"374"	"5"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"375"	"6"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"376"	"7"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"377"	"8"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"378"	"9"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"379"	"10"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"380"	"11"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"381"	"12"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"382"	"13"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"383"	"14"	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"384"	"Total"	""	"810"	"14"	"26"	"384"	"27"	"7"	"13"	"20"	"6"	"15"	"1322"	"0"	"1322"	"0"
