"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"186"	"98"	"122"	"5"	"59"	"5"	"1"	"2"	"0"	"2"	"2"	"6"	"0"	"3"	"207"	""	"207"	""
"187"	"99"	"12"	"349"	"9"	"3"	"17"	"3"	"5"	"3"	"3"	"4"	"6"	"48"	"462"	""	"462"	""
"188"	"99A"	"4"	"172"	"5"	"1"	"5"	"1"	"3"	"3"	"1"	"2"	"2"	"69"	"268"	""	"268"	""
"189"	"100"	"13"	"216"	"8"	"43"	"10"	"0"	"4"	"8"	"3"	"3"	"6"	"274"	"588"	""	"588"	""
"190"	"101"	"213"	"216"	"41"	"34"	"42"	"4"	"2"	"2"	"0"	"1"	"1"	"22"	"578"	""	"578"	""
"191"	"102"	"13"	"233"	"19"	"0"	"15"	"2"	"0"	"0"	"0"	"1"	"0"	"106"	"389"	""	"389"	""
"192"	"103"	"141"	"73"	"173"	"14"	"22"	"4"	"4"	"4"	"7"	"1"	"5"	"25"	"473"	""	"473"	""
"193"	"104"	"101"	"25"	"297"	"56"	"18"	"7"	"4"	"5"	"14"	"14"	"5"	"20"	"566"	""	"566"	""
"194"	"105"	"45"	"10"	"315"	"15"	"13"	"1"	"0"	"2"	"1"	"3"	"2"	"4"	"411"	""	"411"	""
"195"	"Current Round Total"	"916"	"1624"	"2309"	"200"	"625"	"67"	"34"	"40"	"69"	"56"	"58"	"694"	"6692"	"0"	"6692"	"0"
"196"	"Previous Round Total"	"7403"	"14003"	"22536"	"871"	"2280"	"671"	"370"	"480"	"1090"	"2499"	"752"	"2882"	"55837"	"0"	"55837"	"0"
"197"	"TOTAL"	"8319"	"15627"	"24845"	"1071"	"2905"	"738"	"404"	"520"	"1159"	"2555"	"810"	"3576"	"62529"	"0"	"62529"	"0"
"198"	"(Statutory Rules and Order)                                                      ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"204"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"206"	"106"	"147"	"22"	"454"	"41"	"5"	"8"	"3"	"4"	"7"	"5"	"1"	"7"	"704"	""	"704"	""
"207"	"107"	"61"	"52"	"248"	"9"	"6"	"10"	"4"	"5"	"24"	"20"	"9"	"151"	"599"	""	"599"	""
"208"	"108"	"255"	"22"	"84"	"18"	"9"	"4"	"1"	"1"	"3"	"3"	"5"	"70"	"475"	""	"475"	""
"209"	"109"	"35"	"45"	"414"	"3"	"1"	"9"	"2"	"0"	"9"	"18"	"2"	"6"	"544"	""	"544"	""
"210"	"110"	"30"	"79"	"349"	"5"	"0"	"3"	"0"	"1"	"6"	"11"	"2"	"1"	"487"	""	"487"	""
"211"	"111"	"121"	"47"	"251"	"23"	"169"	"6"	"6"	"5"	"6"	"7"	"4"	"11"	"656"	""	"656"	""
"212"	"112"	"15"	"15"	"475"	"4"	"65"	"11"	"4"	"4"	"25"	"9"	"8"	"17"	"652"	""	"652"	""
"213"	"113"	"6"	"12"	"281"	"5"	"42"	"9"	"7"	"6"	"16"	"10"	"7"	"22"	"423"	""	"423"	""
"214"	"114"	"15"	"23"	"3"	"4"	"229"	"1"	"3"	"1"	"3"	"0"	"4"	"21"	"307"	""	"307"	""
"215"	"115"	"23"	"167"	"119"	"16"	"5"	"6"	"2"	"1"	"1"	"2"	"1"	"30"	"373"	""	"373"	""
"216"	"116"	"13"	"383"	"5"	"2"	"4"	"5"	"3"	"1"	"0"	"1"	"1"	"12"	"430"	""	"430"	""
"217"	"117"	"31"	"64"	"13"	"3"	"12"	"0"	"6"	"3"	"1"	"5"	"14"	"560"	"712"	""	"712"	""
"218"	"118"	"17"	"117"	"42"	"1"	"5"	"1"	"2"	"2"	"1"	"6"	"4"	"250"	"448"	""	"448"	""
"219"	"119"	"83"	"56"	"279"	"9"	"1"	"6"	"0"	"2"	"11"	"6"	"2"	"28"	"483"	""	"483"	""
"220"	"Current Round Total"	"852"	"1104"	"3017"	"143"	"553"	"79"	"43"	"36"	"113"	"103"	"64"	"1186"	"7293"	"0"	"7293"	"0"
"221"	"Previous Round Total"	"8319"	"15627"	"24845"	"1071"	"2905"	"738"	"404"	"520"	"1159"	"2555"	"810"	"3576"	"62529"	"0"	"62529"	"0"
"222"	"TOTAL"	"9171"	"16731"	"27862"	"1214"	"3458"	"817"	"447"	"556"	"1272"	"2658"	"874"	"4762"	"69822"	"0"	"69822"	"0"
"223"	"(Statutory Rules and Order)                                                      ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"229"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"231"	"120"	"20"	"62"	"213"	"9"	"2"	"5"	"1"	"2"	"5"	"6"	"6"	"237"	"568"	""	"568"	""
"232"	"121"	"62"	"97"	"428"	"22"	"12"	"14"	"5"	"3"	"1"	"3"	"3"	"16"	"666"	""	"666"	""
"233"	"122"	"125"	"8"	"181"	"8"	"1"	"3"	"2"	"6"	"6"	"2"	"2"	"9"	"353"	""	"353"	""
"234"	"123"	"8"	"70"	"457"	"13"	"2"	"12"	"2"	"3"	"14"	"9"	"4"	"20"	"614"	""	"614"	""
"235"	"124"	"21"	"99"	"448"	"16"	"7"	"14"	"7"	"5"	"17"	"6"	"12"	"141"	"793"	""	"793"	""
"236"	"125"	"31"	"107"	"9"	"4"	"57"	"4"	"5"	"4"	"2"	"2"	"12"	"209"	"446"	""	"446"	""
"237"	"126"	"10"	"147"	"4"	"5"	"105"	"3"	"2"	"0"	"4"	"3"	"5"	"94"	"382"	""	"382"	""
"238"	"127"	"46"	"112"	"363"	"13"	"12"	"20"	"3"	"8"	"18"	"20"	"9"	"40"	"664"	""	"664"	""
"239"	"128"	"7"	"158"	"288"	"10"	"1"	"10"	"6"	"3"	"7"	"8"	"3"	"37"	"538"	""	"538"	""
"240"	"129"	"12"	"425"	"93"	"4"	"7"	"1"	"2"	"4"	"4"	"4"	"17"	"124"	"697"	""	"697"	""
"241"	"130"	"11"	"246"	"133"	"2"	"0"	"1"	"1"	"1"	"4"	"1"	"4"	"159"	"563"	""	"563"	""
"242"	"131"	"20"	"308"	"4"	"2"	"0"	"1"	"1"	"2"	"1"	"0"	"2"	"23"	"364"	""	"364"	""
"243"	"132"	"23"	"45"	"213"	"6"	"1"	"5"	"2"	"5"	"2"	"2"	"1"	"9"	"314"	""	"314"	""
"244"	"133"	"9"	"236"	"43"	"4"	"10"	"2"	"3"	"1"	"6"	"3"	"14"	"114"	"445"	""	"445"	""
"245"	"Current Round Total"	"405"	"2120"	"2877"	"118"	"217"	"95"	"42"	"47"	"91"	"69"	"94"	"1232"	"7407"	"0"	"7407"	"0"
"246"	"Previous Round Total"	"9171"	"16731"	"27862"	"1214"	"3458"	"817"	"447"	"556"	"1272"	"2658"	"874"	"4762"	"69822"	"0"	"69822"	"0"
"247"	"TOTAL"	"9576"	"18851"	"30739"	"1332"	"3675"	"912"	"489"	"603"	"1363"	"2727"	"968"	"5994"	"77229"	"0"	"77229"	"0"
"248"	"(Statutory Rules and Order)                                                      ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"254"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"256"	"134"	"42"	"285"	"4"	"6"	"4"	"1"	"3"	"2"	"2"	"1"	"9"	"243"	"602"	""	"602"	""
"257"	"135"	"19"	"88"	"43"	"3"	"7"	"5"	"1"	"2"	"4"	"4"	"10"	"172"	"358"	""	"358"	""
"258"	"136"	"21"	"42"	"1"	"1"	"2"	"1"	"5"	"1"	"1"	"4"	"9"	"198"	"286"	""	"286"	""
"259"	"137"	"22"	"63"	"5"	"2"	"2"	"1"	"2"	"4"	"4"	"6"	"8"	"354"	"473"	""	"473"	""
"260"	"138"	"4"	"101"	"1"	"3"	"16"	"0"	"1"	"2"	"3"	"3"	"6"	"93"	"233"	""	"233"	""
"261"	"139"	"32"	"95"	"32"	"8"	"4"	"3"	"6"	"3"	"7"	"25"	"10"	"401"	"626"	""	"626"	""
"262"	"140"	"22"	"46"	"54"	"11"	"11"	"2"	"5"	"0"	"4"	"5"	"5"	"331"	"496"	""	"496"	""
"263"	"141"	"25"	"36"	"69"	"4"	"5"	"2"	"1"	"3"	"4"	"5"	"13"	"460"	"627"	""	"627"	""
"264"	"142"	"50"	"151"	"21"	"5"	"4"	"2"	"5"	"2"	"2"	"6"	"5"	"275"	"528"	""	"528"	""
"265"	"143"	"6"	"61"	"13"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"72"	"156"	""	"156"	""
"266"	"143A"	"45"	"150"	"24"	"7"	"1"	"1"	"3"	"2"	"2"	"4"	"12"	"139"	"390"	""	"390"	""
"267"	"144"	"269"	"101"	"76"	"19"	"1"	"7"	"8"	"6"	"12"	"32"	"2"	"36"	"569"	""	"569"	""
"268"	"145"	"12"	"66"	"457"	"15"	"6"	"7"	"1"	"4"	"16"	"11"	"6"	"20"	"621"	""	"621"	""
"269"	"146"	"19"	"26"	"210"	"18"	"2"	"6"	"4"	"3"	"6"	"2"	"0"	"14"	"310"	""	"310"	""
"270"	"Current Round Total"	"588"	"1311"	"1010"	"104"	"65"	"38"	"46"	"34"	"67"	"109"	"95"	"2808"	"6275"	"0"	"6275"	"0"
"271"	"Previous Round Total"	"9576"	"18851"	"30739"	"1332"	"3675"	"912"	"489"	"603"	"1363"	"2727"	"968"	"5994"	"77229"	"0"	"77229"	"0"
"272"	"TOTAL"	"10164"	"20162"	"31749"	"1436"	"3740"	"950"	"535"	"637"	"1430"	"2836"	"1063"	"8802"	"83504"	"0"	"83504"	"0"
"273"	"(Statutory Rules and Order)                                                      ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"279"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"281"	"146A"	"17"	"35"	"289"	"22"	"1"	"5"	"1"	"4"	"6"	"5"	"4"	"102"	"491"	""	"491"	""
"282"	"147"	"13"	"48"	"418"	"12"	"0"	"9"	"3"	"4"	"22"	"3"	"13"	"42"	"587"	""	"587"	""
"283"	"148"	"9"	"23"	"430"	"9"	"2"	"4"	"5"	"2"	"8"	"6"	"2"	"10"	"510"	""	"510"	""
"284"	"149"	"36"	"29"	"148"	"54"	"3"	"4"	"5"	"4"	"18"	"7"	"13"	"280"	"601"	""	"601"	""
"285"	"150"	"23"	"74"	"13"	"2"	"1"	"0"	"3"	"2"	"1"	"4"	"9"	"349"	"481"	""	"481"	""
"286"	"151"	"14"	"51"	"20"	"0"	"2"	"0"	"1"	"2"	"0"	"4"	"7"	"274"	"375"	""	"375"	""
"287"	"152"	"46"	"91"	"28"	"12"	"1"	"5"	"4"	"3"	"4"	"4"	"19"	"285"	"502"	""	"502"	""
"288"	"153"	"13"	"112"	"50"	"13"	"6"	"5"	"7"	"2"	"4"	"7"	"9"	"167"	"395"	""	"395"	""
"289"	"154"	"30"	"135"	"331"	"55"	"4"	"0"	"2"	"2"	"8"	"7"	"4"	"15"	"593"	""	"593"	""
"290"	"155"	"10"	"20"	"581"	"69"	"2"	"13"	"5"	"6"	"28"	"24"	"9"	"22"	"789"	""	"789"	""
"291"	"156"	"17"	"32"	"638"	"21"	"6"	"23"	"4"	"6"	"16"	"13"	"6"	"39"	"821"	""	"821"	""
"292"	"157"	"35"	"18"	"39"	"362"	"12"	"8"	"7"	"11"	"14"	"12"	"9"	"11"	"538"	""	"538"	""
"293"	"158"	"5"	"15"	"215"	"0"	"1"	"1"	"6"	"2"	"1"	"5"	"0"	"126"	"377"	""	"377"	""
"294"	"158A"	"18"	"20"	"391"	"6"	"1"	"3"	"4"	"3"	"4"	"4"	"1"	"98"	"553"	""	"553"	""
"295"	"Current Round Total"	"286"	"703"	"3591"	"637"	"42"	"80"	"57"	"53"	"134"	"105"	"105"	"1820"	"7613"	"0"	"7613"	"0"
"296"	"Previous Round Total"	"10164"	"20162"	"31749"	"1436"	"3740"	"950"	"535"	"637"	"1430"	"2836"	"1063"	"8802"	"83504"	"0"	"83504"	"0"
"297"	"TOTAL"	"10450"	"20865"	"35340"	"2073"	"3782"	"1030"	"592"	"690"	"1564"	"2941"	"1168"	"10622"	"91117"	"0"	"91117"	"0"
"298"	"(Statutory Rules and Order)                                                      ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"304"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"306"	"159"	"33"	"17"	"424"	"8"	"75"	"12"	"5"	"5"	"10"	"5"	"7"	"42"	"643"	""	"643"	""
"307"	"160"	"16"	"281"	"17"	"6"	"157"	"1"	"3"	"2"	"0"	"2"	"2"	"11"	"498"	""	"498"	""
"308"	"161"	"13"	"92"	"2"	"2"	"89"	"1"	"2"	"0"	"0"	"2"	"2"	"11"	"216"	""	"216"	""
"309"	"161A"	"11"	"123"	"12"	"5"	"99"	"9"	"5"	"1"	"0"	"0"	"2"	"47"	"314"	""	"314"	""
"310"	"162"	"99"	"85"	"214"	"48"	"46"	"7"	"2"	"5"	"7"	"3"	"0"	"3"	"519"	""	"519"	""
"311"	"163"	"194"	"100"	"26"	"73"	"5"	"8"	"3"	"4"	"3"	"6"	"10"	"24"	"456"	""	"456"	""
"312"	"164"	"21"	"137"	"18"	"32"	"3"	"1"	"1"	"1"	"2"	"0"	"3"	"22"	"241"	""	"241"	""
"313"	"165"	"27"	"173"	"11"	"1"	"41"	"1"	"3"	"6"	"3"	"9"	"11"	"112"	"398"	""	"398"	""
"314"	"166"	"23"	"86"	"5"	"6"	"107"	"1"	"8"	"0"	"0"	"5"	"5"	"138"	"384"	""	"384"	""
"315"	"167"	"51"	"57"	"7"	"97"	"3"	"3"	"6"	"5"	"3"	"4"	"14"	"251"	"501"	""	"501"	""
"316"	"168"	"31"	"111"	"10"	"12"	"17"	"3"	"4"	"5"	"6"	"6"	"12"	"384"	"601"	""	"601"	""
"317"	"169"	"54"	"12"	"43"	"337"	"9"	"4"	"5"	"5"	"3"	"6"	"0"	"15"	"493"	""	"493"	""
"318"	"170"	"182"	"106"	"17"	"250"	"3"	"5"	"7"	"4"	"5"	"5"	"10"	"39"	"633"	""	"633"	""
"319"	"171"	"64"	"9"	"88"	"4"	"72"	"2"	"0"	"2"	"0"	"0"	"0"	"30"	"271"	""	"271"	""
"320"	"Current Round Total"	"819"	"1389"	"894"	"881"	"726"	"58"	"54"	"45"	"42"	"53"	"78"	"1129"	"6168"	"0"	"6168"	"0"
"321"	"Previous Round Total"	"10450"	"20865"	"35340"	"2073"	"3782"	"1030"	"592"	"690"	"1564"	"2941"	"1168"	"10622"	"91117"	"0"	"91117"	"0"
"322"	"TOTAL"	"11269"	"22254"	"36234"	"2954"	"4508"	"1088"	"646"	"735"	"1606"	"2994"	"1246"	"11751"	"97285"	"0"	"97285"	"0"
"323"	"(Statutory Rules and Order)                                                      ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"329"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"330"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"331"	"172"	"58"	"318"	"57"	"28"	"3"	"3"	"3"	"5"	"3"	"3"	"8"	"15"	"504"	""	"504"	""
"332"	"173"	"161"	"29"	"45"	"154"	"4"	"1"	"6"	"7"	"5"	"5"	"5"	"19"	"441"	""	"441"	""
"333"	"174"	"104"	"67"	"210"	"52"	"5"	"11"	"3"	"4"	"11"	"11"	"8"	"17"	"503"	""	"503"	""
"334"	"175"	"100"	"29"	"181"	"83"	"5"	"11"	"10"	"7"	"10"	"10"	"10"	"19"	"475"	""	"475"	""
"335"	"175A"	"38"	"48"	"173"	"32"	"3"	"4"	"3"	"6"	"11"	"3"	"1"	"13"	"335"	""	"335"	""
"336"	"176"	"210"	"94"	"39"	"34"	"5"	"1"	"3"	"1"	"2"	"4"	"7"	"22"	"422"	""	"422"	""
"337"	"176A"	"131"	"31"	"47"	"24"	"0"	"0"	"2"	"4"	"3"	"4"	"3"	"99"	"348"	""	"348"	""
"338"	"177"	"95"	"106"	"112"	"167"	"4"	"8"	"4"	"4"	"6"	"5"	"9"	"48"	"568"	""	"568"	""
"339"	"178"	"27"	"24"	"446"	"35"	"1"	"10"	"3"	"3"	"21"	"11"	"6"	"21"	"608"	""	"608"	""
"340"	"179"	"11"	"55"	"203"	"6"	"45"	"8"	"2"	"1"	"8"	"6"	"7"	"22"	"374"	""	"374"	""
"341"	"180"	"27"	"100"	"351"	"12"	"9"	"8"	"6"	"7"	"19"	"9"	"9"	"166"	"723"	""	"723"	""
"342"	"181"	"103"	"19"	"348"	"16"	"3"	"14"	"6"	"1"	"9"	"5"	"1"	"18"	"543"	""	"543"	""
"343"	"182"	"96"	"39"	"236"	"87"	"8"	"15"	"3"	"3"	"10"	"4"	"3"	"16"	"520"	""	"520"	""
"344"	"183"	"54"	"155"	"79"	"8"	"1"	"3"	"2"	"4"	"4"	"3"	"9"	"17"	"339"	""	"339"	""
"345"	"Current Round Total"	"1215"	"1114"	"2527"	"738"	"96"	"97"	"56"	"57"	"122"	"83"	"86"	"512"	"6703"	"0"	"6703"	"0"
"346"	"Previous Round Total"	"11269"	"22254"	"36234"	"2954"	"4508"	"1088"	"646"	"735"	"1606"	"2994"	"1246"	"11751"	"97285"	"0"	"97285"	"0"
"347"	"TOTAL"	"12484"	"23368"	"38761"	"3692"	"4604"	"1185"	"702"	"792"	"1728"	"3077"	"1332"	"12263"	"103988"	"0"	"103988"	"0"
"348"	"(Statutory Rules and Order)                                                      ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"354"	""	"ANANDI PRASAD YADAV"	"AFTAB AZIM"	"MURLIDHAR MANDAL"	"RANJIT YADAV"	"HASNAINM IRZA"	"ANANT LAL MANDAL"	"MD. ISMAIL AZAD"	"RISHIKESH MANDAL"	"TITHANAND MANDAL"	"MADAN KUMAR SADA"	"BEDANAND ROY"	"MD. SABBIR AHMAD"	""	""	""	""
"355"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"356"	"184"	"7"	"81"	"3"	"0"	"14"	"0"	"1"	"1"	"1"	"2"	"6"	"122"	"238"	""	"238"	""
"357"	"185"	"24"	"65"	"37"	"20"	"597"	"10"	"10"	"7"	"2"	"3"	"5"	"6"	"786"	""	"786"	""
"358"	"186"	"12"	"37"	"138"	"12"	"366"	"10"	"4"	"7"	"8"	"10"	"3"	"21"	"628"	""	"628"	""
"359"	"187"	"154"	"59"	"205"	"10"	"183"	"14"	"5"	"7"	"13"	"4"	"2"	"22"	"678"	""	"678"	""
"360"	"188"	"74"	"49"	"50"	"12"	"387"	"13"	"8"	"13"	"4"	"6"	"7"	"12"	"635"	""	"635"	""
"361"	"189"	"16"	"37"	"59"	"7"	"249"	"6"	"3"	"5"	"4"	"1"	"1"	"33"	"421"	""	"421"	""
"362"	"189A"	"17"	"25"	"25"	"7"	"344"	"11"	"6"	"3"	"4"	"3"	"9"	"25"	"479"	""	"479"	""
"363"	"190"	"16"	"24"	"103"	"5"	"361"	"14"	"7"	"2"	"3"	"2"	"1"	"9"	"547"	""	"547"	""
"364"	"191"	"17"	"31"	"301"	"8"	"140"	"15"	"6"	"5"	"2"	"5"	"6"	"12"	"548"	""	"548"	""
"365"	"192"	"9"	"25"	"253"	"7"	"66"	"20"	"2"	"2"	"8"	"8"	"6"	"18"	"424"	""	"424"	""
"366"	"193"	"37"	"15"	"265"	"10"	"160"	"9"	"4"	"6"	"9"	"2"	"2"	"3"	"522"	""	"522"	""
"367"	"194"	"4"	"11"	"4"	"5"	"392"	"15"	"4"	"2"	"3"	"2"	"6"	"14"	"462"	""	"462"	""
"368"	"194A"	"7"	"16"	"19"	"1"	"270"	"2"	"1"	"4"	"0"	"2"	"2"	"6"	"330"	""	"330"	""
"369"	"195"	"6"	"27"	"5"	"4"	"412"	"8"	"1"	"3"	"2"	"0"	"2"	"7"	"477"	""	"477"	""
"370"	"Current Round Total"	"400"	"502"	"1467"	"108"	"3941"	"147"	"62"	"67"	"63"	"50"	"58"	"310"	"7175"	"0"	"7175"	"0"
"371"	"Previous Round Total"	"12484"	"23368"	"38761"	"3692"	"4604"	"1185"	"702"	"792"	"1728"	"3077"	"1332"	"12263"	"103988"	"0"	"103988"	"0"
