"Polling.Station.No."	"Ashok.Prasad.Verma"	"Ashwamedh.Devi"	"Prayag.Chandra.Mukhiya"	"Rajnarayan.Singh"	"Sunil.Kumar.Suman"	"Baiju.Sah"	"Shyam.Sunder.Bhagat"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"249"	"167"	"151"	"62"	"7"	"3"	"1"	"3"	"8"	"235"	""	"235"	""
"250"	"Page Total"	"33878"	"38088"	"5840"	"993"	"1581"	"1471"	"2301"	"84152"	"0"	"84152"	"0"
"251"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"252"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"253"	"B.F."	"33878"	"38088"	"5840"	"993"	"1581"	"1471"	"2301"	"84152"	"0"	"84152"	"0"
"254"	"168"	"120"	"272"	"11"	"3"	"2"	"1"	"3"	"412"	""	"412"	""
"255"	"169"	"234"	"333"	"23"	"7"	"8"	"13"	"23"	"641"	""	"641"	""
"256"	"170"	"255"	"54"	"5"	"10"	"6"	"5"	"13"	"348"	""	"348"	""
"257"	"171"	"147"	"226"	"6"	"3"	"2"	"1"	"9"	"394"	""	"394"	""
"258"	"172"	"174"	"149"	"9"	"0"	"1"	"2"	"4"	"339"	""	"339"	""
"259"	"173"	"250"	"185"	"7"	"2"	"24"	"8"	"18"	"494"	""	"494"	""
"260"	"174"	"115"	"49"	"12"	"10"	"173"	"8"	"22"	"389"	""	"389"	""
"261"	"175"	"54"	"357"	"23"	"9"	"54"	"8"	"10"	"515"	""	"515"	""
"262"	"176"	"155"	"162"	"11"	"10"	"79"	"9"	"15"	"441"	""	"441"	""
"263"	"177"	"219"	"223"	"26"	"22"	"101"	"18"	"25"	"634"	""	"634"	""
"264"	"178"	"50"	"307"	"13"	"10"	"37"	"3"	"10"	"430"	""	"430"	""
"265"	"179"	"44"	"73"	"1"	"1"	"0"	"1"	"0"	"120"	""	"120"	""
"266"	"180"	"104"	"276"	"9"	"5"	"39"	"3"	"6"	"442"	""	"442"	""
"267"	"181"	"317"	"70"	"1"	"13"	"8"	"3"	"7"	"419"	""	"419"	""
"268"	"Page Total"	"36116"	"40824"	"5997"	"1098"	"2115"	"1554"	"2466"	"90170"	"0"	"90170"	"0"
"269"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"270"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"271"	"B.F."	"36116"	"40824"	"5997"	"1098"	"2115"	"1554"	"2466"	"90170"	"0"	"90170"	"0"
"272"	"182"	"249"	"196"	"24"	"7"	"57"	"7"	"18"	"558"	""	"558"	""
"273"	"183"	"62"	"239"	"14"	"6"	"11"	"10"	"7"	"349"	""	"349"	""
"274"	"184"	"155"	"267"	"17"	"5"	"25"	"3"	"8"	"480"	""	"480"	""
"275"	"185"	"279"	"246"	"14"	"2"	"8"	"5"	"11"	"565"	""	"565"	""
"276"	"186"	"269"	"84"	"8"	"4"	"7"	"8"	"18"	"398"	""	"398"	""
"277"	"186A"	"91"	"200"	"2"	"2"	"7"	"2"	"5"	"309"	""	"309"	""
"278"	"187"	"80"	"317"	"16"	"6"	"11"	"7"	"12"	"449"	""	"449"	""
"279"	"188"	"157"	"307"	"42"	"2"	"8"	"10"	"14"	"540"	""	"540"	""
"280"	"189"	"270"	"284"	"19"	"7"	"7"	"16"	"8"	"611"	""	"611"	""
"281"	"190"	"189"	"215"	"40"	"8"	"12"	"5"	"13"	"482"	""	"482"	""
"282"	"191"	"268"	"184"	"20"	"5"	"7"	"13"	"18"	"515"	""	"515"	""
"283"	"192"	"150"	"304"	"26"	"2"	"10"	"6"	"15"	"513"	""	"513"	""
"284"	"193"	"144"	"145"	"12"	"4"	"21"	"10"	"10"	"346"	""	"346"	""
"285"	"193A"	"132"	"118"	"6"	"2"	"16"	"4"	"8"	"286"	""	"286"	""
"286"	"Page Total"	"38611"	"43930"	"6257"	"1160"	"2322"	"1660"	"2631"	"96571"	"0"	"96571"	"0"
"287"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"288"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"289"	"B.F."	"38611"	"43930"	"6257"	"1160"	"2322"	"1660"	"2631"	"96571"	"0"	"96571"	"0"
"290"	"194"	"188"	"345"	"14"	"22"	"49"	"13"	"20"	"651"	""	"651"	""
"291"	"195"	"95"	"411"	"12"	"8"	"69"	"7"	"6"	"608"	""	"608"	""
"292"	"196"	"199"	"190"	"9"	"7"	"6"	"0"	"2"	"413"	""	"413"	""
"293"	"196A"	"159"	"157"	"14"	"1"	"3"	"2"	"6"	"342"	""	"342"	""
"294"	"197"	"281"	"159"	"18"	"2"	"12"	"7"	"26"	"505"	""	"505"	""
"295"	"198"	"138"	"171"	"7"	"3"	"4"	"3"	"8"	"334"	""	"334"	""
"296"	"198A"	"70"	"155"	"11"	"4"	"2"	"3"	"5"	"250"	""	"250"	""
"297"	"199"	"247"	"248"	"11"	"2"	"3"	"9"	"11"	"531"	""	"531"	""
"298"	"200"	"49"	"258"	"10"	"4"	"6"	"5"	"8"	"340"	""	"340"	""
"299"	"201"	"92"	"323"	"9"	"7"	"11"	"7"	"20"	"469"	""	"469"	""
"300"	"202"	"182"	"286"	"19"	"11"	"4"	"14"	"12"	"528"	""	"528"	""
"301"	"203"	"8"	"159"	"7"	"2"	"2"	"4"	"2"	"184"	""	"184"	""
"302"	"204"	"123"	"155"	"48"	"6"	"5"	"10"	"15"	"362"	""	"362"	""
"303"	"204A"	"163"	"52"	"14"	"1"	"1"	"2"	"4"	"237"	""	"237"	""
"304"	"Page Total"	"40605"	"46999"	"6460"	"1240"	"2499"	"1746"	"2776"	"102325"	"0"	"102325"	"0"
"305"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"306"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"307"	"B.F."	"40605"	"46999"	"6460"	"1240"	"2499"	"1746"	"2776"	"102325"	"0"	"102325"	"0"
"308"	"205"	"290"	"69"	"6"	"7"	"1"	"4"	"25"	"402"	""	"402"	""
"309"	"206"	"137"	"76"	"9"	"3"	"1"	"2"	"4"	"232"	""	"232"	""
"310"	"207"	"261"	"73"	"41"	"6"	"3"	"5"	"3"	"392"	""	"392"	""
"311"	"Page Total"	"41293"	"47217"	"6516"	"1256"	"2504"	"1757"	"2808"	"103351"	"0"	"103351"	"0"
"312"	"Polling
Station No."	"Ashok
Prasad Verma"	"Ashwamedh
Devi"	"Prayag
Chandra Mukhiya"	"Rajnarayan
Singh"	"Sunil
Kumar Suman"	"Baiju Sah"	"Shyam
Sunder Bhagat"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"313"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"314"	"Total No of votes recorded at Polling Stations"	"41293"	"47217"	"6516"	"1256"	"2504"	"1757"	"2808"	"103351"	"0"	"103351"	"0"
"315"	"No. of Votes recorded on Postal ballot Papers"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"-3"	"0"
"316"	"Total Votes Polled"	"41293"	"47220"	"6516"	"1256"	"2504"	"1757"	"2808"	"103354"	"0"	"103354"	"0"
"317"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR"	""	""	""	""	""	""	""	""	""	""	""
"318"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"319"	"93-Kalyanpur"	""	""	""	""	""	""	""	""	""	""	""
"320"	"Date:- 22nd Nov 2005                                                                                                                                                                Samastipur"	""	""	""	""	""	""	""	""	""	""	""
