"No..and.Name.of.Assembly.Constituency.43..Parsa.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"223"	"142"	"13"	""	"234"	""	"161"	""	"30"	""	"20"	""	"458"	""	""	""	""	""	""	""
"224"	"143"	"20"	""	"364"	""	"146"	""	"6"	""	"8"	""	"544"	""	""	""	""	""	""	""
"225"	"144"	"15"	""	"180"	""	"191"	""	"21"	""	"14"	""	"421"	""	""	""	""	""	""	""
"226"	"145"	"5"	""	"66"	""	"200"	""	"20"	""	"11"	""	"302"	""	""	""	""	""	""	""
"227"	"Total"	"178"	""	"3684"	""	"1428"	""	"193"	""	"157"	""	"5640"	""	""	""	""	""	""	""
"228"	"No. and Name of Assembly Constituency-43- Parsa Round No.-13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"231"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"232"	"146"	"5"	""	"124"	""	"41"	""	"106"	""	"17"	""	"293"	""	""	""	""	""	""	""
"233"	"147"	"19"	""	"187"	""	"54"	""	"13"	""	"7"	""	"280"	""	""	""	""	""	""	""
"234"	"148"	"16"	""	"160"	""	"308"	""	"30"	""	"7"	""	"521"	""	""	""	""	""	""	""
"235"	"149"	"18"	""	"55"	""	"131"	""	"23"	""	"13"	""	"240"	""	""	""	""	""	""	""
"236"	"150"	"15"	""	"86"	""	"302"	""	"17"	""	"17"	""	"437"	""	""	""	""	""	""	""
"237"	"151"	"20"	""	"41"	""	"188"	""	"11"	""	"7"	""	"267"	""	""	""	""	""	""	""
"238"	"152"	"34"	""	"116"	""	"236"	""	"90"	""	"50"	""	"526"	""	""	""	""	""	""	""
"239"	"153"	"17"	""	"123"	""	"136"	""	"31"	""	"28"	""	"335"	""	""	""	""	""	""	""
"240"	"154"	"11"	""	"122"	""	"395"	""	"51"	""	"53"	""	"632"	""	""	""	""	""	""	""
"241"	"155"	"9"	""	"162"	""	"205"	""	"69"	""	"20"	""	"465"	""	""	""	""	""	""	""
"242"	"156"	"28"	""	"103"	""	"315"	""	"55"	""	"25"	""	"526"	""	""	""	""	""	""	""
"243"	"157"	"13"	""	"227"	""	"115"	""	"14"	""	"13"	""	"382"	""	""	""	""	""	""	""
"244"	"158"	"22"	""	"206"	""	"234"	""	"29"	""	"28"	""	"519"	""	""	""	""	""	""	""
"245"	"159"	"15"	""	"184"	""	"154"	""	"18"	""	"27"	""	"398"	""	""	""	""	""	""	""
"246"	"Total"	"242"	""	"1896"	""	"2814"	""	"557"	""	"312"	""	"5821"	""	""	""	""	""	""	""
"247"	"No. and Name of Assembly Constituency-43- Parsa Round No.-14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"250"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"251"	"160"	"9"	""	"89"	""	"135"	""	"6"	""	"8"	""	"247"	""	""	""	""	""	""	""
"252"	"161"	"27"	""	"197"	""	"333"	""	"14"	""	"19"	""	"590"	""	""	""	""	""	""	""
"253"	"162"	"10"	""	"17"	""	"84"	""	"9"	""	"8"	""	"128"	""	""	""	""	""	""	""
"254"	"163"	"43"	""	"262"	""	"369"	""	"38"	""	"65"	""	"777"	""	""	""	""	""	""	""
"255"	"164"	"8"	""	"94"	""	"400"	""	"13"	""	"19"	""	"534"	""	""	""	""	""	""	""
"256"	"165"	"16"	""	"140"	""	"225"	""	"10"	""	"17"	""	"408"	""	""	""	""	""	""	""
"257"	"166"	"4"	""	"74"	""	"56"	""	"4"	""	"4"	""	"142"	""	""	""	""	""	""	""
"258"	"167"	"16"	""	"142"	""	"348"	""	"29"	""	"26"	""	"561"	""	""	""	""	""	""	""
"259"	"168"	"7"	""	"130"	""	"312"	""	"28"	""	"15"	""	"492"	""	""	""	""	""	""	""
"260"	"169"	"9"	""	"179"	""	"241"	""	"19"	""	"8"	""	"456"	""	""	""	""	""	""	""
"261"	"170"	"32"	""	"162"	""	"275"	""	"15"	""	"20"	""	"504"	""	""	""	""	""	""	""
"262"	"171"	"10"	""	"97"	""	"276"	""	"20"	""	"28"	""	"431"	""	""	""	""	""	""	""
"263"	"172"	"10"	""	"266"	""	"322"	""	"16"	""	"11"	""	"625"	""	""	""	""	""	""	""
"264"	"173"	"16"	""	"204"	""	"121"	""	"10"	""	"27"	""	"378"	""	""	""	""	""	""	""
"265"	"Total"	"217"	""	"2053"	""	"3497"	""	"231"	""	"275"	""	"6273"	""	""	""	""	""	""	""
"266"	"No. and Name of Assembly Constituency-43- Parsa Round No.-15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"269"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"270"	"174"	"5"	""	"139"	""	"264"	""	"90"	""	"28"	""	"526"	""	""	""	""	""	""	""
"271"	"175"	"6"	""	"147"	""	"204"	""	"34"	""	"4"	""	"395"	""	""	""	""	""	""	""
"272"	"176"	"14"	""	"115"	""	"269"	""	"26"	""	"7"	""	"431"	""	""	""	""	""	""	""
"273"	"177"	"16"	""	"163"	""	"336"	""	"4"	""	"2"	""	"521"	""	""	""	""	""	""	""
"274"	"178"	"10"	""	"180"	""	"199"	""	"15"	""	"21"	""	"425"	""	""	""	""	""	""	""
"275"	"179"	"5"	""	"249"	""	"149"	""	"43"	""	"1"	""	"447"	""	""	""	""	""	""	""
"276"	"180"	"4"	""	"184"	""	"281"	""	"4"	""	"6"	""	"479"	""	""	""	""	""	""	""
"277"	"181"	"5"	""	"51"	""	"230"	""	"6"	""	"2"	""	"294"	""	""	""	""	""	""	""
"278"	"181A"	"7"	""	"104"	""	"299"	""	"10"	""	"7"	""	"427"	""	""	""	""	""	""	""
"279"	"182"	"18"	""	"216"	""	"291"	""	"22"	""	"26"	""	"573"	""	""	""	""	""	""	""
"280"	"183"	"19"	""	"152"	""	"195"	""	"19"	""	"21"	""	"406"	""	""	""	""	""	""	""
"281"	"184"	"13"	""	"138"	""	"75"	""	"35"	""	"12"	""	"273"	""	""	""	""	""	""	""
"282"	"185"	"10"	""	"172"	""	"168"	""	"20"	""	"22"	""	"392"	""	""	""	""	""	""	""
"283"	"186"	"17"	""	"75"	""	"170"	""	"29"	""	"26"	""	"317"	""	""	""	""	""	""	""
"284"	"Total"	"149"	""	"2085"	""	"3130"	""	"357"	""	"185"	""	"5906"	""	""	""	""	""	""	""
"285"	"No. and Name of Assembly Constituency-43- Parsa Round No.-16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total of Valid Votes"	""	"No. of rejected Votes"	""	"Total"	""	"No. of tendere d Votes"	""
"288"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	""	""	""	""	""
"289"	"186A"	"17"	""	"70"	""	"147"	""	"24"	""	"28"	""	"286"	""	""	""	""	""	""	""
"290"	"187"	"3"	""	"49"	""	"98"	""	"15"	""	"7"	""	"172"	""	""	""	""	""	""	""
"291"	"188"	"7"	""	"94"	""	"323"	""	"35"	""	"52"	""	"511"	""	""	""	""	""	""	""
"292"	"189"	"4"	""	"47"	""	"205"	""	"51"	""	"10"	""	"317"	""	""	""	""	""	""	""
"293"	"189A"	"11"	""	"58"	""	"145"	""	"36"	""	"19"	""	"269"	""	""	""	""	""	""	""
"294"	"190"	"7"	""	"180"	""	"19"	""	"22"	""	"6"	""	"234"	""	""	""	""	""	""	""
"295"	"Total"	"49"	""	"498"	""	"937"	""	"183"	""	"122"	""	"1789"	""	""	""	""	""	""	""
"296"	"No. and Name of Assembly Constituency-43- Parsa Round Wis"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"Serial No. of Round"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	""	"Anil Ku.Das"	""	"Chandrika Ray"	""	"Chhote Lal Rai"	""	"Ram Nath Vidiyarthi"	""	"Sandhya Ray"	""	"Total"	""	""	""	""	""	""	""
"299"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	""	""	""	""	""	""	""	""
"300"	"1"	"413"	""	"2168"	""	"2339"	""	"290"	""	"318"	""	"5528"	""	""	""	""	""	""	""
"301"	"2"	"248"	""	"1962"	""	"2870"	""	"266"	""	"322"	""	"5668"	""	""	""	""	""	""	""
"302"	"3"	"226"	""	"1633"	""	"2261"	""	"251"	""	"314"	""	"4685"	""	""	""	""	""	""	""
"303"	"4"	"236"	""	"1494"	""	"3282"	""	"295"	""	"286"	""	"5593"	""	""	""	""	""	""	""
"304"	"5"	"282"	""	"1897"	""	"3313"	""	"334"	""	"382"	""	"6208"	""	""	""	""	""	""	""
"305"	"6"	"236"	""	"1841"	""	"2940"	""	"339"	""	"376"	""	"5732"	""	""	""	""	""	""	""
"306"	"7"	"300"	""	"1845"	""	"2405"	""	"205"	""	"241"	""	"4996"	""	""	""	""	""	""	""
"307"	"8"	"258"	""	"1731"	""	"2677"	""	"320"	""	"293"	""	"5279"	""	""	""	""	""	""	""
"308"	"9"	"253"	""	"1450"	""	"2801"	""	"343"	""	"234"	""	"5081"	""	""	""	""	""	""	""
"309"	"10"	"276"	""	"2446"	""	"2574"	""	"233"	""	"250"	""	"5779"	""	""	""	""	""	""	""
"310"	"11"	"329"	""	"2228"	""	"2016"	""	"990"	""	"433"	""	"5996"	""	""	""	""	""	""	""
"311"	"12"	"178"	""	"3684"	""	"1428"	""	"193"	""	"157"	""	"5640"	""	""	""	""	""	""	""
"312"	"13"	"242"	""	"1896"	""	"2814"	""	"557"	""	"312"	""	"5821"	""	""	""	""	""	""	""
"313"	"14"	"217"	""	"2053"	""	"3497"	""	"231"	""	"275"	""	"6273"	""	""	""	""	""	""	""
"314"	"15"	"149"	""	"2085"	""	"3130"	""	"357"	""	"185"	""	"5906"	""	""	""	""	""	""	""
"315"	"16"	"49"	""	"498"	""	"937"	""	"183"	""	"122"	""	"1789"	""	""	""	""	""	""	""
"316"	"Total"	"3892"	""	"30911"	""	"41284"	""	"5387"	""	"4500"	""	"85974"	""	""	""	""	""	""	""
"317"	"e"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
