"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X014.DHAKA.F"	"orm.20"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"201"	"153"	""	"834"	"19"	"226"	"52"	"114"	"6"	"1"	"1"	"1"	"3"	"3"	"4"	"7"	"418"
"202"	"154"	""	"758"	"19"	"58"	"45"	"159"	"11"	"2"	"2"	"4"	"9"	"16"	"5"	"15"	"326"
"203"	"155"	""	"785"	"19"	"208"	"88"	"85"	"8"	"6"	"1"	"1"	"2"	"6"	"10"	"12"	"427"
"204"	"156"	""	"964"	"19"	"303"	"81"	"73"	"5"	"2"	"1"	"3"	"2"	"10"	"10"	"35"	"525"
"205"	"157"	""	"972"	"19"	"131"	"173"	"73"	"4"	"0"	"5"	"2"	"0"	"4"	"6"	"6"	"404"
"206"	"157"	"A"	"534"	"20"	"143"	"80"	"85"	"9"	"4"	"5"	"1"	"7"	"8"	"7"	"13"	"362"
"207"	"158"	""	"1023"	"20"	"231"	"79"	"25"	"5"	"4"	"0"	"2"	"2"	"9"	"5"	"8"	"370"
"208"	"159"	""	"1183"	"20"	"187"	"129"	"56"	"4"	"4"	"3"	"5"	"5"	"5"	"6"	"8"	"412"
"209"	"160"	""	"1035"	"20"	"274"	"59"	"102"	"9"	"2"	"1"	"4"	"4"	"9"	"2"	"19"	"485"
"210"	"161"	""	"1060"	"20"	"140"	"89"	"186"	"12"	"2"	"2"	"3"	"3"	"4"	"5"	"11"	"457"
"211"	"162"	""	"1308"	"20"	"535"	"16"	"10"	"2"	"1"	"1"	"2"	"2"	"2"	"6"	"17"	"594"
"212"	"163"	""	"932"	"20"	"105"	"27"	"102"	"8"	"1"	"63"	"2"	"1"	"8"	"3"	"4"	"324"
"213"	"163"	"A"	"614"	"20"	"71"	"29"	"73"	"7"	"3"	"6"	"1"	"2"	"3"	"6"	"6"	"207"
"214"	"164"	""	"1012"	"20"	"14"	"119"	"185"	"8"	"1"	"16"	"2"	"2"	"9"	"11"	"12"	"379"
"215"	"164"	"A"	"507"	"20"	"47"	"21"	"89"	"3"	"0"	"5"	"0"	"2"	"5"	"4"	"8"	"184"
"216"	""	""	""	""	""	""	"014-DHAKA F"	"orm 20"	""	""	""	""	""	""	""	""
"217"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"218"	"Booth No."	"Ext"	"Voters"	"Round"	"AWANISH KUMAR SINGH"	"BHAI PAWAN JAISHWAL"	"MANOJ KUMAR SINGH"	"SUDHIR KUMAR SINGH"	"KAYEEMUDDIN"	"NEK MOHAMAD"	"PRABHU RAI"	"BACHCHA MANDAL"	"RAJ KISHORE SINGH"	"RAJ KUMAR BAITHA"	"SITA RAM SINGH"	"Total"
"219"	"1"	"2"	"4"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"220"	"165"	""	"1040"	"21"	"106"	"105"	"167"	"9"	"1"	"6"	"3"	"2"	"14"	"13"	"14"	"440"
"221"	"166"	""	"1107"	"21"	"315"	"88"	"11"	"8"	"1"	"4"	"4"	"1"	"9"	"6"	"7"	"454"
"222"	"167"	""	"1166"	"21"	"374"	"22"	"14"	"3"	"0"	"1"	"1"	"1"	"0"	"1"	"10"	"427"
"223"	"168"	""	"1025"	"21"	"461"	"2"	"3"	"2"	"1"	"1"	"2"	"0"	"0"	"4"	"13"	"489"
"224"	"168"	"A"	"479"	"21"	"294"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"313"
"225"	"169"	""	"967"	"21"	"513"	"13"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"6"	"541"
"226"	"169"	"A"	"533"	"21"	"280"	"84"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"368"
"227"	"170"	""	"1293"	"21"	"580"	"13"	"4"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"6"	"609"
"228"	"171"	""	"1008"	"21"	"384"	"13"	"10"	"1"	"2"	"4"	"3"	"1"	"1"	"1"	"12"	"432"
"229"	"172"	""	"1030"	"21"	"452"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"463"
"230"	"173"	""	"871"	"22"	"208"	"114"	"87"	"6"	"3"	"2"	"2"	"3"	"4"	"3"	"10"	"442"
"231"	"174"	""	"755"	"22"	"113"	"168"	"22"	"4"	"2"	"2"	"6"	"2"	"11"	"22"	"19"	"371"
"232"	"175"	""	"1232"	"22"	"176"	"134"	"190"	"18"	"8"	"4"	"5"	"4"	"15"	"21"	"28"	"603"
"233"	"176"	""	"1088"	"22"	"57"	"255"	"54"	"10"	"8"	"9"	"8"	"14"	"18"	"37"	"21"	"491"
"234"	"177"	""	"1277"	"22"	"72"	"259"	"139"	"3"	"8"	"9"	"9"	"15"	"18"	"23"	"33"	"588"
"235"	"178"	""	"1364"	"22"	"185"	"232"	"75"	"10"	"4"	"9"	"11"	"8"	"18"	"28"	"41"	"621"
"236"	"179"	""	"986"	"22"	"150"	"250"	"43"	"6"	"4"	"1"	"6"	"7"	"21"	"30"	"28"	"546"
"237"	"179"	"A"	"601"	"22"	"101"	"123"	"6"	"2"	"2"	"8"	"2"	"3"	"8"	"14"	"15"	"284"
"238"	"180"	""	"1328"	"22"	"322"	"155"	"91"	"11"	"2"	"4"	"5"	"4"	"6"	"10"	"7"	"617"
"239"	"181"	""	"1279"	"22"	"34"	"203"	"231"	"8"	"5"	"40"	"8"	"3"	"21"	"19"	"23"	"595"
"240"	"182"	""	"1346"	"23"	"250"	"89"	"106"	"16"	"6"	"11"	"6"	"7"	"13"	"17"	"45"	"566"
"241"	"183"	""	"946"	"23"	"128"	"160"	"56"	"4"	"4"	"12"	"5"	"9"	"13"	"16"	"22"	"429"
"242"	"183"	"A"	"486"	"23"	"99"	"57"	"52"	"5"	"1"	"1"	"1"	"1"	"7"	"6"	"7"	"237"
"243"	"184"	""	"994"	"23"	"279"	"76"	"39"	"12"	"2"	"5"	"2"	"7"	"9"	"10"	"24"	"465"
"244"	"184"	"A"	"561"	"23"	"87"	"42"	"86"	"10"	"2"	"2"	"0"	"3"	"2"	"6"	"11"	"251"
"245"	"185"	""	"993"	"23"	"122"	"162"	"124"	"15"	"6"	"6"	"4"	"6"	"12"	"10"	"17"	"484"
"246"	"185"	"A"	"566"	"23"	"80"	"139"	"31"	"4"	"3"	"3"	"2"	"3"	"10"	"9"	"15"	"299"
"247"	"186"	""	"1346"	"23"	"201"	"124"	"78"	"7"	"2"	"5"	"5"	"2"	"10"	"21"	"27"	"482"
"248"	"187"	""	"1319"	"23"	"96"	"205"	"215"	"20"	"2"	"7"	"3"	"6"	"19"	"21"	"20"	"614"
"249"	"188"	""	"1036"	"23"	"103"	"175"	"135"	"4"	"5"	"4"	"4"	"10"	"9"	"24"	"17"	"490"
"250"	"189"	""	"1166"	"24"	"113"	"182"	"127"	"11"	"10"	"7"	"16"	"2"	"13"	"20"	"19"	"520"
"251"	"190"	""	"981"	"24"	"107"	"278"	"57"	"16"	"4"	"6"	"11"	"9"	"14"	"17"	"27"	"546"
"252"	"190"	"A"	"679"	"24"	"94"	"97"	"16"	"3"	"0"	"0"	"4"	"4"	"3"	"5"	"9"	"235"
"253"	"191"	""	"980"	"24"	"157"	"129"	"112"	"4"	"4"	"1"	"2"	"8"	"15"	"17"	"18"	"467"
"254"	"192"	""	"929"	"24"	"163"	"97"	"60"	"10"	"2"	"5"	"5"	"6"	"12"	"7"	"17"	"384"
"255"	"192"	"A"	"478"	"24"	"78"	"24"	"48"	"7"	"0"	"2"	"3"	"4"	"3"	"5"	"18"	"192"
"256"	"193"	""	"1166"	"24"	"179"	"133"	"60"	"8"	"2"	"24"	"7"	"5"	"12"	"28"	"40"	"498"
"257"	"194"	""	"1111"	"24"	"227"	"50"	"72"	"4"	"4"	"4"	"2"	"6"	"9"	"7"	"52"	"437"
"258"	"195"	""	"785"	"24"	"276"	"18"	"34"	"3"	"4"	"2"	"1"	"1"	"1"	"2"	"9"	"351"
"259"	"196"	""	"882"	"24"	"122"	"12"	"149"	"5"	"0"	"0"	"1"	"0"	"7"	"5"	"5"	"306"
"260"	"197"	""	"1025"	"25"	"157"	"31"	"192"	"12"	"3"	"1"	"1"	"1"	"2"	"5"	"10"	"415"
"261"	"198"	""	"1033"	"25"	"159"	"209"	"30"	"9"	"3"	"3"	"10"	"9"	"13"	"12"	"9"	"466"
"262"	"199"	""	"846"	"25"	"103"	"94"	"136"	"7"	"4"	"6"	"5"	"3"	"3"	"7"	"5"	"373"
"263"	"200"	""	"1321"	"25"	"0"	"9"	"17"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"31"
"264"	"Total"	""	""	""	"33162"	"30552"	"18469"	"1601"	"902"	"7334"	"985"	"1050"	"1961"	"2863"	"3692"	"102571"
