"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"190"	"104"	"68"	"41"	"297"	"64"	"42"	"7"	"9"	"9"	"2"	"5"	"544"	"0"	"544"	"0"
"191"	"105"	"67"	"6"	"164"	"19"	"8"	"1"	"2"	"0"	"0"	"0"	"267"	"0"	"267"	"0"
"192"	"106"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"193"	"107"	"221"	"31"	"89"	"90"	"4"	"2"	"3"	"24"	"3"	"6"	"473"	"0"	"473"	"0"
"194"	"108"	"290"	"154"	"251"	"71"	"6"	"3"	"1"	"6"	"1"	"12"	"795"	"0"	"795"	"0"
"195"	"109"	"99"	"37"	"110"	"94"	"6"	"3"	"4"	"2"	"3"	"2"	"360"	"0"	"360"	"0"
"196"	"110"	"242"	"228"	"90"	"15"	"1"	"3"	"1"	"4"	"1"	"12"	"597"	"0"	"597"	"0"
"197"	"TOTAL"	"17226"	"15620"	"14835"	"7990"	"1388"	"642"	"304"	"619"	"262"	"688"	"59574"	"0"	"59574"	"0"
"198"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"201"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"202"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"203"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"204"	"BF"	"17226"	"15620"	"14835"	"7990"	"1388"	"642"	"304"	"619"	"262"	"688"	"59574"	"0"	"59574"	"0"
"205"	"111"	"169"	"257"	"31"	"92"	"11"	"8"	"2"	"4"	"5"	"7"	"586"	"0"	"586"	"0"
"206"	"111 A"	"137"	"133"	"31"	"58"	"5"	"2"	"4"	"7"	"6"	"6"	"389"	"0"	"389"	"0"
"207"	"112"	"58"	"18"	"182"	"15"	"2"	"5"	"1"	"6"	"2"	"8"	"297"	"0"	"297"	"0"
"208"	"112 A"	"74"	"81"	"161"	"29"	"2"	"3"	"2"	"4"	"5"	"13"	"374"	"0"	"374"	"0"
"209"	"113"	"119"	"217"	"205"	"63"	"4"	"4"	"3"	"2"	"4"	"12"	"633"	"0"	"633"	"0"
"210"	"114"	"122"	"179"	"186"	"219"	"8"	"9"	"2"	"7"	"3"	"16"	"751"	"0"	"751"	"0"
"211"	"115"	"87"	"181"	"169"	"46"	"2"	"3"	"1"	"1"	"4"	"3"	"497"	"0"	"497"	"0"
"212"	"115 A"	"38"	"26"	"55"	"101"	"3"	"4"	"3"	"1"	"4"	"6"	"241"	"0"	"241"	"0"
"213"	"116"	"138"	"157"	"99"	"97"	"29"	"3"	"4"	"1"	"2"	"7"	"537"	"0"	"537"	"0"
"214"	"117"	"60"	"198"	"104"	"69"	"1"	"5"	"5"	"2"	"0"	"3"	"447"	"0"	"447"	"0"
"215"	"118"	"164"	"142"	"61"	"91"	"97"	"8"	"1"	"2"	"4"	"2"	"572"	"0"	"572"	"0"
"216"	"119"	"70"	"111"	"247"	"81"	"24"	"4"	"4"	"2"	"8"	"12"	"563"	"0"	"563"	"0"
"217"	"120"	"92"	"51"	"145"	"61"	"8"	"5"	"0"	"3"	"0"	"4"	"369"	"0"	"369"	"0"
"218"	"120 A"	"12"	"40"	"102"	"6"	"2"	"16"	"1"	"7"	"4"	"6"	"196"	"0"	"196"	"0"
"219"	"TOTAL"	"18566"	"17411"	"16613"	"9018"	"1586"	"721"	"337"	"668"	"313"	"793"	"66026"	"0"	"66026"	"0"
"220"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"223"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"224"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"225"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"226"	"BF"	"18566"	"17411"	"16613"	"9018"	"1586"	"721"	"337"	"668"	"313"	"793"	"66026"	"0"	"66026"	"0"
"227"	"121"	"183"	"192"	"40"	"33"	"9"	"4"	"1"	"3"	"2"	"6"	"473"	"0"	"473"	"0"
"228"	"122"	"79"	"102"	"282"	"27"	"6"	"10"	"14"	"7"	"8"	"10"	"545"	"0"	"545"	"0"
"229"	"123"	"71"	"170"	"156"	"246"	"7"	"4"	"7"	"1"	"8"	"16"	"686"	"0"	"686"	"0"
"230"	"124"	"143"	"131"	"149"	"13"	"20"	"47"	"3"	"2"	"2"	"10"	"520"	"0"	"520"	"0"
"231"	"125"	"201"	"210"	"192"	"72"	"3"	"5"	"2"	"6"	"7"	"19"	"717"	"0"	"717"	"0"
"232"	"126"	"114"	"68"	"45"	"47"	"56"	"14"	"4"	"2"	"2"	"7"	"359"	"0"	"359"	"0"
"233"	"127"	"48"	"92"	"222"	"122"	"7"	"3"	"4"	"6"	"5"	"10"	"519"	"0"	"519"	"0"
"234"	"128"	"379"	"70"	"132"	"161"	"9"	"3"	"4"	"9"	"6"	"19"	"792"	"0"	"792"	"0"
"235"	"129"	"99"	"44"	"137"	"15"	"209"	"13"	"9"	"4"	"6"	"21"	"557"	"0"	"557"	"0"
"236"	"130"	"163"	"137"	"290"	"105"	"4"	"0"	"6"	"5"	"4"	"7"	"721"	"0"	"721"	"0"
"237"	"131"	"165"	"42"	"226"	"163"	"7"	"8"	"4"	"4"	"3"	"18"	"640"	"0"	"640"	"0"
"238"	"131 A"	"43"	"23"	"7"	"75"	"3"	"1"	"7"	"1"	"5"	"4"	"169"	"0"	"169"	"0"
"239"	"132"	"239"	"71"	"127"	"215"	"11"	"5"	"2"	"20"	"4"	"2"	"696"	"0"	"696"	"0"
"240"	"133"	"103"	"111"	"164"	"72"	"6"	"3"	"2"	"6"	"4"	"14"	"485"	"0"	"485"	"0"
"241"	"TOTAL"	"20596"	"18874"	"18782"	"10384"	"1943"	"841"	"406"	"744"	"379"	"956"	"73905"	"0"	"73905"	"0"
"242"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"245"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"246"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"247"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"248"	"BF"	"20596"	"18874"	"18782"	"10384"	"1943"	"841"	"406"	"744"	"379"	"956"	"73905"	"0"	"73905"	"0"
"249"	"133 A"	"109"	"3"	"115"	"81"	"0"	"0"	"2"	"9"	"1"	"0"	"320"	"0"	"320"	"0"
"250"	"134"	"98"	"129"	"282"	"165"	"35"	"7"	"4"	"5"	"3"	"16"	"744"	"0"	"744"	"0"
"251"	"135"	"101"	"73"	"77"	"162"	"12"	"4"	"6"	"1"	"1"	"5"	"442"	"0"	"442"	"0"
"252"	"135 A"	"71"	"4"	"116"	"163"	"5"	"2"	"2"	"0"	"1"	"2"	"366"	"0"	"366"	"0"
"253"	"136"	"170"	"53"	"128"	"92"	"0"	"0"	"1"	"2"	"1"	"7"	"454"	"0"	"454"	"0"
"254"	"137"	"36"	"173"	"128"	"3"	"0"	"0"	"0"	"4"	"2"	"5"	"351"	"0"	"351"	"0"
"255"	"138"	"165"	"147"	"198"	"63"	"1"	"1"	"2"	"2"	"1"	"4"	"584"	"0"	"584"	"0"
"256"	"139"	"18"	"33"	"236"	"125"	"11"	"2"	"3"	"0"	"3"	"6"	"437"	"0"	"437"	"0"
"257"	"139 A"	"118"	"3"	"167"	"84"	"3"	"1"	"4"	"0"	"0"	"4"	"384"	"0"	"384"	"0"
"258"	"140"	"52"	"131"	"73"	"83"	"2"	"4"	"0"	"2"	"1"	"2"	"350"	"0"	"350"	"0"
"259"	"141"	"412"	"148"	"115"	"32"	"18"	"17"	"1"	"12"	"4"	"8"	"767"	"0"	"767"	"0"
"260"	"142"	"222"	"94"	"149"	"16"	"33"	"4"	"0"	"3"	"4"	"6"	"531"	"0"	"531"	"0"
"261"	"142 A"	"31"	"37"	"257"	"6"	"24"	"2"	"4"	"9"	"1"	"3"	"374"	"0"	"374"	"0"
"262"	"143"	"27"	"94"	"84"	"29"	"36"	"2"	"2"	"3"	"2"	"7"	"286"	"0"	"286"	"0"
"263"	"TOTAL"	"22226"	"19996"	"20907"	"11488"	"2123"	"887"	"437"	"796"	"404"	"1031"	"80295"	"0"	"80295"	"0"
"264"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"267"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"268"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"269"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"270"	"BF"	"22226"	"19996"	"20907"	"11488"	"2123"	"887"	"437"	"796"	"404"	"1031"	"80295"	"0"	"80295"	"0"
"271"	"143 A"	"88"	"160"	"113"	"35"	"65"	"10"	"5"	"10"	"4"	"15"	"505"	"0"	"505"	"0"
"272"	"144"	"87"	"193"	"193"	"71"	"8"	"12"	"3"	"6"	"3"	"11"	"587"	"0"	"587"	"0"
"273"	"145"	"73"	"129"	"163"	"46"	"32"	"3"	"7"	"2"	"1"	"6"	"462"	"0"	"462"	"0"
"274"	"146"	"162"	"78"	"238"	"143"	"15"	"2"	"5"	"9"	"9"	"16"	"677"	"0"	"677"	"0"
"275"	"146 A"	"61"	"9"	"37"	"17"	"7"	"1"	"1"	"2"	"2"	"6"	"143"	"0"	"143"	"0"
"276"	"147"	"75"	"106"	"215"	"107"	"6"	"4"	"11"	"4"	"3"	"5"	"536"	"0"	"536"	"0"
"277"	"148"	"241"	"137"	"155"	"90"	"6"	"2"	"4"	"3"	"4"	"14"	"656"	"0"	"656"	"0"
"278"	"148 A"	"26"	"3"	"80"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"114"	"0"	"114"	"0"
"279"	"149"	"60"	"141"	"215"	"185"	"4"	"3"	"1"	"3"	"2"	"5"	"619"	"0"	"619"	"0"
"280"	"150"	"107"	"117"	"214"	"53"	"8"	"3"	"2"	"11"	"4"	"9"	"528"	"0"	"528"	"0"
"281"	"151"	"160"	"58"	"116"	"129"	"8"	"2"	"7"	"3"	"2"	"7"	"492"	"0"	"492"	"0"
"282"	"151 A"	"90"	"50"	"44"	"42"	"1"	"5"	"0"	"18"	"3"	"11"	"264"	"0"	"264"	"0"
"283"	"152"	"341"	"32"	"147"	"25"	"20"	"1"	"8"	"36"	"5"	"12"	"627"	"0"	"627"	"0"
"284"	"153"	"192"	"24"	"143"	"56"	"6"	"0"	"3"	"7"	"4"	"5"	"440"	"0"	"440"	"0"
"285"	"TOTAL"	"23989"	"21233"	"22980"	"12490"	"2310"	"935"	"494"	"910"	"450"	"1154"	"86945"	"0"	"86945"	"0"
"286"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"289"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"290"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"291"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"292"	"BF"	"23989"	"21233"	"22980"	"12490"	"2310"	"935"	"494"	"910"	"450"	"1154"	"86945"	"0"	"86945"	"0"
"293"	"154"	"130"	"96"	"29"	"41"	"1"	"0"	"1"	"0"	"0"	"1"	"299"	"0"	"299"	"0"
"294"	"155"	"272"	"123"	"65"	"63"	"3"	"2"	"5"	"0"	"2"	"11"	"546"	"0"	"546"	"0"
"295"	"155 A"	"62"	"15"	"82"	"37"	"1"	"0"	"1"	"0"	"2"	"3"	"203"	"0"	"203"	"0"
"296"	"156"	"231"	"108"	"198"	"60"	"3"	"3"	"3"	"22"	"6"	"10"	"644"	"0"	"644"	"0"
"297"	"157"	"57"	"2"	"62"	"4"	"0"	"0"	"2"	"38"	"2"	"0"	"167"	"0"	"167"	"0"
"298"	"158"	"62"	"81"	"192"	"127"	"2"	"3"	"2"	"20"	"10"	"15"	"514"	"0"	"514"	"0"
"299"	"159"	"115"	"24"	"125"	"22"	"2"	"1"	"2"	"25"	"1"	"8"	"325"	"0"	"325"	"0"
"300"	"160"	"95"	"102"	"183"	"176"	"7"	"5"	"4"	"85"	"1"	"9"	"667"	"0"	"667"	"0"
"301"	"161"	"90"	"90"	"260"	"133"	"2"	"3"	"2"	"76"	"3"	"4"	"663"	"0"	"663"	"0"
"302"	"162"	"161"	"136"	"257"	"97"	"19"	"0"	"5"	"23"	"3"	"8"	"709"	"0"	"709"	"0"
"303"	"163"	"43"	"167"	"287"	"232"	"0"	"29"	"3"	"27"	"1"	"3"	"792"	"0"	"792"	"0"
"304"	"164"	"80"	"63"	"158"	"226"	"11"	"4"	"6"	"9"	"2"	"6"	"565"	"0"	"565"	"0"
"305"	"165"	"152"	"181"	"156"	"70"	"6"	"5"	"1"	"71"	"8"	"13"	"663"	"0"	"663"	"0"
"306"	"166"	"155"	"55"	"38"	"80"	"4"	"3"	"0"	"23"	"3"	"6"	"367"	"0"	"367"	"0"
"307"	"TOTAL"	"25694"	"22476"	"25072"	"13858"	"2371"	"993"	"531"	"1329"	"494"	"1251"	"94069"	"0"	"94069"	"0"
"308"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"311"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"312"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"313"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"314"	"BF"	"25694"	"22476"	"25072"	"13858"	"2371"	"993"	"531"	"1329"	"494"	"1251"	"94069"	"0"	"94069"	"0"
"315"	"166 A"	"104"	"30"	"135"	"70"	"6"	"3"	"4"	"104"	"5"	"9"	"470"	"0"	"470"	"0"
"316"	"167"	"132"	"98"	"102"	"68"	"11"	"0"	"1"	"40"	"2"	"7"	"461"	"0"	"461"	"0"
"317"	"168"	"33"	"113"	"67"	"80"	"1"	"1"	"2"	"65"	"3"	"6"	"371"	"0"	"371"	"0"
"318"	"169"	"99"	"173"	"150"	"115"	"4"	"0"	"3"	"2"	"3"	"11"	"560"	"0"	"560"	"0"
"319"	"169 A"	"130"	"40"	"67"	"10"	"12"	"2"	"2"	"6"	"0"	"3"	"272"	"0"	"272"	"0"
"320"	"170"	"168"	"88"	"57"	"246"	"15"	"3"	"9"	"37"	"5"	"15"	"643"	"0"	"643"	"0"
"321"	"171"	"139"	"77"	"170"	"214"	"73"	"4"	"4"	"17"	"3"	"8"	"709"	"0"	"709"	"0"
"322"	"172"	"22"	"37"	"95"	"283"	"23"	"2"	"3"	"1"	"2"	"6"	"474"	"0"	"474"	"0"
"323"	"173"	"65"	"89"	"141"	"135"	"7"	"1"	"4"	"4"	"1"	"5"	"452"	"0"	"452"	"0"
"324"	"174"	"99"	"92"	"44"	"27"	"21"	"5"	"4"	"59"	"2"	"5"	"358"	"0"	"358"	"0"
"325"	"175"	"37"	"49"	"153"	"3"	"1"	"22"	"1"	"9"	"1"	"7"	"283"	"0"	"283"	"0"
"326"	"176"	"53"	"174"	"288"	"46"	"15"	"2"	"3"	"14"	"3"	"6"	"604"	"0"	"604"	"0"
"327"	"177"	"238"	"268"	"45"	"43"	"5"	"4"	"6"	"8"	"9"	"14"	"640"	"0"	"640"	"0"
"328"	"178"	"159"	"162"	"112"	"183"	"3"	"0"	"0"	"21"	"2"	"0"	"642"	"0"	"642"	"0"
"329"	"TOTAL"	"27172"	"23966"	"26698"	"15381"	"2568"	"1042"	"577"	"1716"	"535"	"1353"	"101008"	"0"	"101008"	"0"
"330"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"333"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"334"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"335"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"336"	"BF"	"27172"	"23966"	"26698"	"15381"	"2568"	"1042"	"577"	"1716"	"535"	"1353"	"101008"	"0"	"101008"	"0"
"337"	"179"	"107"	"150"	"100"	"70"	"0"	"0"	"1"	"23"	"1"	"3"	"455"	"0"	"455"	"0"
"338"	"180"	"57"	"56"	"52"	"118"	"5"	"2"	"2"	"61"	"4"	"3"	"360"	"0"	"360"	"0"
"339"	"180 A"	"143"	"60"	"96"	"35"	"3"	"0"	"3"	"75"	"3"	"4"	"422"	"0"	"422"	"0"
"340"	"181"	"107"	"9"	"143"	"9"	"0"	"0"	"2"	"93"	"1"	"0"	"364"	"0"	"364"	"0"
"341"	"182"	"165"	"226"	"84"	"152"	"9"	"7"	"12"	"12"	"4"	"15"	"686"	"0"	"686"	"0"
"342"	"183"	"124"	"25"	"65"	"36"	"2"	"1"	"1"	"23"	"1"	"2"	"280"	"0"	"280"	"0"
"343"	"183 A"	"114"	"143"	"28"	"129"	"2"	"10"	"4"	"7"	"7"	"12"	"456"	"0"	"456"	"0"
"344"	"184"	"108"	"70"	"106"	"40"	"7"	"144"	"5"	"8"	"7"	"12"	"507"	"0"	"507"	"0"
"345"	"185"	"298"	"175"	"149"	"168"	"12"	"1"	"7"	"5"	"5"	"18"	"838"	"0"	"838"	"0"
"346"	"186"	"209"	"47"	"119"	"171"	"7"	"3"	"3"	"70"	"6"	"16"	"651"	"0"	"651"	"0"
"347"	"187"	"136"	"45"	"128"	"198"	"16"	"7"	"14"	"141"	"8"	"24"	"717"	"0"	"717"	"0"
"348"	"188"	"44"	"7"	"41"	"27"	"5"	"7"	"7"	"360"	"7"	"7"	"512"	"0"	"512"	"0"
"349"	"188 A"	"37"	"42"	"28"	"102"	"3"	"1"	"2"	"23"	"4"	"0"	"242"	"0"	"242"	"0"
"350"	"189"	"73"	"95"	"166"	"68"	"82"	"10"	"6"	"175"	"8"	"6"	"689"	"0"	"689"	"0"
"351"	"TOTAL"	"28894"	"25116"	"28003"	"16704"	"2721"	"1235"	"646"	"2792"	"601"	"1475"	"108187"	"0"	"108187"	"0"
"352"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"355"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"356"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"357"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
"358"	"BF"	"28894"	"25116"	"28003"	"16704"	"2721"	"1235"	"646"	"2792"	"601"	"1475"	"108187"	"0"	"108187"	"0"
"359"	"190"	"23"	"77"	"92"	"118"	"11"	"3"	"6"	"188"	"5"	"10"	"533"	"0"	"533"	"0"
"360"	"191"	"187"	"14"	"153"	"180"	"7"	"2"	"2"	"27"	"2"	"15"	"589"	"0"	"589"	"0"
"361"	"192"	"84"	"105"	"50"	"332"	"11"	"4"	"12"	"7"	"6"	"13"	"624"	"0"	"624"	"0"
"362"	"193"	"40"	"135"	"165"	"89"	"14"	"8"	"6"	"10"	"5"	"21"	"493"	"0"	"493"	"0"
"363"	"193 A"	"68"	"5"	"110"	"5"	"9"	"2"	"1"	"46"	"0"	"1"	"247"	"0"	"247"	"0"
"364"	"194"	"191"	"87"	"74"	"119"	"5"	"1"	"10"	"15"	"4"	"6"	"512"	"0"	"512"	"0"
"365"	"195"	"114"	"126"	"286"	"20"	"4"	"1"	"3"	"23"	"2"	"3"	"582"	"0"	"582"	"0"
"366"	"196"	"135"	"173"	"82"	"56"	"2"	"1"	"6"	"3"	"4"	"21"	"483"	"0"	"483"	"0"
"367"	"197"	"70"	"86"	"343"	"134"	"6"	"47"	"11"	"9"	"2"	"8"	"716"	"0"	"716"	"0"
"368"	"198"	"33"	"117"	"315"	"28"	"2"	"6"	"4"	"6"	"2"	"5"	"518"	"0"	"518"	"0"
"369"	"199"	"27"	"32"	"263"	"13"	"3"	"9"	"3"	"3"	"2"	"6"	"361"	"0"	"361"	"0"
"370"	"200"	"11"	"51"	"316"	"32"	"3"	"3"	"1"	"0"	"2"	"2"	"421"	"0"	"421"	"0"
"371"	"201"	"28"	"192"	"239"	"19"	"2"	"5"	"5"	"6"	"3"	"0"	"499"	"0"	"499"	"0"
"372"	"202"	"71"	"49"	"400"	"45"	"6"	"7"	"8"	"5"	"1"	"9"	"601"	"0"	"601"	"0"
"373"	"TOTAL"	"29976"	"26365"	"30891"	"17894"	"2806"	"1334"	"724"	"3140"	"641"	"1595"	"115366"	"0"	"115366"	"0"
"374"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 240316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"377"	""	"1
ANAND"	"2
Dr. PRAMOD"	"3
RAM"	"4
RAM LAL"	"5
VIJAY SINGH"	"6
KAMESHWAR"	"7
AKSHAIBAR"	"8
ASHOK"	"9
RAMESH"	"10
SURENDRA"	""	""	""	""
"378"	""	"BHUSHAN"	"KUMAR"	"CHANDRA"	"SINGH"	"YADAV"	"PRASAD"	"SINGH"	"KUMAR"	"PASWAN"	"PRASAD"	""	""	""	""
"379"	""	"PANDEY"	"SINGH"	"SINGH YADAV"	""	""	""	""	"PANDEY"	""	""	""	""	""	""
