"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"59"	"31(A)"	""	"9"	""	""	"104"	""	""	""	"118"	""	""	""	""	"31"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"10"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"7"	""	""	""	""	"309"	""	""	""	""	"-"	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"32"	""	"18"	""	""	"244"	""	""	""	"81"	""	""	""	""	"30"	""	""	""	""	""	"51"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	""	""	"27"	""	""	""	""	"489"	""	""	""	""	"-"	""	""	""	""	"489"	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"33"	""	"34"	""	""	"193"	""	""	""	"86"	""	""	""	""	"162"	""	""	""	""	""	"16"	""	""	""	""	"3"	""	""	""	"23"	""	""	""	"6"	""	""	""	"17"	""	""	""	""	""	"15"	""	""	""	""	"12"	""	""	""	""	"15"	""	""	""	""	""	"18"	""	""	""	""	"600"	""	""	""	""	"-"	""	""	""	""	"600"	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"34"	""	"12"	""	""	"233"	""	""	""	"103"	""	""	""	""	"73"	""	""	""	""	""	"100"	""	""	""	""	"7"	""	""	""	"21"	""	""	""	"7"	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"10"	""	""	""	""	"581"	""	""	""	""	"-"	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"34(A)"	""	"1"	""	""	"5"	""	""	""	"8"	""	""	""	""	"41"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	"76"	""	""	""	""	"-"	""	""	""	""	"76"	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"35"	""	"9"	""	""	"55"	""	""	""	"61"	""	""	""	""	"117"	""	""	""	""	""	"8"	""	""	""	""	"14"	""	""	""	"11"	""	""	""	"7"	""	""	""	"9"	""	""	""	""	""	"17"	""	""	""	""	"12"	""	""	""	""	"11"	""	""	""	""	""	"30"	""	""	""	""	"361"	""	""	""	""	"-"	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"35(A)"	""	"4"	""	""	"199"	""	""	""	"74"	""	""	""	""	"56"	""	""	""	""	""	"13"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"367"	""	""	""	""	"-"	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Total :-"	""	"172"	""	""	"1752"	""	""	""	"1486"	""	""	""	""	"1195"	""	""	""	""	""	"372"	""	""	""	""	"89"	""	""	""	"104"	""	""	""	"54"	""	""	""	"90"	""	""	""	""	""	"118"	""	""	""	""	"88"	""	""	""	""	"103"	""	""	""	""	""	"184"	""	""	""	""	"5807"	""	""	""	""	"-"	""	""	""	""	"5807"	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"69"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"71"	"36"	""	"13"	""	""	"10"	""	""	""	"196"	""	""	""	""	"85"	""	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"11"	""	""	""	""	"8"	""	""	""	""	"10"	""	""	""	""	""	"18"	""	""	""	""	"372"	""	""	""	""	"-"	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"36(A)"	""	"7"	""	""	"61"	""	""	""	"82"	""	""	""	""	"34"	""	""	""	""	""	"15"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	""	"17"	""	""	""	""	"242"	""	""	""	""	"-"	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"37"	""	"14"	""	""	"32"	""	""	""	"254"	""	""	""	""	"121"	""	""	""	""	""	"48"	""	""	""	""	"9"	""	""	""	"8"	""	""	""	"6"	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	"14"	""	""	""	""	""	"30"	""	""	""	""	"564"	""	""	""	""	"-"	""	""	""	""	"564"	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"38"	""	"20"	""	""	"226"	""	""	""	"188"	""	""	""	""	"46"	""	""	""	""	""	"16"	""	""	""	""	"5"	""	""	""	"28"	""	""	""	"9"	""	""	""	"8"	""	""	""	""	""	"17"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	""	"12"	""	""	""	""	"589"	""	""	""	""	"-"	""	""	""	""	"589"	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"39"	""	"25"	""	""	"21"	""	""	""	"116"	""	""	""	""	"25"	""	""	""	""	""	"89"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	"303"	""	""	""	""	"-"	""	""	""	""	"303"	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"40"	""	"9"	""	""	"68"	""	""	""	"406"	""	""	""	""	"51"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"19"	""	""	""	""	"571"	""	""	""	""	"-"	""	""	""	""	"571"	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"41"	""	"11"	""	""	"241"	""	""	""	"257"	""	""	""	""	"50"	""	""	""	""	""	"53"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	"640"	""	""	""	""	"-"	""	""	""	""	"640"	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"42"	""	"24"	""	""	"81"	""	""	""	"68"	""	""	""	""	"315"	""	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"502"	""	""	""	""	"-"	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"42(A)"	""	"19"	""	""	"330"	""	""	""	"91"	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"17"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"469"	""	""	""	""	"-"	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"43"	""	"13"	""	""	"19"	""	""	""	"72"	""	""	""	""	"298"	""	""	""	""	""	"56"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"52"	""	""	""	""	"539"	""	""	""	""	"-"	""	""	""	""	"539"	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"43(A)"	""	"11"	""	""	"55"	""	""	""	"54"	""	""	""	""	"11"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"161"	""	""	""	""	"-"	""	""	""	""	"161"	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"44"	""	"28"	""	""	"57"	""	""	""	"50"	""	""	""	""	"150"	""	""	""	""	""	"74"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"1"	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	""	"20"	""	""	""	""	"424"	""	""	""	""	"-"	""	""	""	""	"424"	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"45"	""	"13"	""	""	"221"	""	""	""	"72"	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"6"	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	"12"	""	""	""	""	"385"	""	""	""	""	"-"	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"46"	""	"98"	""	""	"40"	""	""	""	"119"	""	""	""	""	"112"	""	""	""	""	""	"31"	""	""	""	""	"7"	""	""	""	"5"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	""	"14"	""	""	""	""	"4"	""	""	""	""	"12"	""	""	""	""	""	"23"	""	""	""	""	"475"	""	""	""	""	"-"	""	""	""	""	"475"	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Total :-"	""	"305"	""	""	"1462"	""	""	""	"2025"	""	""	""	""	"1321"	""	""	""	""	""	"424"	""	""	""	""	"41"	""	""	""	"88"	""	""	""	"41"	""	""	""	"68"	""	""	""	""	""	"110"	""	""	""	""	"55"	""	""	""	""	"74"	""	""	""	""	""	"222"	""	""	""	""	"6236"	""	""	""	""	"-"	""	""	""	""	"6236"	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"87"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"89"	"47"	""	"13"	""	""	"126"	""	""	""	"211"	""	""	""	""	"12"	""	""	""	""	"15"	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"10"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"18"	""	""	""	""	"434"	""	""	""	""	""	"-"	""	""	""	""	"434"	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"48"	""	"14"	""	""	"32"	""	""	""	"80"	""	""	""	""	"146"	""	""	""	""	"47"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"4"	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	"8"	""	""	""	""	"367"	""	""	""	""	""	"-"	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"49"	""	"6"	""	""	"102"	""	""	""	"223"	""	""	""	""	"78"	""	""	""	""	"29"	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	"2"	""	""	"4"	""	""	""	""	""	"13"	""	""	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	""	"488"	""	""	""	""	""	"-"	""	""	""	""	"488"	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"50"	""	"4"	""	""	"227"	""	""	""	"88"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"333"	""	""	""	""	""	"-"	""	""	""	""	"333"	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"51"	""	"23"	""	""	"235"	""	""	""	"143"	""	""	""	""	"123"	""	""	""	""	"36"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"4"	""	""	"2"	""	""	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"600"	""	""	""	""	""	"-"	""	""	""	""	"600"	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"52"	""	"4"	""	""	"37"	""	""	""	"16"	""	""	""	""	"641"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"702"	""	""	""	""	""	"-"	""	""	""	""	"702"	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"53"	""	"22"	""	""	"478"	""	""	""	"114"	""	""	""	""	"26"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"13"	""	""	""	"7"	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"695"	""	""	""	""	""	"-"	""	""	""	""	"695"	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"54"	""	"16"	""	""	"37"	""	""	""	"155"	""	""	""	""	"339"	""	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"583"	""	""	""	""	""	"-"	""	""	""	""	"583"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"55"	""	"27"	""	""	"33"	""	""	""	"385"	""	""	""	""	"171"	""	""	""	""	"12"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"657"	""	""	""	""	""	"-"	""	""	""	""	"657"	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"56"	""	"1"	""	""	"1"	""	""	""	"86"	""	""	""	""	"324"	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"429"	""	""	""	""	""	"-"	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"57"	""	"5"	""	""	"30"	""	""	""	"207"	""	""	""	""	"154"	""	""	""	""	"15"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	""	"434"	""	""	""	""	""	"-"	""	""	""	""	"434"	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"58"	""	"4"	""	""	"66"	""	""	""	"109"	""	""	""	""	"110"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"4"	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	"328"	""	""	""	""	""	"-"	""	""	""	""	"328"	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"59"	""	"20"	""	""	"78"	""	""	""	"118"	""	""	""	""	"146"	""	""	""	""	"29"	""	""	""	""	"2"	""	""	""	""	"21"	""	""	""	"4"	""	""	"10"	""	""	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	""	"17"	""	""	""	""	"470"	""	""	""	""	""	"-"	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"60"	""	""	""	""	"17"	""	""	""	"29"	""	""	""	""	"562"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"612"	""	""	""	""	""	"-"	""	""	""	""	"612"	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Total :-"	""	"159"	""	""	"1499"	""	""	""	"1964"	""	""	""	""	"2836"	""	""	""	""	"219"	""	""	""	""	"28"	""	""	""	""	"68"	""	""	""	"34"	""	""	"37"	""	""	""	""	""	"85"	""	""	""	""	""	"54"	""	""	""	""	"57"	""	""	""	""	"92"	""	""	""	""	"7132"	""	""	""	""	""	"-"	""	""	""	""	"7132"	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"105"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"107"	"61"	""	"1"	""	""	"19"	""	""	""	"20"	""	""	""	""	"460"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"511"	""	""	""	""	"-"	""	""	""	""	"511"	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"62"	""	"19"	""	""	"26"	""	""	""	"52"	""	""	""	""	"124"	""	""	""	""	""	"68"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"1"	""	""	""	"7"	""	""	""	""	""	"15"	""	""	""	""	"8"	""	""	""	""	"10"	""	""	""	""	""	"18"	""	""	""	""	"354"	""	""	""	""	"-"	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"63"	""	"47"	""	""	"112"	""	""	""	"164"	""	""	""	""	"127"	""	""	""	""	""	"50"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"12"	""	""	""	"8"	""	""	""	""	""	"21"	""	""	""	""	"6"	""	""	""	""	"17"	""	""	""	""	""	"25"	""	""	""	""	"597"	""	""	""	""	"-"	""	""	""	""	"597"	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"64"	""	"11"	""	""	"229"	""	""	""	"90"	""	""	""	""	"81"	""	""	""	""	""	"18"	""	""	""	""	"3"	""	""	""	"7"	""	""	""	"13"	""	""	""	"6"	""	""	""	""	""	"20"	""	""	""	""	"13"	""	""	""	""	"18"	""	""	""	""	""	"30"	""	""	""	""	"539"	""	""	""	""	"-"	""	""	""	""	"539"	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"65"	""	"39"	""	""	"106"	""	""	""	"320"	""	""	""	""	"120"	""	""	""	""	""	"11"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"12"	""	""	""	"9"	""	""	""	""	""	"31"	""	""	""	""	"11"	""	""	""	""	"14"	""	""	""	""	""	"25"	""	""	""	""	"705"	""	""	""	""	"-"	""	""	""	""	"705"	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"66"	""	"38"	""	""	"75"	""	""	""	"248"	""	""	""	""	"108"	""	""	""	""	""	"37"	""	""	""	""	"9"	""	""	""	"5"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	"11"	""	""	""	""	"11"	""	""	""	""	""	"13"	""	""	""	""	"568"	""	""	""	""	"-"	""	""	""	""	"568"	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"66 A"	""	"17"	""	""	"7"	""	""	""	"223"	""	""	""	""	"26"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"11"	""	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"312"	""	""	""	""	"-"	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"67"	""	"17"	""	""	"186"	""	""	""	"91"	""	""	""	""	"138"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"38"	""	""	""	""	"488"	""	""	""	""	"-"	""	""	""	""	"488"	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"68"	""	"8"	""	""	"154"	""	""	""	"91"	""	""	""	""	"104"	""	""	""	""	""	"32"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"3"	""	""	""	"5"	""	""	""	""	""	"20"	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	""	"16"	""	""	""	""	"460"	""	""	""	""	"-"	""	""	""	""	"460"	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"69"	""	"7"	""	""	"86"	""	""	""	"58"	""	""	""	""	"183"	""	""	""	""	""	"18"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	""	"16"	""	""	""	""	"392"	""	""	""	""	"-"	""	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"70"	""	"9"	""	""	"28"	""	""	""	"141"	""	""	""	""	"212"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"14"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	""	"11"	""	""	""	""	"431"	""	""	""	""	"-"	""	""	""	""	"431"	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"70A"	""	"2"	""	""	"65"	""	""	""	"21"	""	""	""	""	"297"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"398"	""	""	""	""	"-"	""	""	""	""	"398"	""	""	""	""	""	""	""	""	""	""	""	""	""
