"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Name of the Assembly Constituency : - 90 - Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"234"	"206"	"167A"	"95"	"3"	"21"	"13"	"2"	"2"	"4"	"140"	"-"	"140"	""
"235"	"207"	"168"	"201"	"13"	"248"	"27"	"6"	"3"	"19"	"517"	"-"	"517"	""
"236"	"208"	"169"	"210"	"14"	"184"	"73"	"8"	"7"	"20"	"516"	"-"	"516"	""
"237"	"209"	"170"	"8"	"3"	"248"	"3"	"3"	"3"	"0"	"268"	"-"	"268"	""
"238"	"210"	"170A"	"21"	"4"	"130"	"15"	"1"	"2"	"6"	"179"	"-"	"179"	""
"239"	"211"	"171"	"61"	"6"	"222"	"117"	"5"	"8"	"17"	"436"	"-"	"436"	""
"240"	"212"	"172"	"99"	"8"	"132"	"32"	"10"	"2"	"5"	"288"	"-"	"288"	""
"241"	"213"	"173"	"383"	"31"	"218"	"37"	"13"	"7"	"26"	"715"	"-"	"715"	""
"242"	"214"	"174"	"415"	"10"	"46"	"76"	"6"	"6"	"19"	"578"	"-"	"578"	""
"243"	"215"	"175"	"19"	"4"	"215"	"100"	"7"	"3"	"10"	"358"	"-"	"358"	""
"244"	"216"	"176"	"16"	"9"	"189"	"8"	"8"	"3"	"7"	"240"	"-"	"240"	""
"245"	"217"	"176A"	"10"	"2"	"127"	"3"	"4"	"2"	"7"	"155"	"-"	"155"	""
"246"	"218"	"177"	"211"	"12"	"66"	"17"	"2"	"4"	"13"	"325"	"-"	"325"	""
"247"	"219"	"177A"	"102"	"10"	"170"	"25"	"7"	"5"	"20"	"339"	"-"	"339"	""
"248"	"220"	"178"	"233"	"15"	"204"	"25"	"6"	"5"	"6"	"494"	"-"	"494"	""
"249"	"221"	"179"	"105"	"12"	"219"	"22"	"7"	"3"	"11"	"379"	"-"	"379"	""
"250"	"222"	"180"	"244"	"8"	"59"	"9"	"3"	"3"	"13"	"339"	"-"	"339"	""
"251"	"223"	"181"	"197"	"11"	"231"	"51"	"16"	"11"	"25"	"542"	"-"	"542"	""
"252"	"224"	"182"	"255"	"16"	"94"	"223"	"13"	"10"	"23"	"634"	"-"	"634"	""
"253"	"225"	"183"	"292"	"7"	"91"	"9"	"2"	"3"	"6"	"410"	"-"	"410"	""
"254"	"226"	"184"	"375"	"25"	"97"	"76"	"6"	"6"	"19"	"604"	"-"	"604"	""
"255"	"227"	"185"	"140"	"2"	"38"	"62"	"8"	"8"	"8"	"266"	"-"	"266"	""
"256"	"228"	"186"	"162"	"3"	"18"	"60"	"10"	"3"	"7"	"263"	"-"	"263"	""
"257"	"229"	"186A"	"107"	"9"	"173"	"14"	"4"	"2"	"9"	"318"	"-"	"318"	""
"258"	"230"	"187"	"140"	"13"	"111"	"65"	"10"	"2"	"10"	"351"	"-"	"351"	""
"259"	"231"	"188"	"30"	"15"	"285"	"22"	"4"	"5"	"12"	"373"	"-"	"373"	""
"260"	"232"	"189"	"159"	"8"	"69"	"76"	"5"	"9"	"16"	"342"	"-"	"342"	""
"261"	"233"	"190"	"200"	"8"	"103"	"17"	"5"	"2"	"4"	"339"	"-"	"339"	""
"262"	"234"	"191"	"316"	"10"	"71"	"8"	"7"	"4"	"2"	"418"	"-"	"418"	""
"263"	"235"	"192"	"17"	"13"	"494"	"17"	"3"	"1"	"5"	"550"	"-"	"550"	""
"264"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"265"	""	""	"Ashok Kumar Yadav"	"Durga Nand Mahavir Nayak"	"Mahboob Ahmad Khan"	"Mahesh Prasad Gupta"	"Mushtaque Ahmad"	"Md.
Qurban Ali"	"Rakesh Kumar Pandey"	""	""	""	""
"266"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"11"	"12"	"13"	"14"
"267"	"236"	"193"	"96"	"9"	"232"	"28"	"10"	"3"	"17"	"395"	"-"	"395"	""
"268"	"237"	"194"	"402"	"22"	"63"	"26"	"9"	"11"	"44"	"577"	"-"	"577"	""
"269"	"238"	"195"	"223"	"11"	"175"	"62"	"12"	"4"	"16"	"503"	"-"	"503"	""
"270"	"239"	"196"	"165"	"11"	"88"	"37"	"7"	"2"	"14"	"324"	"-"	"324"	""
"271"	"240"	"196A"	"64"	"11"	"58"	"41"	"4"	"7"	"13"	"198"	"-"	"198"	""
"272"	"241"	"197"	"51"	"7"	"70"	"25"	"5"	"4"	"9"	"171"	"-"	"171"	""
"273"	"242"	"198"	"267"	"5"	"44"	"25"	"3"	"3"	"11"	"358"	"-"	"358"	""
"274"	"243"	"199"	"23"	"3"	"232"	"23"	"9"	"7"	"7"	"304"	"-"	"304"	""
"275"	"244"	"200"	"6"	"1"	"327"	"9"	"1"	"0"	"1"	"345"	"-"	"345"	""
"276"	"245"	"201"	"229"	"10"	"89"	"4"	"2"	"1"	"11"	"346"	"-"	"346"	""
"277"	"246"	"202"	"259"	"12"	"119"	"66"	"5"	"5"	"23"	"489"	"-"	"489"	""
"278"	"Total No. of votes recording at polling Stations"	""	"41817"	"2733"	"35165"	"9446"	"1737"	"1721"	"3591"	"96210"	"-"	"96210"	""
"279"	"No. of votes recorded"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"280"	"Total Votes polled"	""	"41817"	"2733"	"35165"	"9446"	"1737"	"1721"	"3591"	"96210"	"-"	"96210"	""
"281"	"Place :   DARBHANGA                                                                                                                                              Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Date  :   22.11.2005                                                                                                                                                 90-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
