"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 103 BALIA A.C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly  :  103- BALIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"199"	"139"	"178"	"4"	"6"	"6"	"277"	"10"	"2"	"4"	"15"	"19"	"521"	"0"	"521"	"0"
"200"	"140"	"305"	"8"	"0"	"1"	"123"	"11"	"2"	"5"	"10"	"19"	"484"	"0"	"484"	"0"
"201"	"141"	"174"	"0"	"1"	"0"	"69"	"6"	"5"	"2"	"4"	"3"	"264"	"0"	"264"	"0"
"202"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"203"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"204"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"205"	"142"	"390"	"3"	"3"	"0"	"68"	"1"	"0"	"0"	"0"	"6"	"471"	"0"	"471"	"0"
"206"	"142A"	"200"	"3"	"3"	"2"	"101"	"3"	"3"	"1"	"2"	"11"	"329"	"0"	"329"	"0"
"207"	"143"	"189"	"5"	"64"	"7"	"102"	"5"	"3"	"3"	"9"	"6"	"393"	"0"	"393"	"0"
"208"	"144"	"445"	"10"	"11"	"5"	"57"	"5"	"3"	"4"	"13"	"12"	"565"	"0"	"565"	"0"
"209"	"145"	"378"	"4"	"8"	"2"	"32"	"3"	"2"	"4"	"5"	"9"	"447"	"0"	"447"	"0"
"210"	"145A"	"287"	"4"	"1"	"1"	"56"	"3"	"3"	"3"	"10"	"23"	"391"	"0"	"391"	"0"
"211"	"146"	"457"	"2"	"3"	"1"	"12"	"5"	"2"	"0"	"3"	"10"	"495"	"0"	"495"	"0"
"212"	"147"	"186"	"6"	"24"	"3"	"96"	"0"	"1"	"3"	"2"	"5"	"326"	"0"	"326"	"0"
"213"	"147A"	"88"	"9"	"10"	"2"	"97"	"4"	"2"	"0"	"0"	"1"	"213"	"0"	"213"	"0"
"214"	"148"	"194"	"10"	"2"	"7"	"244"	"7"	"1"	"3"	"3"	"9"	"480"	"0"	"480"	"0"
"215"	"149"	"265"	"9"	"8"	"9"	"60"	"6"	"9"	"7"	"17"	"27"	"417"	"0"	"417"	"0"
"216"	"150"	"40"	"5"	"4"	"8"	"242"	"9"	"6"	"9"	"10"	"14"	"347"	"0"	"347"	"0"
"217"	"151"	"289"	"4"	"8"	"5"	"151"	"6"	"5"	"2"	"5"	"25"	"500"	"0"	"500"	"0"
"218"	"152"	"197"	"26"	"31"	"4"	"52"	"2"	"1"	"5"	"11"	"11"	"340"	"0"	"340"	"0"
"219"	"153"	"155"	"6"	"3"	"22"	"183"	"8"	"3"	"3"	"7"	"13"	"403"	"0"	"403"	"0"
"220"	"154"	"191"	"2"	"15"	"6"	"217"	"6"	"7"	"1"	"8"	"12"	"465"	"0"	"465"	"0"
"221"	"155"	"121"	"7"	"32"	"6"	"590"	"17"	"9"	"9"	"14"	"22"	"827"	"0"	"827"	"0"
"222"	"156"	"172"	"8"	"4"	"1"	"192"	"4"	"3"	"1"	"9"	"12"	"406"	"0"	"406"	"0"
"223"	"157"	"90"	"8"	"5"	"9"	"440"	"14"	"10"	"1"	"8"	"18"	"603"	"0"	"603"	"0"
"224"	"158"	"111"	"2"	"51"	"1"	"238"	"7"	"4"	"5"	"5"	"12"	"436"	"0"	"436"	"0"
"225"	"159"	"307"	"14"	"10"	"6"	"163"	"12"	"2"	"7"	"3"	"34"	"558"	"0"	"558"	"0"
"226"	"160"	"27"	"3"	"3"	"5"	"357"	"16"	"5"	"6"	"4"	"17"	"443"	"0"	"443"	"0"
"227"	"161"	"29"	"5"	"10"	"6"	"388"	"20"	"4"	"5"	"3"	"7"	"477"	"0"	"477"	"0"
"228"	"162"	"212"	"8"	"4"	"7"	"229"	"10"	"6"	"7"	"12"	"10"	"505"	"0"	"505"	"0"
"229"	"163"	"80"	"2"	"17"	"11"	"373"	"18"	"6"	"4"	"9"	"19"	"539"	"0"	"539"	"0"
"230"	"164"	"191"	"3"	"10"	"2"	"175"	"6"	"6"	"0"	"7"	"6"	"406"	"0"	"406"	"0"
"231"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejected"	"Total"	"No.of"
"232"	""	"Jamshed Asraf"	"Doctor Ram Uday Sharma"	"Tarique Matin"	"Diwakar Sah"	"Shreenarayan Yadav"	"Md. Samsu Joha"	"Natrajan Sah"	"Maya Yadav"	"Rakesh Patel"	"Baleshwar Azad"	"valid votes"	"votes"	""	"Tendered votes"
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"234"	"165"	"211"	"2"	"2"	"1"	"129"	"2"	"2"	"3"	"0"	"4"	"356"	"0"	"356"	"0"
"235"	"165A"	"213"	"1"	"0"	"3"	"72"	"4"	"1"	"2"	"13"	"3"	"312"	"0"	"312"	"0"
"236"	"166"	"205"	"2"	"15"	"5"	"228"	"8"	"5"	"2"	"7"	"10"	"487"	"0"	"487"	"0"
"237"	"167"	"17"	"1"	"2"	"2"	"788"	"16"	"3"	"0"	"3"	"6"	"838"	"0"	"838"	"0"
"238"	"168"	"23"	"1"	"2"	"8"	"539"	"19"	"6"	"3"	"1"	"13"	"615"	"0"	"615"	"0"
"239"	"Total No. of Votes recorded on Polling Stations"	"46987"	"1430"	"5341"	"1247"	"28992"	"1914"	"982"	"887"	"1948"	"2885"	"92613"	"0"	"92613"	"0"
"240"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"241"	"Total Votes Polled"	"46987"	"1430"	"5341"	"1247"	"28992"	"1914"	"982"	"887"	"1948"	"2885"	"92613"	"0"	"92613"	"0"
"242"	"Place :          Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Date :            11/22/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"103- Balia A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"103- Balia A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""
