"No..and.Name.of.Assembly.Constituency.36.BANIYAPUR.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"110"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"26"	""	"61"	""	""	"9"	""	""	""	"191"	""	"13"	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	"5"	""	""	"294"	""	""	""	"0"	""	""	""	"294"	""	""	""	""	""	""
"122"	"26A"	""	"73"	""	""	"6"	""	""	""	"221"	""	"5"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	"7"	""	""	"317"	""	""	""	"0"	""	""	""	"317"	""	""	""	""	""	""
"123"	"27"	""	"159"	""	""	"31"	""	""	""	"51"	""	"89"	""	""	""	""	"13"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"12"	""	""	"24"	""	""	"386"	""	""	""	"0"	""	""	""	"386"	""	""	""	""	""	""
"124"	"28"	""	"219"	""	""	"16"	""	""	""	"203"	""	"40"	""	""	""	""	"10"	""	""	""	""	"15"	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	"14"	""	""	"529"	""	""	""	"0"	""	""	""	"529"	""	""	""	""	""	""
"125"	"29"	""	"32"	""	""	"0"	""	""	""	"258"	""	"3"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"0"	""	""	"297"	""	""	""	"0"	""	""	""	"297"	""	""	""	""	""	""
"126"	"30"	""	"22"	""	""	"4"	""	""	""	"116"	""	"120"	""	""	""	""	"10"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	"29"	""	""	"319"	""	""	""	"0"	""	""	""	"319"	""	""	""	""	""	""
"127"	"31"	""	"85"	""	""	"8"	""	""	""	"78"	""	"66"	""	""	""	""	"14"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	""	"8"	""	""	"8"	""	""	"281"	""	""	""	"0"	""	""	""	"281"	""	""	""	""	""	""
"128"	"32"	""	"151"	""	""	"14"	""	""	""	"205"	""	"20"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	"4"	""	""	"408"	""	""	""	"0"	""	""	""	"408"	""	""	""	""	""	""
"129"	"33"	""	"67"	""	""	"14"	""	""	""	"299"	""	"30"	""	""	""	""	"9"	""	""	""	""	"19"	""	""	""	""	"13"	""	""	""	""	""	"12"	""	""	"19"	""	""	"482"	""	""	""	"0"	""	""	""	"482"	""	""	""	""	""	""
"130"	"34"	""	"163"	""	""	"17"	""	""	""	"345"	""	"15"	""	""	""	""	"7"	""	""	""	""	"13"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	"4"	""	""	"570"	""	""	""	"0"	""	""	""	"570"	""	""	""	""	""	""
"131"	"35"	""	"148"	""	""	"11"	""	""	""	"333"	""	"31"	""	""	""	""	"11"	""	""	""	""	"14"	""	""	""	""	"3"	""	""	""	""	""	"9"	""	""	"0"	""	""	"560"	""	""	""	"0"	""	""	""	"560"	""	""	""	""	""	""
"132"	"36"	""	"158"	""	""	"8"	""	""	""	"224"	""	"14"	""	""	""	""	"10"	""	""	""	""	"29"	""	""	""	""	"25"	""	""	""	""	""	"12"	""	""	"18"	""	""	"498"	""	""	""	"0"	""	""	""	"498"	""	""	""	""	""	""
"133"	"37"	""	"66"	""	""	"12"	""	""	""	"209"	""	"17"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	"8"	""	""	"330"	""	""	""	"0"	""	""	""	"330"	""	""	""	""	""	""
"134"	"37A"	""	"68"	""	""	"3"	""	""	""	"296"	""	"7"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	"9"	""	""	"397"	""	""	""	"0"	""	""	""	"397"	""	""	""	""	""	""
"135"	"Total"	""	"1472"	""	""	"153"	""	""	""	"3029"	""	"470"	""	""	""	""	"95"	""	""	""	""	"142"	""	""	""	""	"87"	""	""	""	""	""	"71"	""	""	"149"	""	""	"5668"	""	""	""	"0"	""	""	""	"5668"	""	""	""	""	""	""
"136"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"38"	""	"107"	""	""	"1"	""	""	""	"132"	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	"3"	""	""	"250"	""	""	""	"0"	""	""	""	"250"	""	""	""	""	""	""
"165"	"39"	""	"189"	""	""	"9"	""	""	""	"146"	""	"6"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	"15"	""	""	""	""	""	"8"	""	""	"22"	""	""	"405"	""	""	""	"0"	""	""	""	"405"	""	""	""	""	""	""
"166"	"40"	""	"197"	""	""	"8"	""	""	""	"314"	""	"9"	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	"14"	""	""	"557"	""	""	""	"0"	""	""	""	"557"	""	""	""	""	""	""
"167"	"41"	""	"157"	""	""	"14"	""	""	""	"92"	""	"36"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	"28"	""	""	"353"	""	""	""	"0"	""	""	""	"353"	""	""	""	""	""	""
"168"	"42"	""	"214"	""	""	"20"	""	""	""	"31"	""	"7"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	"35"	""	""	"323"	""	""	""	"0"	""	""	""	"323"	""	""	""	""	""	""
"169"	"42a"	""	"166"	""	""	"14"	""	""	""	"89"	""	"3"	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	"19"	""	""	"305"	""	""	""	"0"	""	""	""	"305"	""	""	""	""	""	""
"170"	"43"	""	"196"	""	""	"11"	""	""	""	"130"	""	"17"	""	""	""	""	"10"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	"6"	""	""	"382"	""	""	""	"0"	""	""	""	"382"	""	""	""	""	""	""
"171"	"44"	""	"79"	""	""	"16"	""	""	""	"282"	""	"27"	""	""	""	""	"6"	""	""	""	""	"31"	""	""	""	""	"32"	""	""	""	""	""	"12"	""	""	"23"	""	""	"508"	""	""	""	"0"	""	""	""	"508"	""	""	""	""	""	""
"172"	"45"	""	"144"	""	""	"9"	""	""	""	"18"	""	"8"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	"10"	""	""	"197"	""	""	""	"0"	""	""	""	"197"	""	""	""	""	""	""
"173"	"46"	""	"156"	""	""	"9"	""	""	""	"187"	""	"6"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	"11"	""	""	"391"	""	""	""	"0"	""	""	""	"391"	""	""	""	""	""	""
"174"	"47"	""	"46"	""	""	"4"	""	""	""	"227"	""	"11"	""	""	""	""	"3"	""	""	""	""	"20"	""	""	""	""	"15"	""	""	""	""	""	"5"	""	""	"16"	""	""	"347"	""	""	""	"0"	""	""	""	"347"	""	""	""	""	""	""
"175"	"47a"	""	"233"	""	""	"17"	""	""	""	"74"	""	"9"	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	""	"13"	""	""	""	""	""	"2"	""	""	"29"	""	""	"391"	""	""	""	"0"	""	""	""	"391"	""	""	""	""	""	""
"176"	"48"	""	"146"	""	""	"8"	""	""	""	"148"	""	"19"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	"22"	""	""	"358"	""	""	""	"0"	""	""	""	"358"	""	""	""	""	""	""
"177"	"49"	""	"85"	""	""	"8"	""	""	""	"241"	""	"16"	""	""	""	""	"5"	""	""	""	""	"12"	""	""	""	""	"8"	""	""	""	""	""	"8"	""	""	"24"	""	""	"407"	""	""	""	"0"	""	""	""	"407"	""	""	""	""	""	""
"178"	"Total"	""	"2115"	""	""	"148"	""	""	""	"2111"	""	"176"	""	""	""	""	"58"	""	""	""	""	"114"	""	""	""	""	"130"	""	""	""	""	""	"60"	""	""	"262"	""	""	"5174"	""	""	""	"0"	""	""	""	"5174"	""	""	""	""	""	""
"179"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"50"	""	"181"	""	""	"13"	""	""	""	"219"	""	"22"	""	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	"12"	""	""	""	""	""	"11"	""	""	"20"	""	""	"490"	""	""	""	"0"	""	""	""	"490"	""	""	""	""	""	""
"208"	"51"	""	"96"	""	""	"10"	""	""	""	"150"	""	"37"	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	"17"	""	""	"331"	""	""	""	"0"	""	""	""	"331"	""	""	""	""	""	""
"209"	"51a"	""	"80"	""	""	"12"	""	""	""	"206"	""	"17"	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	"20"	""	""	"349"	""	""	""	"0"	""	""	""	"349"	""	""	""	""	""	""
"210"	"52"	""	"77"	""	""	"6"	""	""	""	"192"	""	"6"	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	"16"	""	""	"318"	""	""	""	"0"	""	""	""	"318"	""	""	""	""	""	""
"211"	"52a"	""	"221"	""	""	"8"	""	""	""	"108"	""	"24"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"7"	""	""	"384"	""	""	""	"0"	""	""	""	"384"	""	""	""	""	""	""
"212"	"53"	""	"67"	""	""	"13"	""	""	""	"84"	""	"6"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	"11"	""	""	"194"	""	""	""	"0"	""	""	""	"194"	""	""	""	""	""	""
"213"	"54"	""	"250"	""	""	"18"	""	""	""	"328"	""	"13"	""	""	""	""	"8"	""	""	""	""	"16"	""	""	""	""	"8"	""	""	""	""	""	"13"	""	""	"15"	""	""	"669"	""	""	""	"0"	""	""	""	"669"	""	""	""	""	""	""
"214"	"55"	""	"242"	""	""	"15"	""	""	""	"208"	""	"19"	""	""	""	""	"9"	""	""	""	""	"10"	""	""	""	""	"16"	""	""	""	""	""	"5"	""	""	"16"	""	""	"540"	""	""	""	"0"	""	""	""	"540"	""	""	""	""	""	""
"215"	"56"	""	"257"	""	""	"18"	""	""	""	"134"	""	"14"	""	""	""	""	"3"	""	""	""	""	"14"	""	""	""	""	"8"	""	""	""	""	""	"13"	""	""	"17"	""	""	"478"	""	""	""	"0"	""	""	""	"478"	""	""	""	""	""	""
"216"	"57"	""	"259"	""	""	"15"	""	""	""	"186"	""	"17"	""	""	""	""	"12"	""	""	""	""	"12"	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	"12"	""	""	"521"	""	""	""	"0"	""	""	""	"521"	""	""	""	""	""	""
"217"	"58"	""	"136"	""	""	"4"	""	""	""	"31"	""	"10"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	"10"	""	""	"203"	""	""	""	"0"	""	""	""	"203"	""	""	""	""	""	""
"218"	"59"	""	"381"	""	""	"33"	""	""	""	"124"	""	"14"	""	""	""	""	"6"	""	""	""	""	"11"	""	""	""	""	"11"	""	""	""	""	""	"9"	""	""	"24"	""	""	"613"	""	""	""	"0"	""	""	""	"613"	""	""	""	""	""	""
