"FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.195.PALIGANJ.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	"DEV SHANKAR PRASAD"	""	""	""	"NAND KUMAR NANDA"	""	""	"SHAMSHIR ALAM"	""	""	""	"RANJAY KUMAR"	""	""	""	"RAM RAKSHA PRASAD"	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	"OM PRAKASH CHAUDHARY"	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""
"60"	"32"	"67"	""	""	""	"105"	""	""	""	"6"	""	""	"265"	""	""	""	"22"	""	""	""	"3"	""	""	"5"	""	""	""	""	"9"	""	""	""	"6"	""	""	""	"26"	""	""	""	"4"	""	""	""	"7"	""	""	"5"	""	""	""	"9"	""	""	"539"	""	""	""	""	""	""	""	"539"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"33"	"100"	""	""	""	"94"	""	""	""	"7"	""	""	"293"	""	""	""	"17"	""	""	""	"2"	""	""	"4"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"22"	""	""	""	"11"	""	""	""	"4"	""	""	"4"	""	""	""	"5"	""	""	"575"	""	""	""	""	""	""	""	"575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"34"	"117"	""	""	""	"50"	""	""	""	"0"	""	""	"116"	""	""	""	"10"	""	""	""	"1"	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"5"	""	""	""	"3"	""	""	"3"	""	""	""	"5"	""	""	"315"	""	""	""	""	""	""	""	"315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"35"	"42"	""	""	""	"117"	""	""	""	"4"	""	""	"63"	""	""	""	"21"	""	""	""	"1"	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	"261"	""	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"36"	"28"	""	""	""	"83"	""	""	""	"4"	""	""	"137"	""	""	""	"10"	""	""	""	"2"	""	""	"3"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"7"	""	""	""	"5"	""	""	""	"3"	""	""	"1"	""	""	""	"1"	""	""	"290"	""	""	""	""	""	""	""	"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"37"	"3"	""	""	""	"60"	""	""	""	"1"	""	""	"105"	""	""	""	"34"	""	""	""	"2"	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"11"	""	""	""	"2"	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	"223"	""	""	""	""	""	""	""	"223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Total"	"1223"	""	""	""	"1580"	""	""	""	"57"	""	""	"2008"	""	""	""	"171"	""	""	""	"36"	""	""	"34"	""	""	""	""	"34"	""	""	""	"37"	""	""	""	"171"	""	""	""	"72"	""	""	""	"49"	""	""	"51"	""	""	""	"84"	""	""	"5607"	""	""	""	""	""	""	""	"5607"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"67"	"Till last
round"	"3504"	""	""	""	"2694"	""	""	""	"110"	""	""	"2624"	""	""	""	"258"	""	""	""	"37"	""	""	"49"	""	""	""	""	"72"	""	""	""	"174"	""	""	""	"232"	""	""	""	"129"	""	""	""	"80"	""	""	"85"	""	""	""	"159"	""	""	"10207"	""	""	""	"0"	""	""	""	"10207"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"68"	"Grand
Total"	"4727"	""	""	""	"4274"	""	""	""	"167"	""	""	"4632"	""	""	""	"429"	""	""	""	"73"	""	""	"83"	""	""	""	""	"106"	""	""	""	"211"	""	""	""	"403"	""	""	""	"201"	""	""	""	"129"	""	""	"136"	""	""	""	"243"	""	""	"15814"	""	""	""	"0"	""	""	""	"15814"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"69"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Seal & Signature"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 195-PALIGANJ ASSEMBLY CONSTITUNECY
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ROUND-4"	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Serial no. of polling station"	""	"DR.USHA VIDYARTHI"	""	""	"DINANATH SINGH YADAV"	""	""	""	"DEV SHANKAR PRASAD"	""	""	""	"NAND KUMAR NANDA"	""	""	""	"SHAMSHIR ALAM"	""	""	""	"RANJAY KUMAR"	""	""	"RAM RAKSHA PRASAD"	""	""	""	""	"SATISH CHANDRA SHARMA"	""	""	""	"AJAY KUMAR"	""	""	""	"OM PRAKASH CHAUDHARY"	""	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	"WAKIL MIYA"	""	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""
"76"	"38"	""	"94"	""	""	"67"	""	""	""	"4"	""	""	""	"209"	""	""	""	"4"	""	""	""	"5"	""	""	"5"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"16"	""	""	""	"9"	""	""	""	"0"	""	""	"4"	""	""	""	"8"	""	""	"431"	""	""	""	""	""	""	""	"431"	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"39"	""	"12"	""	""	"51"	""	""	""	"10"	""	""	""	"332"	""	""	""	"18"	""	""	""	"4"	""	""	"5"	""	""	""	""	"8"	""	""	""	"10"	""	""	""	"25"	""	""	""	"9"	""	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	"496"	""	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"40"	""	"85"	""	""	"121"	""	""	""	"5"	""	""	""	"84"	""	""	""	"16"	""	""	""	"1"	""	""	"2"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"12"	""	""	""	"11"	""	""	""	"4"	""	""	"2"	""	""	""	"12"	""	""	"362"	""	""	""	""	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"41"	""	"174"	""	""	"51"	""	""	""	"1"	""	""	""	"52"	""	""	""	"3"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"9"	""	""	""	"4"	""	""	""	"1"	""	""	"3"	""	""	""	"2"	""	""	"303"	""	""	""	""	""	""	""	"303"	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"42"	""	"195"	""	""	"69"	""	""	""	"5"	""	""	""	"133"	""	""	""	"7"	""	""	""	"1"	""	""	"6"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"7"	""	""	""	"7"	""	""	""	"4"	""	""	"3"	""	""	""	"4"	""	""	"446"	""	""	""	""	""	""	""	"446"	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"43"	""	"24"	""	""	"100"	""	""	""	"10"	""	""	""	"233"	""	""	""	"10"	""	""	""	"0"	""	""	"6"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"20"	""	""	""	"9"	""	""	""	"3"	""	""	"4"	""	""	""	"7"	""	""	"434"	""	""	""	""	""	""	""	"434"	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"44"	""	"45"	""	""	"71"	""	""	""	"5"	""	""	""	"118"	""	""	""	"5"	""	""	""	"2"	""	""	"0"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"16"	""	""	""	"10"	""	""	""	"1"	""	""	"4"	""	""	""	"11"	""	""	"291"	""	""	""	""	""	""	""	"291"	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"45"	""	"165"	""	""	"31"	""	""	""	"6"	""	""	""	"384"	""	""	""	"6"	""	""	""	"4"	""	""	"1"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"14"	""	""	""	"2"	""	""	""	"3"	""	""	"3"	""	""	""	"8"	""	""	"635"	""	""	""	""	""	""	""	"635"	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"46"	""	"44"	""	""	"130"	""	""	""	"4"	""	""	""	"169"	""	""	""	"9"	""	""	""	"4"	""	""	"1"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	"13"	""	""	""	"9"	""	""	""	"5"	""	""	"2"	""	""	""	"8"	""	""	"408"	""	""	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"47"	""	"132"	""	""	"42"	""	""	""	"4"	""	""	""	"225"	""	""	""	"21"	""	""	""	"3"	""	""	"2"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"15"	""	""	""	"9"	""	""	""	"3"	""	""	"6"	""	""	""	"8"	""	""	"479"	""	""	""	""	""	""	""	"479"	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"48"	""	"52"	""	""	"18"	""	""	""	"2"	""	""	""	"142"	""	""	""	"6"	""	""	""	"2"	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"9"	""	""	""	"8"	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	"248"	""	""	""	""	""	""	""	"248"	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"49"	""	"36"	""	""	"231"	""	""	""	"4"	""	""	""	"47"	""	""	""	"7"	""	""	""	"1"	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"8"	""	""	""	"5"	""	""	""	"2"	""	""	"0"	""	""	""	"8"	""	""	"354"	""	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"50"	""	"10"	""	""	"10"	""	""	""	"3"	""	""	""	"166"	""	""	""	"24"	""	""	""	"2"	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"16"	""	""	""	"11"	""	""	""	"2"	""	""	"7"	""	""	""	"12"	""	""	"270"	""	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"51"	""	"29"	""	""	"133"	""	""	""	"3"	""	""	""	"79"	""	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"7"	""	""	"6"	""	""	""	"5"	""	""	"277"	""	""	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Total"	""	"1097"	""	""	"1125"	""	""	""	"66"	""	""	""	"2373"	""	""	""	"139"	""	""	""	"32"	""	""	"37"	""	""	""	""	"41"	""	""	""	"47"	""	""	""	"181"	""	""	""	"108"	""	""	""	"39"	""	""	"50"	""	""	""	"99"	""	""	"5434"	""	""	""	""	""	""	""	"5434"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"91"	"Till last
round"	""	"4727"	""	""	"4274"	""	""	""	"167"	""	""	""	"4632"	""	""	""	"429"	""	""	""	"73"	""	""	"83"	""	""	""	""	"106"	""	""	""	"211"	""	""	""	"403"	""	""	""	"201"	""	""	""	"129"	""	""	"136"	""	""	""	"243"	""	""	"15814"	""	""	""	"0"	""	""	""	"15814"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"92"	"Grand
Total"	""	"5824"	""	""	"5399"	""	""	""	"233"	""	""	""	"7005"	""	""	""	"568"	""	""	""	"105"	""	""	"120"	""	""	""	""	"147"	""	""	""	"258"	""	""	""	"584"	""	""	""	"309"	""	""	""	"168"	""	""	"186"	""	""	""	"342"	""	""	"21248"	""	""	""	"0"	""	""	""	"21248"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"93"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Seal & Signature"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 195-PALIGANJ ASSEMBLY CONSTITUNECY
ROUND-5
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Serial no. of polling station"	"DR.USHA VIDYARTHI"	""	""	""	"DINANATH SINGH YADAV"	""	""	""	"DEV SHANKAR PRASAD"	""	""	"NAND KUMAR NANDA"	""	""	""	""	"SHAMSHIR ALAM"	""	""	"RANJAY KUMAR"	""	""	""	"RAM RAKSHA PRASAD"	""	""	""	""	"SATISH CHANDRA SHARMA"	""	""	"AJAY KUMAR"	""	""	""	""	"OM PRAKASH CHAUDHARY"	""	""	"DIN NATH YADAV"	""	""	""	"RAM PRAVESH SINGH"	""	""	""	"WAKIL MIYA"	""	""	""	"SANJEEV KUMAR"	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""
"100"	"51A"	"52"	""	""	""	"181"	""	""	""	"9"	""	""	"59"	""	""	""	""	"6"	""	""	"3"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"8"	""	""	"5"	""	""	""	"1"	""	""	""	"6"	""	""	""	"10"	""	""	"341"	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"52"	"135"	""	""	""	"108"	""	""	""	"2"	""	""	"34"	""	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"3"	""	""	"4"	""	""	""	"23"	""	""	""	"1"	""	""	""	"2"	""	""	"316"	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"53"	"52"	""	""	""	"71"	""	""	""	"8"	""	""	"309"	""	""	""	""	"18"	""	""	"4"	""	""	""	"1"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"16"	""	""	"6"	""	""	""	"2"	""	""	""	"6"	""	""	""	"10"	""	""	"506"	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"54"	"64"	""	""	""	"5"	""	""	""	"3"	""	""	"142"	""	""	""	""	"8"	""	""	"2"	""	""	""	"2"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"12"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"4"	""	""	"248"	""	""	""	""	""	""	"248"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"55"	"98"	""	""	""	"79"	""	""	""	"2"	""	""	"47"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"4"	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	"237"	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"56"	"44"	""	""	""	"21"	""	""	""	"2"	""	""	"231"	""	""	""	""	"7"	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	"11"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	"326"	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"57"	"9"	""	""	""	"35"	""	""	""	"0"	""	""	"234"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"7"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"291"	""	""	""	""	""	""	"291"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"58"	"39"	""	""	""	"147"	""	""	""	"3"	""	""	"61"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"8"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"266"	""	""	""	""	""	""	"266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"59"	"34"	""	""	""	"144"	""	""	""	"1"	""	""	"181"	""	""	""	""	"6"	""	""	"3"	""	""	""	"0"	""	""	""	""	"1"	""	""	"3"	""	""	""	""	"3"	""	""	"4"	""	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	"386"	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"60"	"159"	""	""	""	"42"	""	""	""	"6"	""	""	"112"	""	""	""	""	"14"	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"3"	""	""	""	""	"9"	""	""	"9"	""	""	""	"1"	""	""	""	"1"	""	""	""	"7"	""	""	"364"	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"61"	"25"	""	""	""	"208"	""	""	""	"1"	""	""	"62"	""	""	""	""	"3"	""	""	"3"	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"311"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"62"	"126"	""	""	""	"76"	""	""	""	"6"	""	""	"249"	""	""	""	""	"15"	""	""	"6"	""	""	""	"0"	""	""	""	""	"3"	""	""	"3"	""	""	""	""	"12"	""	""	"5"	""	""	""	"6"	""	""	""	"5"	""	""	""	"15"	""	""	"527"	""	""	""	""	""	""	"527"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"63"	"55"	""	""	""	"132"	""	""	""	"14"	""	""	"104"	""	""	""	""	"13"	""	""	"2"	""	""	""	"4"	""	""	""	""	"3"	""	""	"3"	""	""	""	""	"13"	""	""	"11"	""	""	""	"6"	""	""	""	"4"	""	""	""	"13"	""	""	"377"	""	""	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"64"	"97"	""	""	""	"143"	""	""	""	"4"	""	""	"229"	""	""	""	""	"8"	""	""	"2"	""	""	""	"2"	""	""	""	""	"1"	""	""	"10"	""	""	""	""	"13"	""	""	"12"	""	""	""	"4"	""	""	""	"7"	""	""	""	"9"	""	""	"541"	""	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Total"	"989"	""	""	""	"1392"	""	""	""	"61"	""	""	"2054"	""	""	""	""	"102"	""	""	"27"	""	""	""	"13"	""	""	""	""	"16"	""	""	"31"	""	""	""	""	"122"	""	""	"63"	""	""	""	"47"	""	""	""	"38"	""	""	""	"82"	""	""	"5037"	""	""	""	""	""	""	"5037"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"115"	"Till last
round"	"5824"	""	""	""	"5399"	""	""	""	"233"	""	""	"7005"	""	""	""	""	"568"	""	""	"105"	""	""	""	"120"	""	""	""	""	"147"	""	""	"258"	""	""	""	""	"584"	""	""	"309"	""	""	""	"168"	""	""	""	"186"	""	""	""	"342"	""	""	"21248"	""	""	"0"	""	""	""	"21248"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"116"	"Grand
Total"	"6813"	""	""	""	"6791"	""	""	""	"294"	""	""	"9059"	""	""	""	""	"670"	""	""	"132"	""	""	""	"133"	""	""	""	""	"163"	""	""	"289"	""	""	""	""	"706"	""	""	"372"	""	""	""	"215"	""	""	""	"224"	""	""	""	"424"	""	""	"26285"	""	""	"0"	""	""	""	"26285"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"117"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Seal & Signature"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 195-PALIGANJ ASSEMBLY CONSTITUNECY
ROUND-6
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
