"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"205"	""	"139A"	"61"	"7"	"83"	"75"	"12"	"10"	"10"	"11"	"19"	"288"	""	"288"	"0"
"206"	""	"140"	"60"	"10"	"41"	"227"	"23"	"15"	"19"	"7"	"32"	"434"	""	"434"	"0"
"207"	""	"141"	"213"	"8"	"29"	"119"	"10"	"5"	"5"	"7"	"11"	"407"	""	"407"	"0"
"208"	""	"142"	"276"	"16"	"28"	"55"	"7"	"6"	"6"	"13"	"36"	"443"	""	"443"	"0"
"209"	""	"143"	"84"	"5"	"36"	"143"	"9"	"6"	"2"	"5"	"9"	"299"	""	"299"	"0"
"210"	""	"144"	"195"	"12"	"116"	"33"	"5"	"5"	"17"	"10"	"40"	"433"	""	"433"	"0"
"211"	""	"145"	"26"	"2"	"104"	"61"	"1"	"3"	"1"	"1"	"3"	"202"	""	"202"	"0"
"212"	""	"145A"	"80"	"7"	"33"	"93"	"7"	"4"	"4"	"3"	"9"	"240"	""	"240"	"0"
"213"	""	"146"	"13"	"1"	"98"	"151"	"2"	"1"	"1"	"13"	"3"	"283"	""	"283"	"0"
"214"	""	"147"	"199"	"14"	"136"	"108"	"14"	"12"	"5"	"9"	"12"	"509"	""	"509"	"0"
"215"	""	"Total"	"1618"	"132"	"912"	"1635"	"128"	"107"	"91"	"100"	"242"	"4965"	""	"4965"	"0"
"216"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"218"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"219"	"Round - 13"	"148"	"142"	"10"	"160"	"69"	"4"	"3"	"1"	"8"	"11"	"408"	""	"408"	"0"
"220"	""	"149"	"279"	"16"	"33"	"42"	"3"	"4"	"9"	"6"	"12"	"404"	""	"404"	"0"
"221"	""	"149A"	"108"	"6"	"16"	"64"	"7"	"4"	"4"	"5"	"24"	"238"	""	"238"	"0"
"222"	""	"150"	"236"	"16"	"25"	"88"	"14"	"12"	"21"	"15"	"37"	"464"	""	"464"	"0"
"223"	""	"151"	"174"	"18"	"48"	"68"	"14"	"10"	"17"	"16"	"49"	"414"	""	"414"	"0"
"224"	""	"152"	"272"	"26"	"29"	"90"	"11"	"10"	"10"	"10"	"29"	"487"	""	"487"	"0"
"225"	""	"153"	"66"	"6"	"5"	"134"	"13"	"5"	"17"	"8"	"22"	"276"	""	"276"	"0"
"226"	""	"153A"	"144"	"10"	"18"	"139"	"15"	"7"	"5"	"5"	"29"	"372"	""	"372"	"0"
"227"	""	"154"	"30"	"8"	"112"	"164"	"18"	"10"	"5"	"13"	"31"	"391"	""	"391"	"0"
"228"	""	"155"	"72"	"7"	"99"	"115"	"4"	"3"	"8"	"4"	"12"	"324"	""	"324"	"0"
"229"	""	"156"	"41                       5                      13                      115                         8                           2                           3                          8                             8"	""	""	""	""	""	""	""	""	"203"	""	"203"	"0"
"230"	""	"157"	"64"	"9"	"13"	"83"	"12"	"2"	"0"	"8"	"15"	"206"	""	"206"	"0"
"231"	""	"157A"	"58"	"8"	"59"	"39"	"6"	"5"	"2"	"6"	"11"	"194"	""	"194"	"0"
"232"	""	"158"	"151"	"8"	"12"	"171"	"10"	"7"	"5"	"1"	"1"	"366"	""	"366"	"0"
"233"	""	"Total"	"1837"	"153"	"642"	"1381"	"139"	"84"	"107"	"113"	"291"	"4747"	""	"4747"	"0"
"234"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"235"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"236"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"237"	"Round - 14"	"159"	"37"	"2"	"54"	"140"	"4"	"2"	"5"	"7"	"20"	"271"	""	"271"	"0"
"238"	""	"159A"	"217"	"5"	"5"	"37"	"5"	"1"	"3"	"1"	"1"	"275"	""	"275"	"0"
"239"	""	"160"	"293"	"14"	"17"	"105"	"9"	"2"	"7"	"7"	"14"	"468"	""	"468"	"0"
"240"	""	"160A"	"129"	"8"	"4"	"20"	"3"	"1"	"3"	"6"	"24"	"198"	""	"198"	"0"
"241"	""	"161"	"259"	"22"	"14"	"144"	"15"	"2"	"14"	"11"	"35"	"516"	""	"516"	"0"
"242"	""	"162"	"250"	"18"	"31"	"147"	"15"	"9"	"12"	"15"	"31"	"528"	""	"528"	"0"
"243"	""	"163"	"152"	"17"	"40"	"85"	"8"	"7"	"6"	"5"	"15"	"335"	""	"335"	"0"
"244"	""	"164"	"71"	"11"	"48"	"100"	"9"	"12"	"7"	"8"	"27"	"293"	""	"293"	"0"
"245"	""	"165"	"94"	"18"	"70"	"129"	"13"	"7"	"15"	"7"	"18"	"371"	""	"371"	"0"
"246"	""	"166"	"112"	"8"	"47"	"141"	"10"	"10"	"8"	"9"	"31"	"376"	""	"376"	"0"
"247"	""	"167"	"121"	"7"	"45"	"209"	"2"	"8"	"9"	"9"	"18"	"428"	""	"428"	"0"
"248"	""	"168"	"114"	"20"	"12"	"254"	"8"	"5"	"5"	"3"	"21"	"442"	""	"442"	"0"
"249"	""	"168A"	"29"	"1"	"3"	"85"	"4"	"3"	"8"	"6"	"4"	"143"	""	"143"	"0"
"250"	""	"169"	"275"	"17"	"37"	"118"	"16"	"8"	"8"	"16"	"35"	"530"	""	"530"	"0"
"251"	""	"Total"	"2153"	"168"	"427"	"1714"	"121"	"77"	"110"	"110"	"294"	"5174"	""	"5174"	"0"
"252"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"253"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"254"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"255"	"Round - 15"	"170"	"36"	"0"	"25"	"61"	"1"	"4"	"2"	"3"	"6"	"138"	""	"138"	"0"
"256"	""	"170a"	"135"	"12"	"41"	"140"	"13"	"14"	"10"	"11"	"27"	"403"	""	"403"	"0"
"257"	""	"171"	"32"	"3"	"28"	"157"	"5"	"54"	"8"	"7"	"16"	"310"	""	"310"	"0"
"258"	""	"172"	"119"	"20"	"54"	"203"	"20"	"10"	"6"	"10"	"43"	"485"	""	"485"	"0"
"259"	""	"173"	"95"	"13"	"198"	"60"	"10"	"9"	"8"	"6"	"18"	"417"	""	"417"	"0"
"260"	""	"174"	"21"	"12"	"181"	"111"	"9"	"11"	"2"	"7"	"10"	"364"	""	"364"	"0"
"261"	""	"175"	"35"	"5"	"221"	"54"	"11"	"5"	"1"	"8"	"9"	"349"	""	"349"	"0"
"262"	""	"176"	"109"	"19"	"20"	"23"	"8"	"0"	"2"	"10"	"24"	"215"	""	"215"	"0"
"263"	""	"177"	"163"	"20"	"116"	"110"	"8"	"9"	"11"	"13"	"26"	"476"	""	"476"	"0"
"264"	""	"178"	"209"	"9"	"43"	"96"	"8"	"11"	"12"	"13"	"38"	"439"	""	"439"	"0"
"265"	""	"179"	"74"	"3"	"53"	"323"	"29"	"16"	"11"	"13"	"31"	"553"	""	"553"	"0"
"266"	""	"180"	"61"	"5"	"25"	"161"	"10"	"5"	"4"	"4"	"12"	"287"	""	"287"	"0"
"267"	""	"180a"	"118"	"10"	"29"	"123"	"8"	"8"	"9"	"9"	"25"	"339"	""	"339"	"0"
"268"	""	"181"	"98"	"9"	"149"	"84"	"11"	"7"	"10"	"3"	"8"	"379"	""	"379"	"0"
"269"	""	"Total"	"1305"	"140"	"1183"	"1706"	"151"	"163"	"96"	"117"	"293"	"5154"	""	"5154"	"0"
"270"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"271"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"272"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"273"	"Round - 16"	"182"	"89"	"6"	"7"	"36"	"3"	"0"	"4"	"4"	"9"	"158"	""	"158"	"0"
"274"	""	"183"	"251"	"11"	"29"	"56"	"9"	"4"	"4"	"8"	"38"	"410"	""	"410"	"0"
"275"	""	"184"	"75"	"8"	"19"	"194"	"17"	"15"	"20"	"10"	"14"	"372"	""	"372"	"0"
"276"	""	"185"	"133"	"12"	"15"	"63"	"6"	"3"	"8"	"2"	"6"	"248"	""	"248"	"0"
"277"	""	"186"	"73"	"6"	"9"	"86"	"8"	"6"	"5"	"4"	"13"	"210"	""	"210"	"0"
"278"	""	"187"	"155"	"8"	"20"	"12"	"1"	"6"	"5"	"5"	"9"	"221"	""	"221"	"0"
"279"	""	"188"	"126"	"7"	"41"	"53"	"6"	"7"	"9"	"9"	"25"	"283"	""	"283"	"0"
"280"	""	"189"	"207"	"14"	"93"	"162"	"13"	"4"	"7"	"8"	"21"	"529"	""	"529"	"0"
"281"	""	"190"	"73"	"16"	"55"	"81"	"6"	"2"	"1"	"3"	"5"	"242"	""	"242"	"0"
"282"	""	"191"	"105"	"13"	"66"	"176"	"35"	"10"	"11"	"10"	"47"	"473"	""	"473"	"0"
"283"	""	"192"	"145"	"8"	"14"	"46"	"2"	"1"	"1"	"0"	"2"	"219"	""	"219"	"0"
"284"	""	"193"	"100"	"7"	"33"	"67"	"6"	"4"	"4"	"2"	"6"	"229"	""	"229"	"0"
"285"	""	"194"	"180"	"6"	"12"	"58"	"2"	"2"	"1"	"3"	"6"	"270"	""	"270"	"0"
"286"	""	"195"	"77"	"14"	"19"	"171"	"17"	"9"	"5"	"4"	"4"	"320"	""	"320"	"0"
"287"	""	"Total"	"1789"	"136"	"432"	"1261"	"131"	"73"	"85"	"72"	"205"	"4184"	""	"4184"	"0"
"288"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"289"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"290"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"291"	"Round - 17"	"196"	"45"	"3"	"23"	"59"	"6"	"2"	"1"	"1"	"2"	"142"	""	"142"	"0"
"292"	""	"197"	"75"	"15"	"19"	"80"	"7"	"2"	"4"	"6"	"14"	"222"	""	"222"	"0"
"293"	""	"198"	"162"	"10"	"145"	"44"	"6"	"1"	"8"	"8"	"6"	"390"	""	"390"	"0"
"294"	""	"199"	"99"	"12"	"19"	"277"	"17"	"22"	"45"	"24"	"49"	"564"	""	"564"	"0"
"295"	""	"200"	"93"	"10"	"42"	"173"	"25"	"10"	"26"	"7"	"20"	"406"	""	"406"	"0"
"296"	""	"201"	"137"	"8"	"108"	"65"	"8"	"4"	"2"	"3"	"2"	"337"	""	"337"	"0"
"297"	""	"202"	"66"	"10"	"283"	"25"	"7"	"6"	"10"	"8"	"9"	"424"	""	"424"	"0"
"298"	""	"203"	"90"	"9"	"12"	"111"	"16"	"6"	"6"	"5"	"18"	"273"	""	"273"	"0"
"299"	""	"203a"	"96"	"11"	"9"	"98"	"12"	"8"	"7"	"5"	"17"	"263"	""	"263"	"0"
"300"	""	"204"	"148"	"14"	"12"	"56"	"13"	"7"	"6"	"16"	"15"	"287"	""	"287"	"0"
"301"	""	"205"	"358"	"25"	"15"	"61"	"4"	"4"	"5"	"9"	"51"	"532"	""	"532"	"0"
"302"	""	"206"	"151"	"11"	"15"	"89"	"11"	"7"	"3"	"3"	"18"	"308"	""	"308"	"0"
"303"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"304"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"305"	""	"Total"	"1520"	"138"	"702"	"1138"	"132"	"79"	"123"	"95"	"221"	"4148"	""	"4148"	"0"
"306"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83-Madhepur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"313"	""	""	"Jagat Narayan Singh"	"Yog Nath Mandal"	"Rajeshwar Chaupal"	"Roop Narayan Jha"	"Sanjay Kumar Akela"	"Amerendra Kumar Pathak"	"Ali Ahmad"	"Vijay Kumar Jha"	"Sadanand Yadav"	""	""	""	""
"314"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"315"	"Total No. of votes recorded at Polling stations"	""	"31544"	"2789"	"17063"	"24765"	"2204"	"1539"	"2502"	"1801"	"4125"	"88332"	"0"	"88332"	"0"
"316"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"TOTAL VOTES POLLED"	""	"31544"	"2789"	"17063"	"24765"	"2204"	"1539"	"2502"	"1801"	"4125"	"88332"	"0"	"88332"	"0"
