"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"216"	"158"	"1"	"30"	"8"	"203"	"2"	"1"	"1"	"10"	"256"	""	"256"	""
"217"	"159"	"16"	"77"	"39"	"279"	"4"	"5"	"12"	"16"	"448"	""	"448"	""
"218"	"160"	"27"	"185"	"22"	"161"	"10"	"7"	"9"	"14"	"435"	""	"435"	""
"219"	"161"	"25"	"213"	"19"	"128"	"9"	"10"	"12"	"18"	"434"	""	"434"	""
"220"	"TOTAL-XIII"	"202"	"1972"	"373"	"2144"	"85"	"75"	"81"	"212"	"5144"	""	"5144"	""
"221"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"223"	"162"	"15"	"23"	"36"	"269"	"11"	"10"	"2"	"18"	"384"	""	"384"	""
"224"	"163"	"6"	"63"	"4"	"166"	"3"	"4"	"5"	"18"	"269"	""	"269"	""
"225"	"163d"	"7"	"124"	"4"	"66"	"2"	"5"	"2"	"4"	"214"	""	"214"	""
"226"	"164"	"6"	"68"	"10"	"220"	"9"	"2"	"3"	"18"	"336"	""	"336"	""
"227"	"165"	"6"	"30"	"24"	"252"	"9"	"8"	"8"	"16"	"353"	""	"353"	""
"228"	"166"	"16"	"99"	"23"	"282"	"14"	"10"	"11"	"45"	"500"	""	"500"	""
"229"	"167"	"29"	"162"	"10"	"282"	"5"	"9"	"6"	"12"	"515"	""	"515"	""
"230"	"168"	"13"	"111"	"41"	"257"	"10"	"13"	"17"	"42"	"504"	""	"504"	""
"231"	"169"	"16"	"325"	"29"	"65"	"2"	"3"	"3"	"8"	"451"	""	"451"	""
"232"	"170"	"11"	"305"	"48"	"90"	"8"	"12"	"3"	"12"	"489"	""	"489"	""
"233"	"171"	"21"	"232"	"30"	"72"	"7"	"8"	"13"	"18"	"401"	""	"401"	""
"234"	"172"	"8"	"61"	"68"	"74"	"8"	"2"	"4"	"5"	"230"	""	"230"	""
"235"	"173"	"28"	"308"	"37"	"186"	"13"	"14"	"6"	"14"	"606"	""	"606"	""
"236"	"174"	"14"	"103"	"41"	"191"	"17"	"13"	"13"	"44"	"436"	""	"436"	""
"237"	"Total-XIV"	"196"	"2014"	"405"	"2472"	"118"	"113"	"96"	"274"	"5688"	""	"5688"	""
"238"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"ernku dsUnz dh Øe la[;k"	"vfuy dqekj HkkLdj"	"egsUnz ukjk;.k ljnkj"	";ksxsUnz uk0  ljnkj"	"fo'o eksgu Hkkjrh"	"v:.k dqekj jtd"	"dqekjh 'kksHkk"	"ykynkl ikloku"	"ukFkh jke"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"240"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"matdana kond`aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"114 AC Total"	"3152"	"28014"	"4250"	"39949"	"1429"	"1555"	"1461"	"3301"	"83111"	""	"83111"	""
"243"	"Dak matp~aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"245"	"Dalao gayao kula mat :"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"3152"	"28014"	"4250"	"39949"	"1429"	"1555"	"1461"	"3301"	"83111"	""	"83111"	""
"247"	"sqaana : saupaOla"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"tarIK : 22.11.2005                                                                                                      irTina--Mga Aaifsar ko hstaxar"	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"114 ¹ Catapur"	""	""	""	""	""	""	""	""	""	""	""	""
