"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"FINAL RESULT SHEET [SEE RULE 56(2) ( C ) ]"	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 162-KHARAGPUR ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""
"3"	"To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""
"5"	"162- KHARAGPUR (VOTERS)"	""	""	""	""	""	""	""	""	""	""
"6"	"GENERAL VOTERS"	""	""	""	""	""	""	""	""	""	""
"7"	"SERVICE VOTERS"	""	""	""	""	""	""	""	""	""	""
"8"	"Name of Assembly Segment:- 162-Kharagpur"	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of Election form a Parlementary Constituency)"	""	""	""	""	""	""	""	""	""	""
"10"	"MEN                    WOMEN                    TOTAL                           MEN              WOMEN              TOTAL"	""	""	""	""	""	""	""	""	""	""
"11"	"120152                      101677                   221829                               93                        49                    142"	""	""	""	""	""	""	""	""	""	""
"12"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"253"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"254"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"255"	"B/F"	"26873"	"4933"	"1471"	"16223"	"1747"	"1940"	"53187"	"0"	"53187"	"0"
"256"	"131"	"61"	"18"	"11"	"226"	"12"	"11"	"339"	"0"	"339"	"0"
"257"	"132"	"453"	"10"	"2"	"87"	"9"	"20"	"581"	"0"	"581"	"0"
"258"	"133"	"223"	"30"	"12"	"123"	"15"	"15"	"418"	"0"	"418"	"0"
"259"	"134"	"153"	"21"	"11"	"82"	"14"	"20"	"301"	"0"	"301"	"0"
"260"	"134A"	"277"	"5"	"3"	"10"	"5"	"12"	"312"	"0"	"312"	"0"
"261"	"135"	"95"	"141"	"9"	"75"	"8"	"9"	"337"	"0"	"337"	"0"
"262"	"136"	"182"	"10"	"3"	"23"	"4"	"4"	"226"	"0"	"226"	"0"
"263"	"137"	"80"	"14"	"11"	"329"	"11"	"22"	"467"	"0"	"467"	"0"
"264"	"138"	"156"	"4"	"8"	"199"	"12"	"12"	"391"	"0"	"391"	"0"
"265"	"139"	"108"	"12"	"17"	"243"	"11"	"15"	"406"	"0"	"406"	"0"
"266"	"140"	"272"	"40"	"11"	"201"	"15"	"22"	"561"	"0"	"561"	"0"
"267"	"141"	"359"	"4"	"7"	"21"	"1"	"3"	"395"	"0"	"395"	"0"
"268"	"142"	"321"	"3"	"19"	"46"	"6"	"7"	"402"	"0"	"402"	"0"
"269"	"143"	"182"	"2"	"6"	"122"	"6"	"4"	"322"	"0"	"322"	"0"
"270"	""	""	""	""	""	""	""	""	""	""	"0"
"271"	"TOTAL"	"29795"	"5247"	"1601"	"18010"	"1876"	"2116"	"58645"	"0"	"58645"	"0"
"272"	"ROUND - 12"	""	""	""	""	""	""	""	""	""	""
"273"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"274"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"275"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"276"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"277"	"B/F"	"29795"	"5247"	"1601"	"18010"	"1876"	"2116"	"58645"	"0"	"58645"	"0"
"278"	"144"	"160"	"18"	"1"	"16"	"3"	"5"	"203"	"0"	"203"	""
"279"	"145"	"85"	"6"	"15"	"127"	"7"	"8"	"248"	"0"	"248"	"0"
"280"	"146"	"173"	"16"	"0"	"3"	"0"	"3"	"195"	"0"	"195"	"0"
"281"	"147"	"325"	"7"	"2"	"17"	"8"	"16"	"375"	"0"	"375"	"0"
"282"	"148"	"45"	"9"	"4"	"72"	"13"	"19"	"162"	"0"	"162"	"0"
"283"	"149"	"160"	"61"	"20"	"266"	"36"	"32"	"575"	"0"	"575"	"0"
"284"	"150"	"55"	"22"	"24"	"385"	"21"	"13"	"520"	"0"	"520"	"0"
"285"	"151"	"16"	"7"	"7"	"218"	"12"	"15"	"275"	"0"	"275"	"0"
"286"	"152"	"65"	"11"	"17"	"321"	"29"	"27"	"470"	"0"	"470"	"0"
"287"	"153"	"105"	"26"	"31"	"348"	"41"	"51"	"602"	"0"	"602"	"0"
"288"	"154"	"107"	"170"	"34"	"154"	"14"	"30"	"509"	"0"	"509"	"0"
"289"	"155"	"166"	"93"	"16"	"147"	"17"	"14"	"453"	"0"	"453"	"0"
"290"	"156"	"99"	"29"	"14"	"195"	"10"	"13"	"360"	"0"	"360"	"0"
"291"	"157"	"70"	"38"	"10"	"116"	"19"	"18"	"271"	"0"	"271"	"0"
"292"	""	""	""	""	""	""	""	""	""	""	""
"293"	"TOTAL"	"31426"	"5760"	"1796"	"20395"	"2106"	"2380"	"63863"	"0"	"63863"	"0"
"294"	"ROUND - 13"	""	""	""	""	""	""	""	""	""	""
"295"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"296"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"297"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"298"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"299"	"B/F"	"31426"	"5760"	"1796"	"20395"	"2106"	"2380"	"63863"	"0"	"63863"	"0"
"300"	"158"	"219"	"36"	"21"	"223"	"17"	"20"	"536"	"0"	"536"	"0"
"301"	"159"	"228"	"26"	"11"	"201"	"40"	"36"	"542"	"0"	"542"	"0"
"302"	"160"	"63"	"51"	"18"	"61"	"9"	"7"	"209"	"0"	"209"	"0"
"303"	"161"	"255"	"13"	"26"	"31"	"30"	"46"	"401"	"0"	"401"	"0"
"304"	"162"	"247"	"31"	"14"	"96"	"25"	"20"	"433"	"0"	"433"	"0"
"305"	"163"	"178"	"35"	"9"	"54"	"18"	"17"	"311"	"0"	"311"	"0"
"306"	"164"	"243"	"17"	"4"	"35"	"7"	"8"	"314"	"0"	"314"	"0"
"307"	"165"	"101"	"24"	"13"	"199"	"26"	"30"	"393"	"0"	"393"	"0"
"308"	"166"	"59"	"69"	"60"	"237"	"26"	"41"	"492"	"0"	"492"	"0"
"309"	"167"	"175"	"15"	"8"	"119"	"14"	"12"	"343"	"0"	"343"	"0"
"310"	"168"	"158"	"7"	"10"	"153"	"26"	"42"	"396"	"0"	"396"	"0"
"311"	"169"	"165"	"32"	"4"	"67"	"13"	"33"	"314"	"0"	"314"	"0"
"312"	"170"	"106"	"15"	"7"	"159"	"9"	"25"	"321"	"0"	"321"	"0"
"313"	"171"	"257"	"31"	"24"	"147"	"24"	"32"	"515"	"0"	"515"	"0"
"314"	""	""	""	""	""	""	""	""	""	""	"0"
"315"	"TOTAL"	"33880"	"6162"	"2025"	"22177"	"2390"	"2749"	"69383"	"0"	"69383"	"0"
"316"	"ROUND - 14"	""	""	""	""	""	""	""	""	""	""
"317"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"318"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"319"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"320"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"321"	"B/F"	"33880"	"6162"	"2025"	"22177"	"2390"	"2749"	"69383"	"0"	"69383"	"0"
"322"	"172"	"257"	"50"	"10"	"62"	"10"	"13"	"402"	"0"	"402"	""
"323"	"173"	"217"	"68"	"15"	"39"	"21"	"21"	"381"	"0"	"381"	"0"
"324"	"174"	"165"	"39"	"11"	"110"	"17"	"23"	"365"	"0"	"365"	"0"
"325"	"175"	"120"	"24"	"7"	"69"	"11"	"7"	"238"	"0"	"238"	"0"
"326"	"176"	"178"	"8"	"4"	"133"	"24"	"24"	"371"	"0"	"371"	"0"
"327"	"177"	"216"	"69"	"31"	"44"	"23"	"11"	"394"	"0"	"394"	"0"
"328"	"178"	"216"	"12"	"12"	"52"	"23"	"27"	"342"	"0"	"342"	"0"
"329"	"179"	"228"	"104"	"16"	"38"	"17"	"8"	"411"	"0"	"411"	"0"
"330"	"180"	"210"	"21"	"13"	"76"	"16"	"6"	"342"	"0"	"342"	"0"
"331"	"181"	"317"	"20"	"14"	"78"	"27"	"12"	"468"	"0"	"468"	"0"
"332"	"182"	"280"	"11"	"10"	"96"	"15"	"7"	"419"	"0"	"419"	"0"
"333"	"183"	"123"	"18"	"10"	"99"	"8"	"11"	"269"	"0"	"269"	"0"
"334"	"184"	"201"	"81"	"22"	"108"	"17"	"30"	"459"	"0"	"459"	"0"
"335"	"185"	"176"	"16"	"20"	"63"	"21"	"19"	"315"	"0"	"315"	"0"
"336"	""	""	""	""	""	""	""	""	""	""	""
"337"	"TOTAL"	"36784"	"6703"	"2220"	"23244"	"2640"	"2968"	"74559"	"0"	"74559"	"0"
"338"	"ROUND - 15"	""	""	""	""	""	""	""	""	""	""
"339"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"340"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"341"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"342"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"343"	"B/F"	"36784"	"6703"	"2220"	"23244"	"2640"	"2968"	"74559"	"0"	"74559"	"0"
"344"	"185A"	"47"	"1"	"9"	"166"	"12"	"14"	"249"	"0"	"249"	"0"
"345"	"186"	"281"	"12"	"6"	"43"	"10"	"6"	"358"	"0"	"358"	"0"
"346"	"187"	"149"	"5"	"3"	"132"	"7"	"31"	"327"	"0"	"327"	"0"
"347"	"188"	"250"	"29"	"7"	"138"	"14"	"9"	"447"	"0"	"447"	"0"
"348"	"189"	"91"	"6"	"4"	"51"	"7"	"5"	"164"	"0"	"164"	"0"
"349"	"190"	"419"	"37"	"3"	"73"	"12"	"5"	"549"	"0"	"549"	"0"
"350"	"191"	"229"	"49"	"24"	"176"	"35"	"24"	"537"	"0"	"537"	"0"
"351"	"191A"	"168"	"11"	"4"	"70"	"16"	"8"	"277"	"0"	"277"	"0"
"352"	"192"	"209"	"26"	"19"	"239"	"24"	"27"	"544"	"0"	"544"	"0"
"353"	"192A"	"60"	"20"	"3"	"145"	"16"	"30"	"274"	"0"	"274"	"0"
"354"	"193"	"170"	"17"	"34"	"240"	"18"	"53"	"532"	"0"	"532"	"0"
"355"	"194"	"130"	"72"	"142"	"108"	"14"	"17"	"483"	"0"	"483"	"0"
"356"	"194A"	"62"	"53"	"16"	"64"	"0"	"8"	"203"	"0"	"203"	"0"
"357"	"195"	"92"	"4"	"2"	"363"	"7"	"9"	"477"	"0"	"477"	"0"
"358"	""	""	""	""	""	""	""	""	""	""	"0"
"359"	"TOTAL"	"39141"	"7045"	"2496"	"25252"	"2832"	"3214"	"79980"	"0"	"79980"	"0"
"360"	"ROUND - 16"	""	""	""	""	""	""	""	""	""	""
"361"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"362"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"363"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"364"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"365"	"B/F"	"39141"	"7045"	"2496"	"25252"	"2832"	"3214"	"79980"	"0"	"79980"	"0"
"366"	"196"	"87"	"10"	"40"	"76"	"22"	"135"	"370"	"0"	"370"	""
"367"	"197"	"169"	"40"	"10"	"158"	"20"	"31"	"428"	"0"	"428"	""
"368"	"198"	"125"	"12"	"9"	"17"	"4"	"8"	"175"	"0"	"175"	""
"369"	"199"	"178"	"22"	"27"	"156"	"19"	"26"	"428"	"0"	"428"	""
"370"	"200"	"166"	"12"	"3"	"35"	"19"	"25"	"260"	"0"	"260"	""
"371"	"201"	"89"	"91"	"18"	"144"	"18"	"24"	"384"	"0"	"384"	""
"372"	"202"	"275"	"18"	"6"	"37"	"15"	"8"	"359"	"0"	"359"	""
"373"	"203"	"101"	"27"	"10"	"248"	"39"	"37"	"462"	"0"	"462"	"0"
"374"	"204"	"100"	"94"	"16"	"80"	"14"	"15"	"319"	"0"	"319"	"0"
"375"	"205"	"160"	"31"	"8"	"234"	"14"	"10"	"457"	"0"	"457"	"0"
"376"	"206"	"159"	"5"	"1"	"73"	"13"	"24"	"275"	"0"	"275"	"0"
"377"	"207"	"33"	"20"	"12"	"238"	"12"	"16"	"331"	"0"	"331"	"0"
"378"	"207A"	"40"	"9"	"8"	"177"	"12"	"8"	"254"	"0"	"254"	"0"
"379"	"208"	"43"	"6"	"11"	"208"	"19"	"14"	"301"	""	"301"	""
"380"	""	""	""	""	""	""	""	""	""	""	""
"381"	"TOTAL"	"40866"	"7442"	"2675"	"27133"	"3072"	"3595"	"84783"	"0"	"84783"	"0"
"382"	"ROUND - 17"	""	""	""	""	""	""	""	""	""	""
"383"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"384"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"385"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"386"	"B/F"	"40866"	"7442"	"2675"	"27133"	"3072"	"3595"	"84783"	"0"	"84783"	"0"
"387"	"208A"	"161"	"6"	"6"	"198"	"18"	"11"	"400"	"0"	"400"	""
"388"	"209"	"170"	"44"	"20"	"139"	"25"	"18"	"416"	"0"	"416"	""
"389"	"210"	"372"	"18"	"5"	"112"	"16"	"12"	"535"	"0"	"535"	""
"390"	"211"	"176"	"13"	"2"	"93"	"22"	"33"	"339"	"0"	"339"	""
"391"	"212"	"172"	"33"	"19"	"285"	"17"	"17"	"543"	"0"	"543"	""
"392"	"213"	"157"	"9"	"23"	"305"	"29"	"21"	"544"	"0"	"544"	""
"393"	"214"	"163"	"42"	"22"	"98"	"9"	"17"	"351"	"0"	"351"	""
"394"	"215"	"69"	"31"	"18"	"211"	"21"	"23"	"373"	"0"	"373"	""
"395"	"216"	"73"	"29"	"38"	"249"	"21"	"27"	"437"	"0"	"437"	""
"396"	"217"	"122"	"35"	"16"	"229"	"15"	"40"	"457"	"0"	"457"	""
"397"	"218"	"53"	"31"	"17"	"242"	"23"	"34"	"400"	"0"	"400"	""
"398"	"219"	"127"	"83"	"14"	"187"	"60"	"44"	"515"	"0"	"515"	""
"399"	"220"	"31"	"23"	"19"	"307"	"19"	"15"	"414"	"0"	"414"	""
"400"	"221"	"73"	"104"	"22"	"139"	"18"	"11"	"367"	"0"	"367"	""
"401"	""	""	""	""	""	""	""	""	""	""	""
"402"	"TOTAL"	"42785"	"7943"	"2916"	"29927"	"3385"	"3918"	"90874"	"0"	"90874"	"0"
"403"	"ROUND - 18"	""	""	""	""	""	""	""	""	""	""
"404"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"405"	""	"ANANTA KUMAR SATYARTHI"	"ANITA DEVI"	"JUNG BAHADUR DAS"	"SHANTI DEVI
5"	"ASHOK YADAV"	"BHOLA TANTI
7"	"TOTAL OF VALID VOTES"	""	""	""
"406"	"1"	"2"	"3"	"4"	""	"6"	""	"10"	"11"	"12"	"13"
"407"	"B/F"	"42785"	"7943"	"2916"	"29927"	"3385"	"3918"	"90874"	"0"	"90874"	"0"
"408"	"222"	"288"	"12"	"11"	"100"	"20"	"12"	"443"	"0"	"443"	""
"409"	"223"	"86"	"73"	"8"	"125"	"18"	"13"	"323"	"0"	"323"	""
"410"	"223A"	"101"	"12"	"10"	"107"	"18"	"32"	"280"	"0"	"280"	""
"411"	"224"	"111"	"26"	"6"	"42"	"13"	"18"	"216"	"0"	"216"	""
"412"	"225"	"106"	"4"	"3"	"42"	"4"	"6"	"165"	"0"	"165"	""
"413"	"225A"	"88"	"8"	"9"	"139"	"22"	"19"	"285"	"0"	"285"	""
"414"	"226"	"70"	"19"	"19"	"278"	"16"	"19"	"421"	"0"	"421"	""
"415"	"227"	"104"	"52"	"18"	"292"	"27"	"24"	"517"	"0"	"517"	""
"416"	"228"	"73"	"7"	"7"	"156"	"6"	"9"	"258"	"0"	"258"	""
"417"	"228A"	"133"	"9"	"16"	"137"	"19"	"20"	"334"	"0"	"334"	""
"418"	""	""	""	""	""	""	""	""	"0"	""	""
"419"	"TOTAL"	"43945"	"8165"	"3023"	"31345"	"3548"	"4090"	"94116"	"0"	"94116"	"0"
"420"	""	""	""	""	""	""	""	""	""	""	""
"421"	"POSTAL BALLOT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"
"422"	"GRAND"	""	""	""	""	""	""	""	""	""	""
"423"	"TOTAL                                43945                      8165               3023                        31345                       3548                           4090                  94116                        0       94116                        0"	""	""	""	""	""	""	""	""	""	""
"424"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
