"X."	"No..of.actual.votes.casted.in.favour.of.candidates"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"195"	"123"	"10"	"266"	"337"	"13"	"6"	"8"	"4"	"6"	"10"	"13"	"4"	"677"	""	"677"	""
"196"	"124"	"20"	"240"	"238"	"9"	"6"	"3"	"4"	"4"	"14"	"3"	"5"	"546"	""	"546"	""
"197"	"125"	"33"	"115"	"390"	"16"	"14"	"2"	"4"	"3"	"5"	"3"	"5"	"590"	""	"590"	""
"198"	"126"	"14"	"157"	"267"	"17"	"6"	"5"	"6"	"4"	"4"	"4"	"5"	"489"	""	"489"	""
"199"	"127"	"5"	"164"	"237"	"4"	"2"	"2"	"2"	"2"	"4"	"1"	"2"	"425"	""	"425"	""
"200"	"128"	"7"	"131"	"339"	"7"	"3"	"3"	"1"	"5"	"15"	"8"	"8"	"527"	""	"527"	""
"201"	"129"	"8"	"212"	"215"	"10"	"17"	"3"	"4"	"2"	"7"	"9"	"20"	"507"	""	"507"	""
"202"	"130"	"12"	"171"	"95"	"3"	"6"	"0"	"0"	"5"	"4"	"3"	"5"	"304"	""	"304"	""
"203"	"130A"	"16"	"156"	"189"	"8"	"12"	"5"	"1"	"3"	"4"	"6"	"5"	"405"	""	"405"	""
"204"	"131"	"5"	"243"	"195"	"2"	"4"	"6"	"4"	"2"	"5"	"3"	"2"	"471"	""	"471"	""
"205"	"Total"	"214"	"2383"	"3766"	"158"	"125"	"56"	"50"	"57"	"91"	"70"	"78"	"7048"	"0"	"7048"	"0"
"206"	"Cumm.Tot."	"1938"	"27049"	"31692"	"1391"	"1548"	"657"	"644"	"704"	"1098"	"827"	"1383"	"68931"	"0"	"68931"	"0"
"207"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"10                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"211"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"212"	"132"	"14"	"62"	"319"	"7"	"4"	"3"	"5"	"5"	"0"	"2"	"1"	"422"	""	"422"	""
"213"	"132A"	"18"	"68"	"238"	"7"	"4"	"2"	"2"	"3"	"11"	"4"	"14"	"371"	""	"371"	""
"214"	"133"	"11"	"127"	"309"	"6"	"3"	"3"	"9"	"6"	"4"	"3"	"3"	"484"	""	"484"	""
"215"	"134"	"2"	"135"	"256"	"5"	"7"	"2"	"2"	"1"	"2"	"1"	"3"	"416"	""	"416"	""
"216"	"135"	"4"	"118"	"237"	"8"	"10"	"3"	"3"	"2"	"4"	"1"	"3"	"393"	""	"393"	""
"217"	"136"	"8"	"104"	"355"	"8"	"8"	"2"	"4"	"4"	"7"	"5"	"2"	"507"	""	"507"	""
"218"	"136A"	"2"	"46"	"171"	"2"	"5"	"1"	"0"	"1"	"7"	"1"	"3"	"239"	""	"239"	""
"219"	"137"	"8"	"78"	"370"	"11"	"5"	"3"	"4"	"1"	"9"	"4"	"11"	"504"	""	"504"	""
"220"	"138"	"5"	"92"	"221"	"4"	"1"	"0"	"1"	"5"	"1"	"6"	"8"	"344"	""	"344"	""
"221"	"138A"	"4"	"79"	"161"	"5"	"4"	"2"	"5"	"5"	"8"	"7"	"8"	"288"	""	"288"	""
"222"	"139"	"8"	"130"	"377"	"5"	"3"	"1"	"1"	"2"	"1"	"1"	"0"	"529"	""	"529"	""
"223"	"140"	"6"	"178"	"290"	"3"	"5"	"2"	"0"	"5"	"1"	"4"	"2"	"496"	""	"496"	""
"224"	"141"	"15"	"227"	"91"	"5"	"5"	"0"	"4"	"6"	"5"	"2"	"9"	"369"	""	"369"	""
"225"	"141A"	"4"	"276"	"62"	"1"	"4"	"1"	"5"	"5"	"4"	"3"	"9"	"374"	""	"374"	""
"226"	"Total"	"109"	"1720"	"3457"	"77"	"68"	"25"	"45"	"51"	"64"	"44"	"76"	"5736"	"0"	"5736"	"0"
"227"	"Cumm.Tot."	"2047"	"28769"	"35149"	"1468"	"1616"	"682"	"689"	"755"	"1162"	"871"	"1459"	"74667"	"0"	"74667"	"0"
"228"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"11                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"232"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"233"	"142"	"16"	"240"	"188"	"5"	"5"	"6"	"0"	"7"	"6"	"3"	"13"	"489"	""	"489"	""
"234"	"143"	"9"	"217"	"175"	"6"	"6"	"3"	"0"	"6"	"11"	"9"	"12"	"454"	""	"454"	""
"235"	"144"	"2"	"274"	"158"	"8"	"6"	"2"	"1"	"44"	"2"	"9"	"12"	"518"	""	"518"	""
"236"	"145"	"10"	"244"	"168"	"2"	"3"	"6"	"0"	"4"	"3"	"3"	"5"	"448"	""	"448"	""
"237"	"146"	"12"	"242"	"167"	"6"	"9"	"2"	"1"	"2"	"6"	"4"	"4"	"455"	""	"455"	""
"238"	"147"	"4"	"88"	"167"	"0"	"4"	"2"	"0"	"2"	"1"	"0"	"3"	"271"	""	"271"	""
"239"	"148"	"4"	"169"	"295"	"4"	"2"	"3"	"5"	"2"	"1"	"3"	"4"	"492"	""	"492"	""
"240"	"149"	"14"	"196"	"355"	"11"	"10"	"10"	"6"	"5"	"6"	"3"	"6"	"622"	""	"622"	""
"241"	"150"	"10"	"151"	"478"	"10"	"11"	"8"	"2"	"5"	"4"	"6"	"3"	"688"	""	"688"	""
"242"	"151"	"9"	"108"	"254"	"10"	"2"	"2"	"3"	"5"	"1"	"3"	"3"	"400"	""	"400"	""
"243"	"151A"	"11"	"109"	"169"	"4"	"0"	"2"	"2"	"2"	"4"	"8"	"14"	"325"	""	"325"	""
"244"	"152"	"15"	"165"	"279"	"6"	"5"	"3"	"3"	"4"	"2"	"2"	"9"	"493"	""	"493"	""
"245"	"153"	"4"	"58"	"275"	"8"	"7"	"4"	"6"	"6"	"12"	"19"	"21"	"420"	""	"420"	""
"246"	"154"	"18"	"192"	"379"	"16"	"10"	"8"	"6"	"3"	"6"	"7"	"21"	"666"	""	"666"	""
"247"	"Total"	"138"	"2453"	"3507"	"96"	"80"	"61"	"35"	"97"	"65"	"79"	"130"	"6741"	"0"	"6741"	"0"
"248"	"Cumm.Tot."	"2185"	"31222"	"38656"	"1564"	"1696"	"743"	"724"	"852"	"1227"	"950"	"1589"	"81408"	"0"	"81408"	"0"
"249"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"12                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"253"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"254"	"155"	"16"	"87"	"390"	"4"	"10"	"7"	"1"	"4"	"2"	"3"	"5"	"529"	""	"529"	""
"255"	"156"	"18"	"111"	"238"	"3"	"8"	"8"	"4"	"4"	"1"	"4"	"2"	"401"	""	"401"	""
"256"	"157"	"12"	"198"	"311"	"11"	"5"	"4"	"9"	"1"	"8"	"3"	"7"	"569"	""	"569"	""
"257"	"158"	"17"	"81"	"414"	"11"	"5"	"5"	"3"	"2"	"6"	"4"	"5"	"553"	""	"553"	""
"258"	"159"	"9"	"189"	"294"	"6"	"7"	"5"	"1"	"3"	"5"	"5"	"4"	"528"	""	"528"	""
"259"	"160"	"4"	"56"	"253"	"2"	"7"	"2"	"1"	"5"	"5"	"3"	"7"	"345"	""	"345"	""
"260"	"161"	"6"	"52"	"432"	"16"	"10"	"5"	"4"	"5"	"18"	"7"	"23"	"578"	""	"578"	""
"261"	"162"	"6"	"53"	"342"	"9"	"3"	"0"	"3"	"4"	"4"	"6"	"11"	"441"	""	"441"	""
"262"	"163"	"2"	"132"	"446"	"4"	"0"	"1"	"0"	"1"	"5"	"2"	"5"	"598"	""	"598"	""
"263"	"164"	"13"	"130"	"344"	"7"	"7"	"8"	"7"	"6"	"5"	"3"	"3"	"533"	""	"533"	""
"264"	"165"	"17"	"35"	"301"	"3"	"8"	"2"	"1"	"3"	"3"	"2"	"9"	"384"	""	"384"	""
"265"	"166"	"0"	"93"	"358"	"3"	"1"	"3"	"0"	"4"	"1"	"2"	"5"	"470"	""	"470"	""
"266"	"167"	"7"	"382"	"98"	"6"	"0"	"2"	"0"	"1"	"1"	"7"	"5"	"509"	""	"509"	""
"267"	"168"	"3"	"155"	"169"	"1"	"1"	"0"	"1"	"4"	"3"	"0"	"3"	"340"	""	"340"	""
"268"	"Total"	"130"	"1754"	"4390"	"86"	"72"	"52"	"35"	"47"	"67"	"51"	"94"	"6778"	"0"	"6778"	"0"
"269"	"Cumm.Tot."	"2315"	"32976"	"43046"	"1650"	"1768"	"795"	"759"	"899"	"1294"	"1001"	"1683"	"88186"	"0"	"88186"	"0"
"270"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"13                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"274"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"275"	"169"	"5"	"150"	"341"	"7"	"4"	"2"	"3"	"4"	"5"	"3"	"10"	"534"	""	"534"	""
"276"	"170"	"4"	"140"	"484"	"4"	"3"	"0"	"2"	"1"	"4"	"4"	"10"	"656"	""	"656"	""
"277"	"171"	"14"	"87"	"392"	"11"	"3"	"4"	"3"	"7"	"11"	"8"	"19"	"559"	""	"559"	""
"278"	"172"	"22"	"247"	"158"	"10"	"5"	"6"	"6"	"9"	"8"	"3"	"5"	"479"	""	"479"	""
"279"	"173"	"8"	"263"	"127"	"5"	"1"	"3"	"0"	"2"	"5"	"3"	"4"	"421"	""	"421"	""
"280"	"174"	"11"	"143"	"298"	"4"	"9"	"0"	"2"	"2"	"5"	"2"	"2"	"478"	""	"478"	""
"281"	"175"	"4"	"85"	"221"	"4"	"5"	"0"	"5"	"3"	"5"	"3"	"9"	"344"	""	"344"	""
"282"	"176"	"18"	"153"	"354"	"9"	"7"	"2"	"0"	"5"	"7"	"1"	"12"	"568"	""	"568"	""
"283"	"177"	"11"	"216"	"209"	"4"	"9"	"0"	"1"	"0"	"1"	"1"	"7"	"459"	""	"459"	""
"284"	"178"	"16"	"92"	"466"	"6"	"9"	"2"	"5"	"3"	"7"	"4"	"13"	"623"	""	"623"	""
"285"	"179"	"2"	"116"	"295"	"11"	"1"	"2"	"2"	"7"	"5"	"6"	"15"	"462"	""	"462"	""
"286"	"180"	"11"	"119"	"577"	"3"	"4"	"2"	"9"	"9"	"5"	"3"	"13"	"755"	""	"755"	""
"287"	"181"	"9"	"91"	"415"	"8"	"34"	"1"	"1"	"8"	"15"	"5"	"26"	"613"	""	"613"	""
"288"	"182"	"7"	"137"	"486"	"13"	"4"	"5"	"2"	"2"	"2"	"4"	"4"	"666"	""	"666"	""
"289"	"Total"	"142"	"2039"	"4823"	"99"	"98"	"29"	"41"	"62"	"85"	"50"	"149"	"7617"	"0"	"7617"	"0"
"290"	"Cumm.Tot."	"2457"	"35015"	"47869"	"1749"	"1866"	"824"	"800"	"961"	"1379"	"1051"	"1832"	"95803"	"0"	"95803"	"0"
"291"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"14                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"295"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"296"	"183"	"20"	"207"	"179"	"8"	"4"	"3"	"1"	"8"	"2"	"0"	"2"	"434"	""	"434"	""
"297"	"184"	"10"	"230"	"157"	"8"	"10"	"7"	"1"	"3"	"8"	"4"	"15"	"453"	""	"453"	""
"298"	"185"	"11"	"357"	"60"	"4"	"1"	"1"	"2"	"6"	"3"	"3"	"2"	"450"	""	"450"	""
"299"	"186"	"7"	"248"	"104"	"3"	"4"	"1"	"1"	"3"	"1"	"0"	"2"	"374"	""	"374"	""
"300"	"186A"	"0"	"18"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"22"	""	"22"	""
"301"	"187"	"10"	"35"	"434"	"8"	"2"	"2"	"2"	"3"	"7"	"1"	"5"	"509"	""	"509"	""
"302"	"188"	"14"	"109"	"134"	"7"	"4"	"2"	"3"	"6"	"2"	"4"	"7"	"292"	""	"292"	""
"303"	"189"	"3"	"121"	"190"	"5"	"1"	"0"	"2"	"3"	"3"	"2"	"0"	"330"	""	"330"	""
"304"	"190"	"10"	"152"	"291"	"6"	"7"	"2"	"5"	"2"	"1"	"2"	"3"	"481"	""	"481"	""
"305"	"191"	"12"	"116"	"382"	"15"	"8"	"5"	"6"	"4"	"4"	"2"	"6"	"560"	""	"560"	""
"306"	"192"	"13"	"61"	"358"	"6"	"4"	"5"	"3"	"7"	"10"	"11"	"14"	"492"	""	"492"	""
"307"	"193"	"15"	"104"	"212"	"13"	"9"	"7"	"4"	"4"	"9"	"13"	"12"	"402"	""	"402"	""
"308"	"194"	"5"	"122"	"144"	"12"	"4"	"4"	"3"	"6"	"13"	"8"	"10"	"331"	""	"331"	""
"309"	"195"	"7"	"142"	"32"	"6"	"4"	"1"	"2"	"2"	"2"	"3"	"3"	"204"	""	"204"	""
"310"	"Total"	"137"	"2022"	"2678"	"101"	"63"	"40"	"35"	"57"	"66"	"54"	"81"	"5334"	"0"	"5334"	"0"
"311"	"Cumm.Tot."	"2594"	"37037"	"50547"	"1850"	"1929"	"864"	"835"	"1018"	"1445"	"1105"	"1913"	"101137"	"0"	"101137"	"0"
"312"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"15                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"316"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"317"	"196"	"28"	"82"	"323"	"8"	"10"	"7"	"4"	"1"	"5"	"2"	"2"	"472"	""	"472"	""
"318"	"197"	"12"	"146"	"150"	"9"	"6"	"4"	"1"	"1"	"7"	"5"	"1"	"342"	""	"342"	""
"319"	"198"	"12"	"73"	"292"	"3"	"3"	"0"	"1"	"3"	"6"	"1"	"3"	"397"	""	"397"	""
"320"	"199"	"52"	"74"	"204"	"2"	"5"	"3"	"3"	"4"	"10"	"4"	"4"	"365"	""	"365"	""
"321"	"200"	"26"	"120"	"264"	"13"	"43"	"2"	"4"	"3"	"9"	"4"	"2"	"490"	""	"490"	""
"322"	"201"	"11"	"172"	"220"	"9"	"5"	"2"	"0"	"4"	"9"	"8"	"13"	"453"	""	"453"	""
"323"	"202"	"8"	"63"	"267"	"4"	"4"	"1"	"0"	"3"	"1"	"5"	"4"	"360"	""	"360"	""
"324"	"203"	"8"	"171"	"55"	"7"	"90"	"5"	"1"	"4"	"3"	"0"	"1"	"345"	""	"345"	""
"325"	"204"	"10"	"95"	"196"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"6"	"318"	""	"318"	""
"326"	"205"	"7"	"157"	"192"	"7"	"7"	"0"	"1"	"1"	"2"	"1"	"11"	"386"	""	"386"	""
"327"	"206"	"17"	"183"	"338"	"8"	"26"	"8"	"3"	"4"	"3"	"4"	"7"	"601"	""	"601"	""
"328"	"207"	"16"	"150"	"269"	"16"	"96"	"6"	"7"	"8"	"9"	"5"	"3"	"585"	""	"585"	""
"329"	"208"	"13"	"252"	"172"	"10"	"11"	"7"	"2"	"8"	"4"	"6"	"6"	"491"	""	"491"	""
"330"	"209"	"5"	"74"	"197"	"4"	"27"	"3"	"1"	"2"	"10"	"5"	"9"	"337"	""	"337"	""
"331"	"Total"	"225"	"1812"	"3139"	"102"	"335"	"49"	"30"	"48"	"79"	"51"	"72"	"5942"	"0"	"5942"	"0"
"332"	"Cumm.Tot."	"2819"	"38849"	"53686"	"1952"	"2264"	"913"	"865"	"1066"	"1524"	"1156"	"1985"	"107079"	"0"	"107079"	"0"
"333"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"16                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"337"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"338"	"210"	"11"	"91"	"246"	"6"	"51"	"5"	"2"	"6"	"7"	"11"	"12"	"448"	""	"448"	""
"339"	"211"	"8"	"75"	"294"	"9"	"53"	"5"	"3"	"5"	"11"	"5"	"9"	"477"	""	"477"	""
"340"	"212"	"1"	"57"	"173"	"9"	"16"	"4"	"4"	"2"	"4"	"3"	"5"	"278"	""	"278"	""
"341"	"213"	"15"	"115"	"398"	"10"	"10"	"6"	"1"	"8"	"20"	"8"	"19"	"610"	""	"610"	""
"342"	"214"	"12"	"202"	"142"	"11"	"54"	"4"	"10"	"11"	"8"	"1"	"5"	"460"	""	"460"	""
"343"	"215"	"13"	"125"	"135"	"4"	"3"	"0"	"2"	"1"	"4"	"4"	"4"	"295"	""	"295"	""
"344"	"216"	"3"	"114"	"357"	"8"	"10"	"1"	"1"	"5"	"9"	"4"	"6"	"518"	""	"518"	""
"345"	"217"	"3"	"47"	"149"	"3"	"0"	"2"	"3"	"1"	"4"	"0"	"4"	"216"	""	"216"	""
"346"	"218"	"4"	"50"	"259"	"5"	"11"	"2"	"5"	"1"	"5"	"2"	"3"	"347"	""	"347"	""
"347"	"219"	"6"	"59"	"158"	"4"	"44"	"2"	"124"	"9"	"10"	"3"	"11"	"430"	""	"430"	""
"348"	"220"	"9"	"98"	"177"	"7"	"6"	"7"	"5"	"10"	"10"	"3"	"7"	"339"	""	"339"	""
"349"	"221"	"21"	"141"	"356"	"10"	"11"	"4"	"7"	"6"	"10"	"3"	"4"	"573"	""	"573"	""
"350"	"222"	"5"	"147"	"139"	"3"	"5"	"1"	"2"	"0"	"6"	"5"	"5"	"318"	""	"318"	""
"351"	"223"	"10"	"84"	"317"	"12"	"12"	"10"	"5"	"8"	"9"	"12"	"19"	"498"	""	"498"	""
"352"	"Total"	"121"	"1405"	"3300"	"101"	"286"	"53"	"174"	"73"	"117"	"64"	"113"	"5807"	"0"	"5807"	"0"
"353"	"Cumm.Tot."	"2940"	"40254"	"56986"	"2053"	"2550"	"966"	"1039"	"1139"	"1641"	"1220"	"2098"	"112886"	"0"	"112886"	"0"
"354"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"17                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"358"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"359"	"224"	"47"	"64"	"150"	"0"	"3"	"1"	"3"	"3"	"3"	"2"	"2"	"278"	""	"278"	""
"360"	"225"	"8"	"179"	"243"	"5"	"8"	"1"	"7"	"7"	"2"	"3"	"3"	"466"	""	"466"	""
"361"	"226"	"6"	"73"	"129"	"6"	"6"	"1"	"2"	"9"	"7"	"7"	"11"	"257"	""	"257"	""
"362"	"227"	"9"	"76"	"122"	"3"	"1"	"1"	"1"	"3"	"1"	"1"	"1"	"219"	""	"219"	""
"363"	"227A"	"17"	"106"	"258"	"6"	"9"	"3"	"1"	"1"	"4"	"0"	"2"	"407"	""	"407"	""
"364"	"228"	"9"	"104"	"279"	"14"	"10"	"7"	"5"	"5"	"8"	"2"	"11"	"454"	""	"454"	""
"365"	"229"	"7"	"165"	"293"	"9"	"42"	"15"	"4"	"4"	"7"	"4"	"10"	"560"	""	"560"	""
"366"	"230"	"43"	"112"	"376"	"9"	"5"	"5"	"3"	"1"	"11"	"5"	"27"	"597"	""	"597"	""
"367"	"231"	"33"	"186"	"262"	"22"	"11"	"14"	"6"	"7"	"7"	"5"	"6"	"559"	""	"559"	""
"368"	"232"	"20"	"150"	"334"	"19"	"10"	"7"	"5"	"5"	"15"	"6"	"4"	"575"	""	"575"	""
"369"	"233"	"24"	"167"	"310"	"17"	"8"	"6"	"1"	"1"	"9"	"4"	"3"	"550"	""	"550"	""
"370"	"234"	"5"	"61"	"303"	"8"	"6"	"2"	"1"	"4"	"7"	"3"	"5"	"405"	""	"405"	""
"371"	"235"	"9"	"165"	"174"	"22"	"21"	"4"	"5"	"5"	"5"	"4"	"4"	"418"	""	"418"	""
"372"	"236"	"5"	"193"	"172"	"6"	"5"	"1"	"5"	"5"	"6"	"4"	"17"	"419"	""	"419"	""
"373"	"Total"	"242"	"1801"	"3405"	"146"	"145"	"68"	"49"	"60"	"92"	"50"	"106"	"6164"	"0"	"6164"	"0"
"374"	"Grand Tot."	"3182"	"42055"	"60391"	"2199"	"2695"	"1034"	"1088"	"1199"	"1733"	"1270"	"2204"	"119050"	"0"	"119050"	"0"
"375"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"18                                                                 2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"379"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"380"	"237"	"10"	"88"	"121"	"5"	"2"	"2"	"2"	"2"	"0"	"0"	"2"	"234"	""	"234"	""
"381"	"238"	"10"	"260"	"282"	"7"	"6"	"5"	"4"	"5"	"13"	"10"	"18"	"620"	""	"620"	""
"382"	"Total"	"20"	"348"	"403"	"12"	"8"	"7"	"6"	"7"	"13"	"10"	"20"	"854"	"0"	"854"	"0"
"383"	"Grand Tot."	"3202"	"42403"	"60794"	"2211"	"2703"	"1041"	"1094"	"1206"	"1746"	"1280"	"2224"	"119904"	"0"	"119904"	"0"
"384"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"2-Bagaha(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"Polling Station No."	"Jitendra Bharti"	"Narsingh Baitha"	"Purnmasi Ram"	"Prabhawati Devi"	"Haridwar Paswan"	"Chhotelal Ram"	"Dinesh Chandra Ram"	"Puranwasi Ram"	"Ramashank ar Bhagat"	"Vishwanath Ram"	"Suresh Ram"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.           of
Tendered Votes"
"389"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"390"	"Total"	"3202"	"42403"	"60794"	"2211"	"2703"	"1041"	"1094"	"1206"	"1746"	"1280"	"2224"	"119904"	"0"	"119904"	"0"
