"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"219"	"170"	"120"	"206"	"86"	"3"	"26"	"9"	"9"	"11"	"470"	""	"470"	""
"220"	"TOTAL-XIII"	"2220"	"1755"	"1361"	"162"	"381"	"130"	"294"	"225"	"6528"	""	"6528"	""
"221"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"223"	"171"	"226"	"213"	"20"	"10"	"14"	"8"	"8"	"22"	"521"	""	"521"	""
"224"	"172"	"211"	"190"	"30"	"5"	"22"	"6"	"21"	"6"	"491"	""	"491"	""
"225"	"173"	"206"	"36"	"21"	"10"	"12"	"11"	"80"	"10"	"386"	""	"386"	""
"226"	"174"	"212"	"17"	"9"	"4"	"4"	"2"	"74"	"9"	"331"	""	"331"	""
"227"	"175"	"84"	"218"	"15"	"2"	"27"	"12"	"20"	"13"	"391"	""	"391"	""
"228"	"176"	"97"	"162"	"7"	"1"	"29"	"5"	"26"	"7"	"334"	""	"334"	""
"229"	"177"	"230"	"66"	"8"	"4"	"18"	"8"	"62"	"16"	"412"	""	"412"	""
"230"	"178"	"200"	"135"	"38"	"5"	"19"	"4"	"39"	"9"	"449"	""	"449"	""
"231"	"179"	"339"	"22"	"9"	"4"	"14"	"14"	"139"	"58"	"599"	""	"599"	""
"232"	"180"	"275"	"8"	"68"	"8"	"4"	"4"	"28"	"6"	"401"	""	"401"	""
"233"	"181"	"127"	"88"	"15"	"7"	"13"	"5"	"125"	"14"	"394"	""	"394"	""
"234"	"TOTAL-XIV"	"2207"	"1155"	"240"	"60"	"176"	"79"	"622"	"170"	"4709"	""	"4709"	""
"235"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"ernku  dsUnz dh Øe la[;k"	"vuhrk nsoh"	"fo'o eksgu dqekj"	"'kdqaryk izlkn"	"lat; dqekj pkS/kjh"	"ukjk;.k eaMy"	"cynso jke"	"';kekuUn
;kno"	"lathr  dqekj pkS/kjh"	"dqy fof/k ekU;  er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk erksa  dh la[;k"
"237"	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"matdana kond`aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"AC Total"	"23459"	"30889"	"10762"	"1366"	"4437"	"1537"	"12241"	"2386"	"87077"	""	"87077"	""
"240"	"Dak matp~aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"242"	"Dalao gayao kula mat :"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	""	"23459"	"30889"	"10762"	"1366"	"4437"	"1537"	"12241"	"2386"	"87077"	""	"87077"	""
"244"	"sqaana : saupaOla                                                                                                              irTina--Mga Aaifsar ko hstaxar"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"tarIK : 22.11.2005                                                                                                                        113 ¹i~vaoNaIgaMja"	""	""	""	""	""	""	""	""	""	""	""	""
