"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"3"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"Ist Round"	""	""
"5"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"303"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"304"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"305"	"143"	"23"	"439"	"121"	"60"	"11"	"8"	"8"	"26"	"696"
"306"	"144"	"11"	"190"	"49"	"20"	"17"	"3"	"3"	"2"	"295"
"307"	"145"	"17"	"234"	"72"	"82"	"38"	"2"	"6"	"25"	"476"
"308"	"146"	"22"	"280"	"192"	"67"	"16"	"5"	"6"	"12"	"600"
"309"	"147"	"24"	"90"	"279"	"59"	"172"	"9"	"1"	"16"	"650"
"310"	"148"	"11"	"179"	"143"	"28"	"12"	"7"	"9"	"5"	"394"
"311"	"149"	"23"	"83"	"239"	"16"	"11"	"5"	"7"	"11"	"395"
"312"	"150"	"20"	"305"	"46"	"23"	"9"	"1"	"2"	"7"	"413"
"313"	"151"	"12"	"315"	"107"	"32"	"14"	"1"	"3"	"2"	"486"
"314"	"152"	"14"	"160"	"89"	"91"	"23"	"2"	"2"	"6"	"387"
"315"	"152A"	"7"	"128"	"21"	"19"	"9"	"3"	"7"	"2"	"196"
"316"	"153"	"13"	"523"	"35"	"45"	"11"	"5"	"3"	"15"	"650"
"317"	"154"	"26"	"379"	"46"	"74"	"23"	"6"	"13"	"20"	"587"
"318"	"155"	"15"	"302"	"60"	"45"	"9"	"5"	"3"	"9"	"448"
"319"	";ksx"	"238"	"3607"	"1499"	"661"	"375"	"62"	"73"	"158"	"6673"
"320"	""	""	""	""	""	""	""	""	""	""
"321"	"LFkku &"	""	""	""	""	""	""	""	""	""
"322"	""	""	""	""	""	""	""	""	""	""
"323"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"324"	""	""	""	""	""	""	""	""	""	""
"325"	""	""	""	""	""	""	""	""	""	""
"326"	"izi=&20"	""	""	""	""	""	""	""	""	""
"327"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"328"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"329"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"330"	""	""	""	""	""	""	""	"13th Round"	""	""
"331"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"332"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"333"	"156"	"18"	"441"	"92"	"82"	"28"	"6"	"13"	"7"	"687"
"334"	"157"	"4"	"290"	"15"	"30"	"10"	"11"	"0"	"16"	"376"
"335"	"158"	"17"	"245"	"57"	"59"	"55"	"2"	"8"	"8"	"451"
"336"	"159"	"9"	"341"	"48"	"41"	"19"	"1"	"6"	"6"	"471"
"337"	"160"	"23"	"352"	"63"	"25"	"35"	"13"	"17"	"12"	"540"
"338"	"161"	"28"	"360"	"60"	"28"	"20"	"1"	"0"	"8"	"505"
"339"	"162"	"20"	"212"	"18"	"11"	"21"	"5"	"5"	"11"	"303"
"340"	"163"	"22"	"167"	"39"	"102"	"24"	"1"	"10"	"5"	"370"
"341"	"164"	"15"	"232"	"34"	"6"	"12"	"1"	"4"	"3"	"307"
"342"	"165"	"15"	"136"	"105"	"59"	"23"	"2"	"6"	"8"	"354"
"343"	"166"	"25"	"247"	"83"	"12"	"34"	"12"	"12"	"13"	"438"
"344"	"167"	"8"	"161"	"26"	"76"	"34"	"3"	"6"	"4"	"318"
"345"	"168"	"6"	"8"	"98"	"127"	"17"	"2"	"1"	"3"	"262"
"346"	"169"	"17"	"76"	"123"	"160"	"40"	"5"	"9"	"10"	"440"
"347"	";ksx"	"227"	"3268"	"861"	"818"	"372"	"65"	"97"	"114"	"5822"
"348"	""	""	""	""	""	""	""	""	""	""
"349"	"LFkku &"	""	""	""	""	""	""	""	""	""
"350"	""	""	""	""	""	""	""	""	""	""
"351"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"352"	""	""	""	""	""	""	""	""	""	""
"353"	"izi=&20"	""	""	""	""	""	""	""	""	""
"354"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"355"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"356"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"357"	""	""	""	""	""	""	""	"14 Round"	""	""
"358"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"359"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"360"	"170"	"8"	"4"	"70"	"183"	"29"	"2"	"2"	"6"	"304"
"361"	"171"	"23"	"254"	"118"	"57"	"114"	"8"	"10"	"6"	"590"
"362"	"172"	"10"	"289"	"41"	"29"	"21"	"1"	"3"	"5"	"399"
"363"	"172A"	"7"	"278"	"15"	"2"	"16"	"1"	"1"	"1"	"321"
"364"	"173"	"12"	"176"	"88"	"27"	"53"	"4"	"4"	"4"	"368"
"365"	"174"	"24"	"162"	"84"	"20"	"16"	"11"	"14"	"10"	"341"
"366"	"175"	"17"	"227"	"45"	"28"	"146"	"7"	"4"	"10"	"484"
"367"	"176"	"25"	"85"	"20"	"9"	"235"	"7"	"8"	"12"	"401"
"368"	"177"	"25"	"223"	"131"	"93"	"148"	"6"	"14"	"22"	"662"
"369"	"178"	"4"	"110"	"6"	"4"	"36"	"4"	"1"	"2"	"167"
"370"	"179"	"27"	"468"	"59"	"63"	"75"	"15"	"9"	"27"	"743"
"371"	"180"	"29"	"189"	"59"	"6"	"157"	"6"	"2"	"5"	"453"
"372"	"181"	"16"	"265"	"28"	"23"	"72"	"9"	"14"	"13"	"440"
"373"	"182"	"10"	"282"	"26"	"9"	"109"	"6"	"13"	"6"	"461"
"374"	";ksx"	"237"	"3012"	"790"	"553"	"1227"	"87"	"99"	"129"	"6134"
"375"	""	""	""	""	""	""	""	""	""	""
"376"	"LFkku &"	""	""	""	""	""	""	""	""	""
"377"	""	""	""	""	""	""	""	""	""	""
"378"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"379"	""	""	""	""	""	""	""	""	""	""
"380"	"izi=&20"	""	""	""	""	""	""	""	""	""
"381"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"382"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"383"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"384"	""	""	""	""	""	""	""	"15th Round"	""	""
"385"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"386"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"387"	"183"	"15"	"136"	"92"	"17"	"41"	"6"	"6"	"10"	"323"
"388"	"184"	"15"	"152"	"94"	"5"	"29"	"5"	"8"	"7"	"315"
"389"	"185"	"15"	"200"	"30"	"15"	"12"	"2"	"5"	"4"	"283"
"390"	"186"	"21"	"84"	"25"	"42"	"75"	"2"	"4"	"4"	"257"
"391"	"187"	"4"	"69"	"7"	"14"	"3"	"2"	"3"	"5"	"107"
"392"	"188"	"14"	"148"	"110"	"14"	"19"	"5"	"5"	"6"	"321"
"393"	"189"	"26"	"250"	"41"	"31"	"46"	"9"	"8"	"6"	"417"
"394"	"190"	"2"	"248"	"45"	"8"	"42"	"0"	"6"	"0"	"351"
"395"	"191"	"28"	"276"	"42"	"17"	"84"	"3"	"9"	"5"	"464"
"396"	"192"	"15"	"153"	"162"	"60"	"14"	"7"	"15"	"25"	"451"
"397"	"192A"	"11"	"50"	"37"	"56"	"7"	"4"	"8"	"8"	"181"
"398"	"193"	"14"	"222"	"90"	"29"	"38"	"2"	"6"	"2"	"403"
"399"	"193A"	"12"	"97"	"65"	"29"	"139"	"2"	"3"	"8"	"355"
"400"	"194"	"36"	"94"	"88"	"14"	"7"	"2"	"2"	"6"	"249"
"401"	";ksx"	"228"	"2179"	"928"	"351"	"556"	"51"	"88"	"96"	"4477"
"402"	""	""	""	""	""	""	""	""	""	""
"403"	"LFkku &"	""	""	""	""	""	""	""	""	""
"404"	""	""	""	""	""	""	""	""	""	""
"405"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"406"	""	""	""	""	""	""	""	""	""	""
"407"	"izi=&20"	""	""	""	""	""	""	""	""	""
"408"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"409"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"410"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"411"	""	""	""	""	""	""	""	"16th Round"	""	""
"412"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"413"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"414"	"195"	"25"	"170"	"21"	"94"	"29"	"5"	"8"	"8"	"360"
"415"	"196"	"27"	"158"	"70"	"73"	"59"	"0"	"11"	"12"	"410"
"416"	"197"	"15"	"91"	"132"	"47"	"14"	"6"	"6"	"15"	"326"
"417"	"198"	"10"	"130"	"11"	"124"	"19"	"6"	"3"	"3"	"306"
"418"	"199"	"37"	"97"	"96"	"79"	"21"	"7"	"13"	"5"	"355"
"419"	"200"	"7"	"594"	"54"	"33"	"17"	"0"	"5"	"4"	"714"
"420"	"201"	"18"	"160"	"94"	"57"	"114"	"7"	"10"	"6"	"466"
"421"	"202"	"20"	"86"	"157"	"52"	"71"	"7"	"3"	"10"	"406"
"422"	"203"	"33"	"23"	"158"	"48"	"9"	"1"	"7"	"7"	"286"
"423"	"204"	"22"	"395"	"77"	"6"	"10"	"3"	"2"	"4"	"519"
"424"	"205"	"8"	"119"	"45"	"3"	"11"	"0"	"3"	"2"	"191"
"425"	"206"	"22"	"291"	"43"	"25"	"44"	"5"	"10"	"9"	"449"
"426"	"207"	"10"	"162"	"157"	"15"	"9"	"10"	"11"	"9"	"383"
"427"	"208"	"16"	"101"	"128"	"14"	"17"	"12"	"9"	"23"	"320"
"428"	";ksx"	"270"	"2577"	"1243"	"670"	"444"	"69"	"101"	"117"	"5491"
"429"	""	""	""	""	""	""	""	""	""	""
"430"	"LFkku &"	""	""	""	""	""	""	""	""	""
"431"	""	""	""	""	""	""	""	""	""	""
"432"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"433"	""	""	""	""	""	""	""	""	""	""
"434"	"izi=&20"	""	""	""	""	""	""	""	""	""
"435"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"436"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"437"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"438"	""	""	""	""	""	""	""	"17th Round"	""	""
"439"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"440"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"441"	"209"	"9"	"211"	"44"	"6"	"17"	"4"	"22"	"8"	"321"
"442"	"210"	"6"	"235"	"54"	"14"	"12"	"2"	"12"	"12"	"347"
"443"	"211"	"17"	"127"	"197"	"11"	"25"	"11"	"5"	"8"	"401"
"444"	"212"	"6"	"119"	"159"	"14"	"6"	"2"	"5"	"7"	"318"
"445"	"213"	"29"	"74"	"252"	"18"	"15"	"18"	"7"	"12"	"425"
"446"	"214"	"16"	"145"	"106"	"10"	"31"	"3"	"9"	"14"	"334"
"447"	"215"	"43"	"71"	"401"	"11"	"7"	"2"	"6"	"12"	"553"
"448"	"216"	"57"	"112"	"98"	"7"	"17"	"5"	"5"	"12"	"313"
"449"	"217"	"31"	"195"	"64"	"26"	"22"	"11"	"17"	"19"	"385"
"450"	"218"	"11"	"172"	"144"	"32"	"15"	"10"	"12"	"11"	"407"
"451"	"219"	"54"	"175"	"86"	"15"	"12"	"6"	"7"	"9"	"364"
"452"	"220"	"10"	"115"	"34"	"7"	"38"	"1"	"4"	"0"	"209"
"453"	"221"	"21"	"212"	"103"	"16"	"22"	"4"	"5"	"9"	"392"
"454"	"222"	"52"	"195"	"192"	"19"	"87"	"13"	"13"	"25"	"596"
"455"	";ksx"	"362"	"2158"	"1934"	"206"	"326"	"92"	"129"	"158"	"5365"
"456"	""	""	""	""	""	""	""	""	""	""
"457"	"LFkku &"	""	""	""	""	""	""	""	""	""
"458"	""	""	""	""	""	""	""	""	""	""
"459"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"460"	""	""	""	""	""	""	""	""	""	""
"461"	"izi=&20"	""	""	""	""	""	""	""	""	""
"462"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""
"463"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""
"464"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""
"465"	""	""	""	""	""	""	""	"18th Round"	""	""
"466"	"ernku dsUnz
la[;k"	"eatwj [kku"	"eukst ;kno"	"jktfd'kksj
izlkn mQZ iIiq ;kno"	"lR;ukjk;.k
;kno"	"mes'k izlkn
;kno"	"tuknZu feL=h"	"foÿe iz0 flag"	"cspw ;kno"	"erks dk ;ksx"
"467"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"468"	"223"	"11"	"409"	"80"	"11"	"11"	"4"	"14"	"13"	"553"
"469"	"224"	"29"	"198"	"169"	"14"	"10"	"9"	"12"	"12"	"453"
"470"	"225"	"7"	"122"	"177"	"9"	"11"	"3"	"6"	"4"	"339"
"471"	"226"	"16"	"196"	"62"	"43"	"27"	"5"	"8"	"6"	"363"
"472"	"227"	"29"	"243"	"137"	"36"	"13"	"7"	"8"	"5"	"478"
"473"	"228"	"43"	"312"	"182"	"78"	"25"	"8"	"16"	"18"	"682"
"474"	";ksx"	"135"	"1480"	"807"	"191"	"97"	"36"	"64"	"58"	"2868"
"475"	""	""	""	""	""	""	""	""	""	""
"476"	"LFkku &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""
"477"	""	""	""	""	""	""	""	""	""	""
"478"	"fnukad &"	""	""	""	""	""	""	""	""	""
