"Serial.No.of.Polling.Station."	"Chandra.Vali.Thakur"	"Ramdev.Verma"	"Ram.Balak.Singh"	"Ram.Sagar.Mahto"	"Bijesh.Baitha"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"295"	"-199"	"47"	"491"	"119"	"16"	"10"	"683"	""	"683"	""
"296"	"-200"	"254"	"239"	"36"	"4"	"6"	"539"	""	"539"	""
"297"	"-201"	"22"	"389"	"49"	"3"	"8"	"471"	""	"471"	""
"298"	"201A"	"17"	"351"	"56"	"4"	"7"	"435"	""	"435"	""
"299"	"-202"	"3"	"266"	"103"	"10"	"4"	"386"	""	"386"	""
"300"	"-203"	"138"	"354"	"79"	"1"	"2"	"574"	""	"574"	""
"301"	"-204"	"56"	"344"	"187"	"18"	"10"	"615"	""	"615"	""
"302"	"-205"	"69"	"277"	"113"	"12"	"8"	"479"	""	"479"	""
"303"	"-206"	"56"	"219"	"131"	"9"	"6"	"421"	""	"421"	""
"304"	"Page Total"	"20810"	"47983"	"39137"	"2964"	"2982"	"113876"	"0"	"113876"	"0"
"305"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"306"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"307"	"B.F."	"20810"	"47983"	"39137"	"2964"	"2982"	"113876"	"0"	"113876"	"0"
"308"	"206A"	"23"	"183"	"39"	"9"	"4"	"258"	""	"258"	""
"309"	"-207"	"21"	"162"	"53"	"8"	"7"	"251"	""	"251"	""
"310"	"-208"	"64"	"221"	"175"	"4"	"9"	"473"	""	"473"	""
"311"	"-209"	"16"	"157"	"218"	"15"	"14"	"420"	""	"420"	""
"312"	"-210"	"37"	"154"	"97"	"1"	"7"	"296"	""	"296"	""
"313"	"-211"	"65"	"209"	"194"	"16"	"24"	"508"	""	"508"	""
"314"	"-212"	"99"	"331"	"182"	"9"	"15"	"636"	""	"636"	""
"315"	"-213"	"78"	"19"	"128"	"0"	"1"	"226"	""	"226"	""
"316"	"-214"	"45"	"437"	"153"	"12"	"33"	"680"	""	"680"	""
"317"	"-215"	"99"	"348"	"125"	"17"	"13"	"602"	""	"602"	""
"318"	"-216"	"36"	"445"	"136"	"24"	"20"	"661"	""	"661"	""
"319"	"-217"	"80"	"263"	"71"	"6"	"20"	"440"	""	"440"	""
"320"	"217A"	"22"	"220"	"32"	"4"	"5"	"283"	""	"283"	""
"321"	"-218"	"33"	"268"	"73"	"10"	"9"	"393"	""	"393"	""
"322"	"Page Total"	"21528"	"51400"	"40813"	"3099"	"3163"	"120003"	"0"	"120003"	"0"
"323"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"324"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"325"	"B.F."	"21528"	"51400"	"40813"	"3099"	"3163"	"120003"	"0"	"120003"	"0"
"326"	"-219"	"27"	"431"	"52"	"6"	"7"	"523"	""	"523"	""
"327"	"-220"	"119"	"391"	"130"	"7"	"16"	"663"	""	"663"	""
"328"	"-221"	"62"	"325"	"28"	"12"	"9"	"436"	""	"436"	""
"329"	"221A"	"22"	"279"	"35"	"6"	"8"	"350"	""	"350"	""
"330"	"-222"	"46"	"273"	"169"	"10"	"6"	"504"	""	"504"	""
"331"	"-223"	"51"	"246"	"106"	"19"	"17"	"439"	""	"439"	""
"332"	"223A"	"46"	"146"	"97"	"10"	"7"	"306"	""	"306"	""
"333"	"-224"	"66"	"270"	"104"	"10"	"16"	"466"	""	"466"	""
"334"	"-225"	"36"	"257"	"75"	"14"	"10"	"392"	""	"392"	""
"335"	"-226"	"52"	"92"	"122"	"19"	"25"	"310"	""	"310"	""
"336"	"226A"	"26"	"233"	"44"	"6"	"9"	"318"	""	"318"	""
"337"	"-227"	"11"	"269"	"89"	"2"	"2"	"373"	""	"373"	""
"338"	"Page Total"	"22092"	"54612"	"41864"	"3220"	"3295"	"125083"	"0"	"125083"	"0"
"339"	"Serial
No.of Polling Station*"	"Chandra Vali
Thakur"	"Ramdev
Verma"	"Ram Balak Singh"	"Ram Sagar
Mahto"	"Bijesh Baitha"	"Total of
valid Votes"	"No.of rejected
votes"	"Total"	"No.of
Tendered Votes"
"340"	""	"A"	"B"	"C"	"D"	"E"	""	""	""	""
"341"	"B.F."	"22092"	"54612"	"41864"	"3220"	"3295"	"125083"	"0"	"125083"	"0"
"342"	"Total No of votes recorded at Polling Stations"	"22092"	"54612"	"41864"	"3220"	"3295"	"125083"	"0"	"125083"	"0"
"343"	"No. of Votes recorded on Postal ballot Papers"	"4"	"4"	"1"	"0"	"0"	"9"	"3"	"12"	"0"
"344"	"Total Votes Polled"	"22096"	"54616"	"41865"	"3220"	"3295"	"125092"	"3"	"125095"	"0"
"345"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR"	""	""	""	""	""	""	""	""	""
"346"	"Returning Officer"	""	""	""	""	""	""	""	""	""
"347"	"99- Bibhutipur"	""	""	""	""	""	""	""	""	""
"348"	"Date:- 22 Nov  2005                                                                                                                                            Samastipur"	""	""	""	""	""	""	""	""	""
