"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment      217152"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                            204-Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"172"	"137"	"PRIMARY SCHOOL , TIKTHI"	"11"	"80"	"138"	"8"	"179"	"10"	"5"	"431"	"0"	"431"	"0"
"173"	"138"	"MIDDLE SCHOOL , HATPOKHR (EAST PART)"	"17"	"130"	"21"	"1"	"338"	"6"	"3"	"516"	"0"	"516"	"0"
"174"	"139"	"MIDDLE SCHOOL HATPOKHAR (WEST PART)"	"8"	"33"	"15"	"4"	"246"	"1"	"0"	"307"	"0"	"307"	"0"
"175"	"140"	"PRIMARY SCHOOL ,MAJHUPUR"	"4"	"70"	"84"	"5"	"188"	"1"	"0"	"352"	"0"	"352"	"0"
"176"	"141"	"HIGH SCHOOL , PARASIYA"	"18"	"206"	"89"	"1"	"312"	"7"	"5"	"638"	"0"	"638"	"0"
"177"	"142"	"PRIMARY SCHOOL , DILYEA"	"4"	"158"	"91"	"2"	"272"	"7"	"5"	"539"	"0"	"539"	"0"
"178"	"143"	"PANCHYAT BAWAN , VARDPARWA"	"14"	"51"	"187"	"12"	"231"	"2"	"3"	"500"	"0"	"500"	"0"
"179"	"144"	"PRIMARY SCHOOL , DULLWOR (WARDPALWA)"	"16"	"82"	"85"	"14"	"239"	"2"	"7"	"445"	"0"	"445"	"0"
"180"	"144A"	"PRIMARY SCHOOL , DULLWOR (WARDPALWA) (W)"	"8"	"11"	"200"	"7"	"22"	"3"	"2"	"253"	"0"	"253"	"0"
"181"	"145"	"PRIMARY SCHOOL , BUDHWAL (NORTH PART)"	"64"	"2"	"173"	"4"	"249"	"2"	"13"	"507"	"0"	"507"	"0"
"182"	"146"	"PRIMARY SCHOOL , BUDHWEL (SOUTH PART)"	"8"	"6"	"231"	"15"	"157"	"4"	"13"	"434"	"0"	"434"	"0"
"183"	"147"	"MIDDLE SCHOOL , TINMURTYA"	"13"	"24"	"173"	"17"	"269"	"9"	"7"	"512"	"0"	"512"	"0"
"184"	"148"	"PACHYAT BAWAMN ,TINMURTYA"	"6"	"63"	"44"	"6"	"338"	"8"	"0"	"465"	"0"	"465"	"0"
"185"	"149"	"PRIMARY SCHOOL , SONBARSA"	"8"	"0"	"275"	"1"	"13"	"1"	"0"	"298"	"0"	"298"	"0"
"186"	"150"	"PRIMARY SCHOOL , DEHRI"	"9"	"2"	"228"	"7"	"283"	"7"	"6"	"542"	"0"	"542"	"0"
"187"	"151"	"PRIMARY SCHOOL , SHIVPUR ( SOUTH PART)"	"3"	"18"	"350"	"19"	"138"	"6"	"7"	"541"	"0"	"541"	"0"
"188"	"152"	"PRIMARY SCHOOL , SHIVPUR (NORTH PART)"	"27"	"2"	"161"	"13"	"256"	"6"	"5"	"470"	"0"	"470"	"0"
"189"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"190"	"Serial No. of Polling Stations"	""	"LJSP"	"CPI(ML)(L)"	"RJD"	"BSP"	"JD(U)"	"SP"	"IND"	""	""	""	""
"191"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"192"	"153"	"PRIMARY SCHOOL , DAVRADH ( NORTH PART)"	"2"	"42"	"98"	"2"	"193"	"1"	"0"	"338"	"0"	"338"	"0"
"193"	"154"	"PRIMARY SCHOOL ,DAVRADH (SOUTH PART)"	"27"	"118"	"65"	"18"	"215"	"7"	"14"	"464"	"0"	"464"	"0"
"194"	"155"	"PRIMARY  SCHOOL , KUNAYI"	"12"	"200"	"28"	"19"	"178"	"10"	"20"	"467"	"0"	"467"	"0"
"195"	"156"	"MIDDLE SCHOOL ,MAHURAHI ( NORTH PART)"	"9"	"142"	"225"	"7"	"106"	"3"	"3"	"495"	"0"	"495"	"0"
"196"	"157"	"PRIMARY SCHOOL,KESARY( NORTH PART)"	"10"	"81"	"243"	"14"	"211"	"1"	"6"	"566"	"0"	"566"	"0"
"197"	"158"	"PRIMARY SCHOOL,KESARY(SOUTH PART)"	"4"	"64"	"72"	"4"	"165"	"5"	"2"	"316"	"0"	"316"	"0"
"198"	"159"	"PRIMARY SCHOOL ,DHANGAI"	"38"	"8"	"51"	"33"	"377"	"0"	"9"	"516"	"0"	"516"	"0"
"199"	"160"	"PRIMARY SCHOOL , BASUNAI"	"21"	"10"	"120"	"14"	"219"	"12"	"7"	"403"	"0"	"403"	"0"
"200"	"161"	"PRIMARY SCHOOL , MITHYA ( EAST PART)"	"23"	"30"	"327"	"18"	"77"	"18"	"4"	"497"	"0"	"497"	"0"
"201"	"162"	"PRIMARY SCHOOL , MITHYA (WEST PART)"	"134"	"0"	"96"	"10"	"14"	"2"	"0"	"256"	"0"	"256"	"0"
"202"	"163"	"MIDDLE SCHOOL , MAHRUHI (SOUTH PART)"	"14"	"108"	"109"	"3"	"182"	"4"	"5"	"425"	"0"	"425"	"0"
"203"	"164"	"MIDDLE SCHOOL , DALIPPUR DIEH ( EAST PART)"	"3"	"8"	"8"	"3"	"374"	"5"	"1"	"402"	"0"	"402"	"0"
"204"	"165"	"MIDDEL SCHOOL , DILEPPUR DIEH (WEST PART)"	"7"	"51"	"49"	"1"	"244"	"1"	"4"	"357"	"0"	"357"	"0"
"205"	"166"	"HIGH SCHOOL , DILIPPUR(WEST PART)"	"10"	"28"	"90"	"11"	"314"	"11"	"6"	"470"	"0"	"470"	"0"
"206"	"167"	"HIGH SCHOOL , DILIPPUR (EAST PART)"	"6"	"2"	"160"	"5"	"217"	"7"	"3"	"400"	"0"	"400"	"0"
"207"	"168"	"HIGH SCHOOL , DALIPPUR (MIDDEL PART)"	"97"	"66"	"296"	"76"	"85"	"3"	"11"	"634"	"0"	"634"	"0"
"208"	"169"	"KANYA MIDDLE SCHOOL ,DALIPPUR"	"2"	"6"	"121"	"4"	"178"	"5"	"7"	"323"	"0"	"323"	"0"
"209"	"170"	"MIDDLE SCHOOL , TENDUNI"	"7"	"5"	"235"	"13"	"471"	"16"	"5"	"752"	"0"	"752"	"0"
"210"	"171"	"PANCHYAT BAWAN ,TENDUNI"	"31"	"8"	"62"	"43"	"442"	"6"	"9"	"601"	"0"	"601"	"0"
"211"	"172"	"PRIMARY SCHOOL KODHVA"	"9"	"7"	"168"	"7"	"207"	"3"	"2"	"403"	"0"	"403"	"0"
"212"	"173"	"MIDDLE SCHOOL ,SANGAM TOLA (WEST PART)"	"34"	"5"	"42"	"13"	"288"	"7"	"10"	"399"	"0"	"399"	"0"
"213"	"174"	"MIDDEL SCHOOL ,SANGAMTOLA (EAST PART)"	"5"	"11"	"44"	"5"	"309"	"3"	"1"	"378"	"0"	"378"	"0"
"214"	"175"	"PRIMARY SCHOOL ,BHARASRAA"	"61"	"32"	"283"	"10"	"258"	"11"	"10"	"665"	"0"	"665"	"0"
"215"	"176"	"MIDDEL SCHOOL SEARUYA (NORTH PART)"	"21"	"150"	"81"	"11"	"127"	"7"	"9"	"406"	"0"	"406"	"0"
"216"	"177"	"MIDDLE SCHOOL SEARUYA (SOUTH PART)"	"15"	"12"	"193"	"17"	"91"	"9"	"7"	"344"	"0"	"344"	"0"
"217"	"178"	"PRIMARY SCHOOL ,BAHUARA"	"0"	"518"	"3"	"0"	"1"	"0"	"0"	"522"	"0"	"522"	"0"
"218"	"179"	"PRIMARY SCHOOL , BAARHI"	"4"	"2"	"251"	"14"	"438"	"6"	"8"	"723"	"0"	"723"	"0"
"219"	"180"	"PRIMARY SCHOOL , MANGURA"	"0"	"5"	"107"	"2"	"387"	"5"	"5"	"511"	"0"	"511"	"0"
"220"	"181"	"PRIMARY SCHOOL , ANSHUDHR"	"3"	"4"	"331"	"10"	"22"	"3"	"2"	"375"	"0"	"375"	"0"
"221"	"182"	"PRIMARY SCHOOL , NAWER POKHAR"	"6"	"28"	"284"	"14"	"107"	"5"	"5"	"449"	"0"	"449"	"0"
"222"	"183"	"MIDDLE SCHOOL , KAKILA"	"11"	"45"	"130"	"9"	"241"	"5"	"13"	"454"	"0"	"454"	"0"
"223"	"184"	"TAHSIL KACHARI , KAKILA"	"12"	"151"	"300"	"7"	"67"	"13"	"2"	"552"	"0"	"552"	"0"
"224"	"185"	"PRIMARY SCHOOL , PALIYA"	"64"	"54"	"235"	"5"	"138"	"4"	"4"	"504"	"0"	"504"	"0"
"225"	"186"	"PRIMARY SCHOOL  , DIULE"	"23"	"183"	"92"	"14"	"367"	"11"	"13"	"703"	"0"	"703"	"0"
"226"	"187"	"PRIMARY SCHOOL , UGANA (NORTH PART)"	"2"	"92"	"40"	"8"	"126"	"4"	"3"	"275"	"0"	"275"	"0"
"227"	"188"	"PRIMARY SCHOOL , UGANA ( SOUTH PART)"	"0"	"18"	"340"	"0"	"20"	"0"	"0"	"378"	"0"	"378"	"0"
"228"	""	""	"AJAY KUMAR
SINGH"	"ABINASH SINGH"	"DINESH KUMAR
SINGH"	"MAHESH RAM"	"SRI BHAGWAN
SINGH"	"SACHIDANAND
SINGH"	"VIJAY SHANKAR
RAM"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"229"	"Serial No. of Polling Stations"	""	"LJSP"	"CPI(ML)(L)"	"RJD"	"BSP"	"JD(U)"	"SP"	"IND"	""	""	""	""
"230"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"231"	"189"	"MIDDLE SCHOOL , IYEAR ( EAST PART)"	"8"	"152"	"78"	"10"	"257"	"11"	"17"	"533"	"0"	"533"	"0"
"232"	"190"	"MIDDLE SCHOOL , IYEAR (WEST PART)"	"8"	"123"	"42"	"10"	"136"	"4"	"3"	"326"	"0"	"326"	"0"
"233"	"191"	"URDU PRIMARY SCHOOL , IYEAR"	"33"	"79"	"129"	"7"	"187"	"2"	"8"	"445"	"0"	"445"	"0"
"234"	"192"	"HIGH SCHOOL , AYAR (SOUTH PART)"	"34"	"77"	"188"	"16"	"75"	"6"	"8"	"404"	"0"	"404"	"0"
"235"	"192A"	"HIGH SCHOOL , AYAR (MIDDLE PART)"	"21"	"64"	"78"	"3"	"57"	"2"	"5"	"230"	"0"	"230"	"0"
"236"	"193"	"HIGH SCHOOL IYEAR (NORTH PART)"	"0"	"45"	"238"	"5"	"10"	"1"	"2"	"301"	"0"	"301"	"0"
"237"	"194"	"HIGH SCHOOL , BALIGAON (NORTH PART)"	"10"	"22"	"148"	"9"	"192"	"4"	"3"	"388"	"0"	"388"	"0"
"238"	"195"	"HIGH SCHOOL , BALIGAON (SOUTH PART)"	"34"	"120"	"177"	"10"	"60"	"4"	"5"	"410"	"0"	"410"	"0"
"239"	"196"	"MIDDLE SCHOOL , BALIGAON (NORTH PART)"	"16"	"95"	"201"	"3"	"70"	"3"	"2"	"390"	"0"	"390"	"0"
"240"	"197"	"MIDDLE SCHOOL , BALIGAON (SOUTH PART)"	"27"	"297"	"124"	"8"	"34"	"5"	"7"	"502"	"0"	"502"	"0"
"241"	"198"	"PRIMARY SCHOOL , SHRINAGAR"	"8"	"20"	"293"	"1"	"79"	"4"	"4"	"409"	"0"	"409"	"0"
"242"	"199"	"PRIMARY SCHOOL , LALIT KA BATHAN"	"1"	"8"	"234"	"2"	"74"	"3"	"0"	"322"	"0"	"322"	"0"
"243"	"200"	"MIDDLE SCHOOL , LALGANJ"	"31"	"40"	"133"	"13"	"339"	"6"	"1"	"563"	"0"	"563"	"0"
"244"	"201"	"MIDDLE SCHOOL ,MAHTHIN TOLA"	"17"	"68"	"105"	"5"	"422"	"2"	"1"	"620"	"0"	"620"	"0"
"245"	"202"	"PRIMARY SCHOOL , VIDERAI"	"8"	"11"	"72"	"4"	"323"	"2"	"7"	"427"	"0"	"427"	"0"
"246"	"203"	"PRIMARY SCHOOL ,ICHARY (NORTH PART)"	"11"	"84"	"173"	"16"	"102"	"3"	"11"	"400"	"0"	"400"	"0"
"247"	"204"	"PRIMARY SCHOOL ,ICHARY (SOUTH PART)"	"14"	"66"	"275"	"9"	"124"	"12"	"9"	"509"	"0"	"509"	"0"
"248"	"205"	"PRIMARY SCHOOL ,HADIYABAD"	"51"	"22"	"138"	"1"	"148"	"4"	"10"	"374"	"0"	"374"	"0"
"249"	"206"	"PRIMARY SCHOOL , MORSEYA"	"15"	"40"	"172"	"8"	"54"	"5"	"6"	"300"	"0"	"300"	"0"
"250"	"207"	"PRIMARY SCHOOL , RATANPUR"	"5"	"140"	"176"	"7"	"126"	"2"	"0"	"456"	"0"	"456"	"0"
"251"	"208"	"PRIMARY SCHOOL , MADURA (NORTH PART)"	"3"	"39"	"55"	"10"	"186"	"4"	"4"	"301"	"0"	"301"	"0"
"252"	"209"	"PRIMARY SCHOOL , MADURA (SOUTH PART)"	"4"	"18"	"88"	"7"	"278"	"3"	"4"	"402"	"0"	"402"	"0"
"253"	"210"	"MIDDLE SCHOOL , SAHANGI (NORTH PART)"	"10"	"70"	"128"	"13"	"186"	"10"	"11"	"428"	"0"	"428"	"0"
"254"	"211"	"MIDDLE SCHOOL , SAHANGI (SOUTH PARRT)"	"36"	"131"	"19"	"9"	"132"	"6"	"9"	"342"	"0"	"342"	"0"
"255"	"212"	"PRIMARY SCHOOL , AJAM NAGAR"	"4"	"7"	"269"	"13"	"38"	"4"	"3"	"338"	"0"	"338"	"0"
"256"	"213"	"PRIMARY SCHOOL , BARAP (NORTH PART)"	"6"	"67"	"116"	"1"	"315"	"3"	"3"	"511"	"0"	"511"	"0"
"257"	"214"	"PRIMARY SCHOOL ,BARAP (SOUTH PART)"	"22"	"49"	"34"	"2"	"291"	"4"	"3"	"405"	"0"	"405"	"0"
"258"	"215"	"PRIMARY SCHOOL , SIHAAR TOLA"	"2"	"5"	"197"	"4"	"3"	"1"	"1"	"213"	"0"	"213"	"0"
"259"	"Total No. of Votes recorded at Polling Stations"	""	"4374"	"9387"	"40888"	"2514"	"41988"	"1298"	"1314"	"101763"	"0"	"101763"	"0"
"260"	"No of votes recorded on postal ballot papers"	""	"0"	"0"	"1"	"2"	"4"	"0"	"1"	"8"	"0"	"8"	"0"
"261"	"Total Votes polled"	""	"4374"	"9387"	"40889"	"2516"	"41992"	"1298"	"1315"	"101771"	"0"	"101771"	"0"
"262"	"Place :                                                                                                                                                           Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Date : 22/11/2005"	""	""	""	""	""	""	""	""	""	""	""	""
