"X013.ADAPUR"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"200"	""	""	""	""	""	""	"PRABHU DEO YADAV"	""	"RAM KUWAR RAM"	""	"SHYAM BIHARI PRASAD"	"SABIR ALI"	"HARI SHANKAR PD. YADAV"	"KALAMUDDIN"	"NASIM AFROJ"	"MANOJ PASWAN"	"SHATRUDHAN SINGH"	"SHIV SHANKAR PRASAD"	"Total"
"201"	"No"	""	""	"Ext"	"Voters"	"Round"	"1"	""	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"12"
"202"	"126"	""	""	""	"849"	"15"	"9"	""	"1"	""	"110"	"19"	"373"	"13"	"3"	"6"	"4"	"9"	"547"
"203"	"127"	""	""	""	"1131"	"15"	"10"	""	"3"	""	"420"	"98"	"97"	"5"	"11"	"13"	"18"	"6"	"681"
"204"	"128"	""	""	""	"582"	"15"	"9"	""	"4"	""	"181"	"157"	"190"	"6"	"5"	"14"	"13"	"15"	"594"
"205"	"128"	""	""	"A"	"992"	"15"	"1"	""	"1"	""	"178"	"25"	"132"	"3"	"1"	"3"	"2"	"3"	"349"
"206"	"129"	""	""	""	"982"	"15"	"41"	""	"2"	""	"225"	"117"	"58"	"8"	"4"	"16"	"8"	"13"	"492"
"207"	"130"	""	""	""	"913"	"15"	"54"	""	"11"	""	"182"	"132"	"130"	"17"	"10"	"16"	"6"	"22"	"580"
"208"	"130"	""	""	"A"	"549"	"16"	"7"	""	"1"	""	"99"	"24"	"141"	"3"	"1"	"5"	"1"	"2"	"284"
"209"	"131"	""	""	""	"1098"	"16"	"3"	""	"6"	""	"183"	"445"	"15"	"4"	"1"	"7"	"8"	"3"	"675"
"210"	"132"	""	""	""	"1315"	"16"	"8"	""	"1"	""	"163"	"293"	"181"	"12"	"5"	"10"	"11"	"17"	"701"
"211"	"133"	""	""	""	"1177"	"16"	"10"	""	"1"	""	"40"	"429"	"37"	"10"	"3"	"5"	"3"	"7"	"545"
"212"	"134"	""	""	""	"1285"	"16"	"227"	""	"2"	""	"84"	"12"	"386"	"7"	"5"	"4"	"3"	"18"	"748"
"213"	"135"	""	""	""	"852"	"16"	"11"	""	"3"	""	"310"	"11"	"20"	"1"	"1"	"10"	"3"	"6"	"376"
"214"	"136"	""	""	""	"1016"	"16"	"14"	""	"9"	""	"127"	"373"	"12"	"8"	"5"	"9"	"6"	"10"	"573"
"215"	"137"	""	""	""	"1116"	"16"	"10"	""	"8"	""	"287"	"195"	"12"	"1"	"5"	"8"	"5"	"7"	"538"
"216"	"138"	""	""	""	"993"	"16"	"124"	""	"6"	""	"143"	"89"	"134"	"8"	"5"	"5"	"3"	"13"	"530"
"217"	"139"	""	""	""	"1289"	"16"	"50"	""	"5"	""	"65"	"453"	"69"	"2"	"3"	"5"	"6"	"9"	"667"
"218"	"140"	""	""	""	"755"	"17"	"9"	""	"0"	""	"339"	"53"	"14"	"1"	"4"	"5"	"0"	"3"	"428"
"219"	"141"	""	""	""	"677"	"17"	"3"	""	"3"	""	"183"	"147"	"35"	"3"	"0"	"5"	"1"	"4"	"384"
"220"	"142"	""	""	""	"731"	"17"	"51"	""	"7"	""	"170"	"28"	"86"	"9"	"6"	"6"	"4"	"15"	"382"
"221"	"143"	""	""	""	"923"	"17"	"94"	""	"3"	""	"37"	"6"	"439"	"5"	"1"	"1"	"0"	"3"	"589"
"222"	"144"	""	""	""	"1285"	"17"	"69"	""	"7"	""	"347"	"122"	"13"	"5"	"6"	"8"	"10"	"23"	"610"
"223"	"145"	""	""	""	"667"	"17"	"80"	""	"2"	""	"151"	"106"	"30"	"2"	"0"	"9"	"7"	"20"	"407"
"224"	"146"	""	""	""	"1369"	"17"	"33"	""	"11"	""	"216"	"71"	"285"	"19"	"7"	"12"	"9"	"14"	"677"
"225"	"147"	""	""	""	"1063"	"17"	"20"	""	"5"	""	"310"	"169"	"172"	"19"	"9"	"12"	"11"	"19"	"746"
"226"	"148"	""	""	""	"677"	"17"	"6"	""	"2"	""	"181"	"100"	"95"	"10"	"3"	"8"	"22"	"8"	"435"
"227"	"149"	""	""	""	"727"	"17"	"8"	""	"3"	""	"65"	"28"	"274"	"14"	"4"	"6"	"9"	"28"	"439"
"228"	"150"	""	""	""	"683"	"18"	"6"	""	"6"	""	"281"	"103"	"17"	"4"	"1"	"8"	"3"	"5"	"434"
"229"	"150"	""	""	"A"	"743"	"18"	"5"	""	"4"	""	"282"	"37"	"75"	"4"	"2"	"13"	"3"	"9"	"434"
"230"	"151"	""	""	""	"620"	"18"	"6"	""	"2"	""	"167"	"25"	"175"	"10"	"4"	"6"	"7"	"19"	"421"
"231"	"152"	""	""	""	"1001"	"18"	"13"	""	"7"	""	"197"	"210"	"39"	"9"	"6"	"14"	"14"	"14"	"523"
"232"	"153"	""	""	""	"1077"	"18"	"10"	""	"1"	""	"62"	"41"	"445"	"22"	"12"	"11"	"6"	"10"	"620"
"233"	"153"	""	""	"A"	"485"	"18"	"1"	""	"2"	""	"141"	"9"	"77"	"5"	"1"	"7"	"1"	"6"	"250"
"234"	"154"	""	""	""	"822"	"18"	"9"	""	"2"	""	"267"	"43"	"117"	"9"	"14"	"22"	"7"	"41"	"531"
"235"	"155"	""	""	""	"1292"	"18"	"20"	""	"3"	""	"159"	"65"	"350"	"14"	"11"	"3"	"9"	"11"	"645"
"236"	"156"	""	""	""	"789"	"18"	"4"	""	"4"	""	"123"	"26"	"208"	"10"	"8"	"7"	"13"	"20"	"423"
"237"	"157"	""	""	""	"487"	"18"	"6"	""	"2"	""	"162"	"10"	"46"	"3"	"2"	"2"	"16"	"3"	"252"
"238"	"158"	""	""	""	"1122"	"19"	"5"	""	"7"	""	"162"	"52"	"306"	"15"	"10"	"12"	"6"	"23"	"598"
"239"	"159"	""	""	""	"1085"	"19"	"10"	""	"2"	""	"232"	"20"	"265"	"13"	"3"	"10"	"4"	"12"	"571"
"240"	"160"	""	""	""	"971"	"19"	"1"	""	"5"	""	"201"	"12"	"292"	"6"	"6"	"7"	"1"	"7"	"538"
"241"	"161"	""	""	""	"920"	"19"	"4"	""	"3"	""	"220"	"54"	"97"	"3"	"2"	"1"	"6"	"1"	"391"
"242"	"162"	""	""	""	"1123"	"19"	"14"	""	"6"	""	"197"	"79"	"175"	"18"	"9"	"22"	"7"	"38"	"565"
"243"	"163"	""	""	""	"1293"	"19"	"18"	""	"9"	""	"116"	"18"	"326"	"10"	"8"	"5"	"6"	"13"	"529"
"244"	"164"	""	""	""	"1391"	"19"	"13"	""	"5"	""	"105"	"354"	"35"	"6"	"6"	"5"	"7"	"9"	"545"
"245"	"165"	""	""	""	"1090"	"19"	"18"	""	"5"	""	"204"	"69"	"205"	"11"	"7"	"14"	"8"	"17"	"558"
"246"	"166"	""	""	""	"1333"	"19"	"13"	""	"4"	""	"301"	"140"	"145"	"12"	"4"	"12"	"18"	"20"	"669"
"247"	"167"	""	""	""	"962"	"19"	"14"	""	"8"	""	"321"	"93"	"72"	"7"	"3"	"10"	"6"	"7"	"541"
"248"	"168"	""	""	""	"981"	"20"	"17"	""	"3"	""	"298"	"95"	"121"	"6"	"3"	"33"	"10"	"17"	"603"
"249"	"169"	"No"	""	""	""	""	""	"Booth"	"013-ADAPUR"	""	""	""	""	""	""	""	""	""	""
"250"	""	"Ext"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"1106"	"Voters"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""
"252"	"20"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"8"	"1"	"PRABHU DEO YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"6"	"2"	"RAM KUWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"349"	"3"	"SHYAM BIHARI PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"67"	"4"	"SABIR ALI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"118"	"5"	"HARI SHANKAR PD. YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"10"	"6"	"KALAMUDDIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"7"	"7"	"NASIM AFROJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"32"	"8"	"MANOJ PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"7"	"9"	"SHATRUDHAN SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"36"	"10"	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"640"	"12"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"013-ADAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Booth"	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	""	""	""	""	""	""	"PRABHU DEO YADAV"	""	"RAM KUWAR RAM"	""	"SHYAM BIHARI PRASAD"	"SABIR ALI"	"HARI SHANKAR PD. YADAV"	"KALAMUDDIN"	"NASIM AFROJ"	"MANOJ PASWAN"	"SHATRUDHAN SINGH"	"SHIV SHANKAR PRASAD"	"Total"
"267"	"No"	""	""	"Ext"	"Voters"	"Round"	"1"	""	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"12"
"268"	"170"	""	""	""	"1062"	"20"	"16"	""	"9"	""	"262"	"133"	"63"	"10"	"5"	"18"	"8"	"19"	"543"
"269"	"171"	""	""	""	"1307"	"20"	"6"	""	"1"	""	"58"	"23"	"582"	"25"	"9"	"9"	"2"	"15"	"730"
"270"	"172"	""	""	""	"1128"	"20"	"75"	""	"7"	""	"259"	"43"	"64"	"4"	"5"	"20"	"12"	"34"	"523"
"271"	"173"	""	""	""	"1139"	"20"	"16"	""	"2"	""	"38"	"25"	"353"	"24"	"12"	"8"	"11"	"28"	"517"
"272"	"174"	""	""	""	"1021"	"20"	"10"	""	"11"	""	"305"	"57"	"21"	"4"	"6"	"22"	"12"	"19"	"467"
"273"	"174"	""	""	"A"	"469"	"20"	"4"	""	"0"	""	"32"	"40"	"52"	"4"	"3"	"3"	"3"	"6"	"147"
"274"	"175"	""	""	""	"1215"	"20"	"59"	""	"6"	""	"68"	"101"	"200"	"21"	"10"	"10"	"14"	"24"	"513"
"275"	"176"	""	""	""	"1138"	"20"	"10"	""	"3"	""	"224"	"15"	"136"	"10"	"5"	"12"	"2"	"10"	"427"
"276"	"177"	""	""	""	"1163"	"21"	"29"	""	"4"	""	"52"	"18"	"447"	"17"	"6"	"13"	"8"	"24"	"618"
"277"	"178"	""	""	""	"752"	"21"	"3"	""	"0"	""	"216"	"42"	"42"	"4"	"1"	"4"	"8"	"7"	"327"
"278"	"178"	""	""	"A"	"678"	"21"	"4"	""	"1"	""	"89"	"29"	"87"	"4"	"0"	"2"	"1"	"3"	"220"
"279"	"179"	""	""	""	"1237"	"21"	"16"	""	"0"	""	"104"	"173"	"145"	"15"	"6"	"8"	"12"	"22"	"501"
"280"	"180"	""	""	""	"641"	"21"	"11"	""	"5"	""	"133"	"47"	"44"	"4"	"4"	"7"	"4"	"7"	"266"
"281"	"181"	""	""	""	"980"	"21"	"7"	""	"4"	""	"36"	"7"	"438"	"12"	"2"	"3"	"2"	"14"	"525"
"282"	"182"	""	""	""	"639"	"21"	"5"	""	"0"	""	"35"	"8"	"296"	"12"	"4"	"3"	"2"	"15"	"380"
"283"	"183"	""	""	""	"770"	"21"	"12"	""	"1"	""	"175"	"32"	"137"	"9"	"5"	"6"	"4"	"11"	"392"
"284"	"183"	""	""	"A"	"779"	"21"	"15"	""	"5"	""	"108"	"150"	"52"	"13"	"15"	"10"	"7"	"6"	"381"
"285"	"184"	""	""	""	"1034"	"21"	"6"	""	"2"	""	"252"	"50"	"35"	"4"	"1"	"9"	"6"	"7"	"372"
"286"	"184"	""	""	"A"	"499"	"22"	"3"	""	"2"	""	"23"	"53"	"130"	"6"	"3"	"5"	"2"	"4"	"231"
"287"	"185"	""	""	""	"1123"	"22"	"17"	""	"7"	""	"166"	"72"	"172"	"9"	"5"	"15"	"9"	"20"	"492"
"288"	"186"	""	""	""	"1026"	"22"	"24"	""	"5"	""	"110"	"237"	"21"	"9"	"5"	"14"	"16"	"33"	"474"
"289"	"187"	""	""	""	"1265"	"22"	"14"	""	"5"	""	"133"	"283"	"47"	"3"	"10"	"8"	"8"	"20"	"531"
"290"	"188"	""	""	""	"1010"	"22"	"13"	""	"5"	""	"39"	"397"	"8"	"2"	"0"	"1"	"2"	"1"	"468"
"291"	"189"	""	""	""	"1217"	"22"	"16"	""	"8"	""	"160"	"198"	"20"	"8"	"2"	"6"	"9"	"8"	"435"
"292"	"190"	""	""	""	"598"	"22"	"0"	""	"0"	""	"32"	"113"	"18"	"2"	"3"	"0"	"1"	"3"	"172"
"293"	"191"	""	""	""	"1197"	"22"	"14"	""	"1"	""	"285"	"159"	"56"	"5"	"4"	"18"	"9"	"31"	"582"
"294"	"Total"	""	""	""	""	""	"3901"	""	"926"	""	"44714"	"28706"	"22235"	"1604"	"1020"	"2026"	"2205"	"2848"	"110185"
