"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 165-KHAGARIA ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment: 211740"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 165-KHAGARIA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"212"	"120A"	"112"	"83"	"8"	"0"	"5"	"1"	"34"	"10"	"253"	""	"253"	""
"213"	"121"	"148"	"84"	"120"	"10"	"5"	"4"	"116"	"10"	"497"	""	"497"	""
"214"	"122"	"44"	"169"	"21"	"0"	"6"	"4"	"78"	"14"	"336"	""	"336"	""
"215"	"123"	"35"	"102"	"31"	"3"	"5"	"6"	"102"	"7"	"291"	""	"291"	""
"216"	"124"	"107"	"61"	"19"	"2"	"8"	"7"	"26"	"206"	"436"	""	"436"	""
"217"	"125"	"302"	"33"	"15"	"5"	"1"	"2"	"30"	"183"	"571"	""	"571"	""
"218"	"126"	"220"	"38"	"20"	"4"	"5"	"8"	"50"	"214"	"559"	""	"559"	""
"219"	"127"	"153"	"8"	"22"	"7"	"2"	"2"	"7"	"51"	"252"	""	"252"	""
"220"	"128"	"76"	"322"	"55"	"3"	"2"	"4"	"6"	"18"	"486"	""	"486"	""
"221"	"129"	"3"	"497"	"6"	"0"	"0"	"1"	"0"	"1"	"508"	""	"508"	""
"222"	"130"	"209"	"48"	"18"	"4"	"8"	"7"	"8"	"31"	"333"	""	"333"	""
"223"	"131"	"244"	"77"	"121"	"11"	"8"	"8"	"27"	"113"	"609"	""	"609"	""
"224"	"132"	"200"	"105"	"55"	"10"	"3"	"12"	"8"	"66"	"459"	""	"459"	""
"225"	"133"	"379"	"67"	"8"	"3"	"4"	"7"	"3"	"52"	"523"	""	"523"	""
"226"	"Round-11
Total"	"2232"	"1694"	"519"	"62"	"62"	"73"	"495"	"976"	"6113"	"0"	"6113"	"0"
"227"	"Cumm. Total"	"19424"	"24420"	"7372"	"727"	"1128"	"1099"	"6294"	"6571"	"67035"	"0"	"67035"	"0"
"228"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"229"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"231"	"B/F"	"19424"	"24420"	"7372"	"727"	"1128"	"1099"	"6294"	"6571"	"67035"	"0"	"67035"	"0"
"232"	"134"	"406"	"150"	"25"	"3"	"10"	"10"	"4"	"9"	"617"	""	"617"	""
"233"	"135"	"256"	"144"	"7"	"2"	"4"	"3"	"4"	"18"	"438"	""	"438"	""
"234"	"135A"	"25"	"251"	"27"	"3"	"1"	"4"	"9"	"16"	"336"	""	"336"	""
"235"	"136"	"67"	"362"	"123"	"11"	"19"	"10"	"17"	"48"	"657"	""	"657"	""
"236"	"137"	"6"	"11"	"335"	"11"	"3"	"8"	"12"	"19"	"405"	""	"405"	""
"237"	"137A"	"135"	"132"	"77"	"8"	"5"	"7"	"3"	"10"	"377"	""	"377"	""
"238"	"138"	"286"	"373"	"45"	"3"	"12"	"22"	"8"	"30"	"779"	""	"779"	""
"239"	"139"	"97"	"104"	"3"	"3"	"21"	"9"	"8"	"14"	"259"	""	"259"	""
"240"	"140"	"48"	"305"	"189"	"13"	"6"	"9"	"18"	"30"	"618"	""	"618"	""
"241"	"141"	"19"	"118"	"51"	"3"	"1"	"2"	"4"	"11"	"209"	""	"209"	""
"242"	"141A"	"41"	"357"	"42"	"5"	"6"	"18"	"16"	"25"	"510"	""	"510"	""
"243"	"142"	"124"	"142"	"36"	"5"	"3"	"12"	"1"	"23"	"346"	""	"346"	""
"244"	"143"	"72"	"176"	"83"	"8"	"12"	"10"	"14"	"40"	"415"	""	"415"	""
"245"	"144"	"75"	"407"	"87"	"12"	"9"	"11"	"25"	"42"	"668"	""	"668"	""
"246"	"Round-12
Total"	"1657"	"3032"	"1130"	"90"	"112"	"135"	"143"	"335"	"6634"	"0"	"6634"	"0"
"247"	"Cumm. Total"	"21081"	"27452"	"8502"	"817"	"1240"	"1234"	"6437"	"6906"	"73669"	"0"	"73669"	"0"
"248"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"249"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"250"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"251"	"B/F"	"21081"	"27452"	"8502"	"817"	"1240"	"1234"	"6437"	"6906"	"73669"	"0"	"73669"	"0"
"252"	"145"	"265"	"329"	"29"	"1"	"9"	"9"	"7"	"18"	"667"	""	"667"	""
"253"	"146"	"285"	"236"	"7"	"4"	"29"	"9"	"3"	"12"	"585"	""	"585"	""
"254"	"147"	"81"	"323"	"23"	"4"	"41"	"13"	"5"	"15"	"505"	""	"505"	""
"255"	"148"	"107"	"431"	"14"	"7"	"58"	"26"	"22"	"20"	"685"	""	"685"	""
"256"	"149"	"125"	"267"	"10"	"7"	"140"	"13"	"14"	"22"	"598"	""	"598"	""
"257"	"150"	"31"	"340"	"11"	"2"	"35"	"10"	"17"	"5"	"451"	""	"451"	""
"258"	"151"	"76"	"232"	"32"	"4"	"3"	"4"	"46"	"43"	"440"	""	"440"	""
"259"	"152"	"36"	"199"	"9"	"2"	"0"	"9"	"54"	"170"	"479"	""	"479"	""
"260"	"153"	"162"	"34"	"111"	"5"	"9"	"3"	"6"	"24"	"354"	""	"354"	""
"261"	"153A"	"69"	"98"	"49"	"5"	"4"	"3"	"46"	"45"	"319"	""	"319"	""
"262"	"154"	"22"	"14"	"67"	"5"	"5"	"2"	"11"	"20"	"146"	""	"146"	""
"263"	"155"	"34"	"106"	"21"	"2"	"1"	"6"	"142"	"101"	"413"	""	"413"	""
"264"	"155A"	"30"	"70"	"10"	"4"	"1"	"0"	"36"	"22"	"173"	""	"173"	""
"265"	"156"	"383"	"166"	"83"	"10"	"16"	"18"	"8"	"22"	"706"	""	"706"	""
"266"	"Round-13
Total"	"1706"	"2845"	"476"	"62"	"351"	"125"	"417"	"539"	"6521"	"0"	"6521"	"0"
"267"	"Cumm. Total"	"22787"	"30297"	"8978"	"879"	"1591"	"1359"	"6854"	"7445"	"80190"	"0"	"80190"	"0"
"268"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"269"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"270"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"271"	"B/F"	"22787"	"30297"	"8978"	"879"	"1591"	"1359"	"6854"	"7445"	"80190"	"0"	"80190"	"0"
"272"	"157"	"291"	"99"	"2"	"4"	"14"	"7"	"9"	"42"	"468"	""	"468"	""
"273"	"157A"	"152"	"96"	"7"	"0"	"9"	"6"	"6"	"14"	"290"	""	"290"	""
"274"	"158"	"36"	"286"	"17"	"8"	"5"	"13"	"16"	"11"	"392"	""	"392"	""
"275"	"159"	"78"	"366"	"27"	"9"	"9"	"21"	"29"	"21"	"560"	""	"560"	""
"276"	"160"	"11"	"175"	"66"	"2"	"3"	"5"	"7"	"4"	"273"	""	"273"	""
"277"	"161"	"39"	"142"	"106"	"17"	"13"	"14"	"27"	"70"	"428"	""	"428"	""
"278"	"162"	"190"	"275"	"33"	"3"	"3"	"2"	"8"	"18"	"532"	""	"532"	""
"279"	"163"	"357"	"55"	"45"	"2"	"6"	"4"	"37"	"28"	"534"	""	"534"	""
"280"	"164"	"199"	"55"	"54"	"15"	"8"	"12"	"37"	"15"	"395"	""	"395"	""
"281"	"165"	"314"	"129"	"10"	"4"	"25"	"11"	"15"	"18"	"526"	""	"526"	""
"282"	"166"	"84"	"86"	"50"	"1"	"2"	"5"	"4"	"68"	"300"	""	"300"	""
"283"	"166A"	"30"	"58"	"28"	"3"	"3"	"5"	"25"	"132"	"284"	""	"284"	""
"284"	"167"	"196"	"57"	"3"	"4"	"16"	"5"	"12"	"46"	"339"	""	"339"	""
"285"	"167A"	"96"	"151"	"14"	"1"	"1"	"2"	"13"	"110"	"388"	""	"388"	""
"286"	"Round-14
Total"	"2073"	"2030"	"462"	"73"	"117"	"112"	"245"	"597"	"5709"	"0"	"5709"	"0"
"287"	"Cumm. Total"	"24860"	"32327"	"9440"	"952"	"1708"	"1471"	"7099"	"8042"	"85899"	"0"	"85899"	"0"
"288"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"289"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"290"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"291"	"B/F"	"24860"	"32327"	"9440"	"952"	"1708"	"1471"	"7099"	"8042"	"85899"	"0"	"85899"	"0"
"292"	"168"	"61"	"119"	"254"	"14"	"18"	"21"	"25"	"43"	"555"	""	"555"	""
"293"	"169"	"127"	"165"	"6"	"3"	"2"	"4"	"8"	"51"	"366"	""	"366"	""
"294"	"170"	"294"	"208"	"36"	"9"	"10"	"16"	"102"	"74"	"749"	""	"749"	""
"295"	"171"	"114"	"380"	"28"	"2"	"10"	"27"	"32"	"124"	"717"	""	"717"	""
"296"	"172"	"57"	"248"	"14"	"6"	"6"	"16"	"56"	"81"	"484"	""	"484"	""
"297"	"173"	"84"	"132"	"6"	"1"	"2"	"1"	"61"	"10"	"297"	""	"297"	""
"298"	"173A"	"63"	"219"	"16"	"2"	"5"	"7"	"25"	"35"	"372"	""	"372"	""
"299"	"174"	"29"	"304"	"8"	"3"	"13"	"14"	"34"	"8"	"413"	""	"413"	""
"300"	"175"	"4"	"352"	"4"	"0"	"4"	"4"	"4"	"1"	"373"	""	"373"	""
"301"	"176"	"72"	"140"	"223"	"21"	"8"	"26"	"22"	"30"	"542"	""	"542"	""
"302"	"177"	"110"	"291"	"30"	"8"	"6"	"17"	"25"	"192"	"679"	""	"679"	""
"303"	"178"	"79"	"168"	"20"	"9"	"61"	"20"	"35"	"262"	"654"	""	"654"	""
"304"	"179"	"93"	"183"	"54"	"6"	"17"	"6"	"32"	"100"	"491"	""	"491"	""
"305"	"180"	"131"	"152"	"34"	"6"	"3"	"7"	"110"	"67"	"510"	""	"510"	""
"306"	"Round-15
Total"	"1318"	"3061"	"733"	"90"	"165"	"186"	"571"	"1078"	"7202"	"0"	"7202"	"0"
"307"	"Cumm. Total"	"26178"	"35388"	"10173"	"1042"	"1873"	"1657"	"7670"	"9120"	"93101"	"0"	"93101"	"0"
"308"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"309"	""	"GITA YADAV (CPM)"	"POONAM DEVI (YADAV) (JD(U))"	"SATYADEO SINGH (LJP)"	"BARSHA RANI
(SJP ( R ) )"	"DR. BIBHUTI YADAV   (SP)"	"SATYENDRA KUMAR (ABDBM)"	"CHANDRAMUKHI DEVI
(IND)"	"DHARMENDRA KUMAR
(IND)"	""	""	""	""
"310"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"311"	"B/F"	"26178"	"35388"	"10173"	"1042"	"1873"	"1657"	"7670"	"9120"	"93101"	"0"	"93101"	"0"
"312"	"181"	"105"	"253"	"86"	"12"	"16"	"14"	"34"	"44"	"564"	""	"564"	""
"313"	"182"	"22"	"193"	"8"	"4"	"1"	"8"	"14"	"76"	"326"	""	"326"	""
"314"	"183"	"25"	"358"	"19"	"3"	"3"	"9"	"83"	"17"	"517"	""	"517"	""
"315"	"184"	"19"	"395"	"16"	"4"	"1"	"10"	"26"	"41"	"512"	""	"512"	""
"316"	"185"	"22"	"225"	"6"	"4"	"0"	"7"	"9"	"69"	"342"	""	"342"	""
"317"	"186"	"57"	"253"	"10"	"1"	"2"	"4"	"7"	"46"	"380"	""	"380"	""
"318"	"187"	"106"	"137"	"87"	"14"	"6"	"11"	"21"	"63"	"445"	""	"445"	""
"319"	"188"	"103"	"228"	"25"	"6"	"20"	"13"	"109"	"67"	"571"	""	"571"	""
"320"	"189"	"66"	"254"	"59"	"15"	"9"	"19"	"215"	"91"	"728"	""	"728"	""
"321"	"190"	"136"	"215"	"13"	"3"	"8"	"17"	"26"	"142"	"560"	""	"560"	""
"322"	"Round-16
Total"	"661"	"2511"	"329"	"66"	"66"	"112"	"544"	"656"	"4945"	"0"	"4945"	"0"
"323"	"Grand Total"	"26839"	"37899"	"10502"	"1108"	"1939"	"1769"	"8214"	"9776"	"98046"	"0"	"98046"	"0"
