"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"201"	"171"	"256"	"114"	"168"	"6"	"32"	"2"	"1"	"23"	"2"	"10"	"16"	"630"	"0"	"630"	""	""
"202"	"172"	"111"	"184"	"135"	"4"	"151"	"5"	"2"	"53"	"5"	"11"	"8"	"669"	"0"	"669"	""	""
"203"	"173"	"100"	"85"	"62"	"9"	"197"	"13"	"6"	"8"	"7"	"7"	"9"	"503"	"0"	"503"	""	""
"204"	"174"	"195"	"69"	"50"	"7"	"310"	"15"	"10"	"14"	"14"	"6"	"16"	"706"	"0"	"706"	""	""
"205"	"175"	"95"	"260"	"72"	"8"	"219"	"7"	"6"	"28"	"9"	"8"	"6"	"718"	"0"	"718"	""	""
"206"	"176"	"19"	"61"	"94"	"5"	"68"	"3"	"2"	"1"	"5"	"2"	"2"	"262"	"0"	"262"	""	""
"207"	"176 A"	"79"	"131"	"159"	"9"	"158"	"6"	"4"	"3"	"4"	"6"	"9"	"568"	"0"	"568"	""	""
"208"	"177"	"37"	"79"	"345"	"6"	"67"	"1"	"0"	"13"	"4"	"6"	"2"	"560"	"0"	"560"	""	""
"209"	"178"	"23"	"39"	"452"	"5"	"18"	"1"	"1"	"3"	"2"	"0"	"7"	"551"	"0"	"551"	""	""
"210"	"179"	"50"	"287"	"45"	"3"	"115"	"11"	"0"	"11"	"8"	"4"	"12"	"546"	"0"	"546"	""	""
"211"	"180"	"89"	"262"	"16"	"3"	"51"	"5"	"4"	"30"	"2"	"3"	"6"	"471"	"0"	"471"	""	""
"212"	"181"	"111"	"100"	"16"	"0"	"151"	"6"	"1"	"15"	"3"	"2"	"3"	"408"	"0"	"408"	""	""
"213"	"182"	"135"	"27"	"63"	"4"	"78"	"0"	"0"	"7"	"16"	"3"	"5"	"338"	"0"	"338"	""	""
"214"	"183"	"241"	"58"	"60"	"1"	"43"	"2"	"0"	"2"	"40"	"4"	"8"	"459"	"0"	"459"	""	""
"215"	"184"	"186"	"124"	"157"	"10"	"45"	"4"	"2"	"10"	"11"	"8"	"6"	"563"	"0"	"563"	""	""
"216"	"185"	"274"	"240"	"40"	"4"	"29"	"2"	"2"	"15"	"4"	"6"	"13"	"629"	"0"	"629"	""	""
"217"	"186"	"250"	"15"	"13"	"1"	"152"	"4"	"0"	"0"	"5"	"1"	"14"	"455"	"0"	"455"	""	""
"218"	"187"	"188"	"17"	"37"	"7"	"10"	"3"	"2"	"31"	"10"	"6"	"28"	"339"	"0"	"339"	""	""
"219"	"187 A"	"22"	"32"	"9"	"0"	"193"	"0"	"1"	"79"	"2"	"3"	"1"	"342"	"0"	"342"	""	""
"220"	"188"	"151"	"65"	"48"	"4"	"83"	"4"	"0"	"10"	"4"	"4"	"9"	"382"	"0"	"382"	""	""
"221"	"189"	"154"	"135"	"177"	"8"	"27"	"4"	"1"	"58"	"5"	"15"	"10"	"594"	"0"	"594"	""	""
"222"	"190"	"185"	"121"	"29"	"6"	"213"	"4"	"1"	"22"	"1"	"2"	"4"	"588"	"0"	"588"	""	""
"223"	"191"	"230"	"40"	"20"	"5"	"47"	"1"	"2"	"2"	"2"	"3"	"17"	"369"	"0"	"369"	""	""
"224"	"191 A"	"222"	"41"	"12"	"6"	"29"	"5"	"2"	"5"	"4"	"5"	"9"	"340"	"0"	"340"	""	""
"225"	"192"	"209"	"31"	"14"	"3"	"77"	"0"	"5"	"21"	"1"	"1"	"10"	"372"	"0"	"372"	""	""
"226"	"193"	"6"	"41"	"99"	"0"	"49"	"0"	"1"	"4"	"2"	"0"	"0"	"202"	"0"	"202"	""	""
"227"	"194"	"278"	"333"	"10"	"5"	"11"	"1"	"3"	"9"	"3"	"5"	"48"	"706"	"0"	"706"	""	""
"228"	"195"	"193"	"42"	"79"	"5"	"87"	"6"	"1"	"3"	"6"	"6"	"9"	"437"	"0"	"437"	""	""
"229"	"196"	"269"	"57"	"125"	"2"	"31"	"1"	"0"	"0"	"0"	"4"	"1"	"490"	"0"	"490"	""	""
"230"	"197"	"3"	"13"	"215"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"234"	"0"	"234"	""	""
"231"	"197 A"	"17"	"38"	"178"	"5"	"6"	"1"	"0"	"1"	"2"	"2"	"1"	"251"	"0"	"251"	""	""
"232"	"198"	"93"	"126"	"90"	"8"	"17"	"1"	"1"	"2"	"2"	"3"	"13"	"356"	"0"	"356"	""	""
"233"	"199"	"171"	"59"	"9"	"7"	"139"	"0"	"0"	"8"	"0"	"1"	"7"	"401"	"0"	"401"	""	""
"234"	"200"	"177"	"189"	"14"	"11"	"40"	"4"	"1"	"24"	"0"	"2"	"9"	"471"	"0"	"471"	""	""
"235"	"201"	"47"	"37"	"8"	"2"	"176"	"6"	"5"	"5"	"3"	"2"	"7"	"298"	"0"	"298"	""	""
"236"	"201 A"	"111"	"51"	"16"	"4"	"139"	"2"	"1"	"3"	"0"	"2"	"8"	"337"	"0"	"337"	""	""
"237"	"202"	"229"	"62"	"37"	"5"	"102"	"5"	"2"	"1"	"2"	"3"	"7"	"455"	"0"	"455"	""	""
"238"	"203"	"266"	"183"	"51"	"3"	"18"	"2"	"3"	"8"	"4"	"5"	"16"	"559"	"0"	"559"	""	""
"239"	"204"	"232"	"48"	"34"	"7"	"88"	"4"	"2"	"4"	"3"	"7"	"15"	"444"	"0"	"444"	""	""
"240"	"205"	"142"	"99"	"100"	"20"	"75"	"5"	"3"	"23"	"10"	"5"	"8"	"490"	"0"	"490"	""	""
"241"	"206"	"75"	"78"	"23"	"6"	"190"	"6"	"7"	"17"	"7"	"5"	"9"	"423"	"0"	"423"	""	""
"242"	"Total no of votes recorded at polling stations."	"36721"	"20207"	"12683"	"1845"	"23174"	"701"	"511"	"3692"	"1979"	"862"	"1880"	"104255"	"0"	"104255"	""	""
"243"	"No of votes recorded on Postal Ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""
"244"	"Total Votes polled"	"36721"	"20207"	"12683"	"1845"	"23174"	"701"	"511"	"3692"	"1979"	"862"	"1880"	"104255"	"0"	"104255"	""	""
"245"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"207 - Karakat A C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
