"Election.to.the..Bihar.Legislative..Assembly..From.95.SAMASTIPUR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"263"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"264"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"265"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"266"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"268"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"269"	"B.F."	"13396"	"1619"	"17352"	"28277"	"889"	"871"	"1445"	"63849"	"0"	"63849"	"0"
"270"	"137"	"21"	"15"	"74"	"411"	"5"	"9"	"9"	"544"	""	"544"	""
"271"	"138"	"32"	"49"	"122"	"490"	"6"	"10"	"11"	"720"	""	"720"	""
"272"	"139"	"71"	"2"	"6"	"185"	"1"	"0"	"5"	"270"	""	"270"	""
"273"	"139A"	"23"	"9"	"116"	"266"	"2"	"4"	"4"	"424"	""	"424"	""
"274"	"140"	"28"	"13"	"147"	"211"	"7"	"3"	"1"	"410"	""	"410"	""
"275"	"141"	"9"	"1"	"50"	"382"	"28"	"1"	"0"	"471"	""	"471"	""
"276"	"142"	"23"	"7"	"135"	"230"	"2"	"6"	"8"	"411"	""	"411"	""
"277"	"143"	"14"	"3"	"47"	"316"	"7"	"7"	"30"	"424"	""	"424"	""
"278"	"144"	"110"	"10"	"133"	"250"	"7"	"7"	"10"	"527"	""	"527"	""
"279"	"145"	"56"	"1"	"24"	"263"	"4"	"0"	"4"	"352"	""	"352"	""
"280"	"146"	"80"	"21"	"251"	"161"	"9"	"9"	"18"	"549"	""	"549"	""
"281"	"147"	"50"	"5"	"73"	"215"	"4"	"3"	"12"	"362"	""	"362"	""
"282"	"148"	"78"	"18"	"45"	"486"	"8"	"13"	"10"	"658"	""	"658"	""
"283"	"149"	"112"	"14"	"33"	"377"	"11"	"14"	"35"	"596"	""	"596"	""
"284"	"Page Total"	"14103"	"1787"	"18608"	"32520"	"990"	"957"	"1602"	"70567"	"0"	"70567"	"0"
"285"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"286"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"287"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"288"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"289"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"290"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"291"	"B.F."	"14103"	"1787"	"18608"	"32520"	"990"	"957"	"1602"	"70567"	"0"	"70567"	"0"
"292"	"150"	"61"	"5"	"5"	"353"	"9"	"11"	"22"	"466"	""	"466"	""
"293"	"151"	"146"	"20"	"233"	"117"	"4"	"13"	"19"	"552"	""	"552"	""
"294"	"152"	"26"	"41"	"23"	"146"	"8"	"2"	"7"	"253"	""	"253"	""
"295"	"152A"	"79"	"11"	"30"	"234"	"3"	"3"	"2"	"362"	""	"362"	""
"296"	"153"	"112"	"25"	"280"	"88"	"7"	"10"	"17"	"539"	""	"539"	""
"297"	"154"	"9"	"0"	"46"	"241"	"1"	"3"	"2"	"302"	""	"302"	""
"298"	"155"	"27"	"4"	"42"	"384"	"10"	"8"	"9"	"484"	""	"484"	""
"299"	"156"	"30"	"3"	"19"	"583"	"8"	"4"	"11"	"658"	""	"658"	""
"300"	"157"	"29"	"2"	"79"	"225"	"3"	"3"	"2"	"343"	""	"343"	""
"301"	"158"	"104"	"9"	"264"	"141"	"8"	"4"	"17"	"547"	""	"547"	""
"302"	"159"	"59"	"7"	"166"	"159"	"3"	"2"	"5"	"401"	""	"401"	""
"303"	"160"	"255"	"10"	"143"	"141"	"7"	"10"	"10"	"576"	""	"576"	""
"304"	"161"	"95"	"3"	"60"	"64"	"5"	"4"	"4"	"235"	""	"235"	""
"305"	"162"	"46"	"4"	"225"	"240"	"4"	"5"	"2"	"526"	""	"526"	""
"306"	"Page Total"	"15181"	"1931"	"20223"	"35636"	"1070"	"1039"	"1731"	"76811"	"0"	"76811"	"0"
"307"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"308"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"309"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"310"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"311"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"312"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"313"	"B.F."	"15181"	"1931"	"20223"	"35636"	"1070"	"1039"	"1731"	"76811"	"0"	"76811"	"0"
"314"	"163"	"104"	"13"	"379"	"50"	"10"	"7"	"10"	"573"	""	"573"	""
"315"	"164"	"98"	"3"	"145"	"63"	"9"	"7"	"15"	"340"	""	"340"	""
"316"	"164A"	"44"	"7"	"225"	"26"	"10"	"11"	"23"	"346"	""	"346"	""
"317"	"165"	"42"	"6"	"309"	"109"	"9"	"8"	"13"	"496"	""	"496"	""
"318"	"166"	"96"	"6"	"191"	"40"	"5"	"4"	"17"	"359"	""	"359"	""
"319"	"167"	"20"	"12"	"325"	"73"	"9"	"10"	"10"	"459"	""	"459"	""
"320"	"168"	"246"	"5"	"14"	"179"	"1"	"9"	"8"	"462"	""	"462"	""
"321"	"169"	"29"	"3"	"59"	"172"	"5"	"7"	"3"	"278"	""	"278"	""
"322"	"170"	"121"	"9"	"20"	"192"	"3"	"5"	"13"	"363"	""	"363"	""
"323"	"171"	"262"	"8"	"91"	"222"	"11"	"10"	"22"	"626"	""	"626"	""
"324"	"172"	"15"	"2"	"231"	"73"	"0"	"2"	"7"	"330"	""	"330"	""
"325"	"173"	"40"	"16"	"160"	"147"	"9"	"9"	"22"	"403"	""	"403"	""
"326"	"174"	"21"	"8"	"115"	"368"	"6"	"2"	"6"	"526"	""	"526"	""
"327"	"175"	"43"	"3"	"20"	"157"	"8"	"3"	"1"	"235"	""	"235"	""
"328"	"Page Total"	"16362"	"2032"	"22507"	"37507"	"1165"	"1133"	"1901"	"82607"	"0"	"82607"	"0"
"329"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"330"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"331"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"332"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"333"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"334"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"335"	"B.F."	"16362"	"2032"	"22507"	"37507"	"1165"	"1133"	"1901"	"82607"	"0"	"82607"	"0"
"336"	"176"	"164"	"21"	"238"	"132"	"9"	"11"	"29"	"604"	""	"604"	""
"337"	"177"	"8"	"0"	"106"	"51"	"3"	"2"	"0"	"170"	""	"170"	""
"338"	"177A"	"27"	"2"	"67"	"165"	"7"	"1"	"0"	"269"	""	"269"	""
"339"	"178"	"72"	"9"	"186"	"57"	"2"	"2"	"5"	"333"	""	"333"	""
"340"	"178A"	"68"	"11"	"179"	"76"	"5"	"7"	"11"	"357"	""	"357"	""
"341"	"179"	"106"	"10"	"112"	"109"	"5"	"10"	"23"	"375"	""	"375"	""
"342"	"180"	"7"	"4"	"180"	"163"	"7"	"0"	"3"	"364"	""	"364"	""
"343"	"181"	"14"	"5"	"323"	"22"	"10"	"6"	"17"	"397"	""	"397"	""
"344"	"182"	"17"	"7"	"72"	"312"	"6"	"5"	"4"	"423"	""	"423"	""
"345"	"183"	"112"	"12"	"223"	"130"	"9"	"7"	"11"	"504"	""	"504"	""
"346"	"184"	"114"	"12"	"237"	"215"	"6"	"7"	"2"	"593"	""	"593"	""
"347"	"185"	"73"	"18"	"238"	"296"	"13"	"10"	"12"	"660"	""	"660"	""
"348"	"186"	"46"	"15"	"342"	"160"	"9"	"12"	"16"	"600"	""	"600"	""
"349"	"187"	"213"	"10"	"212"	"97"	"8"	"15"	"16"	"571"	""	"571"	""
"350"	"Page Total"	"17403"	"2168"	"25222"	"39492"	"1264"	"1228"	"2050"	"88827"	"0"	"88827"	"0"
"351"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"352"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"353"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"354"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"355"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"356"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"357"	"B.F."	"17403"	"2168"	"25222"	"39492"	"1264"	"1228"	"2050"	"88827"	"0"	"88827"	"0"
"358"	"188"	"41"	"7"	"303"	"50"	"4"	"5"	"11"	"421"	""	"421"	""
"359"	"189"	"172"	"14"	"88"	"252"	"7"	"17"	"20"	"570"	""	"570"	""
"360"	"190"	"42"	"10"	"165"	"117"	"3"	"3"	"5"	"345"	""	"345"	""
"361"	"191"	"105"	"11"	"134"	"270"	"7"	"9"	"15"	"551"	""	"551"	""
"362"	"192"	"32"	"4"	"36"	"438"	"3"	"7"	"3"	"523"	""	"523"	""
"363"	"193"	"294"	"11"	"132"	"77"	"6"	"13"	"16"	"549"	""	"549"	""
"364"	"194"	"143"	"8"	"147"	"96"	"8"	"5"	"16"	"423"	""	"423"	""
"365"	"195"	"76"	"15"	"149"	"234"	"15"	"7"	"1"	"497"	""	"497"	""
"366"	"196"	"27"	"29"	"144"	"211"	"3"	"6"	"8"	"428"	""	"428"	""
"367"	"197"	"154"	"38"	"87"	"114"	"8"	"7"	"13"	"421"	""	"421"	""
"368"	"197A"	"28"	"30"	"268"	"46"	"9"	"7"	"5"	"393"	""	"393"	""
"369"	"198"	"101"	"29"	"409"	"72"	"8"	"10"	"9"	"638"	""	"638"	""
"370"	"199"	"34"	"23"	"516"	"91"	"7"	"4"	"4"	"679"	""	"679"	""
"371"	"200"	"50"	"10"	"303"	"178"	"3"	"7"	"13"	"564"	""	"564"	""
"372"	"Page Total"	"18702"	"2407"	"28103"	"41738"	"1355"	"1335"	"2189"	"95829"	"0"	"95829"	"0"
"373"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"374"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"375"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"376"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"377"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"378"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"379"	"B.F."	"18702"	"2407"	"28103"	"41738"	"1355"	"1335"	"2189"	"95829"	"0"	"95829"	"0"
"380"	"201"	"26"	"11"	"405"	"88"	"4"	"7"	"7"	"548"	""	"548"	""
"381"	"202"	"55"	"10"	"330"	"52"	"7"	"9"	"17"	"480"	""	"480"	""
"382"	"203"	"8"	"7"	"354"	"78"	"2"	"6"	"3"	"458"	""	"458"	""
"383"	"204"	"108"	"3"	"35"	"148"	"4"	"7"	"9"	"314"	""	"314"	""
"384"	"204A"	"96"	"6"	"40"	"218"	"3"	"2"	"5"	"370"	""	"370"	""
"385"	"205"	"48"	"7"	"140"	"90"	"2"	"6"	"8"	"301"	""	"301"	""
"386"	"205A"	"47"	"3"	"276"	"15"	"3"	"1"	"3"	"348"	""	"348"	""
"387"	"206"	"17"	"8"	"54"	"169"	"6"	"6"	"13"	"273"	""	"273"	""
"388"	"207"	"82"	"15"	"79"	"254"	"5"	"5"	"6"	"446"	""	"446"	""
"389"	"208"	"60"	"7"	"356"	"117"	"16"	"9"	"16"	"581"	""	"581"	""
"390"	"209"	"44"	"19"	"383"	"175"	"16"	"13"	"25"	"675"	""	"675"	""
"391"	"210"	"67"	"21"	"404"	"55"	"2"	"3"	"9"	"561"	""	"561"	""
"392"	"211"	"87"	"2"	"24"	"180"	"9"	"6"	"15"	"323"	""	"323"	""
"393"	"211A"	"135"	"8"	"151"	"77"	"4"	"7"	"5"	"387"	""	"387"	""
"394"	"Page Total"	"19582"	"2534"	"31134"	"43454"	"1438"	"1422"	"2330"	"101894"	"0"	"101894"	"0"
"395"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"396"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"397"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"398"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"399"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"400"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"401"	"B.F."	"19582"	"2534"	"31134"	"43454"	"1438"	"1422"	"2330"	"101894"	"0"	"101894"	"0"
"402"	"212"	"226"	"30"	"89"	"156"	"13"	"14"	"14"	"542"	""	"542"	""
"403"	"213"	"183"	"19"	"92"	"213"	"9"	"7"	"7"	"530"	""	"530"	""
"404"	"214"	"52"	"4"	"93"	"194"	"2"	"7"	"4"	"356"	""	"356"	""
"405"	"215"	"35"	"12"	"108"	"232"	"11"	"7"	"22"	"427"	""	"427"	""
"406"	"216"	"40"	"6"	"151"	"55"	"7"	"4"	"7"	"270"	""	"270"	""
"407"	"216A"	"84"	"4"	"156"	"96"	"2"	"5"	"17"	"364"	""	"364"	""
"408"	"217"	"112"	"16"	"182"	"275"	"8"	"4"	"10"	"607"	""	"607"	""
"409"	"218"	"48"	"15"	"34"	"115"	"2"	"8"	"7"	"229"	""	"229"	""
"410"	"219"	"14"	"5"	"69"	"435"	"10"	"6"	"32"	"571"	""	"571"	""
"411"	"220"	"55"	"40"	"197"	"216"	"12"	"18"	"21"	"559"	""	"559"	""
"412"	"221"	"154"	"18"	"64"	"59"	"4"	"9"	"5"	"313"	""	"313"	""
"413"	"222"	"92"	"24"	"239"	"84"	"8"	"7"	"14"	"468"	""	"468"	""
"414"	"223"	"11"	"1"	"6"	"277"	"4"	"3"	"7"	"309"	""	"309"	""
"415"	"224"	"179"	"13"	"171"	"102"	"5"	"14"	"12"	"496"	""	"496"	""
"416"	"Page Total"	"20867"	"2741"	"32785"	"45963"	"1535"	"1535"	"2509"	"107935"	"0"	"107935"	"0"
"417"	"Election to the  Bihar Legislative  Assembly  From 95 SAMASTIPUR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""
"418"	"PART I"	""	""	""	""	""	""	""	""	""	""	""
"419"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"420"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"421"	"Serial No.of Polling Station*"	"Ashok Singh"	"Umesh Kumar"	"Nizam Ahmad"	"Ramnath Thakur"	"Suman Kumar Mallik"	"Md. Ilias"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"422"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"423"	"Total No of votes recorded at Polling Stations"	"20867"	"2741"	"32785"	"45963"	"1535"	"1535"	"2509"	"107935"	"0"	"107935"	"0"
"424"	"No. of Votes recorded on Postal
ballot Papers"	"0"	"0"	"2"	"6"	"0"	""	"0"	"8"	"4"	"12"	"0"
"425"	"Total Votes Polled"	"20867"	"2741"	"32787"	"45969"	"1535"	"1535"	"2509"	"107943"	"4"	"107947"	"0"
"426"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR"	""	""	""	""	""	""	""	""	""	""	""
"427"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"428"	"95-Samastipur"	""	""	""	""	""	""	""	""	""	""	""
"429"	"Date:- 22nd Nov 2005                                                                                                                                  Samastipur"	""	""	""	""	""	""	""	""	""	""	""
