"Total.No..of.Electors.in.Assembly.Constituency...249962"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"236"	"137"	"16"	"81"	"251"	"48"	"4"	"12"	"13"	"425"	"0"	"425"	"0"	""
"237"	"138"	"26"	"378"	"66"	"19"	"5"	"7"	"6"	"507"	"0"	"507"	"0"	""
"238"	"139"	"16"	"302"	"41"	"118"	"13"	"10"	"18"	"518"	"0"	"518"	"0"	""
"239"	"140"	"17"	"85"	"287"	"50"	"8"	"6"	"14"	"467"	"0"	"467"	"0"	""
"240"	"141"	"79"	"230"	"94"	"105"	"8"	"12"	"14"	"542"	"0"	"542"	"0"	""
"241"	"Total"	"515"	"2230"	"3008"	"489"	"109"	"108"	"118"	"6577"	"0"	"6577"	"0"	""
"242"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"247"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"249"	"142"	"19"	"291"	"53"	"13"	"5"	"8"	"19"	"408"	"0"	"408"	"0"	""
"250"	"143"	"13"	"53"	"285"	"23"	"7"	"5"	"2"	"388"	"0"	"388"	"0"	""
"251"	"144"	"37"	"28"	"96"	"273"	"14"	"6"	"5"	"459"	"0"	"459"	"0"	""
"252"	"145"	"16"	"315"	"97"	"23"	"1"	"4"	"2"	"458"	"0"	"458"	"0"	""
"253"	"146"	"17"	"389"	"32"	"54"	"5"	"4"	"9"	"510"	"0"	"510"	"0"	""
"254"	"147"	"24"	"343"	"61"	"42"	"5"	"4"	"3"	"482"	"0"	"482"	"0"	""
"255"	"148"	"19"	"473"	"43"	"17"	"6"	"5"	"2"	"565"	"0"	"565"	"0"	""
"256"	"149"	"12"	"119"	"100"	"10"	"14"	"11"	"11"	"277"	"0"	"277"	"0"	""
"257"	"149A"	"15"	"24"	"109"	"8"	"15"	"3"	"1"	"175"	"0"	"175"	"0"	""
"258"	"150"	"30"	"31"	"331"	"36"	"33"	"13"	"15"	"489"	"0"	"489"	"0"	""
"259"	"151"	"28"	"279"	"12"	"3"	"1"	"2"	"4"	"329"	"0"	"329"	"0"	""
"260"	"152"	"61"	"226"	"26"	"13"	"5"	"5"	"2"	"338"	"0"	"338"	"0"	""
"261"	"153"	"20"	"177"	"108"	"23"	"15"	"5"	"16"	"364"	"0"	"364"	"0"	""
"262"	"154"	"32"	"232"	"102"	"13"	"9"	"13"	"8"	"409"	"0"	"409"	"0"	""
"263"	"Total"	"343"	"2980"	"1455"	"551"	"135"	"88"	"99"	"5651"	"0"	"5651"	"0"	""
"264"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"269"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"270"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"271"	"155"	"3"	"49"	"268"	"28"	"26"	"15"	"10"	"399"	"0"	"399"	"0"	""
"272"	"156"	"12"	"47"	"154"	"64"	"9"	"5"	"6"	"297"	"0"	"297"	"0"	""
"273"	"157"	"62"	"144"	"256"	"33"	"13"	"12"	"16"	"536"	"0"	"536"	"0"	""
"274"	"158"	"93"	"175"	"69"	"75"	"13"	"15"	"11"	"451"	"0"	"451"	"0"	""
"275"	"159"	"12"	"447"	"169"	"35"	"12"	"8"	"18"	"701"	"0"	"701"	"0"	""
"276"	"160"	"120"	"50"	"215"	"109"	"10"	"11"	"9"	"524"	"0"	"524"	"0"	""
"277"	"161"	"24"	"22"	"427"	"17"	"18"	"9"	"7"	"524"	"0"	"524"	"0"	""
"278"	"162"	"57"	"36"	"113"	"140"	"7"	"14"	"14"	"381"	"0"	"381"	"0"	""
"279"	"162A"	"13"	"47"	"206"	"23"	"9"	"6"	"6"	"310"	"0"	"310"	"0"	""
"280"	"163"	"26"	"213"	"74"	"70"	"47"	"5"	"1"	"436"	"0"	"436"	"0"	""
"281"	"163A"	"21"	"56"	"173"	"9"	"32"	"4"	"4"	"299"	"0"	"299"	"0"	""
"282"	"164"	"61"	"215"	"178"	"208"	"12"	"17"	"16"	"707"	"0"	"707"	"0"	""
"283"	"165"	"63"	"128"	"185"	"108"	"13"	"17"	"33"	"547"	"0"	"547"	"0"	""
"284"	"166"	"16"	"84"	"540"	"22"	"27"	"8"	"18"	"715"	"0"	"715"	"0"	""
"285"	"Total"	"583"	"1713"	"3027"	"941"	"248"	"146"	"169"	"6827"	"0"	"6827"	"0"	""
"286"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"291"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"292"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"293"	"167"	"31"	"441"	"156"	"23"	"14"	"7"	"10"	"682"	"0"	"682"	"0"	""
"294"	"168"	"11"	"89"	"127"	"120"	"19"	"17"	"14"	"397"	"0"	"397"	"0"	""
"295"	"168A"	"47"	"49"	"170"	"13"	"33"	"13"	"7"	"332"	"0"	"332"	"0"	""
"296"	"169"	"18"	"104"	"157"	"99"	"12"	"6"	"8"	"404"	"0"	"404"	"0"	""
"297"	"170"	"22"	"132"	"139"	"18"	"11"	"8"	"8"	"338"	"0"	"338"	"0"	""
"298"	"171"	"86"	"187"	"103"	"12"	"29"	"8"	"11"	"436"	"0"	"436"	"0"	""
"299"	"172"	"19"	"203"	"230"	"23"	"16"	"11"	"8"	"510"	"0"	"510"	"0"	""
"300"	"173"	"58"	"138"	"298"	"16"	"19"	"16"	"21"	"566"	"0"	"566"	"0"	""
"301"	"174"	"125"	"101"	"139"	"29"	"10"	"6"	"10"	"420"	"0"	"420"	"0"	""
"302"	"174A"	"30"	"109"	"177"	"9"	"12"	"6"	"4"	"347"	"0"	"347"	"0"	""
"303"	"175"	"12"	"108"	"107"	"65"	"77"	"5"	"8"	"382"	"0"	"382"	"0"	""
"304"	"175A"	"4"	"104"	"149"	"5"	"104"	"7"	"5"	"378"	"0"	"378"	"0"	""
"305"	"176"	"61"	"57"	"159"	"8"	"51"	"5"	"2"	"343"	"0"	"343"	"0"	""
"306"	"177"	"59"	"249"	"110"	"10"	"5"	"13"	"6"	"452"	"0"	"452"	"0"	""
"307"	"Total"	"583"	"2071"	"2221"	"450"	"412"	"128"	"122"	"5987"	"0"	"5987"	"0"	""
"308"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"313"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"314"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"315"	"178"	"24"	"131"	"248"	"16"	"27"	"10"	"2"	"458"	"0"	"458"	"0"	""
"316"	"179"	"75"	"84"	"256"	"5"	"6"	"8"	"8"	"442"	"0"	"442"	"0"	""
"317"	"180"	"97"	"71"	"338"	"26"	"11"	"15"	"7"	"565"	"0"	"565"	"0"	""
"318"	"181"	"38"	"176"	"156"	"70"	"11"	"8"	"8"	"467"	"0"	"467"	"0"	""
"319"	"182"	"10"	"106"	"177"	"13"	"8"	"7"	"11"	"332"	"0"	"332"	"0"	""
"320"	"183"	"23"	"85"	"111"	"16"	"6"	"12"	"6"	"259"	"0"	"259"	"0"	""
"321"	"184"	"50"	"194"	"327"	"39"	"27"	"13"	"3"	"653"	"0"	"653"	"0"	""
"322"	"185"	"52"	"148"	"206"	"76"	"67"	"16"	"24"	"589"	"0"	"589"	"0"	""
"323"	"186"	"64"	"182"	"157"	"15"	"29"	"10"	"17"	"474"	"0"	"474"	"0"	""
"324"	"187"	"42"	"171"	"133"	"2"	"15"	"8"	"6"	"377"	"0"	"377"	"0"	""
"325"	"188"	"37"	"148"	"133"	"18"	"29"	"13"	"20"	"398"	"0"	"398"	"0"	""
"326"	"189"	"18"	"177"	"175"	"7"	"20"	"6"	"12"	"415"	"0"	"415"	"0"	""
"327"	"190"	"40"	"382"	"31"	"33"	"5"	"7"	"16"	"514"	"0"	"514"	"0"	""
"328"	"191"	"52"	"324"	"51"	"21"	"9"	"7"	"5"	"469"	"0"	"469"	"0"	""
"329"	"Total"	"622"	"2379"	"2499"	"357"	"270"	"140"	"145"	"6412"	"0"	"6412"	"0"	""
"330"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"334"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"335"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"336"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"337"	"192"	"27"	"62"	"299"	"135"	"32"	"6"	"5"	"566"	"0"	"566"	"0"	""
"338"	"193"	"17"	"31"	"303"	"22"	"75"	"8"	"12"	"468"	"0"	"468"	"0"	""
"339"	"194"	"24"	"171"	"83"	"12"	"10"	"4"	"9"	"313"	"0"	"313"	"0"	""
"340"	"194A"	"22"	"184"	"126"	"33"	"7"	"7"	"8"	"387"	"0"	"387"	"0"	""
"341"	"195"	"19"	"85"	"316"	"76"	"15"	"9"	"22"	"542"	"0"	"542"	"0"	""
"342"	"196"	"41"	"355"	"177"	"60"	"77"	"13"	"9"	"732"	"0"	"732"	"0"	""
"343"	"197"	"22"	"84"	"129"	"74"	"4"	"8"	"13"	"334"	"0"	"334"	"0"	""
"344"	"197A"	"7"	"64"	"80"	"79"	"5"	"6"	"17"	"258"	"0"	"258"	"0"	""
"345"	"198"	"35"	"187"	"259"	"28"	"11"	"10"	"12"	"542"	"0"	"542"	"0"	""
"346"	"199"	"27"	"52"	"217"	"120"	"38"	"14"	"25"	"493"	"0"	"493"	"0"	""
"347"	"200"	"19"	"38"	"434"	"55"	"22"	"12"	"9"	"589"	"0"	"589"	"0"	""
"348"	"201"	"44"	"116"	"373"	"32"	"39"	"7"	"9"	"620"	"0"	"620"	"0"	""
"349"	"202"	"18"	"161"	"132"	"90"	"10"	"3"	"3"	"417"	"0"	"417"	"0"	""
"350"	"203"	"44"	"121"	"232"	"34"	"10"	"8"	"13"	"462"	"0"	"462"	"0"	""
"351"	"Total"	"366"	"1711"	"3160"	"850"	"355"	"115"	"166"	"6723"	"0"	"6723"	"0"	""
"352"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"356"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"357"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"358"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"359"	"204"	"23"	"335"	"41"	"39"	"8"	"6"	"8"	"460"	"0"	"460"	"0"	""
"360"	"205"	"59"	"50"	"198"	"203"	"26"	"10"	"17"	"563"	"0"	"563"	"0"	""
"361"	"206"	"27"	"143"	"211"	"32"	"32"	"6"	"9"	"460"	"0"	"460"	"0"	""
"362"	"207"	"24"	"121"	"170"	"28"	"9"	"11"	"18"	"381"	"0"	"381"	"0"	""
"363"	"208"	"13"	"158"	"128"	"11"	"7"	"12"	"16"	"345"	"0"	"345"	"0"	""
"364"	"209"	"92"	"137"	"199"	"18"	"14"	"11"	"20"	"491"	"0"	"491"	"0"	""
"365"	"210"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"366"	"211"	"12"	"79"	"278"	"18"	"34"	"5"	"6"	"432"	"0"	"432"	"0"	""
"367"	"212"	"29"	"50"	"227"	"49"	"11"	"12"	"0"	"378"	"0"	"378"	"0"	""
"368"	"213"	"13"	"366"	"171"	"36"	"9"	"14"	"21"	"630"	"0"	"630"	"0"	""
"369"	"214"	"12"	"195"	"214"	"9"	"19"	"2"	"7"	"458"	"0"	"458"	"0"	""
"370"	"215"	"7"	"31"	"259"	"4"	"21"	"0"	"1"	"323"	"0"	"323"	"0"	""
"371"	"215A"	"9"	"104"	"261"	"9"	"12"	"5"	"2"	"402"	"0"	"402"	"0"	""
"372"	"216"	"44"	"148"	"163"	"8"	"16"	"6"	"2"	"387"	"0"	"387"	"0"	""
"373"	"Total"	"364"	"1917"	"2520"	"464"	"218"	"100"	"127"	"5710"	"0"	"5710"	"0"	""
"374"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"378"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"379"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"380"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"381"	"216A"	"11"	"112"	"215"	"41"	"16"	"2"	"12"	"409"	"0"	"409"	"0"	""
"382"	"217"	"21"	"182"	"322"	"19"	"10"	"5"	"9"	"568"	"0"	"568"	"0"	""
"383"	"218"	"32"	"93"	"211"	"62"	"72"	"16"	"25"	"511"	"0"	"511"	"0"	""
"384"	"219"	"35"	"94"	"333"	"47"	"19"	"20"	"18"	"566"	"0"	"566"	"0"	""
"385"	"220"	"30"	"122"	"305"	"30"	"16"	"14"	"20"	"537"	"0"	"537"	"0"	""
"386"	"221"	"50"	"136"	"404"	"49"	"20"	"16"	"18"	"693"	"0"	"693"	"0"	""
"387"	"222"	"129"	"91"	"110"	"18"	"7"	"20"	"10"	"385"	"0"	"385"	"0"	""
"388"	"223"	"13"	"44"	"247"	"21"	"22"	"2"	"6"	"355"	"0"	"355"	"0"	""
"389"	"224"	"26"	"252"	"231"	"19"	"18"	"15"	"10"	"571"	"0"	"571"	"0"	""
"390"	"225"	"16"	"69"	"220"	"68"	"23"	"8"	"7"	"411"	"0"	"411"	"0"	""
"391"	"Total"	"363"	"1195"	"2598"	"374"	"223"	"118"	"135"	"5006"	"0"	"5006"	"0"	""
"392"	"Total No. of Electors in Assembly Constituency - 249962"	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"Election for 8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"396"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"397"	"Polling    Station No."	"Paras            Lal Vishwakarma"	"Mohammad Shamim Akthar"	"Renu Devi"	"Shambhu Prasad Gupta"	"Mangal Yadav"	"Daya         Nand Kumar Verma"	"Md. Shoaib"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"398"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"	""
"399"	"Total"	"6757"	"38718"	"55184"	"7824"	"3261"	"1639"	"1888"	"115271"	"0"	"115271"	"0"	""
"400"	"Postal Ballot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"401"	"Grand Tot."	"6757"	"38718"	"55184"	"7824"	"3261"	"1639"	"1888"	"115271"	"0"	"115271"	"0"	""
"402"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"8-Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"19"	""	""	""	""	""	""	""	""	""	""	""	""
