"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"(CHAPTER   XIV, PARA   26.9) FORM - 20"	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (7) ]"	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 105 BEGUSARAI A.C"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly  - 105 BEGUSARAI A.C."	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of"
"243"	"152"	"67"	"46"	"3"	"341"	"37"	"1"	"6"	"501"	"0"	"501"	"0"
"244"	"153"	"131"	"19"	"9"	"77"	"122"	"14"	"23"	"395"	"0"	"395"	"0"
"245"	"153A"	"128"	"28"	"11"	"118"	"51"	"8"	"14"	"358"	"0"	"358"	"0"
"246"	"154"	"59"	"276"	"22"	"112"	"184"	"15"	"10"	"678"	"0"	"678"	"0"
"247"	"155"	"298"	"39"	"20"	"216"	"52"	"10"	"37"	"672"	"0"	"672"	"0"
"248"	"156"	"195"	"61"	"11"	"411"	"34"	"15"	"35"	"762"	"0"	"762"	"0"
"249"	"157"	"175"	"18"	"7"	"242"	"89"	"3"	"17"	"551"	"0"	"551"	"0"
"250"	"158"	"86"	"95"	"11"	"237"	"132"	"11"	"24"	"596"	"0"	"596"	"0"
"251"	"159"	"129"	"32"	"25"	"268"	"43"	"6"	"28"	"531"	"0"	"531"	"0"
"252"	"159A"	"69"	"36"	"7"	"357"	"27"	"1"	"14"	"511"	"0"	"511"	"0"
"253"	"159B"	"30"	"67"	"1"	"189"	"51"	"3"	"11"	"352"	"0"	"352"	"0"
"254"	"159C"	"50"	"137"	"11"	"180"	"48"	"5"	"6"	"437"	"0"	"437"	"0"
"255"	"160"	"131"	"126"	"9"	"336"	"29"	"4"	"11"	"646"	"0"	"646"	"0"
"256"	"161"	"45"	"210"	"5"	"79"	"157"	"8"	"10"	"514"	"0"	"514"	"0"
"257"	"162"	"92"	"99"	"12"	"174"	"78"	"10"	"18"	"483"	"0"	"483"	"0"
"258"	"162A"	"31"	"55"	"6"	"168"	"34"	"4"	"5"	"303"	"0"	"303"	"0"
"259"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of"
"260"	""	"Upendra Singh"	"Kamli Mahto"	"Narayan Prasad Hisaria"	"Bhola Singh"	"Rajendra Prasad Singh"	"Md.
Ahatasha"	"Rabindra Kumar"	""	""	""	"Tendered votes"
"261"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"262"	"163"	"47"	"34"	"5"	"173"	"13"	"3"	"11"	"286"	"0"	"286"	"0"
"263"	"163A"	"46"	"69"	"3"	"220"	"18"	"1"	"5"	"362"	"0"	"362"	"0"
"264"	"164"	"24"	"62"	"7"	"203"	"36"	"4"	"10"	"346"	"0"	"346"	"0"
"265"	"164A"	"11"	"65"	"3"	"118"	"15"	"2"	"3"	"217"	"0"	"217"	"0"
"266"	"165"	"89"	"97"	"10"	"219"	"45"	"7"	"15"	"482"	"0"	"482"	"0"
"267"	"165A"	"70"	"31"	"4"	"88"	"7"	"1"	"5"	"206"	"0"	"206"	"0"
"268"	"166"	"22"	"54"	"4"	"240"	"45"	"9"	"8"	"382"	"0"	"382"	"0"
"269"	"166A"	"103"	"32"	"4"	"57"	"5"	"1"	"5"	"207"	"0"	"207"	"0"
"270"	"167"	"356"	"195"	"12"	"27"	"67"	"12"	"34"	"703"	"0"	"703"	"0"
"271"	"168"	"69"	"159"	"12"	"41"	"130"	"18"	"20"	"449"	"0"	"449"	"0"
"272"	"169"	"36"	"52"	"7"	"226"	"20"	"6"	"15"	"362"	"0"	"362"	"0"
"273"	"169A"	"41"	"20"	"7"	"185"	"13"	"7"	"8"	"281"	"0"	"281"	"0"
"274"	"170"	"51"	"46"	"7"	"266"	"40"	"5"	"17"	"432"	"0"	"432"	"0"
"275"	"170A"	"18"	"37"	"52"	"156"	"30"	"5"	"10"	"308"	"0"	"308"	"0"
"276"	"171"	"27"	"81"	"13"	"233"	"108"	"14"	"8"	"484"	"0"	"484"	"0"
"277"	"172"	"49"	"103"	"13"	"222"	"100"	"6"	"10"	"503"	"0"	"503"	"0"
"278"	"173"	"196"	"88"	"21"	"23"	"205"	"9"	"21"	"563"	"0"	"563"	"0"
"279"	"174"	"135"	"23"	"6"	"255"	"23"	"1"	"13"	"456"	"0"	"456"	"0"
"280"	"174A"	"114"	"20"	"11"	"214"	"11"	"7"	"16"	"393"	"0"	"393"	"0"
"281"	"175"	"34"	"103"	"9"	"188"	"27"	"5"	"8"	"374"	"0"	"374"	"0"
"282"	"175A"	"10"	"65"	"6"	"279"	"22"	"2"	"7"	"391"	"0"	"391"	"0"
"283"	"176"	"22"	"54"	"8"	"176"	"20"	"9"	"22"	"311"	"0"	"311"	"0"
"284"	"176A"	"50"	"72"	"10"	"209"	"28"	"6"	"15"	"390"	"0"	"390"	"0"
"285"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of"
"286"	""	"Upendra Singh"	"Kamli Mahto"	"Narayan Prasad Hisaria"	"Bhola Singh"	"Rajendra Prasad Singh"	"Md.
Ahatasha"	"Rabindra Kumar"	""	""	""	"Tendered votes"
"287"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"288"	"177"	"121"	"59"	"16"	"243"	"38"	"15"	"44"	"536"	"0"	"536"	"0"
"289"	"178"	"35"	"79"	"15"	"309"	"37"	"10"	"13"	"498"	"0"	"498"	"0"
"290"	"179"	"256"	"40"	"5"	"124"	"21"	"6"	"21"	"473"	"0"	"473"	"0"
"291"	"Total No. of Votes recorded on Polling Stations"	"19937"	"27733"	"2397"	"39763"	"14930"	"1967"	"2938"	"109665"	"0"	"109665"	"0"
"292"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"5"	"0"	"5"	"0"
"293"	"Total Votes Polled"	"19937"	"27733"	"2397"	"39768"	"14930"	"1967"	"2938"	"109670"	"0"	"109670"	"0"
"294"	"Place : Begusarai"	""	""	""	""	""	""	""	""	""	""	""
"295"	"Date : 22-11-2005"	""	""	""	""	""	""	""	""	""	""	""
"296"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"297"	"105- Begusarai A.C."	""	""	""	""	""	""	""	""	""	""	""
"298"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"299"	"105- Begusarai A.C."	""	""	""	""	""	""	""	""	""	""	""
