"Name.of.the.Assembly.segment...in.the.case.of.election.from.a.Parliamentary.constituency.....193.PHULWARI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"2"	"Serial no. of polling station"	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	"Amitesh Chaudhary"	""	""	""	"Mithilesh Paswan"	""	""	"Rajdeo Das"	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"56"	""	"46"	"140"	""	"2"	""	"98"	""	"43"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"4"	""	"1"	""	""	"6"	""	""	"7"	""	""	"351"	""	""	""	""	"351"	""	""	""	""	""	""	""	""
"92"	"57"	""	"28"	"65"	""	"1"	""	"60"	""	"99"	""	""	"7"	""	""	"3"	""	""	"9"	""	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"16"	""	""	"314"	""	""	""	""	"314"	""	""	""	""	""	""	""	""
"93"	"58"	""	"10"	"76"	""	"8"	""	"175"	""	"99"	""	""	"5"	""	""	"6"	""	""	"6"	""	""	""	"16"	""	""	"6"	""	"8"	""	""	"12"	""	""	"29"	""	""	"456"	""	""	""	""	"456"	""	""	""	""	""	""	""	""
"94"	"59"	""	"8"	"116"	""	"3"	""	"68"	""	"108"	""	""	"1"	""	""	"1"	""	""	"6"	""	""	""	"2"	""	""	"5"	""	"1"	""	""	"6"	""	""	"10"	""	""	"335"	""	""	""	""	"335"	""	""	""	""	""	""	""	""
"95"	"60"	""	"1"	"175"	""	"10"	""	"69"	""	"90"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	""	"4"	""	""	"1"	""	"1"	""	""	"4"	""	""	"1"	""	""	"360"	""	""	""	""	"360"	""	""	""	""	""	""	""	""
"96"	"60A"	""	"2"	"117"	""	""	""	"20"	""	"42"	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"185"	""	""	""	""	"185"	""	""	""	""	""	""	""	""
"97"	"61"	""	"1"	"22"	""	""	""	"55"	""	"116"	""	""	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	"4"	""	"1"	""	""	"5"	""	""	"10"	""	""	"217"	""	""	""	""	"217"	""	""	""	""	""	""	""	""
"98"	"62"	""	"19"	"82"	""	"3"	""	"100"	""	"22"	""	""	"1"	""	""	"3"	""	""	"7"	""	""	""	"3"	""	""	"7"	""	"3"	""	""	"9"	""	""	"7"	""	""	"266"	""	""	""	""	"266"	""	""	""	""	""	""	""	""
"99"	"63"	""	"162"	"187"	""	"9"	""	"33"	""	"152"	""	""	"10"	""	""	"6"	""	""	"6"	""	""	""	""	""	""	"2"	""	"2"	""	""	"11"	""	""	"8"	""	""	"588"	""	""	""	""	"588"	""	""	""	""	""	""	""	""
"100"	"64"	""	"49"	"76"	""	"1"	""	"14"	""	"75"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7"	""	""	"226"	""	""	""	""	"226"	""	""	""	""	""	""	""	""
"101"	"64A"	""	"57"	"74"	""	"1"	""	"9"	""	"52"	""	""	""	""	""	"1"	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	"5"	""	""	"6"	""	""	"208"	""	""	""	""	"208"	""	""	""	""	""	""	""	""
"102"	"65"	""	"55"	"98"	""	"4"	""	"45"	""	"114"	""	""	"9"	""	""	"3"	""	""	"4"	""	""	""	"1"	""	""	"4"	""	"1"	""	""	"12"	""	""	"16"	""	""	"366"	""	""	""	""	"366"	""	""	""	""	""	""	""	""
"103"	"65A"	""	"48"	"55"	""	"2"	""	"4"	""	"121"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	"8"	""	""	"248"	""	""	""	""	"248"	""	""	""	""	""	""	""	""
"104"	"66"	""	"156"	"194"	""	"11"	""	"22"	""	"45"	""	""	"4"	""	""	"2"	""	""	"2"	""	""	""	""	""	""	"3"	""	"1"	""	""	"11"	""	""	"27"	""	""	"478"	""	""	""	""	"478"	""	""	""	""	""	""	""	""
"105"	"Total"	""	"642"	"1477"	""	"55"	""	"772"	""	"1178"	""	""	"45"	""	""	"32"	""	""	"49"	""	""	""	"32"	""	""	"43"	""	"27"	""	""	"94"	""	""	"152"	""	""	"4598"	""	""	""	""	"4598"	""	"0"	""	""	""	""	""	""
"106"	"Till Last Round"	""	"1893"	"8738"	""	"508"	""	"1892"	""	"6945"	""	""	"266"	""	""	"131"	""	""	"173"	""	""	""	"110"	""	""	"123"	""	"131"	""	""	"377"	""	""	"517"	""	""	"21804"	""	""	"0"	""	"21804"	""	"0"	""	""	""	""	""	""
"107"	"Grand Total"	""	"2535"	"10215"	""	"563"	""	"2664"	""	"8123"	""	""	"311"	""	""	"163"	""	""	"222"	""	""	""	"142"	""	""	"166"	""	"158"	""	""	"471"	""	""	"669"	""	""	"26402"	""	""	"0"	""	"26402"	""	"0"	""	""	""	""	""	""
"108"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"113"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	""	"Shyam Rajak"	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"67"	""	"45"	""	"56"	""	"8"	""	"17"	""	""	"256"	""	""	"7"	""	""	"7"	""	""	""	"7"	""	""	"4"	""	"2"	""	""	"2"	""	""	"5"	""	""	"10"	""	""	"426"	""	""	""	"426"	""	""	""	""	""	""	""
"115"	"68"	""	"38"	""	"105"	""	"9"	""	"119"	""	""	"112"	""	""	"7"	""	""	"5"	""	""	""	"6"	""	""	"9"	""	"6"	""	""	"4"	""	""	"14"	""	""	"28"	""	""	"462"	""	""	""	"462"	""	""	""	""	""	""	""
"116"	"69"	""	"23"	""	"71"	""	"3"	""	"104"	""	""	"223"	""	""	"4"	""	""	"3"	""	""	""	"2"	""	""	"1"	""	""	""	""	"1"	""	""	"5"	""	""	"1"	""	""	"441"	""	""	""	"441"	""	""	""	""	""	""	""
"117"	"70"	""	"13"	""	"205"	""	"2"	""	"6"	""	""	"67"	""	""	"3"	""	""	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"2"	""	""	"1"	""	""	"4"	""	""	"306"	""	""	""	"306"	""	""	""	""	""	""	""
"118"	"71"	""	"31"	""	"154"	""	"6"	""	"81"	""	""	"51"	""	""	"8"	""	""	"6"	""	""	""	"5"	""	""	"3"	""	"6"	""	""	"2"	""	""	"12"	""	""	"16"	""	""	"381"	""	""	""	"381"	""	""	""	""	""	""	""
"119"	"72"	""	"75"	""	"32"	""	"3"	""	"213"	""	""	"44"	""	""	"3"	""	""	"4"	""	""	""	"2"	""	""	"3"	""	"2"	""	""	"2"	""	""	"4"	""	""	"9"	""	""	"396"	""	""	""	"396"	""	""	""	""	""	""	""
"120"	"73"	""	"4"	""	"157"	""	"3"	""	"61"	""	""	"77"	""	""	""	""	""	""	""	""	""	"3"	""	""	"2"	""	"1"	""	""	""	""	""	"3"	""	""	"2"	""	""	"313"	""	""	""	"313"	""	""	""	""	""	""	""
"121"	"74"	""	"1"	""	"164"	""	"3"	""	"24"	""	""	"8"	""	""	""	""	""	"3"	""	""	""	"1"	""	""	"1"	""	"2"	""	""	"9"	""	""	"3"	""	""	""	""	""	"219"	""	""	""	"219"	""	""	""	""	""	""	""
"122"	"75"	""	"56"	""	"231"	""	"2"	""	"2"	""	""	"14"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	"3"	""	""	"2"	""	""	""	""	""	"314"	""	""	""	"314"	""	""	""	""	""	""	""
"123"	"76"	""	"65"	""	"229"	""	"6"	""	"23"	""	""	"73"	""	""	"1"	""	""	"2"	""	""	""	"7"	""	""	"3"	""	"1"	""	""	"3"	""	""	"12"	""	""	"14"	""	""	"439"	""	""	""	"439"	""	""	""	""	""	""	""
"124"	"77"	""	"42"	""	"164"	""	"47"	""	"5"	""	""	"65"	""	""	"5"	""	""	"2"	""	""	""	"3"	""	""	"2"	""	"3"	""	""	"1"	""	""	"7"	""	""	"5"	""	""	"351"	""	""	""	"351"	""	""	""	""	""	""	""
"125"	"78"	""	"30"	""	"47"	""	"1"	""	"2"	""	""	"331"	""	""	"11"	""	""	"7"	""	""	""	"3"	""	""	"3"	""	"2"	""	""	""	""	""	"3"	""	""	"15"	""	""	"455"	""	""	""	"455"	""	""	""	""	""	""	""
"126"	"79"	""	"26"	""	"139"	""	"11"	""	"3"	""	""	"99"	""	""	"1"	""	""	"4"	""	""	""	"5"	""	""	"2"	""	"2"	""	""	"1"	""	""	"4"	""	""	"5"	""	""	"302"	""	""	""	"302"	""	""	""	""	""	""	""
"127"	"79A"	""	"9"	""	"173"	""	"4"	""	""	""	""	"50"	""	""	"2"	""	""	"2"	""	""	""	"10"	""	""	"4"	""	"1"	""	""	"2"	""	""	"8"	""	""	"5"	""	""	"270"	""	""	""	"270"	""	""	""	""	""	""	""
"128"	"Total"	""	"458"	""	"1927"	""	"108"	""	"660"	""	""	"1470"	""	""	"52"	""	""	"46"	""	""	""	"58"	""	""	"38"	""	"29"	""	""	"32"	""	""	"83"	""	""	"114"	""	""	"5075"	""	""	""	"5075"	""	""	"0"	""	""	""	""
"129"	"Till Last Round"	""	"2535"	""	"10215"	""	"563"	""	"2664"	""	""	"8123"	""	""	"311"	""	""	"163"	""	""	""	"222"	""	""	"142"	""	"166"	""	""	"158"	""	""	"471"	""	""	"669"	""	""	"26402"	""	"0"	""	"26402"	""	""	"0"	""	""	""	""
"130"	"Grand Total"	""	"2993"	""	"12142"	""	"671"	""	"3324"	""	""	"9593"	""	""	"363"	""	""	"209"	""	""	""	"280"	""	""	"180"	""	"195"	""	""	"190"	""	""	"554"	""	""	"783"	""	""	"31477"	""	"0"	""	"31477"	""	""	"0"	""	""	""	""
"131"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"133"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"80"	""	"26"	""	"93"	""	"8"	""	"4"	""	"204"	""	""	""	"7"	""	""	"2"	""	""	""	"3"	""	""	"3"	""	"1"	""	""	"2"	""	""	"7"	""	""	"4"	""	""	"364"	""	""	""	"364"	""	""	""	""	""	""	""
"135"	"81"	""	"47"	""	"202"	""	"2"	""	"7"	""	"177"	""	""	""	"4"	""	""	"1"	""	""	""	"3"	""	""	"1"	""	"1"	""	""	"3"	""	""	"13"	""	""	"15"	""	""	"476"	""	""	""	"476"	""	""	""	""	""	""	""
"136"	"82"	""	"43"	""	"284"	""	"15"	""	"1"	""	"88"	""	""	""	"2"	""	""	"7"	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	"13"	""	""	"9"	""	""	"464"	""	""	""	"464"	""	""	""	""	""	""	""
"137"	"83"	""	"18"	""	"367"	""	"3"	""	"2"	""	"226"	""	""	""	"11"	""	""	"2"	""	""	""	"4"	""	""	"3"	""	"1"	""	""	"3"	""	""	"5"	""	""	"11"	""	""	"656"	""	""	""	"656"	""	""	""	""	""	""	""
"138"	"84"	""	"48"	""	"233"	""	"32"	""	"5"	""	"92"	""	""	""	"5"	""	""	"4"	""	""	""	"6"	""	""	"2"	""	"1"	""	""	"2"	""	""	"9"	""	""	"8"	""	""	"447"	""	""	""	"447"	""	""	""	""	""	""	""
"139"	"85"	""	""	""	"383"	""	"2"	""	"3"	""	"16"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"409"	""	""	""	"409"	""	""	""	""	""	""	""
"140"	"86"	""	"10"	""	"230"	""	"8"	""	"11"	""	"143"	""	""	""	"5"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	"1"	""	""	"2"	""	""	"3"	""	""	"6"	""	""	"424"	""	""	""	"424"	""	""	""	""	""	""	""
"141"	"87"	""	"54"	""	"113"	""	""	""	"31"	""	"98"	""	""	""	"4"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	"1"	""	""	"1"	""	""	"3"	""	""	"7"	""	""	"315"	""	""	""	"315"	""	""	""	""	""	""	""
"142"	"88"	""	"46"	""	"185"	""	"3"	""	"56"	""	"296"	""	""	""	"21"	""	""	"5"	""	""	""	"10"	""	""	"4"	""	"5"	""	""	"3"	""	""	"16"	""	""	"8"	""	""	"658"	""	""	""	"658"	""	""	""	""	""	""	""
"143"	"89"	""	"18"	""	"175"	""	"3"	""	"5"	""	"112"	""	""	""	"29"	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	"7"	""	""	"6"	""	""	"359"	""	""	""	"359"	""	""	""	""	""	""	""
"144"	"90"	""	"8"	""	"189"	""	"5"	""	"6"	""	"116"	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	"5"	""	""	"4"	""	""	"340"	""	""	""	"340"	""	""	""	""	""	""	""
"145"	"91"	""	"33"	""	"230"	""	"1"	""	"5"	""	"92"	""	""	""	"5"	""	""	"4"	""	""	""	"4"	""	""	"1"	""	"3"	""	""	"1"	""	""	"3"	""	""	"14"	""	""	"396"	""	""	""	"396"	""	""	""	""	""	""	""
"146"	"91A"	""	"19"	""	"202"	""	"4"	""	"9"	""	"58"	""	""	""	"7"	""	""	"4"	""	""	""	"8"	""	""	"4"	""	"1"	""	""	"2"	""	""	"13"	""	""	"14"	""	""	"345"	""	""	""	"345"	""	""	""	""	""	""	""
"147"	"92"	""	"8"	""	"73"	""	""	""	"1"	""	"348"	""	""	""	"13"	""	""	"2"	""	""	""	"1"	""	""	"3"	""	"1"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"456"	""	""	""	"456"	""	""	""	""	""	""	""
"148"	"Total"	""	"378"	""	"2959"	""	"86"	""	"146"	""	"2066"	""	""	""	"119"	""	""	"36"	""	""	""	"44"	""	""	"25"	""	"18"	""	""	"23"	""	""	"101"	""	""	"108"	""	""	"6109"	""	""	""	"6109"	""	""	"0"	""	""	""	""
"149"	"Till Last Round"	""	"2993"	""	"12142"	""	"671"	""	"3324"	""	"9593"	""	""	""	"363"	""	""	"209"	""	""	""	"280"	""	""	"180"	""	"195"	""	""	"190"	""	""	"554"	""	""	"783"	""	""	"31477"	""	"0"	""	"31477"	""	""	"0"	""	""	""	""
"150"	"Grand Total"	""	"3371"	""	"15101"	""	"757"	""	"3470"	""	"11659"	""	""	""	"482"	""	""	"245"	""	""	""	"324"	""	""	"205"	""	"213"	""	""	"213"	""	""	"655"	""	""	"891"	""	""	"37586"	""	"0"	""	"37586"	""	""	"0"	""	""	""	""
"151"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"153"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"93"	""	"34"	""	"130"	""	"3"	""	"19"	""	"270"	""	""	""	"4"	""	""	"2"	""	""	""	"11"	""	""	"4"	""	"2"	""	""	"4"	""	""	"9"	""	""	"6"	""	""	"498"	""	""	""	"498"	""	""	""	""	""	""	""
"155"	"94"	""	"61"	""	"93"	""	"6"	""	"2"	""	"235"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"2"	""	""	"8"	""	""	"413"	""	""	""	"413"	""	""	""	""	""	""	""
"156"	"95"	""	"32"	""	"217"	""	"4"	""	"6"	""	"186"	""	""	""	"2"	""	""	"1"	""	""	""	"6"	""	""	"1"	""	"1"	""	""	""	""	""	"6"	""	""	"5"	""	""	"467"	""	""	""	"467"	""	""	""	""	""	""	""
"157"	"96"	""	"38"	""	"178"	""	"5"	""	"61"	""	"52"	""	""	""	"3"	""	""	"2"	""	""	""	"6"	""	""	"2"	""	"2"	""	""	"2"	""	""	"6"	""	""	"9"	""	""	"366"	""	""	""	"366"	""	""	""	""	""	""	""
"158"	"97"	""	"23"	""	"134"	""	"5"	""	"43"	""	"18"	""	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	""	""	"1"	""	""	"6"	""	""	"8"	""	""	"245"	""	""	""	"245"	""	""	""	""	""	""	""
"159"	"98"	""	""	""	"42"	""	"3"	""	"19"	""	"341"	""	""	""	"3"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	"1"	""	""	"414"	""	""	""	"414"	""	""	""	""	""	""	""
"160"	"99"	""	"126"	""	"91"	""	"2"	""	"7"	""	"95"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"11"	""	""	"337"	""	""	""	"337"	""	""	""	""	""	""	""
"161"	"99A"	""	"24"	""	"106"	""	""	""	"4"	""	"165"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	""	"1"	""	""	"4"	""	""	"2"	""	""	"311"	""	""	""	"311"	""	""	""	""	""	""	""
"162"	"100"	""	"34"	""	"219"	""	"10"	""	"17"	""	"229"	""	""	""	"7"	""	""	"5"	""	""	""	"10"	""	""	"1"	""	"2"	""	""	"1"	""	""	"10"	""	""	"10"	""	""	"555"	""	""	""	"555"	""	""	""	""	""	""	""
"163"	"101"	""	"59"	""	"83"	""	"4"	""	"2"	""	"333"	""	""	""	"8"	""	""	"3"	""	""	""	"2"	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	"6"	""	""	"504"	""	""	""	"504"	""	""	""	""	""	""	""
"164"	"102"	""	"7"	""	"205"	""	"2"	""	"1"	""	"191"	""	""	""	""	""	""	""	""	""	""	"4"	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	"10"	""	""	"427"	""	""	""	"427"	""	""	""	""	""	""	""
"165"	"103"	""	"35"	""	"250"	""	"3"	""	"1"	""	"63"	""	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	"9"	""	""	"370"	""	""	""	"370"	""	""	""	""	""	""	""
"166"	"103A"	""	"10"	""	"193"	""	"4"	""	"1"	""	"135"	""	""	""	"4"	""	""	"2"	""	""	""	"2"	""	""	"1"	""	"3"	""	""	"1"	""	""	"4"	""	""	"6"	""	""	"366"	""	""	""	"366"	""	""	""	""	""	""	""
"167"	"104"	""	"4"	""	"202"	""	"2"	""	"3"	""	"24"	""	""	""	""	""	""	"1"	""	""	""	"2"	""	""	"3"	""	"2"	""	""	"2"	""	""	"4"	""	""	"6"	""	""	"255"	""	""	""	"255"	""	""	""	""	""	""	""
"168"	"Total"	""	"487"	""	"2143"	""	"53"	""	"186"	""	"2337"	""	""	""	"37"	""	""	"21"	""	""	""	"50"	""	""	"23"	""	"13"	""	""	"18"	""	""	"63"	""	""	"97"	""	""	"5528"	""	""	""	"5528"	""	""	"0"	""	""	""	""
"169"	"Till Last Round"	""	"3371"	""	"15101"	""	"757"	""	"3470"	""	"11659"	""	""	""	"482"	""	""	"245"	""	""	""	"324"	""	""	"205"	""	"213"	""	""	"213"	""	""	"655"	""	""	"891"	""	""	"37586"	""	"0"	""	"37586"	""	""	"0"	""	""	""	""
"170"	"Grand Total"	""	"3858"	""	"17244"	""	"810"	""	"3656"	""	"13996"	""	""	""	"519"	""	""	"266"	""	""	""	"374"	""	""	"228"	""	"226"	""	""	"231"	""	""	"718"	""	""	"988"	""	""	"43114"	""	"0"	""	"43114"	""	""	"0"	""	""	""	""
"171"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"173"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"104A"	""	"58"	""	"88"	""	"8"	""	"36"	""	"87"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	""	"3"	""	"4"	""	""	""	""	""	"10"	""	""	"4"	""	""	"303"	""	""	""	"303"	""	""	""	""	""	""	""
"175"	"105"	""	"120"	""	"33"	""	"2"	""	"2"	""	"248"	""	""	""	"4"	""	""	"1"	""	""	""	"2"	""	""	"3"	""	"3"	""	""	"2"	""	""	"4"	""	""	"30"	""	""	"454"	""	""	""	"454"	""	""	""	""	""	""	""
"176"	"106"	""	"148"	""	"169"	""	"9"	""	"5"	""	"108"	""	""	""	"10"	""	""	"6"	""	""	""	"9"	""	""	""	""	"6"	""	""	"2"	""	""	"10"	""	""	"19"	""	""	"501"	""	""	""	"501"	""	""	""	""	""	""	""
"177"	"107"	""	"14"	""	"7"	""	"1"	""	""	""	"220"	""	""	""	"2"	""	""	"3"	""	""	""	"2"	""	""	"1"	""	"1"	""	""	"2"	""	""	"2"	""	""	"5"	""	""	"260"	""	""	""	"260"	""	""	""	""	""	""	""
"178"	"108"	""	"16"	""	"79"	""	"1"	""	"1"	""	"281"	""	""	""	"4"	""	""	"1"	""	""	""	"4"	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	"7"	""	""	"398"	""	""	""	"398"	""	""	""	""	""	""	""
"179"	"109"	""	"3"	""	"12"	""	"1"	""	"3"	""	"465"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	""	"3"	""	"1"	""	""	""	""	""	"1"	""	""	"3"	""	""	"501"	""	""	""	"501"	""	""	""	""	""	""	""
"180"	"110"	""	"9"	""	"135"	""	""	""	""	""	"266"	""	""	""	"3"	""	""	"2"	""	""	""	"5"	""	""	"2"	""	"3"	""	""	"1"	""	""	"6"	""	""	"16"	""	""	"448"	""	""	""	"448"	""	""	""	""	""	""	""
"181"	"111"	""	"192"	""	"74"	""	""	""	"2"	""	"169"	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	"445"	""	""	""	"445"	""	""	""	""	""	""	""
"182"	"111A"	""	"43"	""	"238"	""	"2"	""	"10"	""	"44"	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	"1"	""	"1"	""	""	""	""	""	"3"	""	""	"2"	""	""	"346"	""	""	""	"346"	""	""	""	""	""	""	""
"183"	"112"	""	"121"	""	"46"	""	"2"	""	"3"	""	"146"	""	""	""	"6"	""	""	"3"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	"13"	""	""	"348"	""	""	""	"348"	""	""	""	""	""	""	""
"184"	"112A"	""	"21"	""	"12"	""	""	""	"2"	""	"181"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"3"	""	"1"	""	""	""	""	""	"2"	""	""	"11"	""	""	"236"	""	""	""	"236"	""	""	""	""	""	""	""
