"fuokZpuksa.dk.lapkyu.fu.e..1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"203"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"204"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"205"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"206"	"iwoZ Ik`\"V dk
;ksx"	"23411"	"2860"	"1297"	"8469"	"10873"	"582"	"541"	"900"	"586"	"1714"	"51233"	""	""	""
"207"	"115"	"94"	"7"	"24"	"211"	"25"	"8"	"12"	"17"	"12"	"29"	"439"	""	""	""
"208"	"116"	"209"	"13"	"13"	"237"	"45"	"8"	"8"	"11"	"6"	"18"	"568"	""	""	""
"209"	"117"	"177"	"7"	"37"	"171"	"29"	"4"	"22"	"19"	"11"	"42"	"519"	""	""	""
"210"	"118"	"205"	"11"	"18"	"65"	"9"	"1"	"5"	"7"	"1"	"2"	"324"	""	""	""
"211"	"119"	"129"	"8"	"32"	"124"	"22"	"6"	"10"	"14"	"5"	"32"	"382"	""	""	""
"212"	"120"	"186"	"36"	"4"	"27"	"3"	"6"	"0"	"5"	"3"	"11"	"281"	""	""	""
"213"	"121"	"191"	"8"	"17"	"92"	"108"	"7"	"4"	"11"	"9"	"65"	"512"	""	""	""
"214"	"122"	"210"	"7"	"4"	"159"	"85"	"3"	"9"	"16"	"8"	"40"	"541"	""	""	""
"215"	"123"	"81"	"11"	"19"	"274"	"135"	"9"	"10"	"7"	"6"	"21"	"573"	""	""	""
"216"	"124"	"264"	"5"	"13"	"35"	"64"	"3"	"3"	"5"	"1"	"16"	"409"	""	""	""
"217"	"125"	"245"	"2"	"14"	"29"	"140"	"7"	"4"	"2"	"2"	"19"	"464"	""	""	""
"218"	"126"	"248"	"5"	"11"	"67"	"29"	"6"	"3"	"4"	"0"	"10"	"383"	""	""	""
"219"	"127"	"178"	"5"	"10"	"121"	"107"	"6"	"3"	"9"	"5"	"6"	"450"	""	""	""
"220"	"128"	"136"	"2"	"30"	"191"	"70"	"6"	"13"	"10"	"1"	"18"	"477"	""	""	""
"221"	";ksx%&"	"25964"	"2987"	"1543"	"10272"	"11744"	"662"	"647"	"1037"	"656"	"2043"	"57555"	""	""	""
"222"	""	""	""	""	""	""	""	""	""	""	""	""	"11th Round"	""	""
"223"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"226"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"228"	"iwoZ Ik`\"V dk
;ksx"	"25964"	"2987"	"1543"	"10272"	"11744"	"662"	"647"	"1037"	"656"	"2043"	"57555"	""	""	""
"229"	"129"	"148"	"6"	"46"	"75"	"164"	"4"	"8"	"16"	"7"	"29"	"503"	""	""	""
"230"	"130"	"272"	"10"	"12"	"56"	"56"	"4"	"6"	"7"	"2"	"16"	"441"	""	""	""
"231"	"131"	"108"	"11"	"14"	"122"	"177"	"8"	"9"	"6"	"6"	"15"	"476"	""	""	""
"232"	"132"	"54"	"4"	"4"	"66"	"144"	"6"	"2"	"1"	"3"	"5"	"289"	""	""	""
"233"	"133"	"11"	"0"	"2"	"64"	"229"	"6"	"2"	"3"	"0"	"8"	"325"	""	""	""
"234"	"134"	"19"	"8"	"6"	"93"	"106"	"4"	"1"	"2"	"1"	"6"	"246"	""	""	""
"235"	"135"	"28"	"0"	"1"	"23"	"101"	"2"	"1"	"1"	"2"	"14"	"173"	""	""	""
"236"	"136"	"62"	"3"	"4"	"34"	"163"	"16"	"5"	"5"	"6"	"11"	"309"	""	""	""
"237"	"136d"	"51"	"11"	"5"	"90"	"227"	"6"	"1"	"3"	"3"	"6"	"403"	""	""	""
"238"	"137"	"55"	"7"	"5"	"78"	"173"	"10"	"8"	"14"	"2"	"18"	"370"	""	""	""
"239"	"138"	"151"	"7"	"18"	"40"	"167"	"7"	"3"	"4"	"1"	"5"	"403"	""	""	""
"240"	"139"	"106"	"0"	"10"	"37"	"229"	"9"	"3"	"9"	"2"	"17"	"422"	""	""	""
"241"	"140"	"19"	"76"	"10"	"203"	"28"	"15"	"16"	"18"	"8"	"16"	"409"	""	""	""
"242"	"141"	"130"	"15"	"32"	"123"	"25"	"3"	"6"	"9"	"5"	"9"	"357"	""	""	""
"243"	";ksx%&"	"27178"	"3145"	"1712"	"11376"	"13733"	"762"	"718"	"1135"	"704"	"2218"	"62681"	""	""	""
"244"	""	""	""	""	""	""	""	""	""	""	""	""	"12th Round"	""	""
"245"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"248"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"250"	"iwoZ Ik`\"V dk
;ksx"	"27178"	"3145"	"1712"	"11376"	"13733"	"762"	"718"	"1135"	"704"	"2218"	"62681"	""	""	""
"251"	"142"	"249"	"17"	"15"	"173"	"43"	"5"	"4"	"11"	"3"	"13"	"533"	""	""	""
"252"	"143"	"120"	"10"	"6"	"180"	"17"	"3"	"5"	"9"	"5"	"9"	"364"	""	""	""
"253"	"144"	"289"	"13"	"17"	"194"	"29"	"5"	"9"	"2"	"2"	"7"	"567"	""	""	""
"254"	"145"	"33"	"0"	"11"	"164"	"7"	"7"	"6"	"4"	"1"	"6"	"239"	""	""	""
"255"	"146"	"196"	"7"	"20"	"176"	"8"	"2"	"5"	"8"	"2"	"10"	"434"	""	""	""
"256"	"147"	"185"	"127"	"12"	"85"	"5"	"0"	"4"	"20"	"6"	"16"	"460"	""	""	""
"257"	"148"	"337"	"13"	"5"	"49"	"9"	"4"	"12"	"9"	"7"	"25"	"470"	""	""	""
"258"	"149"	"176"	"16"	"25"	"118"	"28"	"5"	"4"	"12"	"5"	"28"	"417"	""	""	""
"259"	"150"	"382"	"9"	"28"	"95"	"83"	"3"	"4"	"4"	"4"	"12"	"624"	""	""	""
"260"	"151"	"302"	"44"	"29"	"107"	"54"	"13"	"7"	"12"	"13"	"30"	"611"	""	""	""
"261"	"152"	"234"	"12"	"16"	"175"	"34"	"9"	"8"	"3"	"7"	"14"	"512"	""	""	""
"262"	"153"	"128"	"223"	"41"	"81"	"42"	"5"	"13"	"13"	"5"	"13"	"564"	""	""	""
"263"	"154"	"182"	"67"	"20"	"188"	"15"	"4"	"15"	"14"	"10"	"14"	"529"	""	""	""
"264"	"155"	"151"	"46"	"10"	"283"	"26"	"5"	"5"	"5"	"2"	"8"	"541"	""	""	""
"265"	";ksx%&"	"30142"	"3749"	"1967"	"13444"	"14133"	"832"	"819"	"1261"	"776"	"2423"	"69546"	""	""	""
"266"	""	""	""	""	""	""	""	""	""	""	""	""	"13th Round"	""	""
"267"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"270"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"271"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"272"	"iwoZ Ik`\"V dk
;ksx"	"30142"	"3749"	"1967"	"13444"	"14133"	"832"	"819"	"1261"	"776"	"2423"	"69546"	""	""	""
"273"	"156"	"251"	"138"	"9"	"35"	"7"	"2"	"5"	"4"	"6"	"7"	"464"	""	""	""
"274"	"157"	"210"	"10"	"7"	"149"	"29"	"4"	"5"	"5"	"1"	"13"	"433"	""	""	""
"275"	"157d"	"103"	"7"	"26"	"79"	"11"	"4"	"6"	"6"	"1"	"3"	"246"	""	""	""
"276"	"158"	"208"	"10"	"22"	"158"	"58"	"15"	"9"	"15"	"26"	"30"	"531"	""	""	""
"277"	"159"	"75"	"7"	"43"	"133"	"47"	"11"	"9"	"8"	"11"	"25"	"369"	""	""	""
"278"	"160"	"72"	"18"	"27"	"237"	"40"	"12"	"14"	"9"	"15"	"35"	"479"	""	""	""
"279"	"161"	"150"	"303"	"20"	"108"	"44"	"3"	"10"	"5"	"12"	"18"	"673"	""	""	""
"280"	"162"	"236"	"26"	"13"	"207"	"24"	"5"	"10"	"14"	"18"	"43"	"596"	""	""	""
"281"	"163"	"277"	"14"	"5"	"32"	"133"	"6"	"3"	"7"	"8"	"23"	"508"	""	""	""
"282"	"164"	"229"	"122"	"13"	"49"	"6"	"0"	"1"	"7"	"5"	"5"	"437"	""	""	""
"283"	"165"	"192"	"144"	"11"	"14"	"3"	"2"	"1"	"7"	"12"	"8"	"394"	""	""	""
"284"	"166"	"142"	"241"	"11"	"23"	"8"	"0"	"2"	"1"	"3"	"3"	"434"	""	""	""
"285"	"166d"	"188"	"112"	"17"	"43"	"16"	"2"	"2"	"9"	"16"	"22"	"427"	""	""	""
"286"	"167"	"153"	"149"	"3"	"5"	"1"	"2"	"0"	"3"	"3"	"6"	"325"	""	""	""
"287"	";ksx%&"	"32628"	"5050"	"2194"	"14716"	"14560"	"900"	"896"	"1361"	"913"	"2664"	"75862"	""	""	""
"288"	""	""	""	""	""	""	""	""	""	""	""	""	"14th Round"	""	""
"289"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"292"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"293"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"294"	"iwoZ Ik`\"V dk
;ksx"	"32628"	"5050"	"2194"	"14716"	"14560"	"900"	"896"	"1361"	"913"	"2664"	"75862"	""	""	""
"295"	"168"	"179"	"13"	"11"	"58"	"6"	"5"	"7"	"10"	"3"	"42"	"334"	""	""	""
"296"	"169"	"165"	"180"	"99"	"50"	"8"	"6"	"6"	"12"	"2"	"9"	"537"	""	""	""
"297"	"170"	"209"	"21"	"40"	"66"	"70"	"6"	"11"	"17"	"7"	"26"	"473"	""	""	""
"298"	"171"	"435"	"96"	"6"	"51"	"8"	"5"	"3"	"13"	"11"	"29"	"657"	""	""	""
"299"	"172"	"113"	"30"	"27"	"164"	"72"	"10"	"14"	"11"	"5"	"13"	"459"	""	""	""
"300"	"172d"	"88"	"10"	"8"	"159"	"40"	"3"	"1"	"3"	"2"	"6"	"320"	""	""	""
"301"	"173"	"194"	"10"	"15"	"202"	"18"	"3"	"1"	"7"	"3"	"9"	"462"	""	""	""
"302"	"174"	"130"	"14"	"5"	"200"	"43"	"9"	"12"	"12"	"11"	"38"	"474"	""	""	""
"303"	"174d"	"82"	"7"	"5"	"117"	"18"	"4"	"6"	"5"	"5"	"8"	"257"	""	""	""
"304"	"175"	"175"	"8"	"33"	"217"	"15"	"5"	"10"	"16"	"5"	"23"	"507"	""	""	""
"305"	"176"	"170"	"12"	"11"	"265"	"87"	"9"	"17"	"16"	"20"	"39"	"646"	""	""	""
"306"	"177"	"292"	"13"	"16"	"35"	"38"	"5"	"3"	"7"	"5"	"17"	"431"	""	""	""
"307"	"178"	"251"	"14"	"9"	"89"	"19"	"3"	"4"	"4"	"4"	"33"	"430"	""	""	""
"308"	"179"	"264"	"14"	"11"	"49"	"49"	"10"	"10"	"6"	"5"	"13"	"431"	""	""	""
"309"	";ksx%&"	"35375"	"5492"	"2490"	"16438"	"15051"	"983"	"1001"	"1500"	"1001"	"2949"	"82280"	""	""	""
"310"	""	""	""	""	""	""	""	""	""	""	""	""	"15th Round"	""	""
"311"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"314"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"315"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"316"	"iwoZ Ik`\"V dk
;ksx"	"35375"	"5552"	"2490"	"16438"	"15051"	"983"	"1001"	"1500"	"1001"	"2949"	"82280"	""	""	""
"317"	"179d"	"161"	"5"	"43"	"36"	"70"	"5"	"30"	"4"	"4"	"12"	"370"	""	""	""
"318"	"180"	"333"	"11"	"4"	"57"	"66"	"3"	"10"	"1"	"2"	"7"	"494"	""	""	""
"319"	"181"	"279"	"11"	"11"	"93"	"13"	"16"	"6"	"7"	"6"	"13"	"455"	""	""	""
"320"	"182"	"214"	"56"	"12"	"77"	"15"	"7"	"6"	"5"	"11"	"24"	"427"	""	""	""
"321"	"183"	"280"	"32"	"14"	"106"	"17"	"4"	"13"	"16"	"8"	"27"	"517"	""	""	""
"322"	"184"	"239"	"17"	"21"	"196"	"18"	"8"	"14"	"17"	"11"	"55"	"596"	""	""	""
"323"	"185"	"201"	"14"	"42"	"97"	"22"	"5"	"5"	"9"	"11"	"28"	"434"	""	""	""
"324"	"186"	"77"	"72"	"124"	"72"	"10"	"4"	"9"	"13"	"5"	"5"	"391"	""	""	""
"325"	"187"	"117"	"6"	"52"	"128"	"26"	"4"	"8"	"5"	"4"	"12"	"362"	""	""	""
"326"	"188"	"18"	"8"	"344"	"15"	"8"	"3"	"11"	"9"	"2"	"7"	"425"	""	""	""
"327"	"189"	"111"	"36"	"106"	"90"	"17"	"13"	"9"	"8"	"4"	"9"	"403"	""	""	""
"328"	"190"	"177"	"6"	"9"	"29"	"242"	"9"	"9"	"8"	"11"	"43"	"543"	""	""	""
"329"	"191"	"184"	"103"	"9"	"44"	"22"	"5"	"2"	"7"	"4"	"18"	"398"	""	""	""
"330"	"192"	"155"	"89"	"11"	"110"	"4"	"0"	"4"	"2"	"5"	"17"	"397"	""	""	""
"331"	";ksx%&"	"37921"	"6018"	"3292"	"17588"	"15601"	"1069"	"1137"	"1611"	"1089"	"3226"	"88492"	""	""	""
"332"	""	""	""	""	""	""	""	""	""	""	""	""	"16Th Round"	""	""
"333"	"34&j?kqukFkiqj fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Hkkx&1                     &                  fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"ernku dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"336"	""	"txekrksa nsoh"	"tkosn csx"	"foØe dqvj"	"fot; 'kadj nwcs"	"de:y gd"	"egs'k flag"	"dkes'oj ek>h"	"dk'kh flag"	"cPpk flag"	"lquhy dqekj flag"	""	""	""	""
"337"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"338"	"iwoZ Ik`\"V dk
;ksx"	"37921"	"6018"	"3292"	"17588"	"15601"	"1069"	"1137"	"1611"	"1089"	"3246"	"88492"	""	""	""
"339"	"193"	"151"	"87"	"27"	"190"	"23"	"17"	"13"	"22"	"6"	"27"	"563"	""	""	""
"340"	"194"	"95"	"245"	"30"	"94"	"11"	"2"	"11"	"18"	"22"	"24"	"552"	""	""	""
"341"	"195"	"161"	"7"	"48"	"317"	"14"	"6"	"6"	"6"	"2"	"6"	"573"	""	""	""
"342"	"196"	"293"	"27"	"9"	"86"	"99"	"8"	"8"	"22"	"5"	"20"	"577"	""	""	""
"343"	"197"	"334"	"49"	"18"	"90"	"9"	"4"	"4"	"6"	"6"	"24"	"544"	""	""	""
"344"	"198"	"74"	"127"	"28"	"130"	"15"	"6"	"9"	"14"	"7"	"28"	"438"	""	""	""
"345"	"198d"	"57"	"158"	"5"	"34"	"5"	"4"	"3"	"8"	"10"	"10"	"294"	""	""	""
"346"	"199"	"251"	"133"	"19"	"49"	"21"	"4"	"8"	"10"	"4"	"10"	"509"	""	""	""
"347"	"200"	"291"	"70"	"11"	"67"	"12"	"2"	"9"	"16"	"7"	"37"	"522"	""	""	""
"348"	"201"	"166"	"91"	"40"	"97"	"16"	"6"	"5"	"4"	"4"	"7"	"436"	""	""	""
"349"	"202"	"19"	"3"	"2"	"142"	"153"	"9"	"8"	"5"	"4"	"12"	"357"	""	""	""
"350"	"203"	"104"	"31"	"27"	"176"	"116"	"7"	"11"	"15"	"10"	"33"	"530"	""	""	""
"351"	";ksx%&"	"39917"	"7046"	"3556"	"19060"	"16095"	"1144"	"1232"	"1757"	"1176"	"3484"	"94387"	""	""	""
