"fuokZpu.lapkyu.fu.e.1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"pdz&izFke        fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"198"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"200"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"201"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"202"	"98"	"20"	""	"6"	"287"	"178"	"16"	"13"	"7"	"527"	"-"	"527"	""
"203"	"99"	"-"	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""
"204"	"100"	"4"	""	"4"	"37"	"40"	"6"	"3"	"1"	"95"	"-"	"95"	""
"205"	"101"	"42"	""	"22"	"177"	"164"	"11"	"8"	"14"	"438"	"-"	"438"	""
"206"	"102"	"8"	""	"16"	"225"	"125"	"8"	"19"	"11"	"412"	"-"	"412"	""
"207"	"103"	"77"	""	"16"	"292"	"161"	"14"	"12"	"16"	"588"	"-"	"588"	""
"208"	"104"	"30"	""	"13"	"101"	"267"	"25"	"19"	"25"	"480"	"-"	"480"	""
"209"	"105"	"67"	""	"11"	"243"	"185"	"25"	"10"	"18"	"559"	"-"	"559"	""
"210"	"106"	"18"	""	"8"	"87"	"301"	"12"	"5"	"7"	"438"	"-"	"438"	""
"211"	"107"	"30"	""	"18"	"211"	"200"	"11"	"7"	"8"	"485"	"-"	"485"	""
"212"	"108"	"69"	""	"13"	"419"	"156"	"14"	"5"	"11"	"687"	"-"	"687"	""
"213"	"109"	"78"	""	"11"	"249"	"231"	"25"	"14"	"16"	"624"	"-"	"624"	""
"214"	"110"	"26"	""	"23"	"363"	"158"	"16"	"13"	"8"	"607"	"-"	"607"	""
"215"	"111"	"82"	""	"26"	"163"	"302"	"28"	"13"	"32"	"646"	"-"	"646"	""
"216"	";kssxssx"	"551"	""	"187"	"2854"	"2468"	"211"	"141"	"174"	"6586"	"-"	"6586"	""
"217"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"pdz&n'ke         fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"225"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  ssussu"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"226"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"227"	"112"	"105"	""	"55"	"323"	"189"	"18"	"10"	"12"	"712"	"-"	"712"	""
"228"	"113"	"8"	""	"12"	"244"	"182"	"9"	"3"	"6"	"464"	"-"	"464"	""
"229"	"114"	"53"	""	"30"	"289"	"148"	"12"	"7"	"9"	"548"	"-"	"548"	""
"230"	"115"	"68"	""	"18"	"254"	"140"	"16"	"8"	"11"	"515"	"-"	"515"	""
"231"	"116"	"49"	""	"19"	"137"	"133"	"8"	"3"	"2"	"351"	"-"	"351"	""
"232"	"117"	"8"	""	"2"	"185"	"170"	"6"	"5"	"4"	"380"	"-"	"380"	""
"233"	"117"	"40"	""	"15"	"250"	"153"	"17"	"13"	"14"	"502"	"-"	"502"	""
"234"	"118"	"47"	""	"8"	"192"	"122"	"8"	"3"	"8"	"388"	"-"	"388"	""
"235"	"118"	"80"	""	"4"	"96"	"250"	"9"	"10"	"5"	"454"	"-"	"454"	""
"236"	"119"	"36"	""	"5"	"248"	"74"	"4"	"1"	"3"	"371"	"-"	"371"	""
"237"	"120"	"14"	""	"8"	"170"	"125"	"12"	"6"	"10"	"345"	"-"	"345"	""
"238"	"120"	"41"	""	"11"	"148"	"234"	"12"	"8"	"11"	"465"	"-"	"465"	""
"239"	"121"	"36"	""	"16"	"172"	"264"	"22"	"16"	"17"	"543"	"-"	"543"	""
"240"	"122"	"19"	""	"17"	"148"	"282"	"16"	"5"	"7"	"494"	"-"	"494"	""
"241"	";kssxssx"	"604"	""	"220"	"2856"	"2466"	"169"	"98"	"119"	"6532"	"-"	"6532"	""
"242"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"pdz&X;kjgokWa   fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"4&xkssissikyxat laalaalnh; fuokZZpZZpu {kss=ss= essaassaa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {kss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"250"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYYqq ykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"251"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"252"	"123"	"31"	""	"8"	"190"	"244"	"20"	"10"	"22"	"525"	"-"	"525"	""
"253"	"124"	"26"	""	"2"	"118"	"109"	"8"	"5"	"10"	"278"	"-"	"278"	""
"254"	"125"	"145"	""	"11"	"225"	"148"	"14"	"8"	"10"	"561"	"-"	"561"	""
"255"	"126"	"20"	""	"7"	"194"	"292"	"10"	"9"	"6"	"538"	"-"	"538"	""
"256"	"127"	"90"	""	"11"	"288"	"17"	"13"	"4"	"7"	"430"	"-"	"430"	""
"257"	"127"	"221"	""	"5"	"79"	"69"	"5"	"5"	"11"	"395"	"-"	"395"	""
"258"	"128"	"228"	""	"12"	"86"	"63"	"6"	"3"	"10"	"408"	"-"	"408"	""
"259"	"128"	"302"	""	"7"	"64"	"13"	"3"	"2"	"9"	"400"	"-"	"400"	""
"260"	"129"	"44"	""	"13"	"197"	"180"	"18"	"9"	"15"	"476"	"-"	"476"	""
"261"	"130"	"57"	""	"10"	"310"	"116"	"18"	"8"	"6"	"525"	"-"	"525"	""
"262"	"131"	"163"	""	"5"	"139"	"50"	"3"	"0"	"5"	"365"	"-"	"365"	""
"263"	"132"	"54"	""	"20"	"292"	"94"	"7"	"2"	"4"	"473"	"-"	"473"	""
"264"	"132"	"23"	""	"10"	"229"	"131"	"15"	"10"	"5"	"423"	"-"	"423"	""
"265"	"133"	"85"	""	"20"	"270"	"208"	"15"	"12"	"18"	"628"	"-"	"628"	""
"266"	";kssxssx"	"1489"	""	"141"	"2681"	"1734"	"155"	"87"	"138"	"6425"	"-"	"6425"	""
"267"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"¼fu;e 56 ch0 7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"pdz&ckjgokWa      fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"275"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"276"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"277"	"134"	"29"	""	"113"	"100"	"126"	"9"	"18"	"20"	"415"	"-"	"415"	""
"278"	"135"	"10"	""	"11"	"187"	"113"	"6"	"4"	"7"	"338"	"-"	"338"	""
"279"	"135"	"33"	""	"6"	"191"	"210"	"11"	"5"	"5"	"461"	"-"	"461"	""
"280"	"136"	"12"	""	"15"	"133"	"223"	"10"	"6"	"5"	"404"	"-"	"404"	""
"281"	"136"	"13"	""	"4"	"141"	"89"	"10"	"9"	"13"	"279"	"-"	"279"	""
"282"	"137"	"20"	""	"30"	"211"	"302"	"36"	"17"	"17"	"633"	"-"	"633"	""
"283"	"138"	"23"	""	"15"	"229"	"156"	"20"	"11"	"30"	"484"	"-"	"484"	""
"284"	"139"	"46"	""	"75"	"134"	"209"	"11"	"20"	"24"	"519"	"-"	"519"	""
"285"	"140"	"17"	""	"17"	"220"	"400"	"33"	"20"	"15"	"722"	"-"	"722"	""
"286"	"141"	"2"	""	"14"	"126"	"347"	"8"	"1"	"3"	"501"	"-"	"501"	""
"287"	"142"	"6"	""	"9"	"66"	"240"	"12"	"5"	"10"	"348"	"-"	"348"	""
"288"	"143"	"32"	""	"33"	"234"	"225"	"11"	"7"	"8"	"550"	"-"	"550"	""
"289"	"144"	"13"	""	"2"	"92"	"344"	"13"	"9"	"5"	"478"	"-"	"478"	""
"290"	"145"	"9"	""	"25"	"97"	"374"	"19"	"19"	"23"	"566"	"-"	"566"	""
"291"	";kssxssx"	"265"	""	"369"	"2161"	"3358"	"209"	"151"	"185"	"6698"	"-"	"6698"	""
"292"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"pdz&rsjgokW     fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k essaassaa fn, x, erkssaassaa dh la[;k ,oaaaa vH;fFkZZ;ZZ;kssaassaa dssss uke"	""	""	""	""	""	""	""	""	""
"300"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"301"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"302"	"146"	"54"	""	"30"	"275"	"315"	"10"	"13"	"17"	"714"	"-"	"714"	""
"303"	"147"	"44"	""	"10"	"224"	"200"	"20"	"8"	"12"	"518"	"-"	"518"	""
"304"	"148"	"27"	""	"26"	"476"	"102"	"11"	"8"	"``1``13"	"663"	"-"	"663"	""
"305"	"149"	"23"	""	"10"	"251"	"158"	"25"	"15"	"24"	"506"	"-"	"506"	""
"306"	"150"	"24"	""	"14"	"161"	"235"	"14"	"12"	"11"	"471"	"-"	"471"	""
"307"	"151"	"40"	""	"19"	"251"	"78"	"5"	"8"	"9"	"410"	"-"	"410"	""
"308"	"152"	"29"	""	"21"	"157"	"428"	"22"	"16"	"35"	"708"	"-"	"708"	""
"309"	"153"	"9"	""	"25"	"310"	"48"	"8"	"6"	"6"	"412"	"-"	"412"	""
"310"	"154"	"10"	""	"7"	"282"	"227"	"15"	"15"	"16"	"572"	"-"	"572"	""
"311"	"155"	"81"	""	"51"	"210"	"197"	"27"	"20"	"25"	"611"	"-"	"611"	""
"312"	"156"	"133"	""	"30"	"203"	"245"	"37"	"12"	"14"	"674"	"-"	"674"	""
"313"	"157"	"51"	""	"28"	"77"	"144"	"9"	"17"	"8"	"334"	"-"	"334"	""
"314"	"157"	"24"	""	"7"	"54"	"247"	"17"	"11"	"14"	"374"	"-"	"374"	""
"315"	"158"	"67"	""	"40"	"234"	"210"	"10"	"9"	"11"	"581"	"-"	"581"	""
"316"	";kssxssx"	"616"	""	"318"	"3165"	"2834"	"230"	"170"	"215"	"7548"	"-"	"7548"	""
"317"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"pdz&pkSngokWa   fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"325"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYYqq ykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"326"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"327"	"159"	"39"	""	"45"	"99"	"344"	"34"	"32"	"17"	"610"	"-"	"610"	""
"328"	"160"	"45"	""	"35"	"240"	"93"	"11"	"11"	"8"	"443"	"-"	"443"	""
"329"	"161"	"48"	""	"40"	"72"	"208"	"38"	"20"	"25"	"451"	"-"	"451"	""
"330"	"162"	"27"	""	"45"	"62"	"232"	"26"	"15"	"18"	"425"	"-"	"425"	""
"331"	"162"	"26"	""	"4"	"31"	"162"	"9"	"6"	"1"	"239"	"-"	"239"	""
"332"	"163"	"16"	""	"19"	"166"	"194"	"13"	"7"	"12"	"427"	"-"	"427"	""
"333"	"163"	"52"	""	"5"	"88"	"154"	"9"	"2"	"8"	"318"	"-"	"318"	""
"334"	"164"	"23"	""	"13"	"357"	"92"	"14"	"9"	"8"	"516"	"-"	"516"	""
"335"	"165"	"19"	""	"8"	"148"	"426"	"19"	"12"	"7"	"639"	"-"	"639"	""
"336"	"166"	"25"	""	"22"	"191"	"215"	"24"	"33"	"25"	"535"	"-"	"535"	""
"337"	"167"	"11"	""	"22"	"120"	"235"	"13"	"12"	"10"	"423"	"-"	"423"	""
"338"	"168"	"42"	""	"9"	"100"	"188"	"13"	"9"	"14"	"375"	"-"	"375"	""
"339"	"169"	"33"	""	"16"	"92"	"222"	"5"	"8"	"19"	"395"	"-"	"395"	""
"340"	"170"	"24"	""	"22"	"211"	"87"	"6"	"6"	"10"	"366"	"-"	"366"	""
"341"	";kssxssx"	"430"	""	"305"	"1977"	"2852"	"234"	"182"	"182"	"6162"	"-"	"6162"	""
"342"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"pdz&iUnzgokWa   fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"4&xkssissikyxat lalalalalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"350"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  ssussu"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"351"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"352"	"171"	"30"	""	"47"	"227"	"166"	"30"	"10"	"25"	"535"	"-"	"535"	""
"353"	"172"	"37"	""	"24"	"95"	"269"	"21"	"22"	"14"	"482"	"-"	"482"	""
"354"	"173"	"45"	""	"28"	"189"	"72"	"7"	"11"	"8"	"360"	"-"	"360"	""
"355"	"174"	"6"	""	"3"	"191"	"25"	"38"	"1"	"2"	"266"	"-"	"266"	""
"356"	"175"	"53"	""	"23"	"476"	"86"	"12"	"33"	"9"	"692"	"-"	"692"	""
"357"	"176"	"57"	""	"16"	"291"	"232"	"11"	"11"	"14"	"632"	"-"	"632"	""
"358"	"177"	"79"	""	"23"	"161"	"263"	"8"	"8"	"14"	"556"	"-"	"556"	""
"359"	"178"	"39"	""	"8"	"171"	"108"	"16"	"8"	"9"	"359"	"-"	"359"	""
"360"	"179"	"60"	""	"12"	"238"	"118"	"7"	"3"	"3"	"441"	"-"	"441"	""
"361"	"180"	"11"	""	"17"	"153"	"91"	"10"	"2"	"2"	"286"	"-"	"286"	""
"362"	"181"	"46"	""	"48"	"362"	"22"	"10"	"8"	"11"	"507"	"-"	"507"	""
"363"	"182"	"12"	""	"9"	"135"	"188"	"15"	"10"	"15"	"384"	"-"	"384"	""
"364"	"183"	"37"	""	"13"	"233"	"192"	"13"	"14"	"15"	"517"	"-"	"517"	""
"365"	"184"	"16"	""	"22"	"282"	"276"	"10"	"11"	"4"	"621"	"-"	"621"	""
"366"	";kssxssx"	"528"	""	"293"	"3204"	"2108"	"208"	"152"	"145"	"6638"	"-"	"6638"	""
"367"	"fuokZpu lapkyu fu;e 1961"	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"¼fu;e 56 ch0 ¼7½ nsf[k;s½"	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"vafre ifj.kke                                  fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"pdz&lksygokW  fu;e 59, ds v/khu fofufnZ\"V fuokZpu {k=s"	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"ds ernku dsUnzkas ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd;s tkus gsrq"	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"4&xkssissikyxat laalaalnh; fuokZZpZZpu {k=ss==ss= esasasasa lekfo\"V 25&cjkSSySSyh fo/kku lHkk fuokZZpZZpu {k=ss==ss= dssss fy, fuokZZpZZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"ernku
dssUssUnzzzz la[;k"	""	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""
"375"	""	"vkQrkc vkye"	""	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"376"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"377"	"185"	"42"	""	"9"	"142"	"266"	"11"	"12"	"11"	"493"	"-"	"493"	""
"378"	"186"	"8"	""	"10"	"107"	"292"	"13"	"9"	"12"	"451"	"-"	"451"	""
"379"	"187"	"39"	""	"14"	"120"	"373"	"16"	"17"	"21"	"600"	"-"	"600"	""
"380"	"188"	"19"	""	"10"	"251"	"130"	"15"	"5"	"6"	"436"	"-"	"436"	""
"381"	"189"	"38"	""	"38"	"106"	"140"	"11"	"2"	"15"	"350"	"-"	"350"	""
"382"	"ikssLssLVy cSSySSyssVssV"	"Nil"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"3"	"3"	""
"383"	";kssxssx"	"146"	""	"81"	"726"	"1201"	"66"	"45"	"65"	"2330"	"3"	"2333"	""
"384"	"g0@&"	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"fuokZZpZZph inkf/kdkjh] 25&cjkSSySSyh] xkssissikyxat A"	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"¼vafre i``\"``\"B ½"	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"pdozzozz"	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"kj erkssaasasa dh x.kuk dssss izzRzzR;ssdssd pdzzzz dk ;kssxssx"	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"izzRzzR;ssdssd pdzzzz dk lkjka'k"	""	"vH;FkhZZZZ dssss i{k esasasasa fn, x, erksasasasa dh la[;k ,oaaaa vH;fFkZZ;ZZ;ksasasasa dssss uke"	""	""	""	""	""	""	""	""	""	""
"390"	""	""	"vkQrkc vkye"	"rlyhe teky"	"ekss0ss0 ussessekrqqYqqYykg"	"jke izzozzoss'ss'k jk;"	"t;ukFk izz0zz0
;kno"	"tssMssM jgeku"	"ckcqqqq glqqlqq  u"	"cSS)SS) erkssaassaa dk
;kssxssx"	"vLohdr``r`` erkssss dh la[;k"	";kssxssx"	"fufonRr
erkssaassaa dh la[;k"
"391"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"392"	"izzFzzFke pd"	""	"759"	"297"	"2000"	"2606"	"209"	"122"	"177"	"6170"	""	"6170"	""
