"izk.i....20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"210"	"107"	"31"	"24"	"219"	"15"	"4"	"1"	"6"	"33"	"3"	"336"	"0"	"336"	"0"
"211"	"107 d"	"65"	"13"	"86"	"7"	"3"	"0"	"2"	"31"	"4"	"211"	"0"	"211"	"0"
"212"	"108"	"67"	"3"	"222"	"51"	"1"	"3"	"2"	"8"	"1"	"358"	"0"	"358"	"0"
"213"	"pdz ;ksx"	"938"	"258"	"2617"	"644"	"36"	"37"	"34"	"115"	"54"	"4733"	"0"	"4733"	"0"
"214"	";ksx"	"21023"	"2634"	"24838"	"5178"	"494"	"409"	"419"	"1603"	"1527"	"58125"	"0"	"58125"	"0"
"215"	"Round No.         10"	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"220"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"221"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"222"	"fiNys i`\"B dk
;ksx"	"21023"	"2634"	"24838"	"5178"	"494"	"409"	"419"	"1603"	"1527"	"58125"	"0"	"58125"	"0"
"223"	"109"	"95"	"46"	"174"	"28"	"3"	"0"	"2"	"8"	"4"	"360"	"0"	"360"	"0"
"224"	"110"	"40"	"2"	"89"	"164"	"5"	"3"	"3"	"7"	"15"	"328"	"0"	"328"	"0"
"225"	"111"	"199"	"69"	"168"	"4"	"0"	"0"	"4"	"3"	"1"	"448"	"0"	"448"	"0"
"226"	"111 d"	"69"	"64"	"61"	"1"	"2"	"0"	"2"	"4"	"3"	"206"	"0"	"206"	"0"
"227"	"112"	"67"	"46"	"364"	"50"	"7"	"6"	"7"	"10"	"11"	"568"	"0"	"568"	"0"
"228"	"113"	"217"	"107"	"143"	"27"	"2"	"6"	"3"	"6"	"7"	"518"	"0"	"518"	"0"
"229"	"114"	"165"	"6"	"327"	"82"	"2"	"6"	"15"	"30"	"13"	"646"	"0"	"646"	"0"
"230"	"115"	"375"	"14"	"44"	"4"	"1"	"1"	"4"	"1"	"20"	"464"	"0"	"464"	"0"
"231"	"116"	"305"	"20"	"161"	"11"	"1"	"2"	"2"	"21"	"5"	"528"	"0"	"528"	"0"
"232"	"117"	"59"	"54"	"365"	"7"	"1"	"8"	"2"	"11"	"10"	"517"	"0"	"517"	"0"
"233"	"118"	"96"	"97"	"261"	"28"	"3"	"2"	"5"	"17"	"5"	"514"	"0"	"514"	"0"
"234"	"119"	"311"	"7"	"16"	"29"	"1"	"1"	"0"	"2"	"5"	"372"	"0"	"372"	"0"
"235"	"120"	"362"	"9"	"34"	"7"	"5"	"3"	"3"	"1"	"4"	"428"	"0"	"428"	"0"
"236"	"120 d"	"90"	"7"	"41"	"4"	"0"	"2"	"1"	"3"	"5"	"153"	"0"	"153"	"0"
"237"	"pdz ;ksx"	"2450"	"548"	"2248"	"446"	"33"	"40"	"53"	"124"	"108"	"6050"	"0"	"6050"	"0"
"238"	";ksx"	"23473"	"3182"	"27086"	"5624"	"527"	"449"	"472"	"1727"	"1635"	"64175"	"0"	"64175"	"0"
"239"	"Round No.         11"	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"244"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"245"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"246"	"fiNys i`\"B dk
;ksx"	"23473"	"3182"	"27086"	"5624"	"527"	"449"	"472"	"1727"	"1635"	"64175"	"0"	"64175"	"0"
"247"	"121"	"99"	"50"	"403"	"49"	"2"	"5"	"13"	"22"	"12"	"655"	"0"	"655"	"0"
"248"	"122"	"76"	"15"	"196"	"10"	"1"	"2"	"2"	"10"	"2"	"314"	"0"	"314"	"0"
"249"	"123"	"265"	"31"	"155"	"20"	"1"	"6"	"3"	"4"	"6"	"491"	"0"	"491"	"0"
"250"	"124"	"90"	"149"	"216"	"4"	"1"	"0"	"5"	"8"	"5"	"478"	"0"	"478"	"0"
"251"	"125"	"18"	"6"	"238"	"85"	"6"	"8"	"12"	"8"	"20"	"401"	"0"	"401"	"0"
"252"	"126"	"27"	"26"	"377"	"54"	"2"	"4"	"7"	"3"	"3"	"503"	"0"	"503"	"0"
"253"	"126 d"	"113"	"14"	"151"	"30"	"2"	"2"	"2"	"2"	"2"	"318"	"0"	"318"	"0"
"254"	"127"	"280"	"20"	"54"	"69"	"8"	"7"	"5"	"9"	"73"	"525"	"0"	"525"	"0"
"255"	"128"	"264"	"11"	"71"	"133"	"4"	"3"	"2"	"3"	"14"	"505"	"0"	"505"	"0"
"256"	"129"	"173"	"6"	"252"	"4"	"0"	"4"	"3"	"7"	"6"	"455"	"0"	"455"	"0"
"257"	"130"	"167"	"228"	"142"	"29"	"6"	"3"	"7"	"10"	"11"	"603"	"0"	"603"	"0"
"258"	"131"	"77"	"52"	"205"	"123"	"6"	"2"	"2"	"10"	"6"	"483"	"0"	"483"	"0"
"259"	"132"	"141"	"28"	"194"	"46"	"1"	"3"	"4"	"6"	"1"	"424"	"0"	"424"	"0"
"260"	"133"	"68"	"31"	"147"	"61"	"1"	"0"	"2"	"1"	"0"	"311"	"0"	"311"	"0"
"261"	"pdz ;ksx"	"1858"	"667"	"2801"	"717"	"41"	"49"	"69"	"103"	"161"	"6466"	"0"	"6466"	"0"
"262"	";ksx"	"25331"	"3849"	"29887"	"6341"	"568"	"498"	"541"	"1830"	"1796"	"70641"	"0"	"70641"	"0"
"263"	"Round No.         12"	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"268"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"269"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"270"	"fiNys i`\"B dk
;ksx"	"25331"	"3849"	"29887"	"6341"	"568"	"498"	"541"	"1830"	"1796"	"70641"	"0"	"70641"	"0"
"271"	"134"	"357"	"8"	"33"	"5"	"0"	"1"	"0"	"3"	"28"	"435"	"0"	"435"	"0"
"272"	"135"	"226"	"16"	"155"	"16"	"0"	"1"	"3"	"3"	"21"	"441"	"0"	"441"	"0"
"273"	"136"	"92"	"1"	"29"	"11"	"0"	"0"	"2"	"1"	"229"	"365"	"0"	"365"	"0"
"274"	"137"	"60"	"0"	"64"	"190"	"4"	"1"	"0"	"0"	"29"	"348"	"0"	"348"	"0"
"275"	"138"	"92"	"35"	"100"	"55"	"3"	"1"	"0"	"4"	"25"	"315"	"0"	"315"	"0"
"276"	"139"	"94"	"4"	"208"	"159"	"2"	"2"	"4"	"15"	"81"	"569"	"0"	"569"	"0"
"277"	"140"	"108"	"92"	"212"	"132"	"4"	"0"	"2"	"1"	"5"	"556"	"0"	"556"	"0"
"278"	"141"	"110"	"14"	"134"	"92"	"1"	"1"	"2"	"2"	"7"	"363"	"0"	"363"	"0"
"279"	"142"	"108"	"29"	"68"	"69"	"3"	"2"	"1"	"11"	"3"	"294"	"0"	"294"	"0"
"280"	"143"	"109"	"121"	"161"	"65"	"6"	"5"	"6"	"20"	"10"	"503"	"0"	"503"	"0"
"281"	"144"	"64"	"5"	"215"	"59"	"28"	"8"	"6"	"8"	"15"	"408"	"0"	"408"	"0"
"282"	"144 d"	"6"	"1"	"169"	"13"	"3"	"2"	"6"	"0"	"21"	"221"	"0"	"221"	"0"
"283"	"145"	"107"	"29"	"392"	"47"	"11"	"6"	"13"	"11"	"11"	"627"	"0"	"627"	"0"
"284"	"145 d"	"26"	"2"	"123"	"4"	"0"	"0"	"3"	"6"	"3"	"167"	"0"	"167"	"0"
"285"	"pdz ;ksx"	"1559"	"357"	"2063"	"917"	"65"	"30"	"48"	"85"	"488"	"5612"	"0"	"5612"	"0"
"286"	";ksx"	"26890"	"4206"	"31950"	"7258"	"633"	"528"	"589"	"1915"	"2284"	"76253"	"0"	"76253"	"0"
"287"	"Round No.         13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"292"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"293"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"294"	"fiNys i`\"B dk
;ksx"	"26890"	"4206"	"31950"	"7258"	"633"	"528"	"589"	"1915"	"2284"	"76253"	"0"	"76253"	"0"
"295"	"146"	"28"	"41"	"234"	"66"	"10"	"1"	"4"	"7"	"3"	"394"	"0"	"394"	"0"
"296"	"147"	"109"	"5"	"166"	"96"	"82"	"6"	"2"	"10"	"3"	"479"	"0"	"479"	"0"
"297"	"148"	"210"	"18"	"221"	"34"	"3"	"5"	"6"	"5"	"13"	"515"	"0"	"515"	"0"
"298"	"148 d"	"71"	"50"	"53"	"7"	"5"	"1"	"2"	"5"	"7"	"201"	"0"	"201"	"0"
"299"	"149"	"94"	"8"	"273"	"155"	"12"	"6"	"4"	"10"	"16"	"578"	"0"	"578"	"0"
"300"	"150"	"13"	"19"	"344"	"25"	"1"	"0"	"1"	"2"	"6"	"411"	"0"	"411"	"0"
"301"	"151"	"154"	"16"	"91"	"76"	"7"	"11"	"13"	"21"	"48"	"437"	"0"	"437"	"0"
"302"	"152"	"342"	"6"	"17"	"39"	"4"	"3"	"1"	"1"	"4"	"417"	"0"	"417"	"0"
"303"	"153"	"232"	"6"	"126"	"17"	"1"	"5"	"4"	"7"	"97"	"495"	"0"	"495"	"0"
"304"	"154"	"114"	"35"	"268"	"12"	"5"	"0"	"1"	"3"	"8"	"446"	"0"	"446"	"0"
"305"	"155"	"92"	"3"	"371"	"27"	"7"	"5"	"6"	"9"	"9"	"529"	"0"	"529"	"0"
"306"	"156"	"131"	"4"	"272"	"44"	"9"	"6"	"6"	"8"	"45"	"525"	"0"	"525"	"0"
"307"	"157"	"154"	"17"	"180"	"14"	"4"	"2"	"8"	"4"	"3"	"386"	"0"	"386"	"0"
"308"	"158"	"58"	"5"	"290"	"25"	"15"	"2"	"4"	"12"	"2"	"413"	"0"	"413"	"0"
"309"	"pdz ;ksx"	"1802"	"233"	"2906"	"637"	"165"	"53"	"62"	"104"	"264"	"6226"	"0"	"6226"	"0"
"310"	";ksx"	"28692"	"4439"	"34856"	"7895"	"798"	"581"	"651"	"2019"	"2548"	"82479"	"0"	"82479"	"0"
"311"	"Round No.         14"	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"316"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"317"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"318"	"fiNys i`\"B dk
;ksx"	"28692"	"4439"	"34856"	"7895"	"798"	"581"	"651"	"2019"	"2548"	"82479"	"0"	"82479"	"0"
"319"	"158 d"	"8"	"3"	"206"	"86"	"6"	"2"	"5"	"15"	"5"	"336"	"0"	"336"	"0"
"320"	"159"	"74"	"35"	"257"	"54"	"5"	"3"	"3"	"3"	"10"	"444"	"0"	"444"	"0"
"321"	"160"	"272"	"34"	"132"	"80"	"14"	"3"	"0"	"5"	"23"	"563"	"0"	"563"	"0"
"322"	"161"	"267"	"37"	"247"	"8"	"5"	"3"	"7"	"2"	"15"	"591"	"0"	"591"	"0"
"323"	"162"	"144"	"13"	"175"	"94"	"5"	"4"	"2"	"9"	"11"	"457"	"0"	"457"	"0"
"324"	"163"	"209"	"25"	"162"	"92"	"6"	"5"	"0"	"9"	"13"	"521"	"0"	"521"	"0"
"325"	"164"	"144"	"23"	"336"	"118"	"5"	"7"	"1"	"16"	"6"	"656"	"0"	"656"	"0"
"326"	"165"	"76"	"1"	"204"	"84"	"6"	"7"	"4"	"6"	"6"	"394"	"0"	"394"	"0"
"327"	"166"	"55"	"8"	"323"	"59"	"0"	"3"	"6"	"11"	"11"	"476"	"0"	"476"	"0"
"328"	"166 d"	"67"	"4"	"199"	"18"	"2"	"3"	"3"	"6"	"4"	"306"	"0"	"306"	"0"
"329"	"167"	"194"	"31"	"307"	"11"	"10"	"18"	"12"	"47"	"29"	"659"	"0"	"659"	"0"
"330"	"168"	"107"	"3"	"202"	"3"	"2"	"3"	"3"	"11"	"4"	"338"	"0"	"338"	"0"
"331"	"169"	"364"	"16"	"66"	"124"	"5"	"13"	"5"	"13"	"24"	"630"	"0"	"630"	"0"
"332"	"170"	"51"	"12"	"124"	"65"	"5"	"2"	"1"	"27"	"21"	"308"	"0"	"308"	"0"
"333"	"pdz ;ksx"	"2032"	"245"	"2940"	"896"	"76"	"76"	"52"	"180"	"182"	"6679"	"0"	"6679"	"0"
"334"	";ksx"	"30724"	"4684"	"37796"	"8791"	"874"	"657"	"703"	"2199"	"2730"	"89158"	"0"	"89158"	"0"
"335"	"Round No.         15"	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"340"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"341"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"342"	"fiNys i`\"B dk
;ksx"	"30724"	"4684"	"37796"	"8791"	"874"	"657"	"703"	"2199"	"2730"	"89158"	"0"	"89158"	"0"
"343"	"171"	"134"	"6"	"252"	"23"	"0"	"2"	"2"	"10"	"1"	"430"	"0"	"430"	"0"
"344"	"172"	"192"	"7"	"254"	"76"	"7"	"5"	"9"	"91"	"14"	"655"	"0"	"655"	"0"
"345"	"173"	"141"	"5"	"311"	"58"	"11"	"6"	"10"	"5"	"11"	"558"	"0"	"558"	"0"
"346"	"174"	"75"	"64"	"154"	"52"	"1"	"1"	"0"	"0"	"2"	"349"	"0"	"349"	"0"
"347"	"174 d"	"94"	"32"	"83"	"7"	"2"	"2"	"2"	"2"	"2"	"226"	"0"	"226"	"0"
"348"	"175"	"73"	"41"	"279"	"32"	"2"	"3"	"2"	"6"	"3"	"441"	"0"	"441"	"0"
"349"	"176"	"48"	"61"	"286"	"15"	"4"	"5"	"6"	"6"	"7"	"438"	"0"	"438"	"0"
"350"	"177"	"43"	"21"	"385"	"60"	"1"	"3"	"4"	"4"	"8"	"529"	"0"	"529"	"0"
"351"	"178"	"300"	"17"	"217"	"100"	"6"	"8"	"7"	"6"	"4"	"665"	"0"	"665"	"0"
"352"	"179"	"52"	"2"	"220"	"106"	"3"	"1"	"1"	"8"	"16"	"409"	"0"	"409"	"0"
"353"	"180"	"31"	"2"	"175"	"21"	"0"	"3"	"1"	"4"	"5"	"242"	"0"	"242"	"0"
"354"	"181"	"38"	"12"	"296"	"6"	"1"	"5"	"5"	"7"	"6"	"376"	"0"	"376"	"0"
"355"	"182"	"91"	"4"	"180"	"1"	"1"	"2"	"2"	"5"	"3"	"289"	"0"	"289"	"0"
"356"	"183"	"104"	"2"	"210"	"6"	"2"	"1"	"1"	"2"	"1"	"329"	"0"	"329"	"0"
"357"	"pdz ;ksx"	"1416"	"276"	"3302"	"563"	"41"	"47"	"52"	"156"	"83"	"5936"	"0"	"5936"	"0"
"358"	";ksx"	"32140"	"4960"	"41098"	"9354"	"915"	"704"	"755"	"2355"	"2813"	"95094"	"0"	"95094"	"0"
"359"	"Round No.         16"	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"364"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"365"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"366"	"fiNys i`\"B dk
;ksx"	"32140"	"4960"	"41098"	"9354"	"915"	"704"	"755"	"2355"	"2813"	"95094"	"0"	"95094"	"0"
"367"	"184"	"34"	"12"	"261"	"10"	"1"	"2"	"2"	"6"	"5"	"333"	"0"	"333"	"0"
"368"	"185"	"39"	"10"	"317"	"3"	"2"	"12"	"1"	"2"	"3"	"389"	"0"	"389"	"0"
"369"	"186"	"59"	"3"	"229"	"6"	"1"	"7"	"0"	"1"	"0"	"306"	"0"	"306"	"0"
"370"	"186 d"	"20"	"1"	"119"	"0"	"8"	"4"	"0"	"0"	"1"	"153"	"0"	"153"	"0"
"371"	"187"	"70"	"2"	"142"	"14"	"3"	"5"	"1"	"3"	"2"	"242"	"0"	"242"	"0"
"372"	"188"	"205"	"33"	"337"	"122"	"8"	"9"	"2"	"7"	"15"	"738"	"0"	"738"	"0"
"373"	"189"	"146"	"29"	"576"	"19"	"6"	"5"	"4"	"7"	"6"	"798"	"0"	"798"	"0"
"374"	"190"	"145"	"70"	"201"	"68"	"10"	"3"	"5"	"5"	"3"	"510"	"0"	"510"	"0"
"375"	"191"	"60"	"59"	"399"	"7"	"6"	"0"	"3"	"1"	"2"	"537"	"0"	"537"	"0"
"376"	"192"	"40"	"7"	"644"	"15"	"4"	"0"	"1"	"2"	"2"	"715"	"0"	"715"	"0"
"377"	"193"	"283"	"120"	"205"	"12"	"7"	"3"	"6"	"25"	"15"	"676"	"0"	"676"	"0"
"378"	"194"	"415"	"21"	"64"	"113"	"9"	"2"	"2"	"9"	"25"	"660"	"0"	"660"	"0"
"379"	"195"	"51"	"106"	"268"	"21"	"5"	"6"	"9"	"35"	"13"	"514"	"0"	"514"	"0"
"380"	"196"	"43"	"13"	"177"	"40"	"7"	"10"	"10"	"213"	"41"	"554"	"0"	"554"	"0"
"381"	"pdz ;ksx"	"1610"	"486"	"3939"	"450"	"77"	"68"	"46"	"316"	"133"	"7125"	"0"	"7125"	"0"
"382"	";ksx"	"33750"	"5446"	"45037"	"9804"	"992"	"772"	"801"	"2671"	"2946"	"102219"	"0"	"102219"	"0"
"383"	"Round No.         17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"izk#i &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"216  uks[kk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Hkkx & 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"ernku dsUnz dh la[;k"	"fuEufyf[kr i{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonr erksa dh la[;k"
"388"	""	"vkuan eksgu flag"	"izfrHkk js.kw"	"jkes'oj izlkn"	"lfjrk flag"	"vrsUnz dqekj flag"	"vkse izdk'k vorkj"	"jke iqdkj pkS/kjh"	"v;ks/;k jke"	"Hkjr jke"	""	""	""	""
"389"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"390"	"fiNys i`\"B dk
;ksx"	"33750"	"5446"	"45037"	"9804"	"992"	"772"	"801"	"2671"	"2946"	"102219"	"0"	"102219"	"0"
"391"	"197"	"51"	"40"	"254"	"55"	"3"	"3"	"8"	"25"	"10"	"449"	"0"	"449"	"0"
"392"	"198"	"132"	"43"	"211"	"29"	"4"	"6"	"2"	"15"	"7"	"449"	"0"	"449"	"0"
"393"	"198 d"	"94"	"55"	"104"	"38"	"5"	"0"	"1"	"12"	"10"	"319"	"0"	"319"	"0"
"394"	"199"	"237"	"19"	"47"	"20"	"5"	"2"	"3"	"6"	"8"	"347"	"0"	"347"	"0"
"395"	"pdz ;ksx"	"514"	"157"	"616"	"142"	"17"	"11"	"14"	"58"	"35"	"1564"	"0"	"1564"	"0"
"396"	"ernku dsUnzksa in vfHkfyf[kr erksa dh dqy la[;k"	"34264"	"5603"	"45653"	"9946"	"1009"	"783"	"815"	"2729"	"2981"	"103783"	"0"	"103783"	"0"
"397"	"Mkd er i=ksa ij vfHkfyf[kr erksa dh la[;k"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"398"	"Mkys x;s dqy er"	"34264"	"5603"	"45653"	"9946"	"1009"	"783"	"815"	"2729"	"2981"	"103783"	"0"	"103783"	"0"
