"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 119444"	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"261"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 119444"	""	""	""	""	""	""	""	""	""
"262"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"263"	""	"1
JAGDANAND SINGH"	"2
BABAR KHAN"	"3
MALTI GUPTA"	"4
RAM PRATAP SINGH"	"5
RABINDRA KUMAR ROY"	""	""	""	""
"264"	"BF"	"44156"	"3856"	"13257"	"25545"	"3402"	"90216"	"0"	"90216"	"0"
"265"	"157"	"272"	"15 "	"9"	"187"	"12"	"495"	"0"	"495"	"0"
"266"	"158"	"245"	"28 "	"18"	"116"	"12"	"419"	"0"	"419"	"0"
"267"	"159"	"401"	"37 "	"58"	"161"	"2"	"659"	"0"	"659"	"0"
"268"	"160"	"383"	"4"	"69"	"79"	"7"	"542"	"0"	"542"	"0"
"269"	"161"	"128"	"11 "	"147"	"15"	"6"	"307"	"0"	"307"	"0"
"270"	"162"	"150"	"5"	"33"	"30"	"9"	"227"	"0"	"227"	"0"
"271"	"163"	"258"	"4"	"83"	"22"	"2"	"369"	"0"	"369"	"0"
"272"	"164"	"25"	"9"	"21"	"269"	"6"	"330"	"0"	"330"	"0"
"273"	"165"	"162"	"8"	"19"	"132"	"5"	"326"	"0"	"326"	"0"
"274"	"166"	"81"	"45 "	"9"	"226"	"10"	"371"	"0"	"371"	"0"
"275"	"167"	"153"	"8"	"20"	"280"	"25"	"486"	"0"	"486"	"0"
"276"	"167 A"	"198"	"14 "	"23"	"123"	"7"	"365"	"0"	"365"	"0"
"277"	"168"	"209"	"14 "	"22"	"265"	"32"	"542"	"0"	"542"	"0"
"278"	"169"	"242"	"23 "	"20"	"108"	"12"	"405"	"0"	"405"	"0"
"279"	"TOTAL"	"47063"	"4081"	"13808"	"27558"	"3549"	"96059"	"0"	"96059"	"0"
"280"	"PART - I"	""	""	""	""	""	""	""	""	""
"281"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 119444"	""	""	""	""	""	""	""	""	""
"282"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"283"	""	"1
JAGDANAND SINGH"	"2
BABAR KHAN"	"3
MALTI GUPTA"	"4
RAM PRATAP SINGH"	"5
RABINDRA KUMAR ROY"	""	""	""	""
"284"	"BF"	"47063"	"4081"	"13808"	"27558"	"3549"	"96059"	"0"	"96059"	"0"
"285"	"170"	"79"	"26 "	"52"	"98"	"4"	"259"	"0"	"259"	"0"
"286"	"171"	"423"	"16 "	"29"	"190"	"42"	"700"	"0"	"700"	"0"
"287"	"172"	"226"	"42 "	"92"	"135"	"36"	"531"	"0"	"531"	"0"
"288"	"173"	"215"	"15 "	"162"	"70"	"25"	"487"	"0"	"487"	"0"
"289"	"174"	"123"	"25 "	"142"	"172"	"23"	"485"	"0"	"485"	"0"
"290"	"175"	"187"	"16 "	"399"	"50"	"11"	"663"	"0"	"663"	"0"
"291"	"176"	"375"	"35 "	"85"	"139"	"23"	"657"	"0"	"657"	"0"
"292"	"177"	"87"	"6"	"88"	"28"	"4"	"213"	"0"	"213"	"0"
"293"	"178"	"380"	"18 "	"32"	"183"	"25"	"638"	"0"	"638"	"0"
"294"	"179"	"178"	"18 "	"37"	"97"	"10"	"340"	"0"	"340"	"0"
"295"	"180"	"73"	"43 "	"74"	"95"	"2"	"287"	"0"	"287"	"0"
"296"	"181"	"157"	"9"	"93"	"117"	"21"	"397"	"0"	"397"	"0"
"297"	"182"	"415"	"27 "	"104"	"105"	"10"	"661"	"0"	"661"	"0"
"298"	"183"	"186"	"32 "	"174"	"204"	"29"	"625"	"0"	"625"	"0"
"299"	"TOTAL"	"50167"	"4409"	"15371"	"29241"	"3814"	"103002"	"0"	"103002"	"0"
"300"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 119444"	""	""	""	""	""	""	""	""	""
"301"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"302"	""	"1
JAGDANAND SINGH"	"2
BABAR KHAN"	"3
MALTI GUPTA"	"4
RAM PRATAP SINGH"	"5
RABINDRA KUMAR ROY"	""	""	""	""
"303"	"BF"	"50167"	"4409"	"15371"	"29241"	"3814"	"103002"	"0"	"103002"	"0"
"304"	"184"	"130"	"13 "	"15"	"347"	"44"	"549"	"0"	"549"	"0"
"305"	"184 A"	"176"	"2"	"42"	"22"	"23"	"265"	"0"	"265"	"0"
"306"	"185"	"343"	"87 "	"33"	"39"	"28"	"530"	"0"	"530"	"0"
"307"	"185 A"	"140"	"48 "	"11"	"6"	"10"	"215"	"0"	"215"	"0"
"308"	"186"	"260"	"16 "	"47"	"4"	"6"	"333"	"0"	"333"	"0"
"309"	"187"	"174"	"6"	"159"	"129"	"17"	"485"	"0"	"485"	"0"
"310"	"187 A"	"138"	"16 "	"137"	"103"	"7"	"401"	"0"	"401"	"0"
"311"	"188"	"273"	"18 "	"68"	"95"	"21"	"475"	"0"	"475"	"0"
"312"	"TOTAL"	"51801"	"4615"	"15883"	"29986"	"3970"	"106255"	"0"	"106255"	"0"
"313"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 119444"	""	""	""	""	""	""	""	""	""
"314"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"315"	""	"1
JAGDANAND SINGH"	"2
BABAR KHAN"	"3
MALTI GUPTA"	"4
RAM PRATAP SINGH"	"5
RABINDRA KUMAR ROY"	""	""	""	""
"316"	"BF"	"51801"	"4615"	"15883"	"29986"	"3970"	"106255"	"0"	"106255"	"0"
"317"	"TOTAL"	"51801"	"4615"	"15883"	"29986"	"3970"	"106255"	"0"	"106255"	"0"
"318"	"POSTAL VOTES"	"3"	"0"	"0"	"1"	"0"	"4"	"2"	"6"	"0"
"319"	"TOTAL VOTES POLLED"	"51804"	"4615"	"15883"	"29987"	"3970"	"106259"	"2"	"106261"	"0"
"320"	"Place: ..........................................."	""	""	""	""	""	""	""	""	""
"321"	"Date:......................................"	""	""	""	""	""	""	""	""	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""	""
