"100"	"Total"	""	""	"1557"	""	""	"80"	""	""	""	"493"	""	""	""	"1754"	""	""	""	"170"	""	""	""	"146"	""	""	""	"38"	""	""	""	"71"	""	""	""	"4309"	""	""	""	"0"	""	""	""	"4309"	""	""	""	""	""	""	""	""
"101"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"105"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	""	"BARHO RAJVANSHI"	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHARY"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANANJ AY  PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"107"	"1"	"69"	""	"55"	""	""	"2"	""	""	""	"15"	""	""	""	"76"	""	""	""	"25"	""	""	""	"4"	""	""	""	"3"	""	""	""	"9"	""	""	""	"189"	""	""	""	"0"	""	""	""	"189"	""	""	""	""	""	""	""	""
"108"	"2"	"70"	""	"223"	""	""	"1"	""	""	""	"4"	""	""	""	"40"	""	""	""	"1"	""	""	""	"25"	""	""	""	"3"	""	""	""	"0"	""	""	""	"297"	""	""	""	"0"	""	""	""	"297"	""	""	""	""	""	""	""	""
"109"	"3"	"71"	""	"147"	""	""	"9"	""	""	""	"6"	""	""	""	"87"	""	""	""	"12"	""	""	""	"77"	""	""	""	"0"	""	""	""	"4"	""	""	""	"342"	""	""	""	"0"	""	""	""	"342"	""	""	""	""	""	""	""	""
"110"	"4"	"72"	""	"108"	""	""	"17"	""	""	""	"32"	""	""	""	"96"	""	""	""	"12"	""	""	""	"20"	""	""	""	"6"	""	""	""	"6"	""	""	""	"297"	""	""	""	"0"	""	""	""	"297"	""	""	""	""	""	""	""	""
"111"	"5"	"73"	""	"85"	""	""	"9"	""	""	""	"7"	""	""	""	"110"	""	""	""	"15"	""	""	""	"11"	""	""	""	"6"	""	""	""	"7"	""	""	""	"250"	""	""	""	"0"	""	""	""	"250"	""	""	""	""	""	""	""	""
"112"	"6"	"74"	""	"231"	""	""	"9"	""	""	""	"10"	""	""	""	"132"	""	""	""	"18"	""	""	""	"40"	""	""	""	"6"	""	""	""	"11"	""	""	""	"457"	""	""	""	"0"	""	""	""	"457"	""	""	""	""	""	""	""	""
"113"	"7"	"75"	""	"73"	""	""	"4"	""	""	""	"3"	""	""	""	"128"	""	""	""	"32"	""	""	""	"6"	""	""	""	"3"	""	""	""	"1"	""	""	""	"250"	""	""	""	"0"	""	""	""	"250"	""	""	""	""	""	""	""	""
"114"	"8"	"76"	""	"96"	""	""	"7"	""	""	""	"13"	""	""	""	"79"	""	""	""	"22"	""	""	""	"56"	""	""	""	"6"	""	""	""	"20"	""	""	""	"299"	""	""	""	"0"	""	""	""	"299"	""	""	""	""	""	""	""	""
"115"	"9"	"77"	""	"179"	""	""	"11"	""	""	""	"12"	""	""	""	"59"	""	""	""	"19"	""	""	""	"60"	""	""	""	"5"	""	""	""	"3"	""	""	""	"348"	""	""	""	"0"	""	""	""	"348"	""	""	""	""	""	""	""	""
"116"	"10"	"78"	""	"107"	""	""	"4"	""	""	""	"4"	""	""	""	"89"	""	""	""	"21"	""	""	""	"47"	""	""	""	"0"	""	""	""	"6"	""	""	""	"278"	""	""	""	"0"	""	""	""	"278"	""	""	""	""	""	""	""	""
"117"	"11"	"79"	""	"182"	""	""	"3"	""	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"11"	""	""	""	"2"	""	""	""	"2"	""	""	""	"206"	""	""	""	"0"	""	""	""	"206"	""	""	""	""	""	""	""	""
"118"	"12"	"80"	""	"184"	""	""	"7"	""	""	""	"9"	""	""	""	"99"	""	""	""	"11"	""	""	""	"26"	""	""	""	"7"	""	""	""	"4"	""	""	""	"347"	""	""	""	"0"	""	""	""	"347"	""	""	""	""	""	""	""	""
"119"	"13"	"81"	""	"95"	""	""	"7"	""	""	""	"2"	""	""	""	"131"	""	""	""	"8"	""	""	""	"4"	""	""	""	"2"	""	""	""	"9"	""	""	""	"258"	""	""	""	"0"	""	""	""	"258"	""	""	""	""	""	""	""	""
"120"	"14"	"82"	""	"27"	""	""	"4"	""	""	""	"2"	""	""	""	"33"	""	""	""	"6"	""	""	""	"59"	""	""	""	"5"	""	""	""	"11"	""	""	""	"147"	""	""	""	"0"	""	""	""	"147"	""	""	""	""	""	""	""	""
"121"	"Total"	""	""	"1792"	""	""	"94"	""	""	""	"120"	""	""	""	"1162"	""	""	""	"204"	""	""	""	"446"	""	""	""	"54"	""	""	""	"93"	""	""	""	"3965"	""	""	""	"0"	""	""	""	"3965"	""	""	""	""	""	""	""	""
"122"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"126"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	""	"BARHO RAJVANSHI"	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHAR Y"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANAN JAY PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"128"	"1"	"83"	""	"114"	""	""	"11"	""	""	""	"70"	""	""	""	"46"	""	""	""	"19"	""	""	""	"53"	""	""	""	"8"	""	""	""	"9"	""	""	""	"330"	""	""	""	"0"	""	""	""	"330"	""	""	""	""	""	""	""	""
"129"	"2"	"84"	""	"223"	""	""	"15"	""	""	""	"7"	""	""	""	"87"	""	""	""	"20"	""	""	""	"30"	""	""	""	"13"	""	""	""	"30"	""	""	""	"425"	""	""	""	"0"	""	""	""	"425"	""	""	""	""	""	""	""	""
"130"	"3"	"85"	""	"160"	""	""	"6"	""	""	""	"3"	""	""	""	"10"	""	""	""	"1"	""	""	""	"13"	""	""	""	"7"	""	""	""	"6"	""	""	""	"206"	""	""	""	"0"	""	""	""	"206"	""	""	""	""	""	""	""	""
"131"	"4"	"86"	""	"136"	""	""	"12"	""	""	""	"13"	""	""	""	"169"	""	""	""	"11"	""	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"347"	""	""	""	"0"	""	""	""	"347"	""	""	""	""	""	""	""	""
"132"	"5"	"87"	""	"115"	""	""	"4"	""	""	""	"33"	""	""	""	"82"	""	""	""	"4"	""	""	""	"4"	""	""	""	"2"	""	""	""	"2"	""	""	""	"246"	""	""	""	"0"	""	""	""	"246"	""	""	""	""	""	""	""	""
"133"	"6"	"88"	""	"126"	""	""	"1"	""	""	""	"6"	""	""	""	"54"	""	""	""	"17"	""	""	""	"17"	""	""	""	"2"	""	""	""	"9"	""	""	""	"232"	""	""	""	"0"	""	""	""	"232"	""	""	""	""	""	""	""	""
"134"	"7"	"89"	""	"15"	""	""	"5"	""	""	""	"13"	""	""	""	"281"	""	""	""	"20"	""	""	""	"24"	""	""	""	"2"	""	""	""	"7"	""	""	""	"367"	""	""	""	"0"	""	""	""	"367"	""	""	""	""	""	""	""	""
"135"	"8"	"90"	""	"49"	""	""	"11"	""	""	""	"21"	""	""	""	"135"	""	""	""	"18"	""	""	""	"11"	""	""	""	"2"	""	""	""	"10"	""	""	""	"257"	""	""	""	"0"	""	""	""	"257"	""	""	""	""	""	""	""	""
"136"	"9"	"90A"	""	"63"	""	""	"2"	""	""	""	"28"	""	""	""	"164"	""	""	""	"10"	""	""	""	"3"	""	""	""	"7"	""	""	""	"6"	""	""	""	"283"	""	""	""	"0"	""	""	""	"283"	""	""	""	""	""	""	""	""
"137"	"10"	"91"	""	"21"	""	""	"2"	""	""	""	"11"	""	""	""	"46"	""	""	""	"6"	""	""	""	"23"	""	""	""	"2"	""	""	""	"8"	""	""	""	"119"	""	""	""	"0"	""	""	""	"119"	""	""	""	""	""	""	""	""
"138"	"11"	"92"	""	"120"	""	""	"14"	""	""	""	"25"	""	""	""	"240"	""	""	""	"35"	""	""	""	"2"	""	""	""	"6"	""	""	""	"20"	""	""	""	"462"	""	""	""	"0"	""	""	""	"462"	""	""	""	""	""	""	""	""
"139"	"12"	"93"	""	"100"	""	""	"6"	""	""	""	"7"	""	""	""	"71"	""	""	""	"12"	""	""	""	"7"	""	""	""	"4"	""	""	""	"4"	""	""	""	"211"	""	""	""	"0"	""	""	""	"211"	""	""	""	""	""	""	""	""
"140"	"13"	"94"	""	"165"	""	""	"1"	""	""	""	"11"	""	""	""	"5"	""	""	""	"5"	""	""	""	"31"	""	""	""	"2"	""	""	""	"2"	""	""	""	"222"	""	""	""	"0"	""	""	""	"222"	""	""	""	""	""	""	""	""
"141"	"14"	"95"	""	"108"	""	""	"5"	""	""	""	"8"	""	""	""	"20"	""	""	""	"0"	""	""	""	"28"	""	""	""	"0"	""	""	""	"1"	""	""	""	"170"	""	""	""	"0"	""	""	""	"170"	""	""	""	""	""	""	""	""
"142"	"Total"	""	""	"1515"	""	""	"95"	""	""	""	"256"	""	""	""	"1410"	""	""	""	"178"	""	""	""	"247"	""	""	""	"58"	""	""	""	"118"	""	""	""	"3877"	""	""	""	"0"	""	""	""	"3877"	""	""	""	""	""	""	""	""
"143"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Date  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"147"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	""	"BARHO RAJVANSHI"	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHARY"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANANJ AY  PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"149"	"1"	"96"	""	"136"	""	""	"6"	""	""	""	"5"	""	""	""	"33"	""	""	""	"6"	""	""	""	"85"	""	""	""	"4"	""	""	""	"3"	""	""	""	"278"	""	""	""	"0"	""	""	""	"278"	""	""	""	""	""	""	""	""
"150"	"2"	"97"	""	"111"	""	""	"8"	""	""	""	"16"	""	""	""	"185"	""	""	""	"31"	""	""	""	"36"	""	""	""	"3"	""	""	""	"9"	""	""	""	"399"	""	""	""	"0"	""	""	""	"399"	""	""	""	""	""	""	""	""
"151"	"3"	"98"	""	"101"	""	""	"5"	""	""	""	"7"	""	""	""	"125"	""	""	""	"32"	""	""	""	"31"	""	""	""	"5"	""	""	""	"14"	""	""	""	"320"	""	""	""	"0"	""	""	""	"320"	""	""	""	""	""	""	""	""
"152"	"4"	"99"	""	"575"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"577"	""	""	""	"0"	""	""	""	"577"	""	""	""	""	""	""	""	""
"153"	"5"	"100"	""	"318"	""	""	"3"	""	""	""	"2"	""	""	""	"66"	""	""	""	"10"	""	""	""	"11"	""	""	""	"1"	""	""	""	"3"	""	""	""	"414"	""	""	""	"0"	""	""	""	"414"	""	""	""	""	""	""	""	""
"154"	"6"	"101"	""	"128"	""	""	"10"	""	""	""	"7"	""	""	""	"136"	""	""	""	"37"	""	""	""	"9"	""	""	""	"3"	""	""	""	"25"	""	""	""	"355"	""	""	""	"0"	""	""	""	"355"	""	""	""	""	""	""	""	""
"155"	"7"	"102"	""	"371"	""	""	"4"	""	""	""	"6"	""	""	""	"39"	""	""	""	"14"	""	""	""	"30"	""	""	""	"2"	""	""	""	"0"	""	""	""	"466"	""	""	""	"0"	""	""	""	"466"	""	""	""	""	""	""	""	""
"156"	"8"	"103"	""	"36"	""	""	"2"	""	""	""	"5"	""	""	""	"110"	""	""	""	"20"	""	""	""	"53"	""	""	""	"4"	""	""	""	"5"	""	""	""	"235"	""	""	""	"0"	""	""	""	"235"	""	""	""	""	""	""	""	""
"157"	"9"	"104"	""	"70"	""	""	"98"	""	""	""	"26"	""	""	""	"114"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"310"	""	""	""	"0"	""	""	""	"310"	""	""	""	""	""	""	""	""
"158"	"10"	"105"	""	"18"	""	""	"2"	""	""	""	"4"	""	""	""	"147"	""	""	""	"13"	""	""	""	"7"	""	""	""	"2"	""	""	""	"2"	""	""	""	"195"	""	""	""	"0"	""	""	""	"195"	""	""	""	""	""	""	""	""
"159"	"11"	"106"	""	"119"	""	""	"7"	""	""	""	"9"	""	""	""	"146"	""	""	""	"6"	""	""	""	"9"	""	""	""	"3"	""	""	""	"3"	""	""	""	"302"	""	""	""	"0"	""	""	""	"302"	""	""	""	""	""	""	""	""
"160"	"12"	"107"	""	"298"	""	""	"9"	""	""	""	"1"	""	""	""	"37"	""	""	""	"3"	""	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	""	"359"	""	""	""	"0"	""	""	""	"359"	""	""	""	""	""	""	""	""
"161"	"13"	"108"	""	"98"	""	""	"8"	""	""	""	"7"	""	""	""	"208"	""	""	""	"30"	""	""	""	"2"	""	""	""	"4"	""	""	""	"9"	""	""	""	"366"	""	""	""	"0"	""	""	""	"366"	""	""	""	""	""	""	""	""
"162"	"14"	"109"	""	"223"	""	""	"5"	""	""	""	"1"	""	""	""	"91"	""	""	""	"3"	""	""	""	"19"	""	""	""	"1"	""	""	""	"1"	""	""	""	"344"	""	""	""	"0"	""	""	""	"344"	""	""	""	""	""	""	""	""
"163"	"Total"	""	""	"2602"	""	""	"167"	""	""	""	"96"	""	""	""	"1438"	""	""	""	"207"	""	""	""	"296"	""	""	""	"34"	""	""	""	"80"	""	""	""	"4920"	""	""	""	"0"	""	""	""	"4920"	""	""	""	""	""	""	""	""
"164"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"165"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	"BARHO RAJVANSHI"	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHARY"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANANJ AY  PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"167"	"1"	"110"	""	"61"	""	""	"14"	""	""	"16"	""	""	""	""	"158"	""	""	""	"11"	""	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	""	"267"	""	""	""	"0"	""	""	""	"267"	""	""	""	""	""	""	""	""
"168"	"2"	"111"	""	"123"	""	""	"8"	""	""	"7"	""	""	""	""	"18"	""	""	""	"10"	""	""	""	"77"	""	""	""	"6"	""	""	""	"20"	""	""	""	"269"	""	""	""	"0"	""	""	""	"269"	""	""	""	""	""	""	""	""
"169"	"3"	"112"	""	"127"	""	""	"10"	""	""	"27"	""	""	""	""	"111"	""	""	""	"13"	""	""	""	"4"	""	""	""	"4"	""	""	""	"12"	""	""	""	"308"	""	""	""	"0"	""	""	""	"308"	""	""	""	""	""	""	""	""
"170"	"4"	"113"	""	"57"	""	""	"9"	""	""	"16"	""	""	""	""	"66"	""	""	""	"6"	""	""	""	"20"	""	""	""	"1"	""	""	""	"2"	""	""	""	"177"	""	""	""	"0"	""	""	""	"177"	""	""	""	""	""	""	""	""
"171"	"5"	"114"	""	"105"	""	""	"15"	""	""	"8"	""	""	""	""	"42"	""	""	""	"7"	""	""	""	"44"	""	""	""	"4"	""	""	""	"3"	""	""	""	"228"	""	""	""	"0"	""	""	""	"228"	""	""	""	""	""	""	""	""
"172"	"6"	"115"	""	"65"	""	""	"15"	""	""	"2"	""	""	""	""	"35"	""	""	""	"11"	""	""	""	"77"	""	""	""	"5"	""	""	""	"12"	""	""	""	"222"	""	""	""	"0"	""	""	""	"222"	""	""	""	""	""	""	""	""
"173"	"7"	"116"	""	"178"	""	""	"7"	""	""	"9"	""	""	""	""	"46"	""	""	""	"10"	""	""	""	"26"	""	""	""	"8"	""	""	""	"12"	""	""	""	"296"	""	""	""	"0"	""	""	""	"296"	""	""	""	""	""	""	""	""
"174"	"8"	"117"	""	"258"	""	""	"17"	""	""	"11"	""	""	""	""	"98"	""	""	""	"15"	""	""	""	"8"	""	""	""	"5"	""	""	""	"9"	""	""	""	"421"	""	""	""	"0"	""	""	""	"421"	""	""	""	""	""	""	""	""
"175"	"9"	"118"	""	"1"	""	""	"0"	""	""	"2"	""	""	""	""	"41"	""	""	""	"6"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"53"	""	""	""	"0"	""	""	""	"53"	""	""	""	""	""	""	""	""
"176"	"10"	"119"	""	"51"	""	""	"6"	""	""	"25"	""	""	""	""	"177"	""	""	""	"28"	""	""	""	"5"	""	""	""	"6"	""	""	""	"8"	""	""	""	"306"	""	""	""	"0"	""	""	""	"306"	""	""	""	""	""	""	""	""
"177"	"11"	"120"	""	"123"	""	""	"5"	""	""	"1"	""	""	""	""	"224"	""	""	""	"6"	""	""	""	"23"	""	""	""	"0"	""	""	""	"1"	""	""	""	"383"	""	""	""	"0"	""	""	""	"383"	""	""	""	""	""	""	""	""
"178"	"12"	"121"	""	"160"	""	""	"14"	""	""	"17"	""	""	""	""	"128"	""	""	""	"13"	""	""	""	"4"	""	""	""	"7"	""	""	""	"6"	""	""	""	"349"	""	""	""	"0"	""	""	""	"349"	""	""	""	""	""	""	""	""
"179"	"13"	"122"	""	"105"	""	""	"10"	""	""	"9"	""	""	""	""	"149"	""	""	""	"8"	""	""	""	"39"	""	""	""	"3"	""	""	""	"2"	""	""	""	"325"	""	""	""	"0"	""	""	""	"325"	""	""	""	""	""	""	""	""
"180"	"14"	"123"	""	"16"	""	""	"8"	""	""	"22"	""	""	""	""	"220"	""	""	""	"17"	""	""	""	"17"	""	""	""	"2"	""	""	""	"1"	""	""	""	"303"	""	""	""	"0"	""	""	""	"303"	""	""	""	""	""	""	""	""
"181"	"Total"	""	""	"1430"	""	""	"138"	""	""	"172"	""	""	""	""	"1513"	""	""	""	"161"	""	""	""	"348"	""	""	""	"52"	""	""	""	"93"	""	""	""	"3907"	""	""	""	"0"	""	""	""	"3907"	""	""	""	""	""	""	""	""
"182"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"183"	""	""	""	"AJAY PASWAN"	""	""	"CHANDRA MANJHI"	""	""	"BARHO RAJVANSHI"	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	"BIJAY CHAUDHARY"	""	""	""	"RAJ KUMAR MANJHI"	""	""	""	"CHANDRA BHAN PASWAN"	""	""	""	"DHANANANJ AY  PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""
"185"	"1"	"124"	""	"72"	""	""	"23"	""	""	"22"	""	""	""	""	"414"	""	""	""	"51"	""	""	""	"50"	""	""	""	"3"	""	""	""	"10"	""	""	""	"645"	""	""	""	"0"	""	""	""	"645"	""	""	""	""	""	""	""	""
"186"	"2"	"125"	""	"184"	""	""	"10"	""	""	"1"	""	""	""	""	"38"	""	""	""	"11"	""	""	""	"6"	""	""	""	"2"	""	""	""	"10"	""	""	""	"262"	""	""	""	"0"	""	""	""	"262"	""	""	""	""	""	""	""	""
"187"	"3"	"126"	""	"186"	""	""	"1"	""	""	"6"	""	""	""	""	"109"	""	""	""	"11"	""	""	""	"45"	""	""	""	"3"	""	""	""	"13"	""	""	""	"374"	""	""	""	"0"	""	""	""	"374"	""	""	""	""	""	""	""	""
"188"	"4"	"127"	""	"157"	""	""	"10"	""	""	"2"	""	""	""	""	"233"	""	""	""	"21"	""	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	""	"433"	""	""	""	"0"	""	""	""	"433"	""	""	""	""	""	""	""	""
"189"	"5"	"128"	""	"152"	""	""	"8"	""	""	"7"	""	""	""	""	"137"	""	""	""	"27"	""	""	""	"48"	""	""	""	"8"	""	""	""	"12"	""	""	""	"399"	""	""	""	"0"	""	""	""	"399"	""	""	""	""	""	""	""	""
"190"	"6"	"129"	""	"148"	""	""	"22"	""	""	"20"	""	""	""	""	"106"	""	""	""	"36"	""	""	""	"16"	""	""	""	"8"	""	""	""	"11"	""	""	""	"367"	""	""	""	"0"	""	""	""	"367"	""	""	""	""	""	""	""	""
"191"	"7"	"129A"	""	"23"	""	""	"3"	""	""	"5"	""	""	""	""	"11"	""	""	""	"12"	""	""	""	"97"	""	""	""	"6"	""	""	""	"5"	""	""	""	"162"	""	""	""	"0"	""	""	""	"162"	""	""	""	""	""	""	""	""
"192"	"8"	"130"	""	"113"	""	""	"14"	""	""	"7"	""	""	""	""	"123"	""	""	""	"23"	""	""	""	"33"	""	""	""	"6"	""	""	""	"12"	""	""	""	"331"	""	""	""	"0"	""	""	""	"331"	""	""	""	""	""	""	""	""
"193"	"9"	"131"	""	"183"	""	""	"14"	""	""	"2"	""	""	""	""	"111"	""	""	""	"22"	""	""	""	"173"	""	""	""	"8"	""	""	""	"23"	""	""	""	"536"	""	""	""	"0"	""	""	""	"536"	""	""	""	""	""	""	""	""
"194"	"10"	"132"	""	"178"	""	""	"12"	""	""	"52"	""	""	""	""	"64"	""	""	""	"12"	""	""	""	"94"	""	""	""	"7"	""	""	""	"15"	""	""	""	"434"	""	""	""	"0"	""	""	""	"434"	""	""	""	""	""	""	""	""
"195"	"11"	"133"	""	"63"	""	""	"11"	""	""	"21"	""	""	""	""	"47"	""	""	""	"23"	""	""	""	"59"	""	""	""	"4"	""	""	""	"6"	""	""	""	"234"	""	""	""	"0"	""	""	""	"234"	""	""	""	""	""	""	""	""
"196"	"12"	"133A"	""	"40"	""	""	"5"	""	""	"11"	""	""	""	""	"35"	""	""	""	"4"	""	""	""	"73"	""	""	""	"4"	""	""	""	"4"	""	""	""	"176"	""	""	""	"0"	""	""	""	"176"	""	""	""	""	""	""	""	""
"197"	"13"	"134"	""	"135"	""	""	"15"	""	""	"9"	""	""	""	""	"45"	""	""	""	"15"	""	""	""	"99"	""	""	""	"11"	""	""	""	"24"	""	""	""	"353"	""	""	""	"0"	""	""	""	"353"	""	""	""	""	""	""	""	""
"198"	"14"	"135"	""	"188"	""	""	"6"	""	""	"5"	""	""	""	""	"74"	""	""	""	"12"	""	""	""	"48"	""	""	""	"6"	""	""	""	"8"	""	""	""	"347"	""	""	""	"0"	""	""	""	"347"	""	""	""	""	""	""	""	""
"199"	"Total"	""	""	"1822"	""	""	"154"	""	""	"170"	""	""	""	""	"1547"	""	""	""	"280"	""	""	""	"844"	""	""	""	"77"	""	""	""	"159"	""	""	""	"5053"	""	""	""	"0"	""	""	""	"5053"	""	""	""	""	""	""	""	""
"200"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
