"X."	"No..of.actual.votes.casted.in.favour.of.candidates"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"185"	"Cumm.Tot."	"13890"	"21346"	"2318"	"2348"	"1075"	"18273"	"536"	"481"	"556"	"336"	"507"	"923"	"62589"	"0"	"62589"	"0"
"186"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"9                                                                       5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"190"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"191"	"119"	"52"	"296"	"13"	"3"	"1"	"43"	"3"	"3"	"0"	"1"	"2"	"4"	"421"	""	"421"	""
"192"	"120"	"146"	"106"	"20"	"5"	"5"	"179"	"4"	"1"	"3"	"0"	"2"	"0"	"471"	""	"471"	""
"193"	"121"	"253"	"70"	"7"	"0"	"13"	"367"	"3"	"1"	"3"	"3"	"4"	"4"	"728"	""	"728"	""
"194"	"122"	"142"	"78"	"0"	"3"	"2"	"265"	"3"	"5"	"5"	"1"	"1"	"5"	"510"	""	"510"	""
"195"	"123"	"281"	"71"	"24"	"7"	"6"	"170"	"7"	"7"	"7"	"1"	"6"	"19"	"606"	""	"606"	""
"196"	"124"	"205"	"144"	"13"	"15"	"13"	"147"	"6"	"13"	"9"	"3"	"6"	"16"	"590"	""	"590"	""
"197"	"125"	"61"	"216"	"16"	"94"	"28"	"54"	"8"	"3"	"12"	"2"	"6"	"6"	"506"	""	"506"	""
"198"	"126"	"89"	"209"	"6"	"4"	"55"	"135"	"4"	"6"	"9"	"5"	"3"	"7"	"532"	""	"532"	""
"199"	"127"	"81"	"195"	"10"	"1"	"1"	"122"	"3"	"3"	"4"	"4"	"6"	"4"	"434"	""	"434"	""
"200"	"128"	"43"	"231"	"11"	"16"	"7"	"171"	"1"	"2"	"3"	"2"	"3"	"0"	"490"	""	"490"	""
"201"	"129"	"26"	"282"	"2"	"2"	"4"	"124"	"3"	"1"	"2"	"2"	"0"	"1"	"449"	""	"449"	""
"202"	"129A"	"91"	"155"	"8"	"2"	"5"	"123"	"7"	"2"	"5"	"4"	"3"	"10"	"415"	""	"415"	""
"203"	"130"	"77"	"112"	"4"	"3"	"3"	"144"	"2"	"3"	"1"	"1"	"1"	"0"	"351"	""	"351"	""
"204"	"131"	"76"	"209"	"8"	"67"	"7"	"115"	"5"	"3"	"8"	"5"	"12"	"9"	"524"	""	"524"	""
"205"	"Total"	"1623"	"2374"	"142"	"222"	"150"	"2159"	"59"	"53"	"71"	"34"	"55"	"85"	"7027"	"0"	"7027"	"0"
"206"	"Cumm.Tot."	"15513"	"23720"	"2460"	"2570"	"1225"	"20432"	"595"	"534"	"627"	"370"	"562"	"1008"	"69616"	"0"	"69616"	"0"
"207"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"10                                                                      5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"211"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"212"	"132"	"3"	"228"	"133"	"5"	"1"	"14"	"0"	"4"	"0"	"1"	"1"	"6"	"396"	""	"396"	""
"213"	"133"	"13"	"126"	"226"	"1"	"0"	"1"	"3"	"2"	"1"	"2"	"0"	"8"	"383"	""	"383"	""
"214"	"134"	"20"	"173"	"299"	"7"	"5"	"1"	"1"	"5"	"4"	"1"	"3"	"11"	"530"	""	"530"	""
"215"	"135"	"48"	"303"	"21"	"15"	"3"	"95"	"0"	"5"	"1"	"1"	"4"	"11"	"507"	""	"507"	""
"216"	"136"	"97"	"141"	"17"	"255"	"3"	"36"	"4"	"5"	"9"	"3"	"5"	"4"	"579"	""	"579"	""
"217"	"137"	"39"	"76"	"5"	"229"	"11"	"12"	"4"	"4"	"5"	"4"	"3"	"8"	"400"	""	"400"	""
"218"	"138"	"147"	"191"	"12"	"12"	"10"	"224"	"10"	"2"	"5"	"5"	"6"	"12"	"636"	""	"636"	""
"219"	"139"	"487"	"35"	"7"	"13"	"6"	"37"	"0"	"0"	"3"	"1"	"3"	"2"	"594"	""	"594"	""
"220"	"140"	"59"	"219"	"5"	"7"	"24"	"102"	"3"	"0"	"1"	"0"	"4"	"4"	"428"	""	"428"	""
"221"	"141"	"54"	"48"	"2"	"4"	"7"	"271"	"6"	"4"	"1"	"0"	"0"	"2"	"399"	""	"399"	""
"222"	"142"	"169"	"114"	"5"	"1"	"8"	"108"	"0"	"5"	"4"	"3"	"1"	"5"	"423"	""	"423"	""
"223"	"143"	"159"	"271"	"6"	"4"	"6"	"52"	"1"	"3"	"6"	"2"	"5"	"2"	"517"	""	"517"	""
"224"	"144"	"116"	"240"	"3"	"1"	"2"	"52"	"2"	"1"	"2"	"0"	"0"	"5"	"424"	""	"424"	""
"225"	"145"	"130"	"585"	"20"	"3"	"4"	"51"	"0"	"1"	"2"	"0"	"2"	"4"	"802"	""	"802"	""
"226"	"Total"	"1541"	"2750"	"761"	"557"	"90"	"1056"	"34"	"41"	"44"	"23"	"37"	"84"	"7018"	"0"	"7018"	"0"
"227"	"Cumm.Tot."	"17054"	"26470"	"3221"	"3127"	"1315"	"21488"	"629"	"575"	"671"	"393"	"599"	"1092"	"76634"	"0"	"76634"	"0"
"228"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"11                                                                      5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"232"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"233"	"146"	"185"	"213"	"26"	"9"	"8"	"202"	"12"	"1"	"4"	"3"	"4"	"11"	"678"	""	"678"	""
"234"	"147"	"114"	"157"	"23"	"3"	"5"	"147"	"2"	"2"	"7"	"3"	"0"	"3"	"466"	""	"466"	""
"235"	"148"	"74"	"213"	"6"	"3"	"7"	"212"	"9"	"6"	"1"	"3"	"6"	"9"	"549"	""	"549"	""
"236"	"149"	"39"	"134"	"6"	"2"	"5"	"177"	"2"	"1"	"1"	"1"	"3"	"1"	"372"	""	"372"	""
"237"	"150"	"220"	"47"	"6"	"3"	"2"	"170"	"0"	"1"	"1"	"1"	"2"	"3"	"456"	""	"456"	""
"238"	"151"	"319"	"193"	"5"	"8"	"6"	"138"	"3"	"3"	"6"	"1"	"4"	"4"	"690"	""	"690"	""
"239"	"152"	"223"	"136"	"8"	"6"	"9"	"257"	"9"	"4"	"2"	"0"	"4"	"4"	"662"	""	"662"	""
"240"	"153"	"171"	"245"	"12"	"4"	"9"	"204"	"6"	"3"	"5"	"3"	"14"	"18"	"694"	""	"694"	""
"241"	"154"	"107"	"109"	"9"	"1"	"3"	"155"	"2"	"2"	"1"	"2"	"4"	"4"	"399"	""	"399"	""
"242"	"155"	"153"	"334"	"26"	"3"	"2"	"92"	"2"	"1"	"5"	"2"	"6"	"13"	"639"	""	"639"	""
"243"	"156"	"45"	"273"	"12"	"4"	"6"	"175"	"4"	"4"	"7"	"5"	"6"	"21"	"562"	""	"562"	""
"244"	"157"	"36"	"111"	"2"	"119"	"8"	"186"	"12"	"5"	"1"	"1"	"7"	"2"	"490"	""	"490"	""
"245"	"158"	"71"	"160"	"4"	"5"	"4"	"55"	"0"	"2"	"3"	"2"	"2"	"0"	"308"	""	"308"	""
"246"	"159"	"23"	"371"	"7"	"63"	"6"	"121"	"2"	"2"	"5"	"1"	"4"	"6"	"611"	""	"611"	""
"247"	"Total"	"1780"	"2696"	"152"	"233"	"80"	"2291"	"65"	"37"	"49"	"28"	"66"	"99"	"7576"	"0"	"7576"	"0"
"248"	"Cumm.Tot."	"18834"	"29166"	"3373"	"3360"	"1395"	"23779"	"694"	"612"	"720"	"421"	"665"	"1191"	"84210"	"0"	"84210"	"0"
"249"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"12                                                                      5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"253"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"254"	"160"	"132"	"233"	"15"	"1"	"6"	"68"	"4"	"6"	"1"	"4"	"3"	"4"	"477"	""	"477"	""
"255"	"161"	"118"	"171"	"36"	"1"	"11"	"129"	"4"	"9"	"12"	"2"	"2"	"8"	"503"	""	"503"	""
"256"	"162"	"115"	"157"	"29"	"0"	"8"	"284"	"9"	"6"	"5"	"6"	"4"	"27"	"650"	""	"650"	""
"257"	"163"	"116"	"300"	"16"	"3"	"6"	"110"	"5"	"2"	"5"	"2"	"5"	"6"	"576"	""	"576"	""
"258"	"164"	"75"	"316"	"17"	"14"	"7"	"135"	"5"	"9"	"6"	"5"	"6"	"5"	"600"	""	"600"	""
"259"	"165"	"93"	"214"	"7"	"0"	"0"	"116"	"3"	"2"	"0"	"0"	"2"	"1"	"438"	""	"438"	""
"260"	"166"	"126"	"200"	"7"	"1"	"3"	"166"	"4"	"4"	"8"	"6"	"8"	"13"	"546"	""	"546"	""
"261"	"167"	"106"	"362"	"29"	"11"	"14"	"92"	"9"	"4"	"3"	"1"	"6"	"5"	"642"	""	"642"	""
"262"	"168"	"159"	"96"	"10"	"8"	"6"	"163"	"8"	"12"	"4"	"2"	"6"	"21"	"495"	""	"495"	""
"263"	"169"	"316"	"178"	"25"	"25"	"12"	"124"	"10"	"8"	"12"	"4"	"7"	"12"	"733"	""	"733"	""
"264"	"170"	"160"	"68"	"18"	"37"	"6"	"249"	"4"	"2"	"7"	"2"	"3"	"13"	"569"	""	"569"	""
"265"	"171"	"200"	"122"	"11"	"53"	"8"	"42"	"6"	"8"	"6"	"0"	"7"	"10"	"473"	""	"473"	""
"266"	"172"	"50"	"233"	"4"	"50"	"2"	"47"	"1"	"0"	"3"	"1"	"2"	"0"	"393"	""	"393"	""
"267"	"173"	"13"	"262"	"94"	"42"	"3"	"96"	"7"	"6"	"4"	"4"	"5"	"20"	"556"	""	"556"	""
"268"	"Total"	"1779"	"2912"	"318"	"246"	"92"	"1821"	"79"	"78"	"76"	"39"	"66"	"145"	"7651"	"0"	"7651"	"0"
"269"	"Cumm.Tot."	"20613"	"32078"	"3691"	"3606"	"1487"	"25600"	"773"	"690"	"796"	"460"	"731"	"1336"	"91861"	"0"	"91861"	"0"
"270"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"13                                                                      5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"274"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"275"	"174"	"14"	"542"	"29"	"8"	"0"	"64"	"1"	"5"	"2"	"0"	"1"	"1"	"667"	""	"667"	""
"276"	"175"	"74"	"351"	"14"	"4"	"7"	"151"	"5"	"4"	"6"	"4"	"5"	"5"	"630"	""	"630"	""
"277"	"176"	"130"	"103"	"3"	"44"	"3"	"101"	"8"	"11"	"9"	"2"	"2"	"15"	"431"	""	"431"	""
"278"	"177"	"26"	"5"	"5"	"120"	"11"	"80"	"4"	"4"	"10"	"6"	"6"	"11"	"288"	""	"288"	""
"279"	"178"	"268"	"114"	"17"	"251"	"14"	"57"	"9"	"9"	"12"	"2"	"12"	"14"	"779"	""	"779"	""
"280"	"179"	"31"	"275"	"34"	"16"	"4"	"35"	"4"	"1"	"2"	"2"	"6"	"13"	"423"	""	"423"	""
"281"	"180"	"25"	"283"	"9"	"104"	"6"	"56"	"6"	"2"	"4"	"4"	"5"	"5"	"509"	""	"509"	""
"282"	"181"	"104"	"269"	"22"	"53"	"5"	"59"	"5"	"13"	"11"	"8"	"20"	"21"	"590"	""	"590"	""
"283"	"182"	"214"	"46"	"3"	"246"	"6"	"58"	"5"	"10"	"11"	"9"	"6"	"19"	"633"	""	"633"	""
"284"	"183"	"148"	"15"	"15"	"153"	"12"	"210"	"13"	"5"	"9"	"8"	"14"	"17"	"619"	""	"619"	""
"285"	"184"	"16"	"101"	"24"	"103"	"6"	"67"	"4"	"2"	"5"	"0"	"3"	"4"	"335"	""	"335"	""
"286"	"185"	"272"	"28"	"19"	"132"	"11"	"180"	"13"	"17"	"27"	"14"	"17"	"46"	"776"	""	"776"	""
"287"	"186"	"115"	"180"	"8"	"117"	"13"	"61"	"4"	"5"	"7"	"4"	"6"	"11"	"531"	""	"531"	""
"288"	"187"	"42"	"48"	"9"	"6"	"3"	"81"	"0"	"1"	"0"	"1"	"1"	"3"	"195"	""	"195"	""
"289"	"Total"	"1479"	"2360"	"211"	"1357"	"101"	"1260"	"81"	"89"	"115"	"64"	"104"	"185"	"7406"	"0"	"7406"	"0"
"290"	"Cumm.Tot."	"22092"	"34438"	"3902"	"4963"	"1588"	"26860"	"854"	"779"	"911"	"524"	"835"	"1521"	"99267"	"0"	"99267"	"0"
"291"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"14                                                                      5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"295"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"296"	"188"	"299"	"138"	"11"	"117"	"11"	"115"	"8"	"9"	"12"	"6"	"15"	"19"	"760"	""	"760"	""
"297"	"189"	"75"	"163"	"6"	"72"	"11"	"113"	"4"	"6"	"5"	"0"	"0"	"5"	"460"	""	"460"	""
"298"	"189A"	"73"	"48"	"1"	"86"	"10"	"122"	"7"	"7"	"4"	"0"	"8"	"11"	"377"	""	"377"	""
"299"	"190"	"52"	"79"	"10"	"131"	"11"	"23"	"6"	"5"	"4"	"5"	"6"	"6"	"338"	""	"338"	""
"300"	"191"	"149"	"26"	"11"	"108"	"12"	"143"	"2"	"13"	"16"	"3"	"13"	"13"	"509"	""	"509"	""
"301"	"192"	"180"	"71"	"9"	"35"	"9"	"176"	"3"	"10"	"7"	"9"	"12"	"30"	"551"	""	"551"	""
"302"	"193"	"296"	"54"	"10"	"61"	"7"	"31"	"12"	"17"	"21"	"6"	"17"	"42"	"574"	""	"574"	""
"303"	"194"	"114"	"48"	"11"	"198"	"11"	"56"	"12"	"12"	"8"	"7"	"5"	"12"	"494"	""	"494"	""
"304"	"195"	"54"	"194"	"19"	"7"	"9"	"212"	"6"	"2"	"4"	"2"	"4"	"12"	"525"	""	"525"	""
"305"	"196"	"140"	"196"	"9"	"116"	"12"	"42"	"11"	"5"	"14"	"7"	"10"	"38"	"600"	""	"600"	""
"306"	"197"	"208"	"28"	"1"	"9"	"4"	"194"	"4"	"4"	"4"	"0"	"1"	"4"	"461"	""	"461"	""
"307"	"198"	"202"	"112"	"11"	"69"	"5"	"57"	"5"	"5"	"9"	"4"	"7"	"6"	"492"	""	"492"	""
"308"	"199"	"267"	"216"	"21"	"25"	"2"	"68"	"3"	"3"	"9"	"4"	"4"	"16"	"638"	""	"638"	""
"309"	"Total"	"2109"	"1373"	"130"	"1034"	"114"	"1352"	"83"	"98"	"117"	"53"	"102"	"214"	"6779"	"0"	"6779"	"0"
"310"	"Grand Tot."	"24201"	"35811"	"4032"	"5997"	"1702"	"28212"	"937"	"877"	"1028"	"577"	"937"	"1735"	"106046"	"0"	"106046"	"0"
"311"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"15                                                                      5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Polling Station No."	"Krishna Prasad"	"Khurshed Alias   Firoz Alam"	"Gulrez Akhter"	"Virendra Prasad Gupta"	"Sumit Rai"	"Dilip Verma"	"Meera Yadav"	"Ejaz Ahmad"	"Dilip Kumar"	"Madhusud an Kant"	"Mohmad Jafiruddin"	"Serprafudin Sai"	"Total No. of actual Votes"	"Total No. of rejected Votes"	"Total"	"No.          of
Tendered Votes"
"315"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"316"	"Total"	"24201"	"35811"	"4032"	"5997"	"1702"	"28212"	"937"	"877"	"1028"	"577"	"937"	"1735"	"106046"	"0"	"106046"	"0"
"317"	"Postal Ballot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"
"318"	"Grand Tot."	"24201"	"35811"	"4032"	"5997"	"1702"	"28212"	"937"	"877"	"1028"	"577"	"937"	"1735"	"106046"	"0"	"106046"	"0"
"319"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"5-Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
