"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"270"	""	"Kaushalendra Kumar."	"Rakesh kumar Roshan"	"Ramswaroop Prasad"	"Vijay Kumar Ravidas"	"Sunil Kumar"	"Om Prakash Choudhary"	""	""	""	""
"271"	"242"	"11"	"121"	"261"	"14"	"141"	"21"	"569"	"-"	"569"	"-"
"272"	"243"	"28"	"199"	"131"	"12"	"77"	"17"	"464"	"-"	"464"	"-"
"273"	"244"	"40"	"108"	"116"	"9"	"26"	"12"	"311"	"-"	"311"	"-"
"274"	"245"	"23"	"130"	"186"	"9"	"23"	"11"	"382"	"-"	"382"	"-"
"275"	"246"	"23"	"126"	"31"	"4"	"5"	"6"	"195"	"-"	"195"	"-"
"276"	"247"	"1"	"92"	"168"	"4"	"28"	"5"	"298"	"-"	"298"	"-"
"277"	"248"	"9"	"268"	"142"	"7"	"58"	"13"	"497"	"-"	"497"	"-"
"278"	"249"	"10"	"114"	"51"	"3"	"17"	"7"	"202"	"-"	"202"	"-"
"279"	"250"	"24"	"112"	"214"	"4"	"12"	"4"	"370"	"-"	"370"	"-"
"280"	"251"	"15"	"184"	"18"	"4"	"24"	"7"	"252"	"-"	"252"	"-"
"281"	"Total No. of Votes recorded at
Polling Stations"	"5508"	"27517"	"46510"	"2876"	"5207"	"3199"	"90817"	"-"	"90817"	"-"
"282"	"No. of Votes recorded on Postal ballot
Paper"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"283"	"Grand Total of
Votes"	"5508"	"27517"	"46510"	"2876"	"5207"	"3199"	"90817"	"-"	"90817"	"-"
