"ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.192.MANER.ASSEMBLY.CONSTITUNECY.ROUND.15.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"
"69"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"35"	""	""	"27"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"136"	""	""	""	"20"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"192"	""	""	""	""	""	""	""	""	"192"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"36"	""	""	"48"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"214"	""	""	""	"64"	""	""	""	""	"11"	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"36A"	""	""	"64"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"129"	""	""	""	"81"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"287"	""	""	""	""	""	""	""	""	"287"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"37"	""	""	"164"	""	""	""	""	"2"	""	""	""	"9"	""	""	""	"260"	""	""	""	"156"	""	""	""	""	"13"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"25"	""	""	""	""	""	"634"	""	""	""	""	""	""	""	""	"634"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"38"	""	""	"130"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"167"	""	""	""	"205"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	"15"	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"39"	""	""	"233"	""	""	""	""	"9"	""	""	""	"7"	""	""	""	"109"	""	""	""	"119"	""	""	""	""	"11"	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	"13"	""	""	""	""	""	"512"	""	""	""	""	""	""	""	""	"512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"40"	""	""	"246"	""	""	""	""	"9"	""	""	""	"13"	""	""	""	"305"	""	""	""	"68"	""	""	""	""	"13"	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	""	"29"	""	""	""	""	""	"694"	""	""	""	""	""	""	""	""	"694"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"41"	""	""	"162"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"99"	""	""	""	"41"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"9"	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"41A"	""	""	"142"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"180"	""	""	""	"49"	""	""	""	""	"14"	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	"18"	""	""	""	""	""	"416"	""	""	""	""	""	""	""	""	"416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"42"	""	""	"244"	""	""	""	""	"17"	""	""	""	"10"	""	""	""	"193"	""	""	""	"162"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	""	""	"652"	""	""	""	""	""	""	""	""	"652"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"43"	""	""	"77"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"78"	""	""	""	"163"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	"12"	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"44"	""	""	"119"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"154"	""	""	""	"136"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"Total"	""	""	"1656"	""	""	""	""	"63"	""	""	""	"67"	""	""	""	"2024"	""	""	""	"1264"	""	""	""	""	"92"	""	""	""	""	"28"	""	""	""	""	""	""	"38"	""	""	""	""	"158"	""	""	""	""	""	"5390"	""	""	""	"0"	""	""	""	""	"5390"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Till last round"	""	""	"3163"	""	""	""	""	"146"	""	""	""	"264"	""	""	""	"7447"	""	""	""	"1523"	""	""	""	""	"288"	""	""	""	""	"127"	""	""	""	""	""	""	"112"	""	""	""	""	"443"	""	""	""	""	""	"13513"	""	""	""	"0"	""	""	""	""	"13513"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Grand Total"	""	""	"4819"	""	""	""	""	"209"	""	""	""	"331"	""	""	""	"9471"	""	""	""	"2787"	""	""	""	""	"380"	""	""	""	""	"155"	""	""	""	""	""	""	"150"	""	""	""	""	"601"	""	""	""	""	""	"18903"	""	""	""	"0"	""	""	""	""	"18903"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"45"	""	""	"296"	""	""	""	""	"8"	""	""	""	"7"	""	""	""	"118"	""	""	""	"82"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"14"	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"46"	""	""	"150"	""	""	""	""	"8"	""	""	""	"7"	""	""	""	"57"	""	""	""	"43"	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"47"	""	""	"244"	""	""	""	""	"4"	""	""	""	"6"	""	""	""	"67"	""	""	""	"26"	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	"19"	""	""	""	""	""	"383"	""	""	""	""	""	""	""	""	"383"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"47A"	""	""	"173"	""	""	""	""	"11"	""	""	""	"7"	""	""	""	"35"	""	""	""	"44"	""	""	""	""	"10"	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	"17"	""	""	""	""	""	"307"	""	""	""	""	""	""	""	""	"307"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"48"	""	""	"320"	""	""	""	""	"1"	""	""	""	"11"	""	""	""	"27"	""	""	""	"67"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	"11"	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"49"	""	""	"198"	""	""	""	""	"3"	""	""	""	"64"	""	""	""	"16"	""	""	""	"23"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	"20"	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"50"	""	""	"171"	""	""	""	""	"6"	""	""	""	"12"	""	""	""	"180"	""	""	""	"91"	""	""	""	""	"11"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	"29"	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"51"	""	""	"142"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"39"	""	""	""	"32"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	""	""	"235"	""	""	""	""	""	""	""	""	"235"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"52"	""	""	"48"	""	""	""	""	"5"	""	""	""	"9"	""	""	""	"187"	""	""	""	"117"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"381"	""	""	""	""	""	""	""	""	"381"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"53"	""	""	"89"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	"159"	""	""	""	"105"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"54"	""	""	"52"	""	""	""	""	"32"	""	""	""	"8"	""	""	""	"193"	""	""	""	"93"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	""	""	"398"	""	""	""	""	""	""	""	""	"398"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"55"	""	""	"146"	""	""	""	""	"6"	""	""	""	"14"	""	""	""	"95"	""	""	""	"42"	""	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	"24"	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Total"	""	""	"2029"	""	""	""	""	"89"	""	""	""	"155"	""	""	""	"1173"	""	""	""	"765"	""	""	""	""	"81"	""	""	""	""	"41"	""	""	""	""	""	""	"28"	""	""	""	""	"167"	""	""	""	""	""	"4528"	""	""	""	"0"	""	""	""	""	"4528"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Till last round"	""	""	"4819"	""	""	""	""	"209"	""	""	""	"331"	""	""	""	"9471"	""	""	""	"2787"	""	""	""	""	"380"	""	""	""	""	"155"	""	""	""	""	""	""	"150"	""	""	""	""	"601"	""	""	""	""	""	"18903"	""	""	""	"0"	""	""	""	""	"18903"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Grand Total"	""	""	"6848"	""	""	""	""	"298"	""	""	""	"486"	""	""	""	"10644"	""	""	""	"3552"	""	""	""	""	"461"	""	""	""	""	"196"	""	""	""	""	""	""	"178"	""	""	""	""	"768"	""	""	""	""	""	"23431"	""	""	""	"0"	""	""	""	""	"23431"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"55A"	""	""	"75"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"186"	""	""	""	"28"	""	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	"42"	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"56"	""	""	"142"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	"104"	""	""	""	"79"	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"57"	""	""	"133"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	"256"	""	""	""	"112"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	"12"	""	""	""	""	""	"533"	""	""	""	""	""	""	""	""	"533"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"58"	""	""	"56"	""	""	""	""	"8"	""	""	""	"10"	""	""	""	"116"	""	""	""	"99"	""	""	""	""	"15"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	""	""	"317"	""	""	""	""	""	""	""	""	"317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"59"	""	""	"59"	""	""	""	""	"4"	""	""	""	"23"	""	""	""	"138"	""	""	""	"112"	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"60"	""	""	"248"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"233"	""	""	""	"19"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	""	""	"525"	""	""	""	""	""	""	""	""	"525"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"61"	""	""	"166"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	"189"	""	""	""	"116"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	"499"	""	""	""	""	""	""	""	""	"499"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"62"	""	""	"62"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"112"	""	""	""	"61"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	"13"	""	""	""	""	""	"263"	""	""	""	""	""	""	""	""	"263"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"63"	""	""	"104"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"185"	""	""	""	"37"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"14"	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"63A"	""	""	"123"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"68"	""	""	""	"59"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"64"	""	""	"201"	""	""	""	""	"11"	""	""	""	"10"	""	""	""	"171"	""	""	""	"231"	""	""	""	""	"14"	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	"17"	""	""	""	""	""	"661"	""	""	""	""	""	""	""	""	"661"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"65"	""	""	"101"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	"241"	""	""	""	"118"	""	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	""	"483"	""	""	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Total"	""	""	"1470"	""	""	""	""	"64"	""	""	""	"82"	""	""	""	"1999"	""	""	""	"1071"	""	""	""	""	"93"	""	""	""	""	"28"	""	""	""	""	""	""	"29"	""	""	""	""	"151"	""	""	""	""	""	"4987"	""	""	""	"0"	""	""	""	""	"4987"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Till last round"	""	""	"6848"	""	""	""	""	"298"	""	""	""	"486"	""	""	""	"10644"	""	""	""	"3552"	""	""	""	""	"461"	""	""	""	""	"196"	""	""	""	""	""	""	"178"	""	""	""	""	"768"	""	""	""	""	""	"23431"	""	""	""	"0"	""	""	""	""	"23431"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Grand Total"	""	""	"8318"	""	""	""	""	"362"	""	""	""	"568"	""	""	""	"12643"	""	""	""	"4623"	""	""	""	""	"554"	""	""	""	""	"224"	""	""	""	""	""	""	"207"	""	""	""	""	"919"	""	""	""	""	""	"28418"	""	""	""	"0"	""	""	""	""	"28418"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Serial no. of
polling station"	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"65A"	""	""	"60"	""	""	""	""	"2"	""	""	""	"25"	""	""	""	"44"	""	""	""	"69"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	""	""	"215"	""	""	""	""	""	""	""	""	"215"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"66"	""	""	"12"	""	""	""	""	"0"	""	""	""	"5"	""	""	""	"94"	""	""	""	"84"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"200"	""	""	""	""	""	""	""	""	"200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"67"	""	""	"110"	""	""	""	""	"5"	""	""	""	"16"	""	""	""	"124"	""	""	""	"218"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"68"	""	""	"276"	""	""	""	""	"9"	""	""	""	"6"	""	""	""	"74"	""	""	""	"30"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	"16"	""	""	""	""	""	"428"	""	""	""	""	""	""	""	""	"428"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
