"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 231-Gaya Moffassil Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency                                                                                                                                                       Round No. ……            1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"5"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	""	"JITENDRA RAM"	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	""	""	"MAHESH SINGH YADAV"	""	"YOGENDRA DAS"	""	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	""	"SAHABUDDIN"	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	"JITENDRA RAM"	""	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	"MAHESH SINGH YADAV"	""	""	""	"YOGENDRA DAS"	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	"SAHABUDDIN"	""	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"1"	""	"2"	""	"3"	""	""	"4"	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	"12"	""	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	""	"18"	""	""	"19"	""	""	""	""	"20"	""	""	""	"21"	""	""	""	"22"	""	""	""	""	""	""
"64"	"1"	""	"39"	""	"29"	""	""	"235"	""	"36"	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	"6"	""	""	""	"3"	""	"1"	""	""	"2"	""	""	"167"	""	""	"5"	""	""	""	"3"	""	""	"490"	""	""	""	""	"0"	""	""	""	"490"	""	""	""	""	""	""	""	""	""	""
"65"	"2"	""	"40"	""	"3"	""	""	"4"	""	"2"	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"2"	""	""	""	"0"	""	"0"	""	""	"2"	""	""	"154"	""	""	"1"	""	""	""	"2"	""	""	"172"	""	""	""	""	"0"	""	""	""	"172"	""	""	""	""	""	""	""	""	""	""
"66"	"3"	""	"41"	""	"86"	""	""	"11"	""	"113"	""	"2"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	"6"	""	""	""	"1"	""	"1"	""	""	"0"	""	""	"26"	""	""	"2"	""	""	""	"2"	""	""	"252"	""	""	""	""	"0"	""	""	""	"252"	""	""	""	""	""	""	""	""	""	""
"67"	"4"	""	"42"	""	"120"	""	""	"12"	""	"48"	""	"1"	""	""	"4"	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	"0"	""	"3"	""	""	""	"2"	""	"2"	""	""	"11"	""	""	"212"	""	""	"4"	""	""	""	"9"	""	""	"431"	""	""	""	""	"0"	""	""	""	"431"	""	""	""	""	""	""	""	""	""	""
"68"	"5"	""	"43"	""	"17"	""	""	"215"	""	"13"	""	"4"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"3"	""	""	""	"2"	""	"0"	""	""	"2"	""	""	"140"	""	""	"6"	""	""	""	"4"	""	""	"407"	""	""	""	""	"0"	""	""	""	"407"	""	""	""	""	""	""	""	""	""	""
"69"	"6"	""	"44"	""	"45"	""	""	"8"	""	"35"	""	"3"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	"6"	""	"5"	""	""	""	"3"	""	"2"	""	""	"8"	""	""	"146"	""	""	"3"	""	""	""	"15"	""	""	"285"	""	""	""	""	"0"	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""
"70"	"7"	""	"45"	""	"53"	""	""	"40"	""	"9"	""	"8"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	""	"6"	""	""	"2"	""	"43"	""	""	""	"0"	""	"1"	""	""	"1"	""	""	"173"	""	""	"10"	""	""	""	"5"	""	""	"353"	""	""	""	""	"0"	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""
"71"	"8"	""	"46"	""	"12"	""	""	"183"	""	"24"	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	"12"	""	""	""	"0"	""	"0"	""	""	"0"	""	""	"104"	""	""	"1"	""	""	""	"0"	""	""	"339"	""	""	""	""	"0"	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""
"72"	"9"	""	"47"	""	"174"	""	""	"110"	""	"4"	""	"4"	""	""	"1"	""	""	"0"	""	""	"4"	""	""	""	"1"	""	""	"0"	""	"8"	""	""	""	"1"	""	"2"	""	""	"4"	""	""	"63"	""	""	"4"	""	""	""	"6"	""	""	"386"	""	""	""	""	"0"	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""
"73"	"10"	""	"48"	""	"68"	""	""	"177"	""	"13"	""	"3"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"9"	""	""	"6"	""	"11"	""	""	""	"0"	""	"2"	""	""	"6"	""	""	"73"	""	""	"17"	""	""	""	"23"	""	""	"410"	""	""	""	""	"0"	""	""	""	"410"	""	""	""	""	""	""	""	""	""	""
"74"	"11"	""	"49"	""	"58"	""	""	"119"	""	"6"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"6"	""	""	""	"1"	""	"1"	""	""	"1"	""	""	"16"	""	""	"8"	""	""	""	"8"	""	""	"224"	""	""	""	""	"0"	""	""	""	"224"	""	""	""	""	""	""	""	""	""	""
"75"	"12"	""	"50"	""	"228"	""	""	"24"	""	"11"	""	"1"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	"0"	""	""	""	"0"	""	"0"	""	""	"5"	""	""	"73"	""	""	"3"	""	""	""	"8"	""	""	"357"	""	""	""	""	"0"	""	""	""	"357"	""	""	""	""	""	""	""	""	""	""
"76"	"13"	""	"51"	""	"249"	""	""	"11"	""	"69"	""	"5"	""	""	"0"	""	""	"3"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	"0"	""	""	""	"1"	""	"0"	""	""	"0"	""	""	"18"	""	""	"1"	""	""	""	"5"	""	""	"364"	""	""	""	""	"0"	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""
"77"	"14"	""	"52"	""	"19"	""	""	"8"	""	"11"	""	"5"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	"2"	""	"18"	""	""	""	"0"	""	"2"	""	""	"10"	""	""	"255"	""	""	"10"	""	""	""	"20"	""	""	"363"	""	""	""	""	"0"	""	""	""	"363"	""	""	""	""	""	""	""	""	""	""
"78"	"Total"	""	""	""	"1161"	""	""	"1157"	""	"394"	""	"38"	""	""	"9"	""	""	"11"	""	""	"11"	""	""	""	"23"	""	""	"21"	""	"123"	""	""	""	"14"	""	"14"	""	""	"52"	""	""	"1620"	""	""	"75"	""	""	""	"110"	""	""	"4833"	""	""	""	""	"0"	""	""	""	"4833"	""	""	""	""	""	""	""	""	""	""
"79"	"Table No."	""	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"80"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	"JITENDRA RAM"	""	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	"MAHESH SINGH YADAV"	""	""	""	"YOGENDRA DAS"	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	"SAHABUDDIN"	""	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"1"	""	"2"	""	"3"	""	""	"4"	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	"12"	""	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	""	"18"	""	""	"19"	""	""	""	""	"20"	""	""	""	"21"	""	""	""	"22"	""	""	""	""	""	""
"82"	"1"	""	"53"	""	"42"	""	""	"17"	""	"78"	""	"10"	""	""	"3"	""	""	"3"	""	""	"2"	""	""	""	"7"	""	""	"1"	""	"9"	""	""	""	"4"	""	"1"	""	""	"10"	""	""	"201"	""	""	"7"	""	""	""	"15"	""	""	"410"	""	""	""	""	"0"	""	""	""	"410"	""	""	""	""	""	""	""	""	""	""
"83"	"2"	""	"54"	""	"40"	""	""	"24"	""	"192"	""	"44"	""	""	"4"	""	""	"5"	""	""	"4"	""	""	""	"0"	""	""	"1"	""	"6"	""	""	""	"0"	""	"1"	""	""	"8"	""	""	"81"	""	""	"2"	""	""	""	"7"	""	""	"419"	""	""	""	""	"0"	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""
"84"	"3"	""	"55"	""	"30"	""	""	"14"	""	"179"	""	"5"	""	""	"4"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	"2"	""	"8"	""	""	""	"0"	""	"4"	""	""	"14"	""	""	"103"	""	""	"10"	""	""	""	"15"	""	""	"392"	""	""	""	""	"0"	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""
"85"	"4"	""	"56"	""	"24"	""	""	"28"	""	"84"	""	"5"	""	""	"2"	""	""	"4"	""	""	"2"	""	""	""	"6"	""	""	"3"	""	"12"	""	""	""	"4"	""	"9"	""	""	"13"	""	""	"146"	""	""	"12"	""	""	""	"12"	""	""	"366"	""	""	""	""	"0"	""	""	""	"366"	""	""	""	""	""	""	""	""	""	""
"86"	"5"	""	"57"	""	"40"	""	""	"17"	""	"157"	""	"9"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	"0"	""	"0"	""	""	"1"	""	""	"79"	""	""	"4"	""	""	""	"8"	""	""	"317"	""	""	""	""	"0"	""	""	""	"317"	""	""	""	""	""	""	""	""	""	""
"87"	"6"	""	"57A"	""	"18"	""	""	"25"	""	"75"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"1"	""	""	""	"1"	""	"3"	""	""	"6"	""	""	"166"	""	""	"8"	""	""	""	"4"	""	""	"308"	""	""	""	""	"0"	""	""	""	"308"	""	""	""	""	""	""	""	""	""	""
"88"	"7"	""	"58"	""	"11"	""	""	"17"	""	"48"	""	"8"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	"2"	""	"3"	""	""	""	"4"	""	"1"	""	""	"4"	""	""	"190"	""	""	"4"	""	""	""	"14"	""	""	"309"	""	""	""	""	"0"	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""
"89"	"8"	""	"59"	""	"138"	""	""	"74"	""	"57"	""	"9"	""	""	"16"	""	""	"3"	""	""	"0"	""	""	""	"3"	""	""	"2"	""	"6"	""	""	""	"2"	""	"2"	""	""	"6"	""	""	"143"	""	""	"5"	""	""	""	"12"	""	""	"478"	""	""	""	""	"0"	""	""	""	"478"	""	""	""	""	""	""	""	""	""	""
"90"	"9"	""	"60"	""	"34"	""	""	"40"	""	"100"	""	"3"	""	""	"15"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	"3"	""	""	""	"1"	""	"0"	""	""	"2"	""	""	"9"	""	""	"1"	""	""	""	"3"	""	""	"212"	""	""	""	""	"0"	""	""	""	"212"	""	""	""	""	""	""	""	""	""	""
"91"	"10"	""	"61"	""	"49"	""	""	"3"	""	"118"	""	"5"	""	""	"3"	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	"1"	""	"2"	""	""	""	"0"	""	"2"	""	""	"9"	""	""	"96"	""	""	"4"	""	""	""	"9"	""	""	"306"	""	""	""	""	"0"	""	""	""	"306"	""	""	""	""	""	""	""	""	""	""
"92"	"11"	""	"62"	""	"62"	""	""	"19"	""	"187"	""	"11"	""	""	"3"	""	""	"3"	""	""	"2"	""	""	""	"3"	""	""	"2"	""	"3"	""	""	""	"3"	""	"0"	""	""	"4"	""	""	"60"	""	""	"5"	""	""	""	"7"	""	""	"374"	""	""	""	""	"0"	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""
"93"	"12"	""	"63"	""	"58"	""	""	"9"	""	"155"	""	"9"	""	""	"15"	""	""	"7"	""	""	"0"	""	""	""	"1"	""	""	"7"	""	"18"	""	""	""	"3"	""	"3"	""	""	"2"	""	""	"9"	""	""	"4"	""	""	""	"7"	""	""	"307"	""	""	""	""	"0"	""	""	""	"307"	""	""	""	""	""	""	""	""	""	""
"94"	"13"	""	"64"	""	"5"	""	""	"5"	""	"57"	""	"1"	""	""	"171"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	"0"	""	"0"	""	""	"1"	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	"248"	""	""	""	""	"0"	""	""	""	"248"	""	""	""	""	""	""	""	""	""	""
"95"	"14"	""	"65"	""	"92"	""	""	"19"	""	"58"	""	"1"	""	""	"7"	""	""	"3"	""	""	"1"	""	""	""	"1"	""	""	"4"	""	"2"	""	""	""	"3"	""	"3"	""	""	"3"	""	""	"9"	""	""	"7"	""	""	""	"11"	""	""	"224"	""	""	""	""	"0"	""	""	""	"224"	""	""	""	""	""	""	""	""	""	""
"96"	"Total"	""	""	""	"643"	""	""	"311"	""	"1545"	""	"120"	""	""	"245"	""	""	"33"	""	""	"18"	""	""	""	"25"	""	""	"25"	""	"73"	""	""	""	"25"	""	"29"	""	""	"83"	""	""	"1295"	""	""	"75"	""	""	""	"125"	""	""	"4670"	""	""	""	""	"0"	""	""	""	"4670"	""	""	""	""	""	""	""	""	""	""
"97"	"Table No."	""	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"98"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	"JITENDRA RAM"	""	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	"MAHESH SINGH YADAV"	""	""	""	"YOGENDRA DAS"	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	"SAHABUDDIN"	""	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"1"	""	"2"	""	"3"	""	""	"4"	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	"12"	""	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	""	"18"	""	""	"19"	""	""	""	""	"20"	""	""	""	"21"	""	""	""	"22"	""	""	""	""	""	""
"100"	"1"	""	"66"	""	"173"	""	""	"32"	""	"103"	""	"5"	""	""	"5"	""	""	"2"	""	""	"2"	""	""	""	"3"	""	""	"2"	""	"0"	""	""	""	"0"	""	"1"	""	""	"0"	""	""	"35"	""	""	"3"	""	""	""	"12"	""	""	"378"	""	""	""	""	"0"	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""
"101"	"2"	""	"67"	""	"178"	""	""	"11"	""	"62"	""	"6"	""	""	"14"	""	""	"5"	""	""	"2"	""	""	""	"5"	""	""	"2"	""	"3"	""	""	""	"4"	""	"1"	""	""	"2"	""	""	"15"	""	""	"3"	""	""	""	"2"	""	""	"315"	""	""	""	""	"0"	""	""	""	"315"	""	""	""	""	""	""	""	""	""	""
"102"	"3"	""	"67A"	""	"12"	""	""	"4"	""	"78"	""	"1"	""	""	"8"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	"1"	""	"0"	""	""	"1"	""	""	"4"	""	""	"1"	""	""	""	"1"	""	""	"111"	""	""	""	""	"0"	""	""	""	"111"	""	""	""	""	""	""	""	""	""	""
"103"	"4"	""	"68"	""	"79"	""	""	"156"	""	"128"	""	"3"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	"2"	""	""	""	"2"	""	"2"	""	""	"1"	""	""	"24"	""	""	"10"	""	""	""	"15"	""	""	"428"	""	""	""	""	"0"	""	""	""	"428"	""	""	""	""	""	""	""	""	""	""
"104"	"5"	""	"69"	""	"83"	""	""	"80"	""	"100"	""	"5"	""	""	"3"	""	""	"4"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	"4"	""	""	""	"4"	""	"2"	""	""	"4"	""	""	"15"	""	""	"3"	""	""	""	"4"	""	""	"314"	""	""	""	""	"0"	""	""	""	"314"	""	""	""	""	""	""	""	""	""	""
"105"	"6"	""	"70"	""	"53"	""	""	"94"	""	"65"	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"2"	""	"1"	""	""	""	"2"	""	"0"	""	""	"1"	""	""	"8"	""	""	"6"	""	""	""	"1"	""	""	"235"	""	""	""	""	"0"	""	""	""	"235"	""	""	""	""	""	""	""	""	""	""
"106"	"7"	""	"71"	""	"72"	""	""	"110"	""	"43"	""	"7"	""	""	"1"	""	""	"3"	""	""	"3"	""	""	""	"0"	""	""	"3"	""	"8"	""	""	""	"3"	""	"0"	""	""	"2"	""	""	"13"	""	""	"7"	""	""	""	"11"	""	""	"286"	""	""	""	""	"0"	""	""	""	"286"	""	""	""	""	""	""	""	""	""	""
"107"	"8"	""	"71A"	""	"105"	""	""	"100"	""	"51"	""	"2"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	"1"	""	""	""	"3"	""	"1"	""	""	"4"	""	""	"33"	""	""	"9"	""	""	""	"10"	""	""	"325"	""	""	""	""	"0"	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""
"108"	"9"	""	"72"	""	"282"	""	""	"15"	""	"9"	""	"1"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"0"	""	"0"	""	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"311"	""	""	""	""	"0"	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""
"109"	"10"	""	"73"	""	"53"	""	""	"146"	""	"75"	""	"4"	""	""	"6"	""	""	"5"	""	""	"9"	""	""	""	"2"	""	""	"4"	""	"10"	""	""	""	"0"	""	"4"	""	""	"4"	""	""	"81"	""	""	"10"	""	""	""	"8"	""	""	"421"	""	""	""	""	"0"	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""
"110"	"11"	""	"74"	""	"141"	""	""	"21"	""	"13"	""	"7"	""	""	"2"	""	""	"0"	""	""	"3"	""	""	""	"4"	""	""	"4"	""	"2"	""	""	""	"3"	""	"4"	""	""	"7"	""	""	"105"	""	""	"8"	""	""	""	"18"	""	""	"342"	""	""	""	""	"0"	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""
"111"	"12"	""	"75"	""	"82"	""	""	"66"	""	"43"	""	"26"	""	""	"3"	""	""	"4"	""	""	"2"	""	""	""	"2"	""	""	"2"	""	"4"	""	""	""	"9"	""	"1"	""	""	"6"	""	""	"130"	""	""	"5"	""	""	""	"12"	""	""	"397"	""	""	""	""	"0"	""	""	""	"397"	""	""	""	""	""	""	""	""	""	""
"112"	"13"	""	"76"	""	"194"	""	""	"15"	""	"26"	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"0"	""	"3"	""	""	""	"0"	""	"0"	""	""	"0"	""	""	"166"	""	""	"1"	""	""	""	"4"	""	""	"412"	""	""	""	""	"0"	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""
"113"	"14"	""	"77"	""	"106"	""	""	"77"	""	"2"	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"3"	""	""	""	"1"	""	"0"	""	""	"0"	""	""	"6"	""	""	"1"	""	""	""	"2"	""	""	"199"	""	""	""	""	"0"	""	""	""	"199"	""	""	""	""	""	""	""	""	""	""
"114"	"Total"	""	""	""	"1613"	""	""	"927"	""	"798"	""	"69"	""	""	"45"	""	""	"30"	""	""	"24"	""	""	""	"23"	""	""	"22"	""	"41"	""	""	""	"32"	""	"16"	""	""	"32"	""	""	"635"	""	""	"67"	""	""	""	"100"	""	""	"4474"	""	""	""	""	"0"	""	""	""	"4474"	""	""	""	""	""	""	""	""	""	""
"115"	"Table No."	""	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"116"	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	"BINOD KUMAR YADVENDU"	""	"MOHAMMAD NASIM"	""	"SURYADEV VERMA"	""	""	"MD. AYYUB"	""	""	"AJAY YADAV"	""	""	"JITENDRA RAM"	""	""	""	"PURAN CHAUDHARY"	""	""	"PHULMATI DEVI"	""	"MAHESH SINGH YADAV"	""	""	""	"YOGENDRA DAS"	""	"RAJENDRA PASWAN"	""	""	"LALA PASWAN"	""	""	"VINDESHWA RI PRASAD YADAV"	""	""	"SAHABUDDIN"	""	""	""	"SIDHESHWAR RAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"1"	""	"2"	""	"3"	""	""	"4"	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	"12"	""	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	""	"18"	""	""	"19"	""	""	""	""	"20"	""	""	""	"21"	""	""	""	"22"	""	""	""	""	""	""
"118"	"1"	""	"78"	""	"21"	""	""	"47"	""	"44"	""	"5"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	"0"	""	""	""	"3"	""	"1"	""	""	"7"	""	""	"168"	""	""	"7"	""	""	""	"12"	""	""	"319"	""	""	""	""	"0"	""	""	""	"319"	""	""	""	""	""	""	""	""	""	""
"119"	"2"	""	"79"	""	"124"	""	""	"99"	""	"16"	""	"35"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	"5"	""	""	""	"7"	""	"1"	""	""	"2"	""	""	"27"	""	""	"7"	""	""	""	"13"	""	""	"340"	""	""	""	""	"0"	""	""	""	"340"	""	""	""	""	""	""	""	""	""	""
"120"	"3"	""	"79A"	""	"37"	""	""	"106"	""	"20"	""	"21"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"5"	""	""	"3"	""	"1"	""	""	""	"3"	""	"0"	""	""	"4"	""	""	"53"	""	""	"1"	""	""	""	"6"	""	""	"260"	""	""	""	""	"0"	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""
"121"	"4"	""	"80"	""	"11"	""	""	"3"	""	"4"	""	"2"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	"2"	""	"5"	""	""	""	"1"	""	"5"	""	""	"17"	""	""	"211"	""	""	"4"	""	""	""	"10"	""	""	"283"	""	""	""	""	"0"	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""
"122"	"5"	""	"81"	""	"187"	""	""	"10"	""	"12"	""	"2"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"3"	""	""	""	"1"	""	"0"	""	""	"6"	""	""	"169"	""	""	"5"	""	""	""	"8"	""	""	"404"	""	""	""	""	"0"	""	""	""	"404"	""	""	""	""	""	""	""	""	""	""
"123"	"6"	""	"82"	""	"326"	""	""	"16"	""	"22"	""	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	"1"	""	""	""	"0"	""	"0"	""	""	"0"	""	""	"22"	""	""	"0"	""	""	""	"2"	""	""	"392"	""	""	""	""	"0"	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""
