"Sl..No..of.Polling.Station"	"No..of.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.No..of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendere.d.Votes"
"166"	"95"	"99"	"69"	"354"	"68"	"7"	"1"	""	"3"	""	"1"	""	"5"	"4"	""	"611"	"0"	"611"	"0"
"167"	"96"	"182"	"0"	"70"	"73"	"10"	"1"	""	"3"	""	"4"	""	"3"	"7"	""	"353"	"0"	"353"	"0"
"168"	"97"	"229"	"61"	"82"	"30"	"3"	"1"	""	"4"	""	"0"	""	"4"	"1"	""	"415"	"0"	"415"	"0"
"169"	"98"	"33"	"51"	"297"	"7"	"2"	"2"	""	"2"	""	"2"	""	"3"	"1"	""	"400"	"0"	"400"	"0"
"170"	"99"	"603"	"0"	"9"	"17"	"0"	"0"	""	"0"	""	"0"	""	"1"	"0"	""	"630"	"0"	"630"	"0"
"171"	"100"	"747"	"1"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	""	"0"	"3"	""	"751"	"0"	"751"	"0"
"172"	"101"	"278"	"41"	"13"	"23"	"7"	"2"	""	"3"	""	"4"	""	"8"	"16"	""	"395"	"0"	"395"	"0"
"173"	"102"	"205"	"8"	"23"	"98"	"8"	"2"	""	"7"	""	"1"	""	"1"	"7"	""	"360"	"0"	"360"	"0"
"174"	"103"	"50"	"7"	"143"	"96"	"3"	"4"	""	"1"	""	"3"	""	"7"	"6"	""	"320"	"0"	"320"	"0"
"175"	"103A"	"44"	"29"	"157"	"67"	"5"	"7"	""	"4"	""	"8"	""	"14"	"13"	""	"348"	"0"	"348"	"0"
"176"	"104"	"6"	"1"	"121"	"120"	"8"	"5"	""	"2"	""	"5"	""	"5"	"2"	""	"275"	"0"	"275"	"0"
"177"	"105"	"59"	"5"	"184"	"79"	"4"	"4"	""	"1"	""	"3"	""	"3"	"7"	""	"349"	"0"	"349"	"0"
"178"	"106"	"335"	"14"	"132"	"33"	"5"	"2"	""	"2"	""	"5"	""	"10"	"14"	""	"552"	"0"	"552"	"0"
"179"	"Total :"	"3039"	"314"	"1646"	"746"	"69"	"33"	""	"34"	""	"39"	""	"69"	"86"	""	"6075"	"0"	"6075"	"0"
"180"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"181"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"182"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"183"	"106A"	"217"	"4"	"71"	"25"	"4"	"2"	""	"4"	""	"3"	""	"4"	"5"	""	"339"	"0"	"339"	"0"
"184"	"107"	"294"	"40"	"100"	"27"	"5"	"5"	""	"5"	""	"2"	""	"22"	"12"	""	"512"	"0"	"512"	"0"
"185"	"107A"	"157"	"4"	"94"	"11"	"1"	"4"	""	"3"	""	"1"	""	"7"	"6"	""	"288"	"0"	"288"	"0"
"186"	"108"	"234"	"14"	"146"	"41"	"9"	"3"	""	"5"	""	"2"	""	"4"	"11"	""	"469"	"0"	"469"	"0"
"187"	"109"	"274"	"9"	"140"	"19"	"6"	"3"	""	"4"	""	"3"	""	"9"	"16"	""	"483"	"0"	"483"	"0"
"188"	"110"	"191"	"20"	"88"	"11"	"2"	"1"	""	"1"	""	"2"	""	"15"	"10"	""	"341"	"0"	"341"	"0"
"189"	"111"	"114"	"11"	"169"	"10"	"1"	"0"	""	"3"	""	"0"	""	"0"	"2"	""	"310"	"0"	"310"	"0"
"190"	"111A"	"110"	"16"	"235"	"30"	"9"	"6"	""	"6"	""	"3"	""	"3"	"3"	""	"421"	"0"	"421"	"0"
"191"	"112"	"199"	"76"	"114"	"58"	"15"	"2"	""	"8"	""	"3"	""	"14"	"18"	""	"507"	"0"	"507"	"0"
"192"	"113"	"229"	"17"	"243"	"39"	"4"	"2"	""	"2"	""	"11"	""	"6"	"17"	""	"570"	"0"	"570"	"0"
"193"	"114"	"72"	"1"	"53"	"11"	"0"	"1"	""	"4"	""	"4"	""	"0"	"2"	""	"148"	"0"	"148"	"0"
"194"	"115"	"73"	"0"	"399"	"56"	"4"	"7"	""	"2"	""	"11"	""	"5"	"14"	""	"571"	"0"	"571"	"0"
"195"	"116"	"215"	"30"	"181"	"45"	"5"	"4"	""	"2"	""	"10"	""	"3"	"8"	""	"503"	"0"	"503"	"0"
"196"	"117"	"284"	"104"	"159"	"46"	"6"	"6"	""	"8"	""	"6"	""	"8"	"7"	""	"634"	"0"	"634"	"0"
"197"	"Total :"	"2663"	"346"	"2192"	"429"	"71"	"46"	""	"57"	""	"61"	""	"100"	"131"	""	"6096"	"0"	"6096"	"0"
"198"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"199"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"200"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"201"	"118"	"69"	"6"	"212"	"7"	"1"	"2"	""	"1"	""	"8"	""	"1"	"4"	""	"311"	"0"	"311"	"0"
"202"	"119"	"308"	"32"	"41"	"73"	"2"	"0"	""	"0"	""	"0"	""	"10"	"2"	""	"468"	"0"	"468"	"0"
"203"	"120"	"203"	"30"	"205"	"40"	"4"	"4"	""	"2"	""	"2"	""	"2"	"3"	""	"495"	"0"	"495"	"0"
"204"	"121"	"134"	"5"	"255"	"11"	"4"	"2"	""	"3"	""	"2"	""	"1"	"9"	""	"426"	"0"	"426"	"0"
"205"	"122"	"512"	"9"	"72"	"22"	"2"	"3"	""	"1"	""	"3"	""	"3"	"11"	""	"638"	"0"	"638"	"0"
"206"	"123"	"347"	"118"	"167"	"25"	"7"	"5"	""	"5"	""	"9"	""	"24"	"11"	""	"718"	"0"	"718"	"0"
"207"	"124"	"241"	"1"	"90"	"60"	"4"	"3"	""	"5"	""	"3"	""	"4"	"4"	""	"415"	"0"	"415"	"0"
"208"	"125"	"153"	"6"	"146"	"24"	"5"	"10"	""	"7"	""	"6"	""	"10"	"11"	""	"378"	"0"	"378"	"0"
"209"	"126"	"128"	"24"	"87"	"52"	"2"	"1"	""	"1"	""	"2"	""	"4"	"0"	""	"301"	"0"	"301"	"0"
"210"	"127"	"453"	"1"	"8"	"7"	"0"	"0"	""	"1"	""	"0"	""	"1"	"0"	""	"471"	"0"	"471"	"0"
"211"	"128"	"237"	"138"	"133"	"127"	"20"	"6"	""	"4"	""	"9"	""	"5"	"29"	""	"708"	"0"	"708"	"0"
"212"	"129"	"410"	"45"	"114"	"55"	"7"	"3"	""	"2"	""	"1"	""	"10"	"20"	""	"667"	"0"	"667"	"0"
"213"	"130"	"260"	"4"	"138"	"11"	"3"	"0"	""	"5"	""	"5"	""	"5"	"1"	""	"432"	"0"	"432"	"0"
"214"	"131"	"317"	"10"	"2"	"9"	"1"	"0"	""	"0"	""	"0"	""	"0"	"1"	""	"340"	"0"	"340"	"0"
"215"	"Total :"	"3772"	"429"	"1670"	"523"	"62"	"39"	""	"37"	""	"50"	""	"80"	"106"	""	"6768"	"0"	"6768"	"0"
"216"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"217"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJA Y KUMAR SINGH"	"MD. AZAD"	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	""	"SUNIL KUMAR SINGH"	""	""	""	""	""
"218"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	""	"-8"	""	"-9"	""	"-10"	"-11"	""	"-12"	"-13"	"-14"
"219"	"132"	"146"	"6"	"307"	"19"	"1"	"2"	"2"	""	"1"	""	"0"	""	"4"	"488"	""	"0"	"488"	"0"
"220"	"132A"	"55"	"19"	"187"	"13"	"3"	"0"	"17"	""	"0"	""	"0"	""	"1"	"295"	""	"0"	"295"	"0"
"221"	"133"	"61"	"5"	"265"	"22"	"4"	"4"	"12"	""	"5"	""	"26"	""	"16"	"420"	""	"0"	"420"	"0"
"222"	"134"	"98"	"25"	"227"	"21"	"12"	"2"	"1"	""	"2"	""	"5"	""	"11"	"404"	""	"0"	"404"	"0"
"223"	"135"	"91"	"16"	"63"	"10"	"2"	"3"	"3"	""	"8"	""	"30"	""	"28"	"254"	""	"0"	"254"	"0"
"224"	"136"	"136"	"4"	"91"	"56"	"5"	"2"	"6"	""	"7"	""	"44"	""	"12"	"363"	""	"0"	"363"	"0"
"225"	"137"	"108"	"7"	"137"	"82"	"1"	"3"	"1"	""	"0"	""	"2"	""	"1"	"342"	""	"0"	"342"	"0"
"226"	"138"	"320"	"2"	"41"	"24"	"3"	"1"	"0"	""	"0"	""	"1"	""	"3"	"395"	""	"0"	"395"	"0"
"227"	"139"	"364"	"1"	"15"	"1"	"0"	"0"	"0"	""	"0"	""	"0"	""	"0"	"381"	""	"0"	"381"	"0"
"228"	"140"	"229"	"4"	"127"	"16"	"2"	"4"	"7"	""	"5"	""	"31"	""	"13"	"438"	""	"0"	"438"	"0"
"229"	"141"	"186"	"13"	"61"	"37"	"1"	"2"	"4"	""	"2"	""	"13"	""	"8"	"327"	""	"0"	"327"	"0"
"230"	"142"	"360"	"10"	"122"	"152"	"12"	"9"	"7"	""	"2"	""	"13"	""	"3"	"690"	""	"0"	"690"	"0"
"231"	"143"	"148"	"19"	"218"	"51"	"13"	"6"	"4"	""	"11"	""	"2"	""	"4"	"476"	""	"0"	"476"	"0"
"232"	"144"	"207"	"4"	"51"	"19"	"4"	"2"	"0"	""	"1"	""	"3"	""	"4"	"295"	""	"0"	"295"	"0"
"233"	"Total :"	"2509"	"135"	"1912"	"523"	"63"	"40"	"64"	""	"44"	""	"170"	""	"108"	"5568"	""	"0"	"5568"	"0"
"234"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"235"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"236"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"237"	"145"	"185"	"64"	"147"	"77"	"1"	"3"	""	"2"	""	"4"	""	"15"	"4"	""	"502"	"0"	"502"	"0"
"238"	"146"	"147"	"10"	"312"	"50"	"0"	"5"	""	"5"	""	"0"	""	"8"	"10"	""	"547"	"0"	"547"	"0"
"239"	"147"	"231"	"13"	"175"	"58"	"7"	"10"	""	"10"	""	"10"	""	"49"	"13"	""	"576"	"0"	"576"	"0"
"240"	"148"	"469"	"2"	"66"	"3"	"0"	"0"	""	"0"	""	"1"	""	"4"	"0"	""	"545"	"0"	"545"	"0"
"241"	"149"	"194"	"8"	"331"	"77"	"3"	"2"	""	"7"	""	"9"	""	"9"	"8"	""	"648"	"0"	"648"	"0"
"242"	"150"	"145"	"9"	"106"	"84"	"7"	"3"	""	"9"	""	"3"	""	"4"	"2"	""	"372"	"0"	"372"	"0"
"243"	"151"	"74"	"8"	"158"	"123"	"12"	"5"	""	"14"	""	"6"	""	"1"	"15"	""	"416"	"0"	"416"	"0"
"244"	"152"	"182"	"23"	"278"	"107"	"10"	"8"	""	"7"	""	"8"	""	"14"	"16"	""	"653"	"0"	"653"	"0"
"245"	"153"	"114"	"14"	"276"	"14"	"2"	"4"	""	"2"	""	"7"	""	"12"	"5"	""	"450"	"0"	"450"	"0"
"246"	"153A"	"319"	"20"	"40"	"46"	"5"	"0"	""	"6"	""	"1"	""	"2"	"13"	""	"452"	"0"	"452"	"0"
"247"	"154"	"203"	"147"	"285"	"40"	"10"	"1"	""	"6"	""	"3"	""	"8"	"11"	""	"714"	"0"	"714"	"0"
"248"	"154A"	"94"	"32"	"123"	"13"	"3"	"0"	""	"0"	""	"1"	""	"2"	"0"	""	"268"	"0"	"268"	"0"
"249"	"155"	"268"	"5"	"216"	"27"	"3"	"1"	""	"3"	""	"2"	""	"2"	"2"	""	"529"	"0"	"529"	"0"
"250"	"156"	"571"	"55"	"39"	"15"	"3"	"3"	""	"1"	""	"1"	""	"21"	"2"	""	"711"	"0"	"711"	"0"
"251"	"Total :"	"3196"	"410"	"2552"	"734"	"66"	"45"	""	"72"	""	"56"	""	"151"	"101"	""	"7383"	"0"	"7383"	"0"
"252"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"253"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"254"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"255"	"157"	"97"	"61"	"389"	"98"	"8"	"5"	""	"6"	""	"4"	""	"5"	"9"	""	"682"	"0"	"682"	"0"
"256"	"158"	"190"	"15"	"121"	"69"	"6"	"5"	""	"4"	""	"4"	""	"20"	"2"	""	"436"	"0"	"436"	"0"
"257"	"159"	"103"	"5"	"173"	"14"	"1"	"3"	""	"3"	""	"8"	""	"2"	"6"	""	"318"	"0"	"318"	"0"
"258"	"160"	"317"	"21"	"63"	"54"	"6"	"2"	""	"3"	""	"7"	""	"10"	"7"	""	"490"	"0"	"490"	"0"
"259"	"161"	"281"	"20"	"236"	"20"	"10"	"5"	""	"5"	""	"6"	""	"14"	"12"	""	"609"	"0"	"609"	"0"
"260"	"162"	"193"	"83"	"151"	"44"	"3"	"12"	""	"6"	""	"8"	""	"83"	"17"	""	"600"	"0"	"600"	"0"
"261"	"163"	"103"	"13"	"47"	"132"	"5"	"1"	""	"2"	""	"1"	""	"1"	"6"	""	"311"	"0"	"311"	"0"
"262"	"164"	"215"	"14"	"77"	"40"	"2"	"2"	""	"2"	""	"0"	""	"1"	"4"	""	"357"	"0"	"357"	"0"
"263"	"165"	"98"	"9"	"276"	"30"	"9"	"8"	""	"6"	""	"2"	""	"4"	"18"	""	"460"	"0"	"460"	"0"
"264"	"166"	"221"	"42"	"163"	"19"	"2"	"3"	""	"2"	""	"2"	""	"1"	"11"	""	"466"	"0"	"466"	"0"
"265"	"167"	"527"	"5"	"40"	"36"	"7"	"2"	""	"4"	""	"0"	""	"3"	"3"	""	"627"	"0"	"627"	"0"
"266"	"168"	"54"	"241"	"165"	"9"	"2"	"3"	""	"4"	""	"5"	""	"4"	"9"	""	"496"	"0"	"496"	"0"
"267"	"169"	"184"	"6"	"449"	"79"	"9"	"5"	""	"10"	""	"10"	""	"13"	"20"	""	"785"	"0"	"785"	"0"
"268"	"170"	"120"	"42"	"150"	"25"	"4"	"4"	""	"6"	""	"14"	""	"9"	"31"	""	"405"	"0"	"405"	"0"
"269"	"Total :"	"2703"	"577"	"2500"	"669"	"74"	"60"	""	"63"	""	"71"	""	"170"	"155"	""	"7042"	"0"	"7042"	"0"
"270"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"271"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"272"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"273"	"170A"	"118"	"6"	"112"	"19"	"5"	"7"	""	"3"	""	"13"	""	"8"	"15"	""	"306"	"0"	"306"	"0"
"274"	"171"	"109"	"18"	"238"	"52"	"7"	"4"	""	"12"	""	"10"	""	"5"	"9"	""	"464"	"0"	"464"	"0"
"275"	"172"	"178"	"4"	"142"	"40"	"8"	"9"	""	"5"	""	"1"	""	"37"	"5"	""	"429"	"0"	"429"	"0"
"276"	"173"	"137"	"19"	"178"	"75"	"10"	"7"	""	"8"	""	"6"	""	"4"	"13"	""	"457"	"0"	"457"	"0"
"277"	"174"	"104"	"9"	"90"	"132"	"6"	"1"	""	"3"	""	"5"	""	"3"	"7"	""	"360"	"0"	"360"	"0"
"278"	"175"	"202"	"5"	"73"	"49"	"0"	"7"	""	"6"	""	"4"	""	"5"	"7"	""	"358"	"0"	"358"	"0"
"279"	"176"	"210"	"23"	"140"	"63"	"9"	"8"	""	"5"	""	"2"	""	"3"	"11"	""	"474"	"0"	"474"	"0"
"280"	"177"	"265"	"25"	"37"	"108"	"4"	"4"	""	"10"	""	"1"	""	"6"	"11"	""	"471"	"0"	"471"	"0"
"281"	"177A"	"119"	"6"	"31"	"106"	"12"	"7"	""	"10"	""	"6"	""	"6"	"23"	""	"326"	"0"	"326"	"0"
"282"	"178"	"224"	"8"	"196"	"35"	"8"	"6"	""	"5"	""	"12"	""	"5"	"14"	""	"513"	"0"	"513"	"0"
"283"	"178A"	"206"	"5"	"89"	"42"	"6"	"3"	""	"6"	""	"3"	""	"11"	"18"	""	"389"	"0"	"389"	"0"
"284"	"179"	"263"	"13"	"48"	"17"	"1"	"2"	""	"3"	""	"1"	""	"10"	"8"	""	"366"	"0"	"366"	"0"
"285"	"179A"	"348"	"30"	"60"	"68"	"7"	"7"	""	"4"	""	"8"	""	"13"	"27"	""	"572"	"0"	"572"	"0"
"286"	"180"	"292"	"7"	"14"	"57"	"6"	"2"	""	"1"	""	"0"	""	"2"	"3"	""	"384"	"0"	"384"	"0"
"287"	"Total :"	"2775"	"178"	"1448"	"863"	"89"	"74"	""	"81"	""	"72"	""	"118"	"171"	""	"5869"	"0"	"5869"	"0"
"288"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"289"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"290"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"291"	"180A"	"227"	"6"	"11"	"77"	"3"	"3"	""	"6"	""	"0"	""	"1"	"4"	""	"338"	"0"	"338"	"0"
"292"	"181"	"203"	"17"	"59"	"64"	"5"	"1"	""	"4"	""	"3"	""	"2"	"7"	""	"365"	"0"	"365"	"0"
"293"	"181A"	"143"	"8"	"37"	"39"	"4"	"3"	""	"4"	""	"3"	""	"5"	"14"	""	"260"	"0"	"260"	"0"
"294"	"182"	"158"	"36"	"134"	"39"	"2"	"5"	""	"2"	""	"3"	""	"3"	"4"	""	"386"	"0"	"386"	"0"
"295"	"183"	"322"	"30"	"14"	"2"	"1"	"2"	""	"1"	""	"1"	""	"3"	"4"	""	"380"	"0"	"380"	"0"
"296"	"184"	"14"	"3"	"173"	"53"	"4"	"2"	""	"0"	""	"4"	""	"1"	"4"	""	"258"	"0"	"258"	"0"
"297"	"185"	"142"	"27"	"97"	"19"	"3"	"4"	""	"5"	""	"3"	""	"3"	"4"	""	"307"	"0"	"307"	"0"
"298"	"186"	"181"	"32"	"179"	"35"	"7"	"4"	""	"4"	""	"7"	""	"5"	"15"	""	"469"	"0"	"469"	"0"
"299"	"187"	"264"	"7"	"17"	"7"	"2"	"1"	""	"2"	""	"4"	""	"3"	"7"	""	"314"	"0"	"314"	"0"
"300"	"188"	"264"	"3"	"2"	"4"	"0"	"0"	""	"0"	""	"0"	""	"0"	"0"	""	"273"	"0"	"273"	"0"
"301"	"189"	"316"	"4"	"4"	"5"	"0"	"1"	""	"1"	""	"0"	""	"1"	"3"	""	"335"	"0"	"335"	"0"
"302"	"190"	"135"	"19"	"113"	"11"	"6"	"7"	""	"3"	""	"3"	""	"25"	"7"	""	"329"	"0"	"329"	"0"
"303"	"191"	"269"	"26"	"171"	"20"	"5"	"8"	""	"2"	""	"5"	""	"8"	"3"	""	"517"	"0"	"517"	"0"
"304"	"192"	"330"	"76"	"60"	"16"	"3"	"4"	""	"4"	""	"0"	""	"10"	"18"	""	"521"	"0"	"521"	"0"
"305"	"Total :"	"2968"	"294"	"1071"	"391"	"45"	"45"	""	"38"	""	"36"	""	"70"	"94"	""	"5052"	"0"	"5052"	"0"
"306"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"307"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"308"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"309"	"193"	"368"	"18"	"203"	"36"	"9"	"8"	""	"5"	""	"8"	""	"2"	"10"	""	"667"	"0"	"667"	"0"
"310"	"194"	"147"	"16"	"269"	"68"	"7"	"5"	""	"9"	""	"5"	""	"14"	"10"	""	"550"	"0"	"550"	"0"
"311"	"195"	"129"	"16"	"210"	"41"	"6"	"4"	""	"4"	""	"6"	""	"4"	"18"	""	"438"	"0"	"438"	"0"
"312"	"196"	"195"	"32"	"237"	"72"	"12"	"8"	""	"6"	""	"16"	""	"7"	"19"	""	"604"	"0"	"604"	"0"
"313"	"197"	"193"	"16"	"167"	"41"	"6"	"1"	""	"5"	""	"2"	""	"15"	"3"	""	"449"	"0"	"449"	"0"
"314"	"198"	"385"	"7"	"25"	"7"	"2"	"0"	""	"0"	""	"0"	""	"2"	"3"	""	"431"	"0"	"431"	"0"
"315"	"199"	"271"	"7"	"20"	"10"	"2"	"2"	""	"3"	""	"3"	""	"23"	"9"	""	"350"	"0"	"350"	"0"
"316"	"200"	"142"	"17"	"39"	"8"	"1"	"2"	""	"2"	""	"1"	""	"7"	"9"	""	"228"	"0"	"228"	"0"
"317"	"201"	"503"	"0"	"5"	"1"	"0"	"0"	""	"0"	""	"1"	""	"1"	"2"	""	"513"	"0"	"513"	"0"
"318"	"202"	"347"	"5"	"16"	"4"	"1"	"0"	""	"0"	""	"1"	""	"1"	"7"	""	"382"	"0"	"382"	"0"
"319"	"202A"	"118"	"22"	"91"	"46"	"9"	"9"	""	"0"	""	"2"	""	"1"	"16"	""	"314"	"0"	"314"	"0"
"320"	"203"	"213"	"27"	"236"	"23"	"13"	"5"	""	"6"	""	"8"	""	"10"	"13"	""	"554"	"0"	"554"	"0"
"321"	"204"	"193"	"6"	"120"	"6"	"0"	"0"	""	"0"	""	"1"	""	"1"	"2"	""	"329"	"0"	"329"	"0"
"322"	"205"	"20"	"2"	"151"	"43"	"7"	"2"	""	"2"	""	"4"	""	"12"	"2"	""	"245"	"0"	"245"	"0"
"323"	"Total :"	"3224"	"191"	"1789"	"406"	"75"	"46"	""	"42"	""	"58"	""	"100"	"123"	""	"6054"	"0"	"6054"	"0"
"324"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"325"	""	"RAMADHAR SINGH"	"KU. SIDHESHW AR VIDYARTHI"	"SURESH MEHTA"	"SAIYAD MD. ZAFAR ISLAM"	"SANJAY KUMAR SINGH"	"MD. AZAD"	""	"MAHESH WAR PASWAN"	""	"MAHAMAY A SINGH"	""	"YUGAL KISHORE SINGH"	"SUNIL KUMAR SINGH"	""	""	""	""	""
"326"	""	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	""	"-7"	""	"-8"	""	"-9"	"-10"	""	"-11"	"-12"	"-13"	"-14"
"327"	"206"	"235"	"14"	"88"	"17"	"5"	"5"	""	"4"	""	"5"	""	"5"	"18"	""	"396"	"0"	"396"	"0"
"328"	"207"	"119"	"15"	"74"	"63"	"4"	"5"	""	"4"	""	"1"	""	"2"	"18"	""	"305"	"0"	"305"	"0"
"329"	"208"	"42"	"10"	"225"	"67"	"9"	"7"	""	"5"	""	"17"	""	"10"	"14"	""	"406"	"0"	"406"	"0"
"330"	"209"	"178"	"44"	"168"	"19"	"10"	"5"	""	"3"	""	"2"	""	"9"	"14"	""	"452"	"0"	"452"	"0"
"331"	"210"	"228"	"0"	"23"	"40"	"1"	"0"	""	"1"	""	"0"	""	"2"	"3"	""	"298"	"0"	"298"	"0"
"332"	"211"	"56"	"34"	"47"	"6"	"4"	"0"	""	"2"	""	"3"	""	"18"	"4"	""	"174"	"0"	"174"	"0"
"333"	"212"	"214"	"10"	"45"	"72"	"6"	"3"	""	"6"	""	"5"	""	"7"	"30"	""	"398"	"0"	"398"	"0"
"334"	"213"	"307"	"34"	"132"	"10"	"2"	"4"	""	"1"	""	"3"	""	"3"	"9"	""	"505"	"0"	"505"	"0"
