"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 229-Belaganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No"	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	"Total no. of votes"	""	"Total No. of tendered votes"	""
"145"	"3"	"123"	""	"56"	""	"7"	""	"7"	""	"4"	""	"230"	""	"7"	""	"2"	""	"3"	""	"5"	""	"321"	""	"0"	""	"321"	""	""	""
"146"	"4"	"124"	""	"30"	""	"12"	""	"0"	""	"10"	""	"126"	""	"3"	""	"1"	""	"1"	""	"1"	""	"184"	""	"0"	""	"184"	""	""	""
"147"	"5"	"125"	""	"100"	""	"5"	""	"2"	""	"14"	""	"297"	""	"7"	""	"5"	""	"7"	""	"20"	""	"457"	""	"0"	""	"457"	""	""	""
"148"	"6"	"126"	""	"169"	""	"5"	""	"4"	""	"36"	""	"68"	""	"3"	""	"4"	""	"3"	""	"14"	""	"306"	""	"0"	""	"306"	""	""	""
"149"	"7"	"127"	""	"219"	""	"19"	""	"0"	""	"3"	""	"86"	""	"4"	""	"2"	""	"0"	""	"10"	""	"343"	""	"0"	""	"343"	""	""	""
"150"	"8"	"128"	""	"82"	""	"14"	""	"26"	""	"22"	""	"204"	""	"13"	""	"5"	""	"8"	""	"21"	""	"395"	""	"0"	""	"395"	""	""	""
"151"	"9"	"129"	""	"46"	""	"12"	""	"21"	""	"8"	""	"231"	""	"4"	""	"2"	""	"3"	""	"7"	""	"334"	""	"0"	""	"334"	""	""	""
"152"	"10"	"130"	""	"111"	""	"17"	""	"3"	""	"4"	""	"295"	""	"7"	""	"1"	""	"3"	""	"7"	""	"448"	""	"0"	""	"448"	""	""	""
"153"	"11"	"131"	""	"54"	""	"21"	""	"1"	""	"3"	""	"206"	""	"7"	""	"5"	""	"4"	""	"9"	""	"310"	""	"0"	""	"310"	""	""	""
"154"	"12"	"132"	""	"163"	""	"21"	""	"19"	""	"38"	""	"100"	""	"16"	""	"11"	""	"13"	""	"27"	""	"408"	""	"0"	""	"408"	""	""	""
"155"	"13"	"133"	""	"79"	""	"13"	""	"23"	""	"36"	""	"248"	""	"6"	""	"7"	""	"2"	""	"14"	""	"428"	""	"0"	""	"428"	""	""	""
"156"	"14"	"134"	""	"148"	""	"5"	""	"6"	""	"41"	""	"114"	""	"6"	""	"5"	""	"3"	""	"24"	""	"352"	""	"0"	""	"352"	""	""	""
"157"	"Total"	""	""	"1521"	""	"165"	""	"122"	""	"254"	""	"2913"	""	"92"	""	"59"	""	"58"	""	"189"	""	"5373"	""	"0"	""	"5373"	""	""	""
"158"	"1"	"135"	""	"124"	""	"7"	""	"2"	""	"12"	""	"173"	""	"8"	""	"3"	""	"7"	""	"19"	""	"355"	""	"0"	""	"355"	""	""	""
"159"	"2"	"136"	""	"67"	""	"1"	""	"2"	""	"8"	""	"326"	""	"9"	""	"3"	""	"8"	""	"32"	""	"456"	""	"0"	""	"456"	""	""	""
"160"	"3"	"137"	""	"114"	""	"4"	""	"2"	""	"12"	""	"180"	""	"9"	""	"2"	""	"0"	""	"8"	""	"331"	""	"0"	""	"331"	""	""	""
"161"	"4"	"138"	""	"116"	""	"11"	""	"2"	""	"8"	""	"45"	""	"0"	""	"0"	""	"0"	""	"4"	""	"186"	""	"0"	""	"186"	""	""	""
"162"	"5"	"139"	""	"18"	""	"4"	""	"1"	""	"19"	""	"177"	""	"9"	""	"4"	""	"1"	""	"8"	""	"241"	""	"0"	""	"241"	""	""	""
"163"	"6"	"140"	""	"184"	""	"6"	""	"2"	""	"6"	""	"73"	""	"2"	""	"3"	""	"1"	""	"19"	""	"296"	""	"0"	""	"296"	""	""	""
"164"	"7"	"141"	""	"123"	""	"3"	""	"1"	""	"19"	""	"271"	""	"16"	""	"7"	""	"1"	""	"5"	""	"446"	""	"0"	""	"446"	""	""	""
"165"	"8"	"142"	""	"8"	""	"0"	""	"1"	""	"8"	""	"301"	""	"8"	""	"2"	""	"3"	""	"4"	""	"335"	""	"0"	""	"335"	""	""	""
"166"	"9"	"142A"	""	"0"	""	"1"	""	"1"	""	"3"	""	"381"	""	"5"	""	"0"	""	"2"	""	"0"	""	"393"	""	"0"	""	"393"	""	""	""
"167"	"10"	"143"	""	"230"	""	"5"	""	"0"	""	"8"	""	"26"	""	"0"	""	"2"	""	"3"	""	"17"	""	"291"	""	"0"	""	"291"	""	""	""
"168"	"11"	"144"	""	"157"	""	"1"	""	"0"	""	"2"	""	"14"	""	"1"	""	"0"	""	"1"	""	"2"	""	"178"	""	"0"	""	"178"	""	""	""
"169"	"12"	"145"	""	"100"	""	"1"	""	"1"	""	"0"	""	"29"	""	"2"	""	"2"	""	"3"	""	"14"	""	"152"	""	"0"	""	"152"	""	""	""
"170"	"13"	"146"	""	"31"	""	"2"	""	"3"	""	"2"	""	"122"	""	"4"	""	"1"	""	"6"	""	"9"	""	"180"	""	"0"	""	"180"	""	""	""
"171"	"14"	"147"	""	"272"	""	"4"	""	"2"	""	"5"	""	"123"	""	"4"	""	"7"	""	"7"	""	"7"	""	"431"	""	"0"	""	"431"	""	""	""
"172"	"Total"	""	""	"1544"	""	"50"	""	"20"	""	"112"	""	"2241"	""	"77"	""	"36"	""	"43"	""	"148"	""	"4271"	""	"0"	""	"4271"	""	""	""
"173"	"1"	"148"	""	"127"	""	"3"	""	"2"	""	"3"	""	"75"	""	"2"	""	"2"	""	"7"	""	"6"	""	"227"	""	"0"	""	"227"	""	""	""
"174"	"2"	"149"	""	"46"	""	"4"	""	"3"	""	"14"	""	"61"	""	"2"	""	"1"	""	"1"	""	"3"	""	"135"	""	"0"	""	"135"	""	""	""
"175"	"3"	"150"	""	"145"	""	"17"	""	"1"	""	"6"	""	"80"	""	"3"	""	"5"	""	"6"	""	"26"	""	"289"	""	"0"	""	"289"	""	""	""
"176"	"4"	"151"	""	"58"	""	"6"	""	"3"	""	"8"	""	"121"	""	"2"	""	"1"	""	"1"	""	"5"	""	"205"	""	"0"	""	"205"	""	""	""
"177"	"5"	"152"	""	"83"	""	"2"	""	"5"	""	"5"	""	"149"	""	"5"	""	"2"	""	"4"	""	"9"	""	"264"	""	"0"	""	"264"	""	""	""
"178"	"6"	"153"	""	"80"	""	"1"	""	"2"	""	"0"	""	"42"	""	"2"	""	"1"	""	"2"	""	"9"	""	"139"	""	"0"	""	"139"	""	""	""
"179"	"7"	"154"	""	"76"	""	"7"	""	"3"	""	"4"	""	"135"	""	"12"	""	"5"	""	"3"	""	"12"	""	"257"	""	"0"	""	"257"	""	""	""
"180"	"8"	"155"	""	"180"	""	"23"	""	"2"	""	"15"	""	"94"	""	"5"	""	"5"	""	"3"	""	"11"	""	"338"	""	"0"	""	"338"	""	""	""
"181"	"9"	"156"	""	"120"	""	"7"	""	"1"	""	"18"	""	"102"	""	"5"	""	"3"	""	"9"	""	"17"	""	"282"	""	"0"	""	"282"	""	""	""
"182"	"10"	"156A"	""	"165"	""	"10"	""	"4"	""	"9"	""	"43"	""	"5"	""	"3"	""	"2"	""	"18"	""	"259"	""	"0"	""	"259"	""	""	""
"183"	"11"	"157"	""	"120"	""	"8"	""	"8"	""	"8"	""	"223"	""	"11"	""	"3"	""	"3"	""	"17"	""	"401"	""	"0"	""	"401"	""	""	""
"184"	"12"	"158"	""	"31"	""	"2"	""	"2"	""	"4"	""	"119"	""	"4"	""	"2"	""	"1"	""	"2"	""	"167"	""	"0"	""	"167"	""	""	""
"185"	"13"	"158A"	""	"7"	""	"2"	""	"1"	""	"3"	""	"334"	""	"5"	""	"3"	""	"1"	""	"4"	""	"360"	""	"0"	""	"360"	""	""	""
"186"	"14"	"159"	""	"229"	""	"3"	""	"5"	""	"5"	""	"86"	""	"1"	""	"2"	""	"2"	""	"8"	""	"341"	""	"0"	""	"341"	""	""	""
"187"	"Total"	""	""	"1467"	""	"95"	""	"42"	""	"102"	""	"1664"	""	"64"	""	"38"	""	"45"	""	"147"	""	"3664"	""	"0"	""	"3664"	""	""	""
"188"	"1"	"160"	""	"5"	""	"0"	""	"6"	""	"2"	""	"87"	""	"3"	""	"0"	""	"0"	""	"2"	""	"105"	""	"0"	""	"105"	""	""	""
"189"	"2"	"161"	""	"95"	""	"6"	""	"0"	""	"4"	""	"112"	""	"5"	""	"0"	""	"2"	""	"6"	""	"230"	""	"0"	""	"230"	""	""	""
"190"	"3"	"162"	""	"12"	""	"3"	""	"0"	""	"0"	""	"123"	""	"6"	""	"2"	""	"2"	""	"9"	""	"157"	""	"0"	""	"157"	""	""	""
"191"	"4"	"163"	""	"209"	""	"10"	""	"1"	""	"8"	""	"174"	""	"8"	""	"6"	""	"5"	""	"47"	""	"468"	""	"0"	""	"468"	""	""	""
"192"	"5"	"164"	""	"205"	""	"6"	""	"1"	""	"45"	""	"83"	""	"11"	""	"4"	""	"4"	""	"32"	""	"391"	""	"0"	""	"391"	""	""	""
"193"	"6"	"165"	""	"196"	""	"9"	""	"2"	""	"41"	""	"56"	""	"8"	""	"4"	""	"3"	""	"20"	""	"339"	""	"0"	""	"339"	""	""	""
"194"	"7"	"166"	""	"65"	""	"5"	""	"4"	""	"17"	""	"71"	""	"5"	""	"3"	""	"5"	""	"11"	""	"186"	""	"0"	""	"186"	""	""	""
"195"	"8"	"167"	""	"185"	""	"5"	""	"15"	""	"63"	""	"118"	""	"12"	""	"5"	""	"2"	""	"34"	""	"439"	""	"0"	""	"439"	""	""	""
"196"	"9"	"168"	""	"142"	""	"6"	""	"13"	""	"14"	""	"117"	""	"9"	""	"5"	""	"1"	""	"19"	""	"326"	""	"0"	""	"326"	""	""	""
"197"	"10"	"169"	""	"29"	""	"3"	""	"3"	""	"3"	""	"172"	""	"9"	""	"0"	""	"1"	""	"7"	""	"227"	""	"0"	""	"227"	""	""	""
"198"	"11"	"170"	""	"209"	""	"8"	""	"0"	""	"3"	""	"162"	""	"4"	""	"2"	""	"0"	""	"10"	""	"398"	""	"0"	""	"398"	""	""	""
"199"	"12"	"171"	""	"86"	""	"1"	""	"2"	""	"4"	""	"196"	""	"5"	""	"1"	""	"4"	""	"7"	""	"306"	""	"0"	""	"306"	""	""	""
"200"	"13"	"172"	""	"124"	""	"2"	""	"1"	""	"4"	""	"140"	""	"9"	""	"4"	""	"4"	""	"7"	""	"295"	""	"0"	""	"295"	""	""	""
"201"	"14"	"173"	""	"175"	""	"1"	""	"3"	""	"4"	""	"86"	""	"0"	""	"1"	""	"3"	""	"7"	""	"280"	""	"0"	""	"280"	""	""	""
"202"	"Total"	""	""	"1737"	""	"65"	""	"51"	""	"212"	""	"1697"	""	"94"	""	"37"	""	"36"	""	"218"	""	"4147"	""	"0"	""	"4147"	""	""	""
"203"	"1"	"174"	""	"213"	""	"3"	""	"4"	""	"4"	""	"39"	""	"2"	""	"5"	""	"5"	""	"14"	""	"289"	""	"0"	""	"289"	""	""	""
"204"	"2"	"175"	""	"144"	""	"11"	""	"6"	""	"32"	""	"115"	""	"30"	""	"4"	""	"0"	""	"13"	""	"355"	""	"0"	""	"355"	""	""	""
"205"	"3"	"176"	""	"264"	""	"6"	""	"3"	""	"11"	""	"78"	""	"1"	""	"1"	""	"2"	""	"9"	""	"375"	""	"0"	""	"375"	""	""	""
"206"	"4"	"177"	""	"101"	""	"8"	""	"2"	""	"12"	""	"172"	""	"44"	""	"7"	""	"5"	""	"15"	""	"366"	""	"0"	""	"366"	""	""	""
"207"	"5"	"178"	""	"1"	""	"1"	""	"1"	""	"3"	""	"226"	""	"9"	""	"7"	""	"7"	""	"14"	""	"269"	""	"0"	""	"269"	""	""	""
"208"	"6"	"178A"	""	"155"	""	"2"	""	"1"	""	"0"	""	"69"	""	"6"	""	"0"	""	"0"	""	"4"	""	"237"	""	"0"	""	"237"	""	""	""
"209"	"7"	"179"	""	"216"	""	"14"	""	"1"	""	"2"	""	"2"	""	"0"	""	"0"	""	"0"	""	"4"	""	"239"	""	"0"	""	"239"	""	""	""
"210"	"8"	"180"	""	"196"	""	"4"	""	"2"	""	"6"	""	"44"	""	"3"	""	"4"	""	"3"	""	"12"	""	"274"	""	"0"	""	"274"	""	""	""
"211"	"9"	"181"	""	"32"	""	"1"	""	"1"	""	"8"	""	"135"	""	"6"	""	"2"	""	"1"	""	"7"	""	"193"	""	"0"	""	"193"	""	""	""
"212"	"10"	"182"	""	"96"	""	"14"	""	"6"	""	"19"	""	"77"	""	"2"	""	"0"	""	"2"	""	"6"	""	"222"	""	"0"	""	"222"	""	""	""
"213"	"11"	"183"	""	"153"	""	"18"	""	"5"	""	"9"	""	"64"	""	"6"	""	"9"	""	"4"	""	"19"	""	"287"	""	"0"	""	"287"	""	""	""
"214"	"12"	"184"	""	"92"	""	"2"	""	"0"	""	"5"	""	"66"	""	"1"	""	"1"	""	"1"	""	"10"	""	"178"	""	"0"	""	"178"	""	""	""
"215"	"13"	"185"	""	"315"	""	"4"	""	"0"	""	"4"	""	"22"	""	"32"	""	"3"	""	"4"	""	"22"	""	"406"	""	"0"	""	"406"	""	""	""
"216"	"14"	"186"	""	"128"	""	"3"	""	"1"	""	"10"	""	"19"	""	"39"	""	"5"	""	"5"	""	"14"	""	"224"	""	"0"	""	"224"	""	""	""
"217"	"Total"	""	""	"2106"	""	"91"	""	"33"	""	"125"	""	"1128"	""	"181"	""	"48"	""	"39"	""	"163"	""	"3914"	""	"0"	""	"3914"	""	""	""
"218"	"1"	"187"	""	"58"	""	"5"	""	"5"	""	"40"	""	"311"	""	"9"	""	"3"	""	"9"	""	"11"	""	"451"	""	"0"	""	"451"	""	""	""
"219"	"2"	"188"	""	"52"	""	"9"	""	"4"	""	"45"	""	"129"	""	"5"	""	"2"	""	"2"	""	"9"	""	"257"	""	"0"	""	"257"	""	""	""
"220"	"3"	"189"	""	"32"	""	"3"	""	"0"	""	"11"	""	"180"	""	"1"	""	"1"	""	"0"	""	"8"	""	"236"	""	"0"	""	"236"	""	""	""
"221"	"4"	"190"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	""
"222"	"5"	"191"	""	"63"	""	"3"	""	"4"	""	"4"	""	"77"	""	"31"	""	"3"	""	"3"	""	"10"	""	"198"	""	"0"	""	"198"	""	""	""
"223"	"6"	"192"	""	"68"	""	"5"	""	"1"	""	"34"	""	"226"	""	"10"	""	"3"	""	"6"	""	"6"	""	"359"	""	"0"	""	"359"	""	""	""
"224"	"7"	"193"	""	"46"	""	"13"	""	"2"	""	"21"	""	"124"	""	"14"	""	"5"	""	"4"	""	"10"	""	"239"	""	"0"	""	"239"	""	""	""
"225"	"8"	"193A"	""	"85"	""	"33"	""	"2"	""	"3"	""	"109"	""	"5"	""	"1"	""	"1"	""	"6"	""	"245"	""	"0"	""	"245"	""	""	""
"226"	"9"	"194"	""	"82"	""	"18"	""	"4"	""	"5"	""	"28"	""	"1"	""	"3"	""	"2"	""	"7"	""	"150"	""	"0"	""	"150"	""	""	""
"227"	"10"	"194A"	""	"18"	""	"4"	""	"0"	""	"1"	""	"17"	""	"0"	""	"0"	""	"1"	""	"2"	""	"43"	""	"0"	""	"43"	""	""	""
"228"	"11"	"195"	""	"36"	""	"12"	""	"4"	""	"18"	""	"64"	""	"6"	""	"1"	""	"8"	""	"6"	""	"155"	""	"0"	""	"155"	""	""	""
"229"	"12"	"196"	""	"8"	""	"8"	""	"2"	""	"1"	""	"152"	""	"10"	""	"3"	""	"4"	""	"16"	""	"204"	""	"0"	""	"204"	""	""	""
"230"	"13"	"197"	""	"8"	""	"6"	""	"0"	""	"2"	""	"102"	""	"2"	""	"0"	""	"0"	""	"0"	""	"120"	""	"0"	""	"120"	""	""	""
"231"	"14"	"198"	""	"59"	""	"4"	""	"4"	""	"17"	""	"119"	""	"11"	""	"7"	""	"3"	""	"26"	""	"250"	""	"0"	""	"250"	""	""	""
"232"	"Total"	""	""	"615"	""	"123"	""	"32"	""	"202"	""	"1638"	""	"105"	""	"32"	""	"43"	""	"117"	""	"2907"	""	"0"	""	"2907"	""	""	""
"233"	"1"	"199"	""	"94"	""	"4"	""	"1"	""	"0"	""	"72"	""	"0"	""	"0"	""	"1"	""	"9"	""	"181"	""	"0"	""	"181"	""	""	""
"234"	"2"	"200"	""	"85"	""	"6"	""	"4"	""	"24"	""	"29"	""	"2"	""	"1"	""	"3"	""	"13"	""	"167"	""	"0"	""	"167"	""	""	""
"235"	"3"	"201"	""	"212"	""	"7"	""	"32"	""	"27"	""	"148"	""	"4"	""	"2"	""	"8"	""	"13"	""	"453"	""	"0"	""	"453"	""	""	""
"236"	"4"	"202"	""	"159"	""	"3"	""	"3"	""	"4"	""	"57"	""	"4"	""	"4"	""	"7"	""	"21"	""	"262"	""	"0"	""	"262"	""	""	""
"237"	"5"	"203"	""	"56"	""	"3"	""	"1"	""	"12"	""	"111"	""	"7"	""	"3"	""	"0"	""	"5"	""	"198"	""	"0"	""	"198"	""	""	""
"238"	"6"	"204"	""	"29"	""	"2"	""	"2"	""	"55"	""	"186"	""	"10"	""	"0"	""	"3"	""	"5"	""	"292"	""	"0"	""	"292"	""	""	""
"239"	"7"	"205"	""	"5"	""	"0"	""	"0"	""	"2"	""	"105"	""	"2"	""	"7"	""	"2"	""	"2"	""	"125"	""	"0"	""	"125"	""	""	""
"240"	"8"	"206"	""	"68"	""	"7"	""	"3"	""	"4"	""	"54"	""	"6"	""	"1"	""	"0"	""	"10"	""	"153"	""	"0"	""	"153"	""	""	""
"241"	"9"	"207"	""	"132"	""	"7"	""	"12"	""	"9"	""	"137"	""	"7"	""	"4"	""	"3"	""	"16"	""	"327"	""	"0"	""	"327"	""	""	""
"242"	"10"	"208"	""	"118"	""	"7"	""	"2"	""	"6"	""	"79"	""	"4"	""	"3"	""	"4"	""	"20"	""	"243"	""	"0"	""	"243"	""	""	""
"243"	"11"	"209"	""	"41"	""	"9"	""	"0"	""	"4"	""	"61"	""	"5"	""	"0"	""	"2"	""	"6"	""	"128"	""	"0"	""	"128"	""	""	""
"244"	"12"	"210"	""	"97"	""	"4"	""	"1"	""	"11"	""	"91"	""	"3"	""	"1"	""	"4"	""	"13"	""	"225"	""	"0"	""	"225"	""	""	""
"245"	"13"	"211"	""	"197"	""	"8"	""	"3"	""	"6"	""	"151"	""	"3"	""	"9"	""	"6"	""	"24"	""	"407"	""	"0"	""	"407"	""	""	""
"246"	"14"	"212"	""	"16"	""	"2"	""	"1"	""	"6"	""	"89"	""	"5"	""	"0"	""	"2"	""	"11"	""	"132"	""	"0"	""	"132"	""	""	""
"247"	"Total"	""	""	"1309"	""	"69"	""	"65"	""	"170"	""	"1370"	""	"62"	""	"35"	""	"45"	""	"168"	""	"3293"	""	"0"	""	"3293"	""	""	""
"248"	"1"	"213"	""	"63"	""	"3"	""	"0"	""	"26"	""	"108"	""	"3"	""	"1"	""	"2"	""	"6"	""	"212"	""	"0"	""	"212"	""	""	""
"249"	"2"	"214"	""	"180"	""	"5"	""	"7"	""	"12"	""	"176"	""	"5"	""	"6"	""	"0"	""	"9"	""	"400"	""	"0"	""	"400"	""	""	""
"250"	"3"	"215"	""	"231"	""	"20"	""	"14"	""	"17"	""	"139"	""	"13"	""	"6"	""	"9"	""	"38"	""	"487"	""	"0"	""	"487"	""	""	""
"251"	"4"	"216"	""	"109"	""	"4"	""	"3"	""	"7"	""	"153"	""	"4"	""	"3"	""	"4"	""	"17"	""	"304"	""	"0"	""	"304"	""	""	""
"252"	"5"	"217"	""	"34"	""	"14"	""	"4"	""	"26"	""	"293"	""	"10"	""	"5"	""	"7"	""	"8"	""	"401"	""	"0"	""	"401"	""	""	""
"253"	"6"	"218"	""	"135"	""	"17"	""	"2"	""	"15"	""	"122"	""	"2"	""	"3"	""	"6"	""	"22"	""	"324"	""	"0"	""	"324"	""	""	""
"254"	"7"	"219"	""	"113"	""	"11"	""	"7"	""	"10"	""	"144"	""	"9"	""	"1"	""	"3"	""	"25"	""	"323"	""	"0"	""	"323"	""	""	""
"255"	"8"	"220"	""	"30"	""	"15"	""	"2"	""	"7"	""	"69"	""	"1"	""	"1"	""	"0"	""	"1"	""	"126"	""	"0"	""	"126"	""	""	""
"256"	"9"	"221"	""	"122"	""	"16"	""	"9"	""	"8"	""	"87"	""	"8"	""	"2"	""	"5"	""	"12"	""	"269"	""	"0"	""	"269"	""	""	""
"257"	"10"	"222"	""	"222"	""	"11"	""	"8"	""	"210"	""	"94"	""	"12"	""	"3"	""	"7"	""	"26"	""	"593"	""	"0"	""	"593"	""	""	""
"258"	"11"	"223"	""	"296"	""	"11"	""	"1"	""	"5"	""	"118"	""	"14"	""	"1"	""	"2"	""	"20"	""	"468"	""	"0"	""	"468"	""	""	""
"259"	"12"	"224"	""	"22"	""	"1"	""	"1"	""	"69"	""	"160"	""	"8"	""	"2"	""	"7"	""	"7"	""	"277"	""	"0"	""	"277"	""	""	""
"260"	"13"	"225"	""	"151"	""	"21"	""	"5"	""	"41"	""	"232"	""	"22"	""	"6"	""	"11"	""	"43"	""	"532"	""	"0"	""	"532"	""	""	""
"261"	"14"	"226"	""	"152"	""	"9"	""	"18"	""	"26"	""	"229"	""	"10"	""	"2"	""	"7"	""	"29"	""	"482"	""	"0"	""	"482"	""	""	""
"262"	"Total"	""	""	"1860"	""	"158"	""	"81"	""	"479"	""	"2124"	""	"121"	""	"42"	""	"70"	""	"263"	""	"5198"	""	"0"	""	"5198"	""	""	""
"263"	"1"	"227"	""	"138"	""	"13"	""	"0"	""	"3"	""	"53"	""	"3"	""	"2"	""	"1"	""	"13"	""	"226"	""	"0"	""	"226"	""	""	""
"264"	"2"	"227A"	""	"147"	""	"8"	""	"2"	""	"11"	""	"110"	""	"9"	""	"4"	""	"1"	""	"6"	""	"298"	""	"0"	""	"298"	""	""	""
"265"	"3"	"228"	""	"48"	""	"10"	""	"9"	""	"52"	""	"85"	""	"13"	""	"1"	""	"5"	""	"8"	""	"231"	""	"0"	""	"231"	""	""	""
"266"	"4"	"229"	""	"222"	""	"43"	""	"1"	""	"6"	""	"23"	""	"1"	""	"1"	""	"0"	""	"0"	""	"297"	""	"0"	""	"297"	""	""	""
"267"	"5"	"230"	""	"327"	""	"12"	""	"3"	""	"17"	""	"161"	""	"12"	""	"4"	""	"9"	""	"50"	""	"595"	""	"0"	""	"595"	""	""	""
"268"	"6"	"231"	""	"25"	""	"4"	""	"15"	""	"64"	""	"97"	""	"8"	""	"4"	""	"2"	""	"4"	""	"223"	""	"0"	""	"223"	""	""	""
"269"	"7"	"232"	""	"95"	""	"1"	""	"8"	""	"22"	""	"131"	""	"15"	""	"6"	""	"5"	""	"26"	""	"309"	""	"0"	""	"309"	""	""	""
"270"	"8"	"233"	""	"98"	""	"31"	""	"0"	""	"10"	""	"295"	""	"14"	""	"5"	""	"7"	""	"18"	""	"478"	""	"0"	""	"478"	""	""	""
"271"	"9"	"234"	""	"5"	""	"5"	""	"22"	""	"6"	""	"284"	""	"6"	""	"1"	""	"4"	""	"8"	""	"341"	""	"0"	""	"341"	""	""	""
"272"	"10"	"235"	""	"262"	""	"7"	""	"0"	""	"3"	""	"57"	""	"2"	""	"0"	""	"0"	""	"9"	""	"340"	""	"0"	""	"340"	""	""	""
"273"	"11"	"236"	""	"87"	""	"9"	""	"5"	""	"4"	""	"150"	""	"10"	""	"5"	""	"6"	""	"30"	""	"306"	""	"0"	""	"306"	""	""	""
"274"	"12"	"237"	""	"116"	""	"13"	""	"1"	""	"24"	""	"14"	""	"3"	""	"0"	""	"0"	""	"4"	""	"175"	""	"0"	""	"175"	""	""	""
"275"	"13"	"238"	""	"37"	""	"7"	""	"3"	""	"0"	""	"133"	""	"1"	""	"1"	""	"1"	""	"3"	""	"186"	""	"0"	""	"186"	""	""	""
"276"	"14"	"239"	""	"220"	""	"5"	""	"2"	""	"1"	""	"87"	""	"22"	""	"5"	""	"3"	""	"20"	""	"365"	""	"0"	""	"365"	""	""	""
"277"	"Total"	""	""	"1827"	""	"168"	""	"71"	""	"223"	""	"1680"	""	"119"	""	"39"	""	"44"	""	"199"	""	"4370"	""	"0"	""	"4370"	""	"0"	""
"278"	"1"	"240"	""	"266"	""	"12"	""	"3"	""	"4"	""	"68"	""	"43"	""	"7"	""	"1"	""	"14"	""	"418"	""	"0"	""	"418"	""	""	""
"279"	"2"	"241"	""	"11"	""	"20"	""	"2"	""	"16"	""	"38"	""	"70"	""	"5"	""	"3"	""	"8"	""	"173"	""	"0"	""	"173"	""	""	""
"280"	"3"	"242"	""	"98"	""	"9"	""	"3"	""	"7"	""	"175"	""	"33"	""	"8"	""	"4"	""	"8"	""	"345"	""	"0"	""	"345"	""	""	""
"281"	"4"	"243"	""	"55"	""	"3"	""	"1"	""	"11"	""	"70"	""	"5"	""	"1"	""	"4"	""	"3"	""	"153"	""	"0"	""	"153"	""	""	""
"282"	"5"	"244"	""	"74"	""	"10"	""	"11"	""	"3"	""	"154"	""	"4"	""	"1"	""	"2"	""	"7"	""	"266"	""	"0"	""	"266"	""	""	""
"283"	"6"	"245"	""	"68"	""	"1"	""	"2"	""	"6"	""	"62"	""	"18"	""	"3"	""	"2"	""	"9"	""	"171"	""	"0"	""	"171"	""	""	""
"284"	"7"	"246"	""	"22"	""	"52"	""	"25"	""	"6"	""	"178"	""	"27"	""	"3"	""	"2"	""	"13"	""	"328"	""	"0"	""	"328"	""	""	""
"285"	"Total"	""	""	"594"	""	"107"	""	"47"	""	"53"	""	"745"	""	"200"	""	"28"	""	"18"	""	"62"	""	"1854"	""	"0"	""	"1854"	""	"0"	""
"286"	"1"	""	"1375"	""	"220"	""	"181"	""	"494"	""	"1939"	""	"202"	""	"88"	""	"91"	""	"207"	""	"4797"	""	"0"	""	"4797"	""	""	""	""
"287"	"2"	""	"1025"	""	"273"	""	"68"	""	"460"	""	"2560"	""	"151"	""	"61"	""	"98"	""	"213"	""	"4909"	""	"0"	""	"4909"	""	""	""	""
"288"	"3"	""	"1218"	""	"169"	""	"57"	""	"145"	""	"1597"	""	"85"	""	"40"	""	"66"	""	"216"	""	"3593"	""	"0"	""	"3593"	""	""	""	""
"289"	"4"	""	"1455"	""	"92"	""	"41"	""	"135"	""	"1486"	""	"74"	""	"59"	""	"54"	""	"236"	""	"3632"	""	"0"	""	"3632"	""	""	""	""
"290"	"5"	""	"1678"	""	"154"	""	"96"	""	"171"	""	"1366"	""	"90"	""	"39"	""	"53"	""	"235"	""	"3882"	""	"0"	""	"3882"	""	""	""	""
"291"	"6"	""	"1782"	""	"115"	""	"46"	""	"139"	""	"1674"	""	"87"	""	"50"	""	"71"	""	"222"	""	"4186"	""	"0"	""	"4186"	""	""	""	""
